Eastern Kentucky,94,Northern Kentucky,2198
10:52,2198,Dillon Avare made Three Point Jumper. Assisted by Asante Gist.,16,13
10:36,94,Carson Williams made Layup. Assisted by Lavone Holland II.,16,15
10:09,2198,Asante Gist made Jumper.,18,15
9:56,94,Drew McDonald made Layup.,18,17
9:56,2198,Foul on Dillon Avare.,18,17
9:56,94,Drew McDonald made Free Throw.,18,18
9:39,2198,Zach Charles missed Jumper.,18,18
9:39,2198,Zach Charles Offensive Rebound.,18,18
9:34,2198,Zach Charles Turnover.,18,18
9:33,94,Carson Williams Steal.,18,18
9:18,94,Lavone Holland II Turnover.,18,18
8:47,2198,Asante Gist missed Jumper.,18,18
8:47,2198,Zach Charles Offensive Rebound.,18,18
8:45,2198,Zach Charles missed Jumper.,18,18
8:45,94,Lavone Holland II Defensive Rebound.,18,18
8:36,94,Lavone Holland II missed Three Point Jumper.,18,18
8:36,94,Drew McDonald Offensive Rebound.,18,18
8:26,2198,Foul on Dedric Boyd.,18,18
8:26,94,Carson Williams made Free Throw.,18,19
8:26,94,Carson Williams made Free Throw.,18,20
8:18,2198,DeAndre Dishman Turnover.,18,20
8:17,94,Jordan Garnett Steal.,18,20
7:49,94,Jalen Tate missed Jumper.,18,20
7:49,2198,DeAndre Dishman Defensive Rebound.,18,20
7:31,2198,Dillon Avare missed Three Point Jumper.,18,20
7:31,94,Lavone Holland II Defensive Rebound.,18,20
7:26,94,Jalen Tate made Layup. Assisted by Lavone Holland II.,18,22
6:59,2198,Dedric Boyd missed Jumper.,18,22
6:59,2198,Dedric Boyd Offensive Rebound.,18,22
6:54,2198,Dedric Boyd made Two Point Tip Shot.,20,22
6:31,94,Lavone Holland II missed Three Point Jumper.,20,22
6:31,94,Drew McDonald Offensive Rebound.,20,22
6:26,94,Drew McDonald made Layup.,20,24
5:57,2198,Nick Mayo Turnover.,20,24
5:57,94,Jalen Tate Steal.,20,24
5:57,94,Official TV Timeout,20,24
5:47,94,Drew McDonald Turnover.,20,24
5:45,2198,Jackson Davis Steal.,20,24
5:44,2198,Jackson Davis made Dunk.,22,24
5:32,94,Jordan Garnett missed Three Point Jumper.,22,24
5:32,94,Carson Williams Offensive Rebound.,22,24
5:27,2198,Foul on Dujuanta Weaver.,22,24
5:27,94,Carson Williams made Free Throw.,22,25
5:27,94,Carson Williams missed Free Throw.,22,25
5:27,2198,Jackson Davis Defensive Rebound.,22,25
5:19,94,Foul on Carson Williams.,22,25
5:15,2198,Dedric Boyd made Three Point Jumper. Assisted by Asante Gist.,25,25
4:58,94,Drew McDonald made Layup.,25,27
4:58,2198,Foul on Dedric Boyd.,25,27
4:58,94,Drew McDonald missed Free Throw.,25,27
4:58,2198,Nick Mayo Defensive Rebound.,25,27
4:34,2198,Asante Gist missed Jumper.,25,27
4:34,94,Lavone Holland II Defensive Rebound.,25,27
4:26,94,Dantez Walton missed Three Point Jumper.,25,27
4:26,2198,Nick Mayo Defensive Rebound.,25,27
4:13,2198,Dujuanta Weaver missed Three Point Jumper.,25,27
4:13,94,Dantez Walton Defensive Rebound.,25,27
3:58,94,Official TV Timeout,25,27
3:48,94,Lavone Holland II missed Layup.,25,27
3:48,94,Dantez Walton Offensive Rebound.,25,27
3:45,94,Dantez Walton made Layup.,25,29
3:23,2198,Jackson Davis made Jumper. Assisted by Dujuanta Weaver.,27,29
3:06,94,Drew McDonald made Layup.,27,31
3:00,94,Foul on Mason Faulkner.,27,31
2:49,2198,Jackson Davis Turnover.,27,31
2:19,94,Dantez Walton made Jumper.,27,33
2:03,2198,Jackson Davis made Jumper.,29,33
1:55,94,Dantez Walton made Layup. Assisted by Jalen Tate.,29,35
1:27,2198,Asante Gist missed Layup.,29,35
1:27,94,Drew McDonald Block.,29,35
1:26,2198,Jackson Davis Offensive Rebound.,29,35
1:24,2198,Jackson Davis missed Layup.,29,35
1:24,94,Dantez Walton Defensive Rebound.,29,35
1:05,94,Drew McDonald made Layup.,29,37
0:59,2198,Eastern Kentucky  Timeout,29,37
0:39,2198,Nick Mayo missed Three Point Jumper.,29,37
0:39,94,Dantez Walton Defensive Rebound.,29,37
0:28,94,Jordan Garnett missed Three Point Jumper.,29,37
0:28,2198,Zach Charles Defensive Rebound.,29,37
0:07,94,Foul on Jalen Tate.,29,37
0:06,2198,Dujuanta Weaver Turnover.,29,37
0:06,94,Northern Kentucky  Timeout,29,37
0:01,94,Lavone Holland II Turnover.,29,37
0:00,94,End of 1st half,29,37
19:50,2198,Zach Charles Turnover.,29,37
19:22,94,Jalen Tate missed Jumper.,29,37
19:22,94,Drew McDonald Offensive Rebound.,29,37
19:21,2198,Foul on Asante Gist.,29,37
19:03,94,Carson Williams made Layup. Assisted by Jordan Garnett.,29,39
18:47,2198,Dedric Boyd Turnover.,29,39
18:45,94,Carson Williams Steal.,29,39
18:44,94,Carson Williams made Dunk.,29,41
18:21,2198,Foul on Asante Gist.,29,41
18:21,2198,Asante Gist Turnover.,29,41
18:09,94,Carson Williams Turnover.,29,41
18:08,2198,Asante Gist Steal.,29,41
18:05,94,Foul on Jordan Garnett.,29,41
18:05,2198,Asante Gist missed Free Throw.,29,41
18:05,2198,Eastern Kentucky Deadball Team Rebound.,29,41
18:05,2198,Asante Gist made Free Throw.,30,41
17:56,94,Drew McDonald made Layup.,30,43
17:42,94,Foul on Jalen Tate.,30,43
17:28,2198,Asante Gist missed Three Point Jumper.,30,43
17:28,2198,Jackson Davis Offensive Rebound.,30,43
17:24,2198,Jackson Davis missed Layup.,30,43
17:24,94,Carson Williams Defensive Rebound.,30,43
17:15,94,Lavone Holland II missed Layup.,30,43
17:15,94,Lavone Holland II Offensive Rebound.,30,43
17:06,94,Carson Williams made Layup. Assisted by Jordan Garnett.,30,45
16:45,2198,Jackson Davis missed Three Point Jumper.,30,45
16:45,94,Carson Williams Defensive Rebound.,30,45
16:39,94,Jalen Tate made Layup. Assisted by Carson Williams.,30,47
16:38,2198,Eastern Kentucky  Timeout,30,47
16:38,94,Official TV Timeout,30,47
16:20,2198,Nick Mayo made Jumper. Assisted by Dujuanta Weaver.,32,47
16:02,94,Jalen Tate Turnover.,32,47
15:55,2198,Asante Gist made Jumper.,34,47
15:39,94,Official TV Timeout,34,47
15:21,94,Carson Williams made Layup.,34,49
14:55,94,Foul on Jalen Tate.,34,49
14:55,2198,Asante Gist made Free Throw.,35,49
14:55,2198,Asante Gist missed Free Throw.,35,49
14:55,94,Jeff Garrett Defensive Rebound.,35,49
14:47,94,Lavone Holland II missed Layup.,35,49
14:47,2198,Nick Mayo Block.,35,49
14:47,94,Northern Kentucky Offensive Rebound.,35,49
14:28,94,Lavone Holland II made Three Point Jumper. Assisted by Mason Faulkner.,35,52
13:59,2198,Nick Mayo made Layup.,37,52
13:36,2198,Foul on Dedric Boyd.,37,52
13:18,94,Lavone Holland II missed Three Point Jumper.,37,52
13:18,94,Jeff Garrett Offensive Rebound.,37,52
13:13,94,Jeff Garrett made Two Point Tip Shot.,37,54
12:52,2198,Asante Gist Turnover.,37,54
12:50,94,Jeff Garrett Steal.,37,54
12:48,94,Dantez Walton made Layup. Assisted by Jeff Garrett.,37,56
12:47,2198,Foul on DeAndre Dishman.,37,56
12:47,94,Dantez Walton missed Free Throw.,37,56
12:47,94,Jeff Garrett Offensive Rebound.,37,56
12:18,94,Jalen Tate Turnover.,37,56
12:13,2198,Dillon Avare made Three Point Jumper. Assisted by Asante Gist.,40,56
11:54,94,Mason Faulkner made Layup.,40,58
11:38,2198,Dedric Boyd missed Jumper.,40,58
11:38,2198,Eastern Kentucky Offensive Rebound.,40,58
11:36,94,Official TV Timeout,40,58
11:28,94,Foul on Jordan Garnett.,40,58
11:28,2198,Zach Charles made Free Throw.,41,58
11:28,2198,Zach Charles missed Free Throw.,41,58
11:28,94,Carson Williams Defensive Rebound.,41,58
11:16,94,Carson Williams made Layup. Assisted by Jordan Garnett.,41,60
11:07,2198,Dillon Avare Turnover.,41,60
11:05,94,Carson Williams Steal.,41,60
10:52,94,Drew McDonald made Jumper.,41,62
10:29,2198,Nick Mayo missed Layup.,41,62
10:29,2198,Zach Charles Offensive Rebound.,41,62
10:25,2198,Zach Charles missed Layup.,41,62
10:25,94,Jordan Garnett Defensive Rebound.,41,62
10:18,94,Carson Williams made Dunk. Assisted by Lavone Holland II.,41,64
10:03,2198,Zach Charles made Layup. Assisted by Asante Gist.,43,64
9:55,94,Drew McDonald missed Three Point Jumper.,43,64
9:55,94,Mason Faulkner Offensive Rebound.,43,64
9:40,94,Carson Williams made Layup. Assisted by Mason Faulkner.,43,66
9:14,2198,Dujuanta Weaver made Three Point Jumper. Assisted by Asante Gist.,46,66
9:12,2198,Eastern Kentucky  Timeout,46,66
9:03,94,Mason Faulkner made Layup.,46,68
8:43,2198,Dedric Boyd missed Three Point Jumper.,46,68
8:43,2198,Eastern Kentucky Offensive Rebound.,46,68
8:30,2198,Asante Gist missed Layup.,46,68
8:30,94,Drew McDonald Block.,46,68
8:28,94,Drew McDonald Defensive Rebound.,46,68
8:15,94,Jalen Tate made Layup. Assisted by Drew McDonald.,46,70
8:03,2198,Zach Charles made Layup. Assisted by Dedric Boyd.,48,70
7:40,94,Drew McDonald missed Three Point Jumper.,48,70
7:40,2198,Zach Charles Defensive Rebound.,48,70
7:37,94,Foul on Jordan Garnett.,48,70
7:37,94,Official TV Timeout,48,70
7:21,2198,Nick Mayo made Dunk. Assisted by Jackson Davis.,50,70
6:55,94,Drew McDonald made Jumper. Assisted by Carson Williams.,50,72
6:31,2198,Dedric Boyd missed Layup.,50,72
6:31,94,Drew McDonald Defensive Rebound.,50,72
6:25,94,Mason Faulkner made Three Point Jumper. Assisted by Lavone Holland II.,50,75
6:04,2198,Dujuanta Weaver missed Three Point Jumper.,50,75
6:04,94,Drew McDonald Defensive Rebound.,50,75
5:55,94,Mason Faulkner missed Three Point Jumper.,50,75
5:55,2198,Asante Gist Defensive Rebound.,50,75
5:47,2198,Dedric Boyd missed Three Point Jumper.,50,75
5:47,94,Northern Kentucky Defensive Rebound.,50,75
5:20,94,Drew McDonald made Layup.,50,77
5:08,2198,Foul on Jackson Davis.,50,77
5:08,2198,Jackson Davis Turnover.,50,77
4:57,94,Lavone Holland II Turnover.,50,77
4:55,2198,Jackson Davis Turnover.,50,77
4:54,94,Carson Williams Steal.,50,77
4:52,94,Jeff Garrett made Layup. Assisted by Carson Williams.,50,79
4:31,2198,Asante Gist made Three Point Jumper.,53,79
4:13,94,Jeff Garrett made Layup. Assisted by Jordan Garnett.,53,81
4:01,2198,Jackson Davis Turnover.,53,81
3:51,94,Jordan Garnett missed Layup.,53,81
3:51,94,Jordan Garnett Offensive Rebound.,53,81
3:49,94,Jordan Garnett made Layup.,53,83
3:26,2198,Asante Gist missed Jumper.,53,83
3:26,94,Jordan Garnett Defensive Rebound.,53,83
3:20,94,Lavone Holland II made Dunk. Assisted by Mason Faulkner.,53,85
2:59,94,Foul on Jordan Garnett.,53,85
2:59,94,Official TV Timeout,53,85
2:59,2198,Jackson Davis missed Free Throw.,53,85
2:59,2198,Eastern Kentucky Deadball Team Rebound.,53,85
2:59,2198,Jackson Davis made Free Throw.,54,85
2:38,94,Jeff Garrett missed Jumper.,54,85
2:38,2198,Nick Mayo Defensive Rebound.,54,85
2:24,2198,Jackson Davis made Layup. Assisted by Nick Mayo.,56,85
2:24,94,Foul on Dantez Walton.,56,85
2:24,2198,Jackson Davis missed Free Throw.,56,85
2:24,94,Jeff Garrett Defensive Rebound.,56,85
1:55,94,Mason Faulkner missed Three Point Jumper.,56,85
1:55,2198,Lachlan Anderson Defensive Rebound.,56,85
1:39,2198,Jackson Davis made Jumper.,58,85
1:27,94,Tyler Sharpe made Three Point Jumper. Assisted by Mason Faulkner.,58,88
1:04,2198,Dillon Avare made Three Point Jumper. Assisted by Cameron Carmical.,61,88
0:50,94,Tyler Sharpe made Three Point Jumper. Assisted by Mason Faulkner.,61,91
0:26,2198,Jackson Davis made Layup.,63,91
0:22,94,Northern Kentucky  Timeout,63,91
0:00,94,End of Game,63,91
