Eastern Washington,233,South Dakota,331
5:01,233,Triston Simpson missed Jumper.,17,24
5:01,331,Eastern Washington Defensive Rebound.,17,24
4:33,331,Mason Peatling made Three Point Jumper. Assisted by Bogdan Bliznyuk.,20,24
4:15,331,Foul on Richard Polanco.,20,24
4:15,233,Austin Sparks made Free Throw.,20,25
4:15,233,Austin Sparks made Free Throw.,20,26
4:05,233,Foul on Tyler Peterson.,20,26
4:05,331,Ty Gibson made Free Throw.,21,26
4:05,331,Ty Gibson made Free Throw.,22,26
3:54,233,Triston Simpson missed Jumper.,22,26
3:54,331,Bogdan Bliznyuk Defensive Rebound.,22,26
3:23,331,Bogdan Bliznyuk missed Jumper.,22,26
3:23,233,Triston Simpson Defensive Rebound.,22,26
3:12,233,Matt Mooney missed Three Point Jumper.,22,26
3:12,233,Austin Sparks Offensive Rebound.,22,26
2:57,233,Triston Simpson made Layup.,22,28
2:33,233,Foul on Austin Sparks.,22,28
2:33,233,Official TV Timeout,22,28
2:33,331,Bogdan Bliznyuk made Free Throw.,23,28
2:33,331,Bogdan Bliznyuk made Free Throw.,24,28
2:26,233,Austin Sparks made Layup. Assisted by Tyler Peterson.,24,30
2:17,331,Cody Benzel made Three Point Jumper.,27,30
2:05,233,Triston Simpson missed Jumper.,27,30
2:05,331,Mason Peatling Defensive Rebound.,27,30
1:43,331,Bogdan Bliznyuk made Layup.,29,30
1:31,233,Tyler Peterson Turnover.,29,30
1:20,331,Ty Gibson missed Three Point Jumper.,29,30
1:20,233,Matt Mooney Defensive Rebound.,29,30
1:11,233,Nick Fuller made Layup.,29,32
0:55,331,Cody Benzel missed Three Point Jumper.,29,32
0:55,233,South Dakota Deadball Team Rebound.,29,32
0:53,331,Foul on Mason Peatling.,29,32
0:53,233,Nick Fuller missed Free Throw.,29,32
0:53,331,Ty Gibson Defensive Rebound.,29,32
0:43,331,Bogdan Bliznyuk missed Jumper.,29,32
0:43,233,Trey Burch-Manning Defensive Rebound.,29,32
0:37,233,Nick Fuller Turnover.,29,32
0:37,233,Foul on Nick Fuller.,29,32
0:30,331,Eastern Washington  Timeout,29,32
0:12,331,Mason Peatling made Dunk. Assisted by Bogdan Bliznyuk.,31,32
0:03,233,Matt Mooney missed Three Point Jumper.,31,32
0:03,331,Jack Perry Defensive Rebound.,31,32
0:00,233,End of 1st half,31,32
19:49,233,Matt Mooney missed Layup.,31,32
19:49,233,Tyler Hagedorn Offensive Rebound.,31,32
19:44,233,Tyler Hagedorn made Two Point Tip Shot.,31,34
19:35,331,Ty Gibson made Three Point Jumper. Assisted by Jacob Davison.,34,34
19:24,233,Matt Mooney Turnover.,34,34
19:22,331,Bogdan Bliznyuk Steal.,34,34
19:18,331,Jacob Davison Turnover.,34,34
19:17,233,Matt Mooney Steal.,34,34
19:11,233,Trey Burch-Manning missed Layup.,34,34
19:11,331,Mason Peatling Block.,34,34
19:11,233,South Dakota Offensive Rebound.,34,34
18:55,233,Trey Burch-Manning made Jumper. Assisted by Tyler Hagedorn.,34,36
18:36,233,Foul on Tyler Hagedorn.,34,36
18:36,331,Mason Peatling made Free Throw.,35,36
18:36,331,Mason Peatling made Free Throw.,36,36
18:26,233,Matt Mooney made Layup. Assisted by Tyler Hagedorn.,36,38
18:02,331,Jacob Davison missed Jumper.,36,38
18:02,233,Trey Burch-Manning Defensive Rebound.,36,38
17:51,331,Foul on Ty Gibson.,36,38
17:51,233,Matt Mooney made Free Throw.,36,39
17:51,233,Matt Mooney made Free Throw.,36,40
17:40,331,Jack Perry Turnover.,36,40
17:40,233,Matt Mooney Steal.,36,40
17:11,233,Trey Burch-Manning made Jumper. Assisted by Tyler Hagedorn.,36,42
16:41,331,Bogdan Bliznyuk made Three Point Jumper. Assisted by Mason Peatling.,39,42
16:23,233,Matt Mooney missed Three Point Jumper.,39,42
16:23,331,Jack Perry Defensive Rebound.,39,42
15:59,331,Mason Peatling Turnover.,39,42
15:59,331,Foul on Mason Peatling.,39,42
15:59,233,Official TV Timeout,39,42
15:42,233,Trey Burch-Manning missed Three Point Jumper.,39,42
15:42,331,Bogdan Bliznyuk Defensive Rebound.,39,42
15:14,331,Ty Gibson missed Three Point Jumper.,39,42
15:14,233,Tyler Hagedorn Defensive Rebound.,39,42
15:03,233,Matt Mooney made Jumper.,39,44
14:36,331,Bogdan Bliznyuk Turnover.,39,44
14:35,233,Matt Mooney Steal.,39,44
14:34,331,Foul on Ty Gibson.,39,44
14:29,233,Triston Simpson Turnover.,39,44
14:29,233,Foul on Triston Simpson.,39,44
14:18,331,Cody Benzel missed Three Point Jumper.,39,44
14:18,233,Trey Burch-Manning Defensive Rebound.,39,44
14:10,233,Trey Burch-Manning Turnover.,39,44
14:03,331,Cody Benzel Turnover.,39,44
13:49,233,Tyler Hagedorn made Jumper.,39,46
13:38,331,Eastern Washington  Timeout,39,46
13:26,331,Bogdan Bliznyuk made Jumper.,41,46
13:08,331,Foul on Jesse Hunt.,41,46
13:08,233,Matt Mooney made Free Throw.,41,47
13:08,233,Matt Mooney made Free Throw.,41,48
12:49,233,Foul on Tyler Hagedorn.,41,48
12:41,331,Benas Griciunas made Layup.,43,48
12:17,331,Foul on Benas Griciunas.,43,48
12:17,233,Trey Burch-Manning missed Free Throw.,43,48
12:17,233,South Dakota Deadball Team Rebound.,43,48
12:17,233,Trey Burch-Manning made Free Throw.,43,49
12:05,331,Cody Benzel missed Three Point Jumper.,43,49
12:05,331,Jesse Hunt Offensive Rebound.,43,49
11:35,233,Foul on Triston Simpson.,43,49
11:35,233,Official TV Timeout,43,49
11:35,331,Jack Perry made Free Throw.,44,49
11:35,331,Jack Perry made Free Throw.,45,49
11:25,233,Triston Simpson missed Layup.,45,49
11:25,233,Trey Burch-Manning Offensive Rebound.,45,49
11:22,331,Foul on Jacob Davison.,45,49
11:17,331,Foul on Bogdan Bliznyuk.,45,49
11:17,233,Nick Fuller missed Free Throw.,45,49
11:17,331,Bogdan Bliznyuk Defensive Rebound.,45,49
10:49,331,Jack Perry missed Jumper.,45,49
10:49,233,Carlton Hurst Defensive Rebound.,45,49
10:39,233,Tyler Peterson made Jumper.,45,51
10:19,331,Richard Polanco Turnover.,45,51
10:18,233,Carlton Hurst Steal.,45,51
10:14,233,Nick Fuller made Layup. Assisted by Triston Simpson.,45,53
10:14,331,Foul on Richard Polanco.,45,53
10:14,331,Eastern Washington  Timeout,45,53
10:14,233,Nick Fuller made Free Throw.,45,54
9:50,331,Mason Peatling made Layup. Assisted by Richard Polanco.,47,54
9:18,233,Triston Simpson made Layup.,47,56
8:52,331,Jack Perry made Jumper. Assisted by Ty Gibson.,49,56
8:31,233,Trey Burch-Manning made Layup.,49,58
8:06,331,Mason Peatling missed Jumper.,49,58
8:06,233,Tyler Peterson Defensive Rebound.,49,58
7:55,233,Carlton Hurst Turnover.,49,58
7:55,233,Official TV Timeout,49,58
7:26,331,Bogdan Bliznyuk made Three Point Jumper. Assisted by Jack Perry.,52,58
6:59,233,Triston Simpson made Jumper.,52,60
6:33,331,Ty Gibson missed Three Point Jumper.,52,60
6:33,331,Mason Peatling Offensive Rebound.,52,60
6:29,233,Foul on Trey Burch-Manning.,52,60
6:29,331,Mason Peatling made Free Throw.,53,60
6:29,331,Mason Peatling made Free Throw.,54,60
6:23,233,Tyler Peterson missed Layup.,54,60
6:23,331,Mason Peatling Block.,54,60
6:20,331,Bogdan Bliznyuk Defensive Rebound.,54,60
6:10,331,Bogdan Bliznyuk missed Jumper.,54,60
6:10,331,Jack Perry Offensive Rebound.,54,60
5:57,331,Jack Perry missed Three Point Jumper.,54,60
5:57,233,Nick Fuller Defensive Rebound.,54,60
5:41,233,Matt Mooney missed Three Point Jumper.,54,60
5:41,233,Nick Fuller Offensive Rebound.,54,60
5:37,233,Nick Fuller missed Jumper.,54,60
5:37,331,Eastern Washington Deadball Team Rebound.,54,60
5:13,331,Mason Peatling missed Jumper.,54,60
5:13,331,Mason Peatling Offensive Rebound.,54,60
5:10,331,Mason Peatling made Jumper.,56,60
4:55,233,Trey Burch-Manning made Jumper.,56,62
4:31,331,Jesse Hunt made Layup.,58,62
4:17,233,Trey Burch-Manning made Layup. Assisted by Matt Mooney.,58,64
3:57,331,Jesse Hunt made Layup.,60,64
3:42,233,Trey Burch-Manning made Layup.,60,66
3:18,331,Mason Peatling made Jumper. Assisted by Bogdan Bliznyuk.,62,66
2:58,233,Tyler Peterson missed Layup.,62,66
2:58,331,Jesse Hunt Defensive Rebound.,62,66
2:50,331,Jesse Hunt made Layup.,64,66
2:45,233,South Dakota  Timeout,64,66
2:45,233,Official TV Timeout,64,66
2:37,331,Foul on Ty Gibson.,64,66
2:37,233,Matt Mooney made Free Throw.,64,67
2:37,233,Matt Mooney made Free Throw.,64,68
2:24,331,Jesse Hunt missed Three Point Jumper.,64,68
2:24,233,Trey Burch-Manning Defensive Rebound.,64,68
2:04,233,Matt Mooney made Jumper.,64,70
1:53,331,Jack Perry made Three Point Jumper.,67,70
1:32,233,Matt Mooney made Three Point Jumper. Assisted by Tyler Hagedorn.,67,73
1:12,331,Jack Perry made Three Point Jumper. Assisted by Bogdan Bliznyuk.,70,73
0:45,233,Matt Mooney missed Jumper.,70,73
0:45,331,Jesse Hunt Defensive Rebound.,70,73
0:16,331,Bogdan Bliznyuk missed Jumper.,70,73
0:16,233,Matt Mooney Defensive Rebound.,70,73
0:13,331,Foul on Ty Gibson.,70,73
0:13,233,Matt Mooney made Free Throw.,70,74
0:13,233,Matt Mooney made Free Throw.,70,75
0:13,331,Eastern Washington  Timeout,70,75
0:04,233,Foul on Carlton Hurst.,70,75
0:01,331,Cody Benzel made Three Point Jumper.,73,75
0:01,331,Eastern Washington  Timeout,73,75
0:00,233,End of Game,73,75
