Western Kentucky,195,Ohio,98
13:27,98,Taveion Hollingsworth missed Layup.,6,16
13:27,98,Justin Johnson Offensive Rebound.,6,16
13:25,98,Justin Johnson made Dunk.,8,16
13:11,195,Mike Laster made Jumper. Assisted by Gavin Block.,8,18
13:01,195,Foul on Mike Laster.,8,18
13:01,195,Technical Foul on Mike Laster.,8,18
13:01,98,Darius Thompson missed Free Throw.,8,18
13:01,98,Western Kentucky Deadball Team Rebound.,8,18
13:01,98,Darius Thompson made Free Throw.,9,18
12:46,98,Jake Ohmer missed Three Point Jumper.,9,18
12:46,98,Justin Johnson Offensive Rebound.,9,18
12:30,98,Taveion Hollingsworth missed Jumper.,9,18
12:30,195,Mike Laster Defensive Rebound.,9,18
12:18,195,James Gollon made Three Point Jumper. Assisted by Jason Carter.,9,21
12:03,195,Foul on Zach Butler.,9,21
11:55,98,Dwight Coleby made Layup. Assisted by Darius Thompson.,11,21
11:35,195,Gavin Block missed Three Point Jumper.,11,21
11:35,98,Dwight Coleby Defensive Rebound.,11,21
11:24,98,Dwight Coleby made Jumper. Assisted by Darius Thompson.,13,21
11:09,195,James Gollon made Three Point Jumper. Assisted by Jason Carter.,13,24
10:45,98,Marek Nelson Turnover.,13,24
10:43,195,Mike Laster Steal.,13,24
10:38,195,James Gollon made Three Point Jumper. Assisted by Mike Laster.,13,27
10:20,98,Marek Nelson missed Layup.,13,27
10:20,195,James Gollon Block.,13,27
10:18,195,Mike Laster Defensive Rebound.,13,27
10:08,195,Jason Carter missed Jumper.,13,27
10:08,98,Dwight Coleby Defensive Rebound.,13,27
9:45,98,Marek Nelson Turnover.,13,27
9:44,195,Jason Carter Steal.,13,27
9:34,195,Mike Laster missed Three Point Jumper.,13,27
9:34,98,Dwight Coleby Defensive Rebound.,13,27
9:15,98,Marek Nelson missed Three Point Jumper.,13,27
9:15,195,Jason Carter Defensive Rebound.,13,27
9:13,98,Foul on Dwight Coleby.,13,27
9:13,195,Official TV Timeout,13,27
9:04,195,Zach Butler Turnover.,13,27
9:03,98,Lamonte Bearden Steal.,13,27
9:00,195,Foul on James Gollon.,13,27
9:00,98,Lamonte Bearden made Free Throw.,14,27
9:00,98,Lamonte Bearden missed Free Throw.,14,27
9:00,195,Teyvion Kirk Defensive Rebound.,14,27
8:48,195,Zach Butler missed Three Point Jumper.,14,27
8:48,195,Doug Taylor Offensive Rebound.,14,27
8:48,98,Foul on Justin Johnson.,14,27
8:24,195,Mike Laster missed Jumper.,14,27
8:24,195,Mike Laster Offensive Rebound.,14,27
8:19,98,Foul on Lamonte Bearden.,14,27
8:02,195,Gavin Block Turnover.,14,27
7:48,98,Jake Ohmer missed Three Point Jumper.,14,27
7:48,195,Mike Laster Defensive Rebound.,14,27
7:42,195,Teyvion Kirk made Layup. Assisted by Mike Laster.,14,29
7:33,195,Foul on Mike Laster.,14,29
7:33,195,Official TV Timeout,14,29
7:25,98,Darius Thompson made Jumper.,16,29
7:25,195,Foul on Doug Taylor.,16,29
7:25,98,Darius Thompson missed Free Throw.,16,29
7:25,195,Kevin Mickle Defensive Rebound.,16,29
7:12,98,Foul on Jake Ohmer.,16,29
7:12,195,Gavin Block made Free Throw.,16,30
7:12,195,Gavin Block made Free Throw.,16,31
6:58,98,Taveion Hollingsworth made Three Point Jumper. Assisted by Darius Thompson.,19,31
6:41,195,Ohio  Timeout,19,31
6:34,195,Teyvion Kirk missed Layup.,19,31
6:34,98,Dwight Coleby Defensive Rebound.,19,31
6:34,195,Foul on Doug Taylor.,19,31
6:20,98,Justin Johnson made Layup. Assisted by Taveion Hollingsworth.,21,31
6:07,98,Foul on Dwight Coleby.,21,31
6:07,195,Jason Carter made Free Throw.,21,32
6:07,195,Jason Carter made Free Throw.,21,33
5:47,98,Darius Thompson missed Jumper.,21,33
5:47,195,Jason Carter Defensive Rebound.,21,33
5:36,195,Teyvion Kirk Turnover.,21,33
5:15,195,Foul on Jason Carter.,21,33
5:15,98,Taveion Hollingsworth made Free Throw.,22,33
5:15,98,Taveion Hollingsworth missed Free Throw.,22,33
5:15,195,Teyvion Kirk Defensive Rebound.,22,33
5:02,195,Gavin Block missed Three Point Jumper.,22,33
5:02,195,Ohio Offensive Rebound.,22,33
4:51,98,Foul on Jake Ohmer.,22,33
4:51,195,Jason Carter made Free Throw.,22,34
4:51,195,Jason Carter missed Free Throw.,22,34
4:51,98,Justin Johnson Defensive Rebound.,22,34
4:30,98,Dwight Coleby Turnover.,22,34
4:20,195,James Gollon missed Three Point Jumper.,22,34
4:20,98,Taveion Hollingsworth Defensive Rebound.,22,34
4:12,98,Darius Thompson missed Layup.,22,34
4:12,195,James Gollon Defensive Rebound.,22,34
4:06,195,James Gollon Turnover.,22,34
4:05,98,Darius Thompson Steal.,22,34
4:02,98,Jake Ohmer made Layup.,24,34
3:38,195,Gavin Block missed Three Point Jumper.,24,34
3:38,195,Kevin Mickle Offensive Rebound.,24,34
3:30,98,Foul on Marek Nelson.,24,34
3:30,195,Official TV Timeout,24,34
3:30,195,James Gollon made Free Throw.,24,35
3:30,195,James Gollon made Free Throw.,24,36
3:12,98,Taveion Hollingsworth missed Jumper.,24,36
3:12,195,James Gollon Defensive Rebound.,24,36
3:04,195,Jason Carter Turnover.,24,36
2:50,98,Justin Johnson Turnover.,24,36
2:35,195,Kevin Mickle made Layup.,24,38
2:17,98,Jake Ohmer missed Layup.,24,38
2:17,195,Kevin Mickle Defensive Rebound.,24,38
2:02,195,Teyvion Kirk missed Jumper.,24,38
2:02,98,Justin Johnson Defensive Rebound.,24,38
1:46,98,Justin Johnson missed Layup.,24,38
1:46,195,Gavin Block Defensive Rebound.,24,38
1:36,195,James Gollon made Layup. Assisted by Gavin Block.,24,40
1:18,98,Taveion Hollingsworth made Three Point Jumper. Assisted by Darius Thompson.,27,40
1:04,195,Kevin Mickle made Layup.,27,42
0:38,195,Foul on Teyvion Kirk.,27,42
0:38,98,Taveion Hollingsworth made Free Throw.,28,42
0:38,98,Taveion Hollingsworth made Free Throw.,29,42
0:14,195,James Gollon missed Three Point Jumper.,29,42
0:14,98,Justin Johnson Defensive Rebound.,29,42
0:07,195,Foul on James Gollon.,29,42
0:07,98,Jake Ohmer missed Free Throw.,29,42
0:07,98,Western Kentucky Deadball Team Rebound.,29,42
0:07,98,Jake Ohmer made Free Throw.,30,42
0:00,195,Teyvion Kirk missed Jumper.,30,42
0:00,98,Western Kentucky Deadball Team Rebound.,30,42
0:00,195,End of 1st half,30,42
19:48,195,Doug Taylor Turnover.,30,42
19:46,98,Taveion Hollingsworth Steal.,30,42
19:46,98,Taveion Hollingsworth made Layup.,32,42
19:33,195,Teyvion Kirk missed Jumper.,32,42
19:33,98,Dwight Coleby Defensive Rebound.,32,42
19:25,98,Lamonte Bearden missed Jumper.,32,42
19:25,98,Lamonte Bearden Offensive Rebound.,32,42
19:21,98,Justin Johnson made Layup. Assisted by Lamonte Bearden.,34,42
19:03,195,Kevin Mickle Turnover.,34,42
19:02,98,Lamonte Bearden Steal.,34,42
18:58,98,Lamonte Bearden made Layup.,36,42
18:57,195,Ohio  Timeout,36,42
18:33,195,Teyvion Kirk made Jumper.,36,44
18:01,98,Justin Johnson missed Jumper.,36,44
18:01,195,Teyvion Kirk Defensive Rebound.,36,44
17:32,195,Gavin Block missed Jumper.,36,44
17:32,195,Doug Taylor Offensive Rebound.,36,44
17:29,195,Doug Taylor missed Two Point Tip Shot.,36,44
17:29,98,Justin Johnson Defensive Rebound.,36,44
17:20,98,Taveion Hollingsworth missed Jumper.,36,44
17:20,195,Mike Laster Defensive Rebound.,36,44
17:08,195,Kevin Mickle missed Layup.,36,44
17:08,98,Justin Johnson Defensive Rebound.,36,44
17:05,195,Foul on Doug Taylor.,36,44
16:48,98,Lamonte Bearden missed Three Point Jumper.,36,44
16:48,98,Justin Johnson Offensive Rebound.,36,44
16:43,195,Foul on Teyvion Kirk.,36,44
16:28,98,Darius Thompson made Layup.,38,44
16:23,195,Mike Laster made Layup.,38,46
16:05,98,Lamonte Bearden missed Jumper.,38,46
16:05,195,Teyvion Kirk Defensive Rebound.,38,46
16:04,98,Foul on Lamonte Bearden.,38,46
15:52,195,Gavin Block made Jumper. Assisted by Teyvion Kirk.,38,48
15:28,195,Foul on Mike Laster.,38,48
15:28,98,Darius Thompson missed Free Throw.,38,48
15:28,98,Western Kentucky Deadball Team Rebound.,38,48
15:28,98,Darius Thompson made Free Throw.,39,48
15:13,195,Teyvion Kirk missed Three Point Jumper.,39,48
15:13,98,Darius Thompson Defensive Rebound.,39,48
14:53,98,Taveion Hollingsworth missed Jumper.,39,48
14:53,195,Teyvion Kirk Defensive Rebound.,39,48
14:29,195,Kevin Mickle made Layup.,39,50
14:14,98,Darius Thompson Turnover.,39,50
14:13,195,Kevin Mickle Steal.,39,50
14:11,195,Kevin Mickle made Layup.,39,52
14:11,98,Foul on Darius Thompson.,39,52
14:11,195,Kevin Mickle made Free Throw.,39,53
13:40,98,Western Kentucky  Turnover.,39,53
13:35,195,Gavin Block Turnover.,39,53
13:15,98,Jake Ohmer Turnover.,39,53
13:14,195,Jason Carter Steal.,39,53
13:10,98,Foul on Darius Thompson.,39,53
13:10,195,Teyvion Kirk made Free Throw.,39,54
13:10,195,Teyvion Kirk made Free Throw.,39,55
12:57,98,Jake Ohmer made Layup.,41,55
12:50,195,Jason Carter missed Layup.,41,55
12:50,195,Ohio Offensive Rebound.,41,55
12:36,195,Gavin Block Turnover.,41,55
12:18,98,Jake Ohmer missed Three Point Jumper.,41,55
12:18,195,Jason Carter Defensive Rebound.,41,55
12:11,195,Jason Carter made Layup.,41,57
11:49,195,Foul on Jason Carter.,41,57
11:44,98,Jake Ohmer made Three Point Jumper.,44,57
11:31,195,Foul on Doug Taylor.,44,57
11:10,98,Justin Johnson made Layup.,46,57
10:56,195,Mike Laster made Three Point Jumper.,46,60
10:39,98,Lamonte Bearden made Layup.,48,60
10:18,195,Kevin Mickle made Layup.,48,62
10:07,98,Justin Johnson missed Three Point Jumper.,48,62
10:07,195,Kevin Mickle Defensive Rebound.,48,62
10:00,195,Teyvion Kirk made Layup. Assisted by Kevin Mickle.,48,64
9:41,98,Taveion Hollingsworth made Layup.,50,64
9:19,195,Mike Laster missed Layup.,50,64
9:19,98,Justin Johnson Block.,50,64
9:17,195,Teyvion Kirk Offensive Rebound.,50,64
9:16,98,Foul on Justin Johnson.,50,64
9:16,195,Teyvion Kirk made Free Throw.,50,65
9:16,195,Teyvion Kirk made Free Throw.,50,66
9:05,98,Lamonte Bearden missed Layup.,50,66
9:05,195,James Gollon Defensive Rebound.,50,66
9:04,98,Foul on Dwight Coleby.,50,66
8:51,195,Kevin Mickle Turnover.,50,66
8:50,98,Jake Ohmer Steal.,50,66
8:47,195,Foul on James Gollon.,50,66
8:47,98,Lamonte Bearden made Free Throw.,51,66
8:47,98,Lamonte Bearden made Free Throw.,52,66
8:41,98,Foul on Jake Ohmer.,52,66
8:14,195,Ohio  Turnover.,52,66
8:03,98,Dwight Coleby missed Layup.,52,66
8:03,195,Zach Butler Defensive Rebound.,52,66
7:54,195,Official TV Timeout,52,66
7:47,98,Foul on Lamonte Bearden.,52,66
7:47,195,Mike Laster made Free Throw.,52,67
7:47,195,Mike Laster made Free Throw.,52,68
7:26,98,Justin Johnson made Layup.,54,68
7:01,195,James Gollon missed Three Point Jumper.,54,68
7:01,98,Darius Thompson Defensive Rebound.,54,68
6:52,98,Jake Ohmer made Layup.,56,68
6:29,195,Mike Laster made Layup. Assisted by James Gollon.,56,70
6:05,98,Jake Ohmer made Jumper.,58,70
5:43,195,Mike Laster made Layup.,58,72
5:43,98,Foul on Dwight Coleby.,58,72
5:43,195,Mike Laster made Free Throw.,58,73
5:32,98,Darius Thompson Turnover.,58,73
5:32,195,Teyvion Kirk Steal.,58,73
5:21,195,Gavin Block missed Three Point Jumper.,58,73
5:21,195,Ohio Offensive Rebound.,58,73
5:12,195,Teyvion Kirk missed Jumper.,58,73
5:11,98,Justin Johnson Defensive Rebound.,58,73
4:55,195,Foul on Doug Taylor.,58,73
4:55,98,Dwight Coleby made Free Throw.,59,73
4:55,98,Dwight Coleby made Free Throw.,60,73
4:42,195,Mike Laster made Layup. Assisted by Jason Carter.,60,75
4:21,98,Darius Thompson missed Three Point Jumper.,60,75
4:21,98,Darius Thompson Offensive Rebound.,60,75
4:19,98,Darius Thompson made Layup.,62,75
3:54,195,Jason Carter missed Layup.,62,75
3:54,98,Justin Johnson Defensive Rebound.,62,75
3:43,98,Justin Johnson missed Jumper.,62,75
3:43,98,Dwight Coleby Offensive Rebound.,62,75
3:40,98,Dwight Coleby made Layup.,64,75
3:14,195,Kevin Mickle made Layup.,64,77
2:59,98,Jake Ohmer missed Three Point Jumper.,64,77
2:59,195,Gavin Block Defensive Rebound.,64,77
2:49,195,Kevin Mickle missed Layup.,64,77
2:49,98,Darius Thompson Defensive Rebound.,64,77
2:44,98,Darius Thompson made Dunk. Assisted by Jake Ohmer.,66,77
2:41,98,Western Kentucky  Timeout,66,77
2:29,195,Jason Carter made Layup.,66,79
2:13,98,Jake Ohmer missed Three Point Jumper.,66,79
2:13,98,Western Kentucky Offensive Rebound.,66,79
2:04,98,Marek Nelson made Three Point Jumper. Assisted by Darius Thompson.,69,79
2:04,98,Western Kentucky  Timeout,69,79
2:02,195,Gavin Block Turnover.,69,79
2:01,98,Taveion Hollingsworth Steal.,69,79
1:58,98,Marek Nelson made Three Point Jumper. Assisted by Jake Ohmer.,72,79
1:56,98,Foul on Marek Nelson.,72,79
1:56,195,Teyvion Kirk missed Free Throw.,72,79
1:56,98,Taveion Hollingsworth Defensive Rebound.,72,79
1:43,98,Taveion Hollingsworth missed Layup.,72,79
1:43,195,Teyvion Kirk Defensive Rebound.,72,79
1:38,195,Teyvion Kirk Turnover.,72,79
1:37,98,Justin Johnson Steal.,72,79
1:32,98,Jake Ohmer missed Three Point Jumper.,72,79
1:32,98,Justin Johnson Offensive Rebound.,72,79
1:30,98,Justin Johnson made Layup.,74,79
1:30,98,Western Kentucky  Timeout,74,79
1:23,98,Foul on Marek Nelson.,74,79
1:23,195,Jason Carter made Free Throw.,74,80
1:23,195,Jason Carter made Free Throw.,74,81
1:15,195,Foul on Teyvion Kirk.,74,81
1:15,98,Darius Thompson made Free Throw.,75,81
1:15,98,Darius Thompson made Free Throw.,76,81
1:05,195,Ohio  Timeout,76,81
1:02,195,Teyvion Kirk made Free Throw.,76,82
1:02,98,Foul on Jake Ohmer.,76,82
1:02,195,Teyvion Kirk made Free Throw.,76,83
0:56,98,Darius Thompson missed Layup.,76,83
0:56,195,Jason Carter Defensive Rebound.,76,83
0:56,98,Foul on Jake Ohmer.,76,83
0:56,195,Teyvion Kirk made Free Throw.,76,84
0:56,195,Teyvion Kirk missed Free Throw.,76,84
0:56,98,Marek Nelson Defensive Rebound.,76,84
0:35,98,Taveion Hollingsworth made Layup.,78,84
0:31,98,Foul on Tyler Miller.,78,84
0:31,195,Jason Carter missed Free Throw.,78,84
0:30,195,Jason Carter made Free Throw.,78,85
0:30,195,Ohio Deadball Team Rebound.,78,85
0:29,195,Foul on Gavin Block.,78,85
0:25,98,Taveion Hollingsworth made Free Throw.,79,85
0:25,98,Taveion Hollingsworth made Free Throw.,80,85
0:25,195,Ohio  Timeout,80,85
0:16,195,Gavin Block Turnover.,80,85
0:15,98,Taveion Hollingsworth Steal.,80,85
0:14,98,Taveion Hollingsworth made Jumper.,82,85
0:11,98,Foul on Marek Nelson.,82,85
0:11,195,Jason Carter made Free Throw.,82,86
0:11,195,Jason Carter made Free Throw.,82,87
0:07,195,Foul on Teyvion Kirk.,82,87
0:07,98,Darius Thompson missed Free Throw.,82,87
0:07,98,Western Kentucky Deadball Team Rebound.,82,87
0:07,98,Darius Thompson missed Free Throw.,82,87
0:07,98,Western Kentucky Deadball Team Rebound.,82,87
0:07,98,Darius Thompson missed Free Throw.,82,87
0:07,195,Teyvion Kirk Defensive Rebound.,82,87
0:04,98,Foul on Darius Thompson.,82,87
0:04,195,Teyvion Kirk made Free Throw.,82,88
0:04,195,Teyvion Kirk made Free Throw.,82,89
0:01,98,Darius Thompson missed Three Point Jumper.,82,89
0:01,98,Justin Johnson Offensive Rebound.,82,89
0:01,98,Justin Johnson made Layup.,84,89
0:00,195,End of Game,82,89
