Dubuque,Error,Northern Iowa,2460
11:30,-1,Jamaree Atwater missed Jumper.,5,18
11:30,-1,Henry Thompson Offensive Rebound.,5,18
11:23,-1,Marcus McDaniel missed Three Point Jumper.,5,18
11:23,2460,Bennett Koch Defensive Rebound.,5,18
11:12,2460,Juwan McCloud missed Jumper.,5,18
11:12,-1,Henry Thompson Defensive Rebound.,5,18
10:55,-1,Jamaree Atwater Turnover.,5,18
10:54,2460,Wyatt Lohaus Steal.,5,18
10:32,2460,Bennett Koch made Dunk. Assisted by Klint Carlson.,5,20
10:15,-1,Henry Thompson missed Three Point Jumper.,5,20
10:15,-1,Jamaree Atwater Offensive Rebound.,5,20
10:12,-1,Jamaree Atwater missed Jumper.,5,20
10:12,2460,Bennett Koch Defensive Rebound.,5,20
9:57,-1,Foul on Marcus McDaniel.,5,20
9:49,2460,Tywhon Pickford missed Jumper.,5,20
9:49,-1,Marcus McDaniel Block.,5,20
9:48,2460,Tywhon Pickford Offensive Rebound.,5,20
9:46,2460,Tywhon Pickford made Layup.,5,22
9:23,-1,TJ Lake missed Layup.,5,22
9:23,2460,Bennett Koch Defensive Rebound.,5,22
9:06,-1,Foul on Justin Smith.,5,22
9:06,2460,Bennett Koch made Free Throw.,5,23
9:06,2460,Bennett Koch made Free Throw.,5,24
8:57,2460,Foul on Wyatt Lohaus.,5,24
8:57,-1,TJ Lake missed Jumper.,5,24
8:57,2460,Isaiah Brown Defensive Rebound.,5,24
8:39,2460,Hunter Rhodes made Three Point Jumper. Assisted by Wyatt Lohaus.,5,27
8:39,-1,Foul on TJ Lake.,5,27
8:39,2460,Hunter Rhodes made Free Throw.,5,28
8:20,-1,Jamaree Atwater missed Jumper.,5,28
8:20,2460,Wyatt Lohaus Defensive Rebound.,5,28
8:10,2460,Wyatt Lohaus missed Jumper.,5,28
8:09,-1,Jamaree Atwater Defensive Rebound.,5,28
8:00,-1,Jamaree Atwater missed Layup.,5,28
8:00,2460,Austin Phyfe Defensive Rebound.,5,28
7:50,2460,Tywhon Pickford missed Three Point Jumper.,5,28
7:46,-1,Justin Smith Defensive Rebound.,5,28
7:46,2460,Foul on Austin Phyfe.,5,28
7:46,-1,Dubuque  Timeout,5,28
7:33,-1,Justin Smith Turnover.,5,28
7:17,2460,Austin Phyfe made Layup. Assisted by Wyatt Lohaus.,5,30
7:01,-1,TJ Lake missed Three Point Jumper.,5,30
7:01,2460,Austin Phyfe Defensive Rebound.,5,30
6:52,2460,Hunter Rhodes missed Jumper.,5,30
6:52,-1,TJ Lake Defensive Rebound.,5,30
6:42,-1,Jamaree Atwater made Layup.,7,30
6:21,2460,Austin Phyfe missed Jumper.,7,30
6:21,-1,Justin Smith Defensive Rebound.,7,30
6:06,-1,TJ Lake missed Three Point Jumper.,7,30
5:56,-1,Jamaree Atwater missed Jumper.,7,30
5:56,2460,Tywhon Pickford Defensive Rebound.,7,30
5:54,-1,Dubuque Offensive Rebound.,7,30
5:37,2460,Klint Carlson made Layup.,7,32
5:22,-1,Jamaree Atwater missed Three Point Jumper.,7,32
5:22,-1,Lucas Daniels Offensive Rebound.,7,32
5:16,-1,Peter Ragen missed Layup.,7,32
5:16,2460,Wyatt Lohaus Defensive Rebound.,7,32
4:59,-1,Foul on Peter Ragen.,7,32
4:59,2460,Bennett Koch made Free Throw.,7,33
4:59,2460,Bennett Koch made Free Throw.,7,34
4:42,-1,Marcus McDaniel made Three Point Jumper. Assisted by TJ Lake.,10,34
4:24,2460,Tywhon Pickford Turnover.,10,34
4:04,-1,Jamaree Atwater missed Layup.,10,34
4:04,-1,Jamaree Atwater Offensive Rebound.,10,34
4:01,-1,Jamaree Atwater made Layup.,12,34
3:46,2460,Bennett Koch made Layup.,12,36
3:30,-1,Marcus McDaniel missed Three Point Jumper.,12,36
3:30,2460,Bennett Koch Defensive Rebound.,12,36
3:16,-1,Foul on Deonte Newsome.,12,36
3:16,2460,Northern Iowa  Timeout,12,36
3:16,2460,Tywhon Pickford made Free Throw.,12,37
3:16,2460,Tywhon Pickford made Free Throw.,12,38
3:09,-1,TJ Lake missed Jumper.,12,38
3:09,-1,Marcus McDaniel Offensive Rebound.,12,38
3:04,2460,Foul on Tanner Lohaus.,12,38
3:00,-1,Marcus McDaniel Turnover.,12,38
2:42,2460,Tanner Lohaus missed Layup.,12,38
2:42,2460,Austin Phyfe Offensive Rebound.,12,38
2:40,2460,Austin Phyfe made Layup.,12,40
2:29,-1,Jamaree Atwater made Jumper.,14,40
2:14,2460,Juwan McCloud made Three Point Jumper. Assisted by Wyatt Lohaus.,14,43
2:00,-1,Deonte Newsome missed Layup.,14,43
2:00,2460,Spencer Haldeman Defensive Rebound.,14,43
1:50,2460,Wyatt Lohaus made Three Point Jumper. Assisted by Juwan McCloud.,14,46
1:47,-1,Dubuque  Timeout,14,46
1:36,-1,Marcus McDaniel Turnover.,14,46
1:35,2460,Tanner Lohaus Steal.,14,46
1:32,2460,Tanner Lohaus missed Layup.,14,46
1:32,-1,Deonte Newsome Block.,14,46
1:32,2460,Northern Iowa Offensive Rebound.,14,46
1:25,2460,Austin Phyfe Turnover.,14,46
1:25,2460,Foul on Austin Phyfe.,14,46
1:14,-1,Jamaree Atwater missed Three Point Jumper.,14,46
1:14,2460,Ted Friedman Defensive Rebound.,14,46
1:01,-1,Foul on Peter Ragen.,14,46
1:01,2460,Ted Friedman made Free Throw.,14,47
1:01,2460,Ted Friedman missed Free Throw.,14,47
1:01,-1,Jamaree Atwater Defensive Rebound.,14,47
0:44,-1,TJ Lake made Jumper.,16,47
0:13,2460,Hunter Rhodes missed Three Point Jumper.,16,47
0:13,-1,Jamaree Atwater Defensive Rebound.,16,47
0:05,-1,Zachary Randolph missed Three Point Jumper.,16,47
0:05,-1,Peter Ragen Offensive Rebound.,16,47
0:01,-1,Zachary Randolph made Three Point Jumper. Assisted by Peter Ragen.,19,47
0:00,2460,End of 1st half,19,47
19:50,-1,Foul on Peter Ragen.,19,47
19:41,2460,Tywhon Pickford missed Three Point Jumper.,19,47
19:41,-1,TJ Lake Defensive Rebound.,19,47
19:15,-1,Jamaree Atwater missed Jumper.,19,47
19:15,2460,Juwan McCloud Defensive Rebound.,19,47
19:05,2460,Isaiah Brown made Jumper.,19,49
18:48,-1,Marcus McDaniel missed Three Point Jumper.,19,49
18:48,2460,Bennett Koch Defensive Rebound.,19,49
18:16,2460,Isaiah Brown missed Jumper.,19,49
18:16,-1,Jamaree Atwater Defensive Rebound.,19,49
18:04,-1,Lucas Daniels missed Jumper.,19,49
18:04,-1,Lucas Daniels Offensive Rebound.,19,49
17:59,-1,Lucas Daniels made Layup.,21,49
17:41,2460,Tywhon Pickford missed Jumper.,21,49
17:41,-1,TJ Lake Defensive Rebound.,21,49
17:27,-1,TJ Lake missed Layup.,21,49
17:27,2460,Tywhon Pickford Defensive Rebound.,21,49
17:18,2460,Juwan McCloud missed Three Point Jumper.,21,49
17:18,-1,Marcus McDaniel Defensive Rebound.,21,49
16:54,-1,Lucas Daniels missed Jumper.,21,49
16:54,2460,Tywhon Pickford Defensive Rebound.,21,49
16:30,2460,Wyatt Lohaus missed Jumper.,21,49
16:30,-1,Peter Ragen Defensive Rebound.,21,49
16:20,-1,Michael Williams missed Three Point Jumper.,21,49
16:20,2460,Juwan McCloud Defensive Rebound.,21,49
15:59,2460,Klint Carlson Turnover.,21,49
15:59,-1,Michael Williams Steal.,21,49
15:31,-1,TJ Lake missed Jumper.,21,49
15:31,2460,Northern Iowa Defensive Rebound.,21,49
15:31,2460,Northern Iowa  Timeout,21,49
15:09,2460,Klint Carlson made Jumper.,21,51
15:00,2460,Foul on Juwan McCloud.,21,51
14:48,-1,Justin Smith Turnover.,21,51
14:47,2460,Juwan McCloud Steal.,21,51
14:40,2460,Wyatt Lohaus made Three Point Jumper. Assisted by Isaiah Brown.,21,54
14:22,-1,Michael Williams made Jumper.,23,54
14:15,2460,Spencer Haldeman made Three Point Jumper. Assisted by Juwan McCloud.,23,57
13:59,-1,Jamaree Atwater made Three Point Jumper.,26,57
13:42,2460,Juwan McCloud Turnover.,26,57
13:30,-1,Jamaree Atwater missed Three Point Jumper.,26,57
13:30,2460,Hunter Rhodes Defensive Rebound.,26,57
13:08,2460,Austin Phyfe made Jumper. Assisted by Spencer Haldeman.,26,59
12:55,-1,Michael Williams Turnover.,26,59
12:33,2460,Spencer Haldeman made Three Point Jumper. Assisted by Miles Wentzien.,26,62
12:13,-1,Jamaree Atwater made Layup.,28,62
11:57,2460,Spencer Haldeman missed Three Point Jumper.,28,62
11:57,2460,Austin Phyfe Offensive Rebound.,28,62
11:54,2460,Austin Phyfe made Layup.,28,64
11:44,-1,Henry Thompson made Three Point Jumper. Assisted by Marcus McDaniel.,31,64
11:20,2460,Northern Iowa  Timeout,31,64
11:12,2460,Miles Wentzien Turnover.,31,64
11:11,-1,Henry Thompson Steal.,31,64
10:55,-1,Henry Thompson missed Three Point Jumper.,31,64
10:55,2460,Hunter Rhodes Defensive Rebound.,31,64
10:27,2460,Spencer Haldeman missed Layup.,31,64
10:27,-1,Jamaree Atwater Defensive Rebound.,31,64
10:20,2460,Foul on Spencer Haldeman.,31,64
10:20,-1,Jamaree Atwater made Free Throw.,32,64
10:20,-1,Jamaree Atwater made Free Throw.,33,64
10:04,2460,Austin Phyfe Turnover.,33,64
10:03,-1,Jamaree Atwater Steal.,33,64
10:00,-1,Jamaree Atwater made Three Point Jumper.,36,64
9:36,2460,Miles Wentzien missed Three Point Jumper.,36,64
9:36,-1,Henry Thompson Defensive Rebound.,36,64
9:27,-1,Marcus McDaniel missed Three Point Jumper.,36,64
9:27,2460,Tanner Lohaus Defensive Rebound.,36,64
8:55,2460,Miles Wentzien missed Jumper.,36,64
8:55,-1,Jarrett Easton Defensive Rebound.,36,64
8:39,-1,Zachary Randolph missed Three Point Jumper.,36,64
8:39,2460,Hunter Rhodes Defensive Rebound.,36,64
8:29,2460,Tanner Lohaus made Three Point Jumper. Assisted by Hunter Rhodes.,36,67
8:05,-1,TJ Lake Turnover.,36,67
8:04,2460,Spencer Haldeman Steal.,36,67
7:54,-1,Foul on Jarrett Easton.,36,67
7:54,2460,Northern Iowa  Timeout,36,67
7:54,2460,Spencer Haldeman made Free Throw.,36,68
7:54,2460,Spencer Haldeman made Free Throw.,36,69
7:54,2460,Spencer Haldeman made Free Throw.,36,70
7:40,-1,Peter Ragen missed Jumper.,36,70
7:40,2460,Hunter Rhodes Defensive Rebound.,36,70
7:22,-1,Foul on Peter Ragen.,36,70
7:05,2460,Hunter Rhodes missed Jumper.,36,70
7:05,-1,Jarrett Easton Defensive Rebound.,36,70
6:54,-1,TJ Lake missed Jumper.,36,70
6:54,2460,Luke McDonnell Defensive Rebound.,36,70
6:48,2460,Miles Wentzien made Layup.,36,72
6:19,-1,TJ Lake Turnover.,36,72
6:18,2460,Hunter Rhodes Steal.,36,72
6:15,2460,Adam McDermott made Three Point Jumper. Assisted by Miles Wentzien.,36,75
6:00,-1,Jamaree Atwater missed Three Point Jumper.,36,75
6:00,2460,Miles Wentzien Defensive Rebound.,36,75
5:39,2460,Luke McDonnell made Layup. Assisted by Ted Friedman.,36,77
5:28,-1,TJ Lake made Three Point Jumper. Assisted by Zachary Randolph.,39,77
5:26,-1,Dubuque  Timeout,39,77
5:08,-1,Foul on Michael Williams.,39,77
4:59,2460,Justin Dahl missed Jumper.,39,77
4:59,-1,Fred Calvert Defensive Rebound.,39,77
4:45,-1,Dakota Soenksen missed Three Point Jumper.,39,77
4:45,2460,Luke McDonnell Defensive Rebound.,39,77
4:29,2460,Justin Dahl missed Jumper.,39,77
4:29,-1,Lucas Daniels Defensive Rebound.,39,77
4:20,-1,Michael Williams missed Jumper.,39,77
4:20,2460,Lincoln Conrey Defensive Rebound.,39,77
4:14,-1,Foul on Fred Calvert.,39,77
3:57,2460,Justin Dahl Turnover.,39,77
3:57,-1,Dubuque  Timeout,39,77
3:42,-1,Michael Williams missed Layup.,39,77
3:42,2460,Luke McDonnell Block.,39,77
3:42,-1,Dubuque Offensive Rebound.,39,77
3:40,-1,Fred Calvert Turnover.,39,77
3:39,2460,Lincoln Conrey Steal.,39,77
3:15,2460,Adam McDermott made Three Point Jumper. Assisted by Miles Wentzien.,39,80
3:02,-1,Michael Williams made Three Point Jumper. Assisted by Dakota Soenksen.,42,80
2:40,2460,Miles Wentzien missed Three Point Jumper.,42,80
2:40,-1,Fred Calvert Defensive Rebound.,42,80
2:24,-1,Fred Calvert made Three Point Jumper. Assisted by Dakota Soenksen.,45,80
2:04,2460,Miles Wentzien missed Jumper.,45,80
2:04,-1,Michael Williams Defensive Rebound.,45,80
1:46,-1,Fred Calvert missed Three Point Jumper.,45,80
1:46,-1,Dylan Hundley Offensive Rebound.,45,80
1:39,-1,Dakota Soenksen missed Three Point Jumper.,45,80
1:39,2460,Luke McDonnell Defensive Rebound.,45,80
1:18,2460,Justin Dahl missed Layup.,45,80
1:18,-1,Justin Smith Defensive Rebound.,45,80
0:56,-1,Wynston Wright made Layup.,47,80
0:49,2460,Lincoln Conrey missed Three Point Jumper.,47,80
0:49,2460,Justin Dahl Offensive Rebound.,47,80
0:45,2460,Justin Dahl Turnover.,47,80
0:30,-1,Wynston Wright Turnover.,47,80
0:29,2460,Miles Wentzien Steal.,47,80
0:00,2460,Northern Iowa  Turnover.,47,80
0:00,2460,End of Game,47,80
