Navy,171,Columbia,2426
7:41,2426,Navy  Turnover.,13,25
7:22,171,Mike Smith made Three Point Jumper. Assisted by Lukas Meisner.,13,28
6:54,2426,Tom Lacey missed Layup.,13,28
6:54,171,Lukas Meisner Block.,13,28
6:53,171,Gabe Stefanini Defensive Rebound.,13,28
6:44,171,Myles Hanson made Three Point Jumper. Assisted by Nate Hickman.,13,31
6:21,2426,Hasan Abdullah Turnover.,13,31
6:21,171,Nate Hickman Steal.,13,31
6:20,2426,Foul on Shawn Anderson.,13,31
5:58,171,Gabe Stefanini missed Three Point Jumper.,13,31
5:58,2426,Shawn Anderson Defensive Rebound.,13,31
5:52,2426,Shawn Anderson made Jumper.,15,31
5:24,171,Gabe Stefanini missed Three Point Jumper.,15,31
5:24,2426,Hasan Abdullah Defensive Rebound.,15,31
5:18,2426,Bryce Dulin made Layup.,17,31
5:16,171,Foul on Lukas Meisner.,17,31
5:16,2426,Bryce Dulin missed Free Throw.,17,31
5:16,171,Myles Hanson Defensive Rebound.,17,31
5:01,171,Foul on Nate Hickman.,17,31
5:01,171,Nate Hickman Turnover.,17,31
4:40,2426,Tyler Riemersma made Layup. Assisted by Nourse Fox.,19,31
4:14,171,Gabe Stefanini Turnover.,19,31
4:13,2426,Tyler Riemersma Steal.,19,31
4:03,2426,Shawn Anderson Turnover.,19,31
4:03,171,Patrick Tape Steal.,19,31
4:01,171,Patrick Tape Turnover.,19,31
3:59,2426,Nourse Fox Steal.,19,31
3:48,2426,Nourse Fox missed Three Point Jumper.,19,31
3:48,171,Myles Hanson Defensive Rebound.,19,31
3:21,171,Myles Hanson made Three Point Jumper. Assisted by Gabe Stefanini.,19,34
2:52,171,Foul on Nate Hickman.,19,34
2:50,2426,Shawn Anderson made Free Throw.,20,34
2:50,2426,Shawn Anderson made Free Throw.,21,34
2:23,171,Gabe Stefanini missed Jumper.,21,34
2:23,2426,Tyler Riemersma Defensive Rebound.,21,34
2:07,2426,Shawn Anderson made Jumper.,23,34
1:54,2426,Foul on Nourse Fox.,23,34
1:53,171,Myles Hanson made Three Point Jumper. Assisted by Mike Smith.,23,37
1:30,2426,Shawn Anderson missed Jumper.,23,37
1:30,2426,Evan Wieck Offensive Rebound.,23,37
1:28,2426,Evan Wieck made Layup.,25,37
1:28,171,Foul on Patrick Tape.,25,37
1:28,2426,Evan Wieck missed Free Throw.,25,37
1:28,2426,Bryce Dulin Offensive Rebound.,25,37
1:09,2426,Evan Wieck made Jumper. Assisted by Tom Lacey.,27,37
0:54,171,Tai Bibbs made Three Point Jumper. Assisted by Gabe Stefanini.,27,40
0:43,171,Foul on Tai Bibbs.,27,40
0:43,2426,Shawn Anderson made Free Throw.,28,40
0:43,2426,Shawn Anderson made Free Throw.,29,40
0:30,171,Jaron Faulds missed Jumper.,29,40
0:30,2426,Tom Lacey Defensive Rebound.,29,40
0:10,2426,Hasan Abdullah made Three Point Jumper. Assisted by Shawn Anderson.,32,40
0:00,171,End of 1st half,32,40
19:41,2426,Tom Lacey missed Three Point Jumper.,32,40
19:41,2426,Navy Offensive Rebound.,32,40
19:27,2426,Tom Lacey made Layup.,34,40
19:10,171,Lukas Meisner missed Three Point Jumper.,34,40
19:10,2426,Tom Lacey Block.,34,40
19:07,2426,Navy Defensive Rebound.,34,40
18:48,2426,Shawn Anderson missed Layup.,34,40
18:48,171,Patrick Tape Block.,34,40
18:48,2426,Navy Offensive Rebound.,34,40
18:43,171,Foul on Mike Smith.,34,40
18:28,2426,Hasan Abdullah made Layup.,36,40
18:11,171,Quinton Adlesh missed Jumper.,36,40
18:11,2426,Tom Lacey Defensive Rebound.,36,40
17:57,2426,Evan Wieck made Layup. Assisted by Hasan Abdullah.,38,40
17:38,171,Nate Hickman made Layup.,38,42
17:21,171,Foul on Lukas Meisner.,38,42
17:14,2426,Evan Wieck made Layup. Assisted by Bryce Dulin.,40,42
16:50,171,Myles Hanson missed Jumper.,40,42
16:50,171,Myles Hanson Offensive Rebound.,40,42
16:42,171,Myles Hanson Turnover.,40,42
16:25,171,Foul on Quinton Adlesh.,40,42
16:13,2426,Shawn Anderson missed Layup.,40,42
16:13,2426,Evan Wieck Offensive Rebound.,40,42
16:11,2426,Evan Wieck made Layup.,42,42
16:00,171,Mike Smith made Jumper.,42,44
15:59,2426,Foul on Hasan Abdullah.,42,44
15:59,171,Mike Smith missed Free Throw.,42,44
15:59,2426,Shawn Anderson Defensive Rebound.,42,44
15:43,2426,Shawn Anderson made Layup.,44,44
15:27,171,Myles Hanson missed Three Point Jumper.,44,44
15:27,2426,Shawn Anderson Defensive Rebound.,44,44
15:17,2426,Shawn Anderson Turnover.,44,44
15:17,171,Official TV Timeout,44,44
15:09,171,Nate Hickman missed Three Point Jumper.,44,44
15:09,2426,Shawn Anderson Defensive Rebound.,44,44
15:03,2426,Bryce Dulin made Dunk. Assisted by Shawn Anderson.,46,44
14:38,171,Nate Hickman missed Three Point Jumper.,46,44
14:38,2426,Evan Wieck Defensive Rebound.,46,44
14:08,2426,Hasan Abdullah missed Layup.,46,44
14:08,171,Myles Hanson Defensive Rebound.,46,44
13:49,2426,Foul on Hasan Abdullah.,46,44
13:32,2426,Foul on Nourse Fox.,46,44
13:32,171,Myles Hanson made Free Throw.,46,45
13:32,171,Myles Hanson made Free Throw.,46,46
13:32,171,Myles Hanson made Free Throw.,46,47
13:17,2426,Bryce Dulin missed Layup.,46,47
13:17,171,Jaron Faulds Defensive Rebound.,46,47
13:16,2426,Foul on Tom Lacey.,46,47
13:04,171,Mike Smith made Jumper. Assisted by Myles Hanson.,46,49
12:31,2426,Foul on Shawn Anderson.,46,49
12:31,2426,Shawn Anderson Turnover.,46,49
12:20,171,Jaron Faulds made Jumper. Assisted by Mike Smith.,46,51
12:03,2426,Hasan Abdullah missed Three Point Jumper.,46,51
12:03,171,Myles Hanson Defensive Rebound.,46,51
11:52,2426,Foul on George Kiernan.,46,51
11:52,171,Official TV Timeout,46,51
11:33,171,Tai Bibbs missed Jumper.,46,51
11:33,2426,George Kiernan Defensive Rebound.,46,51
11:29,2426,George Kiernan Turnover.,46,51
11:25,171,Myles Hanson made Layup. Assisted by Mike Smith.,46,53
11:05,2426,Hasan Abdullah missed Three Point Jumper.,46,53
11:05,171,Jaron Faulds Defensive Rebound.,46,53
10:48,171,Jaron Faulds Turnover.,46,53
10:48,2426,Evan Wieck Steal.,46,53
10:28,2426,Bryce Dulin Turnover.,46,53
10:09,2426,Foul on Evan Wieck.,46,53
10:09,171,Jaron Faulds made Free Throw.,46,54
10:09,171,Jaron Faulds missed Free Throw.,46,54
10:09,2426,Shawn Anderson Defensive Rebound.,46,54
9:49,171,Foul on Jaron Faulds.,46,54
9:38,2426,Tom Lacey missed Jumper.,46,54
9:38,2426,Evan Wieck Offensive Rebound.,46,54
9:36,2426,Evan Wieck made Layup.,48,54
9:04,171,Jaron Faulds missed Jumper.,48,54
9:04,2426,Shawn Anderson Defensive Rebound.,48,54
8:55,171,Foul on Myles Hanson.,48,54
8:42,2426,Hasan Abdullah made Jumper. Assisted by Evan Wieck.,50,54
8:22,171,Mike Smith made Layup.,50,56
7:58,2426,Shawn Anderson missed Three Point Jumper.,50,56
7:58,171,Mike Smith Defensive Rebound.,50,56
7:49,171,Nate Hickman missed Three Point Jumper.,50,56
7:49,2426,Hasan Abdullah Defensive Rebound.,50,56
7:41,2426,Cam Davis missed Three Point Jumper.,50,56
7:41,171,Myles Hanson Block.,50,56
7:39,2426,Cam Davis Offensive Rebound.,50,56
7:36,2426,Shawn Anderson made Three Point Jumper. Assisted by Cam Davis.,53,56
7:15,171,Nate Hickman Turnover.,53,56
7:14,2426,Hasan Abdullah Steal.,53,56
7:08,2426,Cam Davis missed Jumper.,53,56
7:08,171,Jaron Faulds Block.,53,56
7:07,171,Tai Bibbs Defensive Rebound.,53,56
7:02,171,Jaron Faulds missed Layup.,53,56
7:02,171,Tai Bibbs Offensive Rebound.,53,56
6:58,171,Tai Bibbs made Layup.,53,58
6:48,2426,Navy  Timeout,53,58
6:48,171,Official TV Timeout,53,58
6:30,2426,Cam Davis made Jumper.,55,58
6:12,171,Nate Hickman made Three Point Jumper. Assisted by Mike Smith.,55,61
5:55,2426,Shawn Anderson made Layup. Assisted by Tom Lacey.,57,61
5:28,171,Myles Hanson missed Jumper.,57,61
5:28,2426,Shawn Anderson Defensive Rebound.,57,61
5:21,2426,Hasan Abdullah made Three Point Jumper. Assisted by Shawn Anderson.,60,61
4:56,171,Mike Smith missed Layup.,60,61
4:56,2426,Evan Wieck Block.,60,61
4:55,171,Jaron Faulds Offensive Rebound.,60,61
4:53,171,Mike Smith made Three Point Jumper. Assisted by Jaron Faulds.,60,64
4:26,2426,Evan Wieck made Layup. Assisted by Shawn Anderson.,62,64
4:13,171,Tai Bibbs missed Layup.,62,64
4:13,171,Jaron Faulds Offensive Rebound.,62,64
4:08,171,Mike Smith missed Three Point Jumper.,62,64
4:08,2426,Hasan Abdullah Defensive Rebound.,62,64
3:43,2426,Tom Lacey Turnover.,62,64
3:41,171,Nate Hickman Steal.,62,64
3:16,171,Nate Hickman missed Three Point Jumper.,62,64
3:16,2426,Tom Lacey Defensive Rebound.,62,64
3:14,171,Foul on Myles Hanson.,62,64
3:14,171,Official TV Timeout,62,64
3:00,2426,Shawn Anderson missed Jumper.,62,64
3:00,171,Lukas Meisner Defensive Rebound.,62,64
2:34,171,Foul on Mike Smith.,62,64
2:34,171,Mike Smith Turnover.,62,64
2:18,2426,Shawn Anderson missed Jumper.,62,64
2:18,171,Nate Hickman Block.,62,64
2:16,171,Lukas Meisner Defensive Rebound.,62,64
2:07,171,Lukas Meisner missed Three Point Jumper.,62,64
2:07,2426,Hasan Abdullah Defensive Rebound.,62,64
1:55,2426,Hasan Abdullah made Jumper.,64,64
1:33,171,Myles Hanson Turnover.,64,64
1:32,2426,Tom Lacey Steal.,64,64
1:18,171,Foul on Lukas Meisner.,64,64
1:18,2426,Shawn Anderson made Free Throw.,65,64
1:18,2426,Shawn Anderson made Free Throw.,66,64
1:15,171,Columbia  Timeout,66,64
1:02,171,Myles Hanson missed Three Point Jumper.,66,64
1:02,2426,Shawn Anderson Defensive Rebound.,66,64
0:45,2426,Navy  Timeout,66,64
0:33,2426,Shawn Anderson made Layup.,68,64
0:27,2426,Foul on Hasan Abdullah.,68,64
0:27,171,Mike Smith made Free Throw.,68,65
0:27,171,Mike Smith made Free Throw.,68,66
0:27,171,Columbia  Timeout,68,66
0:20,171,Foul on Tai Bibbs.,68,66
0:20,2426,Hasan Abdullah made Free Throw.,69,66
0:20,2426,Hasan Abdullah made Free Throw.,70,66
0:15,171,Mike Smith made Layup.,70,68
0:14,2426,Bryce Dulin Turnover.,70,68
0:10,171,Mike Smith missed Jumper.,70,68
0:10,2426,Bryce Dulin Defensive Rebound.,70,68
0:08,171,Foul on Nate Hickman.,70,68
0:08,2426,Bryce Dulin made Free Throw.,71,68
0:08,2426,Bryce Dulin made Free Throw.,72,68
0:02,171,Mike Smith missed Layup.,72,68
0:02,2426,Bryce Dulin Defensive Rebound.,72,68
0:01,171,Foul on Nate Hickman.,72,68
0:01,2426,Bryce Dulin made Free Throw.,73,68
0:01,2426,Bryce Dulin missed Free Throw.,73,68
0:01,171,Myles Hanson Defensive Rebound.,73,68
0:00,171,End of Game,73,68
