Webber Int.,Error,Florida Atlantic,2226
8:51,2226,Payton Hulsey Defensive Rebound.,16,40
8:39,2226,Justin Massey missed Three Point Jumper.,16,40
8:39,-1,Shaquille Williams Defensive Rebound.,16,40
8:15,-1,Shaquille Williams missed Three Point Jumper.,16,40
8:15,2226,Payton Hulsey Defensive Rebound.,16,40
8:11,2226,Justin Massey made Three Point Jumper.,16,43
8:10,-1,Shaquille Williams Turnover.,16,43
8:08,2226,Je'Quan Perry Steal.,16,43
8:04,2226,Jailyn Ingram missed Layup.,16,43
8:04,2226,Jailyn Ingram Offensive Rebound.,16,43
7:56,2226,Jailyn Ingram missed Jumper.,16,43
7:56,-1,Rasheem Etienne Defensive Rebound.,16,43
7:46,-1,Garrett Woodmansee made Three Point Jumper. Assisted by Shaquille Williams.,19,43
7:25,2226,Justin Massey missed Three Point Jumper.,19,43
7:25,-1,Garrett Woodmansee Defensive Rebound.,19,43
7:05,-1,Garrett Woodmansee missed Three Point Jumper.,19,43
7:05,2226,Anthony Adger Defensive Rebound.,19,43
6:59,2226,Gerdarius Troutman made Three Point Jumper. Assisted by Anthony Adger.,19,46
6:44,-1,Garrett Woodmansee Turnover.,19,46
6:27,2226,Ronald Delph made Jumper.,19,48
6:07,2226,Foul on Jailyn Ingram.,19,48
5:57,-1,Austin Evans missed Free Throw.,19,48
5:57,-1,Webber Offensive Rebound.,19,48
5:57,-1,Webber Deadball Team Rebound.,19,48
5:57,-1,Austin Evans missed Free Throw.,19,48
5:57,-1,Austin Evans made Free Throw.,20,48
5:48,2226,Gerdarius Troutman missed Three Point Jumper.,20,48
5:48,2226,Ronald Delph Offensive Rebound.,20,48
5:41,2226,Ronald Delph made Layup.,20,50
5:34,-1,Johnathan Childs missed Jumper.,20,50
5:34,2226,Justin Massey Defensive Rebound.,20,50
5:29,2226,Gerdarius Troutman made Layup. Assisted by Justin Massey.,20,52
5:16,-1,Foul on Austin Evans.,20,52
5:12,-1,Austin Evans Turnover.,20,52
4:47,2226,Jailyn Ingram made Dunk. Assisted by Justin Massey.,20,54
4:28,-1,Johnathan Childs Turnover.,20,54
4:25,2226,Anthony Adger Steal.,20,54
4:23,2226,Anthony Adger made Layup.,20,56
4:11,-1,Georges Dorvillien made Jumper.,22,56
3:52,2226,Ronald Delph missed Jumper.,22,56
3:52,2226,Ronald Delph Offensive Rebound.,22,56
3:49,-1,Foul on Johnathan Childs.,22,56
3:49,2226,Ronald Delph missed Free Throw.,22,56
3:49,2226,Ronald Delph made Free Throw.,22,57
3:46,-1,Johnathan Childs missed Jumper.,22,57
3:46,2226,Jailyn Ingram Defensive Rebound.,22,57
3:34,2226,Ronald Delph Turnover.,22,57
3:23,-1,Shaquille Williams made Three Point Jumper.,25,57
3:02,-1,Nikita Orap Offensive Rebound.,25,57
3:02,2226,Gerdarius Troutman missed Three Point Jumper.,25,57
2:52,-1,Nicholas Blocker Turnover.,25,57
2:52,-1,Foul on Nicholas Blocker.,25,57
2:43,2226,Gerdarius Troutman missed Three Point Jumper.,25,57
2:43,2226,Ronald Delph Offensive Rebound.,25,57
2:32,2226,Ronald Delph made Layup.,25,59
2:23,-1,Rasheem Etienne Turnover.,25,59
2:21,2226,Payton Hulsey Steal.,25,59
2:16,2226,Jailyn Ingram missed Layup.,25,59
2:16,2226,Payton Hulsey Offensive Rebound.,25,59
2:16,2226,Payton Hulsey made Free Throw.,25,60
2:16,2226,Payton Hulsey missed Free Throw.,25,60
2:16,-1,Joseph Serrano Defensive Rebound.,25,60
2:16,-1,Foul on Joseph Serrano.,25,59
2:13,-1,Tommie Luke missed Jumper.,25,60
2:13,2226,Jailyn Ingram Defensive Rebound.,25,60
2:01,2226,Gerdarius Troutman missed Jumper.,25,60
2:01,2226,Ronald Delph Offensive Rebound.,25,60
1:56,2226,Ronald Delph missed Jumper.,25,60
1:56,-1,Obi Romeo Defensive Rebound.,25,60
1:48,-1,Tommie Luke Turnover.,25,60
1:46,2226,Gerdarius Troutman Steal.,25,60
1:42,2226,Payton Hulsey made Jumper.,25,62
1:18,-1,Georges Dorvillien missed Three Point Jumper.,25,62
1:18,2226,Je'Quan Perry Defensive Rebound.,25,62
1:10,2226,Je'Quan Perry made Three Point Jumper. Assisted by Payton Hulsey.,25,65
0:53,-1,Shaquille Williams Turnover.,25,65
0:41,2226,Gerdarius Troutman missed Three Point Jumper.,25,65
0:41,-1,Tommie Luke Defensive Rebound.,25,65
0:23,2226,Foul on Je'Quan Perry.,25,65
0:23,-1,Tommie Luke made Free Throw.,26,65
0:23,-1,Tommie Luke made Free Throw.,27,65
0:08,2226,Jailyn Ingram missed Three Point Jumper.,27,65
0:08,-1,Obi Romeo Defensive Rebound.,27,65
0:00,2226,End of 1st half,27,65
19:43,2226,Ronald Delph made Jumper.,27,67
19:26,-1,Nikita Orap missed Layup.,27,67
19:26,2226,Anthony Adger Defensive Rebound.,27,67
19:21,-1,Foul on Nicholas Blocker.,27,67
19:21,2226,William Pfister missed Free Throw.,27,67
19:21,2226,William Pfister missed Free Throw.,27,67
19:21,2226,Offensive Rebound.,27,67
18:55,2226,Ronald Delph missed Jumper.,27,67
18:55,-1,Nikita Orap Defensive Rebound.,27,67
18:39,-1,Nikita Orap missed Three Point Jumper.,27,67
18:39,2226,Anthony Adger Defensive Rebound.,27,67
18:28,2226,Anthony Adger missed Layup.,27,67
18:28,-1,Obi Romeo Block.,27,67
18:22,-1,Nicholas Blocker Defensive Rebound.,27,67
18:12,-1,Joseph Serrano missed Jumper.,27,67
18:12,-1,Nicholas Blocker Offensive Rebound.,27,67
18:07,-1,Nicholas Blocker missed Three Point Jumper.,27,67
18:07,2226,William Pfister Defensive Rebound.,27,67
17:53,2226,Gerdarius Troutman made Three Point Jumper.,27,70
17:31,-1,Nikita Orap Turnover.,27,70
17:29,2226,Jailyn Ingram Steal.,27,70
17:27,2226,William Pfister made Layup. Assisted by Gerdarius Troutman.,27,72
17:02,-1,Obi Romeo Turnover.,27,72
16:36,2226,Anthony Adger made Jumper.,27,74
16:15,-1,Shaquille Williams Turnover.,27,74
16:11,2226,Gerdarius Troutman Steal.,27,74
16:11,-1,Foul on Joseph Serrano.,27,74
16:11,2226,Gerdarius Troutman made Free Throw.,27,75
16:10,2226,Gerdarius Troutman made Free Throw.,27,76
16:03,-1,Nicholas Blocker made Jumper.,29,76
15:42,2226,Anthony Adger missed Three Point Jumper.,29,76
15:42,2226,Ronald Delph Offensive Rebound.,29,76
15:34,2226,Jailyn Ingram made Three Point Jumper. Assisted by Gerdarius Troutman.,29,79
15:20,-1,Nicholas Blocker made Layup.,31,79
15:09,2226,Ronald Delph made Layup. Assisted by Jailyn Ingram.,31,81
15:00,-1,Joseph Serrano missed Layup.,31,81
15:00,2226,Ronald Delph Block.,31,81
15:00,-1,Webber Offensive Rebound.,31,81
14:59,-1,Johnathan Childs missed Jumper.,31,81
14:59,2226,William Pfister Defensive Rebound.,31,81
14:37,2226,Ronald Delph made Layup.,31,83
14:19,-1,Nicholas Blocker Turnover.,31,83
14:17,2226,Gerdarius Troutman Steal.,31,83
14:05,2226,William Pfister made Layup. Assisted by Jailyn Ingram.,31,85
13:55,-1,Nicholas Blocker missed Jumper.,31,85
13:55,-1,Johnathan Childs Offensive Rebound.,31,85
13:48,-1,Johnathan Childs made Layup.,33,85
13:39,2226,Jailyn Ingram missed Dunk.,33,85
13:39,-1,Johnathan Childs Block.,33,85
13:39,-1,Webber Defensive Rebound.,33,85
13:30,-1,Tommie Luke missed Jumper.,33,85
13:30,2226,William Pfister Defensive Rebound.,33,85
13:18,2226,Foul on William Pfister.,33,85
13:18,2226,William Pfister Turnover.,33,85
13:16,-1,Shaquille Williams missed Layup.,33,85
13:16,2226,William Pfister Block.,33,85
13:13,-1,Webber Offensive Rebound.,33,85
12:48,-1,Tommie Luke missed Layup.,33,85
12:48,2226,Amir Smith Defensive Rebound.,33,85
12:44,-1,Shaquille Williams missed Jumper.,33,85
12:44,2226,Jailyn Ingram Defensive Rebound.,33,85
12:37,2226,Jailyn Ingram made Layup.,33,87
12:09,-1,Shaquille Williams made Layup.,35,87
11:50,2226,Je'Quan Perry missed Three Point Jumper.,35,87
11:50,2226,Amir Smith Offensive Rebound.,35,87
11:39,2226,William Pfister made Layup. Assisted by Je'Quan Perry.,35,89
11:39,2226,Official TV Timeout,35,89
11:36,-1,Tommie Luke missed Jumper.,35,89
11:36,2226,Justin Massey Defensive Rebound.,35,89
11:27,2226,Amir Smith made Layup. Assisted by Je'Quan Perry.,35,91
11:16,-1,Shaquille Williams missed Jumper.,35,91
11:16,-1,Obi Romeo Offensive Rebound.,35,91
11:13,2226,Foul on Amir Smith.,35,91
11:13,-1,Obi Romeo missed Free Throw.,35,91
11:13,-1,Webber Deadball Team Rebound.,35,91
11:13,-1,Obi Romeo missed Free Throw.,35,91
11:13,2226,Je'Quan Perry Defensive Rebound.,35,91
11:01,2226,Devorious Brown Turnover.,35,91
10:53,-1,Obi Romeo Turnover.,35,91
10:41,2226,Devorious Brown Turnover.,35,91
10:40,-1,Rasheem Etienne Steal.,35,91
10:36,-1,Tommie Luke missed Three Point Jumper.,35,91
10:36,2226,Amir Smith Defensive Rebound.,35,91
10:24,2226,Justin Massey missed Three Point Jumper.,35,91
10:24,-1,Garrett Woodmansee Defensive Rebound.,35,91
10:14,2226,Foul on Je'Quan Perry.,35,91
10:13,-1,Tommie Luke made Jumper. Assisted by Garrett Woodmansee.,37,91
9:56,2226,Amir Smith missed Layup.,37,91
9:56,-1,Obi Romeo Defensive Rebound.,37,91
9:42,-1,Obi Romeo Turnover.,37,91
9:29,2226,Amir Smith made Dunk. Assisted by Payton Hulsey.,37,93
8:59,-1,Tommie Luke made Jumper.,39,93
8:45,2226,Devorious Brown missed Jumper.,39,93
8:45,-1,Obi Romeo Defensive Rebound.,39,93
8:32,-1,Georges Dorvillien made Layup.,41,93
8:07,2226,Devorious Brown Turnover.,41,93
7:49,-1,Georges Dorvillien missed Three Point Jumper.,41,93
7:49,2226,Justin Massey Defensive Rebound.,41,93
7:42,2226,Justin Massey made Layup.,41,95
7:30,-1,Austin Evans Turnover.,41,95
7:18,2226,Justin Massey missed Three Point Jumper.,41,95
7:18,2226,Devorious Brown Offensive Rebound.,41,95
7:10,-1,Foul on Austin Evans.,41,95
7:10,2226,Devorious Brown made Free Throw.,41,96
7:10,2226,Devorious Brown made Free Throw.,41,97
7:04,2226,Foul on Devorious Brown.,41,97
6:46,-1,Georges Dorvillien missed Layup.,41,97
6:46,2226,Justin Massey Defensive Rebound.,41,97
6:34,2226,Tre' Maloney made Jumper. Assisted by Justin Massey.,41,99
6:19,-1,Tommie Luke missed Layup.,41,99
6:19,2226,Simeon Lepichev Defensive Rebound.,41,99
6:13,2226,Simeon Lepichev made Layup. Assisted by Payton Hulsey.,41,101
6:05,-1,Austin Evans missed Layup.,41,101
6:05,2226,Payton Hulsey Defensive Rebound.,41,101
5:59,2226,Justin Massey missed Layup.,41,101
5:59,-1,Georges Dorvillien Block.,41,101
5:53,2226,Simeon Lepichev Offensive Rebound.,41,101
5:48,2226,Simeon Lepichev made Layup.,41,103
5:36,2226,Foul on Payton Hulsey.,41,103
5:36,-1,Georges Dorvillien missed Free Throw.,41,103
5:36,-1,Webber Deadball Team Rebound.,41,103
5:36,-1,Georges Dorvillien made Free Throw.,42,103
5:27,-1,Foul on Georges Dorvillien.,42,103
5:17,2226,Payton Hulsey Turnover.,42,103
5:15,-1,Austin Evans Steal.,42,103
5:13,-1,Garrett Woodmansee missed Three Point Jumper.,42,103
5:13,-1,Shaquille Williams Offensive Rebound.,42,103
5:04,-1,Garrett Woodmansee made Layup. Assisted by Shaquille Williams.,44,103
4:43,2226,Simeon Lepichev made Jumper.,44,105
4:21,2226,Foul on Simeon Lepichev.,44,105
4:19,-1,Shaquille Williams missed Three Point Jumper.,44,105
4:19,-1,Nicholas Blocker Offensive Rebound.,44,105
4:08,-1,Georges Dorvillien missed Three Point Jumper.,44,105
4:08,2226,Tre' Maloney Defensive Rebound.,44,105
3:56,2226,Byron Abrams missed Three Point Jumper.,44,105
3:56,-1,Austin Evans Defensive Rebound.,44,105
3:40,-1,Shaquille Williams missed Three Point Jumper.,44,105
3:40,-1,Georges Dorvillien Offensive Rebound.,44,105
3:32,2226,Foul on Simeon Lepichev.,44,105
3:32,-1,Nicholas Blocker missed Free Throw.,44,105
3:32,-1,Webber Deadball Team Rebound.,44,105
3:32,-1,Nicholas Blocker made Free Throw.,45,105
3:07,2226,Devorious Brown missed Three Point Jumper.,45,105
3:07,-1,Garrett Woodmansee Defensive Rebound.,45,105
2:51,-1,Garrett Woodmansee missed Three Point Jumper.,45,105
2:51,2226,Tre' Maloney Defensive Rebound.,45,105
2:37,2226,Simeon Lepichev missed Jumper.,45,105
2:37,-1,Garrett Woodmansee Block.,45,105
2:33,-1,Nicholas Blocker Defensive Rebound.,45,105
2:29,-1,Garrett Woodmansee missed Three Point Jumper.,45,105
2:29,-1,Obi Romeo Offensive Rebound.,45,105
2:20,2226,Foul on Tre' Maloney.,45,105
2:20,-1,Obi Romeo missed Free Throw.,45,105
2:20,-1,Webber Deadball Team Rebound.,45,105
2:20,-1,Obi Romeo made Free Throw.,46,105
2:04,2226,Simeon Lepichev made Layup. Assisted by Devorious Brown.,46,107
1:36,-1,Nicholas Blocker Turnover.,46,107
1:25,2226,Byron Abrams missed Three Point Jumper.,46,107
1:25,2226,Simeon Lepichev Offensive Rebound.,46,107
1:00,2226,Chisom Obidike Turnover.,46,107
0:59,-1,Joseph Serrano Steal.,46,107
0:55,-1,Joseph Serrano missed Layup.,46,107
0:55,2226,Chisom Obidike Defensive Rebound.,46,107
0:42,-1,Foul on Obi Romeo.,46,107
0:42,2226,Chisom Obidike missed Free Throw.,46,107
0:42,2226,Chisom Obidike made Free Throw.,46,108
0:24,-1,Georges Dorvillien missed Jumper.,46,108
0:24,2226,Simeon Lepichev Block.,46,108
0:22,2226,Simeon Lepichev Defensive Rebound.,46,108
0:00,2226,End of Game,46,108
