UNC Wilmington,99,LSU,350
1:45,99,Aaron Epps made Layup.,31,44
1:45,350,Foul on JaQuel Richmond.,31,44
1:45,99,Official TV Timeout,31,44
1:45,99,Aaron Epps made Free Throw.,31,45
1:28,350,Jordon Talley made Three Point Jumper. Assisted by Nick Powell.,34,45
1:10,99,Daryl Edwards made Three Point Jumper. Assisted by Duop Reath.,34,48
1:00,350,Jordon Talley missed Three Point Jumper.,34,48
1:00,99,Aaron Epps Defensive Rebound.,34,48
0:45,99,Aaron Epps made Dunk. Assisted by Tremont Waters.,34,50
0:38,350,JaQuel Richmond made Jumper.,36,50
0:32,350,Foul on JaQuel Richmond.,36,50
0:32,99,Tremont Waters made Free Throw.,36,51
0:32,99,Tremont Waters made Free Throw.,36,52
0:03,350,Ty Taylor II missed Three Point Jumper.,36,52
0:03,99,Randy Onwuasor Defensive Rebound.,36,52
0:00,99,End of 1st half,36,52
19:44,350,Ty Taylor II missed Three Point Jumper.,36,52
19:44,99,Aaron Epps Defensive Rebound.,36,52
19:30,99,Tremont Waters Turnover.,36,52
19:30,350,Jordon Talley Steal.,36,52
19:19,350,Devontae Cacok Turnover.,36,52
19:19,350,Foul on Devontae Cacok.,36,52
19:02,99,Wayde Sims missed Three Point Jumper.,36,52
19:02,350,Jaylen Fornes Defensive Rebound.,36,52
18:47,350,Ty Taylor II missed Jumper.,36,52
18:47,350,Devontae Cacok Offensive Rebound.,36,52
18:43,350,Devontae Cacok made Layup.,38,52
18:25,99,Aaron Epps missed Jumper.,38,52
18:25,99,Aaron Epps Offensive Rebound.,38,52
18:22,99,Aaron Epps missed Jumper.,38,52
18:22,99,Wayde Sims Offensive Rebound.,38,52
18:20,99,Wayde Sims made Layup.,38,54
18:02,350,Devontae Cacok missed Jumper.,38,54
18:02,350,Marcus Bryan Offensive Rebound.,38,54
17:57,350,Jordon Talley missed Three Point Jumper.,38,54
17:57,99,Wayde Sims Defensive Rebound.,38,54
17:41,99,Tremont Waters Turnover.,38,54
17:40,350,Devontae Cacok Steal.,38,54
17:22,350,Devontae Cacok Turnover.,38,54
17:08,350,Foul on Devontae Cacok.,38,54
17:02,99,Brandon Rachal missed Three Point Jumper.,38,54
17:02,350,Devontae Cacok Defensive Rebound.,38,54
16:51,350,Jordon Talley made Jumper.,40,54
16:26,99,Duop Reath made Layup.,40,56
16:06,350,Jaylen Fornes missed Three Point Jumper.,40,56
16:06,99,Duop Reath Defensive Rebound.,40,56
15:58,350,Foul on Ty Taylor II.,40,56
15:58,99,Official TV Timeout,40,56
15:52,350,Foul on Jay Estime'.,40,56
15:42,99,Skylar Mays missed Three Point Jumper.,40,56
15:42,350,Jordon Talley Defensive Rebound.,40,56
15:30,350,Devontae Cacok made Dunk. Assisted by Jordon Talley.,42,56
15:22,350,Foul on Devontae Cacok.,42,56
15:22,99,Duop Reath made Free Throw.,42,57
15:22,99,Duop Reath missed Free Throw.,42,57
15:22,350,Jay Estime' Defensive Rebound.,42,57
15:15,99,Foul on Skylar Mays.,42,57
15:15,350,Jordon Talley made Free Throw.,43,57
15:15,350,Jordon Talley made Free Throw.,44,57
15:02,99,Daryl Edwards Turnover.,44,57
14:48,350,Nick Powell missed Jumper.,44,57
14:48,350,Marcus Bryan Offensive Rebound.,44,57
14:38,350,JaQuel Richmond made Jumper.,46,57
14:31,99,Tremont Waters Turnover.,46,57
14:31,99,Foul on Tremont Waters.,46,57
14:18,350,Marcus Bryan missed Layup.,46,57
14:18,99,Duop Reath Defensive Rebound.,46,57
13:50,99,Randy Onwuasor Turnover.,46,57
13:50,99,Foul on Randy Onwuasor.,46,57
13:40,350,Jeffrey Gary made Layup.,48,57
13:33,99,Randy Onwuasor made Layup. Assisted by Tremont Waters.,48,59
13:24,350,JaQuel Richmond made Three Point Jumper. Assisted by Devontae Cacok.,51,59
12:59,99,Duop Reath made Jumper.,51,61
12:51,350,Nick Powell missed Three Point Jumper.,51,61
12:51,99,Tremont Waters Defensive Rebound.,51,61
12:42,99,Tremont Waters missed Jumper.,51,61
12:42,99,Tremont Waters Offensive Rebound.,51,61
12:41,350,Foul on Nick Powell.,51,61
12:37,350,Foul on Jeffrey Gary.,51,61
12:37,99,Duop Reath made Free Throw.,51,62
12:37,99,Duop Reath made Free Throw.,51,63
12:14,350,Jay Estime' missed Three Point Jumper.,51,63
12:14,99,Brandon Rachal Defensive Rebound.,51,63
12:05,99,Brandon Rachal missed Jumper.,51,63
12:05,99,Wayde Sims Offensive Rebound.,51,63
12:03,99,Wayde Sims made Layup.,51,65
11:50,350,Jaylen Fornes made Three Point Jumper. Assisted by JaQuel Richmond.,54,65
11:29,99,Tremont Waters missed Jumper.,54,65
11:29,99,Aaron Epps Offensive Rebound.,54,65
11:29,350,Foul on Jay Estime'.,54,65
11:29,99,Official TV Timeout,54,65
11:29,99,Aaron Epps made Free Throw.,54,66
11:29,99,Aaron Epps missed Free Throw.,54,66
11:29,350,Devontae Cacok Defensive Rebound.,54,66
11:18,350,Jordon Talley missed Three Point Jumper.,54,66
11:18,350,Jaylen Fornes Offensive Rebound.,54,66
11:16,99,Foul on Wayde Sims.,54,66
11:16,350,Jaylen Fornes made Free Throw.,55,66
11:16,350,Jaylen Fornes made Free Throw.,56,66
10:55,99,Wayde Sims missed Layup.,56,66
10:55,350,Devontae Cacok Defensive Rebound.,56,66
10:47,350,Jeffrey Gary made Three Point Jumper. Assisted by Jordon Talley.,59,66
10:29,99,Skylar Mays made Layup.,59,68
10:29,99,LSU  Timeout,59,68
10:15,350,Devontae Cacok missed Jumper.,59,68
10:15,99,Brandon Rachal Defensive Rebound.,59,68
10:00,99,Duop Reath made Jumper. Assisted by Skylar Mays.,59,70
9:33,350,Devontae Cacok made Layup. Assisted by Jordon Talley.,61,70
9:27,99,Skylar Mays made Three Point Jumper. Assisted by Tremont Waters.,61,73
9:05,350,Jordon Talley made Jumper.,63,73
8:40,99,Tremont Waters Turnover.,63,73
8:39,350,Marcus Bryan Steal.,63,73
8:34,350,UNC Wilmington  Timeout,63,73
8:17,350,Jordon Talley made Jumper.,65,73
8:02,99,Wayde Sims Turnover.,65,73
7:49,350,Ty Taylor II Turnover.,65,73
7:48,99,Duop Reath Steal.,65,73
7:38,99,Daryl Edwards made Three Point Jumper. Assisted by Skylar Mays.,65,76
7:38,350,Foul on Jordon Talley.,65,76
7:38,99,Official TV Timeout,65,76
7:38,99,Daryl Edwards made Free Throw.,65,77
7:23,350,Devontae Cacok Turnover.,65,77
7:07,99,Wayde Sims missed Three Point Jumper.,65,77
7:07,350,Ty Taylor II Defensive Rebound.,65,77
7:02,350,Ty Taylor II Turnover.,65,77
6:52,99,Tremont Waters made Jumper.,65,79
6:52,350,Foul on Ty Taylor II.,65,79
6:52,99,Tremont Waters made Free Throw.,65,80
6:37,350,Devontae Cacok made Dunk.,67,80
6:21,99,Skylar Mays Turnover.,67,80
6:19,350,Jeffrey Gary Steal.,67,80
6:16,350,Devontae Cacok Turnover.,67,80
5:58,350,Foul on JaQuel Richmond.,67,80
5:58,99,Wayde Sims made Free Throw.,67,81
5:58,99,Wayde Sims made Free Throw.,67,82
5:49,99,Foul on Wayde Sims.,67,82
5:49,350,Devontae Cacok made Free Throw.,68,82
5:49,350,Devontae Cacok made Free Throw.,69,82
5:34,99,Skylar Mays made Three Point Jumper. Assisted by Aaron Epps.,69,85
5:17,350,JaQuel Richmond made Jumper.,71,85
4:43,99,Tremont Waters made Jumper.,71,87
4:36,350,Jordon Talley missed Jumper.,71,87
4:36,99,Skylar Mays Defensive Rebound.,71,87
4:30,350,Foul on Devontae Cacok.,71,87
4:30,99,Skylar Mays made Free Throw.,71,88
4:30,99,Skylar Mays made Free Throw.,71,89
4:20,350,Jeffrey Gary missed Three Point Jumper.,71,89
4:20,99,Brandon Rachal Defensive Rebound.,71,89
3:57,99,Brandon Rachal missed Jumper.,71,89
3:57,350,Jeffrey Gary Defensive Rebound.,71,89
3:46,350,Jeffrey Gary made Jumper.,73,89
3:17,99,Aaron Epps missed Three Point Jumper.,73,89
3:17,350,Jaylen Fornes Defensive Rebound.,73,89
3:08,350,Jeffrey Gary missed Three Point Jumper.,73,89
3:08,99,Tremont Waters Defensive Rebound.,73,89
3:08,350,Foul on Jay Estime'.,73,89
3:08,99,Official TV Timeout,73,89
3:08,99,Tremont Waters made Free Throw.,73,90
3:08,99,Tremont Waters made Free Throw.,73,91
3:02,99,Foul on Tremont Waters.,73,91
2:54,350,Jaylen Fornes made Three Point Jumper. Assisted by Jordon Talley.,76,91
2:54,99,Foul on Brandon Rachal.,76,91
2:54,350,Jaylen Fornes missed Free Throw.,76,91
2:54,99,Brandon Rachal Defensive Rebound.,76,91
2:40,99,Skylar Mays Turnover.,76,91
2:32,350,Jeffrey Gary made Three Point Jumper. Assisted by Jordon Talley.,79,91
2:07,99,Tremont Waters missed Three Point Jumper.,79,91
2:07,350,Ty Taylor II Defensive Rebound.,79,91
2:01,350,Ty Taylor II Turnover.,79,91
1:44,99,Wayde Sims made Dunk. Assisted by Tremont Waters.,79,93
1:28,350,Ty Taylor II made Three Point Jumper. Assisted by Jeffrey Gary.,82,93
0:59,99,Skylar Mays made Layup.,82,95
0:46,350,Jaylen Fornes missed Three Point Jumper.,82,95
0:46,350,Jeffrey Gary Offensive Rebound.,82,95
0:42,350,Ty Taylor II missed Three Point Jumper.,82,95
0:42,350,Jeffrey Gary Offensive Rebound.,82,95
0:34,350,Jeffrey Gary missed Jumper.,82,95
0:34,99,Wayde Sims Defensive Rebound.,82,95
0:24,99,Duop Reath made Layup. Assisted by Tremont Waters.,82,97
0:16,99,Foul on Daryl Edwards.,82,97
0:16,350,Jordon Talley made Free Throw.,83,97
0:16,350,Jordon Talley made Free Throw.,84,97
0:00,99,End of Game,84,97
