South Alabama,2565,SIU-Edwardsville,6
18:48,2565,Christian Ellis Defensive Rebound.,44,39
18:32,2565,Jalen Henry made Three Point Jumper. Assisted by David McFarland.,44,42
18:12,6,Josh Ajayi missed Jumper.,44,42
18:12,2565,David McFarland Defensive Rebound.,44,42
17:56,2565,Jalen Henry missed Jumper.,44,42
17:56,6,Dederick Lee Defensive Rebound.,44,42
17:38,2565,Foul on David McFarland.,44,42
17:36,6,Rodrick Sikes missed Jumper.,44,42
17:36,2565,Keenan Simmons Defensive Rebound.,44,42
17:24,2565,Jaylen McCoy missed Three Point Jumper.,44,42
17:24,2565,Keenan Simmons Offensive Rebound.,44,42
17:19,2565,Keenan Simmons missed Jumper.,44,42
17:19,6,South Alabama Defensive Rebound.,44,42
17:18,2565,Foul on Jaylen McCoy.,44,42
17:15,2565,Foul on Jaylen McCoy.,44,42
16:55,6,Josh Ajayi missed Jumper.,44,42
16:55,2565,Jalen Henry Defensive Rebound.,44,42
16:46,2565,Daniel Kinchen made Jumper.,44,44
16:33,6,Dederick Lee made Jumper.,46,44
16:10,6,Foul on Dederick Lee.,46,44
16:03,2565,Daniel Kinchen missed Jumper.,46,44
16:03,6,Joe Thompson Block.,46,44
16:02,2565,Keenan Simmons Offensive Rebound.,46,44
15:59,2565,Daniel Kinchen missed Three Point Jumper.,46,44
15:59,2565,Keenan Simmons Offensive Rebound.,46,44
15:55,6,Foul on Josh Ajayi.,46,44
15:55,2565,Official TV Timeout,46,44
15:28,2565,Christian Ellis made Jumper.,46,46
15:14,2565,Foul on Daniel Kinchen.,46,46
15:14,6,Joe Thompson made Free Throw.,47,46
15:14,6,Joe Thompson missed Free Throw.,47,46
15:14,2565,Keenan Simmons Defensive Rebound.,47,46
14:55,2565,Brandon Jackson missed Jumper.,47,46
14:55,6,Jordan Andrews Defensive Rebound.,47,46
14:41,2565,Foul on Christian Ellis.,47,46
14:25,6,Herb McGee missed Jumper.,47,46
14:25,2565,Christian Ellis Defensive Rebound.,47,46
14:16,2565,Brandon Jackson made Layup. Assisted by Daniel Kinchen.,47,48
14:06,6,Dederick Lee made Layup.,49,48
13:54,2565,Daniel Kinchen made Three Point Jumper. Assisted by Christian Ellis.,49,51
13:37,6,Joe Thompson missed Jumper.,49,51
13:37,2565,Keenan Simmons Defensive Rebound.,49,51
13:30,2565,Daniel Kinchen made Three Point Jumper.,49,54
13:29,6,South Alabama  Timeout,49,54
13:16,6,Jordan Andrews missed Jumper.,49,54
13:16,2565,SIU-Edwardsville Defensive Rebound.,49,54
13:10,2565,Foul on Jalen Henry.,49,54
13:10,6,Trhae Mitchell made Jumper.,51,54
12:31,2565,Justin Benton missed Three Point Jumper.,51,54
12:31,6,John Pettway Defensive Rebound.,51,54
12:24,6,John Pettway made Layup.,53,54
12:01,2565,Daniel Kinchen made Three Point Jumper. Assisted by Justin Benton.,53,57
11:44,6,Herb McGee missed Three Point Jumper.,53,57
11:44,6,Trhae Mitchell Offensive Rebound.,53,57
11:33,6,Trhae Mitchell made Layup.,55,57
11:20,2565,Bill Awet made Layup. Assisted by Jalen Henry.,55,59
11:05,6,Trhae Mitchell Turnover.,55,59
11:05,2565,Official TV Timeout,55,59
10:55,2565,Daniel Kinchen missed Three Point Jumper.,55,59
10:55,6,Herb McGee Defensive Rebound.,55,59
10:44,2565,Foul on Brandon Jackson.,55,59
10:44,6,John Pettway made Free Throw.,56,59
10:44,6,John Pettway Turnover.,56,59
10:32,2565,David McFarland Turnover.,56,59
10:25,6,John Pettway Turnover.,56,59
10:24,2565,David McFarland Steal.,56,59
10:19,2565,David McFarland missed Three Point Jumper.,56,59
10:19,6,Herb McGee Defensive Rebound.,56,59
10:10,6,Herb McGee made Layup.,58,59
9:36,2565,Foul on Justin Benton.,58,59
9:36,2565,Justin Benton Turnover.,58,59
9:24,6,Josh Ajayi Turnover.,58,59
9:08,2565,David McFarland missed Three Point Jumper.,58,59
9:08,6,Jordan Andrews Defensive Rebound.,58,59
8:56,6,Josh Ajayi missed Jumper.,58,59
8:56,2565,David McFarland Defensive Rebound.,58,59
8:38,6,Foul on Dederick Lee.,58,59
8:38,2565,Daniel Kinchen missed Free Throw.,58,59
8:38,2565,SIU-Edwardsville Deadball Team Rebound.,58,59
8:38,2565,Daniel Kinchen made Free Throw.,58,60
8:26,6,John Pettway Turnover.,58,60
8:24,2565,D.J. Jackson Steal.,58,60
8:14,2565,Jalen Henry made Jumper. Assisted by Christian Ellis.,58,62
7:59,6,Jordan Andrews missed Three Point Jumper.,58,62
7:59,6,Josh Ajayi Offensive Rebound.,58,62
7:56,6,Josh Ajayi Turnover.,58,62
7:56,2565,Official TV Timeout,58,62
7:34,2565,Jalen Henry missed Jumper.,58,62
7:34,6,Josh Ajayi Defensive Rebound.,58,62
7:26,2565,Foul on Christian Ellis.,58,62
7:26,6,Rodrick Sikes missed Free Throw.,58,62
7:26,6,South Alabama Deadball Team Rebound.,58,62
7:26,6,Rodrick Sikes made Free Throw.,59,62
7:26,6,Rodrick Sikes made Free Throw.,60,62
7:13,6,Foul on Nick Davis.,60,62
7:13,2565,Jalen Henry missed Free Throw.,60,62
7:13,2565,SIU-Edwardsville Deadball Team Rebound.,60,62
7:13,2565,Jalen Henry missed Free Throw.,60,62
7:13,6,Trhae Mitchell Defensive Rebound.,60,62
6:58,6,Josh Ajayi missed Layup.,60,62
6:58,2565,Jalen Henry Block.,60,62
6:57,2565,Jalen Henry Defensive Rebound.,60,62
6:33,2565,D.J. Jackson missed Three Point Jumper.,60,62
6:33,6,Rodrick Sikes Defensive Rebound.,60,62
6:32,2565,Foul on Keenan Simmons.,60,62
6:32,6,Rodrick Sikes made Free Throw.,61,62
6:32,6,Rodrick Sikes made Free Throw.,62,62
6:20,2565,Christian Ellis Turnover.,62,62
6:19,6,Rodrick Sikes Steal.,62,62
6:19,2565,Foul on Christian Ellis.,62,62
6:19,6,Rodrick Sikes made Free Throw.,63,62
6:19,6,Rodrick Sikes made Free Throw.,64,62
6:01,2565,Jalen Henry missed Jumper.,64,62
6:01,2565,Keenan Simmons Offensive Rebound.,64,62
5:58,6,Foul on Trhae Mitchell.,64,62
5:58,2565,Jalen Henry missed Free Throw.,64,62
5:58,6,Trhae Mitchell Defensive Rebound.,64,62
5:44,6,Jordan Andrews missed Layup.,64,62
5:44,2565,D.J. Jackson Defensive Rebound.,64,62
5:35,2565,Justin Benton Turnover.,64,62
5:34,6,Josh Ajayi Steal.,64,62
5:11,6,Jordan Andrews made Three Point Jumper.,67,62
5:10,2565,Foul on D.J. Jackson.,67,62
5:10,6,Jordan Andrews made Free Throw.,68,62
5:10,2565,SIU-Edwardsville  Timeout,68,62
4:48,2565,Jalen Henry missed Jumper.,68,62
4:48,2565,Jalen Henry Offensive Rebound.,68,62
4:34,2565,Justin Benton Turnover.,68,62
4:32,6,Rodrick Sikes Steal.,68,62
4:31,6,Rodrick Sikes made Dunk.,70,62
4:16,6,Foul on Trhae Mitchell.,70,62
4:16,2565,Jalen Henry made Free Throw.,70,63
4:16,2565,Jalen Henry made Free Throw.,70,64
4:00,6,Trhae Mitchell missed Jumper.,70,64
4:00,2565,Keenan Simmons Block.,70,64
4:00,6,South Alabama Offensive Rebound.,70,64
3:59,2565,Official TV Timeout,70,64
3:47,6,Jordan Andrews missed Three Point Jumper.,70,64
3:47,6,South Alabama Offensive Rebound.,70,64
3:45,6,South Alabama  Turnover.,70,64
3:17,2565,Daniel Kinchen missed Three Point Jumper.,70,64
3:17,6,Josh Ajayi Defensive Rebound.,70,64
3:01,6,Josh Ajayi missed Jumper.,70,64
3:01,2565,Jalen Henry Defensive Rebound.,70,64
2:41,6,Foul on Trhae Mitchell.,70,64
2:41,2565,Jalen Henry made Free Throw.,70,65
2:41,2565,Jalen Henry made Free Throw.,70,66
2:15,6,Trhae Mitchell missed Jumper.,70,66
2:15,6,Josh Ajayi Offensive Rebound.,70,66
2:13,6,Josh Ajayi made Jumper.,72,66
2:13,2565,Foul on Keenan Simmons.,72,66
2:13,6,Josh Ajayi missed Free Throw.,72,66
2:13,2565,Jalen Henry Defensive Rebound.,72,66
2:03,6,Foul on Herb McGee.,72,66
2:03,2565,Justin Benton made Free Throw.,72,67
2:03,2565,Justin Benton made Free Throw.,72,68
1:51,6,Josh Ajayi made Dunk. Assisted by Dederick Lee.,74,68
1:36,2565,Daniel Kinchen made Three Point Jumper.,74,71
1:02,6,Rodrick Sikes missed Three Point Jumper.,74,71
1:00,2565,SIU-Edwardsville Defensive Rebound.,74,71
1:00,6,South Alabama  Timeout,74,71
0:43,2565,Jalen Henry made Three Point Jumper. Assisted by Daniel Kinchen.,74,74
0:43,2565,SIU-Edwardsville  Timeout,74,74
0:32,2565,Foul on Christian Ellis.,74,74
0:32,6,Dederick Lee missed Free Throw.,74,74
0:32,6,South Alabama Deadball Team Rebound.,74,74
0:32,6,Dederick Lee made Free Throw.,75,74
0:20,2565,SIU-Edwardsville  Timeout,75,74
0:03,6,Foul on Herb McGee.,75,74
0:03,6,South Alabama  Timeout,75,74
0:03,2565,Jalen Henry made Free Throw.,75,75
0:03,2565,Jalen Henry made Free Throw.,75,76
0:00,6,Dederick Lee missed Three Point Jumper.,75,76
0:00,2565,SIU-Edwardsville Deadball Team Rebound.,75,76
0:00,2565,End of Game,75,76
