Toccoa Falls,Error,High Point,2272
10:31,2272,Sam Berlin made Layup.,37,83
10:14,2272,Foul on Sam Berlin.,37,83
10:14,-1,Shane Thompson made Free Throw.,38,83
10:14,-1,Shane Thompson missed Free Throw.,38,83
10:14,2272,Sam Berlin Defensive Rebound.,38,83
10:10,2272,Luke Vargo missed Three Point Jumper.,38,83
10:10,2272,Sam Berlin Offensive Rebound.,38,83
10:03,2272,Jamal Wright made Layup. Assisted by Denny Slay.,38,85
9:50,-1,Seth Stanley Turnover.,38,85
9:49,2272,Jordan Whitehead Steal.,38,85
9:46,2272,Denny Slay made Layup. Assisted by Jamal Wright.,38,87
9:32,2272,Foul on Jamal Wright.,38,87
9:19,-1,Joe Dockery Turnover.,38,87
9:18,2272,Jamal Wright Steal.,38,87
9:13,2272,Jamal Wright missed Layup.,38,87
9:13,2272,Sam Berlin Offensive Rebound.,38,87
9:12,2272,Sam Berlin missed Layup.,38,87
9:12,-1,Kevin Cave Block.,38,87
9:12,-1,Toccoa Falls Defensive Rebound.,38,87
9:03,-1,Christian Newman Turnover.,38,87
9:03,-1,Foul on Christian Newman.,38,87
8:45,2272,Dexter Gooding missed Three Point Jumper.,38,87
8:45,2272,Jordan Whitehead Offensive Rebound.,38,87
8:39,2272,Jordan Whitehead missed Layup.,38,87
8:39,-1,Toccoa Falls Defensive Rebound.,38,87
8:36,-1,Kevin Cave Turnover.,38,87
8:12,2272,Denny Slay made Jumper.,38,89
7:47,-1,Kevin Cave missed Three Point Jumper.,38,89
7:47,2272,Denny Slay Defensive Rebound.,38,89
7:40,2272,Jordan Whitehead made Layup. Assisted by Denny Slay.,38,91
7:23,-1,Shane Thompson missed Layup.,38,91
7:23,2272,Dexter Gooding Defensive Rebound.,38,91
7:16,2272,Luke Vargo made Dunk. Assisted by Denny Slay.,38,93
7:06,2272,Foul on Dexter Gooding.,38,93
6:59,2272,Official TV Timeout,38,93
6:41,-1,Toccoa Falls  Turnover.,38,93
6:18,2272,Dexter Gooding made Three Point Jumper. Assisted by Denny Slay.,38,96
5:51,-1,Kevin Cave missed Jumper.,38,96
5:51,2272,Luke Vargo Defensive Rebound.,38,96
5:50,-1,Foul on Christian Newman.,38,96
5:50,2272,Luke Vargo missed Free Throw.,38,96
5:50,2272,Cliff Thomas Jr. Offensive Rebound.,38,96
5:49,2272,Cliff Thomas Jr. made Layup.,38,98
5:35,-1,Kevin Cave missed Three Point Jumper.,38,98
5:35,2272,Dexter Gooding Defensive Rebound.,38,98
5:27,2272,Dexter Gooding made Three Point Jumper. Assisted by Jamal Wright.,38,101
5:18,-1,Kevin Cave missed Jumper.,38,101
5:18,2272,Dexter Gooding Defensive Rebound.,38,101
5:09,2272,Dexter Gooding made Three Point Jumper. Assisted by Jamal Wright.,38,104
5:03,-1,Toccoa Falls  Timeout,38,104
5:03,-1,Jordan Grayson missed Layup.,38,104
5:03,2272,Dexter Gooding Block.,38,104
4:59,2272,Cliff Thomas Jr. Defensive Rebound.,38,104
4:51,2272,Dexter Gooding missed Three Point Jumper.,38,104
4:51,2272,Cliff Thomas Jr. Offensive Rebound.,38,104
4:35,2272,Austin White missed Three Point Jumper.,38,104
4:35,-1,Seth Stanley Defensive Rebound.,38,104
3:41,-1,Christian Newman missed Layup.,38,104
3:41,2272,Dexter Gooding Defensive Rebound.,38,104
3:25,2272,Cliff Thomas Jr. made Jumper.,38,106
3:03,-1,Seth Stanley missed Jumper.,38,106
3:03,2272,Jamal Wright Defensive Rebound.,38,106
2:45,2272,Cliff Thomas Jr. made Dunk. Assisted by Jamal Wright.,38,108
2:26,-1,Seth Stanley Turnover.,38,108
2:25,2272,Jamal Wright Steal.,38,108
2:20,-1,Foul on Seth Stanley.,38,108
2:20,2272,Official TV Timeout,38,108
2:20,2272,Jamal Wright made Free Throw.,38,109
2:20,2272,Jamal Wright made Free Throw.,38,110
2:15,-1,Dylan Brandenburg missed Jumper.,38,110
2:15,2272,Cliff Thomas Jr. Defensive Rebound.,38,110
2:10,2272,Luke Vargo missed Three Point Jumper.,38,110
2:10,-1,Dylan Brandenburg Defensive Rebound.,38,110
2:04,-1,Kevin Cave missed Jumper.,38,110
2:04,2272,Cliff Thomas Jr. Defensive Rebound.,38,110
1:35,2272,Jamal Wright missed Jumper.,38,110
1:35,-1,Kevin Cave Defensive Rebound.,38,110
0:31,2272,Foul on Jamal Wright.,38,110
0:31,-1,Dylan Brandenburg made Free Throw.,39,110
0:31,-1,Dylan Brandenburg missed Free Throw.,39,110
0:31,2272,Luke Vargo Defensive Rebound.,39,110
0:05,2272,Dexter Gooding missed Three Point Jumper.,39,110
0:05,-1,Christian Newman Defensive Rebound.,39,110
0:00,2272,End of Game,39,110
