Alcorn State,66,Iowa State,2016
19:18,66,Jeff Beverly made Jumper.,32,35
19:02,2016,Avery Patterson missed Three Point Jumper.,32,35
19:01,66,Jeff Beverly Defensive Rebound.,32,35
18:54,66,Nick Weiler-Babb missed Three Point Jumper.,32,35
18:52,66,Jeff Beverly Offensive Rebound.,32,35
18:49,2016,Foul on Avery Patterson.,32,35
18:49,66,Lindell Wigginton missed Free Throw.,32,35
18:49,66,Iowa State Deadball Team Rebound.,32,35
18:49,66,Lindell Wigginton made Free Throw.,32,36
18:23,2016,Devon Brewer Turnover.,32,36
18:23,66,Nick Weiler-Babb Steal.,32,36
18:17,66,Solomon Young made Layup. Assisted by Lindell Wigginton.,32,38
18:17,2016,Foul on Devon Brewer.,32,38
18:17,66,Solomon Young made Free Throw.,32,39
17:53,66,Foul on Solomon Young.,32,39
17:53,2016,Alcorn State  Turnover.,32,39
17:38,66,Donovan Jackson made Three Point Jumper. Assisted by Jeff Beverly.,32,42
17:09,2016,Tyler Carter made Three Point Jumper. Assisted by A.J. Mosby.,35,42
17:01,66,Lindell Wigginton made Three Point Jumper. Assisted by Nick Weiler-Babb.,35,45
16:28,2016,Tyler Carter missed Jumper.,35,45
16:28,2016,Alcorn State Deadball Team Rebound.,35,45
16:28,2016,Alcorn State  Turnover.,35,45
15:59,66,Donovan Jackson missed Jumper.,35,45
15:59,66,Hans Brase Offensive Rebound.,35,45
15:56,66,Hans Brase missed Jumper.,35,45
15:56,2016,Devon Brewer Defensive Rebound.,35,45
15:45,2016,Maurice Howard missed Jumper.,35,45
15:45,66,Jeff Beverly Defensive Rebound.,35,45
15:38,66,Official TV Timeout,35,45
15:33,66,Lindell Wigginton made Three Point Jumper. Assisted by Nick Weiler-Babb.,35,48
15:06,2016,Dante Sterling made Layup.,37,48
15:00,66,Donovan Jackson made Three Point Jumper. Assisted by Nick Weiler-Babb.,37,51
14:37,2016,Devon Brewer missed Jumper.,37,51
14:37,66,Hans Brase Block.,37,51
14:34,66,Nick Weiler-Babb Defensive Rebound.,37,51
14:28,66,Donovan Jackson missed Three Point Jumper.,37,51
14:28,2016,Yalen Reed Defensive Rebound.,37,51
14:28,66,Foul on Hans Brase.,37,51
14:07,2016,A.J. Mosby missed Three Point Jumper.,37,51
14:07,66,Terrence Lewis Defensive Rebound.,37,51
13:47,66,Cameron Lard made Jumper. Assisted by Nick Weiler-Babb.,37,53
13:31,2016,Dante Sterling missed Three Point Jumper.,37,53
13:31,66,Lindell Wigginton Defensive Rebound.,37,53
13:22,66,Lindell Wigginton missed Jumper.,37,53
13:22,2016,Devon Brewer Defensive Rebound.,37,53
13:17,66,Foul on Lindell Wigginton.,37,53
13:02,2016,Maurice Howard Turnover.,37,53
12:45,66,Lindell Wigginton Turnover.,37,53
12:44,2016,Yalen Reed Steal.,37,53
12:20,2016,A.J. Mosby made Jumper.,39,53
12:09,66,Terrence Lewis missed Three Point Jumper.,39,53
12:09,66,Lindell Wigginton Offensive Rebound.,39,53
12:00,66,Terrence Lewis missed Jumper.,39,53
12:00,66,Cameron Lard Offensive Rebound.,39,53
11:57,66,Cameron Lard made Jumper.,39,55
11:53,2016,Dante Sterling made Dunk. Assisted by Maurice Howard.,41,55
11:52,66,Iowa State  Timeout,41,55
11:52,66,Official TV Timeout,41,55
11:26,66,Terrence Lewis Turnover.,41,55
11:24,2016,A.J. Mosby Steal.,41,55
11:06,2016,Devon Brewer made Layup.,43,55
10:45,66,Nick Weiler-Babb missed Three Point Jumper.,43,55
10:45,66,Cameron Lard Offensive Rebound.,43,55
10:42,66,Cameron Lard missed Jumper.,43,55
10:42,66,Cameron Lard Offensive Rebound.,43,55
10:40,66,Cameron Lard made Jumper.,43,57
10:26,2016,TyQuaylon Smith missed Jumper.,43,57
10:26,66,Hans Brase Defensive Rebound.,43,57
10:16,66,Lindell Wigginton missed Three Point Jumper.,43,57
10:16,2016,Devon Brewer Defensive Rebound.,43,57
9:56,2016,Avery Patterson missed Three Point Jumper.,43,57
9:56,66,Terrence Lewis Defensive Rebound.,43,57
9:38,66,Cameron Lard made Layup. Assisted by Hans Brase.,43,59
9:16,2016,Devon Brewer made Jumper.,45,59
9:16,66,Foul on Hans Brase.,45,59
9:15,66,Official TV Timeout,45,59
9:15,2016,Devon Brewer missed Free Throw.,45,59
9:15,2016,Tyler Carter Offensive Rebound.,45,59
9:10,2016,A.J. Mosby missed Three Point Jumper.,45,59
9:10,2016,Avery Patterson Offensive Rebound.,45,59
8:40,2016,Dante Sterling missed Three Point Jumper.,45,59
8:40,2016,Devon Brewer Offensive Rebound.,45,59
8:36,2016,Devon Brewer made Jumper.,47,59
8:11,66,Terrence Lewis missed Three Point Jumper.,47,59
8:11,66,Solomon Young Offensive Rebound.,47,59
7:59,66,Donovan Jackson missed Jumper.,47,59
7:59,66,Terrence Lewis Offensive Rebound.,47,59
7:52,66,Terrence Lewis made Jumper.,47,61
7:39,2016,Yalen Reed made Three Point Jumper. Assisted by Avery Patterson.,50,61
7:14,66,Terrence Lewis missed Jumper.,50,61
7:14,66,Cameron Lard Offensive Rebound.,50,61
7:09,66,Donovan Jackson missed Three Point Jumper.,50,61
7:09,66,Terrence Lewis Offensive Rebound.,50,61
6:54,2016,Foul on Avery Patterson.,50,61
6:54,66,Official TV Timeout,50,61
6:53,66,Nick Weiler-Babb Turnover.,50,61
6:43,66,Foul on Cameron Lard.,50,61
6:34,2016,Tyler Carter missed Jumper.,50,61
6:34,66,Cameron Lard Block.,50,61
6:34,66,Cameron Lard Defensive Rebound.,50,61
6:01,66,Donovan Jackson missed Jumper.,50,61
6:01,2016,Alcorn State Defensive Rebound.,50,61
5:52,2016,Maurice Howard made Jumper.,52,61
5:26,66,Donovan Jackson made Three Point Jumper. Assisted by Lindell Wigginton.,52,64
5:10,2016,Maurice Howard missed Jumper.,52,64
5:10,66,Hans Brase Defensive Rebound.,52,64
5:09,2016,Foul on Maurice Howard.,52,64
4:48,66,Lindell Wigginton Turnover.,52,64
4:46,2016,Dante Sterling Steal.,52,64
4:43,2016,Devon Brewer missed Jumper.,52,64
4:43,66,Hans Brase Block.,52,64
4:41,66,Donovan Jackson Defensive Rebound.,52,64
4:30,2016,Foul on Yalen Reed.,52,64
4:27,66,Hans Brase made Three Point Jumper. Assisted by Nick Weiler-Babb.,52,67
3:56,2016,Tyler Carter missed Three Point Jumper.,52,67
3:56,2016,Maurice Howard Offensive Rebound.,52,67
3:50,2016,Troymain Crosby missed Jumper.,52,67
3:50,66,Hans Brase Block.,52,67
3:48,2016,Troymain Crosby Offensive Rebound.,52,67
3:47,2016,Troymain Crosby made Jumper.,54,67
3:42,66,Donovan Jackson made Layup.,54,69
3:14,2016,Tyler Carter missed Jumper.,54,69
3:14,66,Nick Weiler-Babb Defensive Rebound.,54,69
2:56,2016,Foul on Tyler Carter.,54,69
2:39,66,Donovan Jackson made Three Point Jumper. Assisted by Hans Brase.,54,72
2:25,66,Foul on Nick Weiler-Babb.,54,72
2:25,2016,Dante Sterling missed Free Throw.,54,72
2:25,2016,Alcorn State Deadball Team Rebound.,54,72
2:25,2016,Dante Sterling made Free Throw.,55,72
2:02,2016,Foul on Devon Brewer.,55,72
2:02,66,Lindell Wigginton made Free Throw.,55,73
2:02,66,Lindell Wigginton made Free Throw.,55,74
1:56,2016,Avery Patterson missed Jumper.,55,74
1:56,66,Jeff Beverly Defensive Rebound.,55,74
1:50,2016,Foul on Avery Patterson.,55,74
1:50,66,Donovan Jackson made Free Throw.,55,75
1:50,66,Donovan Jackson made Free Throw.,55,76
1:35,2016,Yalen Reed missed Jumper.,55,76
1:35,66,Donovan Jackson Defensive Rebound.,55,76
1:19,2016,Foul on Yalen Reed.,55,76
1:19,66,Solomon Young made Free Throw.,55,77
1:19,66,Solomon Young made Free Throw.,55,78
1:15,2016,A.J. Mosby Turnover.,55,78
1:05,66,Lindell Wigginton Turnover.,55,78
1:04,2016,Kobe Wilson Steal.,55,78
1:01,2016,A.J. Mosby made Jumper.,57,78
1:01,66,Foul on Lindell Wigginton.,57,78
1:01,2016,A.J. Mosby made Free Throw.,58,78
0:51,66,Terrence Lewis missed Jumper.,58,78
0:51,66,Solomon Young Offensive Rebound.,58,78
0:21,66,Donovan Jackson missed Jumper.,58,78
0:21,66,Jeff Beverly Offensive Rebound.,58,78
0:16,66,Jeff Beverly missed Jumper.,58,78
0:16,2016,Dante Sterling Block.,58,78
0:13,66,Lindell Wigginton Offensive Rebound.,58,78
0:00,66,End of Game,58,78
