Fairfield,2341,LIU Brooklyn,2217
3:37,2217,Kevin Senghore-Peterson Turnover.,68,63
3:23,2217,Foul on Kevin Senghore-Peterson.,68,63
3:23,2341,Raiquan Clark missed Free Throw.,68,63
3:23,2341,LIU Brooklyn Deadball Team Rebound.,68,63
3:23,2341,Raiquan Clark made Free Throw.,68,64
3:12,2217,Tyler Nelson missed Three Point Jumper.,68,64
3:12,2217,Fairfield Offensive Rebound.,68,64
3:05,2217,Tyler Nelson missed Layup.,68,64
3:05,2341,Zach Coleman Block.,68,64
3:03,2341,Joel Hernandez Defensive Rebound.,68,64
2:54,2341,Raiquan Clark missed Layup.,68,64
2:54,2341,Raiquan Clark Offensive Rebound.,68,64
2:53,2341,Raiquan Clark made Two Point Tip Shot.,68,66
2:34,2217,Wassef Methnani missed Three Point Jumper.,68,66
2:34,2341,Zach Coleman Defensive Rebound.,68,66
2:26,2341,Raiquan Clark Turnover.,68,66
2:26,2217,Fairfield  Timeout,68,66
2:10,2217,Tyler Nelson missed Jumper.,68,66
2:10,2217,Jonathan Kasibabu Offensive Rebound.,68,66
1:37,2217,Tyler Nelson made Jumper.,70,66
1:30,2217,Foul on Wassef Methnani.,70,66
1:30,2341,Jashaun Agosto missed Free Throw.,70,66
1:30,2341,LIU Brooklyn Deadball Team Rebound.,70,66
1:30,2341,Jashaun Agosto made Free Throw.,70,67
1:24,2341,Foul on Raiquan Clark.,70,67
1:24,2217,Wassef Methnani made Free Throw.,71,67
1:24,2217,Wassef Methnani missed Free Throw.,71,67
1:24,2341,Joel Hernandez Defensive Rebound.,71,67
1:13,2217,Foul on Jesus Cruz.,71,67
1:13,2341,Joel Hernandez made Free Throw.,71,68
1:13,2341,Joel Hernandez made Free Throw.,71,69
0:42,2217,Fairfield  Turnover.,71,69
0:32,2341,Joel Hernandez missed Layup.,71,69
0:32,2217,Jonathan Kasibabu Defensive Rebound.,71,69
0:29,2341,Foul on Raiquan Clark.,71,69
0:29,2217,Jonathan Kasibabu made Free Throw.,72,69
0:29,2217,Jonathan Kasibabu made Free Throw.,73,69
0:29,2217,Fairfield  Timeout,73,69
0:15,2217,Foul on Wassef Methnani.,73,69
0:15,2341,Joel Hernandez missed Free Throw.,73,69
0:15,2341,LIU Brooklyn Deadball Team Rebound.,73,69
0:15,2341,Joel Hernandez made Free Throw.,73,70
0:06,2341,Foul on Joel Hernandez.,73,70
0:06,2217,Jonathan Kasibabu made Free Throw.,74,70
0:06,2217,Jonathan Kasibabu missed Free Throw.,74,70
0:06,2217,Ferron Flavors Jr. Offensive Rebound.,74,70
0:04,2341,Foul on Jashaun Agosto.,74,70
0:04,2217,Ferron Flavors Jr. made Free Throw.,75,70
0:04,2217,Ferron Flavors Jr. made Free Throw.,76,70
0:00,2341,Jashaun Agosto made Layup.,76,72
0:00,2341,End of Game,76,72
