North Greenville,Error,Charleston,232
1:04,-1,North Greenville Deadball Team Rebound.,33,47
1:04,-1,AJ Myers missed Free Throw.,33,47
1:04,232,Cameron Johnson Defensive Rebound.,33,47
0:55,232,Evan Bailey made Three Point Jumper. Assisted by Marquise Pointer.,33,50
0:32,-1,Matt Moore missed Jumper.,33,50
0:32,232,Brevin Galloway Defensive Rebound.,33,50
0:03,232,Brevin Galloway made Three Point Jumper.,33,53
0:00,232,End of 1st half,33,53
19:33,-1,Matt Moore missed Layup.,33,53
19:33,232,Cameron Johnson Defensive Rebound.,33,53
19:27,232,Grant Riller missed Layup.,33,53
19:27,-1,Jalon Cokley Defensive Rebound.,33,53
19:20,232,Foul on Joe Chealey.,33,53
19:11,232,Foul on Nick Harris.,33,53
19:11,-1,Roderick Howell missed Free Throw.,33,53
19:11,-1,North Greenville Deadball Team Rebound.,33,53
19:11,-1,Roderick Howell missed Free Throw.,33,53
19:11,232,Nick Harris Defensive Rebound.,33,53
18:55,232,Foul on Nick Harris.,33,53
18:55,232,Nick Harris Turnover.,33,53
18:45,-1,Jalon Cokley missed Three Point Jumper.,33,53
18:45,232,Grant Riller Defensive Rebound.,33,53
18:36,232,Jaylen McManus made Layup. Assisted by Grant Riller.,33,55
18:36,-1,Foul on Jalon Cokley.,33,55
18:36,232,Jaylen McManus made Free Throw.,33,56
18:18,-1,Daniel Burchette missed Jumper.,33,56
18:18,-1,North Greenville Offensive Rebound.,33,56
18:06,-1,DJ Brooks missed Three Point Jumper.,33,56
18:06,232,Nick Harris Defensive Rebound.,33,56
17:58,-1,Foul on Daniel Burchette.,33,56
17:58,232,Cameron Johnson missed Free Throw.,33,56
17:58,232,Charleston Deadball Team Rebound.,33,56
17:58,232,Cameron Johnson missed Free Throw.,33,56
17:58,-1,Jalon Cokley Defensive Rebound.,33,56
17:36,-1,Daniel Burchette missed Jumper.,33,56
17:36,-1,Roderick Howell Offensive Rebound.,33,56
17:30,-1,DJ Brooks missed Three Point Jumper.,33,56
17:30,-1,Roderick Howell Offensive Rebound.,33,56
17:13,-1,DJ Brooks missed Jumper.,33,56
17:13,232,Nick Harris Defensive Rebound.,33,56
17:00,232,Evan Bailey missed Three Point Jumper.,33,56
17:00,-1,Matt Moore Defensive Rebound.,33,56
16:52,-1,Jalon Cokley made Three Point Jumper. Assisted by Matt Moore.,36,56
16:32,-1,Foul on Roderick Howell.,36,56
16:32,232,Cameron Johnson missed Three Point Jumper.,36,56
16:32,-1,Jalon Cokley Defensive Rebound.,36,56
16:21,232,Foul on Osinachi Smart.,36,56
16:21,-1,Roderick Howell missed Free Throw.,36,56
16:21,-1,North Greenville Deadball Team Rebound.,36,56
16:21,-1,Roderick Howell made Free Throw.,37,56
16:13,232,Marquise Pointer missed Jumper.,37,56
16:13,232,Osinachi Smart Offensive Rebound.,37,56
15:58,232,Jaylen McManus missed Three Point Jumper.,37,56
15:58,-1,Roderick Howell Defensive Rebound.,37,56
15:54,232,Official TV Timeout,37,56
15:29,-1,Foul on Roderick Howell.,37,56
15:29,-1,Roderick Howell Turnover.,37,56
15:19,232,Grant Riller missed Three Point Jumper.,37,56
15:19,-1,Daniel Burchette Defensive Rebound.,37,56
15:01,232,Foul on Jaylen McManus.,37,56
15:01,-1,Jalon Cokley made Free Throw.,38,56
15:01,-1,Jalon Cokley made Free Throw.,39,56
14:52,232,Joe Chealey Turnover.,39,56
14:31,-1,Daniel Burchette Turnover.,39,56
14:15,232,Joe Chealey made Jumper.,39,58
13:56,-1,DJ Brooks made Three Point Jumper. Assisted by Daniel Burchette.,42,58
13:34,232,Grant Riller made Jumper.,42,60
13:34,-1,Foul on Matt Moore.,42,60
13:34,232,Grant Riller made Free Throw.,42,61
13:04,-1,Matt Moore missed Three Point Jumper.,42,61
13:04,232,Marquise Pointer Defensive Rebound.,42,61
12:50,232,Grant Riller Turnover.,42,61
12:49,-1,Daniel Burchette Steal.,42,61
12:43,-1,Daniel Burchette Turnover.,42,61
12:43,232,Marquise Pointer Steal.,42,61
12:41,232,Marquise Pointer made Layup.,42,63
12:23,-1,Daniko Jackson missed Jumper.,42,63
12:23,-1,Matt Moore Offensive Rebound.,42,63
12:04,-1,Daniko Jackson made Layup.,44,63
11:45,232,Marquise Pointer missed Three Point Jumper.,44,63
11:45,-1,Daniko Jackson Defensive Rebound.,44,63
11:33,-1,Jalon Cokley missed Jumper.,44,63
11:33,232,Grant Riller Defensive Rebound.,44,63
11:27,232,Jaylen McManus made Three Point Jumper. Assisted by Joe Chealey.,44,66
10:52,-1,Matt Moore made Jumper.,46,66
10:40,232,Foul on Grant Riller.,46,66
10:40,232,Official TV Timeout,46,66
10:19,232,Brevin Galloway missed Three Point Jumper.,46,66
10:19,232,Nick Harris Offensive Rebound.,46,66
10:19,-1,Foul on Kovi Tate.,46,66
10:19,232,Nick Harris missed Free Throw.,46,66
10:19,232,Charleston Deadball Team Rebound.,46,66
10:19,232,Nick Harris missed Free Throw.,46,66
10:19,-1,Jalon Cokley Defensive Rebound.,46,66
10:08,-1,Daniko Jackson Turnover.,46,66
9:58,232,Joe Chealey made Three Point Jumper. Assisted by Cameron Johnson.,46,69
9:29,-1,Kovi Tate made Layup. Assisted by Daniko Jackson.,48,69
9:16,-1,Foul on Kovi Tate.,48,69
9:16,232,Jaylen McManus made Free Throw.,48,70
9:16,232,Jaylen McManus made Free Throw.,48,71
8:55,-1,Daniel Burchette missed Three Point Jumper.,48,71
8:55,232,Joe Chealey Defensive Rebound.,48,71
8:37,232,Joe Chealey made Three Point Jumper.,48,74
8:25,232,Foul on Nick Harris.,48,74
8:04,-1,North Greenville  Turnover.,48,74
7:45,-1,Foul on Roderick Howell.,48,74
7:45,232,Official TV Timeout,48,74
7:45,232,Nick Harris made Free Throw.,48,75
7:45,232,Nick Harris made Free Throw.,48,76
7:24,-1,Daniko Jackson missed Three Point Jumper.,48,76
7:24,-1,Kovi Tate Offensive Rebound.,48,76
7:10,-1,Daniko Jackson missed Jumper.,48,76
7:10,232,Osinachi Smart Defensive Rebound.,48,76
6:54,-1,Foul on Daniko Jackson.,48,76
6:54,232,Joe Chealey made Free Throw.,48,77
6:54,232,Joe Chealey made Free Throw.,48,78
6:30,-1,AJ Myers Turnover.,48,78
6:17,232,Joe Chealey made Three Point Jumper. Assisted by Cameron Johnson.,48,81
6:04,232,Foul on Osinachi Smart.,48,81
6:04,-1,DJ Brooks made Free Throw.,49,81
6:04,-1,DJ Brooks made Free Throw.,50,81
5:45,-1,Foul on DJ Brooks.,50,81
5:45,232,Osinachi Smart missed Free Throw.,50,81
5:45,232,Charleston Deadball Team Rebound.,50,81
5:45,232,Osinachi Smart missed Free Throw.,50,81
5:45,-1,Jalon Cokley Defensive Rebound.,50,81
5:15,232,Foul on Grant Riller.,50,81
5:15,-1,Matt Moore made Free Throw.,51,81
5:15,-1,Matt Moore made Free Throw.,52,81
5:04,232,Marquise Pointer made Layup. Assisted by Osinachi Smart.,52,83
4:42,-1,DJ Brooks missed Jumper.,52,83
4:42,232,Jaylen McManus Defensive Rebound.,52,83
4:30,232,Jaylen McManus missed Three Point Jumper.,52,83
4:30,232,Evan Bailey Offensive Rebound.,52,83
4:08,232,Marquise Pointer made Layup. Assisted by Evan Bailey.,52,85
3:47,-1,Jalon Cokley missed Three Point Jumper.,52,85
3:47,232,Marquise Pointer Defensive Rebound.,52,85
3:39,-1,Foul on Jalon Cokley.,52,85
3:39,232,Official TV Timeout,52,85
3:39,232,Osinachi Smart made Free Throw.,52,86
3:39,232,Osinachi Smart made Free Throw.,52,87
3:17,-1,Jalon Cokley missed Three Point Jumper.,52,87
3:17,232,Brevin Galloway Defensive Rebound.,52,87
3:05,232,Sambia Ndiaye missed Jumper.,52,87
3:05,-1,Moses Merritt Defensive Rebound.,52,87
2:49,-1,Daniko Jackson missed Jumper.,52,87
2:49,232,Evan Bailey Defensive Rebound.,52,87
2:43,232,Evan Bailey made Three Point Jumper. Assisted by Marquise Pointer.,52,90
2:21,-1,Jalon Cokley made Jumper.,54,90
1:59,232,Brevin Galloway missed Three Point Jumper.,54,90
1:59,-1,Daniko Jackson Defensive Rebound.,54,90
1:48,232,Foul on Marquise Pointer.,54,90
1:48,-1,Daniko Jackson made Free Throw.,55,90
1:48,-1,Daniko Jackson made Free Throw.,56,90
1:32,232,Jermaine Blackmon Jr. missed Jumper.,56,90
1:32,-1,North Greenville Defensive Rebound.,56,90
1:07,-1,Spencer Kirkpatrick made Layup.,58,90
0:47,232,Trent Robinson missed Three Point Jumper.,58,90
0:47,-1,Luke Raines Defensive Rebound.,58,90
0:27,-1,Moses Merritt missed Layup.,58,90
0:27,232,Brevin Galloway Defensive Rebound.,58,90
0:21,232,Trent Robinson made Layup. Assisted by Brevin Galloway.,58,92
0:21,-1,Foul on Luke Raines.,58,92
0:21,232,Trent Robinson missed Free Throw.,58,92
0:21,-1,AJ Myers Defensive Rebound.,58,92
0:01,-1,Luke Raines made Jumper.,60,92
0:00,232,End of Game,60,92
