Cincinnati Clermont,Error,Tenn-Martin,2630
15:24,-1,Chris Johnson Steal.,7,19
15:16,-1,Ben Sommer missed Three Point Jumper.,7,19
15:16,2630,Matthew Butler Defensive Rebound.,7,19
15:07,2630,Parrish Hewitt missed Three Point Jumper.,7,19
15:07,-1,Ben Sommer Defensive Rebound.,7,19
14:49,-1,Chris Johnson made Three Point Jumper. Assisted by Ben Sommer.,10,19
14:30,2630,Terrence Parker missed Dunk.,10,19
14:30,-1,Tommy Bingamon Defensive Rebound.,10,19
14:18,-1,Chris Johnson missed Three Point Jumper.,10,19
14:18,2630,Lorenzen Wright Jr. Defensive Rebound.,10,19
13:57,2630,Matthew Butler missed Jumper.,10,19
13:57,-1,Jack Engleman Defensive Rebound.,10,19
13:49,-1,Ben Sommer made Jumper.,12,19
13:39,2630,Lorenzen Wright Jr. made Three Point Jumper. Assisted by Matthew Butler.,12,22
13:24,-1,Jack Engleman missed Jumper.,12,22
13:24,2630,Fatodd Lewis Defensive Rebound.,12,22
13:12,2630,Fatodd Lewis Turnover.,12,22
13:10,-1,Chris Johnson Turnover.,12,22
13:09,2630,DelFincko Bogan Steal.,12,22
13:07,2630,DelFincko Bogan made Layup.,12,24
12:56,-1,Jamie Carson made Three Point Jumper. Assisted by Chris Johnson.,15,24
12:37,2630,Parrish Hewitt made Layup. Assisted by Dominique Williams.,15,26
12:20,-1,Jamie Carson missed Three Point Jumper.,15,26
12:20,-1,Tommy Bingamon Offensive Rebound.,15,26
12:17,-1,Ben Sommer made Three Point Jumper. Assisted by Tommy Bingamon.,18,26
11:58,2630,Lorenzen Wright Jr. missed Three Point Jumper.,18,26
11:58,-1,Ben Sommer Defensive Rebound.,18,26
11:49,2630,Foul on Lorenzen Wright Jr..,18,26
11:49,2630,Official TV Timeout,18,26
11:49,-1,Chris Johnson made Free Throw.,19,26
11:49,-1,Chris Johnson made Free Throw.,20,26
11:33,2630,Parrish Hewitt made Three Point Jumper. Assisted by Matthew Butler.,20,29
11:21,-1,Chris Johnson missed Three Point Jumper.,20,29
11:21,2630,UT Martin Defensive Rebound.,20,29
11:10,2630,Matthew Butler Turnover.,20,29
11:10,-1,Ben Sommer Steal.,20,29
11:08,2630,Foul on DelFincko Bogan.,20,29
11:01,-1,Tommy Bingamon made Three Point Jumper. Assisted by Chris Johnson.,23,29
10:37,2630,Matthew Butler made Three Point Jumper. Assisted by Parrish Hewitt.,23,32
10:19,-1,Chris Johnson missed Three Point Jumper.,23,32
10:19,2630,Fatodd Lewis Defensive Rebound.,23,32
10:12,-1,Foul on Ben Sommer.,23,32
10:12,2630,Jailen Gill made Free Throw.,23,33
10:12,2630,Jailen Gill made Free Throw.,23,34
10:08,-1,Chris Johnson Turnover.,23,34
10:05,2630,Parrish Hewitt Steal.,23,34
10:03,2630,Parrish Hewitt missed Layup.,23,34
10:03,-1,Jack Engleman Defensive Rebound.,23,34
9:55,-1,Chris Johnson missed Layup.,23,34
9:55,2630,Jailen Gill Defensive Rebound.,23,34
9:47,2630,Parrish Hewitt missed Layup.,23,34
9:47,-1,Trenton Weeks Defensive Rebound.,23,34
9:40,-1,Trenton Weeks Turnover.,23,34
9:26,2630,Fatodd Lewis made Jumper. Assisted by Parrish Hewitt.,23,36
9:06,-1,Ben Sommer Turnover.,23,36
9:06,2630,Matthew Butler Steal.,23,36
8:57,2630,Parrish Hewitt made Three Point Jumper. Assisted by Fatodd Lewis.,23,39
8:55,-1,Cincinnati Clermont  Timeout,23,39
8:50,-1,Jack Engleman Turnover.,23,39
8:49,2630,Parrish Hewitt Steal.,23,39
8:45,2630,Kahari Beaufort made Layup.,23,41
8:25,-1,Chris Johnson missed Jumper.,23,41
8:25,2630,Parrish Hewitt Defensive Rebound.,23,41
8:20,2630,Matthew Butler made Layup.,23,43
7:59,-1,Jack Engleman missed Jumper.,23,43
7:59,2630,Jailen Gill Block.,23,43
7:57,-1,Ben Sommer Offensive Rebound.,23,43
7:52,-1,Chase Coomer missed Three Point Jumper.,23,43
7:51,2630,Fatodd Lewis Block.,23,43
7:50,2630,Jailen Gill Defensive Rebound.,23,43
7:48,2630,Kahari Beaufort made Layup. Assisted by Fatodd Lewis.,23,45
7:31,-1,Chris Johnson Turnover.,23,45
7:30,2630,Kahari Beaufort Steal.,23,45
7:28,2630,Fatodd Lewis made Dunk. Assisted by Kahari Beaufort.,23,47
7:11,-1,Trenton Weeks made Jumper. Assisted by Chris Johnson.,25,47
7:03,2630,Fatodd Lewis missed Three Point Jumper.,25,47
7:03,2630,Jailen Gill Offensive Rebound.,25,47
7:01,2630,Jailen Gill missed Two Point Tip Shot.,25,47
7:01,-1,Chris Johnson Defensive Rebound.,25,47
6:49,-1,Trenton Weeks missed Three Point Jumper.,25,47
6:49,2630,Parrish Hewitt Block.,25,47
6:49,-1,Cincinnati Clermont Offensive Rebound.,25,47
6:48,2630,Official TV Timeout,25,47
6:45,-1,Ben Sommer Turnover.,25,47
6:44,2630,Kahari Beaufort Steal.,25,47
6:41,2630,Matthew Butler made Layup. Assisted by Kahari Beaufort.,25,49
6:26,-1,Chase Coomer Turnover.,25,49
6:25,2630,Matthew Butler Steal.,25,49
6:17,2630,Dominique Williams missed Three Point Jumper.,25,49
6:17,-1,Jamie Carson Defensive Rebound.,25,49
6:08,-1,Tommy Bingamon missed Three Point Jumper.,25,49
6:08,-1,Ethan Lloyd Offensive Rebound.,25,49
6:06,-1,Chase Coomer made Jumper. Assisted by Ethan Lloyd.,27,49
5:52,2630,Dominique Williams missed Jumper.,27,49
5:52,-1,Ethan Lloyd Defensive Rebound.,27,49
5:45,-1,Chase Coomer made Three Point Jumper. Assisted by Ethan Lloyd.,30,49
5:42,2630,UT Martin  Timeout,30,49
5:29,2630,Parrish Hewitt missed Three Point Jumper.,30,49
5:29,-1,Chase Coomer Defensive Rebound.,30,49
5:22,-1,Jamie Carson made Three Point Jumper. Assisted by Chase Coomer.,33,49
5:08,-1,Foul on Tommy Bingamon.,33,49
5:08,2630,Fatodd Lewis missed Layup.,33,49
5:08,2630,Jailen Gill Offensive Rebound.,33,49
5:05,2630,Jailen Gill made Dunk.,33,51
4:53,-1,Ethan Lloyd missed Three Point Jumper.,33,51
4:53,2630,Jailen Gill Defensive Rebound.,33,51
4:44,2630,Fatodd Lewis made Layup. Assisted by Matthew Butler.,33,53
4:28,-1,Tommy Bingamon made Layup. Assisted by Chase Coomer.,35,53
4:17,2630,Jailen Gill missed Jumper.,35,53
4:17,2630,Fatodd Lewis Offensive Rebound.,35,53
4:15,2630,Fatodd Lewis made Layup.,35,55
4:06,-1,Trenton Weeks Turnover.,35,55
4:05,2630,Kahari Beaufort Steal.,35,55
4:02,2630,Parrish Hewitt made Dunk. Assisted by Matthew Butler.,35,57
3:47,-1,Chase Coomer missed Three Point Jumper.,35,57
3:47,2630,Parrish Hewitt Defensive Rebound.,35,57
3:37,2630,Fatodd Lewis missed Jumper.,35,57
3:37,2630,Jailen Gill Offensive Rebound.,35,57
3:35,2630,Jailen Gill made Layup.,35,59
3:20,-1,Chase Coomer made Jumper.,37,59
3:12,2630,Matthew Butler Turnover.,37,59
3:12,2630,Official TV Timeout,37,59
2:57,2630,Foul on Kahari Beaufort.,37,59
2:52,-1,Trenton Weeks made Three Point Jumper.,40,59
2:40,2630,Lorenzen Wright Jr. missed Three Point Jumper.,40,59
2:40,2630,Fatodd Lewis Offensive Rebound.,40,59
2:38,2630,Fatodd Lewis made Two Point Tip Shot.,40,61
2:25,-1,Tommy Bingamon missed Layup.,40,61
2:25,2630,Jailen Gill Block.,40,61
2:24,2630,Jailen Gill Defensive Rebound.,40,61
2:20,2630,Kahari Beaufort Turnover.,40,61
2:19,-1,Jamie Carson Steal.,40,61
2:13,-1,Tommy Bingamon made Three Point Jumper. Assisted by Ethan Lloyd.,43,61
1:46,2630,Fatodd Lewis missed Three Point Jumper.,43,61
1:46,-1,Tommy Bingamon Defensive Rebound.,43,61
1:40,-1,Ethan Lloyd Turnover.,43,61
1:30,-1,Foul on Jimmy Hayes.,43,61
1:22,2630,Jailen Gill missed Jumper.,43,61
1:22,2630,Fatodd Lewis Offensive Rebound.,43,61
1:20,2630,Fatodd Lewis missed Layup.,43,61
1:20,-1,Chris Johnson Defensive Rebound.,43,61
1:12,-1,Chase Coomer made Three Point Jumper. Assisted by Chris Johnson.,46,61
0:57,-1,Foul on Chris Johnson.,46,61
0:57,2630,Fatodd Lewis made Free Throw.,46,62
0:57,2630,Fatodd Lewis made Free Throw.,46,63
0:46,-1,Chase Coomer made Three Point Jumper. Assisted by Chris Johnson.,49,63
0:27,2630,Jailen Gill Turnover.,49,63
0:13,-1,Chase Coomer missed Three Point Jumper.,49,63
0:13,2630,Lorenzen Wright Jr. Defensive Rebound.,49,63
0:06,2630,Matthew Butler Turnover.,49,63
0:05,-1,Tommy Bingamon Steal.,49,63
0:00,2630,End of 1st half,49,63
19:43,-1,Ben Sommer missed Jumper.,49,63
19:43,2630,Parrish Hewitt Block.,49,63
19:42,2630,UT Martin Defensive Rebound.,49,63
19:28,2630,Matthew Butler missed Three Point Jumper.,49,63
19:28,2630,Fatodd Lewis Offensive Rebound.,49,63
19:18,2630,Terrence Parker made Jumper. Assisted by Fatodd Lewis.,49,65
18:57,-1,Jamie Carson made Three Point Jumper.,52,65
18:42,2630,Fatodd Lewis made Layup. Assisted by Parrish Hewitt.,52,67
18:26,-1,Jimmy Hayes made Jumper. Assisted by Jack Engleman.,54,67
18:13,2630,Fatodd Lewis made Layup. Assisted by Terrence Parker.,54,69
18:05,-1,Jamie Carson Turnover.,54,69
18:03,2630,Parrish Hewitt Steal.,54,69
18:00,2630,Parrish Hewitt made Layup.,54,71
17:49,-1,Ben Sommer missed Jumper.,54,71
17:49,2630,Terrence Parker Block.,54,71
17:47,2630,Terrence Parker Defensive Rebound.,54,71
17:39,2630,Fatodd Lewis made Layup.,54,73
17:28,-1,Jimmy Hayes made Layup. Assisted by Jamie Carson.,56,73
17:12,-1,Foul on Tommy Bingamon.,56,73
17:12,2630,Fatodd Lewis missed Free Throw.,56,73
17:12,2630,UT Martin Deadball Team Rebound.,56,73
17:12,2630,Fatodd Lewis made Free Throw.,56,74
16:57,-1,Jack Engleman missed Three Point Jumper.,56,74
16:57,2630,Jailen Gill Defensive Rebound.,56,74
16:49,2630,Matthew Butler made Three Point Jumper. Assisted by Fatodd Lewis.,56,77
16:30,-1,Jamie Carson made Three Point Jumper. Assisted by Jack Engleman.,59,77
16:20,-1,Foul on Chris Johnson.,59,77
16:20,2630,Fatodd Lewis made Free Throw.,59,78
16:20,2630,Fatodd Lewis made Free Throw.,59,79
16:07,-1,Chase Coomer made Three Point Jumper. Assisted by Chris Johnson.,62,79
15:58,2630,Fatodd Lewis missed Three Point Jumper.,62,79
15:58,-1,Chris Johnson Defensive Rebound.,62,79
15:43,-1,Jamie Carson missed Three Point Jumper.,62,79
15:43,2630,Fatodd Lewis Defensive Rebound.,62,79
15:35,2630,Parrish Hewitt made Three Point Jumper. Assisted by Fatodd Lewis.,62,82
15:28,-1,Jamie Carson Turnover.,62,82
15:27,2630,Kahari Beaufort Steal.,62,82
15:26,2630,Kahari Beaufort Turnover.,62,82
15:26,-1,Jamie Carson Steal.,62,82
15:23,2630,Official TV Timeout,62,82
15:02,-1,Chris Johnson made Three Point Jumper.,65,82
14:48,2630,Fatodd Lewis missed Layup.,65,82
14:48,2630,Fatodd Lewis Offensive Rebound.,65,82
14:47,2630,Fatodd Lewis made Layup.,65,84
14:26,-1,Jack Engleman made Three Point Jumper. Assisted by Ben Sommer.,68,84
14:05,2630,Jailen Gill made Jumper. Assisted by Fatodd Lewis.,68,86
13:50,-1,Chris Johnson Turnover.,68,86
13:40,2630,Fatodd Lewis missed Jumper.,68,86
13:40,2630,Jailen Gill Offensive Rebound.,68,86
13:37,2630,Jailen Gill made Jumper.,68,88
13:20,-1,Chris Johnson missed Three Point Jumper.,68,88
13:20,-1,Jack Engleman Offensive Rebound.,68,88
13:09,-1,Chase Coomer Turnover.,68,88
12:50,-1,Foul on Chris Johnson.,68,88
12:50,2630,Fatodd Lewis missed Free Throw.,68,88
12:50,2630,UT Martin Deadball Team Rebound.,68,88
12:50,2630,Fatodd Lewis made Free Throw.,68,89
12:34,-1,Ben Sommer missed Jumper.,68,89
12:34,2630,Jailen Gill Defensive Rebound.,68,89
12:28,2630,Fatodd Lewis missed Three Point Jumper.,68,89
12:28,2630,Kahari Beaufort Offensive Rebound.,68,89
12:17,-1,Foul on Chris Johnson.,68,89
12:17,2630,Jailen Gill missed Free Throw.,68,89
12:17,2630,UT Martin Deadball Team Rebound.,68,89
12:17,2630,Jailen Gill missed Free Throw.,68,89
12:17,-1,Jack Engleman Defensive Rebound.,68,89
12:06,2630,Foul on Kahari Beaufort.,68,89
11:46,-1,Tommy Bingamon missed Three Point Jumper.,68,89
11:46,2630,Parrish Hewitt Block.,68,89
11:44,2630,Matthew Butler Defensive Rebound.,68,89
11:34,2630,Kahari Beaufort missed Jumper.,68,89
11:34,-1,Jamie Carson Defensive Rebound.,68,89
11:24,-1,Trenton Weeks missed Three Point Jumper.,68,89
11:24,2630,Kahari Beaufort Defensive Rebound.,68,89
11:19,2630,Jailen Gill Turnover.,68,89
11:19,2630,Official TV Timeout,68,89
10:59,-1,Tommy Bingamon Turnover.,68,89
10:57,2630,Fatodd Lewis Steal.,68,89
10:55,2630,Parrish Hewitt made Layup. Assisted by Fatodd Lewis.,68,91
10:44,-1,Chase Coomer missed Three Point Jumper.,68,91
10:44,-1,Cincinnati Clermont Offensive Rebound.,68,91
10:40,-1,Jamie Carson missed Three Point Jumper.,68,91
10:40,2630,Fatodd Lewis Defensive Rebound.,68,91
10:29,2630,Fatodd Lewis made Layup.,68,93
10:11,-1,Jamie Carson missed Three Point Jumper.,68,93
10:11,2630,Dominique Williams Defensive Rebound.,68,93
10:10,-1,Foul on Jack Engleman.,68,93
9:48,2630,DelFincko Bogan missed Three Point Jumper.,68,93
9:48,2630,Fatodd Lewis Offensive Rebound.,68,93
9:39,2630,Fatodd Lewis missed Jumper.,68,93
9:39,-1,Tommy Bingamon Defensive Rebound.,68,93
9:38,2630,Foul on Parrish Hewitt.,68,93
9:26,-1,Tommy Bingamon made Three Point Jumper. Assisted by Jack Engleman.,71,93
9:13,2630,Fatodd Lewis missed Jumper.,71,93
9:13,-1,Ben Sommer Defensive Rebound.,71,93
9:01,-1,Foul on Ben Sommer.,71,93
9:01,-1,Ben Sommer Turnover.,71,93
8:46,2630,DelFincko Bogan made Three Point Jumper. Assisted by Fatodd Lewis.,71,96
8:36,-1,Tommy Bingamon Turnover.,71,96
8:35,2630,DelFincko Bogan Steal.,71,96
8:32,2630,Parrish Hewitt made Dunk. Assisted by DelFincko Bogan.,71,98
8:26,-1,Jack Engleman Turnover.,71,98
8:25,2630,Parrish Hewitt Steal.,71,98
8:17,2630,Parrish Hewitt made Three Point Jumper. Assisted by Matthew Butler.,71,101
8:02,-1,Tommy Bingamon made Layup. Assisted by Ethan Lloyd.,73,101
7:43,2630,Matthew Butler missed Three Point Jumper.,73,101
7:43,2630,Fatodd Lewis Offensive Rebound.,73,101
7:41,2630,Fatodd Lewis missed Jumper.,73,101
7:41,2630,Dominique Williams Offensive Rebound.,73,101
7:39,2630,Dominique Williams made Two Point Tip Shot.,73,103
7:26,-1,Chase Coomer missed Three Point Jumper.,73,103
7:26,2630,Parrish Hewitt Defensive Rebound.,73,103
7:17,2630,DelFincko Bogan missed Jumper.,73,103
7:17,-1,Ben Sommer Block.,73,103
7:16,-1,Jack Engleman Defensive Rebound.,73,103
7:10,2630,Foul on Matthew Butler.,73,103
7:10,2630,Official TV Timeout,73,103
7:10,-1,Jack Engleman missed Free Throw.,73,103
7:10,-1,Cincinnati Clermont Deadball Team Rebound.,73,103
7:10,-1,Jack Engleman made Free Throw.,74,103
6:55,2630,Parrish Hewitt made Three Point Jumper. Assisted by Fatodd Lewis.,74,106
6:41,-1,Chase Coomer made Three Point Jumper. Assisted by Ethan Lloyd.,77,106
6:26,-1,Foul on Tommy Bingamon.,77,106
6:26,2630,Fatodd Lewis made Free Throw.,77,107
6:26,2630,Fatodd Lewis made Free Throw.,77,108
6:17,-1,Tommy Bingamon made Three Point Jumper. Assisted by Ben Sommer.,80,108
6:06,2630,Jailen Gill missed Jumper.,80,108
6:06,-1,Ethan Lloyd Defensive Rebound.,80,108
6:00,-1,Chase Coomer made Three Point Jumper. Assisted by Ethan Lloyd.,83,108
5:43,2630,Jailen Gill missed Layup.,83,108
5:43,-1,Ethan Lloyd Defensive Rebound.,83,108
5:33,-1,Tommy Bingamon missed Three Point Jumper.,83,108
5:33,2630,Parrish Hewitt Defensive Rebound.,83,108
5:23,2630,Foul on Jailen Gill.,83,108
5:23,2630,Jailen Gill Turnover.,83,108
5:23,2630,UT Martin  Timeout,83,108
5:00,2630,Foul on Parrish Hewitt.,83,108
5:00,-1,Jimmy Hayes made Free Throw.,84,108
5:00,-1,Jimmy Hayes made Free Throw.,85,108
4:40,2630,Lorenzen Wright Jr. made Three Point Jumper. Assisted by Matthew Butler.,85,111
4:29,-1,Jimmy Hayes missed Three Point Jumper.,85,111
4:29,-1,Ben Sommer Offensive Rebound.,85,111
4:22,-1,Jamie Carson missed Three Point Jumper.,85,111
4:22,2630,Fatodd Lewis Defensive Rebound.,85,111
4:15,2630,Lorenzen Wright Jr. made Three Point Jumper. Assisted by Fatodd Lewis.,85,114
4:01,-1,Jimmy Hayes missed Jumper.,85,114
4:01,-1,Chris Johnson Offensive Rebound.,85,114
3:59,-1,Chris Johnson made Layup.,87,114
3:59,2630,Foul on Fatodd Lewis.,87,114
3:59,2630,Official TV Timeout,87,114
3:59,-1,Chris Johnson missed Free Throw.,87,114
3:59,2630,Fatodd Lewis Defensive Rebound.,87,114
3:42,2630,Lorenzen Wright Jr. missed Three Point Jumper.,87,114
3:42,-1,Ethan Lloyd Defensive Rebound.,87,114
3:33,-1,Jimmy Hayes missed Three Point Jumper.,87,114
3:33,2630,Kahari Beaufort Defensive Rebound.,87,114
3:13,2630,Matthew Butler missed Three Point Jumper.,87,114
3:13,2630,Fatodd Lewis Offensive Rebound.,87,114
3:10,2630,Fatodd Lewis made Layup.,87,116
2:57,-1,Jimmy Hayes missed Jumper.,87,116
2:57,2630,Parrish Hewitt Defensive Rebound.,87,116
2:51,2630,Fatodd Lewis missed Three Point Jumper.,87,116
2:51,-1,Chris Johnson Defensive Rebound.,87,116
2:40,-1,Chris Johnson missed Three Point Jumper.,87,116
2:40,2630,Parrish Hewitt Defensive Rebound.,87,116
2:24,2630,Parrish Hewitt missed Three Point Jumper.,87,116
2:24,2630,Fatodd Lewis Offensive Rebound.,87,116
2:20,2630,Fatodd Lewis made Jumper.,87,118
2:10,-1,Cincinnati Clermont  Timeout,87,118
2:03,-1,Chase Coomer missed Three Point Jumper.,87,118
2:03,2630,Terrence Parker Defensive Rebound.,87,118
1:50,2630,Parrish Hewitt made Jumper.,87,120
1:38,-1,Ty Wolfe Turnover.,87,120
1:38,2630,DelFincko Bogan Steal.,87,120
1:32,2630,Lorenzen Wright Jr. made Three Point Jumper. Assisted by Parrish Hewitt.,87,123
1:14,-1,Ethan Lloyd missed Three Point Jumper.,87,123
1:14,2630,DelFincko Bogan Defensive Rebound.,87,123
1:06,2630,Terrence Parker made Layup. Assisted by Parrish Hewitt.,87,125
0:53,-1,Trenton Weeks made Three Point Jumper. Assisted by Ethan Lloyd.,90,125
0:37,2630,Lorenzen Wright Jr. missed Three Point Jumper.,90,125
0:37,2630,DelFincko Bogan Offensive Rebound.,90,125
0:32,2630,Lorenzen Wright Jr. missed Three Point Jumper.,90,125
0:32,2630,Dominique Williams Offensive Rebound.,90,125
0:30,2630,Dominique Williams made Jumper.,90,127
0:21,-1,Jimmy Hayes missed Layup.,90,127
0:21,2630,Dominique Williams Block.,90,127
0:20,-1,Trenton Weeks Offensive Rebound.,90,127
0:19,-1,Trenton Weeks made Jumper.,92,127
0:00,2630,End of Game,92,127
