La Salle,222,Villanova,2325
8:56,222,Foul on Jermaine Samuels.,18,19
8:41,2325,Miles Brookins missed Layup.,18,19
8:41,222,Dhamir Cosby-Roundtree Defensive Rebound.,18,19
8:32,222,Jalen Brunson made Three Point Jumper. Assisted by Mikal Bridges.,18,22
8:07,2325,Pookie Powell missed Three Point Jumper.,18,22
8:07,222,Donte DiVincenzo Defensive Rebound.,18,22
7:56,222,Dhamir Cosby-Roundtree made Dunk. Assisted by Donte DiVincenzo.,18,24
7:56,2325,Foul on Miles Brookins.,18,24
7:56,222,Official TV Timeout,18,24
7:56,222,Dhamir Cosby-Roundtree made Free Throw.,18,25
7:29,2325,Johnnie Shuler missed Jumper.,18,25
7:29,2325,Tony Washington Offensive Rebound.,18,25
7:23,2325,Tony Washington made Layup.,20,25
7:05,222,Mikal Bridges missed Jumper.,20,25
7:05,2325,B.J. Johnson Defensive Rebound.,20,25
6:48,2325,B.J. Johnson missed Three Point Jumper.,20,25
6:48,2325,Tony Washington Offensive Rebound.,20,25
6:41,2325,B.J. Johnson made Jumper.,22,25
6:23,222,Jalen Brunson missed Three Point Jumper.,22,25
6:23,2325,Tony Washington Defensive Rebound.,22,25
6:04,2325,Pookie Powell missed Three Point Jumper.,22,25
6:04,222,Dhamir Cosby-Roundtree Defensive Rebound.,22,25
5:55,222,Donte DiVincenzo made Layup. Assisted by Jalen Brunson.,22,27
5:55,2325,Foul on Tony Washington.,22,27
5:55,222,Donte DiVincenzo made Free Throw.,22,28
5:47,2325,Tony Washington made Jumper.,24,28
5:27,222,Mikal Bridges missed Three Point Jumper.,24,28
5:27,2325,Pookie Powell Defensive Rebound.,24,28
5:20,2325,B.J. Johnson made Dunk. Assisted by Pookie Powell.,26,28
4:51,222,Jalen Brunson missed Jumper.,26,28
4:51,2325,Saul Phiri Defensive Rebound.,26,28
4:29,2325,B.J. Johnson made Three Point Jumper. Assisted by Tony Washington.,29,28
4:01,2325,Foul on Tony Washington.,29,28
4:01,222,Phil Booth made Free Throw.,29,29
4:01,222,Phil Booth made Free Throw.,29,30
3:32,2325,Isiah Deas missed Layup.,29,30
3:32,222,Mikal Bridges Defensive Rebound.,29,30
3:29,222,Phil Booth Turnover.,29,30
3:29,2325,Pookie Powell Steal.,29,30
3:25,2325,Pookie Powell made Layup.,31,30
3:00,2325,Foul on B.J. Johnson.,31,30
3:00,222,Official TV Timeout,31,30
3:00,222,Omari Spellman made Free Throw.,31,31
3:00,222,Omari Spellman missed Free Throw.,31,31
3:00,2325,B.J. Johnson Defensive Rebound.,31,31
2:32,2325,Pookie Powell Turnover.,31,31
2:12,222,Mikal Bridges Turnover.,31,31
1:43,2325,Isiah Deas made Three Point Jumper. Assisted by Amar Stukes.,34,31
1:28,2325,Foul on Isiah Deas.,34,31
1:28,222,Mikal Bridges missed Free Throw.,34,31
1:28,222,Villanova Deadball Team Rebound.,34,31
1:28,222,Mikal Bridges made Free Throw.,34,32
1:07,2325,Miles Brookins made Layup. Assisted by Johnnie Shuler.,36,32
0:49,2325,Foul on Miles Brookins.,36,32
0:49,222,Jalen Brunson made Free Throw.,36,33
0:49,222,Jalen Brunson made Free Throw.,36,34
0:39,2325,Johnnie Shuler missed Jumper.,36,34
0:39,222,Donte DiVincenzo Defensive Rebound.,36,34
0:12,222,Phil Booth made Three Point Jumper. Assisted by Donte DiVincenzo.,36,37
0:02,2325,Amar Stukes made Jumper.,38,37
0:00,222,End of 1st half,38,37
20:00,222,Jump Ball won by Villanova,38,37
19:45,222,Eric Paschall missed Jumper.,38,37
19:45,2325,Saul Phiri Defensive Rebound.,38,37
19:36,2325,B.J. Johnson made Jumper. Assisted by Pookie Powell.,40,37
19:24,222,Mikal Bridges missed Three Point Jumper.,40,37
19:24,222,Eric Paschall Offensive Rebound.,40,37
19:16,222,Eric Paschall Turnover.,40,37
19:16,2325,Saul Phiri Steal.,40,37
18:46,2325,Pookie Powell made Jumper.,42,37
18:13,222,Mikal Bridges Turnover.,42,37
18:13,2325,Amar Stukes Steal.,42,37
18:08,2325,Pookie Powell missed Layup.,42,37
18:08,222,Eric Paschall Block.,42,37
18:08,222,Mikal Bridges Defensive Rebound.,42,37
17:58,222,Donte DiVincenzo made Layup. Assisted by Jalen Brunson.,42,39
17:46,2325,Pookie Powell missed Jumper.,42,39
17:46,222,Mikal Bridges Defensive Rebound.,42,39
17:38,222,Mikal Bridges made Layup. Assisted by Jalen Brunson.,42,41
17:38,2325,Foul on Pookie Powell.,42,41
17:38,222,Mikal Bridges made Free Throw.,42,42
17:15,2325,B.J. Johnson made Jumper. Assisted by Tony Washington.,44,42
16:42,222,Jalen Brunson made Three Point Jumper. Assisted by Eric Paschall.,44,45
16:29,2325,Tony Washington missed Dunk.,44,45
16:29,222,Phil Booth Block.,44,45
16:29,222,Donte DiVincenzo Defensive Rebound.,44,45
16:23,222,Donte DiVincenzo missed Jumper.,44,45
16:23,2325,Saul Phiri Defensive Rebound.,44,45
16:14,2325,B.J. Johnson Turnover.,44,45
16:14,222,Donte DiVincenzo Steal.,44,45
16:11,222,Donte DiVincenzo Turnover.,44,45
16:11,2325,Saul Phiri Steal.,44,45
16:06,2325,B.J. Johnson missed Three Point Jumper.,44,45
16:06,2325,Amar Stukes Offensive Rebound.,44,45
15:39,2325,Pookie Powell missed Three Point Jumper.,44,45
15:39,2325,Amar Stukes Offensive Rebound.,44,45
15:33,222,Official TV Timeout,44,45
15:33,2325,Amar Stukes missed Jumper.,44,45
15:33,222,Villanova Defensive Rebound.,44,45
15:33,222,Official TV Timeout,44,45
15:19,222,Donte DiVincenzo Turnover.,44,45
15:19,2325,Tony Washington Steal.,44,45
15:02,2325,Tony Washington Turnover.,44,45
15:02,222,Donte DiVincenzo Steal.,44,45
14:56,222,Phil Booth made Three Point Jumper. Assisted by Mikal Bridges.,44,48
14:44,2325,La Salle  Timeout,44,48
14:30,222,Foul on Phil Booth.,44,48
14:13,2325,Amar Stukes made Three Point Jumper. Assisted by B.J. Johnson.,47,48
13:53,222,Jalen Brunson missed Jumper.,47,48
13:53,2325,Isiah Deas Defensive Rebound.,47,48
13:44,2325,Saul Phiri missed Three Point Jumper.,47,48
13:44,222,Mikal Bridges Defensive Rebound.,47,48
13:31,222,Donte DiVincenzo made Jumper.,47,50
13:08,2325,B.J. Johnson missed Jumper.,47,50
13:08,222,Mikal Bridges Defensive Rebound.,47,50
13:00,222,Phil Booth made Jumper.,47,52
12:41,2325,Pookie Powell missed Jumper.,47,52
12:41,222,Donte DiVincenzo Defensive Rebound.,47,52
12:32,222,Jalen Brunson missed Layup.,47,52
12:32,2325,Saul Phiri Defensive Rebound.,47,52
12:28,2325,Amar Stukes missed Three Point Jumper.,47,52
12:28,2325,La Salle Offensive Rebound.,47,52
12:15,2325,B.J. Johnson missed Jumper.,47,52
12:15,2325,B.J. Johnson Offensive Rebound.,47,52
12:12,2325,B.J. Johnson missed Layup.,47,52
12:12,222,Omari Spellman Defensive Rebound.,47,52
11:49,2325,Foul on Saul Phiri.,47,52
11:49,222,Official TV Timeout,47,52
11:35,222,Donte DiVincenzo missed Three Point Jumper.,47,52
11:35,2325,B.J. Johnson Defensive Rebound.,47,52
11:07,2325,Amar Stukes Turnover.,47,52
10:58,222,Foul on Phil Booth.,47,52
10:58,222,Phil Booth Turnover.,47,52
10:48,2325,B.J. Johnson made Layup.,49,52
10:29,222,Mikal Bridges missed Layup.,49,52
10:29,2325,Saul Phiri Block.,49,52
10:29,2325,Tony Washington Defensive Rebound.,49,52
10:20,2325,Saul Phiri missed Three Point Jumper.,49,52
10:20,222,Omari Spellman Defensive Rebound.,49,52
9:57,222,Phil Booth made Three Point Jumper. Assisted by Donte DiVincenzo.,49,55
9:24,2325,Pookie Powell missed Three Point Jumper.,49,55
9:24,222,Donte DiVincenzo Defensive Rebound.,49,55
9:22,222,Donte DiVincenzo Turnover.,49,55
9:22,2325,Amar Stukes Steal.,49,55
9:16,2325,Pookie Powell missed Jumper.,49,55
9:16,222,Phil Booth Defensive Rebound.,49,55
9:11,2325,Foul on Miles Brookins.,49,55
9:11,222,Donte DiVincenzo missed Free Throw.,49,55
9:11,222,Villanova Deadball Team Rebound.,49,55
9:11,222,Donte DiVincenzo made Free Throw.,49,56
8:58,222,Foul on Phil Booth.,49,56
8:50,2325,Tony Washington made Layup. Assisted by Pookie Powell.,51,56
8:15,222,Eric Paschall Turnover.,51,56
8:02,2325,Isiah Deas made Jumper.,53,56
7:34,222,Jalen Brunson made Jumper.,53,58
7:22,2325,Tony Washington Turnover.,53,58
7:22,222,Eric Paschall Steal.,53,58
7:15,222,Eric Paschall missed Layup.,53,58
7:15,222,Omari Spellman Offensive Rebound.,53,58
7:15,222,Omari Spellman missed Two Point Tip Shot.,53,58
7:15,222,Donte DiVincenzo Offensive Rebound.,53,58
7:11,2325,Foul on Isiah Deas.,53,58
7:11,222,Official TV Timeout,53,58
7:11,222,Eric Paschall made Free Throw.,53,59
7:11,222,Eric Paschall made Free Throw.,53,60
6:50,2325,Isiah Deas made Jumper.,55,60
6:30,222,Eric Paschall missed Three Point Jumper.,55,60
6:30,2325,Isiah Deas Defensive Rebound.,55,60
6:15,2325,B.J. Johnson made Three Point Jumper. Assisted by Isiah Deas.,58,60
6:04,222,Villanova  Timeout,58,60
5:53,222,Foul on Jalen Brunson.,58,60
5:53,222,Jalen Brunson Turnover.,58,60
5:36,2325,Pookie Powell made Jumper.,60,60
5:11,222,Jalen Brunson missed Three Point Jumper.,60,60
5:11,222,Eric Paschall Offensive Rebound.,60,60
5:07,2325,Foul on Isiah Deas.,60,60
5:07,222,Eric Paschall missed Free Throw.,60,60
5:07,222,Villanova Deadball Team Rebound.,60,60
5:07,222,Eric Paschall made Free Throw.,60,61
4:47,2325,Isiah Deas made Layup. Assisted by Pookie Powell.,62,61
4:30,2325,Foul on Pookie Powell.,62,61
4:30,222,Phil Booth made Free Throw.,62,62
4:30,222,Phil Booth made Free Throw.,62,63
4:30,222,Phil Booth made Free Throw.,62,64
4:22,2325,Pookie Powell missed Three Point Jumper.,62,64
4:22,222,Mikal Bridges Defensive Rebound.,62,64
4:02,222,Donte DiVincenzo made Three Point Jumper. Assisted by Phil Booth.,62,67
3:52,2325,La Salle  Timeout,62,67
3:52,222,Official TV Timeout,62,67
3:37,222,Foul on Donte DiVincenzo.,62,67
3:37,2325,Amar Stukes made Free Throw.,63,67
3:37,2325,Amar Stukes made Free Throw.,64,67
3:15,222,Mikal Bridges made Layup. Assisted by Jalen Brunson.,64,69
2:59,2325,Amar Stukes missed Layup.,64,69
2:59,222,Phil Booth Block.,64,69
2:59,2325,Pookie Powell Offensive Rebound.,64,69
2:55,2325,Pookie Powell Turnover.,64,69
2:55,222,Donte DiVincenzo Steal.,64,69
2:47,222,Phil Booth missed Three Point Jumper.,64,69
2:47,222,Mikal Bridges Offensive Rebound.,64,69
2:46,222,Mikal Bridges missed Layup.,64,69
2:45,222,Mikal Bridges Offensive Rebound.,64,69
2:42,222,Mikal Bridges made Layup.,64,71
2:33,2325,La Salle  Timeout,64,71
2:24,2325,Amar Stukes missed Layup.,64,71
2:24,222,Donte DiVincenzo Defensive Rebound.,64,71
1:59,222,Donte DiVincenzo missed Three Point Jumper.,64,71
1:59,2325,Isiah Deas Defensive Rebound.,64,71
1:48,222,Foul on Eric Paschall.,64,71
1:40,222,Foul on Eric Paschall.,64,71
1:40,2325,Pookie Powell made Free Throw.,65,71
1:40,2325,Pookie Powell made Free Throw.,66,71
1:12,2325,Foul on Amar Stukes.,66,71
1:12,222,Donte DiVincenzo missed Free Throw.,66,71
1:12,222,Villanova Deadball Team Rebound.,66,71
1:12,222,Donte DiVincenzo made Free Throw.,66,72
1:04,2325,Pookie Powell made Jumper. Assisted by B.J. Johnson.,68,72
0:47,222,Villanova  Timeout,68,72
0:37,2325,Foul on Pookie Powell.,68,72
0:37,222,Jalen Brunson made Free Throw.,68,73
0:37,222,Jalen Brunson made Free Throw.,68,74
0:29,2325,Johnnie Shuler Turnover.,68,74
0:29,222,Jalen Brunson Steal.,68,74
0:25,2325,Foul on B.J. Johnson.,68,74
0:25,222,Donte DiVincenzo made Free Throw.,68,75
0:25,222,Donte DiVincenzo made Free Throw.,68,76
0:16,2325,B.J. Johnson missed Jumper.,68,76
0:16,222,Jalen Brunson Defensive Rebound.,68,76
0:14,2325,Foul on Isiah Deas.,68,76
0:14,222,Jalen Brunson made Free Throw.,68,77
0:14,222,Jalen Brunson missed Free Throw.,68,77
0:14,2325,B.J. Johnson Defensive Rebound.,68,77
0:06,2325,B.J. Johnson missed Three Point Jumper.,68,77
0:06,222,Donte DiVincenzo Defensive Rebound.,68,77
0:00,222,End of Game,68,77
