Hiwassee College,Error,East Tennessee State,2193
9:11,-1,Maruis Williams missed Jumper.,10,20
9:11,2193,Desonta Bradford Defensive Rebound.,10,20
9:03,-1,Foul on Maruis Williams.,10,20
9:03,2193,Desonta Bradford made Free Throw.,10,21
9:03,2193,Desonta Bradford missed Free Throw.,10,21
9:03,2193,David Burrell Offensive Rebound.,10,21
8:49,2193,Andre Edwards missed Three Point Jumper.,10,21
8:49,-1,Maruis Williams Defensive Rebound.,10,21
8:26,-1,Maruis Williams missed Jumper.,10,21
8:26,-1,Dess Culpepper Offensive Rebound.,10,21
8:22,-1,Dess Culpepper missed Layup.,10,21
8:22,-1,Hiwassee Offensive Rebound.,10,21
8:09,-1,Ben Snider Turnover.,10,21
8:08,2193,Desonta Bradford Steal.,10,21
8:03,-1,Foul on Toure Fudge.,10,21
8:02,2193,Foul on Peter Jurkin.,10,21
8:02,2193,Jalan McCloud missed Free Throw.,10,21
8:02,-1,Hiwassee Defensive Rebound.,10,21
7:40,-1,Toure Fudge Turnover.,10,21
7:39,2193,Peter Jurkin Steal.,10,21
7:35,2193,Bo Hodges made Dunk. Assisted by Jermaine Long.,10,23
7:11,-1,Ben Snider made Three Point Jumper.,13,23
6:56,2193,Foul on Peter Jurkin.,13,23
6:56,2193,Peter Jurkin Turnover.,13,23
6:56,2193,Official TV Timeout,13,23
6:53,-1,Dess Culpepper Turnover.,13,23
6:52,2193,Bo Hodges Steal.,13,23
6:49,2193,Bo Hodges made Dunk.,13,25
6:38,-1,Toure Fudge missed Three Point Jumper.,13,25
6:38,-1,Dess Culpepper Offensive Rebound.,13,25
6:35,-1,Dess Culpepper made Layup.,15,25
6:21,-1,Foul on Malyk Woods.,15,25
6:21,2193,Bo Hodges missed Free Throw.,15,25
6:21,2193,East Tennessee State Deadball Team Rebound.,15,25
6:21,2193,Bo Hodges made Free Throw.,15,26
6:20,-1,Dess Culpepper Turnover.,15,26
6:19,2193,Jermaine Long Steal.,15,26
6:17,2193,Bo Hodges made Layup. Assisted by Jermaine Long.,15,28
6:07,-1,Dess Culpepper Turnover.,15,28
6:06,2193,Desonta Bradford Steal.,15,28
6:04,2193,Bo Hodges made Dunk. Assisted by Desonta Bradford.,15,30
6:00,-1,Ben Snider Turnover.,15,30
5:58,2193,Jermaine Long Steal.,15,30
5:57,2193,Bo Hodges made Layup. Assisted by Jermaine Long.,15,32
5:55,-1,Hiwassee  Timeout,15,32
5:47,-1,Toure Fudge Turnover.,15,32
5:44,2193,Bo Hodges Steal.,15,32
5:42,2193,Bo Hodges made Dunk.,15,34
5:37,2193,Foul on Jermaine Long.,15,34
5:30,-1,Naequon Newman Turnover.,15,34
5:29,2193,Mladen Armus Steal.,15,34
5:20,2193,Jermaine Long made Layup.,15,36
5:10,-1,Malyk Woods made Layup. Assisted by Naequon Newman.,17,36
4:54,2193,Jason Williams made Three Point Jumper. Assisted by Jermaine Long.,17,39
4:31,-1,Malyk Woods missed Layup.,17,39
4:31,2193,David Burrell Block.,17,39
4:29,2193,Jermaine Long Defensive Rebound.,17,39
4:24,2193,Desonta Bradford missed Dunk.,17,39
4:24,-1,Jay Cade Defensive Rebound.,17,39
4:13,-1,Ben Snider missed Three Point Jumper.,17,39
4:13,-1,Ben Snider Offensive Rebound.,17,39
4:09,-1,Jay Cade missed Three Point Jumper.,17,39
4:09,2193,Desonta Bradford Block.,17,39
4:06,-1,Hiwassee Offensive Rebound.,17,39
3:54,-1,Naequon Newman Turnover.,17,39
3:53,2193,Devontavius Payne Steal.,17,39
3:42,2193,Official TV Timeout,17,39
3:30,2193,James Harrison made Dunk. Assisted by Jason Williams.,17,41
3:12,-1,Jay Cade Turnover.,17,41
3:11,2193,Devontavius Payne Steal.,17,41
2:57,2193,Kanayo Obi-Rapu made Three Point Jumper. Assisted by Devontavius Payne.,17,44
2:30,-1,Jay Cade Turnover.,17,44
2:18,2193,Devontavius Payne missed Layup.,17,44
2:18,-1,Aario Johnson Defensive Rebound.,17,44
2:11,2193,Foul on David Burrell.,17,44
2:11,-1,Tevin Henry missed Free Throw.,17,44
2:11,2193,David Burrell Defensive Rebound.,17,44
2:00,2193,Jason Williams made Layup.,17,46
1:43,-1,Naequon Newman Turnover.,17,46
1:42,2193,David Burrell Steal.,17,46
1:39,-1,Foul on Naequon Newman.,17,46
1:39,2193,Jason Williams made Free Throw.,17,47
1:39,2193,Jason Williams made Free Throw.,17,48
1:20,-1,Jay Cade missed Layup.,17,48
1:20,2193,James Harrison Defensive Rebound.,17,48
1:18,2193,James Harrison Turnover.,17,48
1:15,-1,Maruis Williams Turnover.,17,48
1:13,2193,Andre Edwards Steal.,17,48
1:03,2193,Jason Williams missed Three Point Jumper.,17,48
1:03,2193,David Burrell Offensive Rebound.,17,48
0:39,2193,Kanayo Obi-Rapu missed Three Point Jumper.,17,48
0:39,-1,Aario Johnson Defensive Rebound.,17,48
0:28,-1,Maruis Williams missed Jumper.,17,48
0:28,2193,Kanayo Obi-Rapu Defensive Rebound.,17,48
0:06,2193,Jason Williams missed Layup.,17,48
0:06,-1,Naequon Newman Defensive Rebound.,17,48
0:01,-1,Jay Cade missed Jumper.,17,48
0:01,2193,Andre Edwards Defensive Rebound.,17,48
0:00,2193,End of 1st half,17,48
19:52,-1,Naequon Newman Turnover.,17,48
19:51,2193,Desonta Bradford Steal.,17,48
19:48,2193,Desonta Bradford made Dunk.,17,50
19:11,-1,Tevin Henry missed Layup.,17,50
19:11,2193,Andre Edwards Block.,17,50
19:10,-1,Aario Johnson Offensive Rebound.,17,50
19:10,-1,Hiwassee  Turnover.,17,50
18:54,2193,Desonta Bradford missed Three Point Jumper.,17,50
18:54,2193,Peter Jurkin Offensive Rebound.,17,50
18:51,-1,Foul on Dess Culpepper.,17,50
18:48,2193,Peter Jurkin missed Layup.,17,50
18:48,-1,Aario Johnson Defensive Rebound.,17,50
18:39,-1,Jay Cade missed Layup.,17,50
18:39,2193,Desonta Bradford Defensive Rebound.,17,50
18:31,2193,Peter Jurkin missed Layup.,17,50
18:31,-1,Aario Johnson Defensive Rebound.,17,50
18:10,-1,Tevin Henry missed Jumper.,17,50
18:10,2193,Peter Jurkin Defensive Rebound.,17,50
18:03,2193,Jalan McCloud Turnover.,17,50
17:48,-1,Jay Cade made Layup.,19,50
17:31,2193,Mladen Armus missed Jumper.,19,50
17:31,-1,Tevin Henry Defensive Rebound.,19,50
17:21,2193,Foul on Mladen Armus.,19,50
17:21,-1,Tevin Henry missed Free Throw.,19,50
17:21,-1,Hiwassee Deadball Team Rebound.,19,50
17:21,-1,Tevin Henry missed Free Throw.,19,50
17:21,2193,Bo Hodges Defensive Rebound.,19,50
17:11,2193,Devontavius Payne missed Three Point Jumper.,19,50
17:11,-1,Aario Johnson Defensive Rebound.,19,50
17:00,2193,Foul on Devontavius Payne.,19,50
16:54,-1,Tevin Henry made Jumper.,21,50
16:41,2193,Jason Williams missed Three Point Jumper.,21,50
16:41,-1,Aario Johnson Defensive Rebound.,21,50
16:31,-1,Naequon Newman made Jumper.,23,50
16:19,2193,Bo Hodges made Layup.,23,52
16:19,-1,Foul on Aario Johnson.,23,52
16:19,2193,Bo Hodges made Free Throw.,23,53
15:56,-1,Foul on Jay Cade.,23,53
15:56,-1,Jay Cade Turnover.,23,53
15:56,2193,Official TV Timeout,23,53
15:38,-1,Foul on Dess Culpepper.,23,53
15:27,2193,Bo Hodges missed Layup.,23,53
15:27,-1,Dess Culpepper Defensive Rebound.,23,53
15:14,-1,Jay Cade missed Jumper.,23,53
15:14,2193,Devontavius Payne Defensive Rebound.,23,53
15:04,-1,Foul on Dess Culpepper.,23,53
15:04,2193,Peter Jurkin made Free Throw.,23,54
15:04,2193,Peter Jurkin made Free Throw.,23,55
14:48,-1,Tevin Henry missed Layup.,23,55
14:48,-1,Aario Johnson Offensive Rebound.,23,55
14:45,-1,Aario Johnson made Layup.,25,55
14:39,2193,Devontavius Payne made Three Point Jumper. Assisted by Bo Hodges.,25,58
14:20,-1,Aario Johnson missed Three Point Jumper.,25,58
14:20,2193,Kanayo Obi-Rapu Defensive Rebound.,25,58
14:11,2193,Bo Hodges made Layup. Assisted by Jason Williams.,25,60
13:56,-1,Jay Cade missed Jumper.,25,60
13:56,2193,Peter Jurkin Block.,25,60
13:54,2193,Peter Jurkin Defensive Rebound.,25,60
13:52,2193,Jason Williams made Layup. Assisted by Peter Jurkin.,25,62
13:44,-1,Hiwassee  Timeout,25,62
13:26,-1,Aario Johnson made Jumper.,27,62
13:12,-1,Foul on Aario Johnson.,27,62
13:09,2193,Peter Jurkin made Dunk. Assisted by Jalan McCloud.,27,64
12:59,-1,Ben Snider made Three Point Jumper.,30,64
12:40,2193,Devontavius Payne made Three Point Jumper.,30,67
12:16,-1,Jay Johnson Turnover.,30,67
12:15,2193,Devontavius Payne Steal.,30,67
12:11,2193,Devontavius Payne missed Layup.,30,67
12:11,2193,Dillon Reppart Offensive Rebound.,30,67
12:07,2193,Dillon Reppart missed Layup.,30,67
12:07,-1,Jay Cade Defensive Rebound.,30,67
12:03,2193,Dillon Reppart Offensive Rebound.,30,67
12:03,2193,Dillon Reppart missed Layup.,30,67
12:03,-1,Jay Cade missed Layup.,30,67
12:03,-1,Jay Johnson Offensive Rebound.,30,67
11:57,-1,Jay Johnson missed Three Point Jumper.,30,67
11:57,2193,Peter Jurkin Defensive Rebound.,30,67
11:47,2193,Andre Edwards missed Three Point Jumper.,30,67
11:47,-1,Malyk Woods Defensive Rebound.,30,67
11:42,-1,Malyk Woods Turnover.,30,67
11:41,2193,Devontavius Payne Steal.,30,67
11:40,2193,Devontavius Payne made Dunk.,30,69
11:17,-1,Malyk Woods missed Layup.,30,69
11:17,2193,Jalan McCloud Defensive Rebound.,30,69
11:10,2193,Devontavius Payne missed Three Point Jumper.,30,69
11:10,-1,Hiwassee Defensive Rebound.,30,69
11:00,2193,Official TV Timeout,30,69
10:51,-1,Foul on Ben Snider.,30,69
10:49,-1,Ben Snider Turnover.,30,69
10:36,2193,Mladen Armus made Layup. Assisted by Jermaine Long.,30,71
10:07,-1,Jay Cade Turnover.,30,71
10:07,2193,Jermaine Long Steal.,30,71
10:01,2193,Dillon Reppart missed Three Point Jumper.,30,71
10:01,2193,Mladen Armus Offensive Rebound.,30,71
9:58,2193,Andre Edwards missed Three Point Jumper.,30,71
9:58,2193,Mladen Armus Offensive Rebound.,30,71
9:52,2193,Andre Edwards made Layup. Assisted by Mladen Armus.,30,73
9:39,-1,Dess Culpepper missed Jumper.,30,73
9:39,2193,Andre Edwards Defensive Rebound.,30,73
9:30,2193,Jermaine Long missed Three Point Jumper.,30,73
9:30,-1,Jay Johnson Defensive Rebound.,30,73
9:18,-1,Jay Johnson missed Three Point Jumper.,30,73
9:18,-1,Dess Culpepper Offensive Rebound.,30,73
9:16,2193,Foul on Dillon Reppart.,30,73
9:06,-1,Dess Culpepper missed Jumper.,30,73
9:06,2193,Jason Williams Defensive Rebound.,30,73
8:53,-1,Foul on Jay Johnson.,30,73
8:53,2193,Mladen Armus missed Free Throw.,30,73
8:53,2193,East Tennessee State Deadball Team Rebound.,30,73
8:53,2193,Mladen Armus missed Free Throw.,30,73
8:53,-1,Ben Snider Defensive Rebound.,30,73
8:43,-1,Jay Cade missed Jumper.,30,73
8:43,-1,Dess Culpepper Offensive Rebound.,30,73
8:41,2193,Foul on Dillon Reppart.,30,73
8:38,-1,Rasheed Michell missed Three Point Jumper.,30,73
8:38,2193,James Harrison Defensive Rebound.,30,73
8:29,2193,Kanayo Obi-Rapu made Three Point Jumper. Assisted by Jason Williams.,30,76
8:11,-1,Rasheed Michell missed Jumper.,30,76
8:11,-1,Dess Culpepper Offensive Rebound.,30,76
8:08,2193,Foul on Kanayo Obi-Rapu.,30,76
8:08,-1,Dess Culpepper made Free Throw.,31,76
8:08,-1,Dess Culpepper missed Free Throw.,31,76
8:08,2193,James Harrison Defensive Rebound.,31,76
7:47,-1,Foul on Jay Cade.,31,76
7:47,2193,Official TV Timeout,31,76
7:47,2193,James Harrison made Free Throw.,31,77
7:47,2193,James Harrison missed Free Throw.,31,77
7:47,-1,Ben Snider Defensive Rebound.,31,77
7:29,-1,Rasheed Michell missed Jumper.,31,77
7:29,2193,Kanayo Obi-Rapu Defensive Rebound.,31,77
7:23,2193,Kanayo Obi-Rapu missed Three Point Jumper.,31,77
7:23,-1,Jay Cade Defensive Rebound.,31,77
7:09,-1,Rasheed Michell made Jumper.,33,77
6:50,2193,Andre Edwards missed Three Point Jumper.,33,77
6:50,-1,Ben Snider Defensive Rebound.,33,77
6:42,-1,Ben Snider made Layup.,35,77
6:21,2193,James Harrison made Jumper.,35,79
5:51,-1,Jay Cade missed Three Point Jumper.,35,79
5:51,-1,Ben Snider Offensive Rebound.,35,79
5:44,-1,Ben Snider made Layup.,37,79
5:29,2193,James Harrison missed Jumper.,37,79
5:29,-1,Jay Johnson Defensive Rebound.,37,79
5:18,-1,Toure Fudge missed Three Point Jumper.,37,79
5:18,2193,Kanayo Obi-Rapu Defensive Rebound.,37,79
5:04,2193,Jason Williams Turnover.,37,79
5:03,-1,Ben Snider Steal.,37,79
4:59,-1,Toure Fudge made Layup. Assisted by Ben Snider.,39,79
4:43,2193,James Harrison missed Jumper.,39,79
4:43,-1,Toure Fudge Defensive Rebound.,39,79
4:28,-1,Jay Cade Turnover.,39,79
4:28,2193,Jason Williams Steal.,39,79
4:21,2193,Mladen Armus missed Layup.,39,79
4:21,2193,Andre Edwards Offensive Rebound.,39,79
4:18,2193,Andre Edwards missed Layup.,39,79
4:18,-1,Ben Snider Defensive Rebound.,39,79
4:04,-1,Ben Snider missed Three Point Jumper.,39,79
4:04,2193,Jermaine Long Defensive Rebound.,39,79
3:53,-1,Foul on Maruis Williams.,39,79
3:53,2193,Official TV Timeout,39,79
3:53,2193,Jermaine Long missed Free Throw.,39,79
3:53,2193,East Tennessee State Deadball Team Rebound.,39,79
3:53,2193,Jermaine Long made Free Throw.,39,80
3:46,-1,Toure Fudge made Jumper.,41,80
3:32,-1,Foul on Maruis Williams.,41,80
3:32,2193,Mladen Armus made Free Throw.,41,81
3:32,2193,Mladen Armus made Free Throw.,41,82
3:22,-1,Toure Fudge missed Three Point Jumper.,41,82
3:22,2193,Mladen Armus Defensive Rebound.,41,82
3:11,-1,Foul on Kobe Clisby.,41,82
3:11,2193,Jermaine Long made Free Throw.,41,83
3:11,2193,Jermaine Long made Free Throw.,41,84
2:53,-1,Maruis Williams Turnover.,41,84
2:51,2193,Jason Williams Steal.,41,84
2:48,2193,Jason Williams missed Layup.,41,84
2:48,-1,Maruis Williams Defensive Rebound.,41,84
2:34,-1,Rasheed Michell made Jumper.,43,84
2:16,2193,Andre Edwards Turnover.,43,84
2:15,-1,Maruis Williams Steal.,43,84
2:14,-1,Maruis Williams made Layup.,45,84
2:00,2193,Mladen Armus made Layup. Assisted by Jason Williams.,45,86
1:46,-1,Maruis Williams Turnover.,45,86
1:45,2193,Andre Edwards Steal.,45,86
1:44,2193,Andre Edwards made Dunk.,45,88
1:35,-1,Toure Fudge made Three Point Jumper. Assisted by Ben Snider.,48,88
1:21,2193,Jason Williams made Three Point Jumper.,48,91
1:04,-1,Ben Snider missed Three Point Jumper.,48,91
1:04,2193,Mladen Armus Defensive Rebound.,48,91
0:46,2193,Dillon Reppart made Three Point Jumper. Assisted by Kanayo Obi-Rapu.,48,94
0:36,-1,Maruis Williams missed Three Point Jumper.,48,94
0:36,2193,Kanayo Obi-Rapu Defensive Rebound.,48,94
0:15,2193,Jason Williams missed Three Point Jumper.,48,94
0:15,2193,Mladen Armus Offensive Rebound.,48,94
0:12,2193,Mladen Armus missed Layup.,48,94
0:12,-1,Rasheed Michell Block.,48,94
0:10,2193,Dillon Reppart Offensive Rebound.,48,94
0:00,2193,End of Game,48,94
