Georgia Tech,213,Penn State,59
14:57,59,Quinton Stephens Defensive Rebound.,35,39
14:47,59,Quinton Stephens missed Three Point Jumper.,35,39
14:47,213,Terrence Samuel Defensive Rebound.,35,39
14:43,213,Terrence Samuel missed Layup.,35,39
14:43,59,Justin Moore Block.,35,39
14:43,59,Josh Heath Defensive Rebound.,35,39
14:40,59,Justin Moore Turnover.,35,39
14:36,213,Official TV Timeout,35,39
14:12,213,Shep Garner missed Jumper.,35,39
14:12,59,Georgia Tech Defensive Rebound.,35,39
13:43,59,Josh Heath made Layup.,37,39
13:21,213,Mike Watkins Turnover.,37,39
13:14,213,Foul on Tony Carr.,37,39
13:01,59,Ben Lammers made Layup. Assisted by Justin Moore.,39,39
12:48,213,Payton Banks made Jumper. Assisted by Lamar Stevens.,39,41
12:33,59,Ben Lammers Turnover.,39,41
12:33,213,Terrence Samuel Steal.,39,41
12:26,59,Foul on Ben Lammers.,39,41
12:26,213,Terrence Samuel missed Free Throw.,39,41
12:26,213,Penn State Deadball Team Rebound.,39,41
12:26,213,Terrence Samuel made Free Throw.,39,42
12:14,59,Tadric Jackson missed Layup.,39,42
12:14,213,Penn State Defensive Rebound.,39,42
12:02,213,Lamar Stevens missed Jumper.,39,42
12:02,59,Josh Heath Block.,39,42
12:02,213,Lamar Stevens Offensive Rebound.,39,42
12:02,213,Jump Ball won by Penn State,39,42
11:59,213,Official TV Timeout,39,42
11:57,213,Tony Carr missed Jumper.,39,42
11:57,59,Abdoulaye Gueye Defensive Rebound.,39,42
11:30,59,Abdoulaye Gueye missed Jumper.,39,42
11:25,213,Lamar Stevens Defensive Rebound.,39,42
11:20,213,Lamar Stevens Turnover.,39,42
11:20,59,Josh Heath Steal.,39,42
11:14,59,Tadric Jackson missed Three Point Jumper.,39,42
11:14,59,Abdoulaye Gueye Offensive Rebound.,39,42
11:13,213,Foul on Mike Watkins.,39,42
10:59,59,Ben Lammers missed Jumper.,39,42
10:59,213,Julian Moore Defensive Rebound.,39,42
10:49,213,Lamar Stevens missed Jumper.,39,42
10:49,59,Ben Lammers Block.,39,42
10:49,59,Ben Lammers Defensive Rebound.,39,42
10:41,59,Josh Okogie made Three Point Jumper. Assisted by Quinton Stephens.,42,42
10:31,59,Foul on Josh Heath.,42,42
10:31,213,Terrence Samuel made Free Throw.,42,43
10:31,213,Terrence Samuel made Free Throw.,42,44
10:14,59,Josh Heath missed Jumper.,42,44
10:14,59,Georgia Tech Offensive Rebound.,42,44
10:09,213,Foul on Josh Reaves.,42,44
9:42,59,Josh Okogie missed Jumper.,42,44
9:42,59,Josh Okogie Offensive Rebound.,42,44
9:38,59,Josh Okogie missed Jumper.,42,44
9:38,213,Josh Reaves Defensive Rebound.,42,44
9:26,59,Foul on Justin Moore.,42,44
9:16,213,Julian Moore missed Jumper.,42,44
9:16,59,Quinton Stephens Defensive Rebound.,42,44
8:45,59,Georgia Tech  Turnover.,42,44
8:36,213,Julian Moore made Layup.,42,46
8:15,59,Josh Okogie made Dunk. Assisted by Josh Heath.,44,46
8:01,213,Tony Carr missed Jumper.,44,46
8:01,213,Josh Reaves Offensive Rebound.,44,46
7:54,213,Shep Garner missed Three Point Jumper.,44,46
7:54,213,Julian Moore Offensive Rebound.,44,46
7:49,213,Josh Reaves made Layup.,44,48
7:49,213,Foul on Josh Reaves.,44,48
7:49,213,Official TV Timeout,44,48
7:49,59,Josh Okogie missed Free Throw.,44,48
7:49,59,Georgia Tech Deadball Team Rebound.,44,48
7:49,59,Josh Okogie made Free Throw.,45,48
7:37,213,Mike Watkins missed Jumper.,45,48
7:37,59,Ben Lammers Defensive Rebound.,45,48
7:12,59,Josh Okogie missed Three Point Jumper.,45,48
7:12,213,Mike Watkins Defensive Rebound.,45,48
7:01,213,Shep Garner made Layup. Assisted by Payton Banks.,45,50
6:55,59,Justin Moore Turnover.,45,50
6:27,213,Terrence Samuel missed Jumper.,45,50
6:27,59,Ben Lammers Defensive Rebound.,45,50
6:20,213,Foul on Shep Garner.,45,50
6:20,59,Tadric Jackson made Free Throw.,46,50
6:20,59,Tadric Jackson missed Free Throw.,46,50
6:20,59,Georgia Tech Offensive Rebound.,46,50
6:09,59,Josh Okogie missed Jumper.,46,50
6:09,213,Mike Watkins Block.,46,50
6:09,213,Mike Watkins Defensive Rebound.,46,50
5:57,213,Payton Banks made Layup. Assisted by Lamar Stevens.,46,52
5:47,59,Georgia Tech  Timeout,46,52
5:47,213,Official TV Timeout,46,52
5:27,59,Ben Lammers made Jumper. Assisted by Josh Heath.,48,52
5:01,213,Tony Carr missed Three Point Jumper.,48,52
5:01,59,Quinton Stephens Defensive Rebound.,48,52
4:52,59,Josh Okogie missed Layup.,48,52
4:52,213,Mike Watkins Block.,48,52
4:52,59,Georgia Tech Offensive Rebound.,48,52
4:35,59,Josh Heath made Three Point Jumper. Assisted by Tadric Jackson.,51,52
4:16,59,Foul on Tadric Jackson.,51,52
4:14,213,Lamar Stevens made Dunk.,51,54
4:06,59,Quinton Stephens Turnover.,51,54
4:06,213,Shep Garner Steal.,51,54
4:00,213,Shep Garner made Layup. Assisted by Josh Reaves.,51,56
3:43,59,Josh Okogie made Layup. Assisted by Tadric Jackson.,53,56
3:18,59,Foul on Ben Lammers.,53,56
3:18,213,Official TV Timeout,53,56
3:18,213,Mike Watkins made Free Throw.,53,57
3:18,213,Mike Watkins missed Free Throw.,53,57
3:18,59,Ben Lammers Defensive Rebound.,53,57
2:58,59,Tadric Jackson missed Jumper.,53,57
2:58,59,Ben Lammers Offensive Rebound.,53,57
2:58,59,Ben Lammers missed Two Point Tip Shot.,53,57
2:58,213,Josh Reaves Defensive Rebound.,53,57
2:27,213,Shep Garner missed Jumper.,53,57
2:27,59,Josh Heath Block.,53,57
2:27,213,Lamar Stevens Offensive Rebound.,53,57
2:27,213,Penn State  Turnover.,53,57
2:24,59,Georgia Tech  Timeout,53,57
2:10,59,Josh Heath made Jumper.,55,57
1:57,213,Penn State  Timeout,55,57
1:38,213,Josh Reaves made Three Point Jumper. Assisted by Shep Garner.,55,60
1:22,59,Tadric Jackson Turnover.,55,60
1:22,213,Josh Reaves Steal.,55,60
1:17,213,Josh Reaves made Layup.,55,62
1:09,59,Ben Lammers made Layup.,57,62
0:42,213,Mike Watkins missed Jumper.,57,62
0:42,59,Ben Lammers Block.,57,62
0:42,213,Mike Watkins Offensive Rebound.,57,62
0:37,213,Mike Watkins made Jumper. Assisted by Lamar Stevens.,57,64
0:34,59,Quinton Stephens missed Three Point Jumper.,57,64
0:34,213,Terrence Samuel Defensive Rebound.,57,64
0:34,59,Foul on Ben Lammers.,57,64
0:34,213,Terrence Samuel made Free Throw.,57,65
0:34,213,Terrence Samuel missed Free Throw.,57,65
0:34,59,Quinton Stephens Defensive Rebound.,57,65
0:28,59,Josh Okogie missed Layup.,57,65
0:28,213,Mike Watkins Block.,57,65
0:28,213,Mike Watkins Defensive Rebound.,57,65
0:28,213,Mike Watkins Turnover.,57,65
0:28,59,Josh Okogie Steal.,57,65
0:28,59,Tadric Jackson made Three Point Jumper. Assisted by Josh Okogie.,60,65
0:17,59,Georgia Tech  Timeout,60,65
0:17,59,Foul on Josh Okogie.,60,65
0:17,213,Shep Garner made Free Throw.,60,66
0:17,213,Shep Garner made Free Throw.,60,67
0:07,59,Josh Heath missed Layup.,60,67
0:07,213,Tony Carr Defensive Rebound.,60,67
0:00,213,End of Game,60,67
