UT Arlington,251,Texas,250
12:49,251,Jacob Young missed Three Point Jumper.,4,8
12:49,250,Faith Pope Defensive Rebound.,4,8
12:40,251,Foul on Andrew Jones.,4,8
12:34,251,Foul on Shaquille Cleare.,4,8
12:33,250,Faith Pope missed Dunk.,4,8
12:33,251,Shaquille Cleare Defensive Rebound.,4,8
12:18,251,Tevin Mack made Jumper.,4,10
12:03,251,Foul on Kerwin Roach Jr..,4,10
12:03,250,Nathan Hawkins missed Three Point Jumper.,4,10
12:03,251,Andrew Jones Defensive Rebound.,4,10
11:59,251,Eric Davis Jr. missed Three Point Jumper.,4,10
11:59,250,Nathan Hawkins Defensive Rebound.,4,10
11:51,250,Kaelon Wilson Turnover.,4,10
11:49,251,Andrew Jones Steal.,4,10
11:43,251,Kerwin Roach Jr. made Dunk. Assisted by Andrew Jones.,4,12
11:28,250,Nathan Hawkins missed Three Point Jumper.,4,12
11:28,250,Kaelon Wilson Offensive Rebound.,4,12
10:48,250,Erick Neal made Jumper.,6,12
10:31,251,Kerwin Roach Jr. missed Jumper.,6,12
10:31,250,Nathan Hawkins Defensive Rebound.,6,12
10:10,250,Nathan Hawkins missed Layup.,6,12
10:10,250,Link Kabadyundi Offensive Rebound.,6,12
10:09,251,Foul on Shaquille Cleare.,6,12
10:09,251,Official TV Timeout,6,12
10:09,250,Link Kabadyundi missed Free Throw.,6,12
10:09,250,UT-Arlington Deadball Team Rebound.,6,12
10:09,250,Link Kabadyundi missed Free Throw.,6,12
10:09,251,Jarrett Allen Defensive Rebound.,6,12
9:41,251,Jacob Young made Three Point Jumper. Assisted by Eric Davis Jr..,6,15
9:18,250,Faith Pope missed Jumper.,6,15
9:18,251,Kerwin Roach Jr. Defensive Rebound.,6,15
9:12,251,Tevin Mack missed Three Point Jumper.,6,15
9:12,250,Nathan Hawkins Defensive Rebound.,6,15
8:46,250,Faith Pope made Jumper. Assisted by DJ Bryant.,8,15
8:14,251,Jacob Young missed Three Point Jumper.,8,15
8:14,251,Jarrett Allen Offensive Rebound.,8,15
8:08,251,Jarrett Allen missed Jumper.,8,15
8:08,250,Faith Pope Defensive Rebound.,8,15
7:51,250,Link Kabadyundi Turnover.,8,15
7:46,251,Kerwin Roach Jr. missed Layup.,8,15
7:46,251,Tevin Mack Offensive Rebound.,8,15
7:43,251,Tevin Mack made Two Point Tip Shot.,8,17
7:40,250,UT-Arlington  Timeout,8,17
7:40,251,Official TV Timeout,8,17
7:24,250,Jalen Jones made Jumper.,10,17
7:09,251,James Banks made Dunk. Assisted by Andrew Jones.,10,19
6:53,250,Kevin Hervey made Layup.,12,19
6:45,251,Jarrett Allen Turnover.,12,19
6:41,251,Foul on James Banks.,12,19
6:41,250,Jalen Jones missed Free Throw.,12,19
6:41,250,UT-Arlington Deadball Team Rebound.,12,19
6:41,250,Jalen Jones made Free Throw.,13,19
6:29,251,Foul on Kerwin Roach Jr..,13,19
6:29,251,Kerwin Roach Jr. Turnover.,13,19
6:08,250,Drew Charles Turnover.,13,19
6:08,251,Eric Davis Jr. Steal.,13,19
6:08,250,Foul on Jorge Bilbao.,13,19
5:48,251,Eric Davis Jr. missed Jumper.,13,19
5:48,250,Jorge Bilbao Block.,13,19
5:46,251,Jarrett Allen Offensive Rebound.,13,19
5:45,251,Jarrett Allen made Dunk.,13,21
5:37,250,Kevin Hervey Turnover.,13,21
5:35,251,Eric Davis Jr. Steal.,13,21
5:33,251,Andrew Jones missed Three Point Jumper.,13,21
5:33,251,Kendal Yancy Offensive Rebound.,13,21
5:33,250,Foul on Erick Neal.,13,21
5:33,251,Kendal Yancy missed Free Throw.,13,21
5:33,251,Texas Deadball Team Rebound.,13,21
5:33,251,Kendal Yancy missed Free Throw.,13,21
5:33,250,Drew Charles Defensive Rebound.,13,21
5:16,250,Kevin Hervey missed Jumper.,13,21
5:16,251,Jarrett Allen Block.,13,21
5:15,250,Kevin Hervey Offensive Rebound.,13,21
5:13,250,Kevin Hervey missed Layup.,13,21
5:12,251,James Banks Block.,13,21
5:11,250,Julian Harris Offensive Rebound.,13,21
5:11,251,Foul on James Banks.,13,21
5:11,250,Julian Harris made Layup.,15,21
5:11,250,Julian Harris missed Free Throw.,15,21
5:11,250,Drew Charles Offensive Rebound.,15,21
4:46,251,Foul on Eric Davis Jr..,15,21
4:46,250,Kevin Hervey made Free Throw.,16,21
4:46,250,Kevin Hervey made Free Throw.,17,21
4:37,251,Andrew Jones missed Layup.,17,21
4:37,251,Jarrett Allen Offensive Rebound.,17,21
4:36,251,Jarrett Allen made Jumper.,17,23
4:36,250,Foul on Jalen Jones.,17,23
4:36,251,Jarrett Allen made Free Throw.,17,24
4:19,250,Kevin Hervey made Jumper. Assisted by DJ Bryant.,19,24
3:41,251,Eric Davis Jr. missed Three Point Jumper.,19,24
3:41,250,Nathan Hawkins Defensive Rebound.,19,24
3:35,251,Foul on Eric Davis Jr..,19,24
3:35,251,Official TV Timeout,19,24
3:35,250,Kevin Hervey made Free Throw.,20,24
3:35,250,Kevin Hervey missed Free Throw.,20,24
3:35,251,Jarrett Allen Defensive Rebound.,20,24
3:24,251,Jarrett Allen made Free Throw.,20,25
3:24,251,Jarrett Allen made Free Throw.,20,26
3:23,250,Foul on Julian Harris.,20,24
3:12,250,Kevin Hervey missed Three Point Jumper.,20,26
3:12,251,Tevin Mack Defensive Rebound.,20,26
3:02,250,Foul on Julian Harris.,20,26
3:02,251,James Banks made Free Throw.,20,27
3:02,251,James Banks missed Free Throw.,20,27
3:02,250,Kevin Hervey Defensive Rebound.,20,27
2:47,250,Erick Neal made Three Point Jumper. Assisted by Julian Harris.,23,27
2:25,251,Andrew Jones missed Three Point Jumper.,23,27
2:25,250,Kevin Hervey Defensive Rebound.,23,27
2:19,250,Erick Neal missed Three Point Jumper.,23,27
2:19,251,Tevin Mack Defensive Rebound.,23,27
2:03,251,James Banks Turnover.,23,27
1:51,251,Foul on Andrew Jones.,23,27
1:51,250,Kevin Hervey made Free Throw.,24,27
1:51,250,Kevin Hervey made Free Throw.,25,27
1:38,251,Tevin Mack missed Jumper.,25,27
1:38,251,Jarrett Allen Offensive Rebound.,25,27
1:17,251,Tevin Mack Turnover.,25,27
1:16,250,Julian Harris Steal.,25,27
1:13,250,Kaelon Wilson made Layup.,27,27
0:43,251,Kerwin Roach Jr. missed Three Point Jumper.,27,27
0:43,250,Nathan Hawkins Defensive Rebound.,27,27
0:15,250,Kevin Hervey made Three Point Jumper. Assisted by DJ Bryant.,30,27
0:12,251,Texas  Timeout,30,27
0:04,251,Eric Davis Jr. missed Three Point Jumper.,30,27
0:04,250,Kaelon Wilson Defensive Rebound.,30,27
0:00,251,End of 1st half,30,27
19:39,250,Drew Charles missed Three Point Jumper.,30,27
19:39,250,Jorge Bilbao Offensive Rebound.,30,27
19:36,250,Jorge Bilbao made Layup.,32,27
19:22,251,Kerwin Roach Jr. made Layup.,32,29
19:05,250,Drew Charles made Three Point Jumper. Assisted by Erick Neal.,35,29
18:43,251,Eric Davis Jr. Turnover.,35,29
18:42,250,Jorge Bilbao Steal.,35,29
18:39,250,Erick Neal missed Layup.,35,29
18:39,251,Kerwin Roach Jr. Block.,35,29
18:38,250,Drew Charles Offensive Rebound.,35,29
18:33,250,Jalen Jones made Three Point Jumper.,38,29
18:32,250,Jalen Jones made Three Point Jumper. Assisted by Erick Neal.,38,29
18:24,251,Eric Davis Jr. missed Three Point Jumper.,38,29
18:24,250,Kevin Hervey Defensive Rebound.,38,29
17:55,250,Jorge Bilbao made Layup. Assisted by Kevin Hervey.,40,29
17:55,251,Texas  Timeout,40,29
17:55,251,Official TV Timeout,40,29
17:30,251,Kerwin Roach Jr. made Jumper.,40,31
17:03,250,Jalen Jones missed Three Point Jumper.,40,31
17:03,251,Jarrett Allen Defensive Rebound.,40,31
16:55,251,Kerwin Roach Jr. Turnover.,40,31
16:53,250,Kevin Hervey Steal.,40,31
16:48,250,Jalen Jones Turnover.,40,31
16:25,251,Jarrett Allen missed Jumper.,40,31
16:25,250,Erick Neal Defensive Rebound.,40,31
16:15,251,Foul on Kendal Yancy.,40,31
15:55,251,Foul on James Banks.,40,31
15:55,251,Official TV Timeout,40,31
15:55,250,Jorge Bilbao made Free Throw.,41,31
15:55,250,Jorge Bilbao made Free Throw.,42,31
15:41,251,James Banks Turnover.,42,31
15:27,250,Kaelon Wilson missed Three Point Jumper.,42,31
15:27,251,Texas Defensive Rebound.,42,31
15:15,251,Jarrett Allen Turnover.,42,31
14:47,250,Jorge Bilbao made Layup.,44,31
14:26,251,Tevin Mack missed Three Point Jumper.,44,31
14:26,250,Erick Neal Defensive Rebound.,44,31
14:08,250,Erick Neal missed Three Point Jumper.,44,31
14:08,251,Andrew Jones Defensive Rebound.,44,31
14:01,250,Foul on Kaelon Wilson.,44,31
14:00,251,Kerwin Roach Jr. made Layup. Assisted by Andrew Jones.,44,33
13:37,251,Foul on Andrew Jones.,44,33
13:23,250,Foul on Nathan Hawkins.,44,33
13:23,250,Nathan Hawkins Turnover.,44,33
13:06,251,Jarrett Allen missed Jumper.,44,33
13:06,251,Texas Deadball Team Rebound.,44,33
13:06,250,Foul on Nathan Hawkins.,44,33
13:00,251,Jarrett Allen made Layup. Assisted by Kerwin Roach Jr..,44,35
12:32,250,Nathan Hawkins Turnover.,44,35
12:20,251,Jacob Young missed Three Point Jumper.,44,35
12:20,250,Kevin Hervey Defensive Rebound.,44,35
12:00,250,Kevin Hervey missed Layup.,44,35
12:00,251,Jacob Young Defensive Rebound.,44,35
11:55,251,Tevin Mack made Layup. Assisted by Jacob Young.,44,37
11:55,250,Foul on Nathan Hawkins.,44,37
11:55,251,Official TV Timeout,44,37
11:55,251,Tevin Mack missed Free Throw.,44,37
11:55,250,Kevin Hervey Defensive Rebound.,44,37
11:36,250,Kevin Hervey missed Three Point Jumper.,44,37
11:36,251,Tevin Mack Defensive Rebound.,44,37
11:14,251,Andrew Jones Turnover.,44,37
10:55,250,Drew Charles made Three Point Jumper. Assisted by Erick Neal.,47,37
10:28,251,Tevin Mack made Layup. Assisted by Shaquille Cleare.,47,39
10:03,250,Kevin Hervey made Jumper.,49,39
10:03,251,Foul on Tevin Mack.,49,39
10:03,250,Kevin Hervey missed Free Throw.,49,39
10:03,251,Jacob Young Defensive Rebound.,49,39
9:42,251,Tevin Mack made Jumper.,49,41
9:25,250,Jalen Jones made Layup.,51,41
9:04,251,Jacob Young missed Three Point Jumper.,51,41
9:04,250,Kevin Hervey Defensive Rebound.,51,41
8:52,250,Erick Neal missed Jumper.,51,41
8:52,250,Julian Harris Offensive Rebound.,51,41
8:46,250,Julian Harris Turnover.,51,41
8:45,251,Tevin Mack Steal.,51,41
8:43,251,Kerwin Roach Jr. Turnover.,51,41
8:42,250,Kevin Hervey Steal.,51,41
8:40,250,Kevin Hervey missed Three Point Jumper.,51,41
8:40,250,UT-Arlington Offensive Rebound.,51,41
8:16,250,Jorge Bilbao Block.,51,41
8:16,251,Kendal Yancy missed Jumper.,51,41
8:15,250,Jorge Bilbao Defensive Rebound.,51,41
7:49,250,Kevin Hervey made Jumper.,53,41
7:36,251,Tevin Mack missed Three Point Jumper.,53,41
7:36,250,UT-Arlington Defensive Rebound.,53,41
7:33,251,Official TV Timeout,53,41
7:10,250,Drew Charles made Three Point Jumper. Assisted by Kevin Hervey.,56,41
6:59,251,Tevin Mack made Layup.,56,43
6:45,250,Drew Charles made Three Point Jumper. Assisted by Kevin Hervey.,59,43
6:29,251,Kendal Yancy made Layup.,59,45
6:21,250,Jorge Bilbao missed Jumper.,59,45
6:21,251,James Banks Block.,59,45
6:21,251,Eric Davis Jr. Defensive Rebound.,59,45
6:19,250,Foul on Jorge Bilbao.,59,45
5:50,251,Eric Davis Jr. missed Three Point Jumper.,59,45
5:50,251,Andrew Jones Offensive Rebound.,59,45
5:46,251,Eric Davis Jr. missed Layup.,59,45
5:46,250,Jorge Bilbao Block.,59,45
5:45,250,Jorge Bilbao Defensive Rebound.,59,45
5:44,251,Foul on Eric Davis Jr..,59,45
5:35,250,Erick Neal Turnover.,59,45
5:35,251,Kerwin Roach Jr. Steal.,59,45
5:31,251,Jarrett Allen missed Jumper.,59,45
5:31,250,UT-Arlington Defensive Rebound.,59,45
5:10,250,Kaelon Wilson made Dunk.,61,45
5:05,251,Kendal Yancy Turnover.,61,45
5:05,250,Erick Neal Steal.,61,45
5:01,250,Erick Neal Turnover.,61,45
4:35,251,Jarrett Allen made Layup. Assisted by Kerwin Roach Jr..,61,47
4:35,250,Foul on Nathan Hawkins.,61,47
4:35,251,Jarrett Allen made Free Throw.,61,48
4:15,250,Erick Neal Turnover.,61,48
4:14,251,Andrew Jones Steal.,61,48
4:10,250,Foul on Jorge Bilbao.,61,48
4:10,251,Jarrett Allen missed Free Throw.,61,48
4:10,250,Kevin Hervey Defensive Rebound.,61,48
3:58,250,Kaelon Wilson made Layup.,63,48
3:44,251,Tevin Mack made Three Point Jumper. Assisted by Jacob Young.,63,51
3:16,250,Erick Neal Turnover.,63,51
3:16,251,Kerwin Roach Jr. Steal.,63,51
3:16,251,Official TV Timeout,63,51
2:58,251,Kerwin Roach Jr. made Layup.,63,53
2:27,250,Kevin Hervey made Jumper.,65,53
2:07,251,Jarrett Allen missed Jumper.,65,53
2:07,250,Jorge Bilbao Defensive Rebound.,65,53
2:04,251,Foul on Tevin Mack.,65,53
1:36,250,Kevin Hervey Turnover.,65,53
1:35,251,Andrew Jones Steal.,65,53
1:33,250,Foul on Kaelon Wilson.,65,53
1:33,251,Andrew Jones made Free Throw.,65,54
1:33,251,Andrew Jones made Free Throw.,65,55
1:25,250,Kevin Hervey Turnover.,65,55
1:23,251,Kerwin Roach Jr. Steal.,65,55
1:22,251,Kerwin Roach Jr. Turnover.,65,55
1:21,250,Kaelon Wilson Steal.,65,55
1:20,250,Kaelon Wilson made Dunk.,67,55
1:14,251,Kerwin Roach Jr. Turnover.,67,55
1:00,251,Foul on Andrew Jones.,67,55
1:00,250,Erick Neal made Free Throw.,68,55
1:00,250,Erick Neal missed Free Throw.,68,55
1:00,251,Tevin Mack Defensive Rebound.,68,55
0:49,251,Andrew Jones missed Three Point Jumper.,68,55
0:49,251,Tevin Mack Offensive Rebound.,68,55
0:46,251,Tevin Mack made Two Point Tip Shot.,68,57
0:44,251,Foul on Jacob Young.,68,57
0:44,250,Erick Neal made Free Throw.,69,57
0:44,250,Erick Neal made Free Throw.,70,57
0:35,250,Nathan Hawkins missed Three Point Jumper.,70,57
0:35,250,UT-Arlington Offensive Rebound.,70,57
0:19,251,Kerwin Roach Jr. made Jumper.,70,59
0:12,250,Nick Pallas made Layup. Assisted by Faith Pope.,72,59
0:09,250,Foul on Scott Muirhead.,72,59
0:09,251,Tevin Mack made Free Throw.,72,60
0:09,251,Tevin Mack made Free Throw.,72,61
0:01,250,Scott Muirhead missed Layup.,72,61
0:01,251,Jarrett Allen Block.,72,61
0:01,250,UT-Arlington Offensive Rebound.,72,61
0:00,251,End of Game,72,59
