Long Beach State,2305,Kansas,299
13:13,2305,Sviatoslav Mykhailiuk missed Jumper.,10,14
13:13,2305,Josh Jackson Offensive Rebound.,10,14
13:11,299,Foul on Gabe Levin.,10,14
12:48,2305,Josh Jackson Turnover.,10,14
12:48,299,Justin Bibbins Steal.,10,14
12:34,299,Jordan Griffin missed Jumper.,10,14
12:34,2305,Devonte' Graham Defensive Rebound.,10,14
12:16,299,Foul on Gabe Levin.,10,14
12:16,2305,Udoka Azubuike missed Free Throw.,10,14
12:16,2305,Kansas Deadball Team Rebound.,10,14
12:16,2305,Udoka Azubuike missed Free Throw.,10,14
12:16,299,LaRond Williams Defensive Rebound.,10,14
11:45,299,Justin Bibbins made Three Point Jumper.,13,14
11:27,2305,Josh Jackson made Jumper.,13,16
11:06,299,LaRond Williams missed Jumper.,13,16
11:06,2305,Udoka Azubuike Defensive Rebound.,13,16
10:55,2305,Sviatoslav Mykhailiuk made Layup. Assisted by Josh Jackson.,13,18
10:30,2305,Official TV Timeout,13,18
10:16,299,Jordan Griffin missed Jumper.,13,18
10:16,2305,Dwight Coleby Defensive Rebound.,13,18
10:07,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,13,18
10:07,2305,Lagerald Vick Offensive Rebound.,13,18
10:01,2305,Devonte' Graham made Three Point Jumper. Assisted by Frank Mason III.,13,21
9:43,299,Temidayo Yussuf missed Jumper.,13,21
9:43,299,LaRond Williams Offensive Rebound.,13,21
9:14,299,Temidayo Yussuf missed Layup.,13,21
9:14,2305,Dwight Coleby Block.,13,21
9:14,2305,Dwight Coleby Defensive Rebound.,13,21
9:04,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Frank Mason III.,13,24
9:03,299,Long Beach St  Timeout,13,24
8:46,299,Noah Blackwell Turnover.,13,24
8:34,2305,Josh Jackson made Three Point Jumper.,13,27
8:17,299,Temidayo Yussuf made Jumper.,15,27
8:11,299,Foul on LaRond Williams.,15,27
8:11,2305,Josh Jackson made Free Throw.,15,28
8:11,2305,Josh Jackson made Free Throw.,15,29
7:50,299,Gabe Levin missed Jumper.,15,29
7:50,299,Javonntie Jackson Offensive Rebound.,15,29
7:48,2305,Foul on Josh Jackson.,15,29
7:48,2305,Official TV Timeout,15,29
7:48,299,Javonntie Jackson made Free Throw.,16,29
7:48,299,Javonntie Jackson missed Free Throw.,16,29
7:46,2305,Udoka Azubuike Defensive Rebound.,16,29
7:26,2305,Foul on Frank Mason III.,16,29
7:26,2305,Frank Mason III Turnover.,16,29
7:02,299,Justin Bibbins made Three Point Jumper. Assisted by Javonntie Jackson.,19,29
6:43,2305,Frank Mason III missed Three Point Jumper.,19,29
6:43,2305,Devonte' Graham Offensive Rebound.,19,29
6:36,2305,Lagerald Vick made Three Point Jumper. Assisted by Devonte' Graham.,19,32
6:10,299,Justin Bibbins missed Three Point Jumper.,19,32
6:10,2305,Josh Jackson Defensive Rebound.,19,32
5:54,2305,Frank Mason III Turnover.,19,32
5:49,299,Justin Bibbins Turnover.,19,32
5:49,2305,Lagerald Vick Steal.,19,32
5:45,2305,Lagerald Vick made Layup.,19,34
5:18,299,Jordan Griffin missed Three Point Jumper.,19,34
5:18,2305,Frank Mason III Defensive Rebound.,19,34
5:11,2305,Devonte' Graham made Three Point Jumper. Assisted by Josh Jackson.,19,37
5:09,299,Long Beach St  Timeout,19,37
4:46,299,Gabe Levin made Layup. Assisted by Justin Bibbins.,21,37
4:30,299,Foul on Javonntie Jackson.,21,37
4:30,2305,Udoka Azubuike missed Free Throw.,21,37
4:30,2305,Kansas Deadball Team Rebound.,21,37
4:30,2305,Udoka Azubuike made Free Throw.,21,38
4:03,299,Gabe Levin missed Three Point Jumper.,21,38
4:03,2305,Kansas Defensive Rebound.,21,38
3:54,299,Foul on Loren Jackson.,21,38
3:54,2305,Official TV Timeout,21,38
3:47,2305,Sviatoslav Mykhailiuk Turnover.,21,38
3:35,299,Temidayo Yussuf missed Jumper.,21,38
3:35,2305,Udoka Azubuike Defensive Rebound.,21,38
3:20,2305,Josh Jackson missed Three Point Jumper.,21,38
3:20,299,Justin Bibbins Defensive Rebound.,21,38
3:12,2305,Foul on Lagerald Vick.,21,38
3:12,299,Javonntie Jackson made Free Throw.,22,38
3:12,299,Javonntie Jackson made Free Throw.,23,38
2:56,2305,Frank Mason III made Three Point Jumper. Assisted by Sviatoslav Mykhailiuk.,23,41
2:32,299,Javonntie Jackson missed Jumper.,23,41
2:32,2305,Udoka Azubuike Defensive Rebound.,23,41
2:15,2305,Lagerald Vick made Three Point Jumper. Assisted by Frank Mason III.,23,44
1:59,299,Temidayo Yussuf Turnover.,23,44
1:59,2305,Devonte' Graham Steal.,23,44
1:55,2305,Devonte' Graham made Layup.,23,46
1:38,299,Justin Bibbins missed Three Point Jumper.,23,46
1:38,2305,Frank Mason III Defensive Rebound.,23,46
1:26,2305,Foul on Udoka Azubuike.,23,46
1:26,2305,Udoka Azubuike Turnover.,23,46
1:14,2305,Foul on Mitch Lightfoot.,23,46
1:14,299,Temidayo Yussuf made Free Throw.,24,46
1:14,299,Temidayo Yussuf made Free Throw.,25,46
0:50,299,Foul on Temidayo Yussuf.,25,46
0:50,2305,Josh Jackson missed Free Throw.,25,46
0:50,2305,Kansas Deadball Team Rebound.,25,46
0:50,2305,Josh Jackson missed Free Throw.,25,46
0:50,299,Justin Bibbins Defensive Rebound.,25,46
0:33,299,Jordan Griffin missed Jumper.,25,46
0:33,2305,Mitch Lightfoot Defensive Rebound.,25,46
0:05,2305,Devonte' Graham made Layup.,25,48
0:00,2305,End of 1st half,25,48
20:00,299,Jump Ball won by Long Beach St,25,48
19:50,299,Gabe Levin missed Jumper.,25,48
19:50,299,Javonntie Jackson Offensive Rebound.,25,48
19:42,299,Gabe Levin missed Jumper.,25,48
19:42,299,Gabe Levin Offensive Rebound.,25,48
19:37,299,Gabe Levin missed Layup.,25,48
19:37,2305,Josh Jackson Defensive Rebound.,25,48
19:32,2305,Lagerald Vick made Layup. Assisted by Frank Mason III.,25,50
19:15,299,Temidayo Yussuf missed Layup.,25,50
19:15,299,Long Beach St Offensive Rebound.,25,50
19:05,299,Temidayo Yussuf Turnover.,25,50
19:05,2305,Josh Jackson Steal.,25,50
19:00,299,Foul on Noah Blackwell.,25,50
19:00,2305,Josh Jackson made Free Throw.,25,51
19:00,2305,Josh Jackson made Free Throw.,25,52
18:50,299,Temidayo Yussuf Turnover.,25,52
18:50,2305,Josh Jackson Steal.,25,52
18:45,2305,Foul on Josh Jackson.,25,52
18:45,2305,Josh Jackson Turnover.,25,52
18:32,299,Justin Bibbins made Three Point Jumper.,28,52
18:09,2305,Devonte' Graham Turnover.,28,52
18:09,299,Mason Riggins Steal.,28,52
17:49,299,Mason Riggins missed Jumper.,28,52
17:49,299,Gabe Levin Offensive Rebound.,28,52
17:49,299,Gabe Levin made Two Point Tip Shot.,30,52
17:37,299,Foul on Gabe Levin.,30,52
17:37,2305,Udoka Azubuike missed Free Throw.,30,52
17:37,2305,Kansas Deadball Team Rebound.,30,52
17:37,2305,Udoka Azubuike made Free Throw.,30,53
17:13,299,Justin Bibbins Turnover.,30,53
17:13,2305,Devonte' Graham Steal.,30,53
17:08,2305,Lagerald Vick Turnover.,30,53
17:02,299,Mason Riggins made Layup. Assisted by Justin Bibbins.,32,53
16:41,2305,Carlton Bragg Jr. missed Layup.,32,53
16:41,299,Noah Blackwell Defensive Rebound.,32,53
16:31,299,Javonntie Jackson Turnover.,32,53
16:17,2305,Sviatoslav Mykhailiuk made Three Point Jumper.,32,56
16:04,2305,Foul on Devonte' Graham.,32,56
16:03,299,Justin Bibbins made Jumper. Assisted by Javonntie Jackson.,34,56
15:48,2305,Dwight Coleby made Dunk. Assisted by Frank Mason III.,34,58
15:36,299,Noah Blackwell made Three Point Jumper. Assisted by Justin Bibbins.,37,58
15:23,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Frank Mason III.,37,61
15:10,299,Justin Bibbins made Layup.,39,61
15:04,2305,Kansas  Timeout,39,61
14:47,299,Foul on Javonntie Jackson.,39,61
14:47,2305,Official TV Timeout,39,61
14:39,2305,Lagerald Vick made Three Point Jumper. Assisted by Devonte' Graham.,39,64
14:22,299,Gabe Levin missed Layup.,39,64
14:22,2305,Lagerald Vick Block.,39,64
14:22,2305,Sviatoslav Mykhailiuk Defensive Rebound.,39,64
14:16,2305,Lagerald Vick made Layup. Assisted by Josh Jackson.,39,66
13:53,299,Javonntie Jackson missed Jumper.,39,66
13:53,2305,Dwight Coleby Defensive Rebound.,39,66
13:45,2305,Lagerald Vick Turnover.,39,66
13:45,299,Javonntie Jackson Steal.,39,66
13:41,299,Noah Blackwell missed Three Point Jumper.,39,66
13:41,2305,Dwight Coleby Defensive Rebound.,39,66
13:34,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Devonte' Graham.,39,69
13:24,299,Long Beach St  Timeout,39,69
13:03,299,Barry Ogalue missed Layup.,39,69
13:03,2305,Carlton Bragg Jr. Defensive Rebound.,39,69
12:41,2305,Devonte' Graham made Jumper.,39,71
12:28,299,Barry Ogalue made Layup. Assisted by Loren Jackson.,41,71
12:20,2305,Devonte' Graham Turnover.,41,71
12:20,299,Roschon Prince Steal.,41,71
12:03,2305,Foul on Devonte' Graham.,41,71
11:56,299,Roschon Prince missed Layup.,41,71
11:56,299,Mason Riggins Offensive Rebound.,41,71
11:53,299,Mason Riggins missed Layup.,41,71
11:53,2305,Carlton Bragg Jr. Defensive Rebound.,41,71
11:49,2305,Official TV Timeout,41,71
11:40,2305,Udoka Azubuike missed Jumper.,41,71
11:40,299,Mason Riggins Defensive Rebound.,41,71
11:28,2305,Foul on Udoka Azubuike.,41,71
11:28,299,Mason Riggins missed Free Throw.,41,71
11:28,299,Long Beach St Deadball Team Rebound.,41,71
11:28,299,Mason Riggins missed Free Throw.,41,71
11:28,2305,Carlton Bragg Jr. Defensive Rebound.,41,71
11:17,2305,Carlton Bragg Jr. missed Jumper.,41,71
11:17,2305,Udoka Azubuike Offensive Rebound.,41,71
11:08,299,Foul on Mason Riggins.,41,71
10:57,2305,Udoka Azubuike made Jumper.,41,73
10:46,2305,Foul on Josh Jackson.,41,73
10:46,299,Mason Riggins missed Free Throw.,41,73
10:46,299,Long Beach St Deadball Team Rebound.,41,73
10:46,299,Mason Riggins missed Free Throw.,41,73
10:46,2305,Kansas Deadball Team Rebound.,41,73
10:27,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,41,73
10:27,2305,Josh Jackson Offensive Rebound.,41,73
10:22,2305,Frank Mason III missed Three Point Jumper.,41,73
10:22,2305,Carlton Bragg Jr. Offensive Rebound.,41,73
10:18,299,Foul on Loren Jackson.,41,73
10:07,2305,Josh Jackson missed Three Point Jumper.,41,73
10:07,2305,Carlton Bragg Jr. Offensive Rebound.,41,73
10:03,2305,Carlton Bragg Jr. made Layup.,41,75
9:50,299,Loren Jackson Turnover.,41,75
9:50,2305,Josh Jackson Steal.,41,75
9:50,2305,Jump Ball won by Kansas,41,75
9:40,2305,Carlton Bragg Jr. missed Three Point Jumper.,41,75
9:40,299,Jordan Griffin Defensive Rebound.,41,75
9:35,2305,Foul on Josh Jackson.,41,75
9:21,2305,Foul on Lagerald Vick.,41,75
9:21,299,Temidayo Yussuf made Free Throw.,42,75
9:21,299,Temidayo Yussuf made Free Throw.,43,75
9:10,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,43,75
9:10,299,Loren Jackson Defensive Rebound.,43,75
9:04,299,Loren Jackson Turnover.,43,75
9:04,2305,Sviatoslav Mykhailiuk Steal.,43,75
8:57,2305,Udoka Azubuike made Dunk. Assisted by Carlton Bragg Jr..,43,77
8:39,299,Barry Ogalue missed Jumper.,43,77
8:39,2305,Sviatoslav Mykhailiuk Defensive Rebound.,43,77
8:34,299,Foul on Jordan Griffin.,43,77
8:34,2305,Frank Mason III made Free Throw.,43,78
8:34,2305,Frank Mason III missed Free Throw.,43,78
8:34,2305,Udoka Azubuike Offensive Rebound.,43,78
8:25,2305,Udoka Azubuike missed Jumper.,43,78
8:25,2305,Carlton Bragg Jr. Offensive Rebound.,43,78
8:23,2305,Carlton Bragg Jr. made Dunk.,43,80
8:04,299,Gabe Levin missed Layup.,43,80
8:04,299,LaRond Williams Offensive Rebound.,43,80
8:02,299,LaRond Williams made Dunk.,45,80
7:45,2305,Carlton Bragg Jr. made Jumper. Assisted by Frank Mason III.,45,82
7:31,299,Noah Blackwell missed Jumper.,45,82
7:31,299,Gabe Levin Offensive Rebound.,45,82
7:28,299,Noah Blackwell made Jumper. Assisted by Gabe Levin.,47,82
7:05,2305,Frank Mason III missed Jumper.,47,82
7:05,299,Noah Blackwell Defensive Rebound.,47,82
7:01,299,Gabe Levin made Jumper. Assisted by Noah Blackwell.,49,82
6:42,2305,Udoka Azubuike made Dunk. Assisted by Lagerald Vick.,49,84
6:24,299,Gabe Levin Turnover.,49,84
6:24,2305,Official TV Timeout,49,84
5:59,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,49,84
5:59,299,Javonntie Jackson Defensive Rebound.,49,84
5:50,299,Justin Bibbins Turnover.,49,84
5:50,2305,Lagerald Vick Steal.,49,84
5:47,299,Foul on Justin Bibbins.,49,84
5:47,2305,Lagerald Vick made Free Throw.,49,85
5:47,2305,Lagerald Vick missed Free Throw.,49,85
5:47,299,Gabe Levin Defensive Rebound.,49,85
5:30,299,Gabe Levin made Layup. Assisted by Noah Blackwell.,51,85
5:14,2305,Carlton Bragg Jr. missed Jumper.,51,85
5:14,299,Justin Bibbins Defensive Rebound.,51,85
4:58,299,LaRond Williams Turnover.,51,85
4:58,2305,Mitch Lightfoot Steal.,51,85
4:53,299,Foul on LaRond Williams.,51,85
4:53,2305,Josh Jackson missed Free Throw.,51,85
4:53,2305,Kansas Deadball Team Rebound.,51,85
4:53,2305,Josh Jackson made Free Throw.,51,86
4:35,299,Justin Bibbins Turnover.,51,86
4:35,2305,Sviatoslav Mykhailiuk Steal.,51,86
4:31,2305,Foul on Carlton Bragg Jr..,51,86
4:31,2305,Carlton Bragg Jr. Turnover.,51,86
4:29,299,Justin Bibbins missed Jumper.,51,86
4:29,2305,Mitch Lightfoot Defensive Rebound.,51,86
4:27,299,Foul on LaRond Williams.,51,86
4:27,2305,Mitch Lightfoot missed Free Throw.,51,86
4:27,299,LaRond Williams Defensive Rebound.,51,86
4:21,299,Javonntie Jackson made Jumper.,53,86
3:59,2305,Official TV Timeout,53,86
3:50,2305,Josh Jackson missed Three Point Jumper.,53,86
3:50,2305,Mitch Lightfoot Offensive Rebound.,53,86
3:42,2305,Foul on Mitch Lightfoot.,53,86
3:42,2305,Mitch Lightfoot Turnover.,53,86
3:11,299,Barry Ogalue made Jumper. Assisted by Anson Moye.,55,86
2:52,2305,Josh Jackson Turnover.,55,86
2:52,299,LaRond Williams Steal.,55,86
2:47,2305,Foul on Mitch Lightfoot.,55,86
2:47,299,Barry Ogalue missed Free Throw.,55,86
2:47,299,Long Beach St Deadball Team Rebound.,55,86
2:47,299,Barry Ogalue made Free Throw.,56,86
2:36,2305,Josh Jackson Turnover.,56,86
2:36,299,Barry Ogalue Steal.,56,86
2:34,299,Barry Ogalue made Dunk.,58,86
2:11,2305,Mitch Lightfoot made Dunk. Assisted by Dwight Coleby.,58,88
1:53,299,Barry Ogalue made Layup.,60,88
1:44,2305,Tyler Self Turnover.,60,88
1:44,299,Roschon Prince Steal.,60,88
1:35,299,Barry Ogalue missed Layup.,60,88
1:35,2305,Dwight Coleby Defensive Rebound.,60,88
1:22,2305,Tucker Vang missed Jumper.,60,88
1:22,299,Mason Riggins Defensive Rebound.,60,88
1:13,299,Barry Ogalue missed Jumper.,60,88
1:13,2305,Clay Young Defensive Rebound.,60,88
1:04,2305,Tyler Self made Three Point Jumper. Assisted by Clay Young.,60,91
0:51,2305,Foul on Mitch Lightfoot.,60,91
0:51,299,Loren Jackson missed Free Throw.,60,91
0:51,299,Long Beach St Deadball Team Rebound.,60,91
0:51,299,Loren Jackson made Free Throw.,61,91
0:37,2305,Tyler Self Turnover.,61,91
0:25,299,Barry Ogalue missed Three Point Jumper.,61,91
0:25,2305,Tyler Self Defensive Rebound.,61,91
0:04,2305,Tyler Self Turnover.,61,91
0:04,299,Loren Jackson Steal.,61,91
0:00,2305,End of Game,61,91
