Chattanooga,324,Coastal Carolina,236
14:47,236,Foul on Casey Jones.,15,7
14:29,324,Colton Ray-St Cyr missed Three Point Jumper.,15,7
14:29,236,Greg Pryor Block.,15,7
14:27,236,Casey Jones Defensive Rebound.,15,7
14:27,324,Foul on Amidou Bamba.,15,7
14:08,236,Justin Tuoyo missed Layup.,15,7
14:08,324,Coastal Carolina Defensive Rebound.,15,7
13:56,324,Joseph Williams-Powell made Layup. Assisted by Colton Ray-St Cyr.,15,9
13:35,236,Tre' McLean missed Layup.,15,9
13:35,324,Colton Ray-St Cyr Block.,15,9
13:31,324,Joseph Williams-Powell Defensive Rebound.,15,9
13:28,324,Joseph Williams-Powell Turnover.,15,9
13:26,236,Tre' McLean Steal.,15,9
13:25,236,Tre' McLean made Layup.,17,9
13:05,324,Colton Ray-St Cyr Turnover.,17,9
12:47,236,Tre' McLean made Layup. Assisted by Casey Jones.,19,9
12:27,324,Demario Beck missed Layup.,19,9
12:27,324,Demario Beck Offensive Rebound.,19,9
12:25,324,Demario Beck made Layup.,19,11
12:16,236,Greg Pryor missed Three Point Jumper.,19,11
12:16,236,Chattanooga Offensive Rebound.,19,11
12:05,236,Makinde London Turnover.,19,11
11:37,324,Artur Labinowicz Turnover.,19,11
11:36,324,Official TV Timeout,19,11
11:25,236,Tre' McLean missed Three Point Jumper.,19,11
11:25,236,Casey Jones Offensive Rebound.,19,11
11:10,236,Makinde London made Three Point Jumper. Assisted by Johnathan Burroughs-Cook.,22,11
10:56,324,Joseph Williams-Powell Turnover.,22,11
10:53,236,Rodney Chatman Steal.,22,11
10:52,236,Rodney Chatman made Layup.,24,11
10:52,324,Coastal Carolina  Timeout,24,11
10:20,324,Elijah Wilson missed Three Point Jumper.,24,11
10:20,236,Tre' McLean Defensive Rebound.,24,11
10:05,236,Johnathan Burroughs-Cook missed Three Point Jumper.,24,11
10:05,324,Artur Labinowicz Defensive Rebound.,24,11
10:05,236,Foul on Nat Dixon.,24,11
9:49,236,Foul on Rodney Chatman.,24,11
9:46,324,Artur Labinowicz Turnover.,24,11
9:45,236,Tre' McLean Steal.,24,11
9:20,236,Rodney Chatman made Three Point Jumper. Assisted by Tre' McLean.,27,11
8:49,324,Artur Labinowicz missed Three Point Jumper.,27,11
8:49,236,Justin Tuoyo Defensive Rebound.,27,11
8:31,324,Foul on Demario Beck.,27,11
8:31,236,Johnathan Burroughs-Cook missed Free Throw.,27,11
8:31,236,Chattanooga Deadball Team Rebound.,27,11
8:31,236,Johnathan Burroughs-Cook missed Free Throw.,27,11
8:31,324,Amidou Bamba Defensive Rebound.,27,11
8:22,324,Jaylen Shaw missed Jumper.,27,11
8:22,236,Nat Dixon Block.,27,11
8:22,324,Coastal Carolina Offensive Rebound.,27,11
8:09,236,Foul on Nat Dixon.,27,11
8:09,324,Colton Ray-St Cyr missed Free Throw.,27,11
8:09,324,Coastal Carolina Deadball Team Rebound.,27,11
8:09,324,Colton Ray-St Cyr made Free Throw.,27,12
7:45,236,Greg Pryor Turnover.,27,12
7:44,324,Colton Ray-St Cyr Steal.,27,12
7:40,324,Jaylen Shaw made Layup. Assisted by Colton Ray-St Cyr.,27,14
7:28,236,Tre' McLean Turnover.,27,14
7:27,324,Jaylen Shaw Steal.,27,14
7:23,324,Jaylen Shaw missed Layup.,27,14
7:23,324,Artur Labinowicz Offensive Rebound.,27,14
7:20,324,Artur Labinowicz made Dunk.,27,16
7:18,324,Official TV Timeout,27,16
6:52,236,Tre' McLean made Three Point Jumper. Assisted by Greg Pryor.,30,16
6:20,324,Colton Ray-St Cyr Turnover.,30,16
6:04,236,Tre' McLean missed Jumper.,30,16
6:04,324,Demario Beck Defensive Rebound.,30,16
6:04,236,Foul on Justin Tuoyo.,30,16
5:46,324,Elijah Wilson missed Jumper.,30,16
5:46,236,Justin Tuoyo Defensive Rebound.,30,16
5:30,236,Justin Tuoyo made Dunk.,32,16
5:06,324,Demario Beck missed Three Point Jumper.,32,16
5:06,236,Makinde London Defensive Rebound.,32,16
4:48,236,Justin Tuoyo missed Three Point Jumper.,32,16
4:48,324,Colton Ray-St Cyr Defensive Rebound.,32,16
4:40,324,Amidou Bamba made Layup. Assisted by Demario Beck.,32,18
4:31,324,Foul on Demario Beck.,32,18
4:31,236,Tre' McLean missed Free Throw.,32,18
4:31,236,Chattanooga Deadball Team Rebound.,32,18
4:31,236,Tre' McLean made Free Throw.,33,18
4:09,324,Jaylen Shaw made Three Point Jumper. Assisted by Elijah Wilson.,33,21
3:55,236,Tre' McLean made Three Point Jumper. Assisted by Rodney Chatman.,36,21
3:34,324,Josh Coleman Turnover.,36,21
3:34,324,Official TV Timeout,36,21
3:10,236,Justin Tuoyo missed Layup.,36,21
3:10,324,Demario Beck Block.,36,21
3:09,324,Demario Beck Defensive Rebound.,36,21
2:45,324,Joseph Williams-Powell missed Three Point Jumper.,36,21
2:45,236,Tre' McLean Defensive Rebound.,36,21
2:29,236,Casey Jones missed Jumper.,36,21
2:29,236,Justin Tuoyo Offensive Rebound.,36,21
2:28,324,Foul on Demario Beck.,36,21
1:57,236,Greg Pryor missed Three Point Jumper.,36,21
1:57,324,Colton Ray-St Cyr Defensive Rebound.,36,21
1:54,324,Foul on Elijah Wilson.,36,21
1:54,324,Elijah Wilson Turnover.,36,21
1:34,236,Justin Tuoyo made Layup. Assisted by Tre' McLean.,38,21
1:20,324,Jaylen Shaw made Jumper.,38,23
1:02,236,Tre' McLean made Three Point Jumper. Assisted by Rodney Chatman.,41,23
0:35,324,Elijah Wilson missed Jumper.,41,23
0:35,324,Coastal Carolina Offensive Rebound.,41,23
0:31,236,Foul on Casey Jones.,41,23
0:12,324,Jaylen Shaw missed Three Point Jumper.,41,23
0:12,236,Makinde London Defensive Rebound.,41,23
0:12,236,Chattanooga  Timeout,41,23
0:01,236,Greg Pryor missed Three Point Jumper.,41,23
0:01,324,Joseph Williams-Powell Defensive Rebound.,41,23
0:00,324,End of 1st half,41,23
19:42,324,Demario Beck missed Jumper.,41,23
19:42,236,Tre' McLean Defensive Rebound.,41,23
19:25,236,Makinde London made Layup. Assisted by Justin Tuoyo.,43,23
19:06,324,Amidou Bamba missed Layup.,43,23
19:06,236,Justin Tuoyo Defensive Rebound.,43,23
19:01,236,Justin Tuoyo Turnover.,43,23
19:00,324,Elijah Wilson Steal.,43,23
18:58,324,Elijah Wilson missed Three Point Jumper.,43,23
18:58,236,Greg Pryor Defensive Rebound.,43,23
18:51,236,Makinde London missed Jumper.,43,23
18:51,236,Justin Tuoyo Offensive Rebound.,43,23
18:43,324,Foul on Jaylen Shaw.,43,23
18:28,324,Foul on Amidou Bamba.,43,23
18:28,236,Foul on Justin Tuoyo.,43,23
18:23,236,Greg Pryor missed Three Point Jumper.,43,23
18:23,236,Greg Pryor Offensive Rebound.,43,23
17:58,236,Greg Pryor Turnover.,43,23
17:57,324,Demario Beck Steal.,43,23
17:46,236,Foul on Greg Pryor.,43,23
17:30,324,Elijah Wilson made Jumper.,43,25
17:17,236,Justin Tuoyo made Dunk. Assisted by Tre' McLean.,45,25
16:49,324,Elijah Wilson missed Three Point Jumper.,45,25
16:49,236,Tre' McLean Defensive Rebound.,45,25
16:39,236,Johnathan Burroughs-Cook made Layup. Assisted by Justin Tuoyo.,47,25
16:19,324,Demario Beck missed Layup.,47,25
16:19,236,Justin Tuoyo Block.,47,25
16:17,324,Coastal Carolina Offensive Rebound.,47,25
16:08,324,Jaylen Shaw made Layup.,47,27
15:52,236,Makinde London missed Three Point Jumper.,47,27
15:52,236,Tre' McLean Offensive Rebound.,47,27
15:47,236,Tre' McLean made Layup.,49,27
15:29,324,Amidou Bamba missed Layup.,49,27
15:29,236,Justin Tuoyo Block.,49,27
15:26,236,Justin Tuoyo Defensive Rebound.,49,27
15:21,324,Foul on Colton Ray-St Cyr.,49,27
15:21,324,Official TV Timeout,49,27
15:18,236,Tre' McLean Turnover.,49,27
15:18,324,Jaylan Robertson Steal.,49,27
15:15,324,Colton Ray-St Cyr made Dunk. Assisted by Jaylan Robertson.,49,29
14:48,236,Casey Jones made Three Point Jumper. Assisted by Rodney Chatman.,52,29
14:32,324,Jaylan Robertson Turnover.,52,29
14:32,236,Rodney Chatman Steal.,52,29
14:24,236,Nat Dixon made Layup.,54,29
14:17,236,Foul on Justin Tuoyo.,54,29
14:17,324,Elijah Wilson made Free Throw.,54,30
14:17,324,Elijah Wilson made Free Throw.,54,31
13:56,236,Johnathan Burroughs-Cook missed Jumper.,54,31
13:56,324,Amidou Bamba Defensive Rebound.,54,31
13:46,324,Jaylan Robertson Turnover.,54,31
13:30,236,Makinde London missed Three Point Jumper.,54,31
13:30,324,Artur Labinowicz Defensive Rebound.,54,31
13:28,236,Foul on Nat Dixon.,54,31
13:01,324,Jaylen Shaw missed Jumper.,54,31
13:01,236,Makinde London Defensive Rebound.,54,31
12:48,236,Johnathan Burroughs-Cook Turnover.,54,31
12:24,324,Elijah Wilson missed Layup.,54,31
12:24,236,Rodney Chatman Defensive Rebound.,54,31
12:10,236,Rodney Chatman missed Layup.,54,31
12:10,324,Joseph Williams-Powell Defensive Rebound.,54,31
12:07,324,Joseph Williams-Powell Turnover.,54,31
12:05,236,Rodney Chatman Steal.,54,31
11:52,236,Foul on Nat Dixon.,54,31
11:52,236,Nat Dixon Turnover.,54,31
11:52,324,Official TV Timeout,54,31
11:27,324,Elijah Wilson made Jumper.,54,33
11:12,236,Tre' McLean made Jumper.,56,33
10:51,324,Joseph Williams-Powell missed Jumper.,56,33
10:51,236,Chattanooga Defensive Rebound.,56,33
10:38,236,Makinde London missed Layup.,56,33
10:38,324,Artur Labinowicz Defensive Rebound.,56,33
10:15,236,Foul on Makinde London.,56,33
10:15,324,Amidou Bamba made Free Throw.,56,34
10:15,324,Amidou Bamba missed Free Throw.,56,34
10:15,236,Justin Tuoyo Defensive Rebound.,56,34
10:02,236,Makinde London missed Jumper.,56,34
10:02,324,Demario Beck Defensive Rebound.,56,34
9:42,324,Amidou Bamba Turnover.,56,34
9:41,236,Casey Jones Steal.,56,34
9:36,236,Tre' McLean missed Three Point Jumper.,56,34
9:36,324,Demario Beck Defensive Rebound.,56,34
9:19,324,Amidou Bamba missed Jumper.,56,34
9:19,324,Demario Beck Offensive Rebound.,56,34
9:15,324,Demario Beck made Layup.,56,36
9:02,236,Greg Pryor missed Three Point Jumper.,56,36
9:02,324,Demario Beck Defensive Rebound.,56,36
8:49,324,Amidou Bamba missed Layup.,56,36
8:49,236,Justin Tuoyo Defensive Rebound.,56,36
8:46,236,Chattanooga  Timeout,56,36
8:46,324,Official TV Timeout,56,36
8:24,236,Johnathan Burroughs-Cook missed Three Point Jumper.,56,36
8:24,236,Tre' McLean Offensive Rebound.,56,36
8:24,236,Tre' McLean made Layup.,58,36
8:24,324,Foul on Demario Beck.,58,36
8:24,236,Tre' McLean made Free Throw.,59,36
8:07,324,Elijah Wilson made Layup.,59,38
7:50,236,Tre' McLean missed Three Point Jumper.,59,38
7:50,324,Elijah Wilson Defensive Rebound.,59,38
7:30,236,Foul on Justin Tuoyo.,59,38
7:28,324,Official TV Timeout,59,38
7:28,324,Michel Enanga missed Free Throw.,59,38
7:28,236,Makinde London Defensive Rebound.,59,38
7:07,236,Rodney Chatman missed Jumper.,59,38
7:07,236,Johnathan Burroughs-Cook Offensive Rebound.,59,38
6:58,236,Johnathan Burroughs-Cook missed Three Point Jumper.,59,38
6:58,236,Tre' McLean Offensive Rebound.,59,38
6:42,236,Rodney Chatman made Layup.,61,38
6:26,324,Elijah Wilson missed Layup.,61,38
6:26,324,Michel Enanga Offensive Rebound.,61,38
6:22,324,Artur Labinowicz missed Three Point Jumper.,61,38
6:22,324,Elijah Wilson Offensive Rebound.,61,38
6:16,236,Foul on Makinde London.,61,38
6:16,324,Michel Enanga missed Free Throw.,61,38
6:16,236,Makinde London Defensive Rebound.,61,38
6:06,236,Rodney Chatman made Jumper.,63,38
5:55,236,Foul on Makinde London.,63,38
5:55,324,Elijah Wilson missed Free Throw.,63,38
5:55,324,Coastal Carolina Deadball Team Rebound.,63,38
5:55,324,Elijah Wilson made Free Throw.,63,39
5:37,236,Greg Pryor missed Three Point Jumper.,63,39
5:37,236,Makinde London Offensive Rebound.,63,39
5:17,236,Foul on Greg Pryor.,63,39
5:17,236,Greg Pryor Turnover.,63,39
5:06,324,Demario Beck made Layup. Assisted by Jaylan Robertson.,63,41
4:49,236,Rodney Chatman Turnover.,63,41
4:49,324,Jaylan Robertson Steal.,63,41
4:41,324,Artur Labinowicz missed Jumper.,63,41
4:41,236,Makinde London Defensive Rebound.,63,41
4:23,236,Foul on Makinde London.,63,41
4:23,236,Makinde London Turnover.,63,41
4:09,236,Foul on Tre' McLean.,63,41
4:09,324,Artur Labinowicz made Free Throw.,63,42
4:09,324,Artur Labinowicz made Free Throw.,63,43
3:49,236,Greg Pryor missed Three Point Jumper.,63,43
3:49,324,Jaylan Robertson Defensive Rebound.,63,43
3:38,324,Jaylan Robertson made Layup.,63,45
3:07,236,Casey Jones missed Jumper.,63,45
3:07,324,Michel Enanga Defensive Rebound.,63,45
2:51,324,Kevin Holmes Jr. missed Three Point Jumper.,63,45
2:51,324,Demario Beck Offensive Rebound.,63,45
2:41,324,Kevin Holmes Jr. missed Jumper.,63,45
2:41,236,Tre' McLean Defensive Rebound.,63,45
2:16,236,Greg Pryor made Jumper.,65,45
2:16,324,Foul on Jaylan Robertson.,65,45
2:16,324,Official TV Timeout,65,45
2:16,236,Greg Pryor made Free Throw.,66,45
2:06,324,Jaylan Robertson missed Jumper.,66,45
2:06,324,Michel Enanga Offensive Rebound.,66,45
1:58,324,Michel Enanga missed Layup.,66,45
1:58,236,Tre' McLean Defensive Rebound.,66,45
1:39,324,Foul on Jaylan Robertson.,66,45
1:23,236,Makale Foreman missed Three Point Jumper.,66,45
1:23,324,Coastal Carolina Defensive Rebound.,66,45
1:14,324,Demario Beck missed Three Point Jumper.,66,45
1:14,324,Kevin Holmes Jr. Offensive Rebound.,66,45
1:04,324,Demario Beck made Dunk. Assisted by Artur Labinowicz.,66,47
0:36,236,Dylan Brewster Turnover.,66,47
0:35,324,Michel Enanga Steal.,66,47
0:30,324,Artur Labinowicz missed Three Point Jumper.,66,47
0:30,324,Demario Beck Offensive Rebound.,66,47
0:23,236,Foul on Trayvond Massenburg.,66,47
0:23,324,Michel Enanga made Free Throw.,66,48
0:23,324,Michel Enanga made Free Throw.,66,49
0:16,324,Foul on Kevin Holmes Jr..,66,49
0:16,236,Peyton Woods made Free Throw.,67,49
0:16,236,Peyton Woods made Free Throw.,68,49
0:05,324,Michel Enanga made Three Point Jumper. Assisted by Artur Labinowicz.,68,52
0:00,324,End of Game,68,52
