UT Rio Grande Valley,357,Texas A&amp;M-CC,292
11:12,357,Foul on Kareem South.,6,13
11:06,292,Dan Kimasa Turnover.,6,13
11:05,357,Rashawn Thomas Steal.,6,13
11:00,357,Jake Kocher made Layup. Assisted by Rashawn Thomas.,6,15
10:52,292,Nick Dixon made Layup.,8,15
10:41,357,Joseph Kilgore Turnover.,8,15
10:41,292,Walter Jones Steal.,8,15
10:26,292,Moe McDonald missed Three Point Jumper.,8,15
10:26,357,Cole Martinez Defensive Rebound.,8,15
9:58,292,Foul on Nick Dixon.,8,15
9:40,357,Ehab Amin missed Three Point Jumper.,8,15
9:40,292,Lesley Varner Jr. Defensive Rebound.,8,15
9:20,292,Antonio Green missed Three Point Jumper.,8,15
9:20,357,Ehab Amin Defensive Rebound.,8,15
9:02,357,Jake Kocher missed Layup.,8,15
9:02,292,Walter Jones Defensive Rebound.,8,15
8:54,292,Antonio Green Turnover.,8,15
8:32,357,Joseph Kilgore missed Jumper.,8,15
8:32,292,Walter Jones Defensive Rebound.,8,15
8:21,292,Walter Jones missed Three Point Jumper.,8,15
8:21,292,Mike Hoffman Offensive Rebound.,8,15
8:19,357,Foul on Rashawn Thomas.,8,15
8:17,292,Antonio Green missed Three Point Jumper.,8,15
8:17,292,Nick Dixon Offensive Rebound.,8,15
8:13,292,Nick Dixon made Layup.,10,15
7:55,357,Ehab Amin missed Layup.,10,15
7:55,292,Nick Dixon Defensive Rebound.,10,15
7:47,292,Lesley Varner Jr. missed Jumper.,10,15
7:47,357,Joseph Kilgore Defensive Rebound.,10,15
7:35,357,Cole Martinez made Layup.,10,17
7:19,292,Antonio Green missed Layup.,10,17
7:19,292,Lesley Varner Jr. Offensive Rebound.,10,17
7:15,292,Lesley Varner Jr. missed Layup.,10,17
7:15,357,Cole Martinez Defensive Rebound.,10,17
7:08,357,Official TV Timeout,10,17
7:08,357,Texas A&M-CC  Timeout,10,17
6:58,292,Foul on Xavier McDaniel Jr..,10,17
6:58,357,Cole Martinez made Free Throw.,10,18
6:58,357,Cole Martinez made Free Throw.,10,19
6:39,357,Foul on Rashawn Thomas.,10,19
6:39,292,Nick Dixon made Free Throw.,11,19
6:39,292,Nick Dixon missed Free Throw.,11,19
6:39,292,Gage Loy Offensive Rebound.,11,19
6:24,292,Mike Hoffman missed Three Point Jumper.,11,19
6:24,357,Rashawn Thomas Defensive Rebound.,11,19
6:18,357,Ehab Amin made Layup. Assisted by Rashawn Thomas.,11,21
6:06,357,Foul on Ehab Amin.,11,21
6:06,292,Lew Stallworth made Free Throw.,12,21
6:06,292,Lew Stallworth made Free Throw.,13,21
5:43,357,Cole Martinez made Three Point Jumper. Assisted by Joseph Kilgore.,13,24
5:12,292,Lesley Varner Jr. missed Three Point Jumper.,13,24
5:12,357,Ehab Amin Defensive Rebound.,13,24
4:59,357,Cole Martinez missed Three Point Jumper.,13,24
4:59,357,Joseph Kilgore Offensive Rebound.,13,24
4:57,292,Foul on Lesley Varner Jr..,13,24
4:57,357,Joseph Kilgore made Free Throw.,13,25
4:57,357,Joseph Kilgore missed Free Throw.,13,25
4:57,292,Gage Loy Defensive Rebound.,13,25
4:40,292,Mike Hoffman missed Three Point Jumper.,13,25
4:40,357,Perry Francois Defensive Rebound.,13,25
4:14,357,Joseph Kilgore Turnover.,13,25
4:13,292,Lew Stallworth Steal.,13,25
4:10,292,Lew Stallworth made Layup.,15,25
3:50,357,Joseph Kilgore made Layup. Assisted by Perry Francois.,15,27
3:42,292,Lew Stallworth missed Layup.,15,27
3:42,357,Perry Francois Block.,15,27
3:42,292,UT Rio Grande Valley Offensive Rebound.,15,27
3:42,357,Official TV Timeout,15,27
3:37,292,Mike Hoffman Turnover.,15,27
3:28,357,Joseph Kilgore made Layup.,15,29
3:08,292,Lew Stallworth missed Three Point Jumper.,15,29
3:08,357,Texas A&M-CC Defensive Rebound.,15,29
2:53,357,Joseph Kilgore Turnover.,15,29
2:46,292,Lew Stallworth made Layup.,17,29
2:28,357,Ehab Amin made Layup.,17,31
2:08,292,Antonio Green made Layup. Assisted by Nick Dixon.,19,31
1:56,292,Foul on Antonio Green.,19,31
1:56,357,Joseph Kilgore missed Free Throw.,19,31
1:56,292,Nick Dixon Defensive Rebound.,19,31
1:37,292,Antonio Green made Layup.,21,31
1:23,357,Joseph Kilgore missed Layup.,21,31
1:23,292,Antonio Green Defensive Rebound.,21,31
1:07,292,Antonio Green Turnover.,21,31
1:07,357,Joseph Kilgore Steal.,21,31
1:07,292,Foul on Antonio Green.,21,31
1:07,357,Joseph Kilgore missed Free Throw.,21,31
1:07,292,Nick Dixon Defensive Rebound.,21,31
0:49,292,Nick Dixon missed Three Point Jumper.,21,31
0:49,292,Mike Nwabuzor Offensive Rebound.,21,31
0:46,292,Mike Nwabuzor missed Layup.,21,31
0:46,292,Mike Nwabuzor Offensive Rebound.,21,31
0:46,292,Mike Nwabuzor Offensive Rebound.,21,31
0:44,292,Mike Nwabuzor made Layup.,23,31
0:26,357,Elijah Schmidt made Layup. Assisted by Joseph Kilgore.,23,33
0:06,292,Nick Dixon made Layup. Assisted by Lew Stallworth.,25,33
0:00,357,End of 1st half,25,33
19:46,357,Joseph Kilgore Turnover.,25,33
19:44,292,- Null Steal.,25,33
19:42,292,Nick Dixon made Layup. Assisted by Gage Loy.,27,33
19:29,292,Foul on Gage Loy.,27,33
19:27,357,Joseph Kilgore made Layup.,27,35
19:12,292,Gage Loy made Three Point Jumper. Assisted by Mike Hoffman.,30,35
18:49,357,Ehab Amin missed Layup.,30,35
18:49,292,Gage Loy Defensive Rebound.,30,35
18:28,292,Nick Dixon missed Layup.,30,35
18:28,357,Elijah Schmidt Defensive Rebound.,30,35
18:17,357,Rashawn Thomas missed Jumper.,30,35
18:17,292,Antonio Green Defensive Rebound.,30,35
18:16,357,Foul on Elijah Schmidt.,30,35
17:58,357,Foul on Ehab Amin.,30,35
17:58,292,Lew Stallworth made Free Throw.,31,35
17:58,292,Lew Stallworth made Free Throw.,32,35
17:48,292,Foul on Nick Dixon.,32,35
17:38,357,Ehab Amin Turnover.,32,35
17:37,292,Nick Dixon Steal.,32,35
17:34,292,Nick Dixon missed Layup.,32,35
17:34,357,Rashawn Thomas Block.,32,35
17:34,292,Lew Stallworth Offensive Rebound.,32,35
17:30,292,Lew Stallworth missed Layup.,32,35
17:30,357,Rashawn Thomas Block.,32,35
17:30,357,Ehab Amin Defensive Rebound.,32,35
17:27,357,Ehab Amin made Layup.,32,37
16:58,357,Foul on Cole Martinez.,32,37
16:58,292,Mike Hoffman missed Jumper.,32,37
16:56,357,Ehab Amin Defensive Rebound.,32,37
16:53,357,Cole Martinez missed Three Point Jumper.,32,37
16:51,357,Joseph Kilgore Offensive Rebound.,32,37
16:46,357,Ehab Amin made Three Point Jumper.,32,40
16:33,357,Texas A&M-CC  Timeout,32,40
16:33,357,Official TV Timeout,32,40
16:23,292,Antonio Green made Three Point Jumper. Assisted by Nick Dixon.,35,40
16:07,357,Joseph Kilgore Turnover.,35,40
16:05,292,Mike Hoffman Steal.,35,40
15:59,292,Antonio Green made Three Point Jumper. Assisted by Nick Dixon.,38,40
15:30,292,Foul on Walter Jones.,38,40
15:30,357,Official TV Timeout,38,40
15:18,357,Joseph Kilgore made Layup. Assisted by Ehab Amin.,38,42
15:16,292,Foul on Walter Jones.,38,42
15:16,357,Joseph Kilgore made Free Throw.,38,43
15:09,357,Foul on Cole Martinez.,38,43
14:57,292,Nick Dixon missed Jumper.,38,43
14:57,292,Walter Jones Offensive Rebound.,38,43
14:51,292,Mike Nwabuzor made Layup.,40,43
14:38,357,Ehab Amin made Layup. Assisted by Rashawn Thomas.,40,45
14:38,292,Foul on Walter Jones.,40,45
14:38,357,Ehab Amin made Free Throw.,40,46
14:31,292,UT Rio Grande Valley  Turnover.,40,46
14:19,357,Joseph Kilgore made Jumper.,40,48
13:45,292,Adonis Rwabigwi Offensive Rebound.,40,48
13:45,292,Antonio Green missed Three Point Jumper.,40,48
13:45,357,Ehab Amin Block.,40,48
13:29,292,Adonis Rwabigwi made Two Point Tip Shot.,42,48
13:17,357,Ehab Amin made Three Point Jumper. Assisted by Cole Martinez.,42,51
13:09,292,Nick Dixon made Layup.,44,51
12:44,292,Foul on Walter Jones.,44,51
12:44,357,Ehab Amin made Free Throw.,44,52
12:44,357,Ehab Amin made Free Throw.,44,53
12:35,292,Nick Dixon Turnover.,44,53
12:27,292,Foul on Nick Dixon.,44,53
12:27,357,Ehab Amin missed Free Throw.,44,53
12:27,292,Mike Nwabuzor Defensive Rebound.,44,53
12:14,292,Adonis Rwabigwi missed Layup.,44,53
12:14,357,Rashawn Thomas Block.,44,53
12:14,357,Rashawn Thomas Defensive Rebound.,44,53
12:14,292,Adonis Rwabigwi missed Layup.,44,53
12:14,357,Rashawn Thomas Block.,44,53
12:07,357,Joseph Kilgore Turnover.,44,53
12:06,292,Adonis Rwabigwi Steal.,44,53
11:48,292,Mike Nwabuzor Turnover.,44,53
11:47,357,Rashawn Thomas Steal.,44,53
11:46,357,Ehab Amin made Layup. Assisted by Jake Kocher.,44,55
11:30,292,Antonio Green missed Layup.,44,55
11:30,357,Rashawn Thomas Block.,44,55
11:30,357,Jake Kocher Defensive Rebound.,44,55
11:26,357,Jake Kocher missed Layup.,44,55
11:26,292,Adonis Rwabigwi Defensive Rebound.,44,55
11:13,292,Adonis Rwabigwi missed Layup.,44,55
11:13,357,Rashawn Thomas Block.,44,55
11:13,292,UT Rio Grande Valley Offensive Rebound.,44,55
11:13,357,Official TV Timeout,44,55
11:08,292,Lew Stallworth Turnover.,44,55
10:46,357,Rashawn Thomas Turnover.,44,55
10:45,292,Dan Kimasa Steal.,44,55
10:40,292,Lew Stallworth missed Layup.,44,55
10:40,292,UT Rio Grande Valley Offensive Rebound.,44,55
10:36,292,Lew Stallworth missed Three Point Jumper.,44,55
10:36,357,Rashawn Thomas Defensive Rebound.,44,55
10:34,292,Foul on Dan Kimasa.,44,55
10:24,357,Rashawn Thomas made Free Throw.,44,56
10:24,357,Rashawn Thomas missed Free Throw.,44,56
10:24,292,Dan Kimasa Defensive Rebound.,44,56
10:07,292,Lesley Varner Jr. Turnover.,44,56
10:06,357,Kareem South Steal.,44,56
10:01,357,Jake Kocher made Layup. Assisted by Rashawn Thomas.,44,58
9:51,292,Dan Kimasa Turnover.,44,58
9:51,292,Foul on Dan Kimasa.,44,58
9:38,357,Rashawn Thomas made Jumper.,44,60
9:21,292,Nick Dixon Turnover.,44,60
9:20,357,Ehab Amin Steal.,44,60
9:17,292,UT Rio Grande Valley  Timeout,44,60
9:17,357,Rashawn Thomas made Free Throw.,44,61
9:17,357,Rashawn Thomas made Free Throw.,44,62
8:51,292,Dan Kimasa made Layup. Assisted by Nick Dixon.,46,62
8:35,357,Ehab Amin missed Three Point Jumper.,46,62
8:35,292,Nick Dixon Defensive Rebound.,46,62
8:26,292,Nick Dixon made Layup.,48,62
8:26,357,Foul on Cole Martinez.,48,62
8:26,292,Nick Dixon made Free Throw.,49,62
7:56,357,Joseph Kilgore missed Jumper.,49,62
7:56,292,Dan Kimasa Block.,49,62
7:56,357,Kareem South Offensive Rebound.,49,62
7:51,357,Rashawn Thomas missed Jumper.,49,62
7:51,292,Lew Stallworth Defensive Rebound.,49,62
7:44,292,Nick Dixon made Layup.,51,62
7:30,292,Foul on Lesley Varner Jr..,51,62
7:30,357,Official TV Timeout,51,62
7:30,357,Ehab Amin made Free Throw.,51,63
7:30,357,Ehab Amin made Free Throw.,51,64
7:24,292,Dan Kimasa missed Jumper.,51,64
7:24,357,Ehab Amin Defensive Rebound.,51,64
7:11,357,Kareem South missed Three Point Jumper.,51,64
7:11,292,Lew Stallworth Defensive Rebound.,51,64
6:58,292,Dan Kimasa made Layup. Assisted by Nick Dixon.,53,64
6:39,292,Foul on Lew Stallworth.,53,64
6:39,357,Kareem South made Free Throw.,53,65
6:39,357,Kareem South made Free Throw.,53,66
6:14,292,Antonio Green Turnover.,53,66
6:13,357,Ehab Amin Steal.,53,66
6:10,357,Ehab Amin made Dunk.,53,68
5:48,292,Antonio Green missed Jumper.,53,68
5:48,292,Nick Dixon Offensive Rebound.,53,68
5:48,292,Antonio Green missed Jumper.,53,68
5:48,292,Nick Dixon Offensive Rebound.,53,68
5:44,292,Nick Dixon made Layup.,55,68
5:43,357,Foul on Cole Martinez.,55,68
5:43,292,Nick Dixon made Free Throw.,56,68
5:34,357,Kareem South missed Jumper.,56,68
5:34,292,Gage Loy Defensive Rebound.,56,68
5:30,357,Foul on Kareem South.,56,68
5:30,292,Gage Loy made Free Throw.,57,68
5:30,292,Gage Loy missed Free Throw.,57,68
5:30,357,Rashawn Thomas Defensive Rebound.,57,68
5:14,357,Joseph Kilgore Turnover.,57,68
5:11,292,Gage Loy Turnover.,57,68
5:10,292,Foul on Gage Loy.,57,68
4:55,292,Foul on Mike Nwabuzor.,57,68
4:55,357,Rashawn Thomas made Free Throw.,57,69
4:55,357,Rashawn Thomas made Free Throw.,57,70
4:42,292,Mike Nwabuzor made Layup. Assisted by Antonio Green.,59,70
4:29,292,Foul on Moe McDonald.,59,70
4:29,357,Kareem South missed Free Throw.,59,70
4:29,357,Texas A&M-CC Deadball Team Rebound.,59,70
4:29,357,Kareem South made Free Throw.,59,71
4:21,292,Gage Loy made Layup. Assisted by Nick Dixon.,61,71
4:05,357,Rashawn Thomas Turnover.,61,71
4:05,292,Nick Dixon made Layup.,63,71
3:48,357,Ehab Amin made Layup. Assisted by Rashawn Thomas.,63,73
3:46,357,Texas A&M-CC  Timeout,63,73
3:46,357,Official TV Timeout,63,73
3:15,292,Antonio Green missed Layup.,63,73
3:15,357,Rashawn Thomas Defensive Rebound.,63,73
3:07,357,Joseph Kilgore missed Layup.,63,73
3:07,292,Xavier McDaniel Jr. Defensive Rebound.,63,73
3:02,292,Nick Dixon made Three Point Jumper. Assisted by Lew Stallworth.,66,73
2:48,357,Ehab Amin made Layup.,66,75
2:48,292,Foul on Nick Dixon.,66,75
2:48,357,Ehab Amin made Free Throw.,66,76
2:37,292,Lew Stallworth missed Layup.,66,76
2:37,357,Ehab Amin Defensive Rebound.,66,76
2:19,292,Foul on Nick Dixon.,66,76
2:19,292,Technical Foul on Xavier McDaniel Jr..,66,76
2:19,357,Jake Kocher made Free Throw.,66,77
2:19,357,Jake Kocher missed Free Throw.,66,77
2:19,357,Texas A&M-CC Deadball Team Rebound.,66,77
2:19,357,Jake Kocher made Free Throw.,66,78
2:19,357,Jake Kocher made Free Throw.,66,79
2:19,292,Foul on Xavier McDaniel Jr..,66,79
2:01,357,Kareem South missed Three Point Jumper.,66,79
2:01,292,Dan Kimasa Defensive Rebound.,66,79
1:50,292,Antonio Green missed Three Point Jumper.,66,79
1:50,357,Jake Kocher Defensive Rebound.,66,79
1:27,292,Foul on Xavier McDaniel Jr..,66,79
1:27,357,Rashawn Thomas missed Free Throw.,66,79
1:27,357,Texas A&M-CC Deadball Team Rebound.,66,79
1:27,357,Rashawn Thomas missed Free Throw.,66,79
1:27,357,Rashawn Thomas Offensive Rebound.,66,79
1:23,292,Foul on Xavier McDaniel Jr..,66,79
1:23,357,Rashawn Thomas missed Free Throw.,66,79
1:23,357,Texas A&M-CC Deadball Team Rebound.,66,79
1:23,357,Rashawn Thomas made Free Throw.,66,80
1:06,357,Foul on Ehab Amin.,66,80
1:06,292,Mike Nwabuzor made Free Throw.,67,80
1:06,292,Mike Nwabuzor made Free Throw.,68,80
0:44,292,Foul on Mike Nwabuzor.,68,80
0:44,357,Rashawn Thomas made Free Throw.,68,81
0:44,357,Rashawn Thomas made Free Throw.,68,82
0:34,292,Moe McDonald missed Three Point Jumper.,68,82
0:34,292,UT Rio Grande Valley Offensive Rebound.,68,82
0:20,292,Antonio Green missed Three Point Jumper.,68,82
0:20,292,Dan Kimasa Offensive Rebound.,68,82
0:15,292,Dan Kimasa Turnover.,68,82
0:14,357,Rashawn Thomas Steal.,68,82
0:10,357,Ehab Amin made Layup.,68,84
0:00,357,End of 2nd half,68,84
