Rhode Island,2674,Valparaiso,227
13:37,227,Stanford Robinson Turnover.,10,10
13:36,2674,Jaume Sorolla Steal.,10,10
13:22,2674,Alec Peters made Jumper. Assisted by Max Joseph.,10,12
13:00,227,Kuran Iverson missed Layup.,10,12
13:00,2674,Jaume Sorolla Defensive Rebound.,10,12
12:53,2674,Lexus Williams missed Three Point Jumper.,10,12
12:53,227,E.C. Matthews Defensive Rebound.,10,12
12:46,227,E.C. Matthews Turnover.,10,12
12:45,2674,Max Joseph Steal.,10,12
12:40,2674,Alec Peters made Layup. Assisted by Shane Hammink.,10,14
12:21,2674,Foul on Max Joseph.,10,14
12:17,227,E.C. Matthews missed Three Point Jumper.,10,14
12:17,2674,Tevonn Walker Defensive Rebound.,10,14
12:13,227,Foul on Nicola Akele.,10,14
11:47,2674,Alec Peters missed Three Point Jumper.,10,14
11:47,227,Jarvis Garrett Defensive Rebound.,10,14
11:25,227,Nicola Akele missed Jumper.,10,14
11:25,2674,Alec Peters Defensive Rebound.,10,14
11:05,227,Foul on Cyril Langevine.,10,14
11:05,2674,Official TV Timeout,10,14
10:50,2674,Micah Bradford Turnover.,10,14
10:40,227,Jared Terrell missed Jumper.,10,14
10:40,2674,Jubril Adekoya Defensive Rebound.,10,14
10:23,2674,Jubril Adekoya missed Jumper.,10,14
10:23,227,Jared Terrell Defensive Rebound.,10,14
10:10,227,Hassan Martin missed Layup.,10,14
10:10,2674,Micah Bradford Defensive Rebound.,10,14
10:03,2674,Micah Bradford missed Layup.,10,14
10:03,2674,Derrik Smits Offensive Rebound.,10,14
10:01,2674,Derrik Smits missed Two Point Tip Shot.,10,14
10:01,227,Christion Thompson Defensive Rebound.,10,14
9:50,227,Cyril Langevine missed Layup.,10,14
9:50,2674,Shane Hammink Defensive Rebound.,10,14
9:41,2674,Derrik Smits missed Jumper.,10,14
9:41,227,Jared Terrell Defensive Rebound.,10,14
9:15,227,Jared Terrell made Three Point Jumper. Assisted by Jarvis Garrett.,13,14
8:54,2674,Shane Hammink missed Three Point Jumper.,13,14
8:54,227,Hassan Martin Defensive Rebound.,13,14
8:40,2674,Foul on Derrik Smits.,13,14
8:40,227,Jarvis Garrett made Free Throw.,14,14
8:40,227,Jarvis Garrett made Free Throw.,15,14
8:26,2674,Shane Hammink made Dunk. Assisted by Tevonn Walker.,15,16
8:08,227,Jared Terrell made Three Point Jumper. Assisted by E.C. Matthews.,18,16
7:44,2674,Tevonn Walker Turnover.,18,16
7:44,227,Kuran Iverson Steal.,18,16
7:39,227,Jared Terrell made Three Point Jumper. Assisted by E.C. Matthews.,21,16
7:34,2674,Valparaiso  Timeout,21,16
7:34,2674,Official TV Timeout,21,16
7:20,227,Foul on Kuran Iverson.,21,16
7:20,2674,Alec Peters made Free Throw.,21,17
7:20,2674,Alec Peters made Free Throw.,21,18
7:03,227,Hassan Martin missed Jumper.,21,18
7:03,2674,Lexus Williams Defensive Rebound.,21,18
6:51,2674,Alec Peters missed Three Point Jumper.,21,18
6:51,227,Rhode Island Defensive Rebound.,21,18
6:24,227,Kuran Iverson Turnover.,21,18
6:09,2674,Tevonn Walker made Layup.,21,20
5:44,227,E.C. Matthews made Layup. Assisted by Hassan Martin.,23,20
5:24,2674,Jubril Adekoya made Layup. Assisted by Tevonn Walker.,23,22
4:51,227,Jarvis Garrett made Jumper.,25,22
4:28,2674,Jubril Adekoya missed Jumper.,25,22
4:28,227,Hassan Martin Block.,25,22
4:27,227,Hassan Martin Defensive Rebound.,25,22
4:26,227,Hassan Martin Turnover.,25,22
4:10,2674,Alec Peters missed Layup.,25,22
4:10,227,Kuran Iverson Defensive Rebound.,25,22
3:56,227,E.C. Matthews missed Jumper.,25,22
3:56,2674,Tevonn Walker Defensive Rebound.,25,22
3:48,227,Foul on Kuran Iverson.,25,22
3:48,2674,Official TV Timeout,25,22
3:34,2674,Tevonn Walker made Jumper.,25,24
3:05,227,Nicola Akele made Three Point Jumper. Assisted by Jarvis Garrett.,28,24
2:48,2674,Shane Hammink Turnover.,28,24
2:47,227,Jarvis Garrett Steal.,28,24
2:41,227,Jarvis Garrett Turnover.,28,24
2:41,2674,Lexus Williams Steal.,28,24
2:37,2674,Alec Peters made Three Point Jumper. Assisted by Tevonn Walker.,28,27
2:12,227,Nicola Akele missed Three Point Jumper.,28,27
2:12,2674,Alec Peters Defensive Rebound.,28,27
1:59,2674,Foul on Alec Peters.,28,27
1:59,2674,Alec Peters Turnover.,28,27
1:39,227,Hassan Martin made Jumper. Assisted by Nicola Akele.,30,27
1:13,227,Foul on Jarvis Garrett.,30,27
1:06,227,Foul on Hassan Martin.,30,27
1:06,2674,Shane Hammink made Free Throw.,30,28
1:06,2674,Shane Hammink made Free Throw.,30,29
0:42,227,Christion Thompson missed Jumper.,30,29
0:42,2674,Tevonn Walker Defensive Rebound.,30,29
0:39,227,Foul on Nicola Akele.,30,29
0:39,2674,Tevonn Walker missed Free Throw.,30,29
0:39,227,Rhode Island Defensive Rebound.,30,29
0:35,227,Rhode Island  Timeout,30,29
0:12,227,Jared Terrell missed Jumper.,30,29
0:12,2674,Tevonn Walker Defensive Rebound.,30,29
0:02,227,Foul on Nicola Akele.,30,29
0:02,2674,Alec Peters made Free Throw.,30,30
0:02,2674,Alec Peters made Free Throw.,30,31
0:00,2674,End of 1st half,30,31
19:35,227,Jared Terrell missed Jumper.,30,31
19:35,227,Jared Terrell Offensive Rebound.,30,31
19:31,227,Jared Terrell made Two Point Tip Shot.,32,31
19:17,2674,Shane Hammink missed Three Point Jumper.,32,31
19:17,2674,Alec Peters Offensive Rebound.,32,31
19:06,2674,Alec Peters missed Layup.,32,31
19:06,2674,Alec Peters Offensive Rebound.,32,31
19:02,2674,Alec Peters made Layup.,32,33
18:44,227,Jarvis Garrett missed Three Point Jumper.,32,33
18:44,2674,Tevonn Walker Defensive Rebound.,32,33
18:23,2674,Alec Peters made Layup.,32,35
17:56,227,Hassan Martin missed Layup.,32,35
17:56,2674,Alec Peters Block.,32,35
17:55,2674,Valparaiso Defensive Rebound.,32,35
17:41,2674,Shane Hammink Turnover.,32,35
17:40,227,Jared Terrell Steal.,32,35
17:38,227,Jared Terrell made Dunk.,34,35
17:11,2674,Tevonn Walker missed Jumper.,34,35
17:11,2674,Alec Peters Offensive Rebound.,34,35
17:07,2674,Alec Peters Offensive Rebound.,34,35
17:06,2674,Alec Peters Turnover.,34,35
17:06,227,Hassan Martin Steal.,34,35
16:46,227,Jared Terrell missed Jumper.,34,35
16:46,2674,Alec Peters Defensive Rebound.,34,35
16:45,227,Foul on Hassan Martin.,34,35
16:25,2674,Tevonn Walker made Jumper.,34,37
16:11,2674,Foul on Max Joseph.,34,37
16:11,227,Jarvis Garrett made Free Throw.,35,37
16:11,227,Jarvis Garrett made Free Throw.,36,37
15:53,227,Foul on Jarvis Garrett.,36,37
15:53,2674,Official TV Timeout,36,37
15:40,2674,Shane Hammink missed Jumper.,36,37
15:40,227,Rhode Island Defensive Rebound.,36,37
15:25,227,Foul on Jarvis Garrett.,36,37
15:12,2674,Shane Hammink Turnover.,36,37
15:12,227,Hassan Martin Steal.,36,37
15:04,227,Jared Terrell missed Jumper.,36,37
15:04,2674,Jubril Adekoya Defensive Rebound.,36,37
14:52,227,Foul on Jeff Dowtin.,36,37
14:30,227,Foul on Kuran Iverson.,36,37
14:30,2674,Shane Hammink made Free Throw.,36,38
14:30,2674,Shane Hammink made Free Throw.,36,39
14:06,227,Hassan Martin missed Jumper.,36,39
14:06,227,Nicola Akele Offensive Rebound.,36,39
13:58,227,Nicola Akele made Layup.,38,39
13:50,227,Foul on Jared Terrell.,38,39
13:50,227,Technical Foul on Rhode Island.,38,39
13:50,227,Foul on Rhode Island.,38,39
13:50,2674,Alec Peters made Free Throw.,38,40
13:50,2674,Alec Peters made Free Throw.,38,41
13:46,2674,Jubril Adekoya Turnover.,38,41
13:21,2674,Foul on Jubril Adekoya.,38,41
13:17,227,Nicola Akele missed Three Point Jumper.,38,41
13:17,2674,Max Joseph Defensive Rebound.,38,41
13:08,2674,Max Joseph made Layup.,38,43
12:49,2674,Foul on Tevonn Walker.,38,43
12:48,227,Jared Terrell missed Three Point Jumper.,38,43
12:48,2674,Lexus Williams Defensive Rebound.,38,43
12:23,2674,Max Joseph missed Jumper.,38,43
12:23,227,Hassan Martin Defensive Rebound.,38,43
12:22,2674,Foul on Jaume Sorolla.,38,43
12:03,227,Jared Terrell made Layup.,40,43
11:40,2674,Alec Peters missed Jumper.,40,43
11:40,227,Nicola Akele Defensive Rebound.,40,43
11:34,227,Jarvis Garrett missed Three Point Jumper.,40,43
11:34,227,Hassan Martin Offensive Rebound.,40,43
11:31,227,Hassan Martin made Layup.,42,43
11:14,2674,Shane Hammink missed Layup.,42,43
11:14,227,Hassan Martin Defensive Rebound.,42,43
11:06,227,Stanford Robinson Turnover.,42,43
11:06,2674,Official TV Timeout,42,43
10:44,2674,Alec Peters missed Jumper.,42,43
10:44,2674,Max Joseph Offensive Rebound.,42,43
10:29,227,Foul on Cyril Langevine.,42,43
10:29,2674,Alec Peters made Free Throw.,42,44
10:29,2674,Alec Peters made Free Throw.,42,45
10:03,227,Kuran Iverson missed Layup.,42,45
10:03,2674,Jubril Adekoya Block.,42,45
10:03,227,Kuran Iverson Offensive Rebound.,42,45
9:59,227,Stanford Robinson missed Layup.,42,45
9:59,2674,Jubril Adekoya Block.,42,45
9:58,2674,Max Joseph Defensive Rebound.,42,45
9:49,2674,Max Joseph missed Three Point Jumper.,42,45
9:49,2674,Alec Peters Offensive Rebound.,42,45
9:46,227,Foul on Cyril Langevine.,42,45
9:46,2674,Alec Peters made Free Throw.,42,46
9:46,2674,Alec Peters made Free Throw.,42,47
9:37,227,Jarvis Garrett missed Layup.,42,47
9:37,2674,Valparaiso Defensive Rebound.,42,47
9:13,2674,Foul on Lexus Williams.,42,47
9:13,2674,Lexus Williams Turnover.,42,47
9:00,227,Kuran Iverson Turnover.,42,47
9:00,2674,Tevonn Walker Steal.,42,47
8:56,2674,Jubril Adekoya made Layup.,42,49
8:55,227,Foul on Jarvis Garrett.,42,49
8:55,2674,Jubril Adekoya made Free Throw.,42,50
8:37,227,Jared Terrell missed Three Point Jumper.,42,50
8:37,2674,Lexus Williams Defensive Rebound.,42,50
8:21,2674,Alec Peters missed Layup.,42,50
8:21,227,Kuran Iverson Block.,42,50
8:20,227,Kuran Iverson Defensive Rebound.,42,50
8:11,227,E.C. Matthews missed Jumper.,42,50
8:11,227,Rhode Island Offensive Rebound.,42,50
7:56,227,Jared Terrell made Layup.,44,50
7:34,2674,Tevonn Walker made Jumper.,44,52
7:06,227,Kuran Iverson missed Three Point Jumper.,44,52
7:06,2674,Valparaiso Defensive Rebound.,44,52
7:02,2674,Official TV Timeout,44,52
6:48,2674,Shane Hammink missed Dunk.,44,52
6:48,227,Christion Thompson Defensive Rebound.,44,52
6:42,227,Jared Terrell missed Layup.,44,52
6:42,2674,Shane Hammink Defensive Rebound.,44,52
6:29,2674,Shane Hammink Turnover.,44,52
6:28,227,Kuran Iverson Steal.,44,52
6:27,2674,Foul on Alec Peters.,44,52
6:08,227,Kuran Iverson made Dunk. Assisted by Jared Terrell.,46,52
5:44,2674,Tevonn Walker made Layup.,46,54
5:44,227,Foul on Kuran Iverson.,46,54
5:44,2674,Tevonn Walker missed Free Throw.,46,54
5:44,227,E.C. Matthews Defensive Rebound.,46,54
5:28,227,Hassan Martin made Jumper. Assisted by Kuran Iverson.,48,54
4:56,2674,Shane Hammink made Jumper.,48,56
4:35,227,Jarvis Garrett made Layup.,50,56
4:33,227,Rhode Island  Timeout,50,56
4:09,2674,Alec Peters Turnover.,50,56
3:45,227,Hassan Martin made Layup. Assisted by Jarvis Garrett.,52,56
3:31,2674,Valparaiso  Timeout,52,56
3:31,2674,Official TV Timeout,52,56
3:16,2674,Alec Peters made Layup.,52,58
2:59,2674,Foul on Jubril Adekoya.,52,58
2:59,227,Hassan Martin made Free Throw.,53,58
2:59,227,Hassan Martin made Free Throw.,54,58
2:35,2674,Alec Peters made Layup.,54,60
2:10,227,Jared Terrell made Layup.,56,60
2:10,2674,Foul on Tevonn Walker.,56,60
2:10,227,Jared Terrell missed Free Throw.,56,60
2:10,2674,Tevonn Walker Defensive Rebound.,56,60
1:44,2674,Alec Peters made Jumper. Assisted by Lexus Williams.,56,62
1:30,227,Rhode Island  Timeout,56,62
1:13,227,Jarvis Garrett missed Jumper.,56,62
1:13,227,Jeff Dowtin Offensive Rebound.,56,62
1:10,227,Hassan Martin made Two Point Tip Shot.,58,62
1:02,2674,Shane Hammink Turnover.,58,62
0:52,227,E.C. Matthews missed Three Point Jumper.,58,62
0:52,2674,Alec Peters Defensive Rebound.,58,62
0:35,227,Foul on Jared Terrell.,58,62
0:35,2674,Shane Hammink made Free Throw.,58,63
0:35,2674,Shane Hammink made Free Throw.,58,64
0:27,227,Jared Terrell made Layup.,60,64
0:26,2674,Alec Peters Turnover.,60,64
0:24,227,Jarvis Garrett Steal.,60,64
0:23,227,Jared Terrell missed Three Point Jumper.,60,64
0:23,227,E.C. Matthews Offensive Rebound.,60,64
0:21,227,E.C. Matthews made Two Point Tip Shot.,62,64
0:19,2674,Shane Hammink missed Layup.,62,64
0:19,227,Hassan Martin Defensive Rebound.,62,64
0:16,2674,Foul on Shane Hammink.,62,64
0:16,227,Hassan Martin missed Free Throw.,62,64
0:16,2674,Tevonn Walker Defensive Rebound.,62,64
0:10,227,Foul on E.C. Matthews.,62,64
0:10,2674,Jubril Adekoya missed Free Throw.,62,64
0:10,2674,Valparaiso Deadball Team Rebound.,62,64
0:10,2674,Jubril Adekoya made Free Throw.,62,65
0:10,2674,Valparaiso  Timeout,62,65
0:00,227,Christion Thompson Block.,62,65
0:00,227,Jarvis Garrett missed Three Point Jumper.,62,65
0:00,2674,Alec Peters Block.,62,65
0:00,2674,Valparaiso Deadball Team Rebound.,62,65
0:00,2674,End of Game,62,65
