Rochester College,Error,Eastern Michigan,2199
6:28,2199,Paul Jackson missed Jumper.,14,26
6:28,-1,Peter Agba Defensive Rebound.,14,26
6:18,-1,Justin Nafso Turnover.,14,26
6:15,2199,Paul Jackson Steal.,14,26
6:13,2199,Kevin McAdoo made Layup. Assisted by Paul Jackson.,14,28
5:46,-1,Cap Wilson made Jumper. Assisted by Justin Nafso.,16,28
5:35,2199,Paul Jackson made Three Point Jumper. Assisted by Tim Bond.,16,31
5:09,-1,Justin Nafso Turnover.,16,31
5:09,2199,Paul Jackson Steal.,16,31
5:07,2199,Paul Jackson made Layup. Assisted by Kevin McAdoo.,16,33
4:49,-1,Andrew Kline missed Three Point Jumper.,16,33
4:49,-1,Peter Agba Offensive Rebound.,16,33
4:38,-1,Kash Blackwell Turnover.,16,33
4:38,2199,Tim Bond Steal.,16,33
4:31,2199,Kevin McAdoo Turnover.,16,33
4:30,-1,Andrew Kline Steal.,16,33
4:28,-1,Kash Blackwell missed Layup.,16,33
4:28,2199,James Thompson IV Block.,16,33
4:27,-1,Peter Agba Offensive Rebound.,16,33
4:25,-1,Peter Agba made Layup.,18,33
4:05,2199,Elijah Minnie made Jumper. Assisted by Paul Jackson.,18,35
3:49,-1,Kash Blackwell Turnover.,18,35
3:48,2199,Elijah Minnie Steal.,18,35
3:44,2199,Elijah Minnie missed Dunk.,18,35
3:44,-1,Cap Wilson Defensive Rebound.,18,35
3:31,-1,Kash Blackwell missed Three Point Jumper.,18,35
3:31,-1,Peter Agba Offensive Rebound.,18,35
3:25,-1,Peter Agba made Layup. Assisted by Kash Blackwell.,20,35
3:20,2199,Eastern Michigan  Timeout,20,35
3:20,2199,Official TV Timeout,20,35
2:55,2199,Jordan Nobles made Three Point Jumper. Assisted by Tim Bond.,20,38
2:35,-1,Andrew Kline missed Layup.,20,38
2:35,-1,Cannon Campbell Offensive Rebound.,20,38
2:32,-1,Cannon Campbell made Layup.,22,38
2:15,2199,Jordan Nobles missed Three Point Jumper.,22,38
2:15,2199,Jordan Nobles Offensive Rebound.,22,38
2:03,2199,Jordan Nobles Turnover.,22,38
2:02,-1,Cap Wilson Steal.,22,38
1:58,-1,Armand Cartwright missed Three Point Jumper.,22,38
1:58,2199,Terry Harris Defensive Rebound.,22,38
1:54,-1,Foul on Armand Cartwright.,22,38
1:54,2199,Terry Harris made Free Throw.,22,39
1:54,2199,Terry Harris made Free Throw.,22,40
1:32,-1,Peter Agba missed Layup.,22,40
1:32,2199,Tim Bond Defensive Rebound.,22,40
1:19,2199,Paul Jackson made Jumper.,22,42
1:00,-1,Andrew Kline missed Layup.,22,42
1:00,2199,Jordan Nobles Defensive Rebound.,22,42
0:38,2199,Paul Jackson missed Three Point Jumper.,22,42
0:38,2199,Terry Harris Offensive Rebound.,22,42
0:32,-1,Foul on Justin Nafso.,22,42
0:32,2199,Jordan Nobles missed Free Throw.,22,42
0:32,2199,Eastern Michigan Deadball Team Rebound.,22,42
0:32,2199,Jordan Nobles made Free Throw.,22,43
0:01,-1,Rochester College  Turnover.,22,43
0:01,-1,Foul on Peter Agba.,22,43
0:01,2199,Jordan Nobles made Free Throw.,22,44
0:01,2199,Jordan Nobles made Free Throw.,22,45
0:00,2199,End of 1st half,22,45
19:39,-1,Cap Wilson made Three Point Jumper. Assisted by Justin Nafso.,25,45
19:16,2199,Tim Bond missed Three Point Jumper.,25,45
19:16,-1,Justin Nafso Defensive Rebound.,25,45
18:46,-1,Cap Wilson made Layup. Assisted by Justin Nafso.,27,45
18:16,2199,Paul Jackson missed Jumper.,27,45
18:16,2199,James Thompson IV Offensive Rebound.,27,45
18:14,-1,Foul on Cap Wilson.,27,45
18:08,-1,Foul on Blake Brown.,27,45
18:04,2199,Elijah Minnie missed Three Point Jumper.,27,45
18:04,-1,Kash Blackwell Defensive Rebound.,27,45
17:54,-1,Andrew Kline Turnover.,27,45
17:43,2199,James Thompson IV made Layup.,27,47
17:17,-1,Cap Wilson made Layup. Assisted by Justin Nafso.,29,47
17:00,2199,Tim Bond made Dunk. Assisted by Jordan Nobles.,29,49
16:39,-1,Kash Blackwell made Three Point Jumper. Assisted by Andrew Kline.,32,49
16:12,2199,Paul Jackson missed Three Point Jumper.,32,49
16:12,-1,Kash Blackwell Defensive Rebound.,32,49
15:50,2199,Official TV Timeout,32,49
15:38,-1,Rochester College  Turnover.,32,49
15:19,2199,Isaiah Green made Layup. Assisted by Kevin McAdoo.,32,51
15:19,-1,Foul on Cap Wilson.,32,51
15:19,2199,Isaiah Green missed Free Throw.,32,51
15:19,-1,Kash Blackwell Defensive Rebound.,32,51
15:04,-1,Peter Agba Turnover.,32,51
14:56,2199,James Thompson IV made Layup. Assisted by Paul Jackson.,32,53
14:35,-1,Kash Blackwell made Layup. Assisted by Justin Nafso.,34,53
14:15,2199,James Thompson IV missed Jumper.,34,53
14:15,-1,Justin Nafso Defensive Rebound.,34,53
14:06,-1,Justin Nafso missed Three Point Jumper.,34,53
14:06,2199,Tim Bond Defensive Rebound.,34,53
13:49,2199,James Thompson IV missed Layup.,34,53
13:49,-1,Peter Agba Defensive Rebound.,34,53
13:40,-1,Cap Wilson missed Three Point Jumper.,34,53
13:40,2199,James Thompson IV Defensive Rebound.,34,53
13:35,2199,James Thompson IV Turnover.,34,53
13:35,2199,Foul on James Thompson IV.,34,53
13:15,-1,Moses Toriola missed Layup.,34,53
13:15,2199,Isaiah Green Defensive Rebound.,34,53
13:05,2199,Bud Jones Turnover.,34,53
12:47,-1,Armand Cartwright missed Three Point Jumper.,34,53
12:47,2199,Isaiah Green Defensive Rebound.,34,53
12:37,2199,Tim Bond missed Three Point Jumper.,34,53
12:37,-1,Kash Blackwell Defensive Rebound.,34,53
12:31,2199,Foul on Tim Bond.,34,53
12:22,-1,Cannon Campbell made Three Point Jumper.,37,53
11:58,2199,Kevin McAdoo made Layup.,37,55
11:30,-1,Armand Cartwright missed Layup.,37,55
11:30,-1,Moses Toriola Offensive Rebound.,37,55
11:27,-1,Moses Toriola made Layup.,39,55
11:03,-1,Foul on Moses Toriola.,39,55
11:03,2199,Official TV Timeout,39,55
11:03,2199,Bud Jones missed Free Throw.,39,55
11:03,2199,Eastern Michigan Deadball Team Rebound.,39,55
11:03,2199,Bud Jones made Free Throw.,39,56
10:55,-1,Cap Wilson made Three Point Jumper. Assisted by Cannon Campbell.,42,56
10:34,2199,Paul Jackson Turnover.,42,56
10:34,-1,Andrew Kline Steal.,42,56
10:31,-1,Andrew Kline missed Layup.,42,56
10:31,2199,Tim Bond Block.,42,56
10:29,2199,Paul Jackson Defensive Rebound.,42,56
10:26,2199,Kevin McAdoo made Three Point Jumper. Assisted by Paul Jackson.,42,59
10:02,-1,Andrew Kline missed Three Point Jumper.,42,59
10:02,2199,Bud Jones Defensive Rebound.,42,59
9:43,2199,Paul Jackson Turnover.,42,59
9:17,-1,Cap Wilson missed Layup.,42,59
9:17,2199,Jordan Nobles Defensive Rebound.,42,59
9:06,2199,Bud Jones made Layup. Assisted by Tim Bond.,42,61
9:06,-1,Foul on Blake Brown.,42,61
9:06,2199,Bud Jones missed Free Throw.,42,61
9:06,-1,Cap Wilson Defensive Rebound.,42,61
8:39,-1,Blake Brown missed Layup.,42,61
8:39,2199,Jordan Nobles Block.,42,61
8:38,2199,Bud Jones Defensive Rebound.,42,61
8:19,2199,Terry Harris missed Three Point Jumper.,42,61
8:19,-1,Andrew Kline Defensive Rebound.,42,61
8:09,-1,Cap Wilson missed Three Point Jumper.,42,61
8:09,-1,Armand Cartwright Offensive Rebound.,42,61
8:03,2199,Foul on Bud Jones.,42,61
8:03,-1,Blake Brown made Free Throw.,43,61
8:03,-1,Blake Brown missed Free Throw.,43,61
8:03,2199,Terry Harris Defensive Rebound.,43,61
7:34,2199,Paul Jackson missed Layup.,43,61
7:34,-1,Rochester College Defensive Rebound.,43,61
7:31,2199,Official TV Timeout,43,61
7:20,-1,Andrew Kline missed Layup.,43,61
7:20,2199,Jalen King Block.,43,61
7:19,2199,Eastern Michigan Defensive Rebound.,43,61
7:06,2199,Tim Bond Turnover.,43,61
6:39,-1,Justin Nafso Turnover.,43,61
6:38,2199,Jalen King Steal.,43,61
6:36,-1,Foul on Justin Nafso.,43,61
6:11,2199,Jordan Nobles missed Three Point Jumper.,43,61
6:11,-1,Blake Brown Defensive Rebound.,43,61
6:09,2199,Foul on Jalen King.,43,61
5:55,-1,Armand Cartwright missed Layup.,43,61
5:55,2199,Terry Harris Defensive Rebound.,43,61
5:28,2199,Jordan Nobles made Jumper. Assisted by Tim Bond.,43,63
5:13,-1,Armand Cartwright Turnover.,43,63
4:50,2199,Terry Harris missed Jumper.,43,63
4:50,-1,Peter Agba Defensive Rebound.,43,63
4:36,-1,Anton Lucaj missed Three Point Jumper.,43,63
4:36,-1,Andrew Kline Offensive Rebound.,43,63
4:17,-1,Peter Agba made Layup. Assisted by Andrew Kline.,45,63
3:47,2199,Malik Ellison missed Layup.,45,63
3:47,-1,Kash Blackwell Block.,45,63
3:45,-1,Peter Agba Defensive Rebound.,45,63
3:33,-1,Kash Blackwell missed Three Point Jumper.,45,63
3:33,-1,Andrew Kline Offensive Rebound.,45,63
3:29,-1,Andrew Kline missed Layup.,45,63
3:29,2199,Jordan Nobles Block.,45,63
3:29,-1,Rochester College Offensive Rebound.,45,63
3:29,2199,Official TV Timeout,45,63
3:28,-1,Peter Agba missed Jumper.,45,63
3:28,2199,Jalen King Defensive Rebound.,45,63
3:00,2199,Terry Harris Turnover.,45,63
3:00,2199,Foul on Terry Harris.,45,63
2:49,-1,Anton Lucaj missed Three Point Jumper.,45,63
2:49,2199,Terry Harris Defensive Rebound.,45,63
2:41,2199,Malik Ellison made Layup.,45,65
2:41,-1,Foul on Armand Cartwright.,45,65
2:41,2199,Malik Ellison missed Free Throw.,45,65
2:41,-1,Cannon Campbell Defensive Rebound.,45,65
2:31,-1,Armand Cartwright missed Layup.,45,65
2:31,2199,Jalen King Block.,45,65
2:31,-1,Rochester College Offensive Rebound.,45,65
2:30,-1,Armand Cartwright missed Three Point Jumper.,45,65
2:30,-1,Kash Blackwell Offensive Rebound.,45,65
2:25,-1,Kash Blackwell missed Layup.,45,65
2:25,2199,Jalen King Block.,45,65
2:25,-1,Rochester College Offensive Rebound.,45,65
2:25,-1,Foul on Kash Blackwell.,45,65
2:25,2199,Technical Foul on James Thompson IV.,45,65
2:25,2199,Terry Harris missed Free Throw.,45,65
2:25,2199,Eastern Michigan Deadball Team Rebound.,45,65
2:25,2199,Terry Harris missed Free Throw.,45,65
2:25,2199,Eastern Michigan Deadball Team Rebound.,45,65
2:20,-1,Peter Agba Turnover.,45,65
2:07,2199,Malik Ellison made Jumper.,45,67
1:55,-1,Peter Agba made Layup. Assisted by Armand Cartwright.,47,67
1:39,2199,Malik Ellison missed Layup.,47,67
1:39,-1,Cannon Campbell Defensive Rebound.,47,67
1:29,-1,Cannon Campbell Turnover.,47,67
1:14,2199,Jalen King Turnover.,47,67
1:01,-1,Moses Toriola Turnover.,47,67
1:00,2199,Isaiah Green Steal.,47,67
0:56,2199,Malik Ellison Turnover.,47,67
0:43,-1,Peter Agba missed Jumper.,47,67
0:43,2199,Jalen King Defensive Rebound.,47,67
0:36,2199,Malik Ellison missed Jumper.,47,67
0:36,-1,Anton Lucaj Defensive Rebound.,47,67
0:28,-1,Armand Cartwright missed Layup.,47,67
0:28,2199,Isaiah Green Block.,47,67
0:27,-1,Armand Cartwright Offensive Rebound.,47,67
0:26,2199,Foul on Jalen King.,47,67
0:26,-1,Armand Cartwright made Free Throw.,48,67
0:26,-1,Armand Cartwright missed Free Throw.,48,67
0:26,2199,Isaiah Green Defensive Rebound.,48,67
0:00,2199,End of Game,48,67
