Louisiana,2031,Little Rock,309
9:07,2031,Foul on Wadly Mompremier.,22,8
9:07,309,Johnathan Stove made Free Throw.,23,8
8:56,2031,Jaizec Lottie missed Jumper.,23,8
8:56,309,Louisiana Defensive Rebound.,23,8
8:35,309,Frank Bartley IV missed Three Point Jumper.,23,8
8:35,309,Johnathan Stove Offensive Rebound.,23,8
8:32,309,Johnathan Stove missed Layup.,23,8
8:32,309,Johnathan Stove Offensive Rebound.,23,8
8:32,309,Johnathan Stove made Layup.,25,8
8:32,2031,Foul on Wadly Mompremier.,25,8
8:32,309,Johnathan Stove made Free Throw.,26,8
8:00,2031,Ryan Pippins made Jumper.,26,10
7:32,309,Frank Bartley IV made Layup.,28,10
7:32,2031,Foul on Andre Jones.,28,10
7:32,2031,Official TV Timeout,28,10
7:32,309,Frank Bartley IV made Free Throw.,29,10
7:16,2031,Ryan Pippins made Three Point Jumper. Assisted by Jaizec Lottie.,29,13
6:49,309,Frank Bartley IV missed Three Point Jumper.,29,13
6:49,2031,Ryan Pippins Defensive Rebound.,29,13
6:44,2031,Little Rock  Timeout,29,13
6:20,2031,Andre Jones made Jumper. Assisted by Damir Hadzic.,29,15
6:02,309,Frank Bartley IV missed Layup.,29,15
6:02,309,Frank Bartley IV Offensive Rebound.,29,15
5:57,309,Frank Bartley IV made Three Point Jumper. Assisted by Marcus Stroman.,32,15
5:37,2031,Jaizec Lottie missed Three Point Jumper.,32,15
5:37,309,Bryce Washington Defensive Rebound.,32,15
5:11,309,Malik Marquetti missed Three Point Jumper.,32,15
5:11,309,Bryce Washington Offensive Rebound.,32,15
5:11,2031,Foul on Ryan Pippins.,32,15
5:11,309,Bryce Washington made Free Throw.,33,15
5:11,309,Bryce Washington made Free Throw.,34,15
4:59,309,Foul on Larenz Stalcup.,34,15
4:59,2031,Oliver Black missed Free Throw.,34,15
4:59,2031,Little Rock Deadball Team Rebound.,34,15
4:58,2031,Oliver Black missed Free Throw.,34,15
4:58,309,Bryce Washington Defensive Rebound.,34,15
4:44,2031,Foul on Andre Jones.,34,15
4:44,309,Frank Bartley IV made Free Throw.,35,15
4:44,309,Frank Bartley IV made Free Throw.,36,15
4:28,2031,Ryan Pippins missed Jumper.,36,15
4:28,309,Larenz Stalcup Defensive Rebound.,36,15
4:05,309,Bryce Washington made Layup.,38,15
4:05,2031,Foul on Anthony Black.,38,15
4:05,309,Bryce Washington missed Free Throw.,38,15
4:05,309,Bryce Washington Offensive Rebound.,38,15
3:56,309,Larenz Stalcup missed Jumper.,38,15
3:56,2031,Ben Marcus Defensive Rebound.,38,15
3:49,2031,Oliver Black missed Layup.,38,15
3:49,2031,Ben Marcus Offensive Rebound.,38,15
3:48,2031,Ben Marcus made Dunk.,38,17
3:31,2031,Official TV Timeout,38,17
3:26,309,Malik Marquetti Turnover.,38,17
3:25,2031,K.J. Gilmore Steal.,38,17
3:04,2031,Oliver Black made Layup. Assisted by Anthony Black.,38,19
3:04,309,Foul on Bryce Washington.,38,19
3:04,2031,Oliver Black missed Free Throw.,38,19
3:04,309,JaKeenan Gant Defensive Rebound.,38,19
2:41,309,JaKeenan Gant made Three Point Jumper. Assisted by Malik Marquetti.,41,19
2:29,309,Foul on Malik Marquetti.,41,19
2:29,2031,K.J. Gilmore made Free Throw.,41,20
2:29,2031,K.J. Gilmore missed Free Throw.,41,20
2:29,309,JaKeenan Gant Defensive Rebound.,41,20
2:11,309,Jerekius Davis missed Layup.,41,20
2:11,2031,Oliver Black Defensive Rebound.,41,20
1:42,2031,Anthony Black missed Three Point Jumper.,41,20
1:42,2031,Oliver Black Offensive Rebound.,41,20
1:34,2031,Oliver Black missed Jumper.,41,20
1:34,2031,Ben Marcus Offensive Rebound.,41,20
1:32,2031,Ben Marcus made Layup.,41,22
1:22,309,Louisiana  Timeout,41,22
1:04,309,Frank Bartley IV missed Jumper.,41,22
1:04,309,JaKeenan Gant Offensive Rebound.,41,22
1:04,2031,Foul on Ben Marcus.,41,22
1:04,309,JaKeenan Gant missed Free Throw.,41,22
1:04,309,Louisiana Deadball Team Rebound.,41,22
1:04,309,JaKeenan Gant made Free Throw.,42,22
0:36,2031,Anthony Black made Jumper.,42,24
0:01,309,JaKeenan Gant Turnover.,42,24
0:00,2031,End of 1st half,42,24
19:49,309,JaKeenan Gant Defensive Rebound.,42,24
19:49,2031,Oliver Black missed Layup.,42,24
19:36,309,Marcus Stroman Turnover.,42,24
19:33,2031,Oliver Black Steal.,42,24
19:31,2031,Anthony Black made Three Point Jumper. Assisted by Jaizec Lottie.,42,27
19:14,309,Frank Bartley IV missed Layup.,42,27
19:14,309,Bryce Washington Offensive Rebound.,42,27
19:08,309,Marcus Stroman Turnover.,42,27
19:08,309,Foul on Marcus Stroman.,42,27
18:55,2031,Damir Hadzic made Three Point Jumper. Assisted by Andre Jones.,42,30
18:42,309,Louisiana  Timeout,42,30
18:25,309,JaKeenan Gant missed Jumper.,42,30
18:25,2031,Anthony Black Defensive Rebound.,42,30
18:13,2031,Andre Jones missed Layup.,42,30
18:13,309,Frank Bartley IV Defensive Rebound.,42,30
18:06,2031,Foul on Oliver Black.,42,30
18:06,309,Bryce Washington made Free Throw.,43,30
18:06,309,Bryce Washington made Free Throw.,44,30
17:55,2031,Andre Jones made Dunk. Assisted by Damir Hadzic.,44,32
17:41,309,JaKeenan Gant made Dunk. Assisted by Marcus Stroman.,46,32
17:21,2031,Damir Hadzic Turnover.,46,32
17:20,309,Frank Bartley IV Steal.,46,32
17:17,309,Frank Bartley IV made Dunk.,48,32
16:54,2031,Oliver Black made Layup. Assisted by Jaizec Lottie.,48,34
16:41,309,JaKeenan Gant made Jumper. Assisted by Frank Bartley IV.,50,34
16:29,309,Foul on Marcus Stroman.,50,34
16:19,2031,Jaizec Lottie missed Layup.,50,34
16:19,309,JaKeenan Gant Block.,50,34
16:19,309,Frank Bartley IV Defensive Rebound.,50,34
16:07,309,Johnathan Stove missed Three Point Jumper.,50,34
16:07,2031,Andre Jones Defensive Rebound.,50,34
15:58,2031,Andre Jones missed Three Point Jumper.,50,34
15:58,309,JaKeenan Gant Defensive Rebound.,50,34
15:46,309,Johnathan Stove made Layup. Assisted by Marcus Stroman.,52,34
15:33,2031,Damir Hadzic missed Three Point Jumper.,52,34
15:33,309,Bryce Washington Defensive Rebound.,52,34
15:21,2031,Official TV Timeout,52,34
15:21,309,Marcus Stroman Turnover.,52,34
15:21,2031,Official TV Timeout,52,34
15:01,2031,Oliver Black missed Jumper.,52,34
15:01,309,Bryce Washington Defensive Rebound.,52,34
14:36,309,Marcus Stroman Turnover.,52,34
14:18,2031,Jaizec Lottie Turnover.,52,34
14:16,309,Bryce Washington Steal.,52,34
14:10,309,Bryce Washington made Layup. Assisted by Johnathan Stove.,54,34
14:10,2031,Foul on Oliver Black.,54,34
14:10,309,Bryce Washington made Free Throw.,55,34
13:44,2031,Andre Jones missed Three Point Jumper.,55,34
13:44,309,JaKeenan Gant Defensive Rebound.,55,34
13:40,309,JaKeenan Gant Turnover.,55,34
13:38,2031,Anthony Black made Jumper.,55,36
13:30,309,JaKeenan Gant Turnover.,55,36
13:30,309,Foul on JaKeenan Gant.,55,36
13:07,2031,Anthony Black made Jumper.,55,38
12:26,309,JaKeenan Gant missed Three Point Jumper.,55,38
12:26,2031,Ryan Pippins Defensive Rebound.,55,38
12:04,2031,Andre Jones missed Layup.,55,38
12:04,309,Bryce Washington Defensive Rebound.,55,38
11:56,309,Marcus Stroman Turnover.,55,38
11:52,2031,Ryan Pippins missed Three Point Jumper.,55,38
11:52,309,Marcus Stroman Block.,55,38
11:49,309,Bryce Washington Defensive Rebound.,55,38
11:28,2031,Foul on Ben Marcus.,55,38
11:28,2031,Official TV Timeout,55,38
11:28,309,Bryce Washington made Free Throw.,56,38
11:28,309,Bryce Washington made Free Throw.,57,38
11:02,2031,Jaizec Lottie Turnover.,57,38
10:54,309,Johnathan Stove missed Layup.,57,38
10:54,309,Louisiana Offensive Rebound.,57,38
10:53,2031,Foul on Damir Hadzic.,57,38
10:50,309,Justin Miller made Free Throw.,58,38
10:50,309,Justin Miller made Free Throw.,59,38
10:26,2031,Andre Jones missed Layup.,59,38
10:26,2031,Ben Marcus Offensive Rebound.,59,38
10:20,2031,Ben Marcus missed Layup.,59,38
10:20,309,Jerekius Davis Defensive Rebound.,59,38
9:55,2031,Ryan Pippins missed Layup.,59,38
9:55,309,Bryce Washington Defensive Rebound.,59,38
9:44,309,Justin Miller missed Jumper.,59,38
9:44,2031,Anthony Black Defensive Rebound.,59,38
9:37,2031,Anthony Black made Layup.,59,40
9:00,309,Cedric Russell missed Three Point Jumper.,59,40
9:00,2031,Damir Hadzic Defensive Rebound.,59,40
8:48,2031,Damir Hadzic made Jumper.,59,42
8:28,2031,Foul on Damir Hadzic.,59,42
8:15,2031,Foul on Ryan Pippins.,59,42
8:15,309,Malik Marquetti made Free Throw.,60,42
8:15,309,Malik Marquetti made Free Throw.,61,42
8:06,2031,Ryan Pippins made Layup.,61,44
8:06,309,Foul on Jerekius Davis.,61,44
8:06,2031,Ryan Pippins missed Free Throw.,61,44
8:06,309,Justin Miller Defensive Rebound.,61,44
7:46,309,Johnathan Stove missed Layup.,61,44
7:46,2031,Damir Hadzic Defensive Rebound.,61,44
7:40,309,Foul on Justin Miller.,61,44
7:40,2031,Official TV Timeout,61,44
7:29,2031,Ryan Pippins made Jumper.,61,46
7:11,309,Jerekius Davis missed Layup.,61,46
7:11,2031,Ben Marcus Defensive Rebound.,61,46
7:07,2031,Camron Reedus Turnover.,61,46
6:59,2031,Foul on Camron Reedus.,61,46
6:59,309,Johnathan Stove missed Free Throw.,61,46
6:59,2031,Ben Marcus Defensive Rebound.,61,46
6:39,2031,Damir Hadzic made Three Point Jumper. Assisted by Ryan Pippins.,61,49
6:19,309,Cedric Russell made Three Point Jumper. Assisted by Malik Marquetti.,64,49
5:59,2031,Ryan Pippins missed Jumper.,64,49
5:59,309,Cedric Russell Defensive Rebound.,64,49
5:44,309,Jerekius Davis made Layup. Assisted by Malik Marquetti.,66,49
5:23,2031,Andre Jones made Three Point Jumper. Assisted by Damir Hadzic.,66,52
5:06,309,Johnathan Stove missed Layup.,66,52
5:06,309,Justin Miller Offensive Rebound.,66,52
4:51,309,Cedric Russell made Layup. Assisted by Justin Miller.,68,52
4:28,2031,Anthony Black missed Jumper.,68,52
4:28,2031,Ben Marcus Offensive Rebound.,68,52
4:20,2031,Oliver Black made Dunk. Assisted by Anthony Black.,68,54
3:56,309,JaKeenan Gant missed Jumper.,68,54
3:56,2031,Little Rock Defensive Rebound.,68,54
3:52,2031,Official TV Timeout,68,54
3:38,2031,Ryan Pippins missed Layup.,68,54
3:38,309,JaKeenan Gant Defensive Rebound.,68,54
3:14,2031,Foul on Ryan Pippins.,68,54
3:14,309,Frank Bartley IV made Free Throw.,69,54
3:14,309,Frank Bartley IV missed Free Throw.,69,54
3:14,2031,Oliver Black Defensive Rebound.,69,54
3:07,309,Foul on Malik Marquetti.,69,54
3:07,2031,Andre Jones missed Free Throw.,69,54
3:07,2031,Little Rock Deadball Team Rebound.,69,54
3:07,2031,Andre Jones missed Free Throw.,69,54
3:07,309,Bryce Washington Defensive Rebound.,69,54
2:47,309,JaKeenan Gant made Layup.,71,54
2:21,2031,Andre Jones made Layup.,71,56
2:07,309,JaKeenan Gant Turnover.,71,56
1:53,2031,Ryan Pippins missed Jumper.,71,56
1:53,309,Bryce Washington Defensive Rebound.,71,56
1:32,309,Bryce Washington made Layup. Assisted by JaKeenan Gant.,73,56
1:24,309,Foul on Malik Marquetti.,73,56
1:24,2031,Andre Jones made Free Throw.,73,57
1:24,2031,Andre Jones made Free Throw.,73,58
0:59,309,JaKeenan Gant made Dunk. Assisted by Frank Bartley IV.,75,58
0:43,2031,Jaizec Lottie made Layup.,75,60
0:31,309,JaKeenan Gant made Dunk. Assisted by Frank Bartley IV.,77,60
0:17,2031,Anthony Black made Three Point Jumper.,77,63
0:00,2031,End of Game,77,63
