Baylor,2641,Texas Tech,239
12:19,239,Manu Lecomte made Free Throw.,31,58
12:05,2641,Norense Odiase Turnover.,31,58
11:47,239,Foul on Mark Vital.,31,58
11:47,239,Mark Vital Turnover.,31,58
11:47,2641,Official TV Timeout,31,58
11:30,2641,Niem Stevenson Turnover.,31,58
11:23,239,Foul on Tyson Jolly.,31,58
11:23,239,Tyson Jolly Turnover.,31,58
11:09,2641,Jarrett Culver Turnover.,31,58
11:09,239,Jake Lindsey Steal.,31,58
11:09,2641,Foul on Jarrett Culver.,31,58
10:56,239,Terry Maston Turnover.,31,58
10:54,2641,Niem Stevenson Steal.,31,58
10:53,2641,Niem Stevenson made Layup.,31,60
10:36,239,Mark Vital made Jumper.,33,60
10:36,2641,Foul on Justin Gray.,33,60
10:36,239,Mark Vital made Free Throw.,34,60
10:15,2641,Zhaire Smith made Dunk. Assisted by Norense Odiase.,34,62
9:57,239,Manu Lecomte missed Three Point Jumper.,34,62
9:57,239,Tyson Jolly Offensive Rebound.,34,62
9:53,239,Tyson Jolly made Dunk.,36,62
9:39,2641,Keenan Evans missed Three Point Jumper.,36,62
9:39,2641,Jarrett Culver Offensive Rebound.,36,62
9:19,2641,Keenan Evans Turnover.,36,62
9:17,239,King McClure Steal.,36,62
9:15,239,Mark Vital missed Dunk.,36,62
9:15,239,Baylor Offensive Rebound.,36,62
9:06,239,King McClure Turnover.,36,62
9:04,2641,Tommy Hamilton IV Steal.,36,62
8:58,2641,Jarrett Culver made Three Point Jumper. Assisted by Keenan Evans.,36,65
8:43,239,Baylor  Timeout,36,65
8:29,2641,Foul on Tommy Hamilton IV.,36,65
8:29,239,Tristan Clark made Free Throw.,37,65
8:29,239,Tristan Clark made Free Throw.,38,65
8:04,2641,Keenan Evans missed Three Point Jumper.,38,65
8:04,2641,Tommy Hamilton IV Offensive Rebound.,38,65
7:56,2641,Tommy Hamilton IV Turnover.,38,65
7:55,239,Nuni Omot Steal.,38,65
7:53,239,Nuni Omot Turnover.,38,65
7:53,2641,Official TV Timeout,38,65
7:40,2641,Tommy Hamilton IV missed Jumper.,38,65
7:40,239,Tristan Clark Defensive Rebound.,38,65
7:25,239,Nuni Omot made Jumper.,40,65
7:24,2641,Foul on Jarrett Culver.,40,65
7:24,239,Nuni Omot made Free Throw.,41,65
7:10,2641,Jarrett Culver missed Three Point Jumper.,41,65
7:10,239,Nuni Omot Defensive Rebound.,41,65
6:55,239,King McClure missed Jumper.,41,65
6:55,239,Baylor Offensive Rebound.,41,65
6:48,2641,Foul on Tommy Hamilton IV.,41,65
6:48,239,Tristan Clark made Free Throw.,42,65
6:48,239,Tristan Clark made Free Throw.,43,65
6:25,2641,Keenan Evans made Jumper.,43,67
6:22,2641,Texas Tech  Timeout,43,67
6:08,239,Foul on Tyson Jolly.,43,67
6:08,239,Tyson Jolly Turnover.,43,67
5:41,2641,Niem Stevenson missed Jumper.,43,67
5:41,239,Nuni Omot Defensive Rebound.,43,67
5:31,239,Manu Lecomte missed Three Point Jumper.,43,67
5:31,2641,Texas Tech Defensive Rebound.,43,67
5:12,2641,Norense Odiase Turnover.,43,67
5:11,239,King McClure Steal.,43,67
5:09,239,King McClure made Dunk.,45,67
4:44,2641,Norense Odiase Turnover.,45,67
4:30,239,Tristan Clark made Jumper.,47,67
4:12,2641,Keenan Evans made Three Point Jumper. Assisted by Niem Stevenson.,47,70
3:49,239,Jake Lindsey made Layup.,49,70
3:31,2641,Tommy Hamilton IV Turnover.,49,70
3:30,239,King McClure Steal.,49,70
3:28,2641,Official TV Timeout,49,70
3:13,239,Tristan Clark made Layup.,51,70
3:13,2641,Foul on Keenan Evans.,51,70
3:13,239,Tristan Clark missed Free Throw.,51,70
3:13,2641,Tommy Hamilton IV Defensive Rebound.,51,70
2:49,2641,Niem Stevenson missed Three Point Jumper.,51,70
2:49,2641,Tommy Hamilton IV Offensive Rebound.,51,70
2:46,239,Foul on King McClure.,51,70
2:46,2641,Tommy Hamilton IV missed Free Throw.,51,70
2:46,239,Tristan Clark Defensive Rebound.,51,70
2:37,239,King McClure missed Layup.,51,70
2:37,2641,Niem Stevenson Defensive Rebound.,51,70
2:16,239,Foul on Tristan Clark.,51,70
2:16,2641,Tommy Hamilton IV made Free Throw.,51,71
2:16,2641,Tommy Hamilton IV made Free Throw.,51,72
2:05,239,Jake Lindsey missed Jumper.,51,72
2:05,239,Nuni Omot Offensive Rebound.,51,72
2:04,239,Nuni Omot made Layup.,53,72
1:36,2641,Keenan Evans made Three Point Jumper.,53,75
1:18,239,Foul on King McClure.,53,75
1:05,2641,Zhaire Smith made Jumper.,53,77
0:47,239,Tyson Jolly missed Three Point Jumper.,53,77
0:47,2641,Brandone Francis Defensive Rebound.,53,77
0:20,2641,Davide Moretti missed Three Point Jumper.,53,77
0:20,2641,Brandone Francis Offensive Rebound.,53,77
0:00,2641,End of Game,53,77
