Navy,2352,Loyola (MD),2426
3:52,2352,Andre Walker missed Free Throw.,26,27
3:52,2426,Tyler Riemersma Defensive Rebound.,26,27
3:40,2426,Hasan Abdullah Turnover.,26,27
3:11,2352,Andre Walker missed Jumper.,26,27
3:11,2426,Mo Lewis Defensive Rebound.,26,27
3:03,2426,Hasan Abdullah Turnover.,26,27
3:02,2352,KaVaughn Scott Steal.,26,27
2:59,2352,Chuck Champion made Layup. Assisted by KaVaughn Scott.,26,29
2:25,2426,Bryce Dulin made Jumper.,28,29
2:02,2352,Chuck Champion missed Jumper.,28,29
2:02,2426,Navy Defensive Rebound.,28,29
1:37,2426,Hasan Abdullah made Three Point Jumper. Assisted by Tyler Riemersma.,31,29
1:11,2426,Foul on Mo Lewis.,31,29
1:11,2352,River Reed missed Free Throw.,31,29
1:11,2426,Tyler Riemersma Defensive Rebound.,31,29
0:39,2426,Tyler Riemersma missed Jumper.,31,29
0:39,2352,River Reed Defensive Rebound.,31,29
0:32,2426,Foul on Mo Lewis.,31,29
0:32,2352,Andre Walker made Free Throw.,31,30
0:32,2426,Navy  Timeout,31,30
0:32,2352,Andre Walker made Free Throw.,31,31
0:02,2426,Navy  Turnover.,31,31
0:00,2352,End of 1st half,31,31
19:41,2426,George Kiernan missed Three Point Jumper.,31,31
19:41,2426,Evan Wieck Offensive Rebound.,31,31
19:37,2426,Hasan Abdullah made Three Point Jumper. Assisted by Evan Wieck.,34,31
19:04,2352,Isaiah Hart made Jumper.,34,33
18:40,2426,Foul on Evan Wieck.,34,33
18:40,2426,Evan Wieck Turnover.,34,33
18:31,2352,Foul on Cam Gregory.,34,33
18:31,2352,Cam Gregory Turnover.,34,33
18:13,2426,George Kiernan missed Three Point Jumper.,34,33
18:13,2352,Loyola (MD) Defensive Rebound.,34,33
18:02,2352,Andre Walker Turnover.,34,33
17:44,2426,George Kiernan made Three Point Jumper. Assisted by Bryce Dulin.,37,33
17:43,2352,Loyola (MD)  Timeout,37,33
17:30,2352,Isaiah Hart missed Jumper.,37,33
17:30,2426,Evan Wieck Defensive Rebound.,37,33
17:10,2426,Hasan Abdullah missed Three Point Jumper.,37,33
17:10,2352,Loyola (MD) Deadball Team Rebound.,37,33
17:07,2426,Foul on George Kiernan.,37,33
16:51,2352,KaVaughn Scott missed Layup.,37,33
16:51,2352,Sam Norton Offensive Rebound.,37,33
16:43,2352,Andre Walker missed Jumper.,37,33
16:43,2352,Sam Norton Offensive Rebound.,37,33
16:33,2352,Sam Norton made Jumper.,37,35
16:04,2426,Shawn Anderson made Layup.,39,35
15:41,2352,Chuck Champion made Three Point Jumper. Assisted by Andrew Kostecka.,39,38
15:24,2426,Foul on Tyler Riemersma.,39,38
15:24,2426,Tyler Riemersma Turnover.,39,38
15:24,2352,Official TV Timeout,39,38
14:58,2352,Chuck Champion made Layup.,39,40
14:52,2426,Evan Wieck made Layup. Assisted by Hasan Abdullah.,41,40
14:52,2352,Foul on Chuck Champion.,41,40
14:52,2426,Evan Wieck made Free Throw.,42,40
14:39,2352,Andrew Kostecka missed Three Point Jumper.,42,40
14:39,2426,Hasan Abdullah Defensive Rebound.,42,40
14:30,2426,Shawn Anderson missed Layup.,42,40
14:30,2426,Evan Wieck Offensive Rebound.,42,40
14:27,2426,Evan Wieck Turnover.,42,40
14:26,2352,Andre Walker Steal.,42,40
14:25,2426,Foul on Hasan Abdullah.,42,40
14:05,2352,Andre Walker Turnover.,42,40
14:05,2426,Evan Wieck Steal.,42,40
14:05,2352,Foul on Andre Walker.,42,40
13:50,2426,Shawn Anderson made Layup.,44,40
13:28,2352,Sam Norton made Layup.,44,42
13:28,2426,Foul on Evan Wieck.,44,42
13:28,2352,Sam Norton made Free Throw.,44,43
13:10,2426,Hasan Abdullah missed Jumper.,44,43
13:10,2352,Sam Norton Defensive Rebound.,44,43
13:00,2352,Cam Gregory Turnover.,44,43
12:59,2426,Hasan Abdullah Steal.,44,43
12:54,2426,Foul on Bryce Dulin.,44,43
12:54,2426,Bryce Dulin Turnover.,44,43
12:34,2426,Foul on Tyler Riemersma.,44,43
12:34,2352,Sam Norton made Free Throw.,44,44
12:34,2352,Sam Norton made Free Throw.,44,45
12:14,2352,Foul on Isaiah Hart.,44,45
12:04,2352,Foul on River Reed.,44,45
12:04,2426,Bryce Dulin missed Free Throw.,44,45
12:04,2426,Navy Deadball Team Rebound.,44,45
12:04,2426,Bryce Dulin missed Free Throw.,44,45
12:04,2352,Andrew Kostecka Defensive Rebound.,44,45
11:52,2352,Isaiah Hart Turnover.,44,45
11:52,2352,Official TV Timeout,44,45
11:36,2426,Shawn Anderson missed Jumper.,44,45
11:36,2426,Mo Lewis Offensive Rebound.,44,45
11:35,2352,Foul on KaVaughn Scott.,44,45
11:27,2426,Shawn Anderson made Layup. Assisted by Tyler Riemersma.,46,45
11:01,2352,Cam Gregory made Layup. Assisted by Andre Walker.,46,47
10:38,2352,Foul on Andrew Kostecka.,46,47
10:38,2426,Cam Davis made Free Throw.,47,47
10:38,2426,Cam Davis missed Free Throw.,47,47
10:38,2352,Chuck Champion Defensive Rebound.,47,47
10:14,2352,Andre Walker missed Jumper.,47,47
10:14,2352,Cam Gregory Offensive Rebound.,47,47
10:11,2352,Andrew Kostecka missed Three Point Jumper.,47,47
10:11,2426,Hasan Abdullah Defensive Rebound.,47,47
9:38,2426,Shawn Anderson made Layup.,49,47
9:13,2352,Cam Gregory missed Jumper.,49,47
9:13,2426,Tyler Riemersma Defensive Rebound.,49,47
8:40,2426,Tyler Riemersma missed Three Point Jumper.,49,47
8:40,2352,Loyola (MD) Deadball Team Rebound.,49,47
8:40,2426,Navy  Turnover.,49,47
8:24,2352,Andre Walker made Layup.,49,49
8:00,2426,Cam Davis made Three Point Jumper.,52,49
7:47,2426,Foul on Ryan Pearson.,52,49
7:47,2352,Official TV Timeout,52,49
7:47,2352,Andre Walker missed Free Throw.,52,49
7:47,2352,Loyola (MD) Deadball Team Rebound.,52,49
7:47,2352,Andre Walker made Free Throw.,52,50
7:26,2426,Tyler Riemersma Turnover.,52,50
7:14,2352,Chuck Champion made Three Point Jumper. Assisted by Sam Norton.,52,53
6:49,2426,Bryce Dulin made Three Point Jumper. Assisted by Shawn Anderson.,55,53
6:38,2426,Foul on Shawn Anderson.,55,53
6:38,2352,Isaiah Hart missed Free Throw.,55,53
6:38,2352,Loyola (MD) Deadball Team Rebound.,55,53
6:38,2352,Isaiah Hart made Free Throw.,55,54
6:09,2426,Shawn Anderson missed Jumper.,55,54
6:09,2352,Andre Walker Defensive Rebound.,55,54
6:01,2352,Isaiah Hart made Layup.,55,56
5:32,2426,George Kiernan missed Three Point Jumper.,55,56
5:32,2352,Chuck Champion Defensive Rebound.,55,56
5:15,2352,Isaiah Hart made Layup.,55,58
5:09,2426,Navy  Timeout,55,58
4:55,2352,Foul on Sam Norton.,55,58
4:55,2426,Shawn Anderson missed Free Throw.,55,58
4:55,2426,Navy Deadball Team Rebound.,55,58
4:55,2426,Shawn Anderson made Free Throw.,56,58
4:29,2352,Isaiah Hart missed Jumper.,56,58
4:29,2426,Shawn Anderson Defensive Rebound.,56,58
4:08,2426,Shawn Anderson made Layup.,58,58
4:08,2352,Foul on Sam Norton.,58,58
4:08,2426,Technical Foul on Shawn Anderson.,58,58
4:08,2426,Foul on Shawn Anderson.,58,58
4:08,2352,Andre Walker made Free Throw.,58,59
4:08,2352,Andre Walker made Free Throw.,58,60
4:08,2426,Shawn Anderson made Free Throw.,59,60
3:47,2352,Andre Walker Turnover.,59,60
3:46,2426,Cam Davis Steal.,59,60
3:27,2426,Bryce Dulin missed Jumper.,59,60
3:27,2352,Isaiah Hart Defensive Rebound.,59,60
3:03,2352,Andre Walker made Layup.,59,62
3:03,2426,Foul on Bryce Dulin.,59,62
3:03,2352,Official TV Timeout,59,62
3:03,2352,Andre Walker made Free Throw.,59,63
2:37,2426,Hasan Abdullah made Layup.,61,63
2:09,2352,Andre Walker made Layup.,61,65
1:58,2426,George Kiernan missed Three Point Jumper.,61,65
1:58,2352,Loyola (MD) Defensive Rebound.,61,65
1:34,2352,Sam Norton made Layup. Assisted by Andre Walker.,61,67
1:18,2352,Foul on Isaiah Hart.,61,67
1:18,2426,Hasan Abdullah made Free Throw.,62,67
1:18,2426,Hasan Abdullah made Free Throw.,63,67
1:18,2426,Navy  Timeout,63,67
0:51,2426,Foul on Cam Davis.,63,67
0:51,2352,Isaiah Hart missed Free Throw.,63,67
0:51,2352,Loyola (MD) Deadball Team Rebound.,63,67
0:51,2352,Isaiah Hart made Free Throw.,63,68
0:38,2426,Hasan Abdullah missed Three Point Jumper.,63,68
0:38,2352,Sam Norton Defensive Rebound.,63,68
0:31,2426,Foul on Hasan Abdullah.,63,68
0:31,2352,Andre Walker made Free Throw.,63,69
0:31,2352,Andre Walker made Free Throw.,63,70
0:26,2426,Hasan Abdullah Turnover.,63,70
0:25,2352,Sam Norton Steal.,63,70
0:18,2352,Cam Gregory made Dunk. Assisted by Isaiah Hart.,63,72
0:14,2426,Bryce Dulin missed Jumper.,63,72
0:14,2352,Cam Gregory Defensive Rebound.,63,72
0:00,2352,End of Game,63,72
