Utah,2483,Oregon,254
10:30,254,Tyler Rawson made Free Throw.,46,45
10:20,2483,Troy Brown missed Jumper.,46,45
10:20,254,Tyler Rawson Defensive Rebound.,46,45
10:15,254,Foul on Kolbe Caldwell.,46,45
10:15,254,Technical Foul on Kolbe Caldwell.,46,45
10:15,2483,Foul on Troy Brown.,46,45
10:15,2483,Technical Foul on Troy Brown.,46,45
9:52,254,Sedrick Barefield made Jumper.,48,45
9:47,2483,Payton Pritchard Turnover.,48,45
9:28,254,Sedrick Barefield missed Three Point Jumper.,48,45
9:28,254,Utah Offensive Rebound.,48,45
9:14,254,Justin Bibbins made Three Point Jumper. Assisted by Tyler Rawson.,51,45
9:04,2483,Kenny Wooten Turnover.,51,45
9:04,2483,Foul on Kenny Wooten.,51,45
9:04,2483,Oregon  Timeout,51,45
8:56,2483,Foul on Mikyle McIntosh.,51,45
8:56,254,Justin Bibbins missed Free Throw.,51,45
8:56,2483,Mikyle McIntosh Defensive Rebound.,51,45
8:48,254,Foul on Jayce Johnson.,51,45
8:48,2483,Payton Pritchard made Free Throw.,51,46
8:48,2483,Payton Pritchard made Free Throw.,51,47
8:30,254,Tyler Rawson made Layup.,53,47
8:23,254,Foul on Justin Bibbins.,53,47
8:04,2483,Mikyle McIntosh made Three Point Jumper. Assisted by Elijah Brown.,53,50
7:47,254,Jayce Johnson Turnover.,53,50
7:47,254,Foul on Jayce Johnson.,53,50
7:47,2483,Official TV Timeout,53,50
7:26,2483,Payton Pritchard missed Three Point Jumper.,53,50
7:26,254,Sedrick Barefield Defensive Rebound.,53,50
6:58,254,Justin Bibbins made Layup.,55,50
6:42,2483,Roman Sorkin made Jumper.,55,52
6:14,2483,Foul on Mikyle McIntosh.,55,52
6:14,254,Sedrick Barefield made Free Throw.,56,52
6:14,254,Sedrick Barefield made Free Throw.,57,52
6:01,2483,Abu Kigab missed Three Point Jumper.,57,52
6:01,2483,Roman Sorkin Offensive Rebound.,57,52
5:45,254,Foul on Justin Bibbins.,57,52
5:45,2483,Payton Pritchard made Free Throw.,57,53
5:45,2483,Payton Pritchard missed Free Throw.,57,53
5:45,254,Tyler Rawson Defensive Rebound.,57,53
5:14,254,Justin Bibbins made Layup.,59,53
4:59,2483,Roman Sorkin Turnover.,59,53
4:59,2483,Foul on Roman Sorkin.,59,53
4:34,254,Sedrick Barefield missed Three Point Jumper.,59,53
4:34,254,David Collette Offensive Rebound.,59,53
4:04,254,Sedrick Barefield missed Three Point Jumper.,59,53
4:04,2483,Oregon Defensive Rebound.,59,53
3:52,2483,Mikyle McIntosh missed Three Point Jumper.,59,53
3:52,254,Tyler Rawson Defensive Rebound.,59,53
3:23,254,Sedrick Barefield missed Jumper.,59,53
3:23,2483,Mikyle McIntosh Defensive Rebound.,59,53
3:10,2483,Elijah Brown made Three Point Jumper. Assisted by Troy Brown.,59,56
2:38,254,David Collette made Layup. Assisted by Tyler Rawson.,61,56
2:11,2483,Troy Brown missed Three Point Jumper.,61,56
2:11,254,Utah Deadball Team Rebound.,61,56
2:09,2483,Foul on Mikyle McIntosh.,61,56
2:09,254,David Collette made Free Throw.,62,56
2:09,254,David Collette missed Free Throw.,62,56
2:09,2483,Kenny Wooten Defensive Rebound.,62,56
1:45,2483,Troy Brown Turnover.,62,56
1:43,254,Sedrick Barefield Steal.,62,56
1:18,254,Justin Bibbins missed Jumper.,62,56
1:18,2483,Kenny Wooten Block.,62,56
1:17,254,Kolbe Caldwell Offensive Rebound.,62,56
1:14,254,Kolbe Caldwell missed Jumper.,62,56
1:14,254,David Collette Offensive Rebound.,62,56
1:00,2483,Foul on Keith Smith.,62,56
1:00,254,Sedrick Barefield made Free Throw.,63,56
1:00,254,Sedrick Barefield made Free Throw.,64,56
0:55,2483,Elijah Brown missed Three Point Jumper.,64,56
0:55,254,Tyler Rawson Defensive Rebound.,64,56
0:47,2483,Foul on Kenny Wooten.,64,56
0:47,254,Sedrick Barefield made Free Throw.,65,56
0:47,254,Sedrick Barefield made Free Throw.,66,56
0:41,2483,Payton Pritchard missed Three Point Jumper.,66,56
0:41,2483,Abu Kigab Offensive Rebound.,66,56
0:34,2483,Elijah Brown missed Three Point Jumper.,66,56
0:34,254,Tyler Rawson Defensive Rebound.,66,56
0:03,254,Kolbe Caldwell missed Three Point Jumper.,66,56
0:03,2483,Elijah Brown Defensive Rebound.,66,56
0:00,2483,End of Game,66,56
