Army,104,Boston University,349
0:29,349,Army Offensive Rebound.,39,44
0:27,104,Foul on Will Goff.,39,44
0:24,349,Jordan Fox made Layup. Assisted by Thomas Funk.,41,44
0:03,104,Max Mahoney made Layup. Assisted by Javante McCoy.,41,46
0:00,104,End of 1st half,41,46
19:41,349,Jacob Kessler made Layup. Assisted by Matthew Wilson.,43,46
19:15,104,Tyler Scanlon missed Layup.,43,46
19:15,104,Walter Whyte Offensive Rebound.,43,46
19:13,349,Foul on Matthew Wilson.,43,46
19:13,104,Walter Whyte made Free Throw.,43,47
19:13,104,Walter Whyte made Free Throw.,43,48
18:57,349,Matthew Wilson made Layup. Assisted by Jordan Fox.,45,48
18:33,104,Javante McCoy missed Jumper.,45,48
18:33,349,Luke Morrison Defensive Rebound.,45,48
18:24,349,Luke Morrison made Three Point Jumper. Assisted by Thomas Funk.,48,48
18:13,104,Foul on Cedric Hankerson.,48,48
18:13,104,Cedric Hankerson Turnover.,48,48
18:03,349,Luke Morrison missed Three Point Jumper.,48,48
18:03,349,Matthew Wilson Offensive Rebound.,48,48
18:01,104,Foul on Cedric Hankerson.,48,48
17:54,349,Matthew Wilson Turnover.,48,48
17:52,104,Tyler Scanlon Steal.,48,48
17:49,104,Cedric Hankerson made Layup.,48,50
17:42,349,Thomas Funk Turnover.,48,50
17:41,104,Javante McCoy Steal.,48,50
17:39,104,Javante McCoy made Dunk.,48,52
17:25,349,Alex King missed Three Point Jumper.,48,52
17:25,104,Walter Whyte Defensive Rebound.,48,52
17:07,104,Javante McCoy missed Three Point Jumper.,48,52
17:07,349,Jacob Kessler Defensive Rebound.,48,52
16:58,104,Foul on Walter Whyte.,48,52
16:58,349,Matthew Wilson made Free Throw.,49,52
16:58,349,Matthew Wilson missed Free Throw.,49,52
16:58,104,Tyler Scanlon Defensive Rebound.,49,52
16:45,104,Will Goff missed Three Point Jumper.,49,52
16:45,349,John Emezie Defensive Rebound.,49,52
16:22,349,Jordan Fox Turnover.,49,52
16:21,104,Cedric Hankerson Steal.,49,52
16:02,104,Tyler Scanlon missed Jumper.,49,52
16:02,349,Alex King Defensive Rebound.,49,52
15:56,349,Jordan Fox missed Layup.,49,52
15:56,104,Eric Johnson Defensive Rebound.,49,52
15:47,349,Foul on Alex King.,49,52
15:47,104,Official TV Timeout,49,52
15:40,104,Cedric Hankerson missed Three Point Jumper.,49,52
15:40,104,Sukhmail Mathon Offensive Rebound.,49,52
15:21,104,Will Goff made Three Point Jumper. Assisted by Sukhmail Mathon.,49,55
14:53,349,Thomas Funk made Layup.,51,55
14:28,104,Tyler Scanlon missed Three Point Jumper.,51,55
14:28,349,Thomas Funk Defensive Rebound.,51,55
14:18,349,Thomas Funk missed Layup.,51,55
14:18,104,Boston University Defensive Rebound.,51,55
14:15,349,Foul on Luke Morrison.,51,55
13:47,104,Boston University  Turnover.,51,55
13:22,349,Alex King missed Three Point Jumper.,51,55
13:22,104,Boston University Defensive Rebound.,51,55
13:03,104,Walter Whyte made Layup. Assisted by Max Mahoney.,51,57
12:48,349,Thomas Funk missed Three Point Jumper.,51,57
12:48,104,Sukhmail Mathon Defensive Rebound.,51,57
12:39,104,Will Goff Turnover.,51,57
12:25,349,Jordan Fox missed Three Point Jumper.,51,57
12:25,104,Walter Whyte Defensive Rebound.,51,57
11:58,104,Max Mahoney missed Jumper.,51,57
11:58,349,Matthew Wilson Defensive Rebound.,51,57
11:41,349,Jordan Fox Turnover.,51,57
11:40,104,Official TV Timeout,51,57
11:18,104,Walter Whyte made Layup. Assisted by Max Mahoney.,51,59
11:17,349,Foul on Tucker Blackwell.,51,59
11:17,104,Walter Whyte missed Free Throw.,51,59
11:17,349,Luke Morrison Defensive Rebound.,51,59
10:54,349,Tucker Blackwell made Three Point Jumper. Assisted by Jordan Fox.,54,59
10:36,104,Tyler Scanlon missed Three Point Jumper.,54,59
10:36,349,Army Defensive Rebound.,54,59
10:14,349,Tucker Blackwell missed Three Point Jumper.,54,59
10:14,349,Luke Morrison Offensive Rebound.,54,59
10:04,104,Foul on Walter Whyte.,54,59
10:04,349,John Miller made Free Throw.,55,59
10:04,349,John Miller missed Free Throw.,55,59
10:04,104,Tyler Scanlon Defensive Rebound.,55,59
9:33,104,Max Mahoney missed Jumper.,55,59
9:33,349,Luke Morrison Defensive Rebound.,55,59
9:13,104,Foul on Eric Johnson.,55,59
9:13,349,Tucker Blackwell missed Free Throw.,55,59
9:13,349,Army Deadball Team Rebound.,55,59
9:13,349,Tucker Blackwell missed Free Throw.,55,59
9:13,349,Army Deadball Team Rebound.,55,59
9:13,349,Tucker Blackwell missed Free Throw.,55,59
9:13,104,Max Mahoney Defensive Rebound.,55,59
8:58,104,Max Mahoney made Layup.,55,61
8:41,104,Foul on Max Mahoney.,55,61
8:41,349,Alex King made Free Throw.,56,61
8:41,349,Alex King made Free Throw.,57,61
8:23,104,Javante McCoy missed Three Point Jumper.,57,61
8:23,349,Jordan Fox Defensive Rebound.,57,61
8:05,349,Alex King missed Jumper.,57,61
8:05,349,John Miller Offensive Rebound.,57,61
7:55,349,Alex King made Layup. Assisted by Jordan Fox.,59,61
7:54,104,Foul on Sukhmail Mathon.,59,61
7:54,104,Official TV Timeout,59,61
7:54,349,Alex King made Free Throw.,60,61
7:39,349,Foul on Alex King.,60,61
7:27,104,Will Goff missed Jumper.,60,61
7:27,104,Boston University Offensive Rebound.,60,61
7:25,349,Foul on Alex King.,60,61
7:06,104,Cedric Hankerson made Layup.,60,63
6:41,349,John Emezie Turnover.,60,63
6:40,104,Eric Johnson Steal.,60,63
6:33,349,Foul on Jordan Fox.,60,63
6:33,104,Cedric Hankerson made Free Throw.,60,64
6:33,104,Cedric Hankerson made Free Throw.,60,65
6:23,349,Thomas Funk Turnover.,60,65
6:03,104,Cedric Hankerson made Three Point Jumper. Assisted by Eric Johnson.,60,68
5:46,349,Luke Morrison missed Three Point Jumper.,60,68
5:46,104,Sukhmail Mathon Defensive Rebound.,60,68
5:24,104,Cedric Hankerson made Three Point Jumper. Assisted by Will Goff.,60,71
5:15,349,Army  Timeout,60,71
5:15,104,Official TV Timeout,60,71
5:08,349,Jordan Fox made Jumper.,62,71
4:54,104,Walter Whyte made Layup. Assisted by Sukhmail Mathon.,62,73
4:49,349,Jacob Kessler missed Three Point Jumper.,62,73
4:49,104,Cedric Hankerson Defensive Rebound.,62,73
4:30,104,Cedric Hankerson missed Three Point Jumper.,62,73
4:30,349,Jacob Kessler Defensive Rebound.,62,73
4:20,349,Jacob Kessler missed Three Point Jumper.,62,73
4:20,104,Walter Whyte Defensive Rebound.,62,73
4:02,349,Foul on Jacob Kessler.,62,73
4:02,104,Cedric Hankerson missed Free Throw.,62,73
4:02,104,Boston University Deadball Team Rebound.,62,73
4:02,104,Cedric Hankerson made Free Throw.,62,74
3:52,349,Alex King made Three Point Jumper. Assisted by Jordan Fox.,65,74
3:16,104,Cedric Hankerson made Layup.,65,76
3:05,349,Jordan Fox missed Three Point Jumper.,65,76
3:05,349,Jacob Kessler Offensive Rebound.,65,76
2:58,349,Jordan Fox missed Jumper.,65,76
2:58,104,Sukhmail Mathon Defensive Rebound.,65,76
2:27,104,Will Goff Turnover.,65,76
2:25,349,Thomas Funk Steal.,65,76
2:21,104,Foul on Walter Whyte.,65,76
2:21,104,Official TV Timeout,65,76
2:21,349,Thomas Funk missed Free Throw.,65,76
2:21,349,Army Deadball Team Rebound.,65,76
2:21,349,Thomas Funk made Free Throw.,66,76
2:01,104,Will Goff made Three Point Jumper. Assisted by Max Mahoney.,66,79
1:51,349,Alex King Turnover.,66,79
1:51,349,Foul on Alex King.,66,79
1:43,104,Will Goff missed Three Point Jumper.,66,79
1:43,349,Babacar Thiombane Defensive Rebound.,66,79
1:25,349,Luke Morrison made Three Point Jumper. Assisted by Jordan Fox.,69,79
1:14,349,Foul on Tucker Blackwell.,69,79
1:14,349,Technical Foul on Army.,69,79
1:14,104,Tyler Scanlon made Free Throw.,69,80
1:14,104,Tyler Scanlon made Free Throw.,69,81
1:14,104,Cedric Hankerson missed Free Throw.,69,81
1:14,104,Boston University Deadball Team Rebound.,69,81
1:14,104,Cedric Hankerson made Free Throw.,69,82
1:12,349,Thomas Funk made Layup.,71,82
1:07,349,Army  Timeout,71,82
1:04,349,Foul on Thomas Funk.,71,82
1:04,104,Tyler Scanlon made Free Throw.,71,83
1:04,104,Tyler Scanlon made Free Throw.,71,84
0:56,349,Thomas Funk missed Layup.,71,84
0:56,104,Max Mahoney Defensive Rebound.,71,84
0:53,349,Foul on Babacar Thiombane.,71,84
0:53,104,Max Mahoney missed Free Throw.,71,84
0:53,104,Boston University Deadball Team Rebound.,71,84
0:53,104,Max Mahoney missed Free Throw.,71,84
0:53,349,Luke Morrison Defensive Rebound.,71,84
0:46,349,Babacar Thiombane made Layup.,73,84
0:46,104,Boston University  Timeout,73,84
0:41,349,Foul on Jordan Fox.,73,84
0:41,104,Will Goff missed Free Throw.,73,84
0:41,104,Boston University Deadball Team Rebound.,73,84
0:41,104,Will Goff made Free Throw.,73,85
0:37,349,Luke Morrison made Three Point Jumper. Assisted by Jordan Fox.,76,85
0:34,104,Tyler Scanlon Turnover.,76,85
0:33,349,Jordan Fox Steal.,76,85
0:32,349,Luke Morrison missed Jumper.,76,85
0:32,104,Max Mahoney Defensive Rebound.,76,85
0:28,349,Foul on Thomas Funk.,76,85
0:28,104,Cedric Hankerson made Free Throw.,76,86
0:28,104,Cedric Hankerson made Free Throw.,76,87
0:19,349,Thomas Funk made Three Point Jumper. Assisted by Luke Morrison.,79,87
0:19,349,Army  Timeout,79,87
0:17,349,Foul on Luke Morrison.,79,87
0:17,104,Tyler Scanlon made Free Throw.,79,88
0:17,104,Tyler Scanlon made Free Throw.,79,89
0:12,349,Thomas Funk missed Jumper.,79,89
0:12,104,Tyler Scanlon Defensive Rebound.,79,89
0:09,349,Foul on Babacar Thiombane.,79,89
