UMBC,120,Maryland,2378
4:15,2378,Max Portmann Defensive Rebound.,16,17
3:53,2378,Jairus Lyles missed Jumper.,16,17
3:53,2378,Jairus Lyles Offensive Rebound.,16,17
3:49,2378,Jairus Lyles made Layup.,18,17
3:31,120,Jared Nickens missed Three Point Jumper.,18,17
3:31,2378,Max Portmann Defensive Rebound.,18,17
3:09,120,Foul on Anthony Cowan.,18,17
3:09,120,Official TV Timeout,18,17
3:02,2378,Joe Sherburne Turnover.,18,17
2:51,120,Kevin Huerter Turnover.,18,17
2:49,2378,Jourdan Grant Steal.,18,17
2:26,2378,Joe Sherburne missed Three Point Jumper.,18,17
2:26,2378,Nolan Gerrity Offensive Rebound.,18,17
2:02,2378,Jourdan Grant missed Three Point Jumper.,18,17
2:02,120,Kevin Huerter Defensive Rebound.,18,17
1:38,120,Jared Nickens missed Three Point Jumper.,18,17
1:38,120,Kevin Huerter Offensive Rebound.,18,17
1:28,120,Foul on Darryl Morsell.,18,17
1:28,120,Darryl Morsell Turnover.,18,17
1:09,2378,Jairus Lyles missed Jumper.,18,17
1:09,2378,UMBC Offensive Rebound.,18,17
1:02,2378,K.J. Maura made Three Point Jumper. Assisted by Joe Sherburne.,21,17
0:44,120,Kevin Huerter missed Three Point Jumper.,21,17
0:44,2378,Nolan Gerrity Defensive Rebound.,21,17
0:42,120,Foul on Bruno Fernando.,21,17
0:42,2378,Nolan Gerrity missed Free Throw.,21,17
0:42,120,Maryland Deadball Team Rebound.,21,17
0:24,120,Jared Nickens missed Jumper.,21,17
0:24,2378,Nolan Gerrity Defensive Rebound.,21,17
0:20,2378,Nolan Gerrity Turnover.,21,17
0:18,120,Jared Nickens Steal.,21,17
0:18,2378,Foul on Nolan Gerrity.,21,17
0:18,120,Jared Nickens missed Free Throw.,21,17
0:18,120,Maryland Deadball Team Rebound.,21,17
0:18,120,Jared Nickens made Free Throw.,21,18
0:03,2378,Jairus Lyles made Three Point Jumper. Assisted by K.J. Maura.,24,18
0:00,120,End of 1st half,24,18
19:55,2378,Jairus Lyles Turnover.,24,18
19:54,120,Anthony Cowan Steal.,24,18
19:53,120,Darryl Morsell made Layup.,24,20
19:35,2378,Arkel Lamar missed Jumper.,24,20
19:34,120,Bruno Fernando Block.,24,20
19:33,2378,UMBC Offensive Rebound.,24,20
19:10,2378,K.J. Maura Turnover.,24,20
19:10,120,Anthony Cowan Steal.,24,20
19:08,120,Darryl Morsell Turnover.,24,20
19:08,2378,Jairus Lyles Steal.,24,20
19:00,2378,Arkel Lamar missed Jumper.,24,20
19:00,2378,Jairus Lyles Offensive Rebound.,24,20
18:43,2378,Jairus Lyles made Jumper.,26,20
18:40,120,Kevin Huerter made Three Point Jumper. Assisted by Anthony Cowan.,26,23
18:27,2378,Jairus Lyles missed Jumper.,26,23
18:27,120,Ivan Bender Defensive Rebound.,26,23
18:21,120,Kevin Huerter made Three Point Jumper.,26,26
17:50,2378,Joe Sherburne made Three Point Jumper. Assisted by Jairus Lyles.,29,26
17:26,120,Bruno Fernando made Jumper. Assisted by Anthony Cowan.,29,28
17:09,2378,K.J. Maura missed Jumper.,29,28
17:08,120,Anthony Cowan Block.,29,28
17:07,120,Bruno Fernando Defensive Rebound.,29,28
16:56,2378,Foul on Jairus Lyles.,29,28
16:56,120,Darryl Morsell made Free Throw.,29,29
16:56,120,Darryl Morsell made Free Throw.,29,30
16:45,2378,Joe Sherburne missed Three Point Jumper.,29,30
16:45,120,Anthony Cowan Defensive Rebound.,29,30
16:31,120,Ivan Bender made Jumper.,29,32
16:19,2378,Arkel Lamar missed Three Point Jumper.,29,32
16:19,120,Bruno Fernando Defensive Rebound.,29,32
16:05,120,Anthony Cowan missed Jumper.,29,32
16:05,120,Bruno Fernando Offensive Rebound.,29,32
15:59,120,Kevin Huerter made Dunk. Assisted by Darryl Morsell.,29,34
15:30,2378,Joe Sherburne missed Three Point Jumper.,29,34
15:30,120,Kevin Huerter Defensive Rebound.,29,34
15:06,120,Bruno Fernando missed Jumper.,29,34
15:06,2378,Jairus Lyles Defensive Rebound.,29,34
15:06,120,Foul on Ivan Bender.,29,34
14:47,120,Foul on Bruno Fernando.,29,34
14:36,2378,Jairus Lyles made Three Point Jumper.,32,34
14:22,120,Ivan Bender Turnover.,32,34
14:02,2378,Jairus Lyles missed Jumper.,32,34
14:02,120,Anthony Cowan Defensive Rebound.,32,34
13:56,2378,Foul on Jourdan Grant.,32,34
13:56,120,Anthony Cowan made Free Throw.,32,35
13:56,120,Anthony Cowan made Free Throw.,32,36
13:30,2378,Brandon Horvath missed Three Point Jumper.,32,36
13:30,120,Jared Nickens Defensive Rebound.,32,36
13:10,120,Kevin Huerter missed Three Point Jumper.,32,36
13:10,2378,Jourdan Grant Defensive Rebound.,32,36
12:58,2378,Daniel Akin made Layup. Assisted by Jourdan Grant.,34,36
12:33,120,Dion Wiley missed Three Point Jumper.,34,36
12:33,2378,Jairus Lyles Defensive Rebound.,34,36
12:23,2378,Jairus Lyles missed Jumper.,34,36
12:23,120,Maryland Defensive Rebound.,34,36
12:13,120,Michal Cekovsky missed Dunk.,34,36
12:13,2378,Brandon Horvath Defensive Rebound.,34,36
12:07,2378,Jourdan Grant Turnover.,34,36
12:07,120,Anthony Cowan Steal.,34,36
11:40,120,Anthony Cowan made Three Point Jumper.,34,39
11:16,2378,Jairus Lyles missed Three Point Jumper.,34,39
11:16,120,Kevin Huerter Defensive Rebound.,34,39
10:52,120,Darryl Morsell missed Dunk.,34,39
10:52,2378,Arkel Lamar Block.,34,39
10:51,2378,Arkel Lamar Defensive Rebound.,34,39
10:51,120,Foul on Kevin Huerter.,34,39
10:51,120,Official TV Timeout,34,39
10:33,2378,Jourdan Grant Turnover.,34,39
10:23,120,Kevin Huerter made Three Point Jumper. Assisted by Anthony Cowan.,34,42
10:00,2378,K.J. Maura Turnover.,34,42
9:52,120,Dion Wiley missed Three Point Jumper.,34,42
9:52,120,Michal Cekovsky Offensive Rebound.,34,42
9:34,2378,Foul on Arkel Lamar.,34,42
9:34,120,Darryl Morsell made Free Throw.,34,43
9:34,120,Darryl Morsell made Free Throw.,34,44
9:08,2378,Nolan Gerrity missed Jumper.,34,44
9:08,120,Dion Wiley Defensive Rebound.,34,44
9:00,120,Anthony Cowan missed Jumper.,34,44
9:00,2378,Nolan Gerrity Block.,34,44
8:58,2378,Jairus Lyles Defensive Rebound.,34,44
8:51,2378,Jairus Lyles Turnover.,34,44
8:47,2378,Foul on Nolan Gerrity.,34,44
8:43,120,Kevin Huerter made Three Point Jumper. Assisted by Anthony Cowan.,34,47
8:32,2378,UMBC  Timeout,34,47
8:29,2378,Arkel Lamar made Jumper.,36,47
8:05,120,Anthony Cowan made Three Point Jumper. Assisted by Darryl Morsell.,36,50
7:47,2378,Jourdan Grant missed Three Point Jumper.,36,50
7:47,120,Michal Cekovsky Defensive Rebound.,36,50
7:40,120,Darryl Morsell made Dunk. Assisted by Anthony Cowan.,36,52
7:10,2378,Arkel Lamar missed Three Point Jumper.,36,52
7:10,120,Anthony Cowan Defensive Rebound.,36,52
6:44,2378,Foul on K.J. Maura.,36,52
6:44,120,Official TV Timeout,36,52
6:27,120,Anthony Cowan made Three Point Jumper.,36,55
6:15,2378,Brandon Horvath missed Three Point Jumper.,36,55
6:15,120,Michal Cekovsky Defensive Rebound.,36,55
5:56,120,Darryl Morsell missed Jumper.,36,55
5:56,120,Michal Cekovsky Offensive Rebound.,36,55
5:53,120,Michal Cekovsky missed Layup.,36,55
5:53,2378,Jairus Lyles Defensive Rebound.,36,55
5:47,2378,Jourdan Grant made Jumper. Assisted by Jairus Lyles.,38,55
5:26,120,Kevin Huerter missed Three Point Jumper.,38,55
5:26,2378,K.J. Maura Defensive Rebound.,38,55
5:09,2378,Brandon Horvath made Layup. Assisted by Jourdan Grant.,40,55
4:50,120,Darryl Morsell Turnover.,40,55
4:50,2378,Jairus Lyles Steal.,40,55
4:27,2378,Arkel Lamar missed Three Point Jumper.,40,55
4:27,120,Bruno Fernando Defensive Rebound.,40,55
4:18,120,Jared Nickens missed Three Point Jumper.,40,55
4:18,120,Bruno Fernando Offensive Rebound.,40,55
4:13,120,Bruno Fernando made Layup.,40,57
4:13,2378,Foul on Arkel Lamar.,40,57
4:13,120,Bruno Fernando missed Free Throw.,40,57
4:13,2378,Joe Sherburne Defensive Rebound.,40,57
4:02,120,Foul on Kevin Huerter.,40,57
3:59,120,Official TV Timeout,40,57
3:47,2378,Joe Sherburne missed Three Point Jumper.,40,57
3:47,2378,Arkel Lamar Offensive Rebound.,40,57
3:40,2378,K.J. Maura made Three Point Jumper. Assisted by Jairus Lyles.,43,57
3:22,2378,Foul on Arkel Lamar.,43,57
3:22,120,Bruno Fernando made Free Throw.,43,58
3:22,120,Bruno Fernando made Free Throw.,43,59
3:12,120,Foul on Bruno Fernando.,43,59
3:08,2378,Joe Sherburne missed Three Point Jumper.,43,59
3:08,120,Joshua Tomaic Defensive Rebound.,43,59
2:43,120,Anthony Cowan missed Three Point Jumper.,43,59
2:43,2378,Joe Sherburne Defensive Rebound.,43,59
2:36,2378,Jairus Lyles made Layup.,45,59
2:17,120,Jared Nickens made Three Point Jumper. Assisted by Anthony Cowan.,45,62
2:15,120,Maryland  Timeout,45,62
2:04,2378,Arkel Lamar missed Three Point Jumper.,45,62
2:04,120,Anthony Cowan Defensive Rebound.,45,62
1:50,120,Kevin Huerter Turnover.,45,62
1:34,2378,Arkel Lamar missed Three Point Jumper.,45,62
1:34,120,Anthony Cowan Defensive Rebound.,45,62
1:29,120,Anthony Cowan Turnover.,45,62
1:28,2378,K.J. Maura Steal.,45,62
1:27,2378,Jairus Lyles missed Three Point Jumper.,45,62
1:27,120,Maryland Defensive Rebound.,45,62
1:26,2378,Foul on Arkel Lamar.,45,62
1:26,120,Kevin Huerter made Free Throw.,45,63
1:26,120,Kevin Huerter made Free Throw.,45,64
1:13,2378,K.J. Maura missed Three Point Jumper.,45,64
1:13,120,Kevin Huerter Defensive Rebound.,45,64
0:52,120,Bruno Fernando made Layup.,45,66
0:42,2378,Jairus Lyles missed Three Point Jumper.,45,66
0:42,120,Bruno Fernando Defensive Rebound.,45,66
0:16,120,Darryl Morsell missed Three Point Jumper.,45,66
0:16,2378,Jairus Lyles Defensive Rebound.,45,66
0:06,2378,Jairus Lyles Turnover.,45,66
0:05,120,Kevin Huerter Steal.,45,66
0:00,120,End of Game,45,66
