Florida Memorial,Error,Florida Gulf Coast,526
9:24,-1,Travis Mitchell missed Jumper.,14,19
9:24,526,RaySean Scott Jr. Defensive Rebound.,14,19
9:16,526,Brandon Goodwin missed Jumper.,14,19
9:16,-1,Davon Williams Defensive Rebound.,14,19
9:10,-1,Omar Outar missed Three Point Jumper.,14,19
9:10,526,Zach Johnson Defensive Rebound.,14,19
8:54,526,Christian Carlyle missed Layup.,14,19
8:54,-1,Davon Williams Defensive Rebound.,14,19
8:46,-1,Travis Mitchell missed Three Point Jumper.,14,19
8:46,526,Brandon Goodwin Defensive Rebound.,14,19
8:38,526,Christian Carlyle missed Three Point Jumper.,14,19
8:38,-1,Tyrese Mapp Defensive Rebound.,14,19
8:25,526,Foul on Zach Johnson.,14,19
8:14,526,Foul on Michael Gilmore.,14,19
8:14,-1,Davon Williams missed Free Throw.,14,19
8:14,-1,Florida Memorial Deadball Team Rebound.,14,19
8:14,-1,Davon Williams made Free Throw.,15,19
8:06,-1,Foul on Davon Williams.,15,19
7:51,-1,Foul on Davon Williams.,15,19
7:51,526,Official TV Timeout,15,19
7:51,526,Dinero Mercurius made Free Throw.,15,20
7:51,526,Dinero Mercurius made Free Throw.,15,21
7:45,-1,Evens Jacques missed Three Point Jumper.,15,21
7:45,526,Ricky Doyle Defensive Rebound.,15,21
7:23,526,Ricky Doyle made Layup.,15,23
7:09,-1,Tyrese Mapp Turnover.,15,23
7:08,526,Zach Johnson Steal.,15,23
7:07,526,Darnell Rogers missed Three Point Jumper.,15,23
7:07,-1,Tyrese Mapp Defensive Rebound.,15,23
6:47,-1,Roody Romain missed Jumper.,15,23
6:47,526,Dinero Mercurius Defensive Rebound.,15,23
6:35,526,Ricky Doyle made Layup.,15,25
6:06,526,Foul on Michael Gilmore.,15,25
6:06,-1,Evens Jacques made Free Throw.,16,25
6:06,-1,Evens Jacques made Free Throw.,17,25
6:06,-1,Florida Memorial  Timeout,17,25
5:43,526,Ricky Doyle Turnover.,17,25
5:42,-1,Evens Jacques Steal.,17,25
5:32,-1,Travis Mitchell missed Three Point Jumper.,17,25
5:32,-1,Roody Romain Offensive Rebound.,17,25
5:05,-1,Evens Jacques Turnover.,17,25
5:04,526,Zach Johnson Steal.,17,25
5:00,526,Christian Terrell missed Three Point Jumper.,17,25
5:00,526,Christian Terrell Offensive Rebound.,17,25
4:55,526,Brandon Goodwin missed Three Point Jumper.,17,25
4:55,-1,Roody Romain Defensive Rebound.,17,25
4:26,-1,Roody Romain made Jumper.,19,25
4:22,526,Florida Gulf Coast  Timeout,19,25
4:04,526,Zach Johnson missed Three Point Jumper.,19,25
4:04,-1,Florida Memorial Defensive Rebound.,19,25
3:41,-1,Eric Manigault missed Jumper.,19,25
3:41,526,Brandon Goodwin Defensive Rebound.,19,25
3:34,526,Zach Johnson made Three Point Jumper. Assisted by Brandon Goodwin.,19,28
3:19,-1,Travis Mitchell missed Three Point Jumper.,19,28
3:19,-1,Roody Romain Offensive Rebound.,19,28
3:13,-1,Florida Memorial  Timeout,19,28
3:06,526,Christian Terrell made Three Point Jumper. Assisted by Zach Johnson.,19,31
2:52,-1,Omar Outar Turnover.,19,31
2:35,526,Brandon Goodwin missed Layup.,19,31
2:26,-1,Tyrese Mapp Defensive Rebound.,19,31
2:26,526,Foul on Christian Terrell.,19,31
2:25,-1,Evens Jacques made Free Throw.,20,31
2:25,-1,Evens Jacques missed Free Throw.,20,31
2:25,526,Brady Ernst Defensive Rebound.,20,31
2:06,526,Brady Ernst made Dunk. Assisted by Christian Carlyle.,20,33
1:33,-1,Travis Mitchell made Layup.,22,33
1:11,526,Zach Johnson missed Three Point Jumper.,22,33
1:11,-1,Davon Williams Defensive Rebound.,22,33
1:05,526,Foul on Antravious Simmons.,22,33
1:04,-1,Davon Williams missed Free Throw.,22,33
1:04,526,Zach Johnson Defensive Rebound.,22,33
0:47,526,Zach Johnson made Layup.,22,35
0:23,-1,Roody Romain Turnover.,22,35
0:22,526,Antravious Simmons Steal.,22,35
0:02,526,Zach Johnson made Three Point Jumper. Assisted by Brandon Goodwin.,22,38
0:00,526,End of 1st half,22,38
19:54,526,Michael Gilmore made Dunk. Assisted by Zach Johnson.,22,40
19:33,-1,Omar Outar missed Three Point Jumper.,22,40
19:33,526,Florida Gulf Coast Defensive Rebound.,22,40
19:18,526,Zach Johnson made Three Point Jumper. Assisted by Christian Carlyle.,22,43
18:59,-1,Omar Outar missed Layup.,22,43
18:59,526,Florida Gulf Coast Defensive Rebound.,22,43
18:49,526,Brandon Goodwin made Layup.,22,45
18:31,-1,Davon Williams missed Three Point Jumper.,22,45
18:31,-1,Omar Outar Offensive Rebound.,22,45
18:28,-1,Omar Outar made Jumper.,24,45
18:14,-1,Foul on Omar Outar.,24,45
18:12,-1,Foul on Omar Outar.,24,45
18:06,526,Christian Carlyle made Three Point Jumper. Assisted by Brandon Goodwin.,24,48
17:56,-1,Omar Outar missed Layup.,24,48
17:56,526,Michael Gilmore Block.,24,48
17:54,526,Michael Gilmore Defensive Rebound.,24,48
17:33,-1,Foul on Travis Mitchell.,24,48
17:30,526,Michael Gilmore made Jumper. Assisted by Zach Johnson.,24,50
17:23,526,Foul on Michael Gilmore.,24,50
17:16,-1,Davon Williams missed Jumper.,24,50
17:16,526,Michael Gilmore Block.,24,50
17:15,-1,Florida Memorial Offensive Rebound.,24,50
17:06,526,Foul on Zach Johnson.,24,50
17:06,-1,Travis Mitchell missed Free Throw.,24,50
17:06,-1,Florida Memorial Deadball Team Rebound.,24,50
17:06,-1,Travis Mitchell made Free Throw.,25,50
16:51,526,Zach Johnson made Three Point Jumper. Assisted by Ricky Doyle.,25,53
16:27,-1,Travis Mitchell made Layup.,27,53
16:13,526,Brandon Goodwin made Layup.,27,55
16:02,-1,Omar Outar missed Three Point Jumper.,27,55
16:02,526,Christian Terrell Defensive Rebound.,27,55
15:54,526,Zach Johnson missed Three Point Jumper.,27,55
15:54,526,Christian Terrell Offensive Rebound.,27,55
15:47,526,Official TV Timeout,27,55
15:37,526,Foul on Ricky Doyle.,27,55
15:37,526,Ricky Doyle Turnover.,27,55
15:02,-1,Florida Memorial  Turnover.,27,55
14:52,526,Darnell Rogers missed Three Point Jumper.,27,55
14:52,-1,Eugene Harvey Defensive Rebound.,27,55
14:42,-1,Omar Outar missed Layup.,27,55
14:42,526,Ricky Doyle Block.,27,55
14:41,-1,Florida Memorial Offensive Rebound.,27,55
14:25,526,Foul on Brady Ernst.,27,55
14:12,-1,Roody Romain missed Jumper.,27,55
14:12,-1,Eugene Harvey Offensive Rebound.,27,55
14:09,-1,Eugene Harvey missed Layup.,27,55
14:09,526,Florida Gulf Coast Defensive Rebound.,27,55
14:08,526,Christian Terrell Turnover.,27,55
14:06,-1,Tyrese Mapp Steal.,27,55
14:05,-1,Tyrese Mapp missed Layup.,27,55
14:05,-1,Travis Mitchell Offensive Rebound.,27,55
13:58,526,Foul on Darnell Rogers.,27,55
13:53,526,Foul on Brady Ernst.,27,55
13:53,-1,Roody Romain made Free Throw.,28,55
13:53,-1,Roody Romain missed Free Throw.,28,55
13:53,526,RaySean Scott Jr. Defensive Rebound.,28,55
13:38,526,Zach Johnson missed Three Point Jumper.,28,55
13:38,526,Florida Gulf Coast Offensive Rebound.,28,55
13:35,526,RaySean Scott Jr. made Layup. Assisted by Zach Johnson.,28,57
13:29,-1,Eugene Harvey missed Layup.,28,57
13:29,526,RaySean Scott Jr. Defensive Rebound.,28,57
13:21,526,Zach Johnson missed Layup.,28,57
13:21,-1,Florida Memorial Defensive Rebound.,28,57
12:53,-1,Eugene Harvey made Layup. Assisted by Tyrese Mapp.,30,57
12:36,526,Ricky Doyle missed Layup.,30,57
12:36,-1,Davon Williams Defensive Rebound.,30,57
12:27,-1,Omar Outar missed Three Point Jumper.,30,57
12:27,-1,Tyrese Mapp Offensive Rebound.,30,57
12:08,-1,Davon Williams missed Three Point Jumper.,30,57
12:08,526,Dinero Mercurius Defensive Rebound.,30,57
12:02,526,Darnell Rogers missed Three Point Jumper.,30,57
12:02,526,Florida Gulf Coast Offensive Rebound.,30,57
11:59,526,Official TV Timeout,30,57
11:54,526,Darnell Rogers missed Layup.,30,57
11:54,-1,Evens Jacques Defensive Rebound.,30,57
11:43,526,Foul on Dinero Mercurius.,30,57
11:41,-1,Evens Jacques made Free Throw.,31,57
11:41,-1,Evens Jacques missed Free Throw.,31,57
11:41,526,Christian Carlyle Defensive Rebound.,31,57
11:33,-1,Foul on Tyrese Mapp.,31,57
11:23,526,Dinero Mercurius missed Three Point Jumper.,31,57
11:23,-1,Kase Carrera Defensive Rebound.,31,57
10:54,526,Foul on RaySean Scott Jr..,31,57
10:54,-1,Kase Carrera missed Free Throw.,31,57
10:54,526,RaySean Scott Jr. Defensive Rebound.,31,57
10:37,526,Antravious Simmons Turnover.,31,57
10:36,-1,Davon Williams Steal.,31,57
10:28,526,Foul on Dinero Mercurius.,31,57
10:28,-1,Roody Romain missed Free Throw.,31,57
10:28,526,Antravious Simmons Defensive Rebound.,31,57
10:23,-1,Foul on Tyrese Mapp.,31,57
10:10,526,Christian Terrell made Layup.,31,59
9:54,-1,Travis Mitchell Turnover.,31,59
9:53,526,Darnell Rogers Steal.,31,59
9:42,526,Christian Carlyle made Layup.,31,61
9:15,-1,Roody Romain missed Jumper.,31,61
9:15,526,Christian Terrell Defensive Rebound.,31,61
9:06,526,Zach Johnson Turnover.,31,61
8:55,-1,Evens Jacques missed Jumper.,31,61
8:55,526,Zach Johnson Defensive Rebound.,31,61
8:39,526,Christian Terrell missed Three Point Jumper.,31,61
8:39,-1,Evens Jacques Defensive Rebound.,31,61
8:33,-1,Roody Romain missed Layup.,31,61
8:33,526,Michael Gilmore Block.,31,61
8:30,-1,Evens Jacques Offensive Rebound.,31,61
8:26,-1,Travis Mitchell missed Jumper.,31,61
8:26,526,Antravious Simmons Defensive Rebound.,31,61
8:18,526,Christian Terrell Turnover.,31,61
8:05,-1,Davon Williams made Jumper.,33,61
8:04,526,Foul on Antravious Simmons.,33,61
8:04,-1,Davon Williams made Free Throw.,34,61
7:50,526,Christian Terrell missed Jumper.,34,61
7:50,-1,Davon Williams Defensive Rebound.,34,61
7:37,526,Foul on Michael Gilmore.,34,61
7:37,526,Official TV Timeout,34,61
7:37,-1,Eugene Harvey made Free Throw.,35,61
7:37,-1,Eugene Harvey made Free Throw.,36,61
7:23,526,Zach Johnson missed Three Point Jumper.,36,61
7:23,526,Ricky Doyle Offensive Rebound.,36,61
7:02,526,Zach Johnson made Three Point Jumper. Assisted by Christian Terrell.,36,64
6:33,-1,Davon Williams missed Three Point Jumper.,36,64
6:33,526,Brandon Goodwin Defensive Rebound.,36,64
6:25,526,Christian Terrell Turnover.,36,64
6:14,-1,Travis Mitchell Turnover.,36,64
6:13,526,Zach Johnson Steal.,36,64
6:11,526,Brandon Goodwin made Layup. Assisted by Zach Johnson.,36,66
5:43,-1,Davon Williams made Layup.,38,66
5:31,526,Brandon Goodwin made Jumper.,38,68
5:13,-1,Travis Mitchell missed Three Point Jumper.,38,68
5:13,526,Brandon Goodwin Defensive Rebound.,38,68
5:05,526,Christian Terrell missed Three Point Jumper.,38,68
5:05,-1,Florida Memorial Defensive Rebound.,38,68
4:58,-1,Davon Williams Turnover.,38,68
4:57,526,Darnell Rogers Steal.,38,68
4:47,526,Christian Carlyle missed Three Point Jumper.,38,68
4:47,526,Ricky Doyle Offensive Rebound.,38,68
4:43,526,Ricky Doyle missed Layup.,38,68
4:43,-1,Roody Romain Defensive Rebound.,38,68
4:16,-1,Tyrese Mapp missed Three Point Jumper.,38,68
4:16,526,Darnell Rogers Defensive Rebound.,38,68
4:06,526,Dinero Mercurius made Three Point Jumper. Assisted by Darnell Rogers.,38,71
3:52,-1,Roody Romain missed Three Point Jumper.,38,71
3:52,526,Florida Gulf Coast Defensive Rebound.,38,71
3:22,526,Dinero Mercurius made Three Point Jumper. Assisted by Michael Gilmore.,38,74
3:07,-1,Roody Romain made Jumper.,40,74
2:55,526,Christian Carlyle Turnover.,40,74
2:54,-1,Tyrese Mapp Steal.,40,74
2:47,-1,Eric Manigault Turnover.,40,74
2:32,526,Christian Carlyle Turnover.,40,74
2:17,-1,Roody Romain missed Jumper.,40,74
2:17,526,Michael Gilmore Defensive Rebound.,40,74
2:09,-1,Foul on Roody Romain.,40,74
2:09,526,Christian Carlyle made Free Throw.,40,75
2:09,526,Christian Carlyle made Free Throw.,40,76
2:03,-1,Kase Carrera missed Three Point Jumper.,40,76
2:03,526,Brady Ernst Defensive Rebound.,40,76
1:44,526,Joshua Ko missed Three Point Jumper.,40,76
1:44,-1,Roody Romain Defensive Rebound.,40,76
1:27,526,Foul on Dolan Mahoney.,40,76
1:27,-1,Roody Romain missed Free Throw.,40,76
1:27,-1,Florida Memorial Deadball Team Rebound.,40,76
1:27,-1,Roody Romain missed Free Throw.,40,76
1:27,526,Brady Ernst Defensive Rebound.,40,76
1:19,526,Foul on Darnell Rogers.,40,76
1:19,526,Darnell Rogers Turnover.,40,76
1:03,-1,Eugene Harvey missed Jumper.,40,76
1:03,526,Dolan Mahoney Defensive Rebound.,40,76
0:47,526,Ryan McAdoo missed Three Point Jumper.,40,76
0:47,-1,Kase Carrera Defensive Rebound.,40,76
0:30,-1,Eric Manigault missed Three Point Jumper.,40,76
0:30,-1,Tyrese Mapp Offensive Rebound.,40,76
0:25,-1,Tyrese Mapp made Layup.,42,76
0:00,526,End of Game,42,76
