Florida A&amp;M,2050,Ball State,50
6:11,2050,Foul on Kyle Mallers.,43,64
6:11,50,Nasir Core missed Free Throw.,43,64
6:11,50,Florida A&M Deadball Team Rebound.,43,64
6:11,50,Nasir Core missed Free Throw.,43,64
6:11,2050,Sean Sellers Defensive Rebound.,43,64
5:59,2050,Trey Moses Turnover.,43,64
5:47,50,Desmond Williams made Jumper.,45,64
5:18,2050,Trey Moses made Layup.,45,66
5:17,50,Foul on Desmond Williams.,45,66
5:17,2050,Trey Moses made Free Throw.,45,67
4:52,50,Desmond Williams missed Jumper.,45,67
4:52,50,Bryce Moragne Offensive Rebound.,45,67
4:51,50,Bryce Moragne Turnover.,45,67
4:37,2050,Tahjai Teague made Dunk. Assisted by Jontrell Walker.,45,69
4:18,50,Elijah Mayes made Jumper.,47,69
4:11,2050,Trey Moses Turnover.,47,69
3:51,50,Marcus Barham made Jumper.,49,69
3:51,2050,Foul on Jontrell Walker.,49,69
3:51,2050,Official TV Timeout,49,69
3:51,50,Marcus Barham made Free Throw.,50,69
3:28,2050,Tahjai Teague missed Three Point Jumper.,50,69
3:28,50,Elijah Mayes Defensive Rebound.,50,69
3:16,50,Elijah Mayes missed Jumper.,50,69
3:16,2050,Trey Moses Defensive Rebound.,50,69
3:04,2050,Trey Moses made Layup. Assisted by Tayler Persons.,50,71
2:37,50,Marcus Barham missed Jumper.,50,71
2:37,2050,Trey Moses Defensive Rebound.,50,71
2:26,2050,Jontrell Walker missed Three Point Jumper.,50,71
2:26,2050,Trey Moses Offensive Rebound.,50,71
2:20,2050,Trey Moses missed Two Point Tip Shot.,50,71
2:20,50,Craig Bowman Defensive Rebound.,50,71
2:06,50,Desmond Williams missed Jumper.,50,71
2:06,50,Florida A&M Offensive Rebound.,50,71
2:01,50,Elijah Mayes Turnover.,50,71
1:43,2050,Jontrell Walker Turnover.,50,71
1:41,50,Desmond Williams Steal.,50,71
1:39,50,Elijah Mayes missed Jumper.,50,71
1:39,2050,Trey Moses Defensive Rebound.,50,71
1:31,2050,Tahjai Teague made Dunk. Assisted by Tayler Persons.,50,73
1:20,2050,Foul on Tayler Persons.,50,73
1:13,50,Craig Bowman missed Jumper.,50,73
1:13,50,Brendon Myles Offensive Rebound.,50,73
1:08,50,Brendon Myles made Layup.,52,73
0:55,2050,Ishmael El-Amin missed Layup.,52,73
0:55,50,Brendon Myles Defensive Rebound.,52,73
0:40,50,Elijah Mayes missed Jumper.,52,73
0:40,50,Elijah Mayes Offensive Rebound.,52,73
0:35,50,Elijah Mayes made Jumper.,54,73
0:31,50,Foul on Craig Bowman.,54,73
0:31,2050,Ishmael El-Amin made Free Throw.,54,74
0:31,2050,Ishmael El-Amin made Free Throw.,54,75
0:17,50,Brendon Myles Turnover.,54,75
0:00,2050,End of Game,54,75
