Rider,2099,Canisius,2520
15:31,2520,Tyere Marshall Defensive Rebound.,10,10
15:21,2520,Rider  Turnover.,10,10
15:14,2099,Malik Johnson made Three Point Jumper. Assisted by Isaiah Reese.,10,13
14:44,2520,Stevie Jordan missed Three Point Jumper.,10,13
14:44,2099,Takal Molson Defensive Rebound.,10,13
14:30,2099,Isaiah Reese missed Three Point Jumper.,10,13
14:30,2520,Tyere Marshall Defensive Rebound.,10,13
14:18,2520,Jordan Allen missed Three Point Jumper.,10,13
14:18,2099,Malik Johnson Defensive Rebound.,10,13
14:10,2520,Foul on Anthony Durham.,10,13
14:10,2099,Takal Molson made Free Throw.,10,14
14:10,2099,Takal Molson made Free Throw.,10,15
13:57,2520,Karamoko Cisse made Layup. Assisted by Kealen Washington-Ives.,12,15
13:38,2099,Jermaine Crumpton made Jumper.,12,17
13:25,2099,Foul on Jalanni White.,12,17
13:25,2520,Dimencio Vaughn made Free Throw.,13,17
13:25,2520,Dimencio Vaughn missed Free Throw.,13,17
13:25,2099,Jonathan Sanks Defensive Rebound.,13,17
13:13,2099,Jermaine Crumpton made Jumper.,13,19
13:13,2520,Foul on Karamoko Cisse.,13,19
13:13,2099,Jermaine Crumpton made Free Throw.,13,20
13:06,2520,Stevie Jordan missed Layup.,13,20
13:06,2099,Canisius Deadball Team Rebound.,13,20
12:54,2099,Jonathan Sanks made Three Point Jumper. Assisted by Isaiah Reese.,13,23
12:39,2520,Jordan Allen made Three Point Jumper. Assisted by Kealen Washington-Ives.,16,23
12:30,2099,Jonathan Sanks missed Three Point Jumper.,16,23
12:30,2520,Kealen Washington-Ives Defensive Rebound.,16,23
12:21,2520,Jordan Allen missed Three Point Jumper.,16,23
12:21,2520,Stevie Jordan Offensive Rebound.,16,23
12:15,2520,Stevie Jordan missed Layup.,16,23
12:15,2520,Karamoko Cisse Offensive Rebound.,16,23
12:12,2520,Rider  Turnover.,16,23
12:02,2099,Jalanni White Turnover.,16,23
11:58,2099,Foul on Spencer Foley.,16,23
11:58,2099,Official TV Timeout,16,23
11:30,2520,Kealen Washington-Ives missed Three Point Jumper.,16,23
11:30,2099,Malik Johnson Defensive Rebound.,16,23
11:11,2099,Selvedin Planincic Turnover.,16,23
10:58,2520,Frederick Scott made Layup.,18,23
10:37,2099,Takal Molson made Three Point Jumper. Assisted by Jalanni White.,18,26
10:20,2520,Karamoko Cisse made Layup. Assisted by Anthony Durham.,20,26
10:20,2099,Foul on Selvedin Planincic.,20,26
10:20,2520,Karamoko Cisse missed Free Throw.,20,26
10:20,2099,Takal Molson Defensive Rebound.,20,26
10:04,2099,Selvedin Planincic missed Three Point Jumper.,20,26
10:04,2520,Frederick Scott Defensive Rebound.,20,26
9:52,2520,Frederick Scott missed Layup.,20,26
9:52,2520,Karamoko Cisse Offensive Rebound.,20,26
9:49,2520,Karamoko Cisse made Layup.,22,26
9:29,2520,Foul on Stevie Jordan.,22,26
9:29,2099,Takal Molson made Free Throw.,22,27
9:29,2099,Takal Molson missed Free Throw.,22,27
9:29,2520,Tyere Marshall Defensive Rebound.,22,27
9:18,2520,Frederick Scott missed Layup.,22,27
9:18,2520,Frederick Scott Offensive Rebound.,22,27
9:16,2520,Frederick Scott missed Two Point Tip Shot.,22,27
9:16,2099,Canisius Defensive Rebound.,22,27
9:02,2099,Takal Molson made Three Point Jumper. Assisted by Malik Johnson.,22,30
8:37,2520,Kealen Washington-Ives missed Three Point Jumper.,22,30
8:37,2099,Jalanni White Defensive Rebound.,22,30
8:28,2099,Takal Molson made Layup. Assisted by Jermaine Crumpton.,22,32
8:04,2099,Foul on Takal Molson.,22,32
8:04,2520,Anthony Durham missed Free Throw.,22,32
8:04,2520,Rider Deadball Team Rebound.,22,32
8:04,2520,Anthony Durham made Free Throw.,23,32
7:52,2099,Malik Johnson missed Three Point Jumper.,23,32
7:52,2520,Frederick Scott Defensive Rebound.,23,32
7:44,2520,Stevie Jordan made Layup.,25,32
7:23,2099,Jermaine Crumpton missed Three Point Jumper.,25,32
7:23,2099,Isaiah Reese Offensive Rebound.,25,32
7:14,2099,Malik Johnson missed Jumper.,25,32
7:14,2520,Tyere Marshall Defensive Rebound.,25,32
7:03,2520,Tyere Marshall made Layup. Assisted by Frederick Scott.,27,32
6:44,2099,Isaiah Reese made Three Point Jumper.,27,35
6:27,2520,Stevie Jordan Turnover.,27,35
6:26,2099,Jalanni White Steal.,27,35
6:10,2099,Isaiah Reese missed Three Point Jumper.,27,35
6:10,2520,Rider Defensive Rebound.,27,35
6:09,2099,Foul on Jermaine Crumpton.,27,35
6:09,2099,Official TV Timeout,27,35
6:09,2520,Frederick Scott missed Free Throw.,27,35
6:09,2099,Takal Molson Defensive Rebound.,27,35
5:49,2099,Malik Johnson Turnover.,27,35
5:33,2520,Stevie Jordan missed Layup.,27,35
5:33,2520,Tyere Marshall Offensive Rebound.,27,35
5:27,2520,Tyere Marshall made Two Point Tip Shot.,29,35
5:13,2099,Isaiah Reese missed Jumper.,29,35
5:13,2099,Jermaine Crumpton Offensive Rebound.,29,35
5:11,2099,Jermaine Crumpton made Layup.,29,37
5:11,2520,Foul on Tyere Marshall.,29,37
5:11,2099,Jermaine Crumpton missed Free Throw.,29,37
5:11,2099,Isaiah Reese Offensive Rebound.,29,37
5:02,2099,Jermaine Crumpton missed Jumper.,29,37
5:02,2520,Stevie Jordan Defensive Rebound.,29,37
4:51,2520,Dimencio Vaughn made Layup. Assisted by Stevie Jordan.,31,37
4:32,2099,Jermaine Crumpton made Jumper. Assisted by Marcale Lotts.,31,39
4:17,2520,Jordan Allen missed Jumper.,31,39
4:17,2099,Takal Molson Defensive Rebound.,31,39
4:06,2099,Marcale Lotts made Layup. Assisted by Takal Molson.,31,41
4:02,2520,Rider  Timeout,31,41
4:02,2099,Official TV Timeout,31,41
3:49,2520,Jordan Allen Turnover.,31,41
3:42,2099,Jermaine Crumpton missed Layup.,31,41
3:42,2520,Dimencio Vaughn Defensive Rebound.,31,41
3:34,2099,Foul on Marcale Lotts.,31,41
3:34,2520,Dimencio Vaughn made Free Throw.,32,41
3:34,2520,Dimencio Vaughn made Free Throw.,33,41
3:11,2099,Marcale Lotts made Layup. Assisted by Jermaine Crumpton.,33,43
2:57,2520,Dimencio Vaughn made Three Point Jumper. Assisted by Kealen Washington-Ives.,36,43
2:31,2099,Marcale Lotts Turnover.,36,43
2:30,2520,Stevie Jordan Steal.,36,43
2:27,2520,Stevie Jordan made Layup.,38,43
2:14,2099,Isaiah Reese missed Three Point Jumper.,38,43
2:14,2520,Stevie Jordan Defensive Rebound.,38,43
2:03,2520,Dimencio Vaughn missed Jumper.,38,43
2:03,2099,Canisius Defensive Rebound.,38,43
2:01,2520,Foul on Karamoko Cisse.,38,43
2:01,2099,Jermaine Crumpton missed Free Throw.,38,43
2:01,2520,Frederick Scott Defensive Rebound.,38,43
1:47,2520,Frederick Scott Turnover.,38,43
1:23,2099,Malik Johnson made Three Point Jumper. Assisted by Isaiah Reese.,38,46
0:50,2520,Kealen Washington-Ives made Jumper.,40,46
0:33,2099,Takal Molson missed Layup.,40,46
0:33,2520,Devine Eke Block.,40,46
0:31,2099,Marcale Lotts Offensive Rebound.,40,46
0:28,2099,Jermaine Crumpton missed Three Point Jumper.,40,46
0:28,2099,Marcale Lotts Offensive Rebound.,40,46
0:26,2520,Foul on Kealen Washington-Ives.,40,46
0:26,2099,Marcale Lotts missed Free Throw.,40,46
0:26,2099,Canisius Deadball Team Rebound.,40,46
0:26,2099,Marcale Lotts missed Free Throw.,40,46
0:26,2520,Frederick Scott Defensive Rebound.,40,46
0:05,2520,Kealen Washington-Ives missed Three Point Jumper.,40,46
0:05,2099,Takal Molson Defensive Rebound.,40,46
0:00,2099,End of 1st half,40,46
19:33,2099,Isaiah Reese made Jumper.,40,48
19:13,2520,Anthony Durham made Layup. Assisted by Stevie Jordan.,42,48
18:54,2099,Selvedin Planincic Turnover.,42,48
18:42,2520,Jordan Allen missed Jumper.,42,48
18:42,2099,Selvedin Planincic Defensive Rebound.,42,48
18:24,2099,Jermaine Crumpton made Jumper.,42,50
18:04,2099,Foul on Selvedin Planincic.,42,50
18:04,2520,Tyere Marshall missed Free Throw.,42,50
18:04,2520,Rider Deadball Team Rebound.,42,50
18:04,2520,Tyere Marshall made Free Throw.,43,50
17:51,2520,Foul on Anthony Durham.,43,50
17:37,2099,Malik Johnson missed Three Point Jumper.,43,50
17:37,2099,Takal Molson Offensive Rebound.,43,50
17:32,2099,Takal Molson missed Layup.,43,50
17:32,2099,Canisius Offensive Rebound.,43,50
17:26,2099,Isaiah Reese missed Jumper.,43,50
17:26,2520,Anthony Durham Defensive Rebound.,43,50
17:12,2520,Dimencio Vaughn missed Layup.,43,50
17:12,2099,Selvedin Planincic Block.,43,50
17:09,2520,Dimencio Vaughn Offensive Rebound.,43,50
17:08,2520,Tyere Marshall made Layup.,45,50
16:52,2099,Takal Molson missed Layup.,45,50
16:52,2520,Tyere Marshall Defensive Rebound.,45,50
16:41,2520,Jordan Allen missed Three Point Jumper.,45,50
16:41,2520,Rider Offensive Rebound.,45,50
16:39,2099,Foul on Malik Johnson.,45,50
16:33,2520,Tyere Marshall made Layup. Assisted by Stevie Jordan.,47,50
16:13,2099,Jermaine Crumpton Turnover.,47,50
15:55,2520,Dimencio Vaughn Turnover.,47,50
15:55,2520,Foul on Dimencio Vaughn.,47,50
15:55,2099,Official TV Timeout,47,50
15:42,2099,Isaiah Reese made Three Point Jumper. Assisted by Malik Johnson.,47,53
15:25,2520,Jordan Allen Turnover.,47,53
15:24,2099,Isaiah Reese Steal.,47,53
15:21,2520,Foul on Stevie Jordan.,47,53
15:21,2099,Takal Molson made Free Throw.,47,54
15:21,2099,Takal Molson made Free Throw.,47,55
15:14,2520,Frederick Scott made Layup. Assisted by Stevie Jordan.,49,55
15:14,2099,Foul on Selvedin Planincic.,49,55
15:14,2520,Frederick Scott made Free Throw.,50,55
15:02,2099,Jermaine Crumpton missed Jumper.,50,55
15:02,2099,Takal Molson Offensive Rebound.,50,55
14:33,2099,Jermaine Crumpton missed Jumper.,50,55
14:33,2099,Isaiah Reese Offensive Rebound.,50,55
14:31,2099,Isaiah Reese made Layup.,50,57
14:31,2520,Foul on Frederick Scott.,50,57
14:31,2099,Isaiah Reese made Free Throw.,50,58
14:11,2520,Frederick Scott made Jumper.,52,58
13:35,2099,Malik Johnson Turnover.,52,58
13:20,2520,Frederick Scott made Three Point Jumper. Assisted by Stevie Jordan.,55,58
13:03,2099,Jalanni White missed Jumper.,55,58
13:03,2520,Frederick Scott Defensive Rebound.,55,58
12:55,2520,Tyere Marshall missed Layup.,55,58
12:55,2099,Jalanni White Block.,55,58
12:52,2520,Tyere Marshall Offensive Rebound.,55,58
12:51,2099,Foul on Jalanni White.,55,58
12:51,2520,Tyere Marshall missed Free Throw.,55,58
12:51,2520,Rider Deadball Team Rebound.,55,58
12:51,2520,Tyere Marshall made Free Throw.,56,58
12:21,2099,Canisius  Turnover.,56,58
12:09,2520,Stevie Jordan missed Three Point Jumper.,56,58
12:09,2099,Isaiah Reese Defensive Rebound.,56,58
11:47,2099,Jermaine Crumpton Turnover.,56,58
11:46,2520,Dimencio Vaughn Steal.,56,58
11:43,2520,Dimencio Vaughn made Layup. Assisted by Stevie Jordan.,58,58
11:39,2099,Canisius  Timeout,58,58
11:39,2099,Official TV Timeout,58,58
11:17,2099,Isaiah Reese Turnover.,58,58
11:16,2520,Dimencio Vaughn Steal.,58,58
11:13,2520,Stevie Jordan made Layup. Assisted by Dimencio Vaughn.,60,58
10:54,2099,Isaiah Reese Turnover.,60,58
10:53,2520,Anthony Durham Steal.,60,58
10:51,2520,Stevie Jordan made Layup. Assisted by Frederick Scott.,62,58
10:34,2099,Isaiah Reese missed Three Point Jumper.,62,58
10:34,2520,Tyere Marshall Defensive Rebound.,62,58
10:14,2520,Stevie Jordan missed Layup.,62,58
10:14,2520,Frederick Scott Offensive Rebound.,62,58
10:11,2520,Frederick Scott made Dunk.,64,58
10:11,2099,Canisius  Timeout,64,58
10:11,2099,Official TV Timeout,64,58
9:51,2099,Jonathan Sanks made Jumper. Assisted by Malik Johnson.,64,60
9:31,2520,Tyere Marshall Turnover.,64,60
9:13,2099,Isaiah Reese missed Three Point Jumper.,64,60
9:13,2099,Marcale Lotts Offensive Rebound.,64,60
9:03,2099,Jermaine Crumpton made Layup. Assisted by Isaiah Reese.,64,62
8:42,2520,Frederick Scott made Jumper.,66,62
8:18,2099,Jermaine Crumpton missed Jumper.,66,62
8:18,2520,Stevie Jordan Defensive Rebound.,66,62
8:09,2099,Foul on Isaiah Reese.,66,62
8:09,2520,Frederick Scott missed Free Throw.,66,62
8:09,2520,Rider Deadball Team Rebound.,66,62
8:09,2520,Frederick Scott made Free Throw.,67,62
7:56,2099,Jonathan Sanks made Three Point Jumper. Assisted by Malik Johnson.,67,65
7:41,2520,Kealen Washington-Ives Turnover.,67,65
7:40,2099,Malik Johnson Steal.,67,65
7:18,2099,Jermaine Crumpton missed Three Point Jumper.,67,65
7:18,2520,Tyere Marshall Defensive Rebound.,67,65
7:08,2099,Foul on Jonathan Sanks.,67,65
7:08,2099,Official TV Timeout,67,65
7:08,2520,Frederick Scott missed Free Throw.,67,65
7:08,2520,Rider Deadball Team Rebound.,67,65
7:08,2520,Frederick Scott made Free Throw.,68,65
6:45,2099,Takal Molson missed Layup.,68,65
6:45,2520,Frederick Scott Defensive Rebound.,68,65
6:42,2099,Foul on Takal Molson.,68,65
6:42,2520,Frederick Scott missed Free Throw.,68,65
6:42,2099,Isaiah Reese Defensive Rebound.,68,65
6:29,2099,Jonathan Sanks made Three Point Jumper. Assisted by Isaiah Reese.,68,68
6:00,2099,Foul on Malik Johnson.,68,68
6:00,2520,Tyere Marshall missed Free Throw.,68,68
6:00,2520,Rider Deadball Team Rebound.,68,68
6:00,2520,Tyere Marshall made Free Throw.,69,68
5:51,2099,Takal Molson made Layup. Assisted by Isaiah Reese.,69,70
5:31,2520,Stevie Jordan made Jumper.,71,70
5:30,2520,Rider  Timeout,71,70
5:15,2099,Isaiah Reese missed Three Point Jumper.,71,70
5:15,2520,Frederick Scott Defensive Rebound.,71,70
5:11,2520,Frederick Scott Turnover.,71,70
5:10,2099,Isaiah Reese Steal.,71,70
4:55,2099,Isaiah Reese missed Layup.,71,70
4:55,2520,Anthony Durham Block.,71,70
4:55,2099,Canisius Offensive Rebound.,71,70
4:41,2520,Foul on Tyere Marshall.,71,70
4:41,2099,Takal Molson missed Free Throw.,71,70
4:41,2099,Canisius Deadball Team Rebound.,71,70
4:41,2099,Takal Molson made Free Throw.,71,71
4:25,2099,Foul on Takal Molson.,71,71
4:25,2520,Frederick Scott missed Free Throw.,71,71
4:25,2099,Canisius Defensive Rebound.,71,71
4:25,2520,Foul on Dimencio Vaughn.,71,71
4:00,2520,Foul on Anthony Durham.,71,71
4:00,2099,Official TV Timeout,71,71
4:00,2099,Isaiah Reese made Free Throw.,71,72
4:00,2099,Isaiah Reese made Free Throw.,71,73
3:49,2520,Dimencio Vaughn missed Jumper.,71,73
3:49,2520,Dimencio Vaughn Offensive Rebound.,71,73
3:46,2520,Dimencio Vaughn missed Two Point Tip Shot.,71,73
3:46,2099,Marcale Lotts Defensive Rebound.,71,73
3:20,2099,Jermaine Crumpton missed Layup.,71,73
3:20,2099,Takal Molson Offensive Rebound.,71,73
3:17,2099,Takal Molson missed Two Point Tip Shot.,71,73
3:17,2520,Karamoko Cisse Defensive Rebound.,71,73
3:00,2520,Stevie Jordan missed Three Point Jumper.,71,73
3:00,2520,Frederick Scott Offensive Rebound.,71,73
2:56,2520,Frederick Scott missed Layup.,71,73
2:56,2099,Takal Molson Block.,71,73
2:54,2099,Takal Molson Defensive Rebound.,71,73
2:30,2099,Isaiah Reese missed Three Point Jumper.,71,73
2:30,2520,Dimencio Vaughn Defensive Rebound.,71,73
2:07,2099,Foul on Jermaine Crumpton.,71,73
2:07,2520,Frederick Scott made Free Throw.,72,73
2:07,2520,Frederick Scott made Free Throw.,73,73
1:46,2099,Malik Johnson missed Jumper.,73,73
1:46,2099,Takal Molson Offensive Rebound.,73,73
1:43,2099,Takal Molson missed Two Point Tip Shot.,73,73
1:43,2520,Tyere Marshall Defensive Rebound.,73,73
1:38,2520,Stevie Jordan missed Layup.,73,73
1:38,2520,Frederick Scott Offensive Rebound.,73,73
1:35,2520,Frederick Scott missed Two Point Tip Shot.,73,73
1:35,2520,Frederick Scott Offensive Rebound.,73,73
1:34,2099,Foul on Isaiah Reese.,73,73
1:34,2520,Frederick Scott made Free Throw.,74,73
1:34,2520,Frederick Scott missed Free Throw.,74,73
1:34,2099,Jonathan Sanks Defensive Rebound.,74,73
1:23,2099,Jermaine Crumpton made Layup. Assisted by Takal Molson.,74,75
1:23,2520,Foul on Tyere Marshall.,74,75
1:23,2099,Jermaine Crumpton made Free Throw.,74,76
1:06,2099,Foul on Jonathan Sanks.,74,76
1:06,2520,Dimencio Vaughn made Free Throw.,75,76
1:06,2520,Dimencio Vaughn made Free Throw.,76,76
0:39,2520,Foul on Frederick Scott.,76,76
0:39,2099,Jonathan Sanks made Free Throw.,76,77
0:39,2099,Jonathan Sanks missed Free Throw.,76,77
0:39,2099,Jermaine Crumpton Offensive Rebound.,76,77
0:19,2099,Jermaine Crumpton missed Three Point Jumper.,76,77
0:19,2520,Dimencio Vaughn Defensive Rebound.,76,77
0:02,2520,Rider  Timeout,76,77
0:02,2099,Canisius  Timeout,76,77
0:01,2520,Anthony Durham missed Jumper.,76,77
0:01,2099,Canisius Deadball Team Rebound.,76,77
0:00,2099,End of Game,76,77
