Kansas,251,Texas,2305
15:36,251,Mohamed Bamba made Free Throw.,9,11
15:30,2305,Devonte' Graham made Three Point Jumper.,12,11
15:02,251,Kerwin Roach II missed Three Point Jumper.,12,11
15:02,251,Texas Offensive Rebound.,12,11
14:55,251,Andrew Jones missed Jumper.,12,11
14:55,2305,Malik Newman Defensive Rebound.,12,11
14:39,2305,Udoka Azubuike made Layup.,14,11
14:27,251,Mohamed Bamba made Dunk. Assisted by Andrew Jones.,14,13
14:08,251,Foul on Andrew Jones.,14,13
14:03,2305,Devonte' Graham missed Jumper.,14,13
14:03,251,Eric Davis Jr. Defensive Rebound.,14,13
13:36,251,Kerwin Roach II made Jumper.,14,15
13:13,2305,Malik Newman made Jumper.,16,15
12:55,251,Dylan Osetkowski missed Jumper.,16,15
12:55,251,Jericho Sims Offensive Rebound.,16,15
12:41,251,Matt Coleman missed Three Point Jumper.,16,15
12:41,2305,Udoka Azubuike Defensive Rebound.,16,15
12:26,2305,Devonte' Graham Turnover.,16,15
12:26,251,Matt Coleman Steal.,16,15
12:26,251,Matt Coleman Turnover.,16,15
12:26,2305,Marcus Garrett Steal.,16,15
12:26,2305,Marcus Garrett Turnover.,16,15
12:16,251,Dylan Osetkowski made Layup.,16,17
11:56,2305,Malik Newman missed Jumper.,16,17
11:56,2305,Malik Newman Offensive Rebound.,16,17
11:52,2305,Lagerald Vick missed Three Point Jumper.,16,17
11:52,2305,Udoka Azubuike Offensive Rebound.,16,17
11:38,2305,Lagerald Vick missed Jumper.,16,17
11:38,2305,Lagerald Vick Offensive Rebound.,16,17
11:35,2305,Lagerald Vick made Layup.,18,17
11:11,251,Eric Davis Jr. missed Three Point Jumper.,18,17
11:11,2305,Lagerald Vick Defensive Rebound.,18,17
11:02,2305,Udoka Azubuike missed Layup.,18,17
11:01,2305,Udoka Azubuike Offensive Rebound.,18,17
11:00,2305,Udoka Azubuike made Layup.,20,17
10:58,251,Texas  Timeout,20,17
10:58,251,Official TV Timeout,20,17
10:45,251,Matt Coleman missed Jumper.,20,17
10:45,2305,Marcus Garrett Defensive Rebound.,20,17
10:20,2305,Marcus Garrett made Layup.,22,17
9:58,251,Kerwin Roach II Turnover.,22,17
9:35,251,Foul on Kerwin Roach II.,22,17
9:29,251,Foul on Eric Davis Jr..,22,17
9:29,2305,Sviatoslav Mykhailiuk made Free Throw.,23,17
9:29,2305,Sviatoslav Mykhailiuk made Free Throw.,24,17
9:29,2305,Sviatoslav Mykhailiuk made Free Throw.,25,17
9:08,251,Matt Coleman made Three Point Jumper. Assisted by Kerwin Roach II.,25,20
8:48,251,Foul on Mohamed Bamba.,25,20
8:44,2305,Lagerald Vick missed Three Point Jumper.,25,20
8:44,251,Kerwin Roach II Defensive Rebound.,25,20
8:34,251,Jump Ball won by Texas,25,20
8:32,251,Mohamed Bamba made Three Point Jumper.,25,23
8:16,2305,Malik Newman missed Jumper.,25,23
8:16,251,Mohamed Bamba Block.,25,23
8:16,251,Kerwin Roach II Defensive Rebound.,25,23
8:07,2305,Foul on Udoka Azubuike.,25,23
8:07,251,Andrew Jones made Free Throw.,25,24
8:07,251,Andrew Jones made Free Throw.,25,25
7:53,2305,Devonte' Graham made Three Point Jumper. Assisted by Sviatoslav Mykhailiuk.,28,25
7:39,251,Mohamed Bamba missed Layup.,28,25
7:39,251,Mohamed Bamba Offensive Rebound.,28,25
7:36,251,Mohamed Bamba missed Layup.,28,25
7:36,251,Mohamed Bamba Offensive Rebound.,28,25
7:35,2305,Foul on Marcus Garrett.,28,25
7:35,251,Official TV Timeout,28,25
7:35,251,Mohamed Bamba missed Free Throw.,28,25
7:35,251,Texas Deadball Team Rebound.,28,25
7:35,251,Mohamed Bamba missed Free Throw.,28,25
7:35,251,Dylan Osetkowski Offensive Rebound.,28,25
7:34,251,Dylan Osetkowski missed Layup.,28,25
7:34,2305,Lagerald Vick Block.,28,25
7:34,251,Jacob Young Offensive Rebound.,28,25
7:28,251,Kerwin Roach II missed Three Point Jumper.,28,25
7:28,2305,Marcus Garrett Defensive Rebound.,28,25
7:02,2305,Marcus Garrett missed Jumper.,28,25
7:02,251,Jacob Young Defensive Rebound.,28,25
6:48,251,Jacob Young Turnover.,28,25
6:42,2305,Lagerald Vick Turnover.,28,25
6:27,251,Andrew Jones Turnover.,28,25
6:27,2305,Sviatoslav Mykhailiuk Steal.,28,25
6:23,2305,Sviatoslav Mykhailiuk missed Layup.,28,25
6:23,2305,Sviatoslav Mykhailiuk Offensive Rebound.,28,25
6:17,2305,Sviatoslav Mykhailiuk missed Layup.,28,25
6:17,251,Mohamed Bamba Defensive Rebound.,28,25
5:49,251,Texas  Turnover.,28,25
5:38,2305,Lagerald Vick missed Jumper.,28,25
5:38,251,Mohamed Bamba Block.,28,25
5:38,251,Kerwin Roach II Defensive Rebound.,28,25
5:28,2305,Foul on Lagerald Vick.,28,25
5:28,251,Kerwin Roach II made Free Throw.,28,26
5:28,251,Kerwin Roach II missed Free Throw.,28,26
5:28,2305,Udoka Azubuike Defensive Rebound.,28,26
5:06,2305,Udoka Azubuike missed Jumper.,28,26
5:06,251,Mohamed Bamba Block.,28,26
5:06,251,Matt Coleman Defensive Rebound.,28,26
4:55,251,Matt Coleman made Layup.,28,28
4:50,2305,Kansas  Timeout,28,28
4:34,2305,Malik Newman Turnover.,28,28
4:34,251,Eric Davis Jr. Steal.,28,28
4:29,251,Eric Davis Jr. missed Layup.,28,28
4:29,251,Kerwin Roach II Offensive Rebound.,28,28
4:29,251,Kerwin Roach II made Two Point Tip Shot.,28,30
4:05,2305,Udoka Azubuike made Dunk. Assisted by Sviatoslav Mykhailiuk.,30,30
3:40,251,Kerwin Roach II made Layup.,30,32
3:24,2305,Sviatoslav Mykhailiuk made Jumper.,32,32
3:03,251,Mohamed Bamba made Layup. Assisted by Matt Coleman.,32,34
2:49,2305,Devonte' Graham missed Three Point Jumper.,32,34
2:49,251,Dylan Osetkowski Defensive Rebound.,32,34
2:38,251,Dylan Osetkowski missed Three Point Jumper.,32,34
2:38,2305,Malik Newman Defensive Rebound.,32,34
2:31,2305,Malik Newman made Layup.,34,34
2:00,251,Kerwin Roach II missed Three Point Jumper.,34,34
2:00,2305,Sviatoslav Mykhailiuk Defensive Rebound.,34,34
1:41,2305,Udoka Azubuike Turnover.,34,34
1:41,251,Official TV Timeout,34,34
1:26,251,Matt Coleman Turnover.,34,34
1:26,2305,Mitch Lightfoot Steal.,34,34
1:02,2305,Devonte' Graham made Three Point Jumper.,37,34
0:55,251,Dylan Osetkowski missed Layup.,37,34
0:55,2305,Mitch Lightfoot Block.,37,34
0:55,2305,Mitch Lightfoot Defensive Rebound.,37,34
0:50,2305,Devonte' Graham missed Three Point Jumper.,37,34
0:50,251,Mohamed Bamba Defensive Rebound.,37,34
0:27,251,Dylan Osetkowski missed Jumper.,37,34
0:27,251,Mohamed Bamba Offensive Rebound.,37,34
0:27,251,Mohamed Bamba missed Layup.,37,34
0:27,2305,Malik Newman Defensive Rebound.,37,34
0:02,2305,Devonte' Graham missed Three Point Jumper.,37,34
0:02,2305,Kansas Deadball Team Rebound.,37,34
0:00,251,End of 1st half,37,34
20:00,251,Jump Ball won by Texas,37,34
19:40,251,Mohamed Bamba missed Jumper.,37,34
19:40,2305,Devonte' Graham Defensive Rebound.,37,34
19:22,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,37,34
19:22,2305,Udoka Azubuike Offensive Rebound.,37,34
19:16,2305,Lagerald Vick made Three Point Jumper. Assisted by Devonte' Graham.,40,34
18:55,251,Matt Coleman made Three Point Jumper. Assisted by Dylan Osetkowski.,40,37
18:39,2305,Udoka Azubuike made Dunk. Assisted by Devonte' Graham.,42,37
18:32,2305,Foul on Udoka Azubuike.,42,37
18:12,251,Dylan Osetkowski Turnover.,42,37
18:12,2305,Marcus Garrett Steal.,42,37
18:12,2305,Sviatoslav Mykhailiuk missed Jumper.,42,37
18:12,251,Mohamed Bamba Block.,42,37
18:12,251,Mohamed Bamba Defensive Rebound.,42,37
17:55,251,Dylan Osetkowski made Layup.,42,39
17:35,2305,Udoka Azubuike made Layup.,44,39
17:35,251,Foul on Mohamed Bamba.,44,39
17:35,2305,Udoka Azubuike made Free Throw.,45,39
17:25,251,Dylan Osetkowski missed Three Point Jumper.,45,39
17:24,251,Matt Coleman Offensive Rebound.,45,39
17:12,251,Mohamed Bamba made Dunk. Assisted by Matt Coleman.,45,41
17:04,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Lagerald Vick.,48,41
16:36,251,Kerwin Roach II missed Three Point Jumper.,48,41
16:35,2305,Kansas Defensive Rebound.,48,41
16:28,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Devonte' Graham.,51,41
16:17,251,Texas  Timeout,51,41
16:07,251,Matt Coleman made Jumper.,51,43
15:46,2305,Udoka Azubuike made Jumper.,53,43
15:40,251,Jacob Young missed Three Point Jumper.,53,43
15:40,2305,Lagerald Vick Defensive Rebound.,53,43
15:27,2305,Lagerald Vick made Three Point Jumper.,56,43
15:14,251,Official TV Timeout,56,43
15:01,251,Matt Coleman made Three Point Jumper. Assisted by Kerwin Roach II.,56,46
14:46,2305,Sviatoslav Mykhailiuk made Three Point Jumper.,59,46
14:24,251,Andrew Jones made Three Point Jumper.,59,49
13:58,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,59,49
13:58,251,Dylan Osetkowski Defensive Rebound.,59,49
13:50,251,Matt Coleman missed Layup.,59,49
13:50,2305,Devonte' Graham Defensive Rebound.,59,49
13:44,2305,Lagerald Vick missed Jumper.,59,49
13:44,2305,Marcus Garrett Offensive Rebound.,59,49
13:38,2305,Devonte' Graham made Three Point Jumper. Assisted by Marcus Garrett.,62,49
13:20,251,Andrew Jones missed Three Point Jumper.,62,49
13:20,2305,Sviatoslav Mykhailiuk Defensive Rebound.,62,49
12:58,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,62,49
12:58,251,Kerwin Roach II Defensive Rebound.,62,49
12:47,251,Dylan Osetkowski made Jumper. Assisted by Kerwin Roach II.,62,51
12:28,2305,Lagerald Vick made Dunk. Assisted by Devonte' Graham.,64,51
12:06,251,Kerwin Roach II made Jumper.,64,53
11:48,2305,Malik Newman missed Three Point Jumper.,64,53
11:48,251,Mohamed Bamba Defensive Rebound.,64,53
11:38,251,Dylan Osetkowski made Layup. Assisted by Matt Coleman.,64,55
11:21,2305,Malik Newman made Three Point Jumper. Assisted by Lagerald Vick.,67,55
11:10,251,Eric Davis Jr. missed Three Point Jumper.,67,55
11:10,251,Dylan Osetkowski Offensive Rebound.,67,55
11:06,251,Dylan Osetkowski made Layup.,67,57
11:06,2305,Foul on Sviatoslav Mykhailiuk.,67,57
11:06,251,Official TV Timeout,67,57
11:06,251,Dylan Osetkowski made Free Throw.,67,58
11:03,2305,Malik Newman Turnover.,67,58
11:03,251,Kerwin Roach II Steal.,67,58
10:59,2305,Foul on Devonte' Graham.,67,58
10:59,251,Dylan Osetkowski made Free Throw.,67,59
10:59,251,Dylan Osetkowski missed Free Throw.,67,59
10:59,2305,Udoka Azubuike Defensive Rebound.,67,59
10:35,2305,Udoka Azubuike missed Jumper.,67,59
10:35,251,Mohamed Bamba Block.,67,59
10:35,251,Matt Coleman Defensive Rebound.,67,59
10:06,251,Matt Coleman missed Layup.,67,59
10:06,251,Mohamed Bamba Offensive Rebound.,67,59
10:06,251,Mohamed Bamba made Dunk.,67,61
9:48,2305,Devonte' Graham made Three Point Jumper.,70,61
9:38,2305,Foul on Sviatoslav Mykhailiuk.,70,61
9:38,251,Kerwin Roach II made Free Throw.,70,62
9:38,251,Kerwin Roach II made Free Throw.,70,63
9:34,251,Foul on Matt Coleman.,70,63
9:33,2305,Lagerald Vick made Layup. Assisted by Devonte' Graham.,72,63
9:12,251,Eric Davis Jr. missed Layup.,72,63
9:12,251,Mohamed Bamba Offensive Rebound.,72,63
9:07,251,Mohamed Bamba missed Jumper.,72,63
9:07,251,Mohamed Bamba made Free Throw.,72,64
9:07,2305,Marcus Garrett Block.,72,63
9:07,251,Mohamed Bamba Offensive Rebound.,72,63
9:07,2305,Foul on Malik Newman.,72,63
9:07,251,Mohamed Bamba made Free Throw.,72,65
9:02,2305,Malik Newman missed Three Point Jumper.,72,65
9:02,251,Eric Davis Jr. Defensive Rebound.,72,65
8:49,2305,Foul on Sviatoslav Mykhailiuk.,72,65
8:48,251,Dylan Osetkowski missed Jumper.,72,65
8:48,2305,Devonte' Graham Defensive Rebound.,72,65
8:33,2305,Sviatoslav Mykhailiuk missed Jumper.,72,65
8:33,251,Mohamed Bamba Block.,72,65
8:33,251,Mohamed Bamba Defensive Rebound.,72,65
8:05,251,Kerwin Roach II missed Three Point Jumper.,72,65
8:05,2305,Udoka Azubuike Defensive Rebound.,72,65
7:38,251,Foul on Kerwin Roach II.,72,65
7:38,251,Official TV Timeout,72,65
7:28,2305,Devonte' Graham missed Three Point Jumper.,72,65
7:28,251,Texas Deadball Team Rebound.,72,65
7:25,2305,Foul on Udoka Azubuike.,72,65
7:25,251,Eric Davis Jr. made Free Throw.,72,66
7:25,251,Eric Davis Jr. made Free Throw.,72,67
7:03,2305,Sviatoslav Mykhailiuk missed Jumper.,72,67
7:03,2305,Udoka Azubuike Offensive Rebound.,72,67
6:59,2305,Lagerald Vick made Three Point Jumper. Assisted by Udoka Azubuike.,75,67
6:38,251,Eric Davis Jr. missed Three Point Jumper.,75,67
6:38,2305,Udoka Azubuike Defensive Rebound.,75,67
6:22,2305,Lagerald Vick missed Three Point Jumper.,75,67
6:22,251,Kerwin Roach II Defensive Rebound.,75,67
6:14,2305,Foul on Lagerald Vick.,75,67
6:14,251,Eric Davis Jr. made Free Throw.,75,68
6:14,251,Eric Davis Jr. made Free Throw.,75,69
5:52,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Devonte' Graham.,78,69
5:18,251,Matt Coleman missed Three Point Jumper.,78,69
5:18,2305,Devonte' Graham Defensive Rebound.,78,69
4:54,251,Foul on Matt Coleman.,78,69
4:46,251,Foul on Mohamed Bamba.,78,69
4:46,2305,Devonte' Graham made Free Throw.,79,69
4:46,2305,Devonte' Graham missed Free Throw.,79,69
4:46,251,Kerwin Roach II Defensive Rebound.,79,69
4:38,251,Mohamed Bamba missed Layup.,79,69
4:38,2305,Udoka Azubuike Defensive Rebound.,79,69
4:18,2305,Sviatoslav Mykhailiuk Turnover.,79,69
4:18,251,Mohamed Bamba Steal.,79,69
3:55,251,Matt Coleman Turnover.,79,69
3:50,2305,Malik Newman made Dunk. Assisted by Devonte' Graham.,81,69
3:43,251,Technical Foul on Texas.,81,69
3:43,251,Foul on Texas.,81,69
3:43,251,Official TV Timeout,81,69
3:43,2305,Devonte' Graham made Free Throw.,82,69
3:43,251,Texas  Turnover.,81,69
3:43,251,Official TV Timeout,81,69
3:43,2305,Devonte' Graham made Free Throw.,83,69
3:31,251,Eric Davis Jr. missed Three Point Jumper.,83,69
3:31,251,Dylan Osetkowski Offensive Rebound.,83,69
3:27,251,Dylan Osetkowski made Layup.,83,71
3:27,2305,Foul on Lagerald Vick.,83,71
3:27,251,Dylan Osetkowski made Free Throw.,83,72
3:02,2305,Malik Newman missed Jumper.,83,72
3:02,251,Mohamed Bamba Block.,83,72
3:02,2305,Kansas Offensive Rebound.,83,72
2:59,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Devonte' Graham.,86,72
2:45,251,Eric Davis Jr. made Three Point Jumper. Assisted by Matt Coleman.,86,75
2:07,2305,Devonte' Graham missed Layup.,86,75
2:07,251,Texas Defensive Rebound.,86,75
1:45,251,Eric Davis Jr. made Three Point Jumper. Assisted by Kerwin Roach II.,86,78
1:22,2305,Malik Newman missed Three Point Jumper.,86,78
1:22,251,Matt Coleman Defensive Rebound.,86,78
1:11,251,Eric Davis Jr. missed Three Point Jumper.,86,78
1:11,2305,Malik Newman Defensive Rebound.,86,78
0:42,2305,Devonte' Graham missed Three Point Jumper.,86,78
0:42,251,Eric Davis Jr. Defensive Rebound.,86,78
0:38,2305,Foul on Sviatoslav Mykhailiuk.,86,78
0:38,251,Eric Davis Jr. made Free Throw.,86,79
0:38,251,Eric Davis Jr. made Free Throw.,86,80
0:31,251,Foul on Mohamed Bamba.,86,80
0:31,2305,Malik Newman missed Free Throw.,86,80
0:31,251,Mohamed Bamba Defensive Rebound.,86,80
0:27,251,Matt Coleman missed Jumper.,86,80
0:27,251,Matt Coleman Offensive Rebound.,86,80
0:27,251,Matt Coleman made Two Point Tip Shot.,86,82
0:23,251,Texas  Timeout,86,82
0:22,251,Foul on Eric Davis Jr..,86,82
0:22,2305,Malik Newman made Free Throw.,87,82
0:22,2305,Malik Newman made Free Throw.,88,82
0:20,251,Matt Coleman missed Jumper.,88,82
0:20,2305,Kansas Defensive Rebound.,88,82
0:17,251,Foul on Eric Davis Jr..,88,82
0:17,2305,Malik Newman made Free Throw.,89,82
0:17,2305,Malik Newman made Free Throw.,90,82
0:11,251,Eric Davis Jr. missed Three Point Jumper.,90,82
0:11,251,Dylan Osetkowski Offensive Rebound.,90,82
0:08,251,Dylan Osetkowski made Layup.,90,84
0:05,251,Foul on Eric Davis Jr..,90,84
0:05,2305,Devonte' Graham made Free Throw.,91,84
0:05,2305,Devonte' Graham made Free Throw.,92,84
0:02,251,Matt Coleman made Layup.,92,86
0:00,251,End of Game,92,86
