West Virginia,197,Oklahoma State,277
9:36,197,Lindy Waters III Steal.,17,24
9:36,197,Jump Ball won by Oklahoma State,17,24
9:30,197,Kendall Smith Turnover.,17,24
9:25,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Jevon Carter.,20,24
8:47,197,Yankuba Sima made Layup.,20,26
8:23,277,Maciej Bender missed Layup.,20,26
8:23,277,Lamont West Offensive Rebound.,20,26
8:19,277,James Bolden made Three Point Jumper. Assisted by Jevon Carter.,23,26
8:06,197,Kendall Smith made Layup.,23,28
7:46,197,Foul on Yankuba Sima.,23,28
7:46,197,Official TV Timeout,23,28
7:46,277,Lamont West made Free Throw.,24,28
7:46,277,Lamont West made Free Throw.,25,28
7:27,197,Foul on Thomas Dziagwa.,25,28
7:27,197,Thomas Dziagwa Turnover.,25,28
7:12,277,James Bolden made Three Point Jumper. Assisted by Jevon Carter.,28,28
6:52,197,Thomas Dziagwa Turnover.,28,28
6:52,277,Daxter Miles Jr. Steal.,28,28
6:39,277,Lamont West Turnover.,28,28
6:36,197,Kendall Smith Turnover.,28,28
6:36,277,Daxter Miles Jr. Steal.,28,28
6:30,197,Foul on Cameron McGriff.,28,28
6:30,277,Jevon Carter made Free Throw.,29,28
6:30,277,Jevon Carter made Free Throw.,30,28
6:30,277,Foul on Jevon Carter.,30,28
6:30,197,Brandon Averette missed Free Throw.,30,28
6:30,197,Mitchell Solomon Offensive Rebound.,30,28
6:28,197,Mitchell Solomon made Layup.,30,30
6:06,277,Jevon Carter missed Layup.,30,30
6:06,277,Maciej Bender Offensive Rebound.,30,30
6:06,277,Maciej Bender missed Layup.,30,30
6:06,197,Oklahoma State Defensive Rebound.,30,30
5:54,197,Lindy Waters III Turnover.,30,30
5:28,277,James Bolden missed Jumper.,30,30
5:28,197,Lindy Waters III Defensive Rebound.,30,30
5:28,277,Foul on James Bolden.,30,30
5:28,197,Lindy Waters III made Free Throw.,30,31
5:28,197,Lindy Waters III made Free Throw.,30,32
5:05,197,Foul on Brandon Averette.,30,32
5:05,277,Daxter Miles Jr. missed Free Throw.,30,32
5:05,197,Kendall Smith Defensive Rebound.,30,32
5:00,197,Tavarius Shine made Three Point Jumper. Assisted by Lindy Waters III.,30,35
4:32,277,Wesley Harris made Three Point Jumper. Assisted by Lamont West.,33,35
4:13,277,Foul on Maciej Bender.,33,35
4:13,197,Lindy Waters III made Free Throw.,33,36
4:13,197,Lindy Waters III made Free Throw.,33,37
3:51,277,Wesley Harris Turnover.,33,37
3:51,197,Official TV Timeout,33,37
3:49,197,Lindy Waters III Turnover.,33,37
3:49,277,Teddy Allen Steal.,33,37
3:46,277,Teddy Allen made Layup.,35,37
3:27,197,Tavarius Shine made Layup.,35,39
3:08,277,Lamont West Turnover.,35,39
3:08,197,Jeffrey Carroll Steal.,35,39
2:45,197,Jeffrey Carroll missed Three Point Jumper.,35,39
2:45,277,Maciej Bender Defensive Rebound.,35,39
2:38,277,Teddy Allen missed Layup.,35,39
2:38,277,Maciej Bender Offensive Rebound.,35,39
2:27,197,Foul on Yankuba Sima.,35,39
2:27,277,Maciej Bender made Free Throw.,36,39
2:27,277,Maciej Bender missed Free Throw.,36,39
2:27,197,Jeffrey Carroll Defensive Rebound.,36,39
2:19,277,Foul on Jevon Carter.,36,39
2:19,197,Brandon Averette made Free Throw.,36,40
2:19,197,Brandon Averette made Free Throw.,36,41
2:09,277,Teddy Allen missed Jumper.,36,41
2:09,197,Mitchell Solomon Defensive Rebound.,36,41
1:40,197,Lindy Waters III missed Jumper.,36,41
1:40,277,Sagaba Konate Defensive Rebound.,36,41
1:21,277,Sagaba Konate Turnover.,36,41
1:21,197,Jeffrey Carroll Steal.,36,41
1:17,197,Brandon Averette Turnover.,36,41
1:17,277,Jevon Carter Steal.,36,41
1:13,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Jevon Carter.,39,41
1:00,277,Foul on Sagaba Konate.,39,41
1:00,197,Mitchell Solomon made Free Throw.,39,42
1:00,197,Mitchell Solomon made Free Throw.,39,43
0:49,277,Chase Harler missed Jumper.,39,43
0:49,197,Jeffrey Carroll Block.,39,43
0:49,197,Mitchell Solomon Defensive Rebound.,39,43
0:40,197,Oklahoma State  Timeout,39,43
0:30,197,Mitchell Solomon made Three Point Jumper. Assisted by Jeffrey Carroll.,39,46
0:11,277,Daxter Miles Jr. missed Three Point Jumper.,39,46
0:11,197,Jeffrey Carroll Defensive Rebound.,39,46
0:00,197,End of 1st half,39,46
20:00,277,Jump Ball won by West Virginia,39,46
19:38,277,Jevon Carter Turnover.,39,46
19:31,197,Lindy Waters III Turnover.,39,46
19:31,277,Jevon Carter Steal.,39,46
19:31,197,Foul on Lindy Waters III.,39,46
19:31,277,Jevon Carter made Free Throw.,40,46
19:31,277,Jevon Carter made Free Throw.,41,46
19:22,197,Brandon Averette missed Three Point Jumper.,41,46
19:22,197,Mitchell Solomon Offensive Rebound.,41,46
19:18,197,Jump Ball won by Oklahoma State,41,46
19:12,277,Foul on Lamont West.,41,46
19:12,197,Tavarius Shine missed Free Throw.,41,46
19:12,197,Oklahoma State Deadball Team Rebound.,41,46
19:12,197,Tavarius Shine missed Free Throw.,41,46
19:12,277,Sagaba Konate Defensive Rebound.,41,46
18:53,277,Jevon Carter Turnover.,41,46
18:53,197,Lindy Waters III Steal.,41,46
18:53,197,Lindy Waters III Turnover.,41,46
18:53,277,Lamont West Steal.,41,46
18:32,277,Jevon Carter missed Jumper.,41,46
18:32,277,Wesley Harris Offensive Rebound.,41,46
18:28,277,West Virginia  Timeout,41,46
18:26,277,Sagaba Konate made Layup. Assisted by Jevon Carter.,43,46
18:02,197,Tavarius Shine Turnover.,43,46
18:02,277,Jevon Carter Steal.,43,46
17:55,277,Wesley Harris Turnover.,43,46
17:55,197,Jeffrey Carroll Steal.,43,46
17:38,197,Lindy Waters III missed Layup.,43,46
17:38,197,Mitchell Solomon Offensive Rebound.,43,46
17:34,197,Mitchell Solomon made Layup.,43,48
17:06,277,Wesley Harris missed Three Point Jumper.,43,48
17:06,197,Oklahoma State Defensive Rebound.,43,48
17:06,277,Foul on Sagaba Konate.,43,48
17:01,277,Foul on Lamont West.,43,48
17:01,197,Jeffrey Carroll made Free Throw.,43,49
17:01,197,Jeffrey Carroll made Free Throw.,43,50
17:01,197,Jeffrey Carroll missed Free Throw.,43,50
17:01,277,Jevon Carter Defensive Rebound.,43,50
16:42,277,Teddy Allen made Layup. Assisted by Daxter Miles Jr..,45,50
16:27,197,Yankuba Sima made Layup. Assisted by Kendall Smith.,45,52
16:08,277,Teddy Allen made Jumper.,47,52
15:43,197,Kendall Smith Turnover.,47,52
15:43,197,Official TV Timeout,47,52
15:35,277,Wesley Harris missed Three Point Jumper.,47,52
15:35,197,Oklahoma State Defensive Rebound.,47,52
15:29,277,Foul on Teddy Allen.,47,52
15:09,197,Yankuba Sima made Jumper.,47,54
14:50,197,Foul on Yankuba Sima.,47,54
14:50,277,Wesley Harris made Free Throw.,48,54
14:50,277,Wesley Harris made Free Throw.,49,54
14:37,197,Jeffrey Carroll missed Jumper.,49,54
14:37,277,Maciej Bender Defensive Rebound.,49,54
14:16,277,Teddy Allen missed Layup.,49,54
14:16,197,Mitchell Solomon Block.,49,54
14:16,277,West Virginia Offensive Rebound.,49,54
14:11,277,Teddy Allen made Layup. Assisted by Jevon Carter.,51,54
13:53,277,Foul on Teddy Allen.,51,54
13:51,197,Jeffrey Carroll made Layup.,51,56
13:41,277,Jevon Carter Turnover.,51,56
13:41,197,Tavarius Shine Steal.,51,56
13:34,197,Tavarius Shine made Layup.,51,58
13:21,277,West Virginia  Timeout,51,58
12:58,277,Teddy Allen made Layup.,53,58
12:58,197,Foul on Tavarius Shine.,53,58
12:58,277,Teddy Allen made Free Throw.,54,58
12:50,197,Kendall Smith made Layup.,54,60
12:43,277,Jevon Carter missed Three Point Jumper.,54,60
12:43,197,Cameron McGriff Defensive Rebound.,54,60
12:30,197,Mitchell Solomon missed Layup.,54,60
12:30,197,Mitchell Solomon Offensive Rebound.,54,60
12:26,197,Mitchell Solomon Turnover.,54,60
12:15,277,Sagaba Konate made Jumper. Assisted by Wesley Harris.,56,60
11:52,197,Mitchell Solomon Turnover.,56,60
11:52,197,Official TV Timeout,56,60
11:39,197,Foul on Mitchell Solomon.,56,60
11:35,277,Jevon Carter missed Jumper.,56,60
11:35,277,Sagaba Konate Offensive Rebound.,56,60
11:32,277,Sagaba Konate made Layup.,58,60
11:11,197,Kendall Smith Turnover.,58,60
11:11,277,Jevon Carter Steal.,58,60
11:08,197,Oklahoma State  Timeout,58,60
10:56,277,Sagaba Konate made Layup. Assisted by Teddy Allen.,60,60
10:45,197,Tavarius Shine missed Three Point Jumper.,60,60
10:45,277,Lamont West Defensive Rebound.,60,60
10:41,197,Foul on Cameron McGriff.,60,60
10:25,197,Foul on Mitchell Solomon.,60,60
10:25,277,Daxter Miles Jr. made Free Throw.,61,60
10:25,277,Daxter Miles Jr. made Free Throw.,62,60
10:11,197,Brandon Averette Turnover.,62,60
9:53,277,Jevon Carter Turnover.,62,60
9:53,197,Brandon Averette Steal.,62,60
9:45,197,Lindy Waters III made Three Point Jumper. Assisted by Tavarius Shine.,62,63
9:33,277,Lamont West missed Three Point Jumper.,62,63
9:33,277,Jevon Carter Offensive Rebound.,62,63
9:29,277,Jevon Carter Turnover.,62,63
9:14,197,Tavarius Shine missed Three Point Jumper.,62,63
9:14,277,Teddy Allen Defensive Rebound.,62,63
8:53,277,Teddy Allen made Jumper.,64,63
8:31,277,Foul on Teddy Allen.,64,63
8:21,197,Lindy Waters III missed Three Point Jumper.,64,63
8:21,277,Daxter Miles Jr. Defensive Rebound.,64,63
7:58,277,Daxter Miles Jr. Turnover.,64,63
7:58,197,Jeffrey Carroll Steal.,64,63
7:58,277,Jump Ball won by West Virginia,64,63
7:58,197,Official TV Timeout,64,63
7:35,197,Jeffrey Carroll missed Jumper.,64,63
7:35,277,Lamont West Defensive Rebound.,64,63
7:15,277,Daxter Miles Jr. missed Three Point Jumper.,64,63
7:15,197,Lindy Waters III Defensive Rebound.,64,63
6:45,277,Foul on Wesley Harris.,64,63
6:45,197,Jeffrey Carroll missed Free Throw.,64,63
6:45,197,Oklahoma State Deadball Team Rebound.,64,63
6:45,197,Jeffrey Carroll missed Free Throw.,64,63
6:45,277,Jevon Carter Defensive Rebound.,64,63
6:40,197,Foul on Mitchell Solomon.,64,63
6:40,277,Lamont West made Free Throw.,65,63
6:40,277,Lamont West made Free Throw.,66,63
6:23,197,Jeffrey Carroll missed Three Point Jumper.,66,63
6:23,277,Sagaba Konate Defensive Rebound.,66,63
5:56,197,Foul on Tavarius Shine.,66,63
5:56,277,Wesley Harris made Free Throw.,67,63
5:56,277,Wesley Harris missed Free Throw.,67,63
5:56,197,Jeffrey Carroll Defensive Rebound.,67,63
5:38,277,Foul on Lamont West.,67,63
5:38,197,Jeffrey Carroll made Free Throw.,67,64
5:38,197,Jeffrey Carroll missed Free Throw.,67,64
5:38,277,Sagaba Konate Defensive Rebound.,67,64
5:31,277,Jevon Carter missed Jumper.,67,64
5:31,277,Daxter Miles Jr. Offensive Rebound.,67,64
5:26,277,Daxter Miles Jr. made Layup.,69,64
5:17,277,Foul on Sagaba Konate.,69,64
5:17,197,Lindy Waters III made Free Throw.,69,65
5:17,197,Lindy Waters III missed Free Throw.,69,65
5:17,277,Wesley Harris Defensive Rebound.,69,65
4:57,277,Teddy Allen made Layup. Assisted by Daxter Miles Jr..,71,65
4:34,197,Kendall Smith missed Jumper.,71,65
4:34,197,Cameron McGriff Offensive Rebound.,71,65
4:31,277,Foul on Wesley Harris.,71,65
4:31,197,Cameron McGriff made Free Throw.,71,66
4:31,197,Cameron McGriff made Free Throw.,71,67
4:10,277,Wesley Harris missed Three Point Jumper.,71,67
4:10,277,Maciej Bender Offensive Rebound.,71,67
3:51,277,Jevon Carter made Three Point Jumper. Assisted by Daxter Miles Jr..,74,67
3:19,197,Kendall Smith missed Layup.,74,67
3:19,277,Teddy Allen Defensive Rebound.,74,67
3:11,197,Foul on Mitchell Solomon.,74,67
3:11,197,Official TV Timeout,74,67
3:11,277,Jevon Carter made Free Throw.,75,67
3:11,277,Jevon Carter made Free Throw.,76,67
2:55,197,Jeffrey Carroll missed Layup.,76,67
2:55,197,Jeffrey Carroll Offensive Rebound.,76,67
2:50,197,Jeffrey Carroll missed Layup.,76,67
2:50,197,Jeffrey Carroll Offensive Rebound.,76,67
2:50,277,Foul on Maciej Bender.,76,67
2:50,197,Jeffrey Carroll missed Free Throw.,76,67
2:50,197,Oklahoma State Deadball Team Rebound.,76,67
2:50,197,Jeffrey Carroll made Free Throw.,76,68
2:47,277,Jevon Carter Turnover.,76,68
2:47,197,Lindy Waters III Steal.,76,68
2:44,197,Kendall Smith missed Three Point Jumper.,76,68
2:44,277,Wesley Harris Defensive Rebound.,76,68
2:32,277,Wesley Harris Turnover.,76,68
2:22,197,Jeffrey Carroll made Layup.,76,70
2:22,277,Foul on Wesley Harris.,76,70
2:22,197,Jeffrey Carroll made Free Throw.,76,71
2:13,277,Teddy Allen missed Dunk.,76,71
2:13,277,Sagaba Konate Offensive Rebound.,76,71
2:04,197,Foul on Kendall Smith.,76,71
2:04,277,Sagaba Konate made Free Throw.,77,71
2:04,277,Sagaba Konate missed Free Throw.,77,71
2:04,197,Lindy Waters III Defensive Rebound.,77,71
1:54,197,Jeffrey Carroll made Three Point Jumper. Assisted by Tavarius Shine.,77,74
1:50,197,Oklahoma State  Timeout,77,74
1:31,197,Foul on Cameron McGriff.,77,74
1:31,277,Wesley Harris made Free Throw.,78,74
1:31,277,Wesley Harris made Free Throw.,79,74
1:10,277,Foul on Wesley Harris.,79,74
1:10,197,Lindy Waters III made Free Throw.,79,75
1:10,197,Lindy Waters III made Free Throw.,79,76
0:49,277,James Bolden missed Three Point Jumper.,79,76
0:49,277,West Virginia Offensive Rebound.,79,76
0:43,277,Daxter Miles Jr. made Layup. Assisted by Jevon Carter.,81,76
0:33,197,Brandon Averette made Jumper.,81,78
0:33,277,Foul on Lamont West.,81,78
0:33,197,Brandon Averette made Free Throw.,81,79
0:23,197,Foul on Lindy Waters III.,81,79
0:23,277,James Bolden made Free Throw.,82,79
0:23,277,James Bolden made Free Throw.,83,79
0:16,197,Jeffrey Carroll missed Three Point Jumper.,83,79
0:16,277,Sagaba Konate Defensive Rebound.,83,79
0:12,197,Foul on Lindy Waters III.,83,79
0:12,277,Sagaba Konate made Free Throw.,84,79
0:12,277,Sagaba Konate made Free Throw.,85,79
0:12,197,Oklahoma State  Timeout,85,79
0:10,197,Tavarius Shine Turnover.,85,79
0:10,277,Wesley Harris Steal.,85,79
0:00,197,End of Game,85,79
