St. Francis (PA),2115,Central Connecticut,2598
12:24,2115,Mustafa Jones missed Jumper.,2,12
12:24,2598,Malik Harmon Defensive Rebound.,2,12
12:11,2598,Scott Meredith made Three Point Jumper. Assisted by Malik Harmon.,5,12
11:47,2115,Austin Nehls missed Three Point Jumper.,5,12
11:47,2598,Keith Braxton Defensive Rebound.,5,12
11:38,2115,Foul on Mustafa Jones.,5,12
11:38,2115,Official TV Timeout,5,12
11:27,2598,Scott Meredith made Three Point Jumper. Assisted by Malik Harmon.,8,12
10:58,2115,Joe Hugley made Layup. Assisted by Deion Bute.,8,14
10:40,2598,Keith Braxton made Three Point Jumper. Assisted by Scott Meredith.,11,14
10:12,2115,Deion Bute Turnover.,11,14
10:11,2598,Keith Braxton Steal.,11,14
10:08,2115,Foul on Tyson Batiste.,11,14
10:08,2598,Malik Harmon missed Free Throw.,11,14
10:08,2598,St. Francis (PA) Deadball Team Rebound.,11,14
10:08,2598,Malik Harmon made Free Throw.,12,14
9:48,2598,Foul on Daniel Wallace.,12,14
9:48,2115,Deion Bute made Free Throw.,12,15
9:48,2115,Deion Bute made Free Throw.,12,16
9:28,2598,Foul on Malik Harmon.,12,16
9:28,2598,Malik Harmon Turnover.,12,16
9:04,2115,Tyler Kohl Turnover.,12,16
9:03,2598,Scott Meredith Steal.,12,16
8:57,2598,Mark Flagg Turnover.,12,16
8:41,2115,Joe Hugley made Three Point Jumper. Assisted by Tyson Batiste.,12,19
8:19,2598,Andre Wolford missed Three Point Jumper.,12,19
8:19,2115,Austin Nehls Defensive Rebound.,12,19
8:12,2115,Tyler Kohl made Three Point Jumper. Assisted by Austin Nehls.,12,22
7:56,2598,Mark Flagg Turnover.,12,22
7:56,2115,Official TV Timeout,12,22
7:42,2115,Deion Bute Turnover.,12,22
7:24,2115,Foul on Joe Hugley.,12,22
7:07,2598,Scott Meredith missed Three Point Jumper.,12,22
7:07,2115,Eric Bowles Defensive Rebound.,12,22
6:40,2115,Foul on Tyler Kohl.,12,22
6:40,2115,Tyler Kohl Turnover.,12,22
6:24,2598,Scott Meredith made Three Point Jumper. Assisted by Jamaal King.,15,22
5:55,2115,Deion Bute made Dunk. Assisted by Joe Hugley.,15,24
5:38,2598,Deivydas Kuzavas missed Layup.,15,24
5:38,2115,Eric Bowles Defensive Rebound.,15,24
5:22,2115,Tyler Kohl made Three Point Jumper.,15,27
5:02,2598,Jamaal King missed Three Point Jumper.,15,27
5:02,2115,Joe Hugley Defensive Rebound.,15,27
4:32,2115,Deion Bute made Layup.,15,29
4:24,2598,Keith Braxton made Layup.,17,29
4:04,2115,Joe Hugley made Layup.,17,31
3:41,2598,Andre Wolford missed Jumper.,17,31
3:41,2115,Tyler Kohl Defensive Rebound.,17,31
3:37,2115,Tyler Kohl missed Three Point Jumper.,17,31
3:37,2598,Jamaal King Defensive Rebound.,17,31
3:28,2598,Jamaal King missed Jumper.,17,31
3:28,2115,Deion Bute Defensive Rebound.,17,31
3:06,2115,Joe Hugley made Dunk. Assisted by Tyler Kohl.,17,33
2:41,2598,Keith Braxton missed Three Point Jumper.,17,33
2:41,2115,Eric Bowles Defensive Rebound.,17,33
2:24,2115,Deion Bute Turnover.,17,33
2:24,2598,Keith Braxton Steal.,17,33
2:19,2598,Andre Wolford made Layup.,19,33
2:08,2115,Central Connecticut  Timeout,19,33
2:08,2115,Official TV Timeout,19,33
1:57,2115,Mustafa Jones made Jumper.,19,35
1:24,2598,Daniel Wallace missed Layup.,19,35
1:24,2598,St. Francis (PA) Deadball Team Rebound.,19,35
1:23,2598,St. Francis (PA)  Turnover.,19,35
1:04,2115,Talek Williams missed Jumper.,19,35
1:04,2598,Keith Braxton Defensive Rebound.,19,35
0:47,2598,Keith Braxton made Layup.,21,35
0:25,2115,Tyler Kohl missed Jumper.,21,35
0:25,2115,Mustafa Jones Offensive Rebound.,21,35
0:22,2115,Mustafa Jones missed Jumper.,21,35
0:22,2598,Daniel Wallace Defensive Rebound.,21,35
0:15,2598,Jamaal King missed Three Point Jumper.,21,35
0:15,2115,Tyler Kohl Defensive Rebound.,21,35
0:00,2115,End of 1st half,21,35
19:31,2115,Mustafa Jones made Jumper.,21,37
19:05,2598,Jamaal King missed Jumper.,21,37
19:05,2115,Deion Bute Defensive Rebound.,21,37
18:42,2598,Foul on Jamaal King.,21,37
18:33,2115,Austin Nehls missed Three Point Jumper.,21,37
18:33,2598,Andre Wolford Defensive Rebound.,21,37
18:21,2598,Deivydas Kuzavas made Layup. Assisted by Keith Braxton.,23,37
18:06,2115,Tyler Kohl missed Jumper.,23,37
18:06,2115,Mustafa Jones Offensive Rebound.,23,37
18:02,2115,Mustafa Jones made Layup.,23,39
17:44,2598,Andre Wolford missed Three Point Jumper.,23,39
17:44,2115,Mustafa Jones Defensive Rebound.,23,39
17:34,2598,Foul on Deivydas Kuzavas.,23,39
17:34,2115,Mustafa Jones made Free Throw.,23,40
17:34,2115,Mustafa Jones made Free Throw.,23,41
17:20,2598,Scott Meredith missed Three Point Jumper.,23,41
17:20,2115,Eric Bowles Defensive Rebound.,23,41
17:11,2115,Austin Nehls made Layup.,23,43
17:03,2115,Foul on Eric Bowles.,23,43
16:47,2598,Jamaal King made Three Point Jumper. Assisted by Keith Braxton.,26,43
16:45,2598,St. Francis (PA)  Timeout,26,43
16:45,2115,Official TV Timeout,26,43
16:35,2115,Tyler Kohl Turnover.,26,43
16:28,2598,Jamaal King made Layup.,28,43
15:56,2115,Deion Bute made Jumper.,28,45
15:43,2115,Official TV Timeout,30,45
15:43,2598,Jamaal King made Layup.,30,45
15:43,2115,Foul on Tyler Kohl.,30,45
15:43,2115,Official TV Timeout,30,45
15:43,2598,Jamaal King missed Free Throw.,30,45
15:43,2115,Tyler Kohl Defensive Rebound.,30,45
15:14,2115,Mustafa Jones missed Three Point Jumper.,30,45
15:14,2115,Tyler Kohl Offensive Rebound.,30,45
15:12,2115,Tyler Kohl missed Layup.,30,45
15:12,2598,Scott Meredith Defensive Rebound.,30,45
15:04,2115,Foul on Eric Bowles.,30,45
14:43,2598,Jamaal King missed Three Point Jumper.,30,45
14:43,2598,St. Francis (PA) Deadball Team Rebound.,30,45
14:40,2598,St. Francis (PA)  Turnover.,30,45
14:17,2115,Tyler Kohl missed Layup.,30,45
14:17,2598,Mark Flagg Block.,30,45
14:15,2598,Mark Flagg Defensive Rebound.,30,45
14:03,2598,Keith Braxton made Layup.,32,45
14:03,2115,Foul on Deion Bute.,32,45
14:03,2598,Keith Braxton made Free Throw.,33,45
13:39,2115,Joe Hugley missed Three Point Jumper.,33,45
13:39,2598,Andre Wolford Defensive Rebound.,33,45
13:21,2598,Jamaal King made Three Point Jumper. Assisted by Keith Braxton.,36,45
13:19,2115,Central Connecticut  Timeout,36,45
13:04,2115,Tyler Kohl made Layup.,36,47
12:51,2598,Scott Meredith made Three Point Jumper. Assisted by Malik Harmon.,39,47
12:30,2115,Austin Nehls made Three Point Jumper. Assisted by Tyler Kohl.,39,50
12:18,2598,Malik Harmon Turnover.,39,50
12:17,2115,Austin Nehls Steal.,39,50
12:06,2115,Austin Nehls made Layup.,39,52
11:40,2115,Foul on Joe Hugley.,39,52
11:40,2115,Official TV Timeout,39,52
11:27,2598,Mark Flagg made Layup. Assisted by Jamaal King.,41,52
10:59,2115,Joe Hugley made Layup. Assisted by Tyler Kohl.,41,54
10:43,2598,Keith Braxton missed Three Point Jumper.,41,54
10:43,2115,Austin Nehls Defensive Rebound.,41,54
10:28,2115,Joe Hugley made Layup.,41,56
10:14,2598,Keith Braxton made Layup.,43,56
9:42,2115,Joe Hugley made Dunk. Assisted by Tyler Kohl.,43,58
9:31,2598,Jamaal King missed Layup.,43,58
9:31,2115,Talek Williams Defensive Rebound.,43,58
9:26,2115,Talek Williams Turnover.,43,58
9:26,2598,Keith Braxton Steal.,43,58
9:21,2598,Andre Wolford made Three Point Jumper. Assisted by Jamaal King.,46,58
8:58,2115,Tyler Kohl Turnover.,46,58
8:40,2598,Andre Wolford missed Three Point Jumper.,46,58
8:40,2115,Tyler Kohl Defensive Rebound.,46,58
8:35,2115,Tyler Kohl made Layup.,46,60
8:33,2598,Foul on Deivydas Kuzavas.,46,60
8:33,2115,Tyler Kohl made Free Throw.,46,61
8:23,2598,Keith Braxton missed Layup.,46,61
8:23,2115,Joe Hugley Defensive Rebound.,46,61
8:15,2115,Mustafa Jones missed Jumper.,46,61
8:15,2598,Keith Braxton Defensive Rebound.,46,61
8:10,2598,Keith Braxton Turnover.,46,61
8:09,2115,Joe Hugley Steal.,46,61
8:07,2115,Talek Williams made Dunk. Assisted by Joe Hugley.,46,63
7:46,2598,Scott Meredith missed Three Point Jumper.,46,63
7:46,2598,Deivydas Kuzavas Offensive Rebound.,46,63
7:42,2598,Deivydas Kuzavas made Layup.,48,63
7:21,2115,Talek Williams missed Three Point Jumper.,48,63
7:21,2598,Keith Braxton Defensive Rebound.,48,63
7:14,2598,Keith Braxton missed Layup.,48,63
7:14,2115,Mustafa Jones Block.,48,63
7:13,2598,St. Francis (PA) Offensive Rebound.,48,63
7:11,2115,Official TV Timeout,48,63
6:53,2598,Andre Wolford missed Three Point Jumper.,48,63
6:53,2598,Keith Braxton Offensive Rebound.,48,63
6:41,2598,Scott Meredith missed Jumper.,48,63
6:41,2115,Tyler Kohl Defensive Rebound.,48,63
6:35,2115,Tyler Kohl Turnover.,48,63
6:20,2598,Jamaal King missed Three Point Jumper.,48,63
6:20,2115,Central Connecticut Defensive Rebound.,48,63
5:58,2115,Talek Williams made Three Point Jumper.,48,66
5:48,2115,Foul on Talek Williams.,48,66
5:40,2598,Andre Wolford made Three Point Jumper. Assisted by Jamaal King.,51,66
5:22,2598,Foul on Scott Meredith.,51,66
5:09,2115,Mustafa Jones Turnover.,51,66
5:08,2598,Keith Braxton Steal.,51,66
5:05,2598,Keith Braxton missed Layup.,51,66
5:05,2115,Mustafa Jones Block.,51,66
5:04,2598,Scott Meredith Offensive Rebound.,51,66
5:02,2598,Scott Meredith made Layup.,53,66
5:01,2115,Foul on Deion Bute.,53,66
5:01,2115,Technical Foul on Deion Bute.,53,66
5:01,2598,Foul on Daniel Wallace.,53,66
5:01,2598,Technical Foul on Daniel Wallace.,53,66
4:41,2115,Tyler Kohl Turnover.,53,66
4:40,2598,Keith Braxton Steal.,53,66
4:38,2598,Keith Braxton made Layup.,55,66
4:28,2115,Eric Bowles Turnover.,55,66
4:26,2598,Keith Braxton Steal.,55,66
4:24,2598,Keith Braxton made Layup.,57,66
4:04,2598,Foul on Scott Meredith.,57,66
4:04,2115,Eric Bowles missed Free Throw.,57,66
4:04,2115,Central Connecticut Deadball Team Rebound.,57,66
4:04,2115,Eric Bowles made Free Throw.,57,67
3:58,2598,Jamaal King made Layup.,59,67
3:28,2598,Foul on Daniel Wallace.,59,67
3:28,2115,Official TV Timeout,59,67
3:28,2115,Eric Bowles made Free Throw.,59,68
3:28,2115,Eric Bowles missed Free Throw.,59,68
3:28,2598,Keith Braxton Defensive Rebound.,59,68
3:02,2598,Keith Braxton made Jumper. Assisted by Daniel Wallace.,61,68
2:36,2115,Tyler Kohl Turnover.,61,68
2:35,2598,Scott Meredith Steal.,61,68
2:27,2598,Andre Wolford made Dunk.,63,68
2:24,2598,St. Francis (PA)  Timeout,63,68
2:19,2115,Foul on Tyler Kohl.,63,68
2:19,2115,Tyler Kohl Turnover.,63,68
2:13,2115,Foul on Eric Bowles.,63,68
2:13,2598,Jamaal King made Free Throw.,64,68
2:13,2598,Jamaal King made Free Throw.,65,68
1:55,2115,Austin Nehls missed Three Point Jumper.,65,68
1:55,2598,Keith Braxton Defensive Rebound.,65,68
1:48,2598,Andre Wolford made Layup. Assisted by Keith Braxton.,67,68
1:48,2115,Foul on Mustafa Jones.,67,68
1:48,2598,Andre Wolford made Free Throw.,68,68
1:41,2115,Central Connecticut  Timeout,68,68
1:20,2115,Joe Hugley missed Layup.,68,68
1:20,2115,Joe Hugley Offensive Rebound.,68,68
1:17,2598,Foul on Scott Meredith.,68,68
1:17,2115,Joe Hugley made Free Throw.,68,69
1:17,2115,Joe Hugley made Free Throw.,68,70
0:58,2598,Jamaal King missed Three Point Jumper.,68,70
0:58,2598,St. Francis (PA) Offensive Rebound.,68,70
0:37,2598,Jamaal King Turnover.,68,70
0:35,2115,Eric Bowles Steal.,68,70
0:34,2115,Eric Bowles Turnover.,68,70
0:33,2598,Keith Braxton Steal.,68,70
0:30,2598,Jamaal King missed Three Point Jumper.,68,70
0:30,2115,Central Connecticut Defensive Rebound.,68,70
0:17,2598,Foul on Daniel Wallace.,68,70
0:17,2115,Austin Nehls missed Free Throw.,68,70
0:17,2598,Andre Wolford Defensive Rebound.,68,70
0:09,2598,Foul on Jamaal King.,68,70
0:09,2598,Jamaal King Turnover.,68,70
