Northern Illinois,2294,Iowa,2459
9:05,2459,Gairges Daow missed Three Point Jumper.,52,82
9:05,2294,Luka Garza Defensive Rebound.,52,82
9:04,2459,Foul on Lacey James.,52,82
8:54,2294,Brady Ellingson missed Three Point Jumper.,52,82
8:54,2294,Ryan Kriener Offensive Rebound.,52,82
8:43,2294,Isaiah Moss missed Jumper.,52,82
8:43,2459,Dante Thorpe Defensive Rebound.,52,82
8:36,2459,Dante Thorpe made Layup.,54,82
8:26,2294,Cordell Pemsl made Layup. Assisted by Isaiah Moss.,54,84
8:08,2459,Justin Thomas made Three Point Jumper. Assisted by Anastasios Demogerontas.,57,84
7:49,2294,Luka Garza made Layup. Assisted by Brady Ellingson.,57,86
7:17,2459,Justin Thomas made Layup.,59,86
7:00,2294,Luka Garza made Layup. Assisted by Isaiah Moss.,59,88
7:00,2459,Foul on Owen Hamilton.,59,88
7:00,2294,Official TV Timeout,59,88
7:00,2294,Luka Garza made Free Throw.,59,89
6:45,2459,Noah McCarty missed Jumper.,59,89
6:45,2294,Iowa Defensive Rebound.,59,89
6:15,2294,Ryan Kriener missed Three Point Jumper.,59,89
6:15,2459,Justin Thomas Defensive Rebound.,59,89
5:59,2459,Justin Thomas missed Layup.,59,89
5:59,2294,Isaiah Moss Defensive Rebound.,59,89
5:53,2294,Isaiah Moss Turnover.,59,89
5:52,2459,Gairges Daow Steal.,59,89
5:49,2459,Eugene German Turnover.,59,89
5:28,2294,Ryan Kriener missed Jumper.,59,89
5:28,2459,Gairges Daow Defensive Rebound.,59,89
5:11,2459,Justin Thomas made Three Point Jumper. Assisted by Gairges Daow.,62,89
4:49,2294,Cordell Pemsl Turnover.,62,89
4:47,2459,Justin Thomas Steal.,62,89
4:45,2459,Eugene German made Dunk. Assisted by Justin Thomas.,64,89
4:27,2294,Brady Ellingson made Three Point Jumper. Assisted by Cordell Pemsl.,64,92
4:17,2459,Northern Illinois  Timeout,64,92
3:54,2459,Eugene German made Layup.,66,92
3:39,2294,Jack Nunge Turnover.,66,92
3:38,2459,Anastasios Demogerontas Steal.,66,92
3:34,2459,Eugene German made Layup. Assisted by Anastasios Demogerontas.,68,92
3:21,2294,Cordell Pemsl missed Jumper.,68,92
3:21,2294,Jack Nunge Offensive Rebound.,68,92
3:14,2294,Jack Nunge missed Jumper.,68,92
3:14,2459,Anastasios Demogerontas Defensive Rebound.,68,92
3:04,2459,Rod Henry-Hayes made Three Point Jumper. Assisted by Eugene German.,71,92
2:44,2459,Foul on Owen Hamilton.,71,92
2:44,2294,Official TV Timeout,71,92
2:44,2294,Ryan Kriener made Free Throw.,71,93
2:44,2294,Ryan Kriener missed Free Throw.,71,93
2:44,2459,Anastasios Demogerontas Defensive Rebound.,71,93
2:34,2459,Gairges Daow missed Three Point Jumper.,71,93
2:34,2294,Iowa Defensive Rebound.,71,93
2:07,2459,Foul on Owen Hamilton.,71,93
2:07,2294,Cordell Pemsl missed Free Throw.,71,93
2:07,2294,Iowa Deadball Team Rebound.,71,93
2:07,2294,Cordell Pemsl made Free Throw.,71,94
1:53,2459,Owen Hamilton made Jumper. Assisted by Gairges Daow.,73,94
1:42,2294,Riley Till missed Three Point Jumper.,73,94
1:42,2459,Owen Hamilton Defensive Rebound.,73,94
1:37,2459,Gairges Daow Turnover.,73,94
1:36,2294,Riley Till Steal.,73,94
1:32,2294,Cordell Pemsl made Layup. Assisted by Charlie Rose.,73,96
1:00,2459,Justin Thomas missed Three Point Jumper.,73,96
1:00,2459,Northern Illinois Offensive Rebound.,73,96
0:42,2459,Justin Thomas missed Layup.,73,96
0:42,2294,Cordell Pemsl Defensive Rebound.,73,96
0:27,2294,Cordell Pemsl made Layup. Assisted by Ryan Kriener.,73,98
0:03,2459,Justin Thomas made Jumper.,75,98
0:00,2294,End of Game,75,98
