UL Monroe,2032,Arkansas State,2433
10:32,2433,Marvin Jean-Pierre made Two Point Tip Shot.,23,18
10:21,2032,Deven Simms missed Jumper.,23,18
10:21,2433,UL Monroe Defensive Rebound.,23,18
10:21,2032,Foul on Salif Boudie.,23,18
10:04,2433,Michael Ertel missed Three Point Jumper.,23,18
10:04,2032,Ty Cockfield Defensive Rebound.,23,18
9:56,2032,Marquis Eaton made Three Point Jumper. Assisted by Connor Kern.,23,21
9:47,2433,UL Monroe  Turnover.,23,21
9:23,2433,Foul on Michael Ertel.,23,21
9:15,2032,Ty Cockfield Turnover.,23,21
9:14,2433,Marvin Jean-Pierre Steal.,23,21
9:12,2433,Marvin Jean-Pierre made Dunk.,25,21
8:58,2032,Marquis Eaton missed Jumper.,25,21
8:58,2433,Brandon Newman Defensive Rebound.,25,21
8:44,2433,UL Monroe  Turnover.,25,21
8:32,2032,Connor Kern missed Three Point Jumper.,25,21
8:32,2032,Grantham Gillard Offensive Rebound.,25,21
8:26,2032,Grantham Gillard made Layup.,25,23
8:18,2032,Foul on Marquis Eaton.,25,23
8:06,2433,Roderick Taylor Turnover.,25,23
7:39,2032,Official TV Timeout,25,23
7:37,2032,Deven Simms missed Three Point Jumper.,25,23
7:37,2032,Tamas Bruce Offensive Rebound.,25,23
7:34,2032,Arkansas State  Turnover.,25,23
7:14,2433,Roderick Taylor missed Jumper.,25,23
7:14,2032,Grantham Gillard Defensive Rebound.,25,23
7:06,2032,Tamas Bruce made Layup. Assisted by Ty Cockfield.,25,25
6:40,2433,Jordon Harris made Three Point Jumper. Assisted by Travis Munnings.,28,25
6:18,2433,Foul on Roderick Taylor.,28,25
6:18,2032,Ty Cockfield made Free Throw.,28,26
6:18,2032,Ty Cockfield missed Free Throw.,28,26
6:18,2433,Marvin Jean-Pierre Defensive Rebound.,28,26
6:00,2433,Marvin Jean-Pierre Turnover.,28,26
5:32,2433,Foul on Roderick Taylor.,28,26
5:32,2032,Ty Cockfield made Free Throw.,28,27
5:32,2032,Ty Cockfield made Free Throw.,28,28
5:05,2433,Jordon Harris made Jumper.,30,28
4:53,2032,Grantham Gillard missed Three Point Jumper.,30,28
4:53,2032,Ty Cockfield Offensive Rebound.,30,28
4:36,2032,Grantham Gillard missed Three Point Jumper.,30,28
4:36,2433,Jordon Harris Defensive Rebound.,30,28
4:28,2032,Foul on Deven Simms.,30,28
4:19,2433,Sam McDaniel missed Jumper.,30,28
4:19,2433,Sam McDaniel Offensive Rebound.,30,28
4:15,2433,Sam McDaniel missed Layup.,30,28
4:15,2433,Sam Alabakis Offensive Rebound.,30,28
4:05,2433,Sam Alabakis made Two Point Tip Shot.,32,28
3:49,2032,Rashad Lindsey missed Three Point Jumper.,32,28
3:49,2433,Marvin Jean-Pierre Defensive Rebound.,32,28
3:31,2433,Sam Alabakis made Layup. Assisted by Jordon Harris.,34,28
3:29,2032,Arkansas State  Timeout,34,28
3:29,2032,Official TV Timeout,34,28
3:16,2032,Salif Boudie Turnover.,34,28
3:14,2433,Jordon Harris Steal.,34,28
3:13,2433,Jordon Harris made Layup.,36,28
2:51,2032,Salif Boudie Turnover.,36,28
2:49,2433,Sam McDaniel Steal.,36,28
2:47,2433,Sam McDaniel made Dunk.,38,28
2:32,2032,Salif Boudie Turnover.,38,28
2:32,2032,Foul on Salif Boudie.,38,28
2:14,2433,Sam McDaniel Turnover.,38,28
1:53,2433,Foul on Jordon Harris.,38,28
1:53,2032,Deven Simms made Free Throw.,38,29
1:53,2032,Deven Simms made Free Throw.,38,30
1:29,2433,Sam McDaniel made Three Point Jumper. Assisted by Jordon Harris.,41,30
1:27,2433,UL Monroe  Timeout,41,30
1:12,2032,Ty Cockfield made Three Point Jumper. Assisted by Marquis Eaton.,41,33
0:42,2433,Sam Alabakis Turnover.,41,33
0:37,2032,Connor Kern missed Three Point Jumper.,41,33
0:37,2032,Marquis Eaton Offensive Rebound.,41,33
0:32,2433,Foul on Michael Ertel.,41,33
0:32,2032,Marquis Eaton made Free Throw.,41,34
0:32,2032,Marquis Eaton made Free Throw.,41,35
0:04,2433,Brandon Newman missed Jumper.,41,35
0:04,2433,Brandon Newman Offensive Rebound.,41,35
0:02,2433,Brandon Newman missed Jumper.,41,35
0:02,2032,Arkansas State Defensive Rebound.,41,35
0:00,2032,End of 1st half,41,35
19:35,2032,Rashad Lindsey missed Three Point Jumper.,41,35
19:35,2433,Sam Alabakis Defensive Rebound.,41,35
19:05,2433,Marvin Jean-Pierre missed Jumper.,41,35
19:05,2032,Tamas Bruce Defensive Rebound.,41,35
18:58,2032,Deven Simms made Jumper.,41,37
18:31,2433,Jordon Harris missed Three Point Jumper.,41,37
18:31,2032,Ty Cockfield Defensive Rebound.,41,37
18:24,2433,Foul on Travis Munnings.,41,37
18:24,2032,Grantham Gillard missed Free Throw.,41,37
18:24,2032,Arkansas State Deadball Team Rebound.,41,37
18:24,2032,Grantham Gillard made Free Throw.,41,38
18:01,2433,Travis Munnings missed Jumper.,41,38
18:01,2032,Tamas Bruce Defensive Rebound.,41,38
17:54,2032,Ty Cockfield missed Three Point Jumper.,41,38
17:54,2433,Sam McDaniel Defensive Rebound.,41,38
17:43,2433,Marvin Jean-Pierre made Jumper.,43,38
17:22,2032,Grantham Gillard made Three Point Jumper. Assisted by Rashad Lindsey.,43,41
17:02,2433,Jordon Harris missed Jumper.,43,41
17:02,2433,UL Monroe Offensive Rebound.,43,41
16:52,2433,Sam McDaniel missed Three Point Jumper.,43,41
16:52,2433,Travis Munnings Offensive Rebound.,43,41
16:49,2433,Travis Munnings made Layup.,45,41
16:34,2032,Grantham Gillard made Three Point Jumper. Assisted by Rashad Lindsey.,45,44
16:03,2433,Travis Munnings made Jumper.,47,44
15:52,2032,Tamas Bruce missed Layup.,47,44
15:52,2433,Travis Munnings Defensive Rebound.,47,44
15:35,2433,Sam McDaniel Turnover.,47,44
15:33,2032,Ty Cockfield Steal.,47,44
15:30,2032,Rashad Lindsey made Layup. Assisted by Ty Cockfield.,47,46
15:09,2433,Travis Munnings Turnover.,47,46
15:09,2433,Foul on Travis Munnings.,47,46
15:09,2032,Official TV Timeout,47,46
15:09,2032,Foul on Tamas Bruce.,47,46
14:49,2433,Sam McDaniel missed Jumper.,47,46
14:49,2433,Marvin Jean-Pierre Offensive Rebound.,47,46
14:40,2433,Marvin Jean-Pierre Turnover.,47,46
14:20,2032,Deven Simms missed Three Point Jumper.,47,46
14:20,2433,Sam McDaniel Defensive Rebound.,47,46
14:13,2433,Marvin Jean-Pierre missed Layup.,47,46
14:13,2032,Deven Simms Block.,47,46
14:12,2032,Arkansas State Defensive Rebound.,47,46
13:56,2433,Foul on Sam McDaniel.,47,46
13:56,2032,Deven Simms made Free Throw.,47,47
13:56,2032,Deven Simms missed Free Throw.,47,47
13:56,2433,Marvin Jean-Pierre Defensive Rebound.,47,47
13:32,2433,Jordon Harris missed Jumper.,47,47
13:32,2433,Sam Alabakis Offensive Rebound.,47,47
13:24,2433,Marvin Jean-Pierre made Layup.,49,47
12:55,2433,Foul on Travis Munnings.,49,47
12:55,2032,Grantham Gillard missed Free Throw.,49,47
12:55,2032,Arkansas State Deadball Team Rebound.,49,47
12:55,2032,Grantham Gillard made Free Throw.,49,48
12:38,2032,Foul on Marquis Eaton.,49,48
12:24,2433,Sam McDaniel missed Jumper.,49,48
12:24,2032,Grantham Gillard Defensive Rebound.,49,48
12:16,2433,Foul on Sam Alabakis.,49,48
12:01,2032,Ty Cockfield missed Layup.,49,48
12:01,2032,Tamas Bruce Offensive Rebound.,49,48
11:58,2032,Tamas Bruce made Layup.,49,50
11:33,2433,Marvin Jean-Pierre missed Three Point Jumper.,49,50
11:33,2032,Tamas Bruce Defensive Rebound.,49,50
11:20,2032,Grantham Gillard missed Three Point Jumper.,49,50
11:20,2433,Sam McDaniel Defensive Rebound.,49,50
11:02,2433,Sam Alabakis Turnover.,49,50
11:02,2032,Grantham Gillard Steal.,49,50
11:02,2032,Official TV Timeout,49,50
10:42,2032,Ty Cockfield missed Jumper.,49,50
10:42,2433,Sam McDaniel Defensive Rebound.,49,50
10:20,2433,Michael Ertel missed Jumper.,49,50
10:20,2433,UL Monroe Offensive Rebound.,49,50
10:05,2433,Sam McDaniel Turnover.,49,50
9:38,2032,Deven Simms made Three Point Jumper. Assisted by Rashad Lindsey.,49,53
9:18,2433,Michael Ertel missed Jumper.,49,53
9:18,2032,Deven Simms Defensive Rebound.,49,53
9:10,2032,Connor Kern missed Three Point Jumper.,49,53
9:10,2032,Tamas Bruce Offensive Rebound.,49,53
9:06,2032,Tamas Bruce made Layup.,49,55
8:45,2433,Marvin Jean-Pierre Turnover.,49,55
8:45,2032,Tamas Bruce Steal.,49,55
8:31,2433,Foul on Sam McDaniel.,49,55
8:20,2032,Connor Kern made Three Point Jumper. Assisted by Rashad Lindsey.,49,58
7:51,2032,Official TV Timeout,49,58
7:45,2433,Brandon Newman missed Jumper.,49,58
7:45,2032,Tamas Bruce Defensive Rebound.,49,58
7:37,2032,Marquis Eaton missed Jumper.,49,58
7:37,2433,Travis Munnings Defensive Rebound.,49,58
7:14,2433,Jordon Harris Turnover.,49,58
7:14,2433,Foul on Jordon Harris.,49,58
7:01,2032,Connor Kern missed Three Point Jumper.,49,58
7:01,2433,Travis Munnings Defensive Rebound.,49,58
6:50,2433,Travis Munnings missed Three Point Jumper.,49,58
6:50,2032,Tamas Bruce Defensive Rebound.,49,58
6:24,2032,Rashad Lindsey missed Jumper.,49,58
6:24,2433,Sam McDaniel Defensive Rebound.,49,58
6:16,2433,Travis Munnings missed Jumper.,49,58
6:16,2032,Tamas Bruce Block.,49,58
6:14,2032,Connor Kern Defensive Rebound.,49,58
5:53,2433,Foul on Brandon Newman.,49,58
5:53,2032,Tamas Bruce made Free Throw.,49,59
5:53,2032,Tamas Bruce made Free Throw.,49,60
5:45,2433,Sam McDaniel Turnover.,49,60
5:43,2032,Deven Simms Steal.,49,60
5:16,2032,Rashad Lindsey missed Three Point Jumper.,49,60
5:16,2433,Brandon Newman Defensive Rebound.,49,60
5:09,2032,Foul on Marquis Eaton.,49,60
5:09,2433,UL Monroe  Timeout,49,60
5:09,2032,Official TV Timeout,49,60
5:09,2433,Travis Munnings made Free Throw.,50,60
5:09,2433,Travis Munnings missed Free Throw.,50,60
5:09,2032,Deven Simms Defensive Rebound.,50,60
4:40,2032,Rashad Lindsey missed Three Point Jumper.,50,60
4:40,2433,Travis Munnings Defensive Rebound.,50,60
4:27,2433,Jordon Harris made Jumper.,52,60
3:59,2032,Official TV Timeout,52,60
3:54,2032,Ty Cockfield made Three Point Jumper. Assisted by Deven Simms.,52,63
3:34,2433,Michael Ertel made Three Point Jumper. Assisted by Travis Munnings.,55,63
3:03,2032,Grantham Gillard made Jumper.,55,65
2:46,2433,Michael Ertel missed Three Point Jumper.,55,65
2:46,2032,Ty Cockfield Defensive Rebound.,55,65
2:23,2032,Tamas Bruce missed Layup.,55,65
2:23,2433,Sam McDaniel Defensive Rebound.,55,65
2:15,2433,Jordon Harris made Layup.,57,65
1:56,2433,Foul on Michael Ertel.,57,65
1:56,2032,Ty Cockfield made Free Throw.,57,66
1:56,2032,Ty Cockfield made Free Throw.,57,67
1:40,2433,Jordon Harris missed Layup.,57,67
1:40,2032,Tamas Bruce Block.,57,67
1:38,2433,Travis Munnings Offensive Rebound.,57,67
1:38,2433,Travis Munnings made Layup.,59,67
1:38,2433,UL Monroe  Timeout,59,67
1:34,2032,Tamas Bruce made Dunk. Assisted by Ty Cockfield.,59,69
1:17,2433,Travis Munnings made Three Point Jumper. Assisted by Sam McDaniel.,62,69
1:15,2433,UL Monroe  Timeout,62,69
1:03,2433,Foul on Brandon Newman.,62,69
1:03,2032,Rashad Lindsey made Free Throw.,62,70
1:03,2032,Rashad Lindsey made Free Throw.,62,71
0:49,2433,Travis Munnings made Layup. Assisted by Sam McDaniel.,64,71
0:47,2433,Foul on Brandon Newman.,64,71
0:47,2032,Ty Cockfield made Free Throw.,64,72
0:47,2032,Ty Cockfield made Free Throw.,64,73
0:38,2433,Jordon Harris missed Three Point Jumper.,64,73
0:38,2032,Deven Simms Defensive Rebound.,64,73
0:34,2433,Foul on Michael Ertel.,64,73
0:34,2032,Deven Simms made Free Throw.,64,74
0:34,2032,Deven Simms made Free Throw.,64,75
0:24,2433,Sam McDaniel missed Three Point Jumper.,64,75
0:24,2032,Tamas Bruce Defensive Rebound.,64,75
0:00,2032,End of Game,64,75
