Northwestern Ohio,Error,Ohio,195
3:06,-1,Daniel Page Defensive Rebound.,56,60
2:49,-1,Corbin Pierce missed Three Point Jumper.,56,60
2:49,195,Jordan Dartis Defensive Rebound.,56,60
2:30,195,Teyvion Kirk missed Jumper.,56,60
2:30,-1,Nathan Bradley Defensive Rebound.,56,60
2:04,-1,Sadeeq Bello missed Three Point Jumper.,56,60
2:04,195,Teyvion Kirk Defensive Rebound.,56,60
1:45,195,Mike Laster made Three Point Jumper. Assisted by Gavin Block.,56,63
1:41,-1,Northwestern Ohio  Timeout,56,63
1:29,195,Foul on Gavin Block.,56,63
1:24,195,Foul on Gavin Block.,56,63
1:17,-1,Corbin Pierce made Layup. Assisted by Xander Smart.,58,63
0:56,-1,Foul on Sadeeq Bello.,58,63
0:56,195,Mike Laster made Free Throw.,58,64
0:56,195,Mike Laster made Free Throw.,58,65
0:45,-1,Sadeeq Bello missed Jumper.,58,65
0:45,195,Teyvion Kirk Defensive Rebound.,58,65
0:33,-1,Foul on Sadeeq Bello.,58,65
0:33,195,Teyvion Kirk missed Free Throw.,58,65
0:33,-1,Brandt Landin Defensive Rebound.,58,65
0:04,-1,Oslbey Mercer missed Three Point Jumper.,58,65
0:04,195,Jordan Dartis Defensive Rebound.,58,65
0:00,195,End of Game,58,65
