UC Riverside,2458,Northern Colorado,27
5:16,2458,Chaz Glotta made Three Point Jumper. Assisted by Tyler Loose.,46,70
5:15,27,Foul on Gentrey Thomas.,46,70
5:15,2458,Chaz Glotta made Free Throw.,46,71
5:06,27,Chance Murray missed Jumper.,46,71
5:06,27,Alex Larsson Offensive Rebound.,46,71
5:03,2458,Foul on Tyler Loose.,46,71
5:01,27,Chance Murray missed Jumper.,46,71
5:01,2458,Kai Edwards Defensive Rebound.,46,71
4:48,2458,Chaz Glotta missed Three Point Jumper.,46,71
4:48,27,Gentrey Thomas Defensive Rebound.,46,71
4:32,27,Gentrey Thomas missed Three Point Jumper.,46,71
4:32,2458,Northern Colorado Defensive Rebound.,46,71
4:13,2458,Tyler Loose made Layup. Assisted by Chaz Glotta.,46,73
4:00,27,Dikymbe Martin missed Jumper.,46,73
4:00,27,UC Riverside Offensive Rebound.,46,73
3:56,27,Koh Flippin made Three Point Jumper. Assisted by Chance Murray.,49,73
3:31,2458,Jordan Davis missed Layup.,49,73
3:31,27,James Jackson Defensive Rebound.,49,73
3:25,27,Dikymbe Martin missed Jumper.,49,73
3:25,2458,Kai Edwards Defensive Rebound.,49,73
3:15,2458,Tyler Loose missed Three Point Jumper.,49,73
3:15,27,UC Riverside Defensive Rebound.,49,73
3:13,2458,Official TV Timeout,49,73
3:11,27,Chance Murray made Jumper.,51,73
2:45,2458,Jordan Davis made Layup.,51,75
2:32,27,Secean Johnson made Jumper.,53,75
2:05,2458,Jordan Davis missed Jumper.,53,75
2:05,27,Chance Murray Defensive Rebound.,53,75
1:59,27,Secean Johnson made Three Point Jumper. Assisted by Koh Flippin.,56,75
1:55,27,UC Riverside  Timeout,56,75
1:53,27,Foul on Dikymbe Martin.,56,75
1:53,2458,Jordan Davis made Free Throw.,56,76
1:53,2458,Jordan Davis missed Free Throw.,56,76
1:53,27,Chance Murray Defensive Rebound.,56,76
1:45,27,Chance Murray missed Three Point Jumper.,56,76
1:45,27,Koh Flippin Offensive Rebound.,56,76
1:37,27,Koh Flippin Turnover.,56,76
1:26,27,Foul on Menno Dijkstra.,56,76
1:26,2458,Roberto Vercellino missed Free Throw.,56,76
1:26,2458,Northern Colorado Offensive Rebound.,56,76
1:26,2458,Roberto Vercellino made Free Throw.,56,77
1:19,27,Chance Murray made Layup.,58,77
1:05,2458,Jordan Davis missed Layup.,58,77
1:05,2458,Roberto Vercellino Offensive Rebound.,58,77
0:58,2458,Jordan Davis Turnover.,58,77
0:53,27,Chance Murray missed Jumper.,58,77
0:53,2458,Mike Ranson Defensive Rebound.,58,77
0:48,2458,Mike Ranson Turnover.,58,77
0:39,27,Koh Flippin made Three Point Jumper. Assisted by Dikymbe Martin.,61,77
0:06,2458,Gerad Davis missed Jumper.,61,77
0:06,27,Chance Murray Defensive Rebound.,61,77
0:00,2458,End of Game,61,77
