SE Louisiana,249,North Texas,2545
10:00,249,Keith Frazier made Jumper. Assisted by Ryan Woolridge.,19,20
9:38,249,Foul on Ryan Woolridge.,19,20
9:38,2545,Dimi Cook Turnover.,19,20
9:27,2545,Foul on Eddy Polanco.,19,20
9:24,249,Rickey Brice Jr. missed Jumper.,19,20
9:24,2545,Moses Greenwood Defensive Rebound.,19,20
8:49,2545,SE Louisiana  Turnover.,19,20
8:41,2545,Foul on Marlain Veal.,19,20
8:25,249,Rickey Brice Jr. made Jumper.,19,22
8:07,2545,Moses Greenwood Turnover.,19,22
7:43,249,Rickey Brice Jr. missed Jumper.,19,22
7:43,2545,Eddy Polanco Defensive Rebound.,19,22
7:28,2545,SE Louisiana  Timeout,19,22
7:10,2545,Jabbar Singleton missed Jumper.,19,22
7:10,2545,Eddy Polanco Offensive Rebound.,19,22
7:07,249,Foul on Rickey Brice Jr..,19,22
7:07,2545,Eddy Polanco made Free Throw.,20,22
7:07,2545,Eddy Polanco made Free Throw.,21,22
6:47,249,Ja'Michael Brown missed Three Point Jumper.,21,22
6:47,2545,Jabbar Singleton Defensive Rebound.,21,22
6:29,2545,Eddy Polanco Turnover.,21,22
6:27,249,A.J. Lawson Steal.,21,22
6:09,249,A.J. Lawson made Three Point Jumper. Assisted by Jeremy Combs.,21,25
5:48,2545,Jabbar Singleton missed Jumper.,21,25
5:48,249,Shane Temara Block.,21,25
5:45,2545,Jabbar Singleton Offensive Rebound.,21,25
5:38,2545,Davon Hayes missed Jumper.,21,25
5:38,249,Shane Temara Block.,21,25
5:35,249,Shane Temara Defensive Rebound.,21,25
5:32,249,Jeremy Combs made Dunk. Assisted by Ja'Michael Brown.,21,27
5:12,2545,Foul on Eddy Polanco.,21,27
5:12,2545,Eddy Polanco Turnover.,21,27
5:10,249,Jeremy Combs missed Jumper.,21,27
5:10,249,Ryan Woolridge Offensive Rebound.,21,27
4:59,249,A.J. Lawson missed Three Point Jumper.,21,27
4:59,249,Jeremy Combs Offensive Rebound.,21,27
4:55,249,Jeremy Combs Turnover.,21,27
4:28,2545,Davon Hayes made Jumper.,23,27
3:57,249,Ryan Woolridge missed Layup.,23,27
3:57,2545,SE Louisiana Defensive Rebound.,23,27
3:55,249,Official TV Timeout,23,27
3:39,2545,Davon Hayes made Three Point Jumper. Assisted by Jabbar Singleton.,26,27
3:25,249,Keith Frazier missed Three Point Jumper.,26,27
3:25,249,North Texas Offensive Rebound.,26,27
3:01,249,Keith Frazier made Three Point Jumper. Assisted by J-Mychal Reese.,26,30
2:51,249,Foul on Keith Frazier.,26,30
2:33,249,Foul on Shane Temara.,26,30
2:33,2545,Dominic Nelson missed Free Throw.,26,30
2:33,2545,SE Louisiana Deadball Team Rebound.,26,30
2:33,2545,Dominic Nelson made Free Throw.,27,30
2:12,2545,Foul on Davon Hayes.,27,30
1:52,249,Jeremy Combs missed Jumper.,27,30
1:52,2545,Moses Greenwood Defensive Rebound.,27,30
1:41,249,Foul on Jeremy Combs.,27,30
1:41,2545,Davon Hayes made Free Throw.,28,30
1:41,2545,Davon Hayes made Free Throw.,29,30
1:25,249,Foul on Jeremy Combs.,29,30
1:25,249,Jeremy Combs Turnover.,29,30
1:02,2545,Davon Hayes missed Three Point Jumper.,29,30
1:02,249,Allante Holston Defensive Rebound.,29,30
0:52,249,Ja'Michael Brown made Layup.,29,32
0:39,2545,Marlain Veal made Jumper.,31,32
0:32,2545,Foul on Moses Greenwood.,31,32
0:32,249,Allante Holston made Free Throw.,31,33
0:32,249,Allante Holston missed Free Throw.,31,33
0:32,2545,Dominic Nelson Defensive Rebound.,31,33
0:20,2545,SE Louisiana  Turnover.,31,33
0:20,249,North Texas  Timeout,31,33
0:00,249,Keith Frazier missed Three Point Jumper.,31,33
0:00,249,North Texas Offensive Rebound.,31,33
0:00,249,End of 1st half,31,33
19:42,249,A.J. Lawson missed Three Point Jumper.,31,33
19:42,2545,James Currington Defensive Rebound.,31,33
19:09,2545,Moses Greenwood made Jumper.,33,33
18:51,249,Rickey Brice Jr. made Jumper.,33,35
18:26,2545,Davon Hayes made Jumper. Assisted by Chris Mejia.,35,35
17:59,249,A.J. Lawson made Layup.,35,37
17:35,2545,Davon Hayes made Jumper.,37,37
17:20,249,Jeremy Combs made Jumper.,37,39
16:59,249,Foul on J-Mychal Reese.,37,39
16:43,2545,Moses Greenwood missed Jumper.,37,39
16:43,249,A.J. Lawson Defensive Rebound.,37,39
16:25,2545,Foul on James Currington.,37,39
16:25,249,Rickey Brice Jr. made Free Throw.,37,40
16:25,249,Rickey Brice Jr. made Free Throw.,37,41
16:09,2545,Davon Hayes made Jumper. Assisted by Dimi Cook.,39,41
16:07,2545,SE Louisiana  Timeout,39,41
15:51,249,Jeremy Combs missed Layup.,39,41
15:51,2545,Dominic Nelson Defensive Rebound.,39,41
15:44,2545,Davon Hayes made Layup.,41,41
15:28,249,Keith Frazier missed Three Point Jumper.,41,41
15:28,2545,Dimi Cook Defensive Rebound.,41,41
15:08,249,Foul on J-Mychal Reese.,41,41
15:08,2545,SE Louisiana  Timeout,41,41
14:58,2545,Marlain Veal missed Three Point Jumper.,41,41
14:58,249,Ryan Woolridge Defensive Rebound.,41,41
14:48,249,Shane Temara made Layup. Assisted by Keith Frazier.,41,43
14:32,2545,Foul on Davon Hayes.,41,43
14:32,2545,Davon Hayes Turnover.,41,43
14:04,249,Ryan Woolridge made Three Point Jumper. Assisted by Derail Green.,41,46
13:46,2545,Davon Hayes missed Jumper.,41,46
13:46,249,Keith Frazier Defensive Rebound.,41,46
13:37,2545,Foul on Dominic Nelson.,41,46
13:37,249,Ryan Woolridge made Free Throw.,41,47
13:37,249,Ryan Woolridge made Free Throw.,41,48
13:23,2545,Dimi Cook Turnover.,41,48
13:19,249,Ryan Woolridge Steal.,41,48
13:14,249,Keith Frazier made Layup. Assisted by Ja'Michael Brown.,41,50
13:08,2545,Dimi Cook Turnover.,41,50
13:02,2545,Foul on Davon Hayes.,41,50
12:53,249,Ja'Michael Brown missed Three Point Jumper.,41,50
12:53,249,Ryan Woolridge Offensive Rebound.,41,50
12:23,249,Keith Frazier Turnover.,41,50
12:04,2545,Eddy Polanco Turnover.,41,50
12:04,249,Derail Green Steal.,41,50
12:04,249,North Texas  Timeout,41,50
11:37,249,Ryan Woolridge made Layup.,41,52
11:06,249,Foul on Ryan Woolridge.,41,52
10:51,2545,Eddy Polanco Turnover.,41,52
10:49,249,Ja'Michael Brown Steal.,41,52
10:45,249,Ja'Michael Brown Turnover.,41,52
10:14,2545,Moses Greenwood missed Jumper.,41,52
10:14,249,Ja'Michael Brown Defensive Rebound.,41,52
10:07,249,Derail Green made Three Point Jumper. Assisted by Ja'Michael Brown.,41,55
9:48,2545,Moses Greenwood made Jumper.,43,55
9:48,2545,SE Louisiana  Timeout,43,55
9:29,249,J-Mychal Reese Turnover.,43,55
9:29,2545,Moses Greenwood Steal.,43,55
9:09,2545,Foul on Dominic Nelson.,43,55
9:09,2545,Dominic Nelson Turnover.,43,55
8:58,2545,Foul on Dominic Nelson.,43,55
8:58,249,Rickey Brice Jr. made Free Throw.,43,56
8:58,249,Rickey Brice Jr. made Free Throw.,43,57
8:43,2545,Marlain Veal made Layup.,45,57
8:34,2545,Foul on Moses Greenwood.,45,57
8:34,249,Rickey Brice Jr. made Free Throw.,45,58
8:34,249,Rickey Brice Jr. made Free Throw.,45,59
8:24,249,Foul on Rickey Brice Jr..,45,59
8:24,2545,Moses Greenwood made Free Throw.,46,59
8:24,2545,Moses Greenwood made Free Throw.,47,59
8:16,249,Jeremy Combs made Dunk. Assisted by J-Mychal Reese.,47,61
7:57,2545,George Brock missed Jumper.,47,61
7:57,249,Jeremy Combs Block.,47,61
7:53,2545,Moses Greenwood Offensive Rebound.,47,61
7:52,2545,James Currington Steal.,47,61
7:52,249,Foul on Jeremy Combs.,47,61
7:52,2545,SE Louisiana  Timeout,47,61
7:52,249,Jeremy Combs Turnover.,47,61
7:52,2545,Moses Greenwood made Free Throw.,48,61
7:52,2545,Moses Greenwood made Free Throw.,49,61
7:52,249,A.J. Lawson Turnover.,49,61
7:49,249,Foul on A.J. Lawson.,49,61
7:49,2545,James Currington made Free Throw.,50,61
7:49,2545,James Currington made Free Throw.,51,61
7:37,2545,Foul on Marlain Veal.,51,61
7:37,249,Ryan Woolridge missed Free Throw.,51,61
7:37,249,North Texas Deadball Team Rebound.,51,61
7:37,249,Ryan Woolridge missed Free Throw.,51,61
7:37,2545,James Currington Defensive Rebound.,51,61
7:15,2545,George Brock missed Jumper.,51,61
7:15,249,Keith Frazier Defensive Rebound.,51,61
6:53,249,Allante Holston Turnover.,51,61
6:36,2545,James Currington made Jumper.,53,61
6:29,249,North Texas  Timeout,53,61
6:13,249,Ryan Woolridge missed Jumper.,53,61
6:13,2545,James Currington Defensive Rebound.,53,61
5:49,2545,Marlain Veal missed Three Point Jumper.,53,61
5:49,249,Ryan Woolridge Defensive Rebound.,53,61
5:43,249,Jeremy Combs missed Dunk.,53,61
5:43,2545,SE Louisiana Defensive Rebound.,53,61
5:23,2545,Moses Greenwood Turnover.,53,61
5:02,249,Derail Green missed Three Point Jumper.,53,61
5:02,2545,Davon Hayes Defensive Rebound.,53,61
4:55,2545,Davon Hayes Turnover.,53,61
4:55,249,Ryan Woolridge Steal.,53,61
4:26,249,Ja'Michael Brown missed Three Point Jumper.,53,61
4:26,249,Ryan Woolridge Offensive Rebound.,53,61
4:00,2545,Foul on James Currington.,53,61
4:00,249,Jeremy Combs missed Free Throw.,53,61
4:00,249,North Texas Deadball Team Rebound.,53,61
4:00,249,Jeremy Combs made Free Throw.,53,62
3:51,2545,Jabbar Singleton Turnover.,53,62
3:48,249,Derail Green Steal.,53,62
3:23,2545,Moses Greenwood Steal.,53,62
3:23,249,Ryan Woolridge Turnover.,53,62
3:21,2545,SE Louisiana  Timeout,53,62
2:56,2545,Moses Greenwood missed Jumper.,53,62
2:56,249,North Texas Defensive Rebound.,53,62
2:18,249,Foul on J-Mychal Reese.,53,62
2:18,249,J-Mychal Reese Turnover.,53,62
2:03,249,Foul on Ja'Michael Brown.,53,62
2:03,2545,Davon Hayes missed Free Throw.,53,62
2:03,2545,Moses Greenwood Offensive Rebound.,53,62
1:58,249,Foul on Jeremy Combs.,53,62
1:58,2545,Moses Greenwood made Free Throw.,54,62
1:58,2545,Moses Greenwood missed Free Throw.,54,62
1:58,249,Derail Green Defensive Rebound.,54,62
1:39,249,Jeremy Combs missed Jumper.,54,62
1:39,2545,Marlain Veal Defensive Rebound.,54,62
1:36,2545,Marlain Veal Turnover.,54,62
1:34,249,J-Mychal Reese Steal.,54,62
1:05,249,North Texas  Turnover.,54,62
0:58,2545,Marlain Veal made Jumper.,56,62
0:53,2545,Foul on Marlain Veal.,56,62
0:53,249,J-Mychal Reese made Free Throw.,56,63
0:53,249,J-Mychal Reese made Free Throw.,56,64
0:47,2545,Eddy Polanco missed Three Point Jumper.,56,64
0:47,249,Keith Frazier Block.,56,64
0:44,249,Keith Frazier Defensive Rebound.,56,64
0:36,249,Keith Frazier made Layup.,56,66
0:31,2545,Marlain Veal made Three Point Jumper.,59,66
0:22,2545,Foul on James Currington.,59,66
0:22,249,J-Mychal Reese made Free Throw.,59,67
0:22,249,J-Mychal Reese made Free Throw.,59,68
0:16,2545,Marlain Veal missed Three Point Jumper.,59,68
0:16,2545,James Currington Offensive Rebound.,59,68
0:14,249,J-Mychal Reese made Free Throw.,59,69
0:14,2545,Foul on Marlain Veal.,59,69
0:14,249,J-Mychal Reese made Free Throw.,61,70
0:13,2545,James Currington made Jumper.,61,69
0:09,2545,Davon Hayes made Layup.,63,70
0:04,2545,Foul on Marlain Veal.,63,70
0:04,249,Ja'Michael Brown missed Free Throw.,63,70
0:04,249,North Texas Deadball Team Rebound.,63,70
0:04,249,Ja'Michael Brown made Free Throw.,63,71
0:00,2545,George Brock missed Layup.,63,71
0:00,2545,James Currington Offensive Rebound.,63,71
0:00,2545,James Currington made Two Point Tip Shot.,65,71
0:00,249,End of Game,63,71
