Richmond,256,James Madison,257
7:48,256,Official TV Timeout,19,13
7:27,257,Julius Johnson made Three Point Jumper. Assisted by Paul Friendshuh.,22,13
6:53,256,Joey McLean missed Three Point Jumper.,22,13
6:53,256,Yohanny Dalembert Offensive Rebound.,22,13
6:49,256,Shakir Brown missed Three Point Jumper.,22,13
6:49,257,Nick Sherod Defensive Rebound.,22,13
6:44,257,ShawnDre' Jones missed Three Point Jumper.,22,13
6:44,256,Shakir Brown Defensive Rebound.,22,13
6:26,256,Yohanny Dalembert made Layup.,22,15
6:26,257,Foul on Paul Friendshuh.,22,15
6:26,256,Yohanny Dalembert missed Free Throw.,22,15
6:26,257,T.J. Cline Defensive Rebound.,22,15
6:03,257,Khwan Fore made Layup.,24,15
5:40,257,Foul on T.J. Cline.,24,15
5:28,257,Foul on De'Monte Buckingham.,24,15
5:22,256,Foul on Paulius Satkus.,24,15
5:22,256,Paulius Satkus Turnover.,24,15
5:11,257,T.J. Cline missed Three Point Jumper.,24,15
5:11,256,Joey McLean Defensive Rebound.,24,15
5:02,256,Jackson Kent missed Three Point Jumper.,24,15
5:02,256,Paulius Satkus Offensive Rebound.,24,15
4:58,256,Paulius Satkus made Layup.,24,17
4:46,257,T.J. Cline Turnover.,24,17
4:34,257,Foul on Marshall Wood.,24,17
4:34,256,Paulius Satkus made Free Throw.,24,18
4:34,256,Paulius Satkus missed Free Throw.,24,18
4:34,256,Shakir Brown Offensive Rebound.,24,18
4:15,256,Tom Vodanovich made Layup. Assisted by Jackson Kent.,24,20
4:03,256,Foul on Paulius Satkus.,24,20
3:56,257,ShawnDre' Jones made Jumper. Assisted by Nick Sherod.,26,20
3:37,256,Shakir Brown Turnover.,26,20
3:36,256,Official TV Timeout,26,20
3:24,257,Julius Johnson made Layup. Assisted by T.J. Cline.,28,20
3:24,256,Foul on Jackson Kent.,28,20
3:24,257,Julius Johnson made Free Throw.,29,20
3:05,256,Yohanny Dalembert Turnover.,29,20
3:03,257,T.J. Cline Steal.,29,20
2:54,257,Khwan Fore missed Three Point Jumper.,29,20
2:54,256,Yohanny Dalembert Defensive Rebound.,29,20
2:29,256,Ramone Snowden made Jumper. Assisted by Tom Vodanovich.,29,22
2:14,257,Julius Johnson made Three Point Jumper. Assisted by ShawnDre' Jones.,32,22
1:56,256,Yohanny Dalembert Turnover.,32,22
1:54,257,T.J. Cline Steal.,32,22
1:47,257,T.J. Cline missed Layup.,32,22
1:47,256,Yohanny Dalembert Block.,32,22
1:47,257,Richmond Offensive Rebound.,32,22
1:46,257,T.J. Cline missed Layup.,32,22
1:46,256,Paulius Satkus Defensive Rebound.,32,22
1:36,256,Tom Vodanovich missed Three Point Jumper.,32,22
1:36,257,Khwan Fore Defensive Rebound.,32,22
1:26,256,Foul on Ramone Snowden.,32,22
1:13,257,T.J. Cline made Jumper. Assisted by Nick Sherod.,34,22
0:55,256,Foul on Paulius Satkus.,34,22
0:55,256,Paulius Satkus Turnover.,34,22
0:46,257,T.J. Cline made Layup. Assisted by ShawnDre' Jones.,36,22
0:44,256,James Madison  Timeout,36,22
0:35,257,Foul on ShawnDre' Jones.,36,22
0:35,256,Jackson Kent made Free Throw.,36,23
0:35,256,Jackson Kent missed Free Throw.,36,23
0:35,257,T.J. Cline Defensive Rebound.,36,23
0:10,257,Nick Sherod missed Three Point Jumper.,36,23
0:10,257,Khwan Fore Offensive Rebound.,36,23
0:04,257,Khwan Fore missed Layup.,36,23
0:04,256,Tom Vodanovich Defensive Rebound.,36,23
0:00,256,End of 1st half,36,23
19:48,257,Foul on Khwan Fore.,36,23
19:41,257,Foul on Khwan Fore.,36,23
19:32,256,Joey McLean made Jumper.,36,25
19:14,257,T.J. Cline missed Layup.,36,25
19:14,256,Tom Vodanovich Block.,36,25
19:12,256,Ivan Lukic Defensive Rebound.,36,25
19:01,256,Jackson Kent missed Jumper.,36,25
19:01,257,T.J. Cline Defensive Rebound.,36,25
18:43,257,De'Monte Buckingham missed Three Point Jumper.,36,25
18:43,256,Tom Vodanovich Defensive Rebound.,36,25
18:26,256,Ramone Snowden Turnover.,36,25
18:25,257,De'Monte Buckingham Steal.,36,25
18:10,257,Khwan Fore Turnover.,36,25
18:08,256,Joey McLean Steal.,36,25
18:07,257,Foul on ShawnDre' Jones.,36,25
17:57,256,Jackson Kent Turnover.,36,25
17:55,257,Khwan Fore Steal.,36,25
17:50,257,Khwan Fore missed Layup.,36,25
17:50,256,Ramone Snowden Defensive Rebound.,36,25
17:25,256,Ivan Lukic made Layup. Assisted by Ramone Snowden.,36,27
17:17,256,Foul on Jackson Kent.,36,27
17:06,257,ShawnDre' Jones made Three Point Jumper. Assisted by Marshall Wood.,39,27
16:42,257,Foul on ShawnDre' Jones.,39,27
16:42,256,Tom Vodanovich made Free Throw.,39,28
16:42,256,Tom Vodanovich made Free Throw.,39,29
16:25,256,Foul on Ivan Lukic.,39,29
16:25,257,T.J. Cline made Free Throw.,40,29
16:25,257,T.J. Cline missed Free Throw.,40,29
16:25,256,Tom Vodanovich Defensive Rebound.,40,29
16:07,256,Ramone Snowden Turnover.,40,29
15:54,257,Marshall Wood made Layup.,42,29
15:54,256,Foul on Ramone Snowden.,42,29
15:54,256,Official TV Timeout,42,29
15:53,257,Marshall Wood missed Free Throw.,42,29
15:53,256,Vince Holmes Defensive Rebound.,42,29
15:30,256,Shakir Brown missed Jumper.,42,29
15:30,257,T.J. Cline Defensive Rebound.,42,29
15:05,257,T.J. Cline missed Three Point Jumper.,42,29
15:05,257,Marshall Wood Offensive Rebound.,42,29
15:04,256,Foul on Vince Holmes.,42,29
15:02,257,Paul Friendshuh missed Jumper.,42,29
15:02,256,Paulius Satkus Defensive Rebound.,42,29
14:45,256,Vince Holmes missed Three Point Jumper.,42,29
14:45,256,James Madison Offensive Rebound.,42,29
14:42,257,Foul on Paul Friendshuh.,42,29
14:33,256,Paulius Satkus made Layup. Assisted by Tom Vodanovich.,42,31
14:14,257,ShawnDre' Jones missed Layup.,42,31
14:14,257,ShawnDre' Jones Offensive Rebound.,42,31
14:07,257,Paul Friendshuh Turnover.,42,31
13:43,256,Tyriq Nady missed Jumper.,42,31
13:43,256,Vince Holmes Offensive Rebound.,42,31
13:41,256,Foul on Vince Holmes.,42,31
13:41,256,Vince Holmes Turnover.,42,31
13:31,257,Marshall Wood missed Three Point Jumper.,42,31
13:31,256,Tom Vodanovich Defensive Rebound.,42,31
13:02,257,Foul on De'Monte Buckingham.,42,31
13:02,256,Shakir Brown missed Free Throw.,42,31
13:02,256,James Madison Deadball Team Rebound.,42,31
13:02,256,Shakir Brown made Free Throw.,42,32
12:51,256,Foul on Joey McLean.,42,32
12:35,257,T.J. Cline made Layup. Assisted by ShawnDre' Jones.,44,32
12:23,257,Khwan Fore Turnover.,44,32
12:22,257,Foul on Marshall Wood.,44,32
12:22,256,Foul on Paulius Satkus.,44,32
12:22,257,Foul on T.J. Cline.,44,32
12:21,256,Tom Vodanovich made Free Throw.,44,33
12:21,256,Tom Vodanovich made Free Throw.,44,34
12:14,256,Shakir Brown missed Three Point Jumper.,44,34
12:14,257,T.J. Cline Defensive Rebound.,44,34
11:57,257,ShawnDre' Jones made Layup.,46,34
11:45,256,Joey McLean missed Three Point Jumper.,46,34
11:45,257,Julius Johnson Defensive Rebound.,46,34
11:21,257,Foul on T.J. Cline.,46,34
11:21,257,T.J. Cline Turnover.,46,34
11:21,256,Official TV Timeout,46,34
11:02,256,Foul on Tom Vodanovich.,46,34
11:02,256,Tom Vodanovich Turnover.,46,34
11:02,257,Julius Johnson Turnover.,46,34
10:58,256,Shakir Brown missed Jumper.,46,34
10:58,256,Shakir Brown Offensive Rebound.,46,34
10:57,257,Foul on Nick Sherod.,46,34
10:57,256,Shakir Brown made Free Throw.,46,35
10:57,256,Shakir Brown missed Free Throw.,46,35
10:57,257,Nick Sherod Defensive Rebound.,46,35
10:39,256,Foul on Ivan Lukic.,46,35
10:39,257,Nick Sherod made Free Throw.,47,35
10:39,257,Nick Sherod made Free Throw.,48,35
10:21,256,Joey McLean made Three Point Jumper. Assisted by Shakir Brown.,48,38
9:55,256,Foul on Ivan Lukic.,48,38
9:55,257,ShawnDre' Jones made Free Throw.,49,38
9:55,257,ShawnDre' Jones made Free Throw.,50,38
9:32,256,Shakir Brown missed Three Point Jumper.,50,38
9:32,257,Richmond Defensive Rebound.,50,38
9:02,257,Nick Sherod made Three Point Jumper. Assisted by T.J. Cline.,53,38
8:34,256,Joey McLean missed Three Point Jumper.,53,38
8:34,257,T.J. Cline Defensive Rebound.,53,38
8:07,257,ShawnDre' Jones missed Layup.,53,38
8:07,256,Shakir Brown Defensive Rebound.,53,38
7:52,256,Ramone Snowden missed Layup.,53,38
7:52,256,Vince Holmes Offensive Rebound.,53,38
7:47,256,Vince Holmes made Two Point Tip Shot.,53,40
7:36,256,Foul on Vince Holmes.,53,40
7:36,256,Official TV Timeout,53,40
7:36,257,De'Monte Buckingham missed Free Throw.,53,40
7:36,257,Richmond Deadball Team Rebound.,53,40
7:36,257,De'Monte Buckingham missed Free Throw.,53,40
7:36,256,Tom Vodanovich Defensive Rebound.,53,40
7:18,256,Tom Vodanovich Turnover.,53,40
7:16,257,De'Monte Buckingham Steal.,53,40
6:57,256,Foul on Shakir Brown.,53,40
6:57,257,De'Monte Buckingham made Free Throw.,54,40
6:57,257,De'Monte Buckingham made Free Throw.,55,40
6:51,256,Jackson Kent Turnover.,55,40
6:51,257,De'Monte Buckingham Steal.,55,40
6:51,257,Richmond  Timeout,55,40
6:26,257,T.J. Cline made Three Point Jumper. Assisted by Julius Johnson.,58,40
6:01,256,Tom Vodanovich made Layup. Assisted by Vince Holmes.,58,42
5:49,257,Khwan Fore Turnover.,58,42
5:49,256,Terrence Johnson Steal.,58,42
5:38,256,Jackson Kent missed Three Point Jumper.,58,42
5:38,257,T.J. Cline Defensive Rebound.,58,42
5:09,257,ShawnDre' Jones missed Three Point Jumper.,58,42
5:09,256,Ramone Snowden Defensive Rebound.,58,42
4:49,257,Foul on De'Monte Buckingham.,58,42
4:49,256,Jackson Kent made Free Throw.,58,43
4:49,256,Jackson Kent missed Free Throw.,58,43
4:49,257,T.J. Cline Defensive Rebound.,58,43
4:22,257,ShawnDre' Jones missed Jumper.,58,43
4:22,256,Vince Holmes Block.,58,43
4:18,256,Jackson Kent Defensive Rebound.,58,43
4:15,256,Terrence Johnson missed Three Point Jumper.,58,43
4:15,257,Khwan Fore Defensive Rebound.,58,43
4:08,257,T.J. Cline made Layup. Assisted by Khwan Fore.,60,43
4:07,257,Richmond  Timeout,60,43
3:47,256,Jackson Kent made Layup.,60,45
3:34,257,Nick Sherod made Layup. Assisted by T.J. Cline.,62,45
3:06,256,Ramone Snowden made Layup. Assisted by Terrence Johnson.,62,47
3:02,256,Foul on Terrence Johnson.,62,47
3:02,257,Nick Sherod made Free Throw.,63,47
3:02,257,Nick Sherod made Free Throw.,64,47
2:42,256,Foul on Tom Vodanovich.,64,47
2:42,256,Tom Vodanovich Turnover.,64,47
2:17,257,De'Monte Buckingham made Jumper. Assisted by ShawnDre' Jones.,66,47
2:17,256,Foul on Vince Holmes.,66,47
2:17,257,De'Monte Buckingham made Free Throw.,67,47
2:07,256,Ramone Snowden missed Layup.,67,47
2:07,256,Ramone Snowden Offensive Rebound.,67,47
2:05,256,Ramone Snowden missed Layup.,67,47
2:05,256,Ramone Snowden Offensive Rebound.,67,47
2:00,256,Ramone Snowden made Two Point Tip Shot.,67,49
2:00,256,James Madison  Timeout,67,49
1:51,257,Marshall Wood missed Layup.,67,49
1:51,256,James Madison Defensive Rebound.,67,49
1:45,257,Foul on Kwesi Abakah.,67,49
1:45,256,Tom Vodanovich made Free Throw.,67,50
1:45,256,Tom Vodanovich made Free Throw.,67,51
1:41,256,Foul on Vince Holmes.,67,51
1:41,257,Khwan Fore missed Free Throw.,67,51
1:41,257,Richmond Deadball Team Rebound.,67,51
1:41,257,Khwan Fore made Free Throw.,68,51
1:36,257,Foul on Julius Johnson.,68,51
1:36,256,Jackson Kent missed Free Throw.,68,51
1:36,256,James Madison Deadball Team Rebound.,68,51
1:36,256,Jackson Kent made Free Throw.,68,52
1:16,257,De'Monte Buckingham Turnover.,68,52
1:11,256,Jackson Kent missed Three Point Jumper.,68,52
1:11,257,Richmond Deadball Team Rebound.,68,52
1:10,256,Foul on Shakir Brown.,68,52
1:10,257,De'Monte Buckingham made Free Throw.,69,52
1:10,257,De'Monte Buckingham made Free Throw.,70,52
1:01,256,Shakir Brown made Three Point Jumper. Assisted by Jackson Kent.,70,55
0:59,256,James Madison  Timeout,70,55
0:46,256,Foul on Shakir Brown.,70,55
0:46,257,De'Monte Buckingham made Free Throw.,71,55
0:46,257,De'Monte Buckingham made Free Throw.,72,55
0:34,256,Jackson Kent Turnover.,72,55
0:11,257,Julius Johnson made Three Point Jumper. Assisted by Khwan Fore.,75,55
0:04,256,Shakir Brown missed Three Point Jumper.,75,55
0:04,256,Tyriq Nady Offensive Rebound.,75,55
0:01,256,Tyriq Nady Turnover.,75,55
0:00,256,End of Game,75,55
