Lipscomb,2046,Austin Peay,288
12:34,288,Aaron Korn Defensive Rebound.,18,12
12:17,288,Aaron Korn made Three Point Jumper. Assisted by Garrison Mathews.,21,12
12:14,2046,Austin Peay  Timeout,21,12
12:14,2046,Official TV Timeout,21,12
12:06,2046,Josh Robinson Turnover.,21,12
12:04,288,Kenny Cooper Steal.,21,12
12:03,288,Kenny Cooper made Dunk.,23,12
11:51,2046,Josh Robinson made Three Point Jumper.,23,15
11:42,288,Eli Pepper made Three Point Jumper. Assisted by Michael Buckland.,26,15
11:27,2046,Zach Glotta missed Three Point Jumper.,26,15
11:27,288,Eli Pepper Defensive Rebound.,26,15
11:12,288,Rob Marberry Turnover.,26,15
11:11,2046,Josh Robinson Steal.,26,15
11:06,288,Foul on Eli Pepper.,26,15
11:06,2046,John Murry made Free Throw.,26,16
11:06,2046,John Murry made Free Throw.,26,17
10:49,288,Foul on Rob Marberry.,26,17
10:49,288,Rob Marberry Turnover.,26,17
10:38,288,Foul on Eli Pepper.,26,17
10:38,2046,Kenny Jones missed Free Throw.,26,17
10:38,2046,Austin Peay Deadball Team Rebound.,26,17
10:38,2046,Kenny Jones made Free Throw.,26,18
10:16,288,Garrison Mathews made Three Point Jumper. Assisted by Nathan Moran.,29,18
9:51,2046,Zach Glotta missed Three Point Jumper.,29,18
9:51,288,Nathan Moran Defensive Rebound.,29,18
9:43,288,Nathan Moran made Three Point Jumper.,32,18
9:25,2046,Foul on John Murry.,32,18
9:25,2046,John Murry Turnover.,32,18
9:07,288,George Brammeier missed Layup.,32,18
9:07,2046,John Murry Defensive Rebound.,32,18
9:00,2046,Assane Diop made Layup. Assisted by Tre' Ivory.,32,20
9:00,288,Foul on George Brammeier.,32,20
9:00,2046,Assane Diop missed Free Throw.,32,20
9:00,288,Garrison Mathews Defensive Rebound.,32,20
8:50,2046,Foul on Chris Porter-Bunton.,32,20
8:36,288,George Brammeier made Layup. Assisted by Nathan Moran.,34,20
8:20,2046,Josh Robinson made Three Point Jumper. Assisted by Assane Diop.,34,23
8:06,288,Garrison Mathews missed Three Point Jumper.,34,23
8:06,2046,Assane Diop Defensive Rebound.,34,23
7:42,2046,Tre' Ivory made Jumper.,34,25
7:33,288,Nathan Moran made Three Point Jumper. Assisted by Garrison Mathews.,37,25
6:58,2046,Foul on John Murry.,37,25
6:58,2046,John Murry Turnover.,37,25
6:58,2046,Official TV Timeout,37,25
6:49,288,Garrison Mathews missed Three Point Jumper.,37,25
6:49,2046,Josh Robinson Defensive Rebound.,37,25
6:25,2046,Chris Porter-Bunton made Layup. Assisted by Tre' Ivory.,37,27
5:59,2046,Foul on Tre' Ivory.,37,27
5:59,288,Michael Buckland made Free Throw.,38,27
5:59,288,Michael Buckland missed Free Throw.,38,27
5:59,2046,Assane Diop Defensive Rebound.,38,27
5:47,2046,Chris Porter-Bunton made Layup. Assisted by Tre' Ivory.,38,29
5:47,288,Foul on George Brammeier.,38,29
5:47,2046,Chris Porter-Bunton missed Free Throw.,38,29
5:47,288,George Brammeier Defensive Rebound.,38,29
5:31,288,Kenny Cooper made Three Point Jumper. Assisted by Michael Buckland.,41,29
5:14,2046,Assane Diop missed Layup.,41,29
5:14,288,Kenny Cooper Defensive Rebound.,41,29
5:08,288,George Brammeier made Layup. Assisted by Kenny Cooper.,43,29
4:40,2046,Tre' Ivory missed Layup.,43,29
4:40,2046,Chris Porter-Bunton Offensive Rebound.,43,29
4:36,2046,Chris Porter-Bunton made Layup.,43,31
4:25,288,Garrison Mathews made Three Point Jumper. Assisted by Kenny Cooper.,46,31
4:03,2046,Tre' Ivory missed Layup.,46,31
4:03,288,Garrison Mathews Defensive Rebound.,46,31
3:55,288,Michael Buckland missed Three Point Jumper.,46,31
3:55,2046,Kenny Jones Defensive Rebound.,46,31
3:36,288,Foul on Kenny Cooper.,46,31
3:36,2046,Official TV Timeout,46,31
3:36,2046,Kenny Jones missed Free Throw.,46,31
3:36,2046,Chris Porter-Bunton Offensive Rebound.,46,31
3:34,288,Foul on George Brammeier.,46,31
3:34,2046,Chris Porter-Bunton made Free Throw.,46,32
3:34,2046,Chris Porter-Bunton missed Free Throw.,46,32
3:34,288,Lipscomb Deadball Team Rebound.,46,32
3:33,2046,Foul on Kenny Jones.,46,32
3:24,288,Kenny Cooper missed Layup.,46,32
3:24,288,Lipscomb Offensive Rebound.,46,32
3:19,288,Garrison Mathews Turnover.,46,32
3:17,2046,Zach Glotta Steal.,46,32
3:15,2046,Jared Savage made Dunk. Assisted by Chris Porter-Bunton.,46,34
3:00,288,Aaron Korn missed Layup.,46,34
3:00,2046,Kenny Jones Block.,46,34
2:58,2046,Chris Porter-Bunton Defensive Rebound.,46,34
2:35,2046,Zach Glotta made Three Point Jumper. Assisted by Kenny Jones.,46,37
2:31,288,Lipscomb  Timeout,46,37
2:12,288,George Brammeier made Layup. Assisted by Garrison Mathews.,48,37
1:53,2046,Kenny Jones missed Layup.,48,37
1:53,288,Aaron Korn Defensive Rebound.,48,37
1:47,288,Garrison Mathews made Three Point Jumper. Assisted by Kenny Cooper.,51,37
1:24,2046,Josh Robinson made Jumper.,51,39
0:57,288,Garrison Mathews missed Jumper.,51,39
0:57,2046,Josh Robinson Defensive Rebound.,51,39
0:34,2046,Josh Robinson made Layup.,51,41
0:04,288,Kenny Cooper Turnover.,51,41
0:02,2046,Jared Savage Steal.,51,41
0:01,2046,Josh Robinson missed Three Point Jumper.,51,41
0:01,2046,Austin Peay Deadball Team Rebound.,51,41
0:00,2046,End of 1st half,51,41
19:51,288,Josh Williams made Layup.,53,41
19:27,2046,John Murry missed Three Point Jumper.,53,41
19:27,288,Rob Marberry Defensive Rebound.,53,41
19:14,288,Eli Pepper missed Layup.,53,41
19:14,2046,Kenny Jones Block.,53,41
19:11,288,Rob Marberry Offensive Rebound.,53,41
19:10,288,Rob Marberry missed Layup.,53,41
19:10,288,Lipscomb Offensive Rebound.,53,41
19:04,288,Eli Pepper made Three Point Jumper.,56,41
18:50,288,Foul on Josh Williams.,56,41
18:30,2046,Kenny Jones made Layup.,56,43
18:30,288,Foul on Rob Marberry.,56,43
18:30,2046,Kenny Jones made Free Throw.,56,44
18:07,288,Garrison Mathews made Jumper.,58,44
17:53,2046,Chris Porter-Bunton made Layup.,58,46
17:38,288,Rob Marberry missed Layup.,58,46
17:38,2046,Kenny Jones Block.,58,46
17:37,288,Rob Marberry Offensive Rebound.,58,46
17:34,288,Rob Marberry Turnover.,58,46
17:33,2046,John Murry Steal.,58,46
17:31,288,Foul on Josh Williams.,58,46
17:27,2046,Josh Robinson made Layup.,58,48
16:57,288,Cam Miller Turnover.,58,48
16:49,2046,Chris Porter-Bunton made Three Point Jumper. Assisted by Josh Robinson.,58,51
16:20,288,Cam Miller missed Three Point Jumper.,58,51
16:20,2046,Austin Peay Deadball Team Rebound.,58,51
16:18,288,Foul on Eli Pepper.,58,51
16:09,2046,Josh Robinson made Layup.,58,53
15:55,288,Eli Pepper made Three Point Jumper.,61,53
15:34,2046,John Murry made Jumper. Assisted by Josh Robinson.,61,55
15:16,288,George Brammeier made Layup.,63,55
14:56,2046,Jared Savage made Three Point Jumper.,63,58
14:41,288,Foul on George Brammeier.,63,58
14:41,288,George Brammeier Turnover.,63,58
14:41,2046,Official TV Timeout,63,58
14:14,2046,Chris Porter-Bunton Turnover.,63,58
14:13,288,Michael Buckland Steal.,63,58
14:06,288,Michael Buckland Turnover.,63,58
13:48,2046,Kenny Jones made Jumper.,63,60
13:33,288,Kenny Cooper made Three Point Jumper. Assisted by Nathan Moran.,66,60
13:19,2046,Jared Savage made Three Point Jumper. Assisted by Josh Robinson.,66,63
13:00,288,Garrison Mathews missed Layup.,66,63
13:00,2046,Kenny Jones Block.,66,63
12:54,2046,Jared Savage Defensive Rebound.,66,63
12:51,2046,John Murry made Layup.,66,65
12:41,288,Kenny Cooper Turnover.,66,65
12:37,2046,Kenny Jones Steal.,66,65
12:36,2046,Kenny Jones made Dunk.,66,67
12:13,288,Garrison Mathews made Three Point Jumper. Assisted by Nathan Moran.,69,67
11:43,2046,Josh Robinson missed Three Point Jumper.,69,67
11:43,288,Eli Pepper Defensive Rebound.,69,67
11:33,288,Michael Buckland missed Layup.,69,67
11:33,288,Eli Pepper Offensive Rebound.,69,67
11:28,288,Kenny Cooper missed Three Point Jumper.,69,67
11:28,2046,Josh Robinson Defensive Rebound.,69,67
11:20,2046,John Murry missed Jumper.,69,67
11:20,288,Eli Pepper Defensive Rebound.,69,67
11:15,288,Eli Pepper Turnover.,69,67
11:13,2046,John Murry Steal.,69,67
11:11,2046,Jared Savage missed Three Point Jumper.,69,67
11:11,288,Kenny Cooper Block.,69,67
11:08,288,Michael Buckland Defensive Rebound.,69,67
11:08,2046,Foul on Jared Savage.,69,67
11:08,2046,Official TV Timeout,69,67
11:07,288,Garrison Mathews missed Three Point Jumper.,69,67
11:07,2046,John Murry Defensive Rebound.,69,67
10:43,2046,Kenny Jones made Dunk. Assisted by John Murry.,69,69
10:29,288,Nathan Moran made Three Point Jumper. Assisted by Michael Buckland.,72,69
10:09,2046,Kenny Jones Turnover.,72,69
9:55,288,Rob Marberry made Layup. Assisted by Garrison Mathews.,74,69
9:43,2046,Chris Porter-Bunton missed Three Point Jumper.,74,69
9:43,288,Nathan Moran Defensive Rebound.,74,69
9:34,288,Nathan Moran Turnover.,74,69
9:31,2046,Chris Porter-Bunton Steal.,74,69
9:27,2046,Josh Robinson missed Layup.,74,69
9:27,288,Rob Marberry Block.,74,69
9:25,288,Michael Buckland Defensive Rebound.,74,69
9:20,288,Garrison Mathews Turnover.,74,69
9:04,2046,John Murry missed Three Point Jumper.,74,69
9:04,288,Aaron Korn Defensive Rebound.,74,69
8:56,288,Aaron Korn made Three Point Jumper. Assisted by Nathan Moran.,77,69
8:33,2046,Josh Robinson Turnover.,77,69
8:32,288,Garrison Mathews Steal.,77,69
8:30,288,Garrison Mathews made Layup.,79,69
8:30,2046,Foul on Josh Robinson.,79,69
8:30,288,Garrison Mathews made Free Throw.,80,69
8:11,2046,Jared Savage missed Three Point Jumper.,80,69
8:11,288,Eli Pepper Defensive Rebound.,80,69
8:02,288,Kenny Cooper Turnover.,80,69
7:35,2046,Jared Savage made Jumper.,80,71
7:12,288,Kenny Cooper Turnover.,80,71
7:10,2046,Jared Savage Steal.,80,71
7:08,2046,Jared Savage made Dunk.,80,73
6:50,288,Garrison Mathews made Layup. Assisted by Eli Pepper.,82,73
6:35,2046,Josh Robinson Turnover.,82,73
6:35,2046,Official TV Timeout,82,73
6:21,288,Nathan Moran made Three Point Jumper. Assisted by Kenny Cooper.,85,73
6:06,2046,John Murry Turnover.,85,73
6:05,288,Kenny Cooper Steal.,85,73
6:02,2046,Foul on Josh Robinson.,85,73
6:02,288,Nathan Moran made Free Throw.,86,73
6:02,288,Nathan Moran made Free Throw.,87,73
5:51,2046,Josh Robinson missed Layup.,87,73
5:51,288,Rob Marberry Block.,87,73
5:49,288,Rob Marberry Defensive Rebound.,87,73
5:42,288,Aaron Korn made Three Point Jumper. Assisted by Kenny Cooper.,90,73
5:34,2046,Austin Peay  Timeout,90,73
5:34,2046,Official TV Timeout,90,73
5:27,2046,Jared Savage made Jumper. Assisted by Zach Glotta.,90,75
5:27,288,Foul on Michael Buckland.,90,75
5:27,2046,Jared Savage made Free Throw.,90,76
5:06,288,Rob Marberry made Layup.,92,76
4:55,2046,Jared Savage made Jumper. Assisted by Zach Glotta.,92,78
4:36,288,Nathan Moran missed Three Point Jumper.,92,78
4:36,2046,Jared Savage Defensive Rebound.,92,78
4:12,2046,Josh Robinson made Three Point Jumper.,92,81
3:49,2046,Foul on Assane Diop.,92,81
3:49,2046,Official TV Timeout,92,81
3:49,288,Michael Buckland missed Free Throw.,92,81
3:49,288,Lipscomb Deadball Team Rebound.,92,81
3:49,288,Michael Buckland made Free Throw.,93,81
3:47,2046,Jared Savage Turnover.,93,81
3:45,288,Michael Buckland Steal.,93,81
3:44,288,Michael Buckland made Layup.,95,81
3:15,2046,Josh Robinson missed Jumper.,95,81
3:15,288,Garrison Mathews Defensive Rebound.,95,81
3:15,2046,Foul on Assane Diop.,95,81
3:03,288,Rob Marberry missed Jumper.,95,81
3:03,2046,Jared Savage Defensive Rebound.,95,81
2:43,2046,Zach Glotta made Jumper.,95,83
2:24,288,Josh Williams missed Three Point Jumper.,95,83
2:24,2046,Josh Robinson Defensive Rebound.,95,83
2:16,2046,Foul on Josh Robinson.,95,83
2:16,2046,Josh Robinson Turnover.,95,83
2:00,288,Garrison Mathews missed Layup.,95,83
2:00,2046,Kenny Jones Block.,95,83
1:58,2046,Kenny Jones Defensive Rebound.,95,83
1:45,288,Foul on Nathan Moran.,95,83
1:45,2046,Josh Robinson made Free Throw.,95,84
1:45,2046,Josh Robinson missed Free Throw.,95,84
1:45,2046,Kenny Jones Offensive Rebound.,95,84
1:28,2046,Assane Diop missed Jumper.,95,84
1:28,288,Nathan Moran Defensive Rebound.,95,84
0:58,288,Foul on Garrison Mathews.,95,84
0:58,288,Garrison Mathews Turnover.,95,84
0:41,2046,Josh Robinson missed Three Point Jumper.,95,84
0:41,288,Lipscomb Deadball Team Rebound.,95,84
0:39,2046,Foul on Assane Diop.,95,84
0:39,288,Garrison Mathews missed Free Throw.,95,84
0:39,2046,Jared Savage Defensive Rebound.,95,84
0:33,288,Foul on Aaron Korn.,95,84
0:33,2046,Josh Robinson missed Free Throw.,95,84
0:33,2046,Austin Peay Deadball Team Rebound.,95,84
0:33,2046,Josh Robinson made Free Throw.,95,85
0:26,2046,Foul on Jared Savage.,95,85
0:26,288,Kenny Cooper missed Free Throw.,95,85
0:26,288,Garrison Mathews Offensive Rebound.,95,85
0:20,2046,Foul on Josh Robinson.,95,85
0:20,288,Nathan Moran made Free Throw.,96,85
0:20,288,Nathan Moran made Free Throw.,97,85
0:15,2046,Josh Robinson missed Three Point Jumper.,97,85
0:15,288,Eli Pepper Defensive Rebound.,97,85
0:06,2046,Foul on Zach Glotta.,97,85
0:06,288,Garrison Mathews made Free Throw.,98,85
0:06,288,Garrison Mathews made Free Throw.,99,85
0:00,2046,Jared Savage missed Three Point Jumper.,99,85
0:00,288,Nathan Moran Defensive Rebound.,99,85
0:00,2046,End of Game,99,85
