Fresno State,2483,Oregon,278
12:37,2483,Tyler Dorsey made Layup. Assisted by Dylan Ennis.,8,13
12:19,278,Deshon Taylor made Three Point Jumper. Assisted by Cullen Russo.,11,13
11:50,2483,Tyler Dorsey missed Jumper.,11,13
11:50,278,Paul Watson Block.,11,13
11:48,2483,Keith Smith Offensive Rebound.,11,13
11:47,2483,Keith Smith made Two Point Tip Shot.,11,15
11:28,278,Deshon Taylor missed Three Point Jumper.,11,15
11:28,278,Paul Watson Offensive Rebound.,11,15
11:19,2483,Foul on Jordan Bell.,11,15
11:19,2483,Official TV Timeout,11,15
11:19,278,Karachi Edo missed Free Throw.,11,15
11:19,278,Fresno St Deadball Team Rebound.,11,15
11:19,278,Karachi Edo made Free Throw.,12,15
10:51,2483,Dylan Ennis made Layup.,12,17
10:31,278,Jaron Hopkins missed Jumper.,12,17
10:31,2483,Casey Benson Defensive Rebound.,12,17
10:08,2483,Casey Benson missed Three Point Jumper.,12,17
10:08,278,Jaron Hopkins Defensive Rebound.,12,17
10:00,278,Jaron Hopkins missed Layup.,12,17
10:00,2483,Casey Benson Defensive Rebound.,12,17
9:53,2483,Dylan Ennis made Layup. Assisted by Tyler Dorsey.,12,19
9:53,278,Foul on Terrell Carter II.,12,19
9:53,2483,Dylan Ennis made Free Throw.,12,20
9:30,278,Karachi Edo made Three Point Jumper. Assisted by Deshon Taylor.,15,20
8:59,2483,Kavell Bigby-Williams Turnover.,15,20
8:58,278,Terrell Carter II Steal.,15,20
8:54,278,Deshon Taylor missed Three Point Jumper.,15,20
8:54,2483,Casey Benson Defensive Rebound.,15,20
8:45,2483,Kavell Bigby-Williams made Layup. Assisted by Payton Pritchard.,15,22
8:26,278,Jahmel Taylor made Jumper.,17,22
8:02,2483,Oregon  Timeout,17,22
8:02,2483,Official TV Timeout,17,22
7:55,2483,Casey Benson missed Three Point Jumper.,17,22
7:55,278,Cullen Russo Defensive Rebound.,17,22
7:35,278,Jaron Hopkins Turnover.,17,22
7:34,2483,Payton Pritchard Steal.,17,22
7:32,2483,Casey Benson made Layup. Assisted by Keith Smith.,17,24
7:04,278,Jaron Hopkins missed Layup.,17,24
7:04,2483,Kavell Bigby-Williams Defensive Rebound.,17,24
6:55,2483,Payton Pritchard made Layup.,17,26
6:53,278,Fresno St  Timeout,17,26
6:45,278,Paul Watson Turnover.,17,26
6:28,2483,Tyler Dorsey missed Layup.,17,26
6:28,2483,Oregon Offensive Rebound.,17,26
6:13,2483,Keith Smith missed Three Point Jumper.,17,26
6:13,2483,Casey Benson Offensive Rebound.,17,26
6:09,278,Foul on Karachi Edo.,17,26
6:09,2483,Tyler Dorsey missed Free Throw.,17,26
6:09,2483,Oregon Deadball Team Rebound.,17,26
6:09,2483,Tyler Dorsey missed Free Throw.,17,26
6:09,278,Cullen Russo Defensive Rebound.,17,26
5:38,278,Karachi Edo missed Three Point Jumper.,17,26
5:37,278,Fresno St Deadball Team Rebound.,17,26
5:24,2483,Jordan Bell Turnover.,17,26
5:12,278,Karachi Edo missed Jumper.,17,26
5:12,2483,Tyler Dorsey Defensive Rebound.,17,26
4:58,2483,Jordan Bell made Jumper.,17,28
4:32,278,Jahmel Taylor missed Three Point Jumper.,17,28
4:32,2483,Payton Pritchard Defensive Rebound.,17,28
4:24,2483,Payton Pritchard made Layup.,17,30
4:22,278,Foul on Karachi Edo.,17,30
4:22,2483,Payton Pritchard made Free Throw.,17,31
4:14,278,Jahmel Taylor Turnover.,17,31
4:12,2483,Dylan Ennis Steal.,17,31
4:04,2483,Roman Sorkin Turnover.,17,31
3:48,2483,Foul on Dylan Ennis.,17,31
3:48,2483,Official TV Timeout,17,31
3:28,278,Cullen Russo Turnover.,17,31
3:26,2483,Kavell Bigby-Williams Steal.,17,31
3:23,2483,Dylan Ennis missed Layup.,17,31
3:23,2483,Roman Sorkin Offensive Rebound.,17,31
3:19,2483,Roman Sorkin missed Two Point Tip Shot.,17,31
3:19,278,Terrell Carter II Defensive Rebound.,17,31
3:16,2483,Foul on Tyler Dorsey.,17,31
2:59,2483,Foul on Tyler Dorsey.,17,31
2:59,278,Paul Watson made Free Throw.,18,31
2:59,278,Paul Watson made Free Throw.,19,31
2:47,2483,Payton Pritchard missed Three Point Jumper.,19,31
2:47,278,Paul Watson Defensive Rebound.,19,31
2:37,278,Paul Watson Turnover.,19,31
2:25,278,Foul on Jahmel Taylor.,19,31
2:25,2483,Casey Benson missed Free Throw.,19,31
2:25,2483,Oregon Deadball Team Rebound.,19,31
2:25,2483,Casey Benson made Free Throw.,19,32
2:11,278,Paul Watson made Three Point Jumper.,22,32
2:03,2483,Dylan Ennis made Layup. Assisted by Casey Benson.,22,34
1:54,2483,Foul on Kavell Bigby-Williams.,22,34
1:54,278,Terrell Carter II made Free Throw.,23,34
1:54,278,Terrell Carter II missed Free Throw.,23,34
1:54,278,Terrell Carter II Offensive Rebound.,23,34
1:50,278,Jahmel Taylor missed Three Point Jumper.,23,34
1:50,2483,Dylan Ennis Defensive Rebound.,23,34
1:20,2483,Payton Pritchard made Three Point Jumper. Assisted by Casey Benson.,23,37
0:56,278,Cullen Russo missed Layup.,23,37
0:56,278,Cullen Russo Offensive Rebound.,23,37
0:54,278,Cullen Russo missed Two Point Tip Shot.,23,37
0:54,278,Cullen Russo Offensive Rebound.,23,37
0:51,278,Cullen Russo made Two Point Tip Shot.,25,37
0:26,2483,Roman Sorkin missed Layup.,25,37
0:26,2483,Roman Sorkin Offensive Rebound.,25,37
0:25,2483,Roman Sorkin made Two Point Tip Shot.,25,39
0:03,278,Jahmel Taylor missed Three Point Jumper.,25,39
0:03,2483,Roman Sorkin Defensive Rebound.,25,39
0:00,2483,End of 1st half,25,39
19:49,2483,Dillon Brooks missed Jumper.,25,39
19:49,278,Bryson Williams Defensive Rebound.,25,39
19:26,278,Bryson Williams made Layup.,27,39
19:14,278,Foul on Paul Watson.,27,39
19:10,2483,Dylan Ennis missed Jumper.,27,39
19:10,2483,Payton Pritchard Offensive Rebound.,27,39
19:08,2483,Payton Pritchard Turnover.,27,39
19:07,278,Jaron Hopkins Steal.,27,39
19:04,278,Jaron Hopkins made Dunk.,29,39
18:45,2483,Jordan Bell made Layup.,29,41
18:25,278,Bryson Williams missed Layup.,29,41
18:25,2483,Jordan Bell Defensive Rebound.,29,41
18:14,278,Foul on Cullen Russo.,29,41
18:14,2483,Dillon Brooks Turnover.,29,41
18:14,2483,Foul on Dillon Brooks.,29,41
17:58,278,Bryson Williams made Layup. Assisted by Cullen Russo.,31,41
17:58,2483,Foul on Jordan Bell.,31,41
17:58,278,Bryson Williams made Free Throw.,32,41
17:42,278,Foul on Cullen Russo.,32,41
17:42,2483,Dylan Ennis made Free Throw.,32,42
17:42,2483,Dylan Ennis made Free Throw.,32,43
17:34,278,Jahmel Taylor missed Three Point Jumper.,32,43
17:34,2483,Payton Pritchard Defensive Rebound.,32,43
17:16,2483,Keith Smith Turnover.,32,43
17:16,278,Jaron Hopkins Steal.,32,43
17:11,278,Jaron Hopkins made Layup.,34,43
17:01,278,Foul on Paul Watson.,34,43
16:50,2483,Tyler Dorsey missed Layup.,34,43
16:50,278,Fresno St Deadball Team Rebound.,34,43
16:50,2483,Foul on Kavell Bigby-Williams.,34,43
16:34,278,Jahmel Taylor Turnover.,34,43
16:15,2483,Tyler Dorsey Turnover.,34,43
15:57,278,Jahmel Taylor missed Three Point Jumper.,34,43
15:57,2483,Dillon Brooks Defensive Rebound.,34,43
15:56,278,Foul on Bryson Williams.,34,43
15:56,2483,Official TV Timeout,34,43
15:42,2483,Tyler Dorsey missed Three Point Jumper.,34,43
15:42,278,Paul Watson Defensive Rebound.,34,43
15:33,278,Paul Watson Turnover.,34,43
15:32,2483,Dillon Brooks Steal.,34,43
15:29,2483,Tyler Dorsey made Layup. Assisted by Casey Benson.,34,45
15:12,278,Karachi Edo made Layup. Assisted by Cullen Russo.,36,45
14:42,2483,Dillon Brooks missed Jumper.,36,45
14:42,278,Karachi Edo Defensive Rebound.,36,45
14:35,278,Paul Watson made Dunk. Assisted by Jaron Hopkins.,38,45
14:22,2483,Kavell Bigby-Williams missed Layup.,38,45
14:22,278,Jaron Hopkins Defensive Rebound.,38,45
14:14,278,Deshon Taylor made Layup.,40,45
13:58,2483,Oregon  Timeout,40,45
13:58,2483,Official TV Timeout,40,45
13:43,278,Foul on Karachi Edo.,40,45
13:43,2483,Jordan Bell made Free Throw.,40,46
13:43,2483,Jordan Bell made Free Throw.,40,47
13:14,278,Paul Watson missed Three Point Jumper.,40,47
13:14,278,Karachi Edo Offensive Rebound.,40,47
13:07,278,Karachi Edo made Two Point Tip Shot.,42,47
12:45,2483,Jordan Bell missed Layup.,42,47
12:45,278,Deshon Taylor Defensive Rebound.,42,47
12:24,278,Jaron Hopkins missed Layup.,42,47
12:24,2483,Jordan Bell Block.,42,47
12:23,278,Paul Watson Offensive Rebound.,42,47
12:16,278,Deshon Taylor missed Three Point Jumper.,42,47
12:16,2483,Jordan Bell Defensive Rebound.,42,47
11:55,2483,Dillon Brooks missed Jumper.,42,47
11:55,278,Karachi Edo Defensive Rebound.,42,47
11:49,2483,Foul on Casey Benson.,42,47
11:49,2483,Official TV Timeout,42,47
11:46,278,Cullen Russo missed Three Point Jumper.,42,47
11:46,2483,Jordan Bell Defensive Rebound.,42,47
11:31,2483,Jordan Bell made Dunk. Assisted by Dillon Brooks.,42,49
11:05,278,Cullen Russo missed Jumper.,42,49
11:05,2483,Jordan Bell Defensive Rebound.,42,49
10:54,278,Foul on Cullen Russo.,42,49
10:54,2483,Dylan Ennis made Free Throw.,42,50
10:54,2483,Dylan Ennis missed Free Throw.,42,50
10:54,278,Terrell Carter II Defensive Rebound.,42,50
10:39,278,Terrell Carter II missed Jumper.,42,50
10:39,278,Karachi Edo Offensive Rebound.,42,50
10:37,278,Karachi Edo made Two Point Tip Shot.,44,50
10:11,2483,Casey Benson missed Three Point Jumper.,44,50
10:11,278,Paul Watson Defensive Rebound.,44,50
9:56,2483,Foul on Payton Pritchard.,44,50
9:56,278,Karachi Edo missed Free Throw.,44,50
9:56,278,Fresno St Deadball Team Rebound.,44,50
9:56,278,Karachi Edo made Free Throw.,45,50
9:38,2483,Dillon Brooks made Three Point Jumper. Assisted by Casey Benson.,45,53
9:12,278,Jaron Hopkins made Three Point Jumper. Assisted by Terrell Carter II.,48,53
8:55,2483,Payton Pritchard Turnover.,48,53
8:38,278,Terrell Carter II Turnover.,48,53
8:14,2483,Jordan Bell missed Jumper.,48,53
8:14,278,Jahmel Taylor Defensive Rebound.,48,53
8:08,278,Jaron Hopkins made Layup.,50,53
8:02,2483,Jordan Bell made Dunk. Assisted by Dylan Ennis.,50,55
8:02,278,Foul on Terrell Carter II.,50,55
8:02,2483,Jordan Bell made Free Throw.,50,56
7:33,278,Paul Watson missed Layup.,50,56
7:31,2483,Oregon Defensive Rebound.,50,56
7:31,2483,Official TV Timeout,50,56
7:10,2483,Jordan Bell missed Jumper.,50,56
7:10,278,Terrell Carter II Block.,50,56
7:09,278,Jaron Hopkins Defensive Rebound.,50,56
7:04,2483,Foul on Payton Pritchard.,50,56
6:58,278,Jaron Hopkins missed Jumper.,50,56
6:58,2483,Dillon Brooks Defensive Rebound.,50,56
6:34,2483,Jordan Bell made Dunk. Assisted by Casey Benson.,50,58
6:03,278,Jahmel Taylor made Jumper.,52,58
5:51,2483,Tyler Dorsey made Jumper.,52,60
5:43,278,Jahmel Taylor Turnover.,52,60
5:42,2483,Casey Benson Steal.,52,60
5:41,278,Foul on Jaron Hopkins.,52,60
5:41,2483,Casey Benson made Free Throw.,52,61
5:41,2483,Casey Benson made Free Throw.,52,62
5:26,2483,Foul on Tyler Dorsey.,52,62
5:26,278,Paul Watson made Free Throw.,53,62
5:26,278,Paul Watson missed Free Throw.,53,62
5:26,2483,Oregon Deadball Team Rebound.,53,62
5:26,278,Foul on Jaron Hopkins.,53,62
5:26,2483,Jordan Bell made Free Throw.,53,63
5:26,2483,Jordan Bell made Free Throw.,53,64
5:09,278,Deshon Taylor made Three Point Jumper. Assisted by Terrell Carter II.,56,64
4:53,278,Foul on Terrell Carter II.,56,64
4:53,2483,Dillon Brooks missed Free Throw.,56,64
4:53,2483,Oregon Deadball Team Rebound.,56,64
4:53,2483,Dillon Brooks missed Free Throw.,56,64
4:53,278,Cullen Russo Defensive Rebound.,56,64
4:45,278,Paul Watson made Layup.,58,64
4:19,278,Foul on Cullen Russo.,58,64
4:19,2483,Jordan Bell missed Free Throw.,58,64
4:19,2483,Oregon Deadball Team Rebound.,58,64
4:19,2483,Jordan Bell made Free Throw.,58,65
3:59,2483,Official TV Timeout,58,65
3:46,278,Jaron Hopkins missed Three Point Jumper.,58,65
3:46,2483,Casey Benson Defensive Rebound.,58,65
3:33,278,Foul on Terrell Carter II.,58,65
3:33,2483,Dillon Brooks made Free Throw.,58,66
3:33,2483,Dillon Brooks made Free Throw.,58,67
3:25,278,Jaron Hopkins Turnover.,58,67
3:20,2483,Casey Benson Steal.,58,67
3:08,2483,Dylan Ennis missed Jumper.,58,67
3:08,278,Jaron Hopkins Defensive Rebound.,58,67
2:53,278,Terrell Carter II made Layup. Assisted by Jaron Hopkins.,60,67
2:53,278,Fresno St  Timeout,60,67
2:30,2483,Dillon Brooks missed Three Point Jumper.,60,67
2:30,278,Fresno St Defensive Rebound.,60,67
2:08,2483,Foul on Dillon Brooks.,60,67
2:08,278,Karachi Edo made Free Throw.,61,67
2:08,278,Karachi Edo missed Free Throw.,61,67
2:08,2483,Oregon Defensive Rebound.,61,67
2:02,2483,Dylan Ennis made Three Point Jumper. Assisted by Dillon Brooks.,61,70
1:34,278,Paul Watson made Jumper.,63,70
1:15,2483,Tyler Dorsey missed Three Point Jumper.,63,70
1:15,278,Paul Watson Defensive Rebound.,63,70
1:03,278,Paul Watson missed Jumper.,63,70
1:03,2483,Dylan Ennis Defensive Rebound.,63,70
0:58,278,Foul on Deshon Taylor.,63,70
0:58,2483,Casey Benson made Free Throw.,63,71
0:58,2483,Casey Benson made Free Throw.,63,72
0:52,2483,Foul on Dylan Ennis.,63,72
0:52,278,Jaron Hopkins missed Free Throw.,63,72
0:52,2483,Jordan Bell Defensive Rebound.,63,72
0:48,278,Foul on Jaron Hopkins.,63,72
0:48,2483,Tyler Dorsey made Free Throw.,63,73
0:48,2483,Tyler Dorsey made Free Throw.,63,74
0:36,278,Karachi Edo Turnover.,63,74
0:36,2483,Casey Benson Steal.,63,74
0:31,278,Foul on Deshon Taylor.,63,74
0:31,2483,Tyler Dorsey made Free Throw.,63,75
0:31,2483,Tyler Dorsey missed Free Throw.,63,75
0:31,278,Paul Watson Defensive Rebound.,63,75
0:23,278,Paul Watson Turnover.,63,75
0:00,2483,End of Game,63,75
