Eastern Washington,2752,Xavier,331
8:25,331,Cody Benzel Turnover.,24,18
8:24,2752,Quentin Goodin Steal.,24,18
8:18,2752,Malcolm Bernard missed Three Point Jumper.,24,18
8:18,331,Bogdan Bliznyuk Defensive Rebound.,24,18
7:58,331,Bogdan Bliznyuk missed Jumper.,24,18
7:58,331,Bogdan Bliznyuk Offensive Rebound.,24,18
7:56,2752,Foul on Tyrique Jones.,24,18
7:56,2752,Official TV Timeout,24,18
7:42,331,Sir Washington missed Layup.,24,18
7:42,2752,Quentin Goodin Block.,24,18
7:41,2752,Malcolm Bernard Defensive Rebound.,24,18
7:33,2752,RaShid Gaston made Layup. Assisted by Quentin Goodin.,24,20
7:17,331,Luka Vulikic made Jumper. Assisted by Jacob Wiley.,26,20
7:05,2752,Quentin Goodin Turnover.,26,20
7:04,331,Bogdan Bliznyuk Steal.,26,20
6:47,331,Cody Benzel missed Three Point Jumper.,26,20
6:47,2752,J.P. Macura Defensive Rebound.,26,20
6:39,2752,J.P. Macura missed Jumper.,26,20
6:39,331,Jacob Wiley Defensive Rebound.,26,20
6:16,331,Bogdan Bliznyuk Turnover.,26,20
6:15,2752,Trevon Bluiett Steal.,26,20
6:11,2752,Trevon Bluiett missed Jumper.,26,20
6:11,331,Bogdan Bliznyuk Defensive Rebound.,26,20
5:44,331,Sir Washington missed Three Point Jumper.,26,20
5:44,2752,RaShid Gaston Defensive Rebound.,26,20
5:19,331,Foul on Luka Vulikic.,26,20
5:19,2752,Quentin Goodin made Free Throw.,26,21
5:19,2752,Quentin Goodin made Free Throw.,26,22
5:09,331,Jacob Wiley Turnover.,26,22
5:08,2752,Edmond Sumner Steal.,26,22
5:05,2752,Edmond Sumner made Dunk.,26,24
4:37,331,Luka Vulikic made Layup.,28,24
4:30,2752,Trevon Bluiett made Three Point Jumper. Assisted by Edmond Sumner.,28,27
4:26,331,Eastern Washington  Timeout,28,27
4:26,2752,Official TV Timeout,28,27
4:04,331,Jacob Wiley missed Jumper.,28,27
4:04,2752,RaShid Gaston Defensive Rebound.,28,27
3:35,331,Foul on Mason Peatling.,28,27
3:31,2752,Kaiser Gates made Three Point Jumper. Assisted by J.P. Macura.,28,30
3:11,331,Mason Peatling missed Three Point Jumper.,28,30
3:11,2752,Trevon Bluiett Defensive Rebound.,28,30
3:03,331,Foul on Bogdan Bliznyuk.,28,30
3:01,2752,J.P. Macura made Jumper. Assisted by Edmond Sumner.,28,32
2:41,331,Felix Von Hofe missed Three Point Jumper.,28,32
2:41,2752,Kaiser Gates Defensive Rebound.,28,32
2:34,2752,Kaiser Gates made Three Point Jumper. Assisted by Edmond Sumner.,28,35
2:11,331,Jacob Wiley made Layup. Assisted by Felix Von Hofe.,30,35
1:50,2752,Trevon Bluiett made Three Point Jumper. Assisted by Edmond Sumner.,30,38
1:36,331,Ty Gibson Turnover.,30,38
1:35,2752,J.P. Macura Steal.,30,38
1:31,331,Foul on Ty Gibson.,30,38
1:31,2752,Edmond Sumner made Free Throw.,30,39
1:31,2752,Edmond Sumner made Free Throw.,30,40
1:17,2752,Foul on Quentin Goodin.,30,40
0:54,331,Jacob Wiley Turnover.,30,40
0:53,2752,Tyrique Jones Steal.,30,40
0:47,2752,Edmond Sumner made Three Point Jumper. Assisted by Quentin Goodin.,30,43
0:27,331,Felix Von Hofe missed Three Point Jumper.,30,43
0:27,2752,Edmond Sumner Defensive Rebound.,30,43
0:05,2752,Kaiser Gates made Three Point Jumper. Assisted by Edmond Sumner.,30,46
0:00,2752,End of 1st half,30,46
19:37,2752,Foul on RaShid Gaston.,30,46
19:37,331,Eastern Washington  Timeout,30,46
19:29,331,Felix Von Hofe missed Layup.,30,46
19:29,331,Jacob Wiley Offensive Rebound.,30,46
19:26,331,Jacob Wiley missed Two Point Tip Shot.,30,46
19:26,2752,Xavier Defensive Rebound.,30,46
19:05,2752,RaShid Gaston missed Layup.,30,46
19:05,331,Luka Vulikic Defensive Rebound.,30,46
19:03,2752,Foul on J.P. Macura.,30,46
18:45,331,Bogdan Bliznyuk made Layup. Assisted by Jacob Wiley.,32,46
18:30,2752,Edmond Sumner missed Three Point Jumper.,32,46
18:30,331,Bogdan Bliznyuk Defensive Rebound.,32,46
18:10,2752,Foul on J.P. Macura.,32,46
18:06,331,Bogdan Bliznyuk missed Jumper.,32,46
18:06,2752,RaShid Gaston Defensive Rebound.,32,46
17:57,331,Foul on Mason Peatling.,32,46
17:47,331,Foul on Felix Von Hofe.,32,46
17:43,331,Foul on Luka Vulikic.,32,46
17:43,2752,RaShid Gaston missed Free Throw.,32,46
17:43,2752,Xavier Deadball Team Rebound.,32,46
17:43,2752,RaShid Gaston missed Free Throw.,32,46
17:43,331,Bogdan Bliznyuk Defensive Rebound.,32,46
17:20,331,Mason Peatling Turnover.,32,46
17:20,2752,Edmond Sumner Steal.,32,46
17:07,2752,Malcolm Bernard made Three Point Jumper. Assisted by Edmond Sumner.,32,49
16:42,331,Bogdan Bliznyuk Turnover.,32,49
16:41,2752,Trevon Bluiett Steal.,32,49
16:40,331,Foul on Mason Peatling.,32,49
16:30,2752,Trevon Bluiett made Jumper.,32,51
16:09,2752,Foul on RaShid Gaston.,32,51
16:09,331,Jesse Hunt missed Free Throw.,32,51
16:09,331,Eastern Washington Deadball Team Rebound.,32,51
16:09,331,Jesse Hunt made Free Throw.,33,51
15:52,2752,Sean O'Mara missed Layup.,33,51
15:52,331,Jacob Wiley Block.,33,51
15:51,2752,Xavier Offensive Rebound.,33,51
15:51,2752,Official TV Timeout,33,51
15:49,2752,Trevon Bluiett made Three Point Jumper. Assisted by Edmond Sumner.,33,54
15:39,331,Foul on Bogdan Bliznyuk.,33,54
15:39,331,Bogdan Bliznyuk Turnover.,33,54
15:30,331,Foul on Jacob Wiley.,33,54
15:14,331,Foul on Felix Von Hofe.,33,54
15:14,2752,J.P. Macura made Free Throw.,33,55
15:14,2752,J.P. Macura made Free Throw.,33,56
14:56,331,Jacob Wiley made Layup.,35,56
14:45,2752,Foul on Trevon Bluiett.,35,56
14:45,2752,Trevon Bluiett Turnover.,35,56
14:22,331,Jacob Wiley Turnover.,35,56
14:21,2752,Trevon Bluiett Steal.,35,56
14:17,2752,Edmond Sumner made Layup. Assisted by Quentin Goodin.,35,58
14:17,331,Foul on Bogdan Bliznyuk.,35,58
14:17,2752,Malcolm Bernard made Free Throw.,35,59
14:01,331,Felix Von Hofe missed Three Point Jumper.,35,59
14:01,331,Jacob Wiley Offensive Rebound.,35,59
13:48,331,Felix Von Hofe made Three Point Jumper.,38,59
13:40,2752,Foul on Quentin Goodin.,38,59
13:40,2752,Quentin Goodin Turnover.,38,59
13:34,2752,Foul on Quentin Goodin.,38,59
13:34,331,Sir Washington made Free Throw.,39,59
13:34,331,Sir Washington missed Free Throw.,39,59
13:34,2752,J.P. Macura Defensive Rebound.,39,59
13:10,2752,Sean O'Mara made Layup. Assisted by Malcolm Bernard.,39,61
12:53,331,Jesse Hunt made Jumper.,41,61
12:36,2752,J.P. Macura missed Three Point Jumper.,41,61
12:36,331,Jesse Hunt Defensive Rebound.,41,61
12:06,331,Sir Washington missed Layup.,41,61
12:06,2752,Sean O'Mara Defensive Rebound.,41,61
12:01,2752,Malcolm Bernard missed Layup.,41,61
12:01,331,Jacob Wiley Block.,41,61
12:00,2752,J.P. Macura Offensive Rebound.,41,61
12:00,331,Foul on Jesse Hunt.,41,61
12:00,2752,J.P. Macura made Free Throw.,41,62
12:00,2752,J.P. Macura made Free Throw.,41,63
11:45,331,Jesse Hunt missed Three Point Jumper.,41,63
11:45,2752,J.P. Macura Defensive Rebound.,41,63
11:35,2752,Kaiser Gates missed Three Point Jumper.,41,63
11:35,331,Bogdan Bliznyuk Defensive Rebound.,41,63
11:25,2752,Foul on Malcolm Bernard.,41,63
11:25,2752,Official TV Timeout,41,63
11:25,331,Bogdan Bliznyuk made Free Throw.,42,63
11:25,331,Bogdan Bliznyuk made Free Throw.,43,63
11:11,2752,Malcolm Bernard missed Three Point Jumper.,43,63
11:11,2752,Tyrique Jones Offensive Rebound.,43,63
11:08,331,Foul on Cody Benzel.,43,63
11:08,2752,Tyrique Jones made Free Throw.,43,64
11:08,2752,Tyrique Jones missed Free Throw.,43,64
11:08,331,Jacob Wiley Defensive Rebound.,43,64
10:52,331,Cody Benzel missed Three Point Jumper.,43,64
10:52,331,Jesse Hunt Offensive Rebound.,43,64
10:49,2752,Foul on Tyrique Jones.,43,64
10:49,331,Jesse Hunt missed Free Throw.,43,64
10:49,331,Eastern Washington Deadball Team Rebound.,43,64
10:49,331,Jesse Hunt missed Free Throw.,43,64
10:49,2752,Trevon Bluiett Defensive Rebound.,43,64
10:30,331,Foul on Jesse Hunt.,43,64
10:30,2752,J.P. Macura made Free Throw.,43,65
10:30,2752,J.P. Macura made Free Throw.,43,66
10:10,331,Jacob Wiley missed Layup.,43,66
10:10,2752,Tyrique Jones Block.,43,66
10:08,331,Cody Benzel Offensive Rebound.,43,66
10:00,331,Cody Benzel missed Three Point Jumper.,43,66
10:00,2752,Malcolm Bernard Defensive Rebound.,43,66
9:33,2752,Tyrique Jones missed Layup.,43,66
9:33,331,Bogdan Bliznyuk Defensive Rebound.,43,66
9:14,2752,Foul on Tyrique Jones.,43,66
9:14,331,Jacob Wiley missed Free Throw.,43,66
9:14,331,Eastern Washington Deadball Team Rebound.,43,66
9:14,331,Jacob Wiley made Free Throw.,44,66
9:04,331,Foul on Cody Benzel.,44,66
9:04,2752,J.P. Macura made Free Throw.,44,67
9:04,2752,J.P. Macura made Free Throw.,44,68
8:50,331,Jacob Wiley made Jumper.,46,68
8:26,2752,Trevon Bluiett missed Three Point Jumper.,46,68
8:26,331,Felix Von Hofe Defensive Rebound.,46,68
8:04,331,Jacob Wiley Turnover.,46,68
8:03,2752,Malcolm Bernard Steal.,46,68
7:32,2752,Edmond Sumner missed Layup.,46,68
7:32,331,Jacob Wiley Defensive Rebound.,46,68
7:20,331,Felix Von Hofe missed Three Point Jumper.,46,68
7:20,2752,Edmond Sumner Defensive Rebound.,46,68
7:12,2752,Malcolm Bernard made Three Point Jumper. Assisted by J.P. Macura.,46,71
7:07,2752,Xavier  Timeout,46,71
7:07,2752,Official TV Timeout,46,71
6:48,331,Felix Von Hofe missed Jumper.,46,71
6:48,2752,Sean O'Mara Defensive Rebound.,46,71
6:26,331,Foul on Felix Von Hofe.,46,71
6:26,2752,Trevon Bluiett missed Free Throw.,46,71
6:26,2752,Xavier Deadball Team Rebound.,46,71
6:26,2752,Trevon Bluiett made Free Throw.,46,72
6:11,331,Luka Vulikic Turnover.,46,72
5:57,2752,Malcolm Bernard missed Layup.,46,72
5:57,331,Felix Von Hofe Defensive Rebound.,46,72
5:38,331,Felix Von Hofe missed Three Point Jumper.,46,72
5:38,331,Geremy McKay Offensive Rebound.,46,72
5:29,331,Bogdan Bliznyuk Turnover.,46,72
5:28,2752,Trevon Bluiett Steal.,46,72
5:25,2752,Malcolm Bernard made Layup. Assisted by Edmond Sumner.,46,74
4:56,331,Cody Benzel missed Three Point Jumper.,46,74
4:56,331,Geremy McKay Offensive Rebound.,46,74
4:50,331,Sir Washington missed Three Point Jumper.,46,74
4:50,331,Geremy McKay Offensive Rebound.,46,74
4:49,2752,Foul on Sean O'Mara.,46,74
4:49,331,Geremy McKay missed Free Throw.,46,74
4:49,331,Eastern Washington Deadball Team Rebound.,46,74
4:49,331,Geremy McKay missed Free Throw.,46,74
4:49,2752,Sean O'Mara Defensive Rebound.,46,74
4:31,2752,Trevon Bluiett missed Three Point Jumper.,46,74
4:31,331,Geremy McKay Defensive Rebound.,46,74
4:07,331,Ty Gibson made Three Point Jumper. Assisted by Jacob Wiley.,49,74
3:50,2752,Sean O'Mara made Dunk. Assisted by Quentin Goodin.,49,76
3:35,331,Ty Gibson made Three Point Jumper. Assisted by Bogdan Bliznyuk.,52,76
3:33,331,Eastern Washington  Timeout,52,76
3:33,2752,Official TV Timeout,52,76
3:20,2752,Quentin Goodin made Layup. Assisted by Tyrique Jones.,52,78
3:20,331,Foul on Cody Benzel.,52,78
3:20,2752,Quentin Goodin missed Free Throw.,52,78
3:20,331,Bogdan Bliznyuk Defensive Rebound.,52,78
2:52,331,Geremy McKay made Layup. Assisted by Sir Washington.,54,78
2:50,331,Eastern Washington  Timeout,54,78
2:36,2752,Tyrique Jones made Layup. Assisted by Quentin Goodin.,54,80
2:10,331,Bogdan Bliznyuk missed Layup.,54,80
2:10,2752,Tyrique Jones Block.,54,80
2:08,2752,Tim Stainbrook Defensive Rebound.,54,80
2:04,2752,Kaiser Gates made Three Point Jumper. Assisted by Quentin Goodin.,54,83
1:41,2752,Foul on Tyrique Jones.,54,83
1:41,331,Geremy McKay missed Free Throw.,54,83
1:41,331,Eastern Washington Deadball Team Rebound.,54,83
1:41,331,Geremy McKay made Free Throw.,55,83
1:19,2752,Malcolm Bernard Turnover.,55,83
1:18,331,Geremy McKay Steal.,55,83
1:02,2752,Foul on Malcolm Bernard.,55,83
1:02,331,Jacob Wiley made Free Throw.,56,83
1:02,331,Jacob Wiley missed Free Throw.,56,83
1:02,2752,Kaiser Gates Defensive Rebound.,56,83
0:39,2752,Kaiser Gates missed Three Point Jumper.,56,83
0:39,2752,Tyrique Jones Offensive Rebound.,56,83
0:34,331,Foul on Luka Vulikic.,56,83
0:34,2752,Tyrique Jones made Free Throw.,56,84
0:34,2752,Tyrique Jones made Free Throw.,56,85
0:23,331,Jesse Hunt missed Layup.,56,85
0:23,2752,Alex Bergen Defensive Rebound.,56,85
0:00,2752,End of Game,56,85
