St. Francis (PA),2329,Lehigh,2598
10:34,2329,Jordan Cohen made Layup.,11,18
10:21,2329,Foul on Jordan Cohen.,11,18
10:17,2598,Jamaal King missed Jumper.,11,18
10:17,2329,Jordan Cohen Defensive Rebound.,11,18
10:06,2329,Jordan Cohen missed Three Point Jumper.,11,18
10:06,2598,Jamaal King Defensive Rebound.,11,18
10:00,2598,Georgios Angelou Turnover.,11,18
9:59,2329,Pat Andree Steal.,11,18
9:49,2329,Pat Andree Turnover.,11,18
9:42,2598,Georgios Angelou missed Three Point Jumper.,11,18
9:42,2329,Jordan Cohen Defensive Rebound.,11,18
9:31,2329,Pat Andree missed Jumper.,11,18
9:31,2598,Isaiah Blackmon Defensive Rebound.,11,18
9:24,2598,Isaiah Blackmon Turnover.,11,18
9:06,2329,Matt Holba Turnover.,11,18
8:58,2329,Foul on Jordan Cohen.,11,18
8:50,2598,Isaiah Blackmon Turnover.,11,18
8:50,2329,Brandon Alston Steal.,11,18
8:46,2329,Brandon Alston Turnover.,11,18
8:45,2598,Keith Braxton Steal.,11,18
8:43,2598,Keith Braxton missed Layup.,11,18
8:43,2329,Matt Holba Block.,11,18
8:39,2329,Kahron Ross Defensive Rebound.,11,18
8:34,2329,Pat Andree made Three Point Jumper. Assisted by Brandon Alston.,11,21
8:34,2598,St. Francis (PA)  Timeout,11,21
8:11,2598,Josh Nebo made Jumper.,13,21
8:03,2329,Kyle Leufroy missed Jumper.,13,21
8:03,2598,Josh Nebo Defensive Rebound.,13,21
8:00,2598,Josh Nebo Turnover.,13,21
7:54,2598,Foul on Josh Nebo.,13,21
7:54,2329,Official TV Timeout,13,21
7:54,2329,Austin Price made Free Throw.,13,22
7:54,2329,Austin Price made Free Throw.,13,23
7:35,2598,Isaiah Blackmon missed Three Point Jumper.,13,23
7:35,2598,Jamaal King Offensive Rebound.,13,23
7:28,2598,Josh Nebo made Dunk. Assisted by Jamaal King.,15,23
7:18,2598,Foul on Jamaal King.,15,23
6:51,2329,Brandon Alston missed Layup.,15,23
6:51,2598,Josh Nebo Block.,15,23
6:49,2329,Brandon Alston Offensive Rebound.,15,23
6:44,2329,Brandon Alston missed Layup.,15,23
6:44,2598,Josh Nebo Defensive Rebound.,15,23
6:38,2598,Keith Braxton missed Layup.,15,23
6:38,2598,Josh Nebo Offensive Rebound.,15,23
6:38,2329,Foul on Austin Price.,15,23
6:38,2598,Josh Nebo missed Free Throw.,15,23
6:38,2598,St. Francis (PA) Deadball Team Rebound.,15,23
6:38,2598,Josh Nebo made Free Throw.,16,23
6:24,2329,Tim Kempton made Layup. Assisted by Austin Price.,16,25
6:17,2598,Isaiah Blackmon made Three Point Jumper. Assisted by Jamaal King.,19,25
6:03,2329,Austin Price made Three Point Jumper. Assisted by Brandon Alston.,19,28
5:50,2598,Isaiah Blackmon made Jumper.,21,28
5:36,2598,Foul on Isaiah Blackmon.,21,28
5:36,2329,Kahron Ross made Free Throw.,21,29
5:36,2329,Kahron Ross made Free Throw.,21,30
5:22,2598,Randall Gaskins Jr. made Jumper.,23,30
5:22,2598,Randall Gaskins Jr. made Free Throw.,24,30
5:22,2329,Foul on Kyle Leufroy.,23,30
5:08,2329,Kahron Ross Turnover.,24,30
5:07,2598,Isaiah Blackmon Steal.,24,30
5:05,2598,Keith Braxton made Layup. Assisted by Isaiah Blackmon.,26,30
5:04,2329,Lehigh  Timeout,26,30
4:53,2329,Pat Andree made Three Point Jumper. Assisted by Kyle Leufroy.,26,33
4:41,2598,Scott Meredith missed Three Point Jumper.,26,33
4:41,2329,Tim Kempton Defensive Rebound.,26,33
4:32,2329,Tim Kempton made Layup. Assisted by Kyle Leufroy.,26,35
4:22,2598,Scott Meredith made Three Point Jumper. Assisted by Keith Braxton.,29,35
4:01,2598,Foul on Ifeanyi Umezurike.,29,35
4:01,2329,Tim Kempton made Free Throw.,29,36
4:01,2329,Tim Kempton made Free Throw.,29,37
3:46,2598,Scott Meredith made Three Point Jumper. Assisted by Keith Braxton.,32,37
3:35,2329,Tim Kempton Turnover.,32,37
3:35,2329,Official TV Timeout,32,37
3:21,2598,Scott Meredith Turnover.,32,37
3:21,2329,Kyle Leufroy Steal.,32,37
3:11,2329,Kahron Ross Turnover.,32,37
3:10,2598,Isaiah Blackmon Steal.,32,37
3:08,2598,Isaiah Blackmon made Layup.,34,37
2:49,2329,Tim Kempton made Layup. Assisted by Austin Price.,34,39
2:49,2598,Foul on Isaiah Blackmon.,34,39
2:49,2329,Tim Kempton missed Free Throw.,34,39
2:49,2598,Keith Braxton Defensive Rebound.,34,39
2:32,2598,Josh Nebo missed Jumper.,34,39
2:32,2329,Austin Price Defensive Rebound.,34,39
2:23,2329,Kyle Leufroy made Jumper.,34,41
2:00,2598,Keith Braxton Turnover.,34,41
1:41,2329,Kyle Leufroy missed Jumper.,34,41
1:41,2329,Pat Andree Offensive Rebound.,34,41
1:34,2329,Tim Kempton missed Jumper.,34,41
1:34,2598,Keith Braxton Defensive Rebound.,34,41
1:23,2598,Randall Gaskins Jr. missed Layup.,34,41
1:23,2329,Tim Kempton Defensive Rebound.,34,41
1:20,2329,Tim Kempton Turnover.,34,41
1:18,2598,Randall Gaskins Jr. Steal.,34,41
1:17,2598,Randall Gaskins Jr. made Layup.,36,41
1:04,2329,Tim Kempton made Dunk. Assisted by Kyle Leufroy.,36,43
0:47,2598,Andre Wolford missed Layup.,36,43
0:47,2329,Tim Kempton Block.,36,43
0:44,2598,St. Francis (PA) Offensive Rebound.,36,43
0:31,2598,Jamaal King missed Three Point Jumper.,36,43
0:31,2329,Kyle Leufroy Defensive Rebound.,36,43
0:03,2329,Brandon Alston missed Three Point Jumper.,36,43
0:03,2329,Tim Kempton Offensive Rebound.,36,43
0:01,2329,Tim Kempton made Layup.,36,45
0:00,2329,End of 1st half,36,43
19:45,2598,Josh Nebo Turnover.,36,45
19:27,2329,Austin Price made Three Point Jumper. Assisted by Tim Kempton.,36,48
19:06,2598,Jamaal King made Three Point Jumper. Assisted by Isaiah Blackmon.,39,48
18:57,2329,Kyle Leufroy missed Three Point Jumper.,39,48
18:57,2329,Tim Kempton Offensive Rebound.,39,48
18:50,2329,Kyle Leufroy made Layup. Assisted by Tim Kempton.,39,50
18:26,2598,Randall Gaskins Jr. made Jumper.,41,50
18:11,2329,Tim Kempton missed Three Point Jumper.,41,50
18:11,2598,Josh Nebo Defensive Rebound.,41,50
18:04,2598,Jamaal King Turnover.,41,50
18:03,2329,Tim Kempton Steal.,41,50
17:59,2329,Austin Price made Layup. Assisted by Kahron Ross.,41,52
17:50,2329,Foul on Kyle Leufroy.,41,52
17:50,2598,Isaiah Blackmon made Free Throw.,42,52
17:50,2598,Isaiah Blackmon made Free Throw.,43,52
17:25,2329,Tim Kempton made Layup. Assisted by Jordan Cohen.,43,54
17:10,2598,Josh Nebo made Jumper.,45,54
17:10,2329,Foul on Kyle Leufroy.,45,54
17:10,2598,Josh Nebo made Free Throw.,46,54
16:56,2329,Jordan Cohen made Jumper.,46,56
16:46,2598,Keith Braxton missed Jumper.,46,56
16:46,2598,Josh Nebo Offensive Rebound.,46,56
16:41,2598,Josh Nebo missed Jumper.,46,56
16:41,2329,Tim Kempton Defensive Rebound.,46,56
16:30,2329,Jordan Cohen made Layup.,46,58
16:15,2329,Foul on Austin Price.,46,58
16:13,2598,Jamaal King missed Three Point Jumper.,46,58
16:13,2598,Josh Nebo Offensive Rebound.,46,58
15:52,2598,Isaiah Blackmon missed Three Point Jumper.,46,58
15:52,2329,Kahron Ross Defensive Rebound.,46,58
15:36,2329,Austin Price missed Three Point Jumper.,46,58
15:36,2329,Lehigh Offensive Rebound.,46,58
15:34,2598,Foul on Josh Nebo.,46,58
15:34,2329,Official TV Timeout,46,58
15:31,2329,Pat Andree made Three Point Jumper. Assisted by Kahron Ross.,46,61
15:12,2598,Isaiah Blackmon missed Three Point Jumper.,46,61
15:12,2329,Tim Kempton Defensive Rebound.,46,61
15:07,2329,Pat Andree missed Layup.,46,61
15:07,2598,Keith Braxton Block.,46,61
15:06,2329,Lehigh Offensive Rebound.,46,61
15:06,2598,Foul on Isaiah Blackmon.,46,61
15:06,2329,Austin Price made Free Throw.,46,62
15:06,2329,Austin Price made Free Throw.,46,63
14:51,2598,Josh Nebo missed Layup.,46,63
14:51,2329,Pat Andree Defensive Rebound.,46,63
14:31,2329,Tim Kempton made Layup. Assisted by Jordan Cohen.,46,65
14:17,2598,Georgios Angelou made Jumper.,48,65
14:00,2329,Austin Price made Jumper.,48,67
13:46,2598,Jamaal King Turnover.,48,67
13:42,2329,Austin Price Steal.,48,67
13:41,2329,Austin Price made Layup.,48,69
13:30,2598,St. Francis (PA)  Timeout,48,69
13:20,2598,Daniel Wallace Turnover.,48,69
13:18,2329,Austin Price Steal.,48,69
13:10,2329,Tim Kempton Turnover.,48,69
12:47,2329,Foul on Pat Andree.,48,69
12:42,2598,Ifeanyi Umezurike missed Jumper.,48,69
12:42,2598,Andre Wolford Offensive Rebound.,48,69
12:24,2598,Andre Wolford missed Three Point Jumper.,48,69
12:24,2329,Lehigh Defensive Rebound.,48,69
12:05,2329,Pat Andree made Three Point Jumper. Assisted by Jordan Cohen.,48,72
11:46,2598,Keith Braxton missed Layup.,48,72
11:46,2329,Pat Andree Defensive Rebound.,48,72
11:38,2329,Kahron Ross made Jumper.,48,74
11:32,2598,St. Francis (PA)  Timeout,48,74
11:26,2598,Scott Meredith missed Three Point Jumper.,48,74
11:26,2598,Ifeanyi Umezurike Offensive Rebound.,48,74
11:22,2329,Foul on Matt Holba.,48,74
11:13,2598,Deivydas Kuzavas made Jumper. Assisted by Georgios Angelou.,50,74
10:45,2329,Kahron Ross missed Jumper.,50,74
10:45,2598,Scott Meredith Defensive Rebound.,50,74
10:37,2329,Foul on Kahron Ross.,50,74
10:37,2598,Keith Braxton missed Free Throw.,50,74
10:37,2598,St. Francis (PA) Deadball Team Rebound.,50,74
10:37,2598,Keith Braxton made Free Throw.,51,74
10:26,2329,Austin Price made Three Point Jumper. Assisted by Jordan Cohen.,51,77
10:04,2598,Georgios Angelou missed Three Point Jumper.,51,77
10:04,2329,Jordan Cohen Defensive Rebound.,51,77
9:51,2329,Matt Holba made Three Point Jumper. Assisted by Austin Price.,51,80
9:34,2598,Ifeanyi Umezurike missed Jumper.,51,80
9:34,2329,Lehigh Defensive Rebound.,51,80
9:33,2598,Foul on Deivydas Kuzavas.,51,80
9:19,2329,Pat Andree made Three Point Jumper. Assisted by Kahron Ross.,51,83
9:00,2329,Foul on Pat Andree.,51,83
9:00,2598,Isaiah Blackmon missed Free Throw.,51,83
9:00,2598,St. Francis (PA) Deadball Team Rebound.,51,83
9:00,2598,Isaiah Blackmon made Free Throw.,52,83
8:49,2329,Pat Andree made Three Point Jumper. Assisted by Kahron Ross.,52,86
8:35,2598,Jamaal King missed Layup.,52,86
8:35,2329,Brandon Alston Defensive Rebound.,52,86
8:24,2329,Kahron Ross missed Three Point Jumper.,52,86
8:24,2598,Isaiah Blackmon Defensive Rebound.,52,86
8:16,2598,Scott Meredith missed Three Point Jumper.,52,86
8:16,2329,Brandon Alston Defensive Rebound.,52,86
8:02,2329,Pat Andree missed Three Point Jumper.,52,86
8:02,2598,Jamaal King Defensive Rebound.,52,86
7:48,2598,Isaiah Blackmon missed Layup.,52,86
7:48,2329,Pat Andree Block.,52,86
7:48,2598,St. Francis (PA) Offensive Rebound.,52,86
7:48,2329,Foul on Pat Andree.,52,86
7:48,2329,Technical Foul on Pat Andree.,52,86
7:48,2598,Isaiah Blackmon made Free Throw.,53,86
7:48,2598,Isaiah Blackmon missed Free Throw.,53,86
7:48,2598,St. Francis (PA) Deadball Team Rebound.,53,86
7:34,2329,Tim Kempton missed Layup.,53,86
7:34,2598,Josh Nebo Block.,53,86
7:32,2598,Patrick Wrencher Defensive Rebound.,53,86
7:24,2598,Josh Nebo Turnover.,53,86
6:54,2329,Tim Kempton made Layup. Assisted by Jordan Cohen.,53,88
6:54,2598,Foul on Josh Nebo.,53,88
6:54,2329,Tim Kempton made Free Throw.,53,89
6:39,2598,Patrick Wrencher missed Jumper.,53,89
6:39,2329,Tim Kempton Defensive Rebound.,53,89
6:26,2329,Brandon Alston missed Three Point Jumper.,53,89
6:26,2598,Isaiah Blackmon Defensive Rebound.,53,89
6:18,2598,Isaiah Blackmon made Layup.,55,89
6:10,2329,Kyle Leufroy made Layup.,55,91
5:58,2598,Jamaal King missed Three Point Jumper.,55,91
5:58,2598,Jamaal King Offensive Rebound.,55,91
5:49,2598,Randall Gaskins Jr. missed Jumper.,55,91
5:49,2329,Matt Holba Defensive Rebound.,55,91
5:42,2329,Kyle Leufroy made Three Point Jumper. Assisted by Brandon Alston.,55,94
5:13,2329,Foul on Jordan Cohen.,55,94
5:13,2598,Jamaal King made Free Throw.,56,94
5:13,2598,Jamaal King made Free Throw.,57,94
5:01,2329,Foul on Devon Carter.,57,94
5:01,2329,Devon Carter Turnover.,57,94
4:42,2329,Foul on Pat Andree.,57,94
4:42,2598,Patrick Wrencher made Free Throw.,58,94
4:42,2598,Patrick Wrencher made Free Throw.,59,94
4:31,2329,Pat Andree made Three Point Jumper. Assisted by Brandon Alston.,59,97
4:06,2598,Patrick Wrencher missed Jumper.,59,97
4:06,2329,Matt Holba Defensive Rebound.,59,97
3:56,2329,Official TV Timeout,59,97
3:36,2329,Pat Andree made Three Point Jumper. Assisted by Jordan Cohen.,59,100
3:12,2329,Foul on Devon Carter.,59,100
3:12,2598,Andre Wolford made Free Throw.,60,100
3:12,2598,Andre Wolford made Free Throw.,61,100
2:55,2329,Devon Carter missed Jumper.,61,100
2:55,2598,Keith Braxton Defensive Rebound.,61,100
2:44,2598,Andre Wolford missed Three Point Jumper.,61,100
2:44,2329,Jay Jay Davis Defensive Rebound.,61,100
2:33,2329,Brandon Alston Turnover.,61,100
2:20,2598,Michael Klebon missed Layup.,61,100
2:20,2329,Pat Andree Defensive Rebound.,61,100
2:15,2329,Pat Andree Turnover.,61,100
2:15,2598,Deon Baker Steal.,61,100
2:12,2598,Deon Baker missed Layup.,61,100
2:12,2329,Pat Andree Defensive Rebound.,61,100
1:58,2329,Jay Jay Davis Turnover.,61,100
1:43,2598,Jordan Forehand made Jumper.,63,100
1:36,2329,Devon Carter missed Three Point Jumper.,63,100
1:36,2598,Michael Klebon Defensive Rebound.,63,100
1:23,2598,Tre McKeithen missed Three Point Jumper.,63,100
1:23,2329,Pat Andree Defensive Rebound.,63,100
1:22,2598,Foul on Deivydas Kuzavas.,63,100
1:10,2329,Jordan Cohen Turnover.,63,100
1:09,2598,Deon Baker Steal.,63,100
1:07,2598,Deon Baker made Layup.,65,100
1:00,2329,Jay Jay Davis missed Three Point Jumper.,65,100
1:00,2598,Michael Klebon Defensive Rebound.,65,100
0:52,2598,Deon Baker missed Layup.,65,100
0:52,2329,Brandon Alston Defensive Rebound.,65,100
0:44,2329,Pat Andree missed Three Point Jumper.,65,100
0:44,2329,Brandon Alston Offensive Rebound.,65,100
0:16,2329,Jay Jay Davis Turnover.,65,100
0:09,2598,Jordan Forehand made Jumper.,67,100
0:00,2329,End of Game,67,100
