North Carolina A&amp;T,2115,Central Connecticut,2448
18:06,2448,Femi Olujobi Turnover.,25,35
17:46,2115,Tyler Kohl made Jumper.,25,37
17:37,2115,Foul on Tyler Kohl.,25,37
17:37,2448,Femi Olujobi made Free Throw.,26,37
17:37,2448,Femi Olujobi missed Free Throw.,26,37
17:37,2115,Mustafa Jones Defensive Rebound.,26,37
17:22,2115,Tyler Kohl missed Jumper.,26,37
17:22,2448,Aaren Edmead Defensive Rebound.,26,37
17:14,2448,Aaren Edmead Turnover.,26,37
17:13,2115,Tyler Kohl Steal.,26,37
17:10,2115,Tyler Kohl made Layup.,26,39
17:00,2115,Foul on Austin Nehls.,26,39
16:58,2448,Femi Olujobi missed Layup.,26,39
16:58,2448,Japhet Kadji Offensive Rebound.,26,39
16:55,2448,Japhet Kadji made Jumper.,28,39
16:39,2115,Austin Nehls missed Three Point Jumper.,28,39
16:39,2448,Kameron Langley Defensive Rebound.,28,39
16:29,2448,Amari Hamilton made Three Point Jumper. Assisted by Kameron Langley.,31,39
16:07,2115,Mustafa Jones made Dunk. Assisted by Tyler Kohl.,31,41
16:00,2115,Official TV Timeout,31,41
16:00,2115,Foul on Deion Bute.,31,41
16:00,2115,Official TV Timeout,31,41
15:54,2448,Kwei Lartey Turnover.,31,41
15:53,2115,Tyler Kohl Steal.,31,41
15:44,2448,Foul on Kwei Lartey.,31,41
15:44,2115,Mustafa Jones missed Free Throw.,31,41
15:44,2115,Central Connecticut Deadball Team Rebound.,31,41
15:44,2115,Mustafa Jones missed Free Throw.,31,41
15:44,2448,Japhet Kadji Defensive Rebound.,31,41
15:23,2448,Femi Olujobi made Dunk. Assisted by Amari Hamilton.,33,41
14:56,2115,Joe Hugley missed Three Point Jumper.,33,41
14:56,2115,Mustafa Jones Offensive Rebound.,33,41
14:46,2115,Joe Hugley made Layup. Assisted by Tyler Kohl.,33,43
14:46,2448,Foul on Femi Olujobi.,33,43
14:46,2115,Joe Hugley missed Free Throw.,33,43
14:46,2448,Japhet Kadji Defensive Rebound.,33,43
14:26,2448,Amari Hamilton made Jumper.,35,43
14:07,2115,Tyler Kohl missed Three Point Jumper.,35,43
14:07,2448,Kameron Langley Defensive Rebound.,35,43
13:53,2448,Amari Hamilton missed Three Point Jumper.,35,43
13:53,2115,Joe Hugley Defensive Rebound.,35,43
13:23,2448,Foul on Femi Olujobi.,35,43
13:23,2115,Joe Hugley made Free Throw.,35,44
13:23,2115,Joe Hugley made Free Throw.,35,45
13:08,2448,Kameron Langley missed Jumper.,35,45
13:08,2115,Central Connecticut Defensive Rebound.,35,45
12:45,2448,Foul on Raymon Pratt.,35,45
12:38,2115,Joe Hugley made Layup.,35,47
12:31,2448,Raymon Pratt made Layup.,37,47
12:09,2448,Foul on Raymon Pratt.,37,47
12:09,2115,Harrison Kay missed Jumper.,37,47
12:09,2448,Kameron Langley Defensive Rebound.,37,47
12:08,2448,Japhet Kadji made Jumper.,39,47
11:46,2115,Foul on Eric Bowles.,39,47
11:46,2448,Japhet Kadji missed Free Throw.,39,47
11:46,2115,Joe Hugley Defensive Rebound.,39,47
11:34,2115,Joe Hugley missed Jumper.,39,47
11:34,2448,Kameron Langley Defensive Rebound.,39,47
11:34,2448,Denzel Keyes missed Three Point Jumper.,39,47
11:34,2448,Amari Hamilton Offensive Rebound.,39,47
11:04,2448,Amari Hamilton missed Three Point Jumper.,39,47
11:04,2115,Tyler Kohl Defensive Rebound.,39,47
10:51,2115,Joe Hugley missed Layup.,39,47
10:51,2115,Joe Hugley Offensive Rebound.,39,47
10:47,2115,Joe Hugley made Layup.,39,49
10:26,2448,Amari Hamilton made Jumper.,41,49
10:03,2115,Joe Hugley Turnover.,41,49
9:43,2448,Japhet Kadji made Jumper.,43,49
9:21,2115,Tyler Kohl missed Three Point Jumper.,43,49
9:21,2448,Denzel Keyes Defensive Rebound.,43,49
9:14,2115,Foul on Deion Bute.,43,49
9:14,2448,Amari Hamilton made Free Throw.,44,49
9:14,2448,Amari Hamilton made Free Throw.,45,49
8:59,2115,Joe Hugley made Dunk. Assisted by Eric Bowles.,45,51
8:31,2448,Kameron Langley missed Three Point Jumper.,45,51
8:31,2115,Joe Hugley Defensive Rebound.,45,51
8:28,2448,Foul on Denzel Keyes.,45,51
8:21,2448,Foul on Kameron Langley.,45,51
8:21,2115,Eric Bowles missed Free Throw.,45,51
8:21,2448,Denzel Keyes Defensive Rebound.,45,51
8:06,2448,Japhet Kadji missed Three Point Jumper.,45,51
8:06,2115,Mustafa Jones Defensive Rebound.,45,51
7:47,2448,Foul on Denzel Keyes.,45,51
7:47,2115,Official TV Timeout,45,51
7:47,2115,Eric Bowles made Free Throw.,45,52
7:47,2115,Eric Bowles made Free Throw.,45,53
7:31,2115,Foul on Harrison Kay.,45,53
7:31,2448,Femi Olujobi made Free Throw.,46,53
7:31,2448,Femi Olujobi made Free Throw.,47,53
7:05,2115,Austin Nehls made Three Point Jumper. Assisted by Tyler Kohl.,47,56
6:51,2115,Foul on Tyler Kohl.,47,56
6:51,2448,Raymon Pratt missed Free Throw.,47,56
6:51,2115,Joe Hugley Defensive Rebound.,47,56
6:28,2115,Shakaris Laney made Layup.,47,58
6:13,2448,Raymon Pratt made Layup.,49,58
5:59,2448,Foul on Aaren Edmead.,49,58
5:59,2115,Eric Bowles made Free Throw.,49,59
5:59,2115,Eric Bowles made Free Throw.,49,60
5:43,2115,Foul on Eric Bowles.,49,60
5:43,2448,Aaren Edmead missed Free Throw.,49,60
5:43,2115,Joe Hugley Defensive Rebound.,49,60
5:26,2115,Austin Nehls missed Three Point Jumper.,49,60
5:26,2115,Eric Bowles Offensive Rebound.,49,60
5:21,2448,Foul on Aaren Edmead.,49,60
5:21,2115,Eric Bowles made Free Throw.,49,61
5:21,2115,Eric Bowles missed Free Throw.,49,61
5:21,2448,Raymon Pratt Defensive Rebound.,49,61
5:08,2448,Aaren Edmead missed Three Point Jumper.,49,61
5:08,2115,Mustafa Jones Defensive Rebound.,49,61
4:38,2115,Eric Bowles made Layup.,49,63
4:25,2448,Amari Hamilton missed Three Point Jumper.,49,63
4:25,2448,North Carolina A&T Offensive Rebound.,49,63
4:19,2448,Femi Olujobi Turnover.,49,63
3:55,2115,Mustafa Jones Turnover.,49,63
3:54,2448,Femi Olujobi Steal.,49,63
3:50,2448,Amari Hamilton missed Three Point Jumper.,49,63
3:50,2448,Aaren Edmead Offensive Rebound.,49,63
3:46,2448,Aaren Edmead missed Three Point Jumper.,49,63
3:46,2448,North Carolina A&T Offensive Rebound.,49,63
3:42,2115,Foul on Mustafa Jones.,49,63
3:42,2115,Official TV Timeout,49,63
3:42,2448,Davaris McGowens made Free Throw.,50,63
3:42,2448,Davaris McGowens missed Free Throw.,50,63
3:42,2115,Central Connecticut Defensive Rebound.,50,63
3:36,2115,Austin Nehls missed Three Point Jumper.,50,63
3:36,2448,Japhet Kadji Defensive Rebound.,50,63
3:25,2115,Foul on Deion Bute.,50,63
3:25,2448,Japhet Kadji made Free Throw.,51,63
3:25,2448,Japhet Kadji made Free Throw.,52,63
2:56,2115,Austin Nehls missed Three Point Jumper.,52,63
2:56,2115,Tyler Kohl Offensive Rebound.,52,63
2:42,2115,Joe Hugley missed Jumper.,52,63
2:42,2115,Joe Hugley Offensive Rebound.,52,63
2:38,2115,Joe Hugley made Layup.,52,65
2:27,2448,Amari Hamilton missed Three Point Jumper.,52,65
2:27,2448,Femi Olujobi Offensive Rebound.,52,65
2:23,2448,Femi Olujobi made Jumper.,54,65
2:07,2115,Tyler Kohl made Layup.,54,67
1:58,2448,Aaren Edmead missed Jumper.,54,67
1:58,2115,Mustafa Jones Defensive Rebound.,54,67
1:53,2448,Foul on Aaren Edmead.,54,67
1:53,2115,Eric Bowles made Free Throw.,54,68
1:53,2115,Eric Bowles missed Free Throw.,54,68
1:53,2448,Japhet Kadji Defensive Rebound.,54,68
1:37,2448,Amari Hamilton missed Layup.,54,68
1:37,2115,Tyler Kohl Defensive Rebound.,54,68
1:13,2448,Foul on Kwei Lartey.,54,68
1:13,2115,Mustafa Jones made Free Throw.,54,69
1:13,2115,Mustafa Jones made Free Throw.,54,70
1:07,2448,Femi Olujobi made Layup.,56,70
1:07,2115,Foul on Mustafa Jones.,56,70
1:07,2448,Femi Olujobi made Free Throw.,57,70
0:39,2115,Austin Nehls made Layup. Assisted by Tyler Kohl.,57,72
0:31,2448,Japhet Kadji made Layup.,59,72
0:00,2115,End of Game,59,72
