Pacific,27,UC Riverside,279
14:32,279,Jahlil Tripp made Jumper.,7,2
14:16,27,Dikymbe Martin missed Layup.,7,2
14:16,279,Jack Williams Defensive Rebound.,7,2
14:06,279,Kendall Small Turnover.,7,2
14:06,27,Official TV Timeout,7,2
13:55,27,DJ Sylvester missed Layup.,7,2
13:55,279,Namdi Okonkwo Block.,7,2
13:53,279,Miles Reynolds Defensive Rebound.,7,2
13:51,279,Miles Reynolds Turnover.,7,2
13:41,27,Alex Larsson Turnover.,7,2
13:41,27,Foul on Alex Larsson.,7,2
13:23,279,Miles Reynolds missed Three Point Jumper.,7,2
13:23,27,Alex Larsson Defensive Rebound.,7,2
13:02,279,Foul on Lafayette Dorsey.,7,2
12:57,279,Foul on Namdi Okonkwo.,7,2
12:54,27,Ryker Pierce missed Three Point Jumper.,7,2
12:54,279,Namdi Okonkwo Defensive Rebound.,7,2
12:45,279,Roberto Gallinat missed Three Point Jumper.,7,2
12:45,27,DJ Sylvester Defensive Rebound.,7,2
12:26,27,Menno Dijkstra Turnover.,7,2
12:26,27,Foul on Menno Dijkstra.,7,2
12:17,279,Roberto Gallinat made Jumper.,9,2
11:56,27,Official TV Timeout,9,2
11:53,27,Menno Dijkstra made Three Point Jumper. Assisted by Ryker Pierce.,9,5
11:40,279,Roberto Gallinat made Three Point Jumper. Assisted by Lafayette Dorsey.,12,5
11:16,27,DJ Sylvester made Layup.,12,7
10:47,279,Anthony Townes made Jumper. Assisted by Jack Williams.,14,7
10:26,27,Ryker Pierce missed Layup.,14,7
10:26,27,Brandon Rosser Offensive Rebound.,14,7
10:22,27,Brandon Rosser made Jumper.,14,9
10:02,27,Foul on Ryker Pierce.,14,9
9:59,279,Roberto Gallinat missed Jumper.,14,9
9:59,27,Brandon Rosser Defensive Rebound.,14,9
9:36,27,DJ Sylvester Turnover.,14,9
9:22,279,Anthony Townes made Layup. Assisted by Jack Williams.,16,9
9:05,27,Brandon Rosser Turnover.,16,9
9:04,279,Kendall Small Steal.,16,9
9:04,279,Kendall Small made Layup.,18,9
9:04,27,UC Riverside  Timeout,18,9
8:49,27,Ajani Kennedy missed Three Point Jumper.,18,9
8:49,279,Kendall Small Defensive Rebound.,18,9
8:24,279,Anthony Townes made Layup.,20,9
8:10,279,Foul on Anthony Townes.,20,9
8:07,27,Ajani Kennedy missed Jumper.,20,9
8:07,27,Alex Larsson Offensive Rebound.,20,9
8:04,27,Alex Larsson made Jumper.,20,11
7:42,279,Roberto Gallinat missed Layup.,20,11
7:42,279,Roberto Gallinat Offensive Rebound.,20,11
7:40,279,Roberto Gallinat missed Jumper.,20,11
7:40,279,Jahlil Tripp Offensive Rebound.,20,11
7:35,279,Anthony Townes made Jumper. Assisted by Jahlil Tripp.,22,11
7:14,27,Alex Larsson missed Jumper.,22,11
7:14,27,UC Riverside Offensive Rebound.,22,11
7:12,27,Official TV Timeout,22,11
7:09,27,Chance Murray missed Layup.,22,11
7:09,27,UC Riverside Offensive Rebound.,22,11
7:04,27,Dikymbe Martin Turnover.,22,11
7:03,279,Miles Reynolds Steal.,22,11
7:02,27,Foul on Dikymbe Martin.,22,11
6:51,279,Miles Reynolds made Three Point Jumper. Assisted by Jahlil Tripp.,25,11
6:35,27,Dominick Pickett missed Jumper.,25,11
6:35,279,Jahlil Tripp Defensive Rebound.,25,11
6:19,279,Jack Williams missed Three Point Jumper.,25,11
6:19,27,Alex Larsson Defensive Rebound.,25,11
6:10,279,Foul on Anthony Townes.,25,11
5:52,279,Foul on Miles Reynolds.,25,11
5:46,279,Foul on Kendall Small.,25,11
5:46,27,Dikymbe Martin missed Free Throw.,25,11
5:46,279,Namdi Okonkwo Defensive Rebound.,25,11
5:34,279,Namdi Okonkwo made Dunk. Assisted by Jahlil Tripp.,27,11
5:10,27,Dikymbe Martin missed Jumper.,27,11
5:10,279,Namdi Okonkwo Defensive Rebound.,27,11
4:50,279,Jahlil Tripp missed Jumper.,27,11
4:50,27,Chance Murray Defensive Rebound.,27,11
4:41,279,Foul on Jahlil Tripp.,27,11
4:41,27,Chance Murray made Free Throw.,27,12
4:41,27,Chance Murray missed Free Throw.,27,12
4:41,279,Namdi Okonkwo Defensive Rebound.,27,12
4:22,279,Jahlil Tripp missed Jumper.,27,12
4:22,27,Menno Dijkstra Defensive Rebound.,27,12
4:13,27,Menno Dijkstra missed Three Point Jumper.,27,12
4:13,279,Kendall Small Defensive Rebound.,27,12
3:50,279,Miles Reynolds missed Layup.,27,12
3:50,279,Namdi Okonkwo Offensive Rebound.,27,12
3:37,279,Pacific  Timeout,27,12
3:33,279,Jahlil Tripp Turnover.,27,12
3:26,27,DJ Sylvester missed Jumper.,27,12
3:26,279,Jahlil Tripp Defensive Rebound.,27,12
3:14,27,Foul on Chance Murray.,27,12
3:14,279,Miles Reynolds made Free Throw.,28,12
3:14,279,Miles Reynolds made Free Throw.,29,12
3:02,27,DJ Sylvester missed Jumper.,29,12
3:02,279,Namdi Okonkwo Block.,29,12
3:02,27,UC Riverside Offensive Rebound.,29,12
2:57,27,Dikymbe Martin missed Jumper.,29,12
2:57,279,Roberto Gallinat Defensive Rebound.,29,12
2:50,279,Miles Reynolds missed Layup.,29,12
2:50,27,Brandon Rosser Block.,29,12
2:48,27,Jayvon Brown Defensive Rebound.,29,12
2:43,27,Dikymbe Martin made Layup. Assisted by Jayvon Brown.,29,14
2:27,279,Miles Reynolds Turnover.,29,14
2:25,27,Dikymbe Martin Steal.,29,14
2:24,27,Dikymbe Martin missed Layup.,29,14
2:24,27,Brandon Rosser Offensive Rebound.,29,14
2:17,27,Brandon Rosser made Layup.,29,16
1:57,279,Roberto Gallinat missed Three Point Jumper.,29,16
1:57,279,Namdi Okonkwo Offensive Rebound.,29,16
1:53,279,Jack Williams missed Three Point Jumper.,29,16
1:53,27,UC Riverside Deadball Team Rebound.,29,16
1:51,279,Foul on Jahlil Tripp.,29,16
1:51,27,Dikymbe Martin missed Free Throw.,29,16
1:51,279,Pacific Deadball Team Rebound.,29,16
1:50,27,Foul on DJ Sylvester.,29,16
1:50,279,Jack Williams made Free Throw.,30,16
1:50,279,Jack Williams made Free Throw.,31,16
1:40,27,Dikymbe Martin made Layup.,31,18
1:24,279,Miles Reynolds Turnover.,31,18
1:24,27,Ryker Pierce Steal.,31,18
1:09,27,Dikymbe Martin missed Jumper.,31,18
1:09,279,Pacific Deadball Team Rebound.,31,18
1:08,27,Foul on Brandon Rosser.,31,18
1:08,279,Jack Williams Turnover.,31,18
0:54,27,Dikymbe Martin missed Layup.,31,18
0:54,27,Menno Dijkstra Offensive Rebound.,31,18
0:54,27,Menno Dijkstra missed Jumper.,31,18
0:54,27,UC Riverside Deadball Team Rebound.,31,18
0:54,279,Foul on Jack Williams.,31,18
0:54,27,Brandon Rosser made Free Throw.,31,19
0:54,27,Brandon Rosser made Free Throw.,31,20
0:35,279,Miles Reynolds Turnover.,31,20
0:35,279,Foul on Miles Reynolds.,31,20
0:15,27,Menno Dijkstra missed Three Point Jumper.,31,20
0:15,279,Roberto Gallinat Defensive Rebound.,31,20
0:10,279,Roberto Gallinat Turnover.,31,20
0:09,27,Brandon Rosser Steal.,31,20
0:07,27,Dikymbe Martin made Layup. Assisted by Brandon Rosser.,31,22
0:00,27,End of 1st half,31,22
19:40,27,Brandon Rosser missed Three Point Jumper.,31,22
19:40,279,Kendall Small Defensive Rebound.,31,22
19:07,279,Jack Williams made Three Point Jumper. Assisted by Kendall Small.,34,22
18:51,27,Chance Murray missed Layup.,34,22
18:51,279,Jack Williams Defensive Rebound.,34,22
18:39,279,Jack Williams made Three Point Jumper. Assisted by Jahlil Tripp.,37,22
18:35,27,UC Riverside  Timeout,37,22
18:21,27,Chance Murray made Three Point Jumper. Assisted by Dikymbe Martin.,37,25
18:01,279,Anthony Townes Turnover.,37,25
17:55,27,Chance Murray Steal.,37,25
17:52,27,Dominick Pickett missed Layup.,37,25
17:52,27,Alex Larsson Offensive Rebound.,37,25
17:50,27,Alex Larsson Turnover.,37,25
17:35,279,Kendall Small missed Jumper.,37,25
17:35,27,Brandon Rosser Defensive Rebound.,37,25
17:22,27,Chance Murray missed Three Point Jumper.,37,25
17:22,27,Alex Larsson Offensive Rebound.,37,25
17:20,279,Foul on Anthony Townes.,37,25
17:20,27,Alex Larsson made Free Throw.,37,26
17:20,27,Brandon Rosser Turnover.,37,26
17:04,279,Anthony Townes made Jumper.,39,26
16:45,27,Dikymbe Martin made Layup.,39,28
16:45,279,Foul on Anthony Townes.,39,28
16:45,27,Dikymbe Martin missed Free Throw.,39,28
16:45,279,Namdi Okonkwo Defensive Rebound.,39,28
16:34,27,Foul on Dominick Pickett.,39,28
16:22,279,Miles Reynolds missed Three Point Jumper.,39,28
16:22,27,Chance Murray Defensive Rebound.,39,28
16:10,27,Dikymbe Martin made Layup.,39,30
15:48,279,Jahlil Tripp Turnover.,39,30
15:47,27,Dikymbe Martin Steal.,39,30
15:44,27,Chance Murray made Layup. Assisted by Dikymbe Martin.,39,32
15:35,27,Official TV Timeout,39,32
15:14,279,Jack Williams made Three Point Jumper. Assisted by Jahlil Tripp.,42,32
14:50,27,Dominick Pickett missed Jumper.,42,32
14:50,27,Alex Larsson Offensive Rebound.,42,32
14:49,27,Alex Larsson made Jumper.,42,34
14:28,279,Kendall Small made Layup.,44,34
14:13,27,Dikymbe Martin missed Jumper.,44,34
14:13,279,Namdi Okonkwo Defensive Rebound.,44,34
13:58,279,Miles Reynolds Turnover.,44,34
13:57,27,Dikymbe Martin Steal.,44,34
13:54,279,Foul on Miles Reynolds.,44,34
13:54,27,Chance Murray made Free Throw.,44,35
13:54,27,Chance Murray made Free Throw.,44,36
13:23,279,Jahlil Tripp missed Jumper.,44,36
13:23,27,Dikymbe Martin Defensive Rebound.,44,36
13:11,27,Chance Murray made Jumper. Assisted by Dikymbe Martin.,44,38
12:53,279,Namdi Okonkwo made Jumper.,46,38
12:35,27,Dikymbe Martin made Three Point Jumper.,46,41
12:11,279,Miles Reynolds missed Jumper.,46,41
12:11,27,Chance Murray Defensive Rebound.,46,41
11:59,27,Alex Larsson made Layup. Assisted by Chance Murray.,46,43
11:50,279,Pacific  Timeout,46,43
11:33,279,Jack Williams Turnover.,46,43
11:31,27,Dikymbe Martin Steal.,46,43
11:23,27,Chance Murray missed Three Point Jumper.,46,43
11:23,279,Lafayette Dorsey Defensive Rebound.,46,43
11:03,279,Namdi Okonkwo Turnover.,46,43
10:45,279,Foul on Lafayette Dorsey.,46,43
10:28,27,Chance Murray made Three Point Jumper. Assisted by Alex Larsson.,46,46
10:02,279,Jahlil Tripp missed Layup.,46,46
10:02,27,Menno Dijkstra Block.,46,46
10:01,279,Jahlil Tripp Offensive Rebound.,46,46
9:59,279,Jahlil Tripp made Jumper.,48,46
9:40,27,Dikymbe Martin missed Jumper.,48,46
9:40,279,Roberto Gallinat Defensive Rebound.,48,46
9:34,27,Foul on Ryker Pierce.,48,46
9:15,279,Kendall Small missed Jumper.,48,46
9:15,27,Brandon Rosser Defensive Rebound.,48,46
9:02,279,Foul on Kendall Small.,48,46
8:44,27,Chance Murray missed Jumper.,48,46
8:44,279,Pacific Defensive Rebound.,48,46
8:25,27,Foul on Menno Dijkstra.,48,46
8:25,279,Jahlil Tripp made Free Throw.,49,46
8:25,279,Jahlil Tripp missed Free Throw.,49,46
8:25,27,Brandon Rosser Defensive Rebound.,49,46
8:11,279,Foul on Namdi Okonkwo.,49,46
8:11,27,Brandon Rosser made Free Throw.,49,47
8:11,27,Brandon Rosser made Free Throw.,49,48
7:54,27,Foul on Ryker Pierce.,49,48
7:54,27,Official TV Timeout,49,48
7:54,279,Jahlil Tripp missed Free Throw.,49,48
7:54,279,Pacific Deadball Team Rebound.,49,48
7:54,279,Jahlil Tripp made Free Throw.,50,48
7:36,27,Ryker Pierce missed Three Point Jumper.,50,48
7:36,279,Miles Reynolds Defensive Rebound.,50,48
7:05,279,Namdi Okonkwo made Dunk. Assisted by Jahlil Tripp.,52,48
7:01,27,UC Riverside  Timeout,52,48
6:36,27,Dikymbe Martin Turnover.,52,48
6:35,279,Jahlil Tripp Steal.,52,48
6:31,279,Jahlil Tripp missed Layup.,52,48
6:31,279,Jack Williams Offensive Rebound.,52,48
6:28,279,Jack Williams made Two Point Tip Shot.,54,48
5:57,27,Chance Murray missed Three Point Jumper.,54,48
5:57,279,Miles Reynolds Defensive Rebound.,54,48
5:32,279,Namdi Okonkwo made Jumper.,56,48
5:15,27,Dikymbe Martin missed Three Point Jumper.,56,48
5:15,27,UC Riverside Offensive Rebound.,56,48
5:08,27,Dikymbe Martin made Jumper. Assisted by Menno Dijkstra.,56,50
4:33,279,Roberto Gallinat missed Three Point Jumper.,56,50
4:33,27,Dikymbe Martin Defensive Rebound.,56,50
4:26,27,Dikymbe Martin Turnover.,56,50
4:24,279,Jack Williams Steal.,56,50
4:09,279,Roberto Gallinat Turnover.,56,50
3:51,27,Menno Dijkstra made Three Point Jumper. Assisted by Dominick Pickett.,56,53
3:26,279,Roberto Gallinat missed Three Point Jumper.,56,53
3:26,27,Alex Larsson Defensive Rebound.,56,53
3:08,27,Menno Dijkstra missed Three Point Jumper.,56,53
3:08,279,Namdi Okonkwo Block.,56,53
3:07,279,Jack Williams Defensive Rebound.,56,53
2:38,279,Roberto Gallinat missed Layup.,56,53
2:38,279,Jahlil Tripp Offensive Rebound.,56,53
2:14,279,Jack Williams missed Three Point Jumper.,56,53
2:14,27,UC Riverside Defensive Rebound.,56,53
2:11,27,Official TV Timeout,56,53
1:49,27,Dikymbe Martin Turnover.,56,53
1:18,279,Roberto Gallinat missed Jumper.,56,53
1:17,27,Menno Dijkstra Defensive Rebound.,56,53
1:17,27,Dikymbe Martin made Jumper.,56,55
1:08,279,Jahlil Tripp missed Layup.,56,55
1:08,279,Anthony Townes Offensive Rebound.,56,55
1:01,27,Foul on Menno Dijkstra.,56,55
0:59,279,Anthony Townes missed Free Throw.,56,55
0:59,279,Pacific Deadball Team Rebound.,56,55
0:59,279,Anthony Townes made Free Throw.,57,55
0:34,27,UC Riverside  Timeout,57,55
0:20,27,Dikymbe Martin missed Jumper.,57,55
0:20,279,Roberto Gallinat Defensive Rebound.,57,55
0:18,27,Foul on Menno Dijkstra.,57,55
0:10,27,Foul on Koh Flippin.,57,55
0:10,279,Kendall Small missed Free Throw.,57,55
0:10,27,Chance Murray Defensive Rebound.,57,55
0:03,27,Ryker Pierce missed Three Point Jumper.,57,55
0:03,279,Jahlil Tripp Defensive Rebound.,57,55
0:00,27,End of Game,57,55
