Alabama State,55,Jacksonville State,2011
2:45,2011,Foul on Branden Johnson.,16,30
2:45,55,Official TV Timeout,16,30
2:45,55,Norbertas Giga missed Free Throw.,16,30
2:45,55,Jacksonville State Deadball Team Rebound.,16,30
2:45,55,Norbertas Giga made Free Throw.,16,31
2:32,2011,Steve Rogers missed Three Point Jumper.,16,31
2:32,2011,Branden Johnson Offensive Rebound.,16,31
2:25,2011,Ed Jones missed Jumper.,16,31
2:25,2011,Gene Davis Offensive Rebound.,16,31
2:18,2011,Gene Davis made Three Point Jumper.,19,31
1:58,55,Marlon Hunter made Free Throw.,19,32
1:58,55,Marlon Hunter made Free Throw.,19,33
1:57,2011,Foul on Branden Johnson.,19,33
1:42,2011,Ed Jones missed Jumper.,19,33
1:42,55,Tyrik Edwards Defensive Rebound.,19,33
1:23,55,Ashton Spears made Layup.,19,35
1:11,2011,Reginald Gee missed Jumper.,19,35
1:11,55,Jason Burnell Block.,19,35
1:08,2011,Gene Davis Offensive Rebound.,19,35
1:06,2011,Gene Davis Turnover.,19,35
0:46,55,Cam Martin missed Jumper.,19,35
0:46,2011,Gene Davis Defensive Rebound.,19,35
0:40,2011,Reginald Gee made Three Point Jumper. Assisted by Gene Davis.,22,35
0:38,55,Jacksonville State  Timeout,22,35
0:20,55,Marlon Hunter made Jumper. Assisted by Ashton Spears.,22,37
0:02,2011,Gene Davis missed Jumper.,22,37
0:02,2011,Alabama State Offensive Rebound.,22,37
0:00,55,End of 1st half,22,37
19:43,2011,Gene Davis Turnover.,22,37
19:42,55,Christian Cunningham Steal.,22,37
19:22,55,Ashton Spears made Three Point Jumper.,22,40
19:02,2011,Foul on Ed Jones.,22,40
18:37,55,Ashton Spears Turnover.,22,40
18:36,2011,Terrance LeFlore Steal.,22,40
18:34,2011,Terrance LeFlore Turnover.,22,40
18:17,55,Marlon Hunter missed Jumper.,22,40
18:17,55,Christian Cunningham Offensive Rebound.,22,40
18:14,55,Christian Cunningham made Layup.,22,42
17:57,2011,Austin Rogers Turnover.,22,42
17:56,55,Ashton Spears Steal.,22,42
17:53,2011,Foul on Reginald Gee.,22,42
17:53,2011,Alabama State  Timeout,22,42
17:53,55,Official TV Timeout,22,42
17:53,55,Marlon Hunter made Free Throw.,22,43
17:53,55,Marlon Hunter made Free Throw.,22,44
17:39,2011,Ed Jones made Jumper. Assisted by Terrance LeFlore.,24,44
17:15,55,Ashton Spears Turnover.,24,44
17:14,2011,Terrance LeFlore Steal.,24,44
17:12,2011,Terrance LeFlore made Layup.,26,44
16:55,55,Marlon Hunter missed Three Point Jumper.,26,44
16:55,2011,Branden Johnson Defensive Rebound.,26,44
16:41,2011,Reginald Gee missed Three Point Jumper.,26,44
16:41,55,Christian Cunningham Defensive Rebound.,26,44
16:32,55,Marlon Hunter missed Jumper.,26,44
16:32,2011,Alabama State Defensive Rebound.,26,44
16:09,2011,Branden Johnson missed Jumper.,26,44
16:09,55,Norbertas Giga Defensive Rebound.,26,44
15:57,55,Official TV Timeout,26,44
15:40,55,Christian Cunningham made Dunk. Assisted by Malcolm Drumwright.,26,46
15:21,2011,Terrance LeFlore missed Layup.,26,46
15:21,55,Norbertas Giga Block.,26,46
15:21,55,Jacksonville State Defensive Rebound.,26,46
15:00,55,Norbertas Giga missed Layup.,26,46
15:00,2011,Branden Johnson Block.,26,46
14:59,55,Christian Cunningham Offensive Rebound.,26,46
14:53,55,Jamall Gregory missed Jumper.,26,46
14:53,2011,Austin Rogers Block.,26,46
14:52,2011,Austin Rogers Defensive Rebound.,26,46
14:47,2011,Terrance LeFlore missed Layup.,26,46
14:47,55,Jamall Gregory Block.,26,46
14:46,55,Maurice Dunlap Defensive Rebound.,26,46
14:40,55,Christian Cunningham made Layup.,26,48
14:21,2011,Ed Jones made Jumper. Assisted by Terrance LeFlore.,28,48
14:09,55,Christian Cunningham made Dunk. Assisted by Jamall Gregory.,28,50
13:53,2011,Foul on Ed Jones.,28,50
13:36,55,Malcolm Drumwright made Layup.,28,52
13:18,2011,Fausto Pichardo Turnover.,28,52
13:17,55,Jason Burnell Steal.,28,52
13:12,55,Tyrik Edwards made Layup. Assisted by Jason Burnell.,28,54
12:52,2011,Fausto Pichardo missed Three Point Jumper.,28,54
12:52,2011,Branden Johnson Offensive Rebound.,28,54
12:49,2011,Branden Johnson missed Layup.,28,54
12:49,55,Jacara Cross Block.,28,54
12:49,55,Malcolm Drumwright Defensive Rebound.,28,54
12:44,55,Jacara Cross made Layup. Assisted by Malcolm Drumwright.,28,56
12:42,2011,Alabama State  Timeout,28,56
12:34,2011,Jacoby Ross missed Three Point Jumper.,28,56
12:34,2011,Branden Johnson Offensive Rebound.,28,56
12:29,2011,Branden Johnson made Layup.,30,56
12:16,55,Maurice Dunlap made Three Point Jumper. Assisted by Malcolm Drumwright.,30,59
12:00,55,Foul on Jacara Cross.,30,59
12:00,55,Official TV Timeout,30,59
12:00,55,Foul on Jason Burnell.,30,59
11:46,2011,Gene Davis missed Layup.,30,59
11:46,55,Jason Burnell Defensive Rebound.,30,59
11:31,55,Malcolm Drumwright missed Three Point Jumper.,30,59
11:31,2011,Reginald Gee Defensive Rebound.,30,59
11:23,55,Foul on Tyrik Edwards.,30,59
11:23,2011,Reginald Gee made Free Throw.,31,59
11:23,2011,Reginald Gee made Free Throw.,32,59
11:16,55,Jason Burnell made Dunk. Assisted by Maurice Dunlap.,32,61
11:05,2011,Reginald Gee missed Layup.,32,61
11:05,55,Jason Burnell Block.,32,61
11:04,2011,Alabama State Offensive Rebound.,32,61
10:48,2011,Gene Davis made Layup.,34,61
10:27,55,Cam Martin made Layup.,34,63
10:00,2011,Fausto Pichardo made Dunk. Assisted by Gene Davis.,36,63
9:49,2011,Foul on Fredens Deneus.,36,63
9:49,55,Cam Martin missed Free Throw.,36,63
9:49,55,Jacksonville State Deadball Team Rebound.,36,63
9:49,55,Cam Martin made Free Throw.,36,64
9:32,2011,Tobi Ewuosho missed Jumper.,36,64
9:32,2011,Tobi Ewuosho Offensive Rebound.,36,64
9:29,2011,Tobi Ewuosho made Layup.,38,64
9:08,55,Jason Burnell made Layup.,38,66
8:53,2011,Fausto Pichardo made Free Throw.,39,66
8:53,2011,Alabama State Deadball Team Rebound.,39,66
8:53,2011,Fausto Pichardo made Free Throw.,40,66
8:52,55,Foul on Jason Burnell.,40,66
8:46,55,Tyrik Edwards Turnover.,40,66
8:45,2011,Fausto Pichardo Steal.,40,66
8:45,55,Foul on Marlon Hunter.,40,66
8:39,2011,Steve Rogers made Layup.,42,66
8:27,2011,Foul on Tobi Ewuosho.,42,66
8:27,55,Cam Martin made Free Throw.,42,67
8:27,55,Cam Martin missed Free Throw.,42,67
8:27,55,Marlon Hunter Offensive Rebound.,42,67
8:19,55,Cam Martin missed Three Point Jumper.,42,67
8:19,55,Marlon Hunter Offensive Rebound.,42,67
8:05,55,Cam Martin made Layup. Assisted by Jason Burnell.,42,69
7:47,2011,Fausto Pichardo missed Layup.,42,69
7:47,55,Jason Burnell Defensive Rebound.,42,69
7:39,55,Foul on Cam Martin.,42,69
7:37,55,Official TV Timeout,42,69
7:21,2011,Terrance LeFlore missed Three Point Jumper.,42,69
7:21,2011,Tobi Ewuosho Offensive Rebound.,42,69
7:15,2011,Tobi Ewuosho made Layup.,44,69
7:04,55,Mohamed Abuarisha missed Three Point Jumper.,44,69
7:04,55,Jacara Cross Offensive Rebound.,44,69
6:46,55,Jacara Cross Turnover.,44,69
6:45,2011,Terrance LeFlore Steal.,44,69
6:25,2011,Fausto Pichardo made Jumper.,46,69
6:17,55,Christian Cunningham Turnover.,46,69
6:01,2011,Tobi Ewuosho made Layup.,48,69
5:57,55,Jacksonville State  Timeout,48,69
5:56,55,Tyrik Edwards Turnover.,48,69
5:55,2011,Branden Johnson Steal.,48,69
5:54,2011,Branden Johnson made Dunk.,50,69
5:40,2011,Foul on Terrance LeFlore.,50,69
5:19,55,Malcolm Drumwright missed Jumper.,50,69
5:19,55,Norbertas Giga Offensive Rebound.,50,69
5:14,55,Christian Cunningham Offensive Rebound.,50,69
5:14,55,Norbertas Giga missed Free Throw.,50,69
5:14,55,Christian Cunningham missed Free Throw.,50,69
5:14,2011,Foul on Terrance LeFlore.,50,69
5:14,55,Christian Cunningham made Dunk.,50,71
5:14,55,Christian Cunningham Offensive Rebound.,50,71
5:12,2011,Foul on Tobi Ewuosho.,50,71
5:00,2011,Steve Rogers made Free Throw.,51,71
5:00,2011,Steve Rogers made Free Throw.,52,71
4:59,55,Foul on Jamall Gregory.,52,71
4:34,55,Malcolm Drumwright missed Three Point Jumper.,52,71
4:34,2011,Terrance LeFlore Defensive Rebound.,52,71
4:22,2011,Tobi Ewuosho missed Layup.,52,71
4:22,2011,Branden Johnson Offensive Rebound.,52,71
4:19,2011,Branden Johnson made Layup.,54,71
4:19,2011,Alabama State  Timeout,54,71
4:11,55,Norbertas Giga missed Layup.,54,71
4:11,2011,Ed Jones Defensive Rebound.,54,71
3:54,2011,Branden Johnson made Jumper. Assisted by Terrance LeFlore.,56,71
3:18,55,Jamall Gregory missed Three Point Jumper.,56,71
3:18,55,Norbertas Giga Offensive Rebound.,56,71
3:17,55,Norbertas Giga missed Layup.,56,71
3:17,2011,Steve Rogers Defensive Rebound.,56,71
3:11,2011,Terrance LeFlore made Three Point Jumper.,59,71
2:36,55,Jacksonville State  Turnover.,59,71
2:16,55,Foul on Malcolm Drumwright.,59,71
2:16,2011,Tobi Ewuosho made Free Throw.,60,71
2:16,2011,Tobi Ewuosho made Free Throw.,61,71
1:38,55,Tyrik Edwards made Layup.,61,73
1:18,2011,Branden Johnson Turnover.,61,73
1:18,55,Jason Burnell Steal.,61,73
1:14,55,Jason Burnell Turnover.,61,73
1:13,2011,Tobi Ewuosho Steal.,61,73
1:11,2011,Tobi Ewuosho missed Three Point Jumper.,61,73
1:11,2011,Terrance LeFlore Offensive Rebound.,61,73
1:08,55,Foul on Jamall Gregory.,61,73
1:08,2011,Terrance LeFlore made Free Throw.,62,73
1:08,2011,Terrance LeFlore missed Free Throw.,62,73
1:08,2011,Alabama State Offensive Rebound.,62,73
1:08,2011,Reginald Gee made Free Throw.,63,73
1:08,2011,Reginald Gee made Free Throw.,64,73
1:08,55,Tyrik Edwards Turnover.,64,73
1:08,2011,Branden Johnson Steal.,64,73
1:07,2011,Branden Johnson Turnover.,64,73
1:06,55,Jamall Gregory Steal.,64,73
1:04,55,Foul on Jamall Gregory.,62,73
1:04,55,Jamall Gregory made Dunk.,64,75
0:55,2011,Terrance LeFlore missed Three Point Jumper.,64,75
0:55,2011,Reginald Gee Offensive Rebound.,64,75
0:52,55,Foul on Marlon Hunter.,64,75
0:51,2011,Reginald Gee made Free Throw.,65,75
0:51,2011,Reginald Gee made Free Throw.,66,75
0:45,55,Malcolm Drumwright Turnover.,66,75
0:42,55,Foul on Malcolm Drumwright.,66,75
0:42,2011,Terrance LeFlore made Free Throw.,67,75
0:42,2011,Terrance LeFlore made Free Throw.,68,75
0:32,55,Jason Burnell Turnover.,68,75
0:32,2011,Tobi Ewuosho missed Free Throw.,68,75
0:32,2011,Alabama State Deadball Team Rebound.,68,75
0:32,2011,Tobi Ewuosho made Free Throw.,69,75
0:31,2011,Tobi Ewuosho Steal.,68,75
0:31,55,Foul on Malcolm Drumwright.,68,75
0:28,55,Tyrik Edwards missed Free Throw.,69,75
0:28,2011,Tobi Ewuosho Defensive Rebound.,69,75
0:26,2011,Foul on Tobi Ewuosho.,69,75
0:20,2011,Steve Rogers missed Three Point Jumper.,69,75
0:20,55,Christian Cunningham Defensive Rebound.,69,75
0:11,2011,Foul on Tobi Ewuosho.,69,75
0:11,55,Marlon Hunter made Free Throw.,69,76
0:11,55,Marlon Hunter made Free Throw.,69,77
0:00,55,End of Game,69,77
