IU-Kokomo,Error,Fort Wayne,2870
5:28,-1,Durante Lee Offensive Rebound.,27,38
5:23,-1,Durante Lee Turnover.,27,38
5:22,2870,Matt Weir Steal.,27,38
5:15,2870,Cameron Benford missed Jumper.,27,38
5:15,-1,Indiana-Kokomo Defensive Rebound.,27,38
4:54,-1,Durante Lee missed Layup.,27,38
4:54,2870,John Konchar Defensive Rebound.,27,38
4:45,2870,Kason Harrell Turnover.,27,38
4:44,-1,Eddie Miles Steal.,27,38
4:26,-1,Eddie Miles Turnover.,27,38
4:14,2870,Bryson Scott made Three Point Jumper. Assisted by Jairus Stevens.,27,41
3:59,-1,Stephen Calhoun Turnover.,27,41
3:59,2870,Official TV Timeout,27,41
3:42,2870,Bryson Scott missed Jumper.,27,41
3:42,-1,Akil McClain Defensive Rebound.,27,41
3:30,-1,Bryce Hudson missed Jumper.,27,41
3:30,2870,Xzavier Taylor Block.,27,41
3:27,2870,Jairus Stevens Defensive Rebound.,27,41
3:24,2870,Jairus Stevens made Layup.,27,43
3:20,-1,Eddie Miles Turnover.,27,43
3:16,2870,Kason Harrell Steal.,27,43
3:15,-1,Foul on Eddie Miles.,27,43
3:15,2870,Kason Harrell missed Free Throw.,27,43
3:15,-1,Trent Elliott Defensive Rebound.,27,43
2:55,-1,Trent Elliott Turnover.,27,43
2:39,2870,Jairus Stevens made Jumper.,27,45
2:37,-1,Foul on Trent Elliott.,27,45
2:37,2870,Jairus Stevens made Free Throw.,27,46
2:28,-1,Akil McClain missed Layup.,27,46
2:28,2870,John Konchar Defensive Rebound.,27,46
2:22,2870,Xzavier Taylor made Layup. Assisted by Bryson Scott.,27,48
2:14,-1,Jonathan Hurt Turnover.,27,48
2:13,2870,Bryson Scott Steal.,27,48
2:13,2870,Bryson Scott made Layup.,27,50
2:09,-1,Indiana-Kokomo  Timeout,27,50
1:43,-1,Bryce Hudson missed Layup.,27,50
1:43,2870,Dylan Carl Defensive Rebound.,27,50
1:39,2870,Dylan Carl Turnover.,27,50
1:38,-1,Stephen Calhoun Steal.,27,50
1:35,-1,Luke Smith made Three Point Jumper. Assisted by Jonathan Hurt.,30,50
1:17,2870,Dylan Carl Turnover.,30,50
1:04,-1,Luke Smith made Three Point Jumper. Assisted by Bryce Hudson.,33,50
0:51,2870,Jairus Stevens missed Three Point Jumper.,33,50
0:51,-1,Jonathan Hurt Defensive Rebound.,33,50
0:40,-1,Akil McClain missed Jumper.,33,50
0:40,2870,Fort Wayne Deadball Team Rebound.,33,50
0:35,-1,Foul on Stephen Calhoun.,33,50
0:35,2870,Dylan Carl made Free Throw.,33,51
0:35,2870,Dylan Carl made Free Throw.,33,52
0:07,-1,Luke Smith missed Jumper.,33,52
0:07,2870,Kason Harrell Defensive Rebound.,33,52
0:00,2870,End of 1st half,33,52
19:51,-1,Trent Elliott Turnover.,33,52
19:30,2870,Kason Harrell made Layup.,33,54
19:15,-1,Trent Elliott made Three Point Jumper. Assisted by Trequan Spivey.,36,54
19:03,2870,Bryson Scott missed Three Point Jumper.,36,54
19:03,-1,Antoin Clifton Defensive Rebound.,36,54
18:34,-1,Trent Elliott missed Three Point Jumper.,36,54
18:34,2870,Kason Harrell Defensive Rebound.,36,54
18:28,2870,Kason Harrell made Layup.,36,56
18:12,-1,Antoin Clifton missed Jumper.,36,56
18:12,2870,Bryson Scott Defensive Rebound.,36,56
17:51,2870,Kason Harrell missed Layup.,36,56
17:51,-1,Antoin Clifton Defensive Rebound.,36,56
17:42,-1,Trent Elliott Turnover.,36,56
17:32,2870,John Konchar Turnover.,36,56
17:31,-1,Antoin Clifton Steal.,36,56
17:28,2870,Foul on Kason Harrell.,36,56
17:28,-1,Antoin Clifton made Free Throw.,37,56
17:28,-1,Antoin Clifton made Free Throw.,38,56
17:19,2870,Bryson Scott made Layup. Assisted by John Konchar.,38,58
17:12,-1,Durante Lee missed Jumper.,38,58
17:12,2870,John Konchar Defensive Rebound.,38,58
16:55,2870,Xzavier Taylor made Jumper.,38,60
16:39,-1,Durante Lee Turnover.,38,60
16:38,2870,Xzavier Taylor Steal.,38,60
16:34,2870,Kason Harrell missed Three Point Jumper.,38,60
16:34,2870,Bryson Scott Offensive Rebound.,38,60
16:23,2870,Bryson Scott missed Jumper.,38,60
16:23,-1,Akil McClain Defensive Rebound.,38,60
16:18,-1,Akil McClain Turnover.,38,60
16:17,2870,Bryson Scott Steal.,38,60
16:14,2870,Bryson Scott made Layup.,38,62
15:58,-1,Akil McClain made Jumper.,40,62
15:41,2870,Kason Harrell missed Three Point Jumper.,40,62
15:41,-1,Stephen Calhoun Defensive Rebound.,40,62
15:29,-1,Antoin Clifton missed Jumper.,40,62
15:29,2870,John Konchar Defensive Rebound.,40,62
15:19,2870,Bryson Scott made Jumper.,40,64
15:00,-1,Trent Elliott missed Three Point Jumper.,40,64
15:00,2870,Kason Harrell Defensive Rebound.,40,64
14:55,2870,Jax Levitch made Layup. Assisted by Kason Harrell.,40,66
14:44,-1,Akil McClain Turnover.,40,66
14:43,2870,Kason Harrell Steal.,40,66
14:40,2870,Jax Levitch made Three Point Jumper. Assisted by John Konchar.,40,69
14:16,-1,Akil McClain made Three Point Jumper. Assisted by Stephen Calhoun.,43,69
14:05,2870,Bryson Scott missed Three Point Jumper.,43,69
14:05,-1,Akil McClain Defensive Rebound.,43,69
13:58,-1,Akil McClain missed Layup.,43,69
13:58,-1,Antoin Clifton Offensive Rebound.,43,69
13:55,-1,Antoin Clifton made Layup.,45,69
13:52,2870,Official TV Timeout,45,69
13:21,2870,Jairus Stevens Turnover.,45,69
13:12,-1,Luke Smith missed Three Point Jumper.,45,69
13:12,2870,Jairus Stevens Defensive Rebound.,45,69
12:55,2870,Matt Weir Turnover.,45,69
12:54,-1,Bryce Hudson Steal.,45,69
12:48,2870,Foul on Jordon King.,45,69
12:48,-1,Bryce Hudson made Free Throw.,46,69
12:48,-1,Bryce Hudson made Free Throw.,47,69
12:33,2870,Matt Weir made Three Point Jumper. Assisted by Jordon King.,47,72
12:07,-1,Billie Webster missed Three Point Jumper.,47,72
12:07,2870,Dylan Carl Defensive Rebound.,47,72
11:54,2870,Jairus Stevens missed Jumper.,47,72
11:54,2870,Jairus Stevens Offensive Rebound.,47,72
11:50,2870,Jairus Stevens missed Layup.,47,72
11:50,-1,Stephen Calhoun Defensive Rebound.,47,72
11:35,-1,Akil McClain made Layup.,49,72
11:19,2870,Chris Rollins missed Jumper.,49,72
11:19,2870,Jairus Stevens Offensive Rebound.,49,72
11:16,2870,Jairus Stevens made Two Point Tip Shot.,49,74
10:59,-1,Billie Webster missed Three Point Jumper.,49,74
10:59,2870,Jordon King Defensive Rebound.,49,74
10:52,2870,Jairus Stevens missed Three Point Jumper.,49,74
10:52,2870,Chris Rollins Offensive Rebound.,49,74
10:44,2870,Jordon King made Three Point Jumper. Assisted by Matt Weir.,49,77
10:26,-1,Akil McClain missed Three Point Jumper.,49,77
10:26,2870,Jairus Stevens Defensive Rebound.,49,77
10:17,2870,Matt Weir missed Jumper.,49,77
10:17,2870,Dylan Carl Offensive Rebound.,49,77
10:11,2870,Jordon King made Layup.,49,79
9:41,-1,Jonathan Hurt missed Three Point Jumper.,49,79
9:41,-1,Indiana-Kokomo Offensive Rebound.,49,79
9:38,2870,Official TV Timeout,49,79
9:35,-1,Indiana-Kokomo  Turnover.,49,79
9:18,-1,Foul on Akil McClain.,49,79
9:18,2870,Jordon King made Free Throw.,49,80
9:18,2870,Jordon King missed Free Throw.,49,80
9:18,-1,Eddy Collins Defensive Rebound.,49,80
9:04,-1,Luke Smith missed Layup.,49,80
9:04,2870,Cameron Benford Defensive Rebound.,49,80
8:58,2870,Matt Weir Turnover.,49,80
8:38,-1,Eddy Collins missed Three Point Jumper.,49,80
8:38,2870,Jax Levitch Defensive Rebound.,49,80
8:31,2870,Cameron Benford Turnover.,49,80
8:03,-1,Billie Webster missed Jumper.,49,80
8:03,2870,Jordon King Defensive Rebound.,49,80
7:44,2870,Jax Levitch Turnover.,49,80
7:44,2870,Official TV Timeout,49,80
7:33,2870,Foul on Chris Rollins.,49,80
7:22,-1,Luke Smith made Three Point Jumper. Assisted by Beau Dedmond.,52,80
7:07,2870,Jairus Stevens missed Layup.,52,80
7:07,2870,Matt Weir Offensive Rebound.,52,80
7:02,2870,Dylan Carl made Dunk. Assisted by Matt Weir.,52,82
6:47,-1,Eddy Collins missed Three Point Jumper.,52,82
6:47,2870,Matt Weir Defensive Rebound.,52,82
6:36,2870,Chris Rollins made Layup.,52,84
6:14,-1,Luke Smith Turnover.,52,84
6:13,2870,Jairus Stevens Steal.,52,84
6:11,2870,Jairus Stevens made Layup.,52,86
6:03,-1,Indiana-Kokomo  Timeout,52,86
6:03,2870,Official TV Timeout,52,86
5:50,-1,Beau Dedmond made Three Point Jumper. Assisted by Jonathan Hurt.,55,86
5:28,2870,Chris Rollins Turnover.,55,86
5:10,2870,Foul on Jordan Coblin.,55,86
5:00,-1,Eddy Collins missed Three Point Jumper.,55,86
5:00,-1,Jonathan Hurt Offensive Rebound.,55,86
4:50,-1,Beau Dedmond made Layup.,57,86
4:39,2870,Chris Rollins made Layup.,57,88
4:29,-1,Eddy Collins Turnover.,57,88
4:21,2870,Jordan Coblin missed Layup.,57,88
4:21,-1,Jonathan Hurt Defensive Rebound.,57,88
4:00,-1,Luke Smith made Three Point Jumper. Assisted by Eddy Collins.,60,88
3:49,2870,Chris Rollins missed Layup.,60,88
3:49,-1,Toby Vanliew Defensive Rebound.,60,88
3:42,2870,Foul on Jordan Coblin.,60,88
3:42,2870,Official TV Timeout,60,88
3:40,-1,Luke Smith missed Three Point Jumper.,60,88
3:40,2870,Jordan Coblin Defensive Rebound.,60,88
3:29,2870,Jairus Stevens missed Jumper.,60,88
3:29,2870,Fort Wayne Deadball Team Rebound.,60,88
3:26,-1,Foul on Jack Skaggs.,60,88
3:20,2870,Chris Rollins Turnover.,60,88
3:12,-1,Eddy Collins missed Three Point Jumper.,60,88
3:12,-1,Jack Skaggs Offensive Rebound.,60,88
2:55,-1,Jack Skaggs made Three Point Jumper. Assisted by Eddy Collins.,63,88
2:41,2870,Jordan Coblin made Layup.,63,90
2:40,-1,Foul on Eddy Collins.,63,90
2:40,2870,Jordan Coblin made Free Throw.,63,91
2:27,2870,Foul on Cameron Benford.,63,91
2:24,-1,Eli Mollet missed Jumper.,63,91
2:24,2870,Cameron Benford Defensive Rebound.,63,91
2:20,2870,Jordon King Turnover.,63,91
2:06,-1,Eli Mollet missed Three Point Jumper.,63,91
2:06,2870,Jairus Stevens Defensive Rebound.,63,91
1:59,2870,Jairus Stevens missed Layup.,63,91
1:59,-1,Indiana-Kokomo Deadball Team Rebound.,63,91
1:57,2870,Cameron Benford Turnover.,63,91
1:50,-1,Billie Webster Turnover.,63,91
1:49,2870,Jordon King Steal.,63,91
1:46,2870,Jordon King made Dunk.,63,93
1:28,-1,Eddy Collins Turnover.,63,93
1:27,2870,Jairus Stevens Steal.,63,93
1:18,2870,Jordon King missed Three Point Jumper.,63,93
1:18,-1,Billie Webster Defensive Rebound.,63,93
1:14,-1,Billie Webster Turnover.,63,93
1:13,2870,Jordan Coblin Steal.,63,93
1:12,-1,Foul on Billie Webster.,63,93
1:12,2870,Jordan Coblin made Free Throw.,63,94
1:12,2870,Jordan Coblin made Free Throw.,63,95
0:53,-1,Eddy Collins Turnover.,63,95
0:52,2870,Jordon King Steal.,63,95
0:51,2870,Jordon King made Dunk.,63,97
0:45,-1,Eli Mollet missed Jumper.,63,97
0:45,2870,Cameron Benford Block.,63,97
0:43,2870,Chris Rollins Defensive Rebound.,63,97
0:40,2870,Cameron Benford made Dunk. Assisted by Chris Rollins.,63,99
0:25,-1,Eddy Collins missed Three Point Jumper.,63,99
0:25,2870,Cameron Benford Defensive Rebound.,63,99
0:00,2870,End of Game,63,99
