Bethune-Cookman,294,Jacksonville,2065
15:57,2065,Isaiah Bailey made Free Throw.,11,5
15:31,294,Jace Hogan made Layup.,11,7
15:15,2065,Brandon Tabb missed Layup.,11,7
15:15,2065,Malik Maitland Offensive Rebound.,11,7
14:57,2065,Shawntrez Davis missed Jumper.,11,7
14:57,294,JD Notae Defensive Rebound.,11,7
14:47,294,JD Notae missed Three Point Jumper.,11,7
14:47,2065,Shawntrez Davis Defensive Rebound.,11,7
14:46,294,Foul on Radwan Bakkali.,11,7
14:27,2065,Isaiah Bailey made Jumper.,13,7
14:13,294,Tanner Rubio missed Three Point Jumper.,13,7
14:13,2065,Isaiah Bailey Defensive Rebound.,13,7
14:10,294,Foul on Jalyn Hinton.,13,7
13:53,2065,Brandon Tabb missed Jumper.,13,7
13:53,294,Jalyn Hinton Defensive Rebound.,13,7
13:42,294,Jace Hogan made Layup. Assisted by Tanner Rubio.,13,9
13:22,2065,Soufiyane Diakite missed Layup.,13,9
13:22,294,Jalyn Hinton Block.,13,9
13:20,294,Jace Hogan Defensive Rebound.,13,9
13:13,2065,Foul on Brandon Tabb.,13,9
13:04,294,JD Notae missed Jumper.,13,9
13:04,294,Jalyn Hinton Offensive Rebound.,13,9
13:00,294,Jalyn Hinton made Dunk.,13,11
12:49,2065,Malik Maitland missed Three Point Jumper.,13,11
12:49,2065,David Francis Offensive Rebound.,13,11
12:43,294,Foul on Cody Helgeland.,13,11
12:43,2065,David Francis made Free Throw.,14,11
12:43,2065,David Francis missed Free Throw.,14,11
12:43,294,Jace Hogan Defensive Rebound.,14,11
12:23,294,Tanner Rubio Turnover.,14,11
11:52,2065,Houston Smith missed Layup.,14,11
11:52,294,Jace Hogan Block.,14,11
11:52,294,Jalyn Hinton Defensive Rebound.,14,11
11:49,294,JD Notae missed Three Point Jumper.,14,11
11:49,2065,Malik Maitland Defensive Rebound.,14,11
11:30,2065,David Francis missed Layup.,14,11
11:30,294,Jalyn Hinton Block.,14,11
11:28,294,Tanner Rubio Defensive Rebound.,14,11
11:24,294,JD Notae missed Layup.,14,11
11:24,2065,Shawntrez Davis Block.,14,11
11:21,294,Jace Hogan Offensive Rebound.,14,11
11:18,294,JD Notae missed Three Point Jumper.,14,11
11:18,2065,Armani Collins Defensive Rebound.,14,11
11:07,2065,Armani Collins missed Three Point Jumper.,14,11
11:07,2065,Houston Smith Offensive Rebound.,14,11
11:03,2065,Houston Smith made Jumper.,16,11
10:41,2065,Foul on Houston Smith.,16,11
10:41,294,Jacksonville  Timeout,16,11
10:41,294,Jalyn Hinton missed Free Throw.,16,11
10:41,294,Jacksonville Deadball Team Rebound.,16,11
10:41,294,Jalyn Hinton missed Free Throw.,16,11
10:41,2065,Houston Smith Defensive Rebound.,16,11
10:30,2065,Shawntrez Davis missed Layup.,16,11
10:30,294,Jace Hogan Defensive Rebound.,16,11
10:20,294,Jace Hogan made Jumper. Assisted by Tanner Rubio.,16,13
10:00,2065,Malik Maitland Turnover.,16,13
9:44,294,Jace Hogan missed Jumper.,16,13
9:44,2065,Soufiyane Diakite Defensive Rebound.,16,13
9:40,294,Foul on Cody Helgeland.,16,13
9:37,2065,Soufiyane Diakite missed Free Throw.,16,13
9:36,294,Corey Romich Defensive Rebound.,16,13
9:31,294,Tanner Rubio Turnover.,16,13
9:30,2065,Shawntrez Davis Steal.,16,13
9:27,2065,Shawntrez Davis made Layup.,18,13
9:25,2065,Foul on Soufiyane Diakite.,18,13
9:22,294,Jace Hogan made Layup. Assisted by Tanner Rubio.,18,15
9:04,2065,Malik Maitland missed Three Point Jumper.,18,15
9:04,294,Jalyn Hinton Defensive Rebound.,18,15
8:50,294,Jace Hogan missed Three Point Jumper.,18,15
8:50,294,Tanner Rubio Offensive Rebound.,18,15
8:46,294,Tanner Rubio missed Layup.,18,15
8:46,294,Jace Hogan Offensive Rebound.,18,15
8:43,294,Jace Hogan missed Layup.,18,15
8:43,2065,Isaiah Bailey Defensive Rebound.,18,15
8:40,2065,Isaiah Bailey Turnover.,18,15
8:11,294,JD Notae made Layup.,18,17
7:51,2065,Brandon Tabb missed Three Point Jumper.,18,17
7:51,294,Jalyn Hinton Defensive Rebound.,18,17
7:40,294,Jace Hogan made Layup. Assisted by Tanner Rubio.,18,19
7:15,2065,Malik Maitland missed Layup.,18,19
7:15,294,Jace Hogan Defensive Rebound.,18,19
7:02,2065,Foul on Malik Maitland.,18,19
7:02,294,Jacksonville  Timeout,18,19
7:02,294,Tanner Rubio missed Free Throw.,18,19
7:02,294,Jacksonville Deadball Team Rebound.,18,19
7:02,294,Tanner Rubio missed Free Throw.,18,19
7:02,294,Jacksonville Deadball Team Rebound.,18,19
7:02,294,Tanner Rubio made Free Throw.,18,20
6:54,2065,Brandon Tabb missed Three Point Jumper.,18,20
6:54,2065,Houston Smith Offensive Rebound.,18,20
6:46,2065,Houston Smith made Three Point Jumper. Assisted by Isaiah Bailey.,21,20
6:23,294,Tanner Rubio missed Three Point Jumper.,21,20
6:23,2065,Malik Maitland Defensive Rebound.,21,20
6:11,2065,Houston Smith missed Three Point Jumper.,21,20
6:11,294,JD Notae Defensive Rebound.,21,20
5:51,294,JD Notae missed Jumper.,21,20
5:51,2065,Houston Smith Defensive Rebound.,21,20
5:44,2065,Brandon Tabb missed Three Point Jumper.,21,20
5:44,2065,Isaiah Bailey Offensive Rebound.,21,20
5:39,2065,Shawntrez Davis missed Layup.,21,20
5:39,294,Jalyn Hinton Block.,21,20
5:38,294,Jalyn Hinton Defensive Rebound.,21,20
5:31,294,Jalyn Hinton missed Layup.,21,20
5:31,2065,Isaiah Bailey Defensive Rebound.,21,20
5:12,2065,Brandon Tabb Turnover.,21,20
5:12,2065,Bethune-Cookman  Timeout,21,20
4:46,294,Corey Romich missed Three Point Jumper.,21,20
4:46,294,Jalyn Hinton Offensive Rebound.,21,20
4:39,294,Tanner Rubio missed Three Point Jumper.,21,20
4:39,294,Radwan Bakkali Offensive Rebound.,21,20
4:37,2065,Foul on Armani Collins.,21,20
4:37,294,Radwan Bakkali made Free Throw.,21,21
4:37,294,Radwan Bakkali made Free Throw.,21,22
4:27,2065,Armani Collins made Three Point Jumper. Assisted by Malik Maitland.,24,22
4:09,294,Jalyn Hinton missed Layup.,24,22
4:09,2065,Isaiah Bailey Defensive Rebound.,24,22
4:01,2065,Isaiah Bailey missed Three Point Jumper.,24,22
4:01,2065,Armani Collins Offensive Rebound.,24,22
3:53,2065,Malik Maitland made Three Point Jumper. Assisted by Isaiah Bailey.,27,22
3:27,294,Radwan Bakkali made Jumper. Assisted by JD Notae.,27,24
3:06,2065,Malik Maitland missed Three Point Jumper.,27,24
3:06,2065,Brandon Tabb Offensive Rebound.,27,24
3:01,2065,Brandon Tabb missed Three Point Jumper.,27,24
3:01,294,JD Notae Defensive Rebound.,27,24
2:54,294,JD Notae Turnover.,27,24
2:53,2065,Malik Maitland Steal.,27,24
2:52,2065,Malik Maitland made Layup.,29,24
2:31,294,Corey Romich missed Three Point Jumper.,29,24
2:31,2065,Isaiah Bailey Defensive Rebound.,29,24
2:23,2065,Bethune-Cookman  Timeout,29,24
2:14,2065,Shawntrez Davis Turnover.,29,24
1:52,294,JD Notae Turnover.,29,24
1:27,2065,Malik Maitland made Three Point Jumper.,32,24
1:10,294,Tanner Rubio missed Three Point Jumper.,32,24
1:10,294,Radwan Bakkali Offensive Rebound.,32,24
1:05,294,Radwan Bakkali missed Layup.,32,24
1:05,2065,Soufiyane Diakite Defensive Rebound.,32,24
0:59,2065,Shawntrez Davis made Dunk. Assisted by Malik Maitland.,34,24
0:55,294,Jacksonville  Timeout,34,24
0:41,294,Jace Hogan missed Jumper.,34,24
0:41,294,Jace Hogan Offensive Rebound.,34,24
0:35,294,JD Notae made Layup.,34,26
0:04,2065,Malik Maitland missed Three Point Jumper.,34,26
0:04,2065,Soufiyane Diakite Offensive Rebound.,34,26
0:01,2065,Bethune-Cookman  Turnover.,34,26
0:01,294,Cody Helgeland Turnover.,34,26
0:00,294,End of 1st half,34,26
19:52,2065,Shawntrez Davis made Layup. Assisted by Brandon Tabb.,36,26
19:29,294,Radwan Bakkali missed Jumper.,36,26
19:29,2065,Shawntrez Davis Block.,36,26
19:28,2065,Bethune-Cookman Defensive Rebound.,36,26
19:28,294,Foul on Radwan Bakkali.,36,26
19:14,2065,Shawntrez Davis made Dunk. Assisted by Malik Maitland.,38,26
18:39,294,Jacksonville  Turnover.,38,26
18:28,2065,Malik Maitland Turnover.,38,26
18:27,294,Jace Hogan Steal.,38,26
18:20,294,JD Notae missed Jumper.,38,26
18:20,294,Jace Hogan Offensive Rebound.,38,26
18:14,294,Jace Hogan missed Jumper.,38,26
18:14,294,Jace Hogan Offensive Rebound.,38,26
18:11,294,Jace Hogan missed Layup.,38,26
18:11,2065,Soufiyane Diakite Defensive Rebound.,38,26
18:04,2065,Brandon Tabb missed Layup.,38,26
18:04,2065,Soufiyane Diakite Offensive Rebound.,38,26
18:02,294,Foul on Cody Helgeland.,38,26
18:01,2065,Shawntrez Davis made Layup. Assisted by Isaiah Bailey.,40,26
17:38,294,JD Notae made Three Point Jumper. Assisted by Jace Hogan.,40,29
17:12,2065,Isaiah Bailey made Jumper.,42,29
16:52,294,Devin Harris made Layup.,42,31
16:30,294,Foul on Jalyn Hinton.,42,31
16:28,2065,Soufiyane Diakite made Free Throw.,43,31
16:28,2065,Soufiyane Diakite made Free Throw.,44,31
16:17,294,JD Notae made Three Point Jumper. Assisted by Devin Harris.,44,34
16:00,2065,Shawntrez Davis missed Jumper.,44,34
16:00,2065,Soufiyane Diakite Offensive Rebound.,44,34
15:56,2065,Soufiyane Diakite missed Layup.,44,34
15:56,2065,Soufiyane Diakite Offensive Rebound.,44,34
15:53,2065,Soufiyane Diakite missed Layup.,44,34
15:53,294,Jace Hogan Defensive Rebound.,44,34
15:51,294,Jace Hogan Turnover.,44,34
15:51,294,Foul on Jace Hogan.,44,34
15:51,2065,Bethune-Cookman  Timeout,44,34
15:49,2065,Brandon Tabb missed Three Point Jumper.,44,34
15:49,294,Tanner Rubio Defensive Rebound.,44,34
15:42,294,Devin Harris Turnover.,44,34
15:40,2065,Soufiyane Diakite Steal.,44,34
15:35,2065,Brandon Tabb missed Three Point Jumper.,44,34
15:35,2065,Isaiah Bailey Offensive Rebound.,44,34
15:33,294,Foul on Tanner Rubio.,44,34
15:32,2065,Shawntrez Davis made Layup. Assisted by Isaiah Bailey.,46,34
15:16,294,JD Notae made Three Point Jumper. Assisted by Devin Harris.,46,37
14:49,2065,Brandon Tabb made Three Point Jumper. Assisted by Malik Maitland.,49,37
14:35,294,Jace Hogan made Jumper. Assisted by Devin Harris.,49,39
14:31,294,Jacksonville  Timeout,49,39
14:13,2065,Brandon Tabb missed Three Point Jumper.,49,39
14:13,2065,Brandon Tabb Offensive Rebound.,49,39
14:04,2065,Brandon Tabb Turnover.,49,39
14:04,2065,Foul on Brandon Tabb.,49,39
13:54,294,Jace Hogan made Jumper. Assisted by Devin Harris.,49,41
13:30,294,Foul on Jalyn Hinton.,49,41
13:30,2065,Isaiah Bailey missed Free Throw.,49,41
13:30,2065,Bethune-Cookman Deadball Team Rebound.,49,41
13:30,2065,Isaiah Bailey made Free Throw.,50,41
13:15,294,Jace Hogan Turnover.,50,41
12:58,2065,Malik Maitland missed Jumper.,50,41
12:58,294,Cody Helgeland Defensive Rebound.,50,41
12:48,294,Jace Hogan missed Jumper.,50,41
12:48,2065,Shawntrez Davis Defensive Rebound.,50,41
12:31,294,Foul on Cody Helgeland.,50,41
12:31,2065,Houston Smith made Free Throw.,51,41
12:31,2065,Houston Smith made Free Throw.,52,41
12:22,294,Devin Harris missed Three Point Jumper.,52,41
12:22,2065,Soufiyane Diakite Defensive Rebound.,52,41
12:11,2065,Isaiah Bailey missed Jumper.,52,41
12:11,294,Jalyn Hinton Defensive Rebound.,52,41
12:06,294,Jalyn Hinton Turnover.,52,41
12:05,2065,Brandon Tabb Steal.,52,41
12:04,2065,Brandon Tabb missed Jumper.,52,41
12:04,2065,Brandon Tabb Offensive Rebound.,52,41
11:46,2065,Soufiyane Diakite missed Layup.,52,41
11:46,294,Devin Harris Defensive Rebound.,52,41
11:37,2065,Foul on Soufiyane Diakite.,52,41
11:37,294,Jacksonville  Timeout,52,41
11:37,294,Devin Harris Turnover.,52,41
11:25,2065,Malik Maitland missed Three Point Jumper.,52,41
11:25,294,JD Notae Defensive Rebound.,52,41
11:23,2065,Foul on Houston Smith.,52,41
11:13,2065,Foul on Soufiyane Diakite.,52,41
11:13,294,Jace Hogan missed Free Throw.,52,41
11:13,294,Jacksonville Deadball Team Rebound.,52,41
11:13,294,Jace Hogan made Free Throw.,52,42
11:03,2065,Isaiah Bailey missed Jumper.,52,42
11:03,294,Jace Hogan Defensive Rebound.,52,42
10:52,294,Devin Harris made Dunk. Assisted by Jace Hogan.,52,44
10:36,294,Foul on Jalyn Hinton.,52,44
10:30,2065,Shawntrez Davis made Free Throw.,53,44
10:30,2065,Shawntrez Davis made Free Throw.,54,44
10:24,294,Jace Hogan missed Layup.,54,44
10:24,2065,Brandon Tabb Defensive Rebound.,54,44
10:14,2065,Houston Smith missed Three Point Jumper.,54,44
10:14,2065,Shawntrez Davis Offensive Rebound.,54,44
9:54,2065,Brandon Tabb missed Three Point Jumper.,54,44
9:54,294,Jace Hogan Defensive Rebound.,54,44
9:52,2065,Foul on Shawntrez Davis.,54,44
9:35,294,Jalyn Hinton made Jumper.,54,46
9:35,2065,Foul on Isaiah Bailey.,54,46
9:35,294,Jalyn Hinton made Free Throw.,54,47
9:30,2065,Malik Maitland missed Layup.,54,47
9:30,294,Devin Harris Defensive Rebound.,54,47
9:23,294,Devin Harris missed Layup.,54,47
9:23,2065,Brandon Tabb Defensive Rebound.,54,47
9:15,2065,Armani Collins missed Three Point Jumper.,54,47
9:15,294,JD Notae Defensive Rebound.,54,47
9:05,294,JD Notae missed Three Point Jumper.,54,47
9:05,294,Devin Harris Offensive Rebound.,54,47
8:59,2065,Foul on Houston Smith.,54,47
8:59,294,Radwan Bakkali made Free Throw.,54,48
8:59,294,Radwan Bakkali made Free Throw.,54,49
8:40,2065,Brandon Tabb missed Three Point Jumper.,54,49
8:40,294,Jacksonville Defensive Rebound.,54,49
8:26,294,Devin Harris Turnover.,54,49
8:24,2065,Malik Maitland Steal.,54,49
8:07,2065,Brandon Tabb Turnover.,54,49
8:06,294,Devin Harris Steal.,54,49
8:01,294,Radwan Bakkali missed Jumper.,54,49
8:01,294,Jalyn Hinton Offensive Rebound.,54,49
7:58,2065,Foul on Malik Maitland.,54,49
7:57,294,Jacksonville  Timeout,54,49
7:57,294,Jalyn Hinton missed Free Throw.,54,49
7:57,2065,Soufiyane Diakite Defensive Rebound.,54,49
7:42,2065,Brandon Tabb missed Three Point Jumper.,54,49
7:42,2065,Shawntrez Davis Offensive Rebound.,54,49
7:39,294,Foul on Jace Hogan.,54,49
7:39,2065,Shawntrez Davis missed Free Throw.,54,49
7:39,294,Jalyn Hinton Defensive Rebound.,54,49
7:17,294,JD Notae missed Jumper.,54,49
7:17,294,Jalyn Hinton Offensive Rebound.,54,49
7:14,294,Jalyn Hinton made Layup.,54,51
7:02,2065,Shawntrez Davis Turnover.,54,51
7:02,2065,Foul on Shawntrez Davis.,54,51
6:41,294,Devin Harris missed Three Point Jumper.,54,51
6:41,294,Jalyn Hinton Offensive Rebound.,54,51
6:31,294,Radwan Bakkali made Jumper. Assisted by Jalyn Hinton.,54,53
6:08,2065,Isaiah Bailey made Three Point Jumper.,57,53
6:05,2065,Bethune-Cookman  Timeout,57,53
5:54,294,Devin Harris Turnover.,57,53
5:52,2065,Malik Maitland Steal.,57,53
5:50,294,Foul on Jalyn Hinton.,57,53
5:50,2065,Malik Maitland made Free Throw.,58,53
5:50,2065,Malik Maitland made Free Throw.,59,53
5:32,2065,Foul on Brandon Tabb.,59,53
5:32,294,JD Notae missed Free Throw.,59,53
5:32,294,Jacksonville Deadball Team Rebound.,59,53
5:32,294,JD Notae made Free Throw.,59,54
5:07,2065,Shawntrez Davis made Three Point Jumper. Assisted by Houston Smith.,62,54
4:55,294,Devin Harris missed Layup.,62,54
4:55,2065,Shawntrez Davis Defensive Rebound.,62,54
4:40,2065,Isaiah Bailey made Dunk.,64,54
4:25,2065,Foul on Isaiah Bailey.,64,54
4:25,294,JD Notae missed Free Throw.,64,54
4:25,294,Jacksonville Deadball Team Rebound.,64,54
4:25,294,JD Notae made Free Throw.,64,55
4:07,2065,Isaiah Bailey Turnover.,64,55
4:07,2065,Foul on Isaiah Bailey.,64,55
3:46,2065,Foul on Houston Smith.,64,55
3:46,294,Jacksonville  Timeout,64,55
3:46,294,JD Notae made Free Throw.,64,56
3:46,294,JD Notae made Free Throw.,64,57
3:28,2065,Armani Collins missed Three Point Jumper.,64,57
3:28,294,JD Notae Defensive Rebound.,64,57
3:12,294,Jace Hogan missed Layup.,64,57
3:12,2065,Shawntrez Davis Defensive Rebound.,64,57
2:45,2065,Soufiyane Diakite made Layup. Assisted by Houston Smith.,66,57
2:30,294,Jace Hogan made Jumper. Assisted by Devin Harris.,66,59
2:29,294,Jacksonville  Timeout,66,59
2:19,2065,Soufiyane Diakite missed Layup.,66,59
2:19,2065,Shawntrez Davis Offensive Rebound.,66,59
2:16,2065,Shawntrez Davis made Layup.,68,59
2:08,294,JD Notae made Three Point Jumper. Assisted by Devin Harris.,68,62
1:57,294,Foul on Cody Helgeland.,68,62
1:57,2065,Malik Maitland made Free Throw.,69,62
1:57,2065,Malik Maitland made Free Throw.,70,62
1:48,294,Tanner Rubio missed Jumper.,70,62
1:48,2065,Shawntrez Davis Defensive Rebound.,70,62
1:31,294,Foul on Tanner Rubio.,70,62
1:31,2065,Isaiah Bailey made Free Throw.,71,62
1:31,2065,Isaiah Bailey made Free Throw.,72,62
1:18,294,Devin Harris Turnover.,72,62
1:17,2065,Soufiyane Diakite Steal.,72,62
1:11,294,Foul on Corey Romich.,72,62
1:11,2065,Malik Maitland made Free Throw.,73,62
1:11,2065,Malik Maitland made Free Throw.,74,62
1:01,294,JD Notae made Layup.,74,64
1:01,2065,Foul on Shawntrez Davis.,74,64
1:01,294,JD Notae made Free Throw.,74,65
0:55,2065,Malik Maitland Turnover.,74,65
0:54,294,JD Notae Steal.,74,65
0:54,2065,Foul on Isaiah Bailey.,74,65
0:54,294,JD Notae missed Free Throw.,74,65
0:54,294,Jacksonville Deadball Team Rebound.,74,65
0:54,294,JD Notae made Free Throw.,74,66
0:43,294,Foul on Devin Harris.,74,66
0:43,2065,Soufiyane Diakite missed Free Throw.,74,66
0:43,2065,Bethune-Cookman Deadball Team Rebound.,74,66
0:43,2065,Soufiyane Diakite made Free Throw.,75,66
0:42,294,Jace Hogan Turnover.,75,66
0:40,2065,Houston Smith Steal.,75,66
0:23,294,Foul on Corey Romich.,75,66
0:23,2065,Malik Maitland made Free Throw.,76,66
0:23,2065,Malik Maitland made Free Throw.,77,66
0:19,294,JD Notae missed Three Point Jumper.,77,66
0:19,294,Devin Harris Offensive Rebound.,77,66
0:14,294,Corey Romich missed Three Point Jumper.,77,66
0:14,2065,Houston Smith Defensive Rebound.,77,66
0:00,294,End of Game,77,66
