NJIT,277,West Virginia,2885
2:24,277,Teddy Allen made Free Throw.,28,40
2:17,2885,Diandre Wilson made Layup.,30,40
2:06,277,Chase Harler made Three Point Jumper. Assisted by Jevon Carter.,30,43
1:46,2885,Diandre Wilson missed Layup.,30,43
1:46,277,Chase Harler Defensive Rebound.,30,43
1:39,277,Lamont West made Layup.,30,45
1:27,2885,Chris Jenkins made Three Point Jumper. Assisted by Zach Cooks.,33,45
1:13,277,Teddy Allen Turnover.,33,45
0:57,2885,Zach Cooks Turnover.,33,45
0:56,277,Jevon Carter Steal.,33,45
0:54,277,Teddy Allen made Dunk. Assisted by Logan Routt.,33,47
0:35,2885,San Antonio Brinson missed Layup.,33,47
0:35,277,Logan Routt Block.,33,47
0:35,277,Logan Routt Defensive Rebound.,33,47
0:20,277,Jevon Carter missed Jumper.,33,47
0:20,277,Wesley Harris Offensive Rebound.,33,47
0:18,277,Wesley Harris made Layup.,33,49
0:08,2885,Foul on Mohamed Bendary.,33,49
0:08,277,Wesley Harris missed Free Throw.,33,49
0:08,277,Daxter Miles Jr. Offensive Rebound.,33,49
0:06,277,Daxter Miles Jr. missed Three Point Jumper.,33,49
0:06,2885,San Antonio Brinson Defensive Rebound.,33,49
0:00,277,End of 1st half,33,49
19:44,2885,Anthony Tarke made Dunk. Assisted by Abdul Lewis.,35,49
19:19,277,Sagaba Konate made Jumper.,35,51
19:08,2885,Reilly Walsh Turnover.,35,51
19:07,277,Jevon Carter Steal.,35,51
19:04,277,Chase Harler made Three Point Jumper. Assisted by Daxter Miles Jr..,35,54
18:58,2885,Technical Foul on NJIT.,35,54
18:58,277,Jevon Carter made Free Throw.,35,55
18:58,2885,Foul on NJIT.,35,55
18:58,277,Jevon Carter made Free Throw.,35,56
18:48,2885,Diandre Wilson missed Jumper.,35,56
18:48,277,Sagaba Konate Defensive Rebound.,35,56
18:38,277,Lamont West missed Three Point Jumper.,35,56
18:38,2885,Abdul Lewis Defensive Rebound.,35,56
18:32,2885,Abdul Lewis Turnover.,35,56
18:31,277,Lamont West Steal.,35,56
18:29,277,Lamont West made Jumper.,35,58
18:28,2885,Foul on Abdul Lewis.,35,58
18:28,277,Lamont West made Free Throw.,35,59
18:19,2885,Abdul Lewis Turnover.,35,59
17:57,277,Sagaba Konate made Dunk.,35,61
17:50,2885,Abdul Lewis Turnover.,35,61
17:39,277,Sagaba Konate Turnover.,35,61
17:21,2885,Anthony Tarke missed Three Point Jumper.,35,61
17:21,277,Jevon Carter Defensive Rebound.,35,61
17:11,277,Chase Harler missed Three Point Jumper.,35,61
17:11,2885,Diandre Wilson Defensive Rebound.,35,61
17:08,277,Foul on Jevon Carter.,35,61
16:55,2885,Anthony Tarke missed Layup.,35,61
16:55,277,Sagaba Konate Block.,35,61
16:54,277,Sagaba Konate Defensive Rebound.,35,61
16:34,277,Lamont West made Three Point Jumper. Assisted by Jevon Carter.,35,64
16:18,277,Foul on Jevon Carter.,35,64
16:14,2885,Anthony Tarke made Dunk. Assisted by Shyquan Gibbs.,37,64
15:58,277,Daxter Miles Jr. missed Three Point Jumper.,37,64
15:58,2885,Diandre Wilson Defensive Rebound.,37,64
15:52,2885,Diandre Wilson made Layup.,39,64
15:36,277,Jevon Carter missed Three Point Jumper.,39,64
15:36,277,Chase Harler Offensive Rebound.,39,64
15:17,277,Sagaba Konate missed Jumper.,39,64
15:17,2885,Shyquan Gibbs Defensive Rebound.,39,64
15:16,277,Foul on Daxter Miles Jr..,39,64
15:16,277,Official TV Timeout,39,64
15:08,2885,Shyquan Gibbs missed Layup.,39,64
15:08,277,Jevon Carter Defensive Rebound.,39,64
14:56,2885,Foul on Shyquan Gibbs.,39,64
14:36,277,James Bolden made Three Point Jumper.,39,67
14:22,277,Foul on Maciej Bender.,39,67
14:20,2885,David Kachelries made Layup. Assisted by Chris Jenkins.,41,67
14:10,277,Jevon Carter made Jumper.,41,69
14:00,2885,David Kachelries missed Three Point Jumper.,41,69
14:00,277,James Bolden Defensive Rebound.,41,69
13:52,277,Lamont West missed Dunk.,41,69
13:52,277,Jevon Carter Offensive Rebound.,41,69
13:47,277,Jevon Carter Turnover.,41,69
13:41,2885,Anthony Tarke missed Jumper.,41,69
13:41,2885,David Kachelries Offensive Rebound.,41,69
13:27,2885,David Kachelries missed Layup.,41,69
13:27,277,Lamont West Block.,41,69
13:27,277,Teddy Allen Defensive Rebound.,41,69
13:10,277,Logan Routt made Jumper.,41,71
13:06,2885,Foul on David Kachelries.,41,71
13:05,2885,San Antonio Brinson Turnover.,41,71
13:05,277,Chase Harler Steal.,41,71
13:00,2885,Foul on David Kachelries.,41,71
12:51,277,Teddy Allen made Layup. Assisted by Wesley Harris.,41,73
12:51,2885,Foul on Reilly Walsh.,41,73
12:51,277,Teddy Allen made Free Throw.,41,74
12:47,2885,David Kachelries made Layup.,43,74
12:29,2885,Foul on Reilly Walsh.,43,74
12:29,277,Teddy Allen missed Free Throw.,43,74
12:29,277,West Virginia Deadball Team Rebound.,43,74
12:29,277,Teddy Allen made Free Throw.,43,75
12:20,2885,David Kachelries made Layup. Assisted by Zach Cooks.,45,75
11:57,277,Daxter Miles Jr. made Layup. Assisted by James Bolden.,45,77
11:45,2885,Zach Cooks missed Three Point Jumper.,45,77
11:45,277,James Bolden Defensive Rebound.,45,77
11:25,277,Wesley Harris missed Jumper.,45,77
11:25,2885,Zach Cooks Defensive Rebound.,45,77
11:25,277,Foul on Logan Routt.,45,77
11:25,277,Official TV Timeout,45,77
11:25,2885,NJIT  Timeout,45,77
11:20,2885,Abdul Lewis Turnover.,45,77
11:19,277,Jevon Carter Steal.,45,77
10:48,277,Daxter Miles Jr. missed Jumper.,45,77
10:48,2885,Anthony Tarke Defensive Rebound.,45,77
10:45,2885,Anthony Tarke Turnover.,45,77
10:30,277,Logan Routt missed Layup.,45,77
10:30,2885,Anthony Tarke Defensive Rebound.,45,77
10:29,277,Foul on Logan Routt.,45,77
10:14,2885,Anthony Tarke Turnover.,45,77
10:14,277,James Bolden Steal.,45,77
10:09,277,Jevon Carter made Three Point Jumper. Assisted by James Bolden.,45,80
9:54,2885,Anthony Tarke missed Layup.,45,80
9:54,277,Jevon Carter Defensive Rebound.,45,80
9:45,277,James Bolden missed Three Point Jumper.,45,80
9:45,277,Wesley Harris Offensive Rebound.,45,80
9:44,2885,Foul on Reilly Walsh.,45,80
9:44,277,Wesley Harris made Free Throw.,45,81
9:44,277,Wesley Harris made Free Throw.,45,82
9:34,2885,Abdul Lewis missed Three Point Jumper.,45,82
9:34,277,Jevon Carter Defensive Rebound.,45,82
9:13,277,Sagaba Konate missed Jumper.,45,82
9:13,2885,Shyquan Gibbs Defensive Rebound.,45,82
9:06,2885,Shyquan Gibbs made Layup.,47,82
8:39,277,Foul on Wesley Harris.,47,82
8:39,2885,Anthony Tarke missed Free Throw.,47,82
8:39,2885,Anthony Tarke Offensive Rebound.,47,82
8:38,2885,Anthony Tarke made Three Point Jumper.,50,82
8:38,277,Jevon Carter missed Three Point Jumper.,50,82
8:38,2885,Anthony Tarke Defensive Rebound.,50,82
8:34,2885,NJIT  Timeout,50,82
8:15,277,James Bolden made Three Point Jumper. Assisted by Jevon Carter.,50,85
7:45,2885,Shawndale Jones made Three Point Jumper. Assisted by Anthony Tarke.,53,85
7:34,2885,Foul on Abdul Lewis.,53,85
7:34,277,Official TV Timeout,53,85
7:34,277,Jevon Carter made Free Throw.,53,86
7:34,277,Jevon Carter made Free Throw.,53,87
7:32,277,Foul on Daxter Miles Jr..,53,87
7:32,2885,Mohamed Bendary missed Free Throw.,53,87
7:32,2885,NJIT Deadball Team Rebound.,53,87
7:32,2885,Mohamed Bendary missed Free Throw.,53,87
7:32,277,Teddy Allen Defensive Rebound.,53,87
7:17,277,Jevon Carter Turnover.,53,87
7:13,2885,Anthony Tarke made Layup.,55,87
6:51,2885,Foul on Mohamed Bendary.,55,87
6:51,277,Wesley Harris made Free Throw.,55,88
6:51,277,Wesley Harris made Free Throw.,55,89
6:46,277,Foul on Logan Routt.,55,89
6:46,2885,Shawndale Jones made Free Throw.,56,89
6:46,2885,Shawndale Jones made Free Throw.,57,89
6:15,277,Wesley Harris made Three Point Jumper.,57,92
6:08,277,Foul on James Bolden.,57,92
6:08,2885,Shyquan Gibbs made Free Throw.,58,92
6:08,2885,Shyquan Gibbs made Free Throw.,59,92
5:45,277,D'Angelo Hunter made Jumper.,59,94
5:19,277,Foul on Chase Harler.,59,94
5:19,2885,Shawndale Jones made Free Throw.,60,94
5:19,2885,Shawndale Jones made Free Throw.,61,94
5:17,277,James Bolden Turnover.,61,94
5:16,2885,Shawndale Jones Steal.,61,94
5:14,2885,Anthony Tarke missed Layup.,61,94
5:14,2885,Anthony Tarke Offensive Rebound.,61,94
5:06,2885,Anthony Tarke made Layup.,63,94
4:46,277,Wesley Harris missed Jumper.,63,94
4:46,277,Wesley Harris Offensive Rebound.,63,94
4:25,277,D'Angelo Hunter missed Three Point Jumper.,63,94
4:25,277,D'Angelo Hunter Offensive Rebound.,63,94
4:21,277,D'Angelo Hunter missed Layup.,63,94
4:21,2885,Mohamed Bendary Block.,63,94
4:20,2885,Mohamed Bendary Defensive Rebound.,63,94
4:14,2885,Anthony Tarke missed Three Point Jumper.,63,94
4:14,277,Teddy Allen Defensive Rebound.,63,94
4:08,277,Teddy Allen made Layup.,63,96
4:08,2885,Foul on Anthony Tarke.,63,96
4:08,277,Teddy Allen missed Free Throw.,63,96
4:08,2885,San Antonio Brinson Defensive Rebound.,63,96
3:53,2885,Shawndale Jones missed Layup.,63,96
3:53,2885,Shawndale Jones Offensive Rebound.,63,96
3:50,2885,Shawndale Jones missed Layup.,63,96
3:50,277,Sagaba Konate Block.,63,96
3:49,277,Sagaba Konate Defensive Rebound.,63,96
3:47,277,Official TV Timeout,63,96
3:17,277,James Bolden made Three Point Jumper.,63,99
3:09,2885,Mohamed Bendary missed Jumper.,63,99
3:09,277,Sagaba Konate Defensive Rebound.,63,99
3:00,277,Teddy Allen missed Layup.,63,99
3:00,2885,Abdul Lewis Defensive Rebound.,63,99
2:42,2885,Shawndale Jones missed Three Point Jumper.,63,99
2:42,2885,San Antonio Brinson Offensive Rebound.,63,99
2:39,2885,San Antonio Brinson missed Layup.,63,99
2:39,2885,San Antonio Brinson Offensive Rebound.,63,99
2:37,2885,San Antonio Brinson missed Layup.,63,99
2:37,277,Sagaba Konate Defensive Rebound.,63,99
2:37,2885,Foul on San Antonio Brinson.,63,99
2:37,277,Sagaba Konate missed Free Throw.,63,99
2:37,277,West Virginia Deadball Team Rebound.,63,99
2:37,277,Sagaba Konate made Free Throw.,63,100
2:30,2885,San Antonio Brinson missed Layup.,63,100
2:30,277,Sagaba Konate Block.,63,100
2:28,2885,Mohamed Bendary Offensive Rebound.,63,100
2:26,277,Foul on Chase Harler.,63,100
2:26,2885,Zach Cooks made Free Throw.,64,100
2:26,2885,Zach Cooks made Free Throw.,65,100
2:05,277,D'Angelo Hunter missed Jumper.,65,100
2:05,2885,Shawndale Jones Defensive Rebound.,65,100
1:43,2885,Mohamed Bendary made Layup.,67,100
1:15,277,Chase Harler made Layup. Assisted by James Bolden.,67,102
1:07,2885,Abdul Lewis missed Layup.,67,102
1:07,277,Maciej Bender Defensive Rebound.,67,102
0:46,277,Chase Harler missed Three Point Jumper.,67,102
0:46,2885,Abdul Lewis Defensive Rebound.,67,102
0:37,2885,San Antonio Brinson made Dunk.,69,102
0:11,277,James Bolden missed Three Point Jumper.,69,102
0:11,277,James Bolden Offensive Rebound.,69,102
0:00,277,End of Game,69,102
