Harvard,111,Northeastern,108
3:04,111,Donnell Gresham Jr. missed Three Point Jumper.,23,39
3:04,108,Justin Bassey Defensive Rebound.,23,39
2:54,108,Seth Towns made Jumper. Assisted by Bryce Aiken.,25,39
2:51,111,Northeastern  Timeout,25,39
2:51,111,Official TV Timeout,25,39
2:29,111,Donnell Gresham Jr. Turnover.,25,39
2:16,108,Seth Towns missed Layup.,25,39
2:16,111,Bolden Brace Defensive Rebound.,25,39
2:15,108,Foul on Seth Towns.,25,39
2:15,111,Bolden Brace missed Free Throw.,25,39
2:15,108,Robert Baker Defensive Rebound.,25,39
2:02,108,Bryce Aiken made Three Point Jumper. Assisted by Robert Baker.,28,39
1:38,111,Shawn Occeus missed Layup.,28,39
1:38,108,Justin Bassey Defensive Rebound.,28,39
1:23,111,Foul on Shawn Occeus.,28,39
1:23,108,Bryce Aiken made Free Throw.,29,39
1:23,108,Bryce Aiken made Free Throw.,30,39
1:02,111,Devon Begley made Layup.,30,41
0:44,111,Foul on Tomas Murphy.,30,41
0:44,108,Chris Lewis made Free Throw.,31,41
0:44,108,Chris Lewis made Free Throw.,32,41
0:28,111,Tomas Murphy Turnover.,32,41
0:27,108,Bryce Aiken Steal.,32,41
0:24,108,Justin Bassey made Layup. Assisted by Bryce Aiken.,34,41
0:00,111,End of 1st half,34,41
19:44,108,Bryce Aiken missed Three Point Jumper.,34,41
19:44,111,Anthony Green Defensive Rebound.,34,41
19:27,111,Maxime Boursiquot missed Three Point Jumper.,34,41
19:27,108,Chris Lewis Defensive Rebound.,34,41
19:08,108,Chris Lewis made Layup.,36,41
18:45,111,Shawn Occeus made Three Point Jumper. Assisted by Donnell Gresham Jr..,36,44
18:16,108,Bryce Aiken missed Jumper.,36,44
18:16,111,Vasa Pusica Defensive Rebound.,36,44
17:49,108,Foul on Robert Baker.,36,44
17:48,111,Anthony Green missed Free Throw.,36,44
17:48,111,Northeastern Deadball Team Rebound.,36,44
17:48,111,Anthony Green missed Free Throw.,36,44
17:48,108,Robert Baker Defensive Rebound.,36,44
17:41,108,Bryce Aiken missed Layup.,36,44
17:41,111,Shawn Occeus Block.,36,44
17:38,111,Vasa Pusica Defensive Rebound.,36,44
17:31,111,Shawn Occeus missed Three Point Jumper.,36,44
17:31,108,Corey Johnson Defensive Rebound.,36,44
17:00,108,Robert Baker missed Three Point Jumper.,36,44
17:00,108,Chris Lewis Offensive Rebound.,36,44
16:52,108,Bryce Aiken missed Three Point Jumper.,36,44
16:52,111,Anthony Green Defensive Rebound.,36,44
16:24,111,Maxime Boursiquot missed Jumper.,36,44
16:24,108,Justin Bassey Defensive Rebound.,36,44
16:17,111,Foul on Donnell Gresham Jr..,36,44
16:03,108,Bryce Aiken Turnover.,36,44
15:56,111,Vasa Pusica Turnover.,36,44
15:55,108,Bryce Aiken Steal.,36,44
15:54,108,Bryce Aiken made Layup.,38,44
15:39,111,Maxime Boursiquot made Layup. Assisted by Jeremy Miller.,38,46
15:17,111,Foul on Maxime Boursiquot.,38,46
15:17,111,Official TV Timeout,38,46
15:06,108,Seth Towns missed Jumper.,38,46
15:06,111,Bolden Brace Defensive Rebound.,38,46
15:03,108,Foul on Seth Towns.,38,46
14:51,111,Shawn Occeus missed Three Point Jumper.,38,46
14:51,108,Bryce Aiken Defensive Rebound.,38,46
14:44,108,Reed Farley missed Three Point Jumper.,38,46
14:44,111,Jeremy Miller Defensive Rebound.,38,46
14:41,108,Foul on Henry Welsh.,38,46
14:27,111,Jeremy Miller missed Three Point Jumper.,38,46
14:27,108,Bryce Aiken Defensive Rebound.,38,46
14:02,108,Seth Towns missed Layup.,38,46
14:02,108,Seth Towns Offensive Rebound.,38,46
13:58,108,Seth Towns missed Layup.,38,46
13:58,108,Justin Bassey Offensive Rebound.,38,46
13:56,108,Justin Bassey made Layup.,40,46
13:40,111,Devon Begley missed Jumper.,40,46
13:40,111,Devon Begley Offensive Rebound.,40,46
13:36,111,Devon Begley made Jumper.,40,48
13:18,111,Foul on Jeremy Miller.,40,48
13:10,108,Justin Bassey missed Three Point Jumper.,40,48
13:10,111,Vasa Pusica Defensive Rebound.,40,48
12:48,111,Devon Begley made Layup.,40,50
12:20,108,Robert Baker missed Three Point Jumper.,40,50
12:20,111,Shawn Occeus Defensive Rebound.,40,50
11:54,108,Foul on Chris Lewis.,40,50
11:54,111,Official TV Timeout,40,50
11:54,111,Jeremy Miller made Free Throw.,40,51
11:54,111,Jeremy Miller missed Free Throw.,40,51
11:54,111,Maxime Boursiquot Offensive Rebound.,40,51
11:54,108,Foul on Chris Lewis.,40,51
11:34,111,Devon Begley missed Layup.,40,51
11:34,108,Justin Bassey Defensive Rebound.,40,51
11:31,111,Foul on Devon Begley.,40,51
11:17,108,Chris Lewis made Layup. Assisted by Rio Haskett.,42,51
10:53,111,Donnell Gresham Jr. made Three Point Jumper. Assisted by Maxime Boursiquot.,42,54
10:35,108,Chris Lewis made Jumper.,44,54
10:08,111,Vasa Pusica missed Three Point Jumper.,44,54
10:08,108,Bryce Aiken Defensive Rebound.,44,54
9:39,108,Corey Johnson missed Three Point Jumper.,44,54
9:39,111,Maxime Boursiquot Defensive Rebound.,44,54
9:37,108,Foul on Robert Baker.,44,54
9:15,111,Vasa Pusica made Jumper.,44,56
9:02,111,Foul on Jeremy Miller.,44,56
8:55,108,Bryce Aiken made Layup.,46,56
8:33,111,Shawn Occeus missed Layup.,46,56
8:33,108,Chris Lewis Defensive Rebound.,46,56
8:22,108,Foul on Chris Lewis.,46,56
8:22,108,Chris Lewis Turnover.,46,56
8:11,111,Vasa Pusica made Layup.,46,58
7:55,108,Bryce Aiken missed Layup.,46,58
7:55,111,Shawn Occeus Block.,46,58
7:52,111,Tomas Murphy Defensive Rebound.,46,58
7:28,111,Maxime Boursiquot made Layup. Assisted by Tomas Murphy.,46,60
7:26,108,Harvard  Timeout,46,60
7:26,111,Official TV Timeout,46,60
7:08,108,Rio Haskett made Layup.,48,60
6:47,108,Foul on Rio Haskett.,48,60
6:47,111,Official TV Timeout,48,60
6:47,111,Vasa Pusica missed Free Throw.,48,60
6:47,108,Robert Baker Defensive Rebound.,48,60
6:18,108,Robert Baker missed Three Point Jumper.,48,60
6:18,111,Maxime Boursiquot Defensive Rebound.,48,60
6:07,108,Foul on Corey Johnson.,48,60
6:07,111,Devon Begley made Free Throw.,48,61
6:07,111,Devon Begley made Free Throw.,48,62
5:47,108,Bryce Aiken made Three Point Jumper. Assisted by Robert Baker.,51,62
5:26,111,Tomas Murphy made Layup. Assisted by Vasa Pusica.,51,64
5:05,108,Bryce Aiken missed Layup.,51,64
5:05,111,Shawn Occeus Block.,51,64
5:03,108,Robert Baker Offensive Rebound.,51,64
4:55,108,Bryce Aiken Turnover.,51,64
4:54,111,Maxime Boursiquot Steal.,51,64
4:54,108,Foul on Bryce Aiken.,51,64
4:54,111,Maxime Boursiquot missed Free Throw.,51,64
4:54,111,Northeastern Deadball Team Rebound.,51,64
4:54,111,Maxime Boursiquot missed Free Throw.,51,64
4:54,111,Shawn Occeus Offensive Rebound.,51,64
4:31,111,Shawn Occeus missed Jumper.,51,64
4:31,108,Justin Bassey Defensive Rebound.,51,64
4:29,111,Foul on Shawn Occeus.,51,64
4:17,108,Chris Lewis made Dunk. Assisted by Rio Haskett.,53,64
3:48,111,Vasa Pusica made Jumper.,53,66
3:35,111,Foul on Tomas Murphy.,53,66
3:35,111,Official TV Timeout,53,66
3:35,108,Bryce Aiken missed Free Throw.,53,66
3:35,108,Harvard Deadball Team Rebound.,53,66
3:35,108,Bryce Aiken missed Free Throw.,53,66
3:35,111,Devon Begley Defensive Rebound.,53,66
3:16,108,Foul on Rio Haskett.,53,66
3:16,111,Vasa Pusica made Free Throw.,53,67
3:16,111,Vasa Pusica made Free Throw.,53,68
3:07,108,Bryce Aiken made Layup.,55,68
3:05,108,Harvard  Timeout,55,68
2:39,111,Shawn Occeus made Layup. Assisted by Vasa Pusica.,55,70
2:32,111,Foul on Vasa Pusica.,55,70
2:32,108,Justin Bassey made Free Throw.,56,70
2:32,108,Justin Bassey made Free Throw.,57,70
2:15,111,Shawn Occeus missed Three Point Jumper.,57,70
2:15,111,Devon Begley Offensive Rebound.,57,70
1:56,108,Foul on Justin Bassey.,57,70
1:56,111,Devon Begley made Free Throw.,57,71
1:56,111,Devon Begley made Free Throw.,57,72
1:52,108,Bryce Aiken made Layup.,59,72
1:35,108,Foul on Robert Baker.,59,72
1:35,111,Vasa Pusica made Free Throw.,59,73
1:35,111,Vasa Pusica made Free Throw.,59,74
1:28,108,Bryce Aiken missed Jumper.,59,74
1:28,111,Vasa Pusica Defensive Rebound.,59,74
1:21,108,Foul on Justin Bassey.,59,74
1:21,111,Vasa Pusica made Free Throw.,59,75
1:21,111,Vasa Pusica missed Free Throw.,59,75
1:21,108,Justin Bassey Defensive Rebound.,59,75
1:09,108,Rio Haskett missed Jumper.,59,75
1:09,108,Harvard Offensive Rebound.,59,75
1:01,108,Danilo Djuricic made Dunk.,61,75
0:33,111,Devon Begley missed Jumper.,61,75
0:33,111,Vasa Pusica Offensive Rebound.,61,75
0:13,108,Foul on Rio Haskett.,61,75
0:13,111,Devon Begley made Free Throw.,61,76
0:13,111,Devon Begley made Free Throw.,61,77
0:11,108,Rio Haskett missed Layup.,61,77
0:11,111,Bolden Brace Defensive Rebound.,61,77
0:00,111,End of Game,61,77
