St. Thomas (TX),Error,Sam Houston State,2534
12:35,-1,Anthony Burrras missed Three Point Jumper.,10,18
12:35,2534,Christopher Galbreath Jr. Defensive Rebound.,10,18
12:21,2534,Marcus Harris missed Three Point Jumper.,10,18
12:21,2534,Christopher Galbreath Jr. Offensive Rebound.,10,18
12:08,2534,Marcus Harris missed Three Point Jumper.,10,18
12:08,-1,Orowo Eleyae Defensive Rebound.,10,18
11:59,-1,Bryon Makel made Three Point Jumper. Assisted by Anthony Burrras.,13,18
11:37,-1,Foul on Anthony Burrras.,13,18
11:37,2534,Official TV Timeout,13,18
11:25,2534,John Dewey III made Three Point Jumper. Assisted by Cameron Delaney.,13,21
11:07,2534,Foul on John Dewey III.,13,21
11:07,-1,Anthony Burrras made Free Throw.,14,21
11:07,-1,Anthony Burrras missed Free Throw.,14,21
11:07,2534,Chidozie Ndu Defensive Rebound.,14,21
10:50,2534,Josh Delaney Turnover.,14,21
10:24,-1,Bryon Makel Turnover.,14,21
10:23,2534,Josh Delaney Steal.,14,21
10:20,2534,Josh Delaney missed Layup.,14,21
10:20,-1,Bryon Makel Block.,14,21
10:20,2534,Sam Houston State Offensive Rebound.,14,21
10:13,-1,Foul on Bryon Makel.,14,21
10:13,2534,Abrian Edwards made Free Throw.,14,22
10:13,2534,Abrian Edwards made Free Throw.,14,23
10:09,-1,Orowo Eleyae Turnover.,14,23
10:08,2534,Abrian Edwards Steal.,14,23
10:07,-1,Foul on Anthony Burrras.,14,23
9:50,2534,Albert Almanza missed Three Point Jumper.,14,23
9:50,2534,Chidozie Ndu Offensive Rebound.,14,23
9:46,2534,Chidozie Ndu made Layup.,14,25
9:46,-1,Foul on Orowo Eleyae.,14,25
9:46,2534,Chidozie Ndu made Free Throw.,14,26
9:31,-1,Josh Bearden Turnover.,14,26
9:31,-1,Foul on Josh Bearden.,14,26
9:18,2534,Cameron Delaney missed Three Point Jumper.,14,26
9:18,-1,Lennard Robinson Defensive Rebound.,14,26
9:04,-1,Orowo Eleyae made Layup.,16,26
8:33,-1,Foul on Lennard Robinson.,16,26
8:33,2534,Abrian Edwards missed Free Throw.,16,26
8:33,2534,Sam Houston State Deadball Team Rebound.,16,26
8:33,2534,Abrian Edwards missed Free Throw.,16,26
8:33,2534,Sam Houston State Deadball Team Rebound.,16,26
8:33,2534,Abrian Edwards missed Free Throw.,16,26
8:33,-1,Sam Flores Defensive Rebound.,16,26
8:17,-1,Orowo Eleyae Turnover.,16,26
7:48,2534,Cameron Delaney made Layup. Assisted by Abrian Edwards.,16,28
7:29,-1,Josh Bearden made Three Point Jumper. Assisted by Sam Flores.,19,28
7:10,2534,Cameron Delaney missed Jumper.,19,28
7:10,-1,University of St. Thomas Defensive Rebound.,19,28
7:07,2534,Official TV Timeout,19,28
6:41,2534,Foul on Christopher Galbreath Jr..,19,28
6:41,-1,Lennard Robinson missed Free Throw.,19,28
6:41,-1,University of St. Thomas Deadball Team Rebound.,19,28
6:41,-1,Lennard Robinson missed Free Throw.,19,28
6:41,2534,Albert Almanza Defensive Rebound.,19,28
6:22,2534,Albert Almanza missed Three Point Jumper.,19,28
6:22,2534,Christopher Galbreath Jr. Offensive Rebound.,19,28
6:08,2534,Christopher Galbreath Jr. made Layup. Assisted by John Dewey III.,19,30
5:51,-1,Josh Bearden missed Jumper.,19,30
5:51,-1,Paul Taulton Offensive Rebound.,19,30
5:43,2534,Foul on Albert Almanza.,19,30
5:43,-1,Josh Bearden made Free Throw.,20,30
5:43,-1,Josh Bearden made Free Throw.,21,30
5:25,2534,Albert Almanza missed Three Point Jumper.,21,30
5:25,2534,Jamal Williams Offensive Rebound.,21,30
5:15,2534,Josh Delaney missed Three Point Jumper.,21,30
5:15,-1,Josh Bearden Defensive Rebound.,21,30
4:57,-1,Peter Ellwanger missed Three Point Jumper.,21,30
4:57,-1,Paul Taulton Offensive Rebound.,21,30
4:53,-1,Paul Taulton made Layup.,23,30
4:33,2534,John Dewey III missed Three Point Jumper.,23,30
4:33,-1,University of St. Thomas Defensive Rebound.,23,30
4:25,-1,Josh Bearden Turnover.,23,30
4:24,2534,Marcus Harris Steal.,23,30
4:22,2534,Marcus Harris made Layup.,23,32
3:59,-1,Peter Ellwanger missed Three Point Jumper.,23,32
3:59,2534,Jamal Williams Defensive Rebound.,23,32
3:43,2534,Marcus Harris missed Three Point Jumper.,23,32
3:43,-1,Josh Bearden Defensive Rebound.,23,32
3:37,2534,Foul on John Dewey III.,23,32
3:37,2534,Official TV Timeout,23,32
3:37,-1,Kennard Robinson made Free Throw.,24,32
3:37,-1,Kennard Robinson made Free Throw.,25,32
3:16,2534,Christopher Galbreath Jr. missed Layup.,25,32
3:16,2534,Christopher Galbreath Jr. Offensive Rebound.,25,32
3:14,2534,Christopher Galbreath Jr. made Two Point Tip Shot.,25,34
2:36,-1,Michael Alfred Turnover.,25,34
2:10,-1,Foul on Michael Alfred.,25,34
2:10,2534,Jamal Williams missed Free Throw.,25,34
2:10,2534,Sam Houston State Deadball Team Rebound.,25,34
2:10,2534,Jamal Williams made Free Throw.,25,35
1:50,-1,Bryon Makel made Jumper.,27,35
1:36,2534,Marcus Harris missed Jumper.,27,35
1:36,2534,Christopher Galbreath Jr. Offensive Rebound.,27,35
1:36,-1,Foul on Paul Taulton.,27,35
1:36,2534,Christopher Galbreath Jr. made Free Throw.,27,36
1:36,2534,Christopher Galbreath Jr. made Free Throw.,27,37
1:22,-1,Bryon Makel Turnover.,27,37
1:22,-1,Foul on Bryon Makel.,27,37
0:58,2534,Cameron Delaney Turnover.,27,37
0:58,2534,Foul on Cameron Delaney.,27,37
0:44,-1,Kennard Robinson Turnover.,27,37
0:43,2534,Marcus Harris Steal.,27,37
0:20,2534,Jamal Williams made Layup. Assisted by Marcus Harris.,27,39
0:03,-1,Michael Alfred missed Jumper.,27,39
0:03,-1,University of St. Thomas Offensive Rebound.,27,39
0:00,-1,Technical Foul on Kennard Robinson.,27,39
0:00,-1,Foul on Kennard Robinson.,27,39
0:00,2534,Technical Foul on John Dewey III.,27,39
0:00,2534,Foul on John Dewey III.,27,39
0:00,2534,End of 1st half,27,39
19:48,-1,Foul on Paul Taulton.,27,39
19:48,2534,Christopher Galbreath Jr. made Free Throw.,27,40
19:48,2534,Christopher Galbreath Jr. made Free Throw.,27,41
19:40,-1,Bryon Makel missed Three Point Jumper.,27,41
19:40,2534,Jamal Williams Defensive Rebound.,27,41
19:29,2534,Chidozie Ndu made Dunk. Assisted by Jamal Williams.,27,43
18:58,-1,Nathan Thormaehlen missed Three Point Jumper.,27,43
18:58,2534,Christopher Galbreath Jr. Defensive Rebound.,27,43
18:45,2534,John Dewey III missed Layup.,27,43
18:45,2534,John Dewey III Offensive Rebound.,27,43
18:39,-1,Foul on Kennard Robinson.,27,43
18:26,2534,John Dewey III missed Three Point Jumper.,27,43
18:26,-1,Kennard Robinson Defensive Rebound.,27,43
18:17,-1,Kennard Robinson Turnover.,27,43
18:16,2534,John Dewey III Steal.,27,43
18:11,-1,Foul on Bryon Makel.,27,43
18:11,2534,Marcus Harris made Free Throw.,27,44
18:11,2534,Marcus Harris made Free Throw.,27,45
18:05,-1,Lennard Robinson Turnover.,27,45
18:04,2534,Christopher Galbreath Jr. Steal.,27,45
18:02,-1,Foul on Lennard Robinson.,27,45
18:00,2534,Chidozie Ndu missed Jumper.,27,45
18:00,-1,Anthony Burrras Defensive Rebound.,27,45
17:53,-1,Nathan Thormaehlen Turnover.,27,45
17:52,2534,John Dewey III Steal.,27,45
17:50,2534,John Dewey III made Layup.,27,47
17:42,-1,Kennard Robinson made Three Point Jumper.,30,47
17:21,2534,Jamal Williams made Three Point Jumper. Assisted by Christopher Galbreath Jr..,30,50
17:19,2534,Foul on Chidozie Ndu.,30,50
17:08,-1,Anthony Burrras made Layup.,32,50
16:53,-1,Foul on Nathan Thormaehlen.,32,50
16:48,2534,John Dewey III made Layup. Assisted by Jamal Williams.,32,52
16:45,-1,Anthony Burrras missed Three Point Jumper.,32,52
16:45,2534,Jamal Williams Defensive Rebound.,32,52
16:16,2534,John Dewey III missed Three Point Jumper.,32,52
16:14,2534,Christopher Galbreath Jr. Offensive Rebound.,32,52
16:12,2534,Chidozie Ndu made Dunk. Assisted by Marcus Harris.,32,54
16:00,-1,Sam Flores missed Three Point Jumper.,32,54
15:58,2534,Christopher Galbreath Jr. Defensive Rebound.,32,54
15:51,2534,John Dewey III made Three Point Jumper.,32,57
15:27,2534,Official TV Timeout,32,57
15:25,-1,Orowo Eleyae Turnover.,32,57
15:09,2534,Marcus Harris made Three Point Jumper. Assisted by Jamal Williams.,32,60
14:47,-1,Kennard Robinson missed Jumper.,32,60
14:47,-1,University of St. Thomas Offensive Rebound.,32,60
14:31,-1,Orowo Eleyae Turnover.,32,60
14:30,2534,Bubba Furlong Steal.,32,60
14:17,2534,Jamal Williams Turnover.,32,60
13:48,-1,Anthony Burrras Turnover.,32,60
13:48,2534,Jamal Williams Steal.,32,60
13:41,2534,Jamal Williams Turnover.,32,60
13:40,-1,Kennard Robinson Steal.,32,60
13:35,-1,Orowo Eleyae missed Layup.,32,60
13:35,-1,Anthony Burrras Offensive Rebound.,32,60
13:33,-1,Anthony Burrras made Layup.,34,60
13:10,2534,Marcus Harris missed Three Point Jumper.,34,60
13:10,2534,Sam Houston State Offensive Rebound.,34,60
12:51,2534,Bubba Furlong Turnover.,34,60
12:51,-1,Josh Bearden Turnover.,34,60
12:22,2534,Cameron Delaney made Jumper.,34,62
12:13,2534,Foul on Cameron Delaney.,34,62
11:51,-1,Anthony Burrras made Layup.,36,62
11:25,-1,Foul on Anthony Burrras.,36,62
11:25,2534,Official TV Timeout,36,62
11:25,2534,Bubba Furlong missed Free Throw.,36,62
11:25,2534,Sam Houston State Deadball Team Rebound.,36,62
11:25,2534,Bubba Furlong made Free Throw.,36,63
11:21,-1,Josh Bearden Turnover.,36,63
11:20,2534,Abrian Edwards Steal.,36,63
11:18,2534,Cameron Delaney Turnover.,36,63
11:17,-1,Michael Alfred Steal.,36,63
11:13,2534,Foul on Josh Delaney.,36,63
11:13,-1,Anthony Burrras missed Free Throw.,36,63
11:13,-1,University of St. Thomas Deadball Team Rebound.,36,63
11:13,-1,Anthony Burrras missed Free Throw.,36,63
11:13,2534,Cameron Delaney Defensive Rebound.,36,63
10:59,2534,Cameron Delaney missed Layup.,36,63
10:59,-1,Michael Alfred Defensive Rebound.,36,63
10:31,-1,Anthony Burrras made Three Point Jumper.,39,63
10:26,-1,Foul on Anthony Burrras.,39,63
10:26,2534,Josh Delaney made Free Throw.,39,64
10:26,2534,Josh Delaney made Free Throw.,39,65
10:02,-1,Michael Alfred missed Three Point Jumper.,39,65
10:02,-1,University of St. Thomas Offensive Rebound.,39,65
9:59,2534,Foul on Devin Jackson.,39,65
9:54,-1,Josh Bearden missed Jumper.,39,65
9:54,-1,Anthony Burrras Offensive Rebound.,39,65
9:51,-1,Anthony Burrras made Two Point Tip Shot.,41,65
9:34,2534,Devin Jackson missed Three Point Jumper.,41,65
9:34,-1,Quashi Phillips Defensive Rebound.,41,65
9:23,-1,Quashi Phillips Turnover.,41,65
9:23,2534,Bubba Furlong Steal.,41,65
9:23,2534,Sam Houston State  Timeout,41,65
9:12,2534,Abrian Edwards made Jumper.,41,67
8:55,-1,Peter Ellwanger Turnover.,41,67
8:54,2534,Bubba Furlong Steal.,41,67
8:48,2534,Bubba Furlong missed Jumper.,41,67
8:48,-1,Michael Alfred Defensive Rebound.,41,67
8:32,2534,Foul on Devin Jackson.,41,67
8:29,-1,Josh Bearden made Three Point Jumper. Assisted by Anthony Burrras.,44,67
8:06,2534,Abrian Edwards Turnover.,44,67
8:06,2534,Foul on Abrian Edwards.,44,67
7:51,-1,Michael Alfred made Three Point Jumper. Assisted by Anthony Burrras.,47,67
7:26,2534,John Dewey III missed Three Point Jumper.,47,67
7:26,-1,Quashi Phillips Defensive Rebound.,47,67
7:14,-1,Michael Alfred missed Jumper.,47,67
7:14,2534,John Dewey III Defensive Rebound.,47,67
6:59,2534,Abrian Edwards missed Layup.,47,67
6:59,2534,Bubba Furlong Offensive Rebound.,47,67
6:58,2534,Bubba Furlong made Two Point Tip Shot.,47,69
6:58,-1,Foul on Josh Bearden.,47,69
6:58,2534,Official TV Timeout,47,69
6:58,2534,Bubba Furlong made Free Throw.,47,70
6:37,-1,Josh Bearden missed Layup.,47,70
6:37,2534,Albert Almanza Defensive Rebound.,47,70
6:24,2534,Devin Jackson missed Three Point Jumper.,47,70
6:24,-1,Peter Ellwanger Defensive Rebound.,47,70
6:09,-1,Josh Bearden Turnover.,47,70
6:08,2534,Chidozie Ndu Steal.,47,70
5:58,-1,Foul on Michael Alfred.,47,70
5:58,2534,Chidozie Ndu missed Free Throw.,47,70
5:58,2534,Sam Houston State Deadball Team Rebound.,47,70
5:58,2534,Chidozie Ndu made Free Throw.,47,71
5:41,2534,Foul on Chidozie Ndu.,47,71
5:41,-1,Michael Alfred missed Free Throw.,47,71
5:41,-1,University of St. Thomas Deadball Team Rebound.,47,71
5:41,-1,Michael Alfred made Free Throw.,48,71
5:29,2534,Dajuan Jones missed Three Point Jumper.,48,71
5:29,-1,Nathan Thormaehlen Defensive Rebound.,48,71
5:06,-1,Quashi Phillips Turnover.,48,71
4:54,2534,Dajuan Jones Turnover.,48,71
4:41,2534,Foul on Chidozie Ndu.,48,71
4:41,-1,Anthony Burrras missed Free Throw.,48,71
4:41,-1,University of St. Thomas Deadball Team Rebound.,48,71
4:41,-1,Anthony Burrras missed Free Throw.,48,71
4:41,2534,Justin Van Pelt Defensive Rebound.,48,71
4:23,2534,Albert Almanza missed Three Point Jumper.,48,71
4:23,-1,Nathan Thormaehlen Defensive Rebound.,48,71
4:06,-1,Peter Ellwanger missed Jumper.,48,71
4:06,2534,Justin Van Pelt Defensive Rebound.,48,71
4:00,2534,Dajuan Jones Turnover.,48,71
4:00,2534,Official TV Timeout,48,71
3:56,-1,Quashi Phillips missed Jumper.,48,71
3:56,2534,Justin Van Pelt Defensive Rebound.,48,71
3:37,2534,Dajuan Jones made Jumper.,48,73
3:36,-1,Foul on Nathan Thormaehlen.,48,73
3:36,2534,Dajuan Jones made Free Throw.,48,74
3:17,-1,Nathan Thormaehlen missed Three Point Jumper.,48,74
3:17,2534,Justin Van Pelt Defensive Rebound.,48,74
3:02,2534,Justin Van Pelt Turnover.,48,74
3:01,-1,Quashi Phillips Steal.,48,74
2:49,-1,Quashi Phillips missed Jumper.,48,74
2:49,2534,Cameron Delaney Defensive Rebound.,48,74
2:43,2534,Devin Jackson missed Three Point Jumper.,48,74
2:43,-1,Peter Ellwanger Defensive Rebound.,48,74
2:26,-1,Michael Alfred made Three Point Jumper. Assisted by Peter Ellwanger.,51,74
1:57,2534,Cameron Delaney Turnover.,51,74
1:56,-1,Anthony Burrras Steal.,51,74
1:52,2534,Foul on Devin Jackson.,51,74
1:52,-1,Michael Alfred made Free Throw.,52,74
1:52,-1,Michael Alfred missed Free Throw.,52,74
1:52,2534,Cameron Delaney Defensive Rebound.,52,74
1:37,2534,Justin Van Pelt Turnover.,52,74
1:27,-1,Peter Ellwanger Turnover.,52,74
1:17,2534,Devin Jackson made Three Point Jumper. Assisted by Dajuan Jones.,52,77
0:56,2534,Foul on Justin Van Pelt.,52,77
0:56,-1,Quashi Phillips missed Free Throw.,52,77
0:56,-1,University of St. Thomas Deadball Team Rebound.,52,77
0:56,-1,Quashi Phillips missed Free Throw.,52,77
0:56,-1,University of St. Thomas Defensive Rebound.,52,77
0:42,2534,Abrian Edwards Turnover.,52,77
0:27,-1,Michael Alfred missed Three Point Jumper.,52,77
0:27,-1,Michael Alfred Offensive Rebound.,52,77
0:22,-1,Michael Alfred made Jumper.,54,77
0:00,2534,End of Game,54,77
