Molloy,Error,Hofstra,2275
19:26,-1,Curtis Jenkins Turnover.,32,53
19:19,2275,Eli Pemberton made Three Point Jumper. Assisted by Joel Angus III.,32,56
18:54,-1,Curtis Jenkins made Jumper.,34,56
18:39,2275,Justin Wright-Foreman missed Three Point Jumper.,34,56
18:39,2275,Rokas Gustys Offensive Rebound.,34,56
18:26,-1,Foul on Nolan Kelly.,34,56
18:25,2275,Justin Wright-Foreman missed Three Point Jumper.,34,56
18:25,-1,Steven Torre Defensive Rebound.,34,56
18:23,2275,Foul on Joel Angus III.,34,56
17:59,-1,Josh Dennis Turnover.,34,56
17:58,2275,Justin Wright-Foreman Steal.,34,56
17:55,2275,Rokas Gustys made Layup. Assisted by Jalen Ray.,34,58
17:44,2275,Foul on Kenny Wormley.,34,58
17:31,2275,Foul on Rokas Gustys.,34,58
17:31,-1,Nick Corbett made Free Throw.,35,58
17:31,-1,Nick Corbett made Free Throw.,36,58
17:11,2275,Rokas Gustys missed Layup.,36,58
17:11,2275,Rokas Gustys Offensive Rebound.,36,58
17:10,-1,Foul on Curtis Jenkins.,36,58
17:06,2275,Jalen Ray missed Three Point Jumper.,36,58
17:06,-1,Curtis Jenkins Defensive Rebound.,36,58
16:50,-1,Nick Corbett Turnover.,36,58
16:43,-1,Foul on Justin Caldwell.,36,58
16:39,2275,Justin Wright-Foreman missed Three Point Jumper.,36,58
16:39,2275,Rokas Gustys Offensive Rebound.,36,58
16:28,2275,Justin Wright-Foreman missed Jumper.,36,58
16:28,-1,Justin Caldwell Block.,36,58
16:26,-1,Justin Caldwell Defensive Rebound.,36,58
16:08,-1,Nick Corbett missed Three Point Jumper.,36,58
16:08,2275,Rokas Gustys Defensive Rebound.,36,58
15:52,2275,Joel Angus III missed Jumper.,36,58
15:52,-1,Justin Caldwell Defensive Rebound.,36,58
15:47,-1,Curtis Jenkins made Three Point Jumper. Assisted by Nolan Kelly.,39,58
15:29,2275,Jalen Ray missed Three Point Jumper.,39,58
15:29,2275,Joel Angus III Offensive Rebound.,39,58
15:23,2275,Justin Wright-Foreman made Three Point Jumper. Assisted by Joel Angus III.,39,61
15:18,2275,Hofstra  Timeout,39,61
15:18,2275,Official TV Timeout,39,61
15:10,2275,Official TV Timeout,39,61
14:59,-1,Josh Dennis Turnover.,39,61
14:57,2275,Matija Radovic Steal.,39,61
14:51,2275,Jalen Ray missed Three Point Jumper.,39,61
14:51,-1,Josh Dennis Defensive Rebound.,39,61
14:20,-1,Curtis Jenkins missed Three Point Jumper.,39,61
14:20,2275,Jalen Ray Defensive Rebound.,39,61
14:02,-1,Foul on Josh Dennis.,39,61
14:02,2275,Desure Buie made Free Throw.,39,62
14:02,2275,Desure Buie missed Free Throw.,39,62
14:02,2275,Hunter Sabety Offensive Rebound.,39,62
13:59,2275,Hunter Sabety missed Jumper.,39,62
13:59,-1,Steven Torre Defensive Rebound.,39,62
13:28,-1,Steven Torre made Three Point Jumper.,42,62
13:16,2275,Kenny Wormley made Layup.,42,64
13:16,-1,Foul on Steven Torre.,42,64
13:16,2275,Kenny Wormley made Free Throw.,42,65
12:58,2275,Foul on Kenny Wormley.,42,65
12:58,-1,Josh Dennis made Free Throw.,43,65
12:58,-1,Josh Dennis missed Free Throw.,43,65
12:58,2275,Kenny Wormley Defensive Rebound.,43,65
12:46,-1,Foul on Josh Dennis.,43,65
12:37,2275,Eli Pemberton missed Jumper.,43,65
12:37,-1,Chris O'Reilly Defensive Rebound.,43,65
12:31,-1,Nick Corbett made Layup.,45,65
12:14,2275,Justin Wright-Foreman made Layup.,45,67
12:14,-1,Foul on Josh Dennis.,45,67
12:14,2275,Justin Wright-Foreman made Free Throw.,45,68
12:07,-1,Chris O'Reilly made Three Point Jumper. Assisted by Steven Torre.,48,68
11:54,2275,Justin Wright-Foreman made Layup.,48,70
11:54,-1,Foul on Steven Torre.,48,70
11:54,2275,Official TV Timeout,48,70
11:54,2275,Justin Wright-Foreman made Free Throw.,48,71
11:41,-1,Chris O'Reilly missed Three Point Jumper.,48,71
11:41,2275,Eli Pemberton Defensive Rebound.,48,71
11:26,2275,Justin Wright-Foreman missed Jumper.,48,71
11:26,-1,Steven Torre Defensive Rebound.,48,71
11:20,-1,Derrick Okunpolor made Layup. Assisted by Steven Torre.,50,71
11:03,2275,Justin Wright-Foreman made Three Point Jumper. Assisted by Kenny Wormley.,50,74
10:45,-1,Derrick Okunpolor missed Jumper.,50,74
10:45,2275,Kenny Wormley Defensive Rebound.,50,74
10:39,2275,Eli Pemberton made Three Point Jumper. Assisted by Kenny Wormley.,50,77
10:19,-1,Steven Torre missed Layup.,50,77
10:19,2275,Kenny Wormley Defensive Rebound.,50,77
10:13,2275,Kenny Wormley missed Jumper.,50,77
10:13,2275,Hunter Sabety Offensive Rebound.,50,77
10:07,2275,Justin Wright-Foreman missed Three Point Jumper.,50,77
10:07,-1,Nick Corbett Defensive Rebound.,50,77
9:58,-1,Curtis Jenkins missed Three Point Jumper.,50,77
9:58,2275,Hofstra Defensive Rebound.,50,77
9:38,2275,Kenny Wormley Turnover.,50,77
9:29,-1,Steven Torre Turnover.,50,77
9:18,2275,Rokas Gustys made Layup. Assisted by Matija Radovic.,50,79
9:06,-1,Curtis Jenkins Turnover.,50,79
9:06,-1,Foul on Curtis Jenkins.,50,79
9:06,-1,Molloy  Timeout,50,79
8:48,2275,Eli Pemberton made Jumper.,50,81
8:30,-1,Curtis Jenkins Turnover.,50,81
8:28,2275,Matija Radovic Steal.,50,81
8:27,-1,Foul on Curtis Jenkins.,50,81
8:27,2275,Matija Radovic made Free Throw.,50,82
8:27,2275,Matija Radovic made Free Throw.,50,83
8:10,-1,Nick Corbett made Three Point Jumper.,53,83
7:52,-1,Foul on Justin Caldwell.,53,83
7:52,2275,Official TV Timeout,53,83
7:52,2275,Rokas Gustys made Free Throw.,53,84
7:52,2275,Rokas Gustys made Free Throw.,53,85
7:37,-1,Nick Corbett made Layup.,55,85
7:23,2275,Eli Pemberton made Jumper.,55,87
7:07,-1,Justin Caldwell missed Jumper.,55,87
7:07,2275,Rokas Gustys Defensive Rebound.,55,87
7:00,-1,Foul on Nolan Kelly.,55,87
7:00,2275,Kenny Wormley made Free Throw.,55,88
7:00,2275,Kenny Wormley made Free Throw.,55,89
6:41,-1,Curtis Jenkins Turnover.,55,89
6:39,2275,Eli Pemberton Steal.,55,89
6:30,2275,Hunter Sabety made Dunk. Assisted by Jalen Ray.,55,91
6:11,-1,Nolan Kelly missed Three Point Jumper.,55,91
6:11,2275,Eli Pemberton Defensive Rebound.,55,91
6:06,2275,Kenny Wormley made Layup.,55,93
6:04,-1,Foul on Nolan Kelly.,55,93
6:04,2275,Kenny Wormley made Free Throw.,55,94
5:52,-1,Arthur Scott Turnover.,55,94
5:43,2275,Jalen Ray missed Jumper.,55,94
5:43,2275,Jalen Ray Offensive Rebound.,55,94
5:32,2275,Hunter Sabety Turnover.,55,94
5:32,2275,Foul on Hunter Sabety.,55,94
5:21,2275,Foul on Kenny Wormley.,55,94
5:06,-1,Nick Corbett made Layup.,57,94
4:58,2275,Hunter Sabety made Dunk. Assisted by Desure Buie.,57,96
4:39,-1,Steven Torre made Layup.,59,96
4:28,2275,Kenny Wormley missed Jumper.,59,96
4:28,-1,Steven Torre Defensive Rebound.,59,96
4:19,-1,Chris O'Reilly made Three Point Jumper. Assisted by Steven Torre.,62,96
4:07,-1,Foul on Chris O'Reilly.,62,96
4:07,2275,Jalen Ray made Free Throw.,62,97
4:07,2275,Jalen Ray made Free Throw.,62,98
3:51,-1,Derrick Okunpolor missed Jumper.,62,98
3:51,2275,Matija Radovic Defensive Rebound.,62,98
3:37,2275,Matija Radovic missed Three Point Jumper.,62,98
3:37,-1,Molloy Defensive Rebound.,62,98
3:36,2275,Official TV Timeout,62,98
3:23,2275,Foul on Jalen Ray.,62,98
3:23,-1,Steven Torre made Free Throw.,63,98
3:23,-1,Steven Torre made Free Throw.,64,98
3:06,2275,Matija Radovic made Three Point Jumper. Assisted by Connor Klementowicz.,64,101
2:52,2275,Foul on Desure Buie.,64,101
2:52,-1,Arthur Scott made Free Throw.,65,101
2:52,-1,Arthur Scott made Free Throw.,66,101
2:40,2275,Hunter Sabety Turnover.,66,101
2:38,-1,Arthur Scott Steal.,66,101
2:35,-1,Arthur Scott missed Jumper.,66,101
2:35,-1,Molloy Offensive Rebound.,66,101
2:28,-1,Steven Torre made Jumper. Assisted by Arthur Scott.,68,101
2:28,-1,Steven Torre missed Free Throw.,68,101
2:27,2275,Matija Radovic Defensive Rebound.,68,101
2:25,2275,Desure Buie missed Three Point Jumper.,68,101
2:24,-1,Molloy Defensive Rebound.,68,101
2:09,2275,Foul on Jalen Ray.,68,101
1:59,-1,Steven Torre missed Three Point Jumper.,68,101
1:59,2275,Desure Buie Defensive Rebound.,68,101
1:47,-1,Foul on Steven Torre.,68,101
1:47,2275,Hunter Sabety made Free Throw.,68,102
1:47,2275,Hunter Sabety missed Free Throw.,68,102
1:47,-1,Keenan Loder Defensive Rebound.,68,102
1:33,-1,Steven Torre missed Layup.,68,102
1:33,2275,Hunter Sabety Block.,68,102
1:33,-1,Molloy Offensive Rebound.,68,102
1:31,-1,Keenan Loder made Layup. Assisted by Steven Torre.,70,102
1:14,2275,Connor Klementowicz made Three Point Jumper. Assisted by Jalen Ray.,70,105
0:56,-1,Santiago Agosti made Layup. Assisted by Steven Torre.,72,105
0:44,2275,Hunter Sabety made Dunk. Assisted by Matija Radovic.,72,107
0:29,-1,Santiago Agosti missed Three Point Jumper.,72,107
0:29,2275,Hunter Sabety Defensive Rebound.,72,107
0:00,2275,End of Game,72,107
