Texas Tech,2550,Seton Hall,2641
15:17,2550,Myles Powell missed Three Point Jumper.,49,52
15:17,2550,Seton Hall Offensive Rebound.,49,52
15:14,2641,Foul on Brandone Francis.,49,52
15:01,2550,Desi Rodriguez missed Jumper.,49,52
15:01,2550,Desi Rodriguez Offensive Rebound.,49,52
14:59,2550,Desi Rodriguez missed Layup.,49,52
14:59,2641,Zach Smith Block.,49,52
14:57,2550,Desi Rodriguez Offensive Rebound.,49,52
14:57,2641,Foul on Zach Smith.,49,52
14:57,2550,Desi Rodriguez made Free Throw.,49,53
14:57,2550,Desi Rodriguez made Free Throw.,49,54
14:42,2641,Zach Smith made Layup. Assisted by Keenan Evans.,51,54
14:21,2550,Desi Rodriguez Turnover.,51,54
14:08,2641,Keenan Evans Turnover.,51,54
14:07,2550,Myles Powell Steal.,51,54
13:57,2550,Ismael Sanogo made Jumper. Assisted by Myles Powell.,51,56
13:30,2550,Foul on Angel Delgado.,51,56
13:26,2641,Zach Smith made Jumper. Assisted by Keenan Evans.,53,56
13:12,2550,Angel Delgado made Layup.,53,58
13:07,2550,Foul on Desi Rodriguez.,53,58
13:03,2641,Zach Smith missed Jumper.,53,58
13:03,2550,Desi Rodriguez Defensive Rebound.,53,58
12:54,2641,Foul on Tommy Hamilton IV.,53,58
12:49,2550,Desi Rodriguez made Jumper.,53,60
12:35,2550,Foul on Khadeen Carrington.,53,60
12:22,2641,Norense Odiase missed Layup.,53,60
12:22,2550,Angel Delgado Block.,53,60
12:21,2641,Keenan Evans Offensive Rebound.,53,60
12:15,2550,Foul on Angel Delgado.,53,60
12:15,2641,Zach Smith made Free Throw.,54,60
12:15,2641,Zach Smith made Free Throw.,55,60
11:45,2550,Desi Rodriguez made Three Point Jumper.,55,63
11:36,2641,Keenan Evans made Layup.,57,63
11:14,2550,Myles Cale made Layup. Assisted by Eron Gordon.,57,65
11:01,2641,Keenan Evans missed Jumper.,57,65
11:01,2550,Angel Delgado Defensive Rebound.,57,65
10:57,2550,Myles Cale Turnover.,57,65
10:57,2550,Official TV Timeout,57,65
10:35,2641,Niem Stevenson missed Jumper.,57,65
10:35,2641,Norense Odiase Offensive Rebound.,57,65
10:31,2641,Zach Smith made Two Point Tip Shot.,59,65
10:04,2550,Seton Hall  Turnover.,59,65
9:41,2641,Keenan Evans made Three Point Jumper. Assisted by Zach Smith.,62,65
9:19,2550,Desi Rodriguez missed Three Point Jumper.,62,65
9:19,2550,Michael Nzei Offensive Rebound.,62,65
