Texas Southern,2473,Oakland,2640
11:36,2640,Demontrae Jefferson made Layup.,13,18
11:17,2473,Martez Walker made Layup. Assisted by Brailen Neely.,13,20
11:00,2640,Demontrae Jefferson missed Three Point Jumper.,13,20
11:00,2473,Julius Palmer Defensive Rebound.,13,20
10:52,2473,Official TV Timeout,13,20
10:43,2473,Martez Walker made Layup. Assisted by Brailen Neely.,13,22
10:26,2640,Donte Clark missed Three Point Jumper.,13,22
10:26,2473,Jaevin Cumberland Defensive Rebound.,13,22
10:19,2473,Martez Walker made Dunk. Assisted by Jaevin Cumberland.,13,24
9:56,2473,Foul on Jaevin Cumberland.,13,24
9:56,2640,Donte Clark made Free Throw.,14,24
9:56,2640,Donte Clark made Free Throw.,15,24
9:49,2473,Brailen Neely Turnover.,15,24
9:47,2640,Donte Clark Steal.,15,24
9:44,2640,Demontrae Jefferson made Three Point Jumper. Assisted by Donte Clark.,18,24
9:21,2473,Chris Palombizio missed Layup.,18,24
9:21,2640,Kevin Scott Defensive Rebound.,18,24
9:13,2473,Foul on Julius Palmer.,18,24
9:13,2640,Kevin Scott missed Free Throw.,18,24
9:13,2640,Texas Southern Deadball Team Rebound.,18,24
9:13,2640,Kevin Scott made Free Throw.,19,24
9:02,2473,Brailen Neely missed Jumper.,19,24
9:02,2640,Derrick Bruce Defensive Rebound.,19,24
8:54,2640,Donte Clark missed Layup.,19,24
8:54,2640,Texas Southern Offensive Rebound.,19,24
8:42,2640,Derrick Bruce Turnover.,19,24
8:40,2473,James Beck Steal.,19,24
8:37,2473,Isaiah Brock made Dunk. Assisted by Jaevin Cumberland.,19,26
8:21,2640,Demontrae Jefferson made Three Point Jumper.,22,26
8:10,2473,Jaevin Cumberland missed Jumper.,22,26
8:10,2640,Trayvon Reed Defensive Rebound.,22,26
8:01,2640,Trayvon Reed made Dunk. Assisted by Demontrae Jefferson.,24,26
7:36,2473,Jaevin Cumberland made Jumper. Assisted by James Beck.,24,28
7:17,2640,Donte Clark made Three Point Jumper. Assisted by Demontrae Jefferson.,27,28
7:10,2473,Jaevin Cumberland missed Three Point Jumper.,27,28
7:10,2473,Chris Palombizio Offensive Rebound.,27,28
7:05,2473,Chris Palombizio missed Layup.,27,28
7:05,2640,Donte Clark Defensive Rebound.,27,28
6:43,2640,Donte Clark made Three Point Jumper.,30,28
6:26,2473,James Beck made Layup. Assisted by Chris Palombizio.,30,30
6:09,2640,Donte Clark missed Jumper.,30,30
6:09,2640,Trayvon Reed Offensive Rebound.,30,30
6:05,2640,Trayvon Reed Turnover.,30,30
6:01,2473,Brailen Neely Steal.,30,30
5:59,2473,Foul on Brailen Neely.,30,30
5:59,2473,Brailen Neely Turnover.,30,30
5:59,2473,Official TV Timeout,30,30
5:49,2640,Donte Clark missed Jumper.,30,30
5:49,2473,Isaiah Brock Defensive Rebound.,30,30
5:38,2473,Martez Walker missed Three Point Jumper.,30,30
5:38,2640,Trayvon Reed Defensive Rebound.,30,30
5:25,2640,Demontrae Jefferson missed Layup.,30,30
5:25,2640,Trayvon Reed Offensive Rebound.,30,30
5:20,2640,Trayvon Reed made Layup.,32,30
5:01,2473,Martez Walker made Jumper. Assisted by Stan Scott.,32,32
4:43,2640,Kevin Scott missed Three Point Jumper.,32,32
4:43,2473,Stan Scott Defensive Rebound.,32,32
4:23,2473,Martez Walker missed Three Point Jumper.,32,32
4:23,2473,Jalen Hayes Offensive Rebound.,32,32
4:18,2473,Jalen Hayes missed Jumper.,32,32
4:18,2473,Stan Scott Offensive Rebound.,32,32
4:13,2473,Stan Scott made Layup.,32,34
3:51,2473,Foul on Nick Daniels.,32,34
3:51,2473,Official TV Timeout,32,34
3:51,2640,Derrick Bruce made Free Throw.,33,34
3:51,2640,Derrick Bruce made Free Throw.,34,34
3:31,2473,Isaiah Brock made Dunk. Assisted by Jalen Hayes.,34,36
3:11,2640,Demontrae Jefferson Turnover.,34,36
2:58,2473,Jalen Hayes made Jumper. Assisted by Nick Daniels.,34,38
2:36,2640,Donte Clark missed Layup.,34,38
2:36,2473,Isaiah Brock Block.,34,38
2:33,2473,Nick Daniels Defensive Rebound.,34,38
2:31,2473,Nick Daniels made Layup.,34,40
2:31,2640,Foul on Demontrae Jefferson.,34,40
2:31,2473,Nick Daniels made Free Throw.,34,41
2:22,2640,Demontrae Jefferson made Jumper.,36,41
2:08,2473,Martez Walker missed Layup.,36,41
2:08,2640,Trayvon Reed Block.,36,41
2:05,2640,Demontrae Jefferson Defensive Rebound.,36,41
2:01,2640,Demontrae Jefferson missed Jumper.,36,41
2:01,2473,Nick Daniels Defensive Rebound.,36,41
2:01,2640,Foul on Derrick Bruce.,36,41
1:41,2473,Jalen Hayes missed Jumper.,36,41
1:41,2640,Marquis Salmon Defensive Rebound.,36,41
1:31,2640,Demontrae Jefferson made Jumper.,38,41
1:13,2640,Foul on Kevin Scott.,38,41
1:06,2473,Martez Walker missed Three Point Jumper.,38,41
1:06,2473,Martez Walker Offensive Rebound.,38,41
0:59,2473,Nick Daniels made Three Point Jumper. Assisted by Isaiah Brock.,38,44
0:41,2640,Kevin Scott made Jumper.,40,44
0:40,2473,Oakland  Timeout,40,44
0:14,2473,Brailen Neely made Jumper.,40,46
0:03,2640,Foul on Demontrae Jefferson.,40,46
0:03,2640,Demontrae Jefferson Turnover.,40,46
0:00,2473,End of 1st half,40,46
19:50,2640,Demontrae Jefferson made Three Point Jumper.,43,46
19:27,2473,Brailen Neely Turnover.,43,46
19:13,2640,Demontrae Jefferson missed Jumper.,43,46
19:13,2473,Brailen Neely Defensive Rebound.,43,46
18:54,2473,Jalen Hayes missed Layup.,43,46
18:54,2640,Trayvon Reed Block.,43,46
18:50,2640,Trayvon Reed Defensive Rebound.,43,46
18:33,2640,Kevin Scott missed Jumper.,43,46
18:33,2473,Isaiah Brock Defensive Rebound.,43,46
18:24,2473,Martez Walker missed Three Point Jumper.,43,46
18:24,2473,Jalen Hayes Offensive Rebound.,43,46
18:20,2473,Jalen Hayes missed Layup.,43,46
18:20,2640,Trayvon Reed Defensive Rebound.,43,46
17:59,2640,Donte Clark missed Jumper.,43,46
17:59,2473,Martez Walker Block.,43,46
17:56,2473,Isaiah Brock Defensive Rebound.,43,46
17:48,2473,Jalen Hayes made Layup. Assisted by Brailen Neely.,43,48
17:48,2640,Foul on Donte Clark.,43,48
17:48,2473,Jalen Hayes missed Free Throw.,43,48
17:48,2640,Kevin Scott Defensive Rebound.,43,48
17:37,2640,Demontrae Jefferson missed Jumper.,43,48
17:37,2473,Isaiah Brock Defensive Rebound.,43,48
17:15,2473,Jalen Hayes Turnover.,43,48
17:13,2640,Donte Clark Steal.,43,48
17:10,2640,Donte Clark made Layup.,45,48
16:45,2473,Martez Walker missed Jumper.,45,48
16:45,2640,Donte Clark Defensive Rebound.,45,48
16:17,2640,Demontrae Jefferson made Layup.,47,48
16:00,2473,James Beck missed Jumper.,47,48
16:00,2640,Trayvon Reed Block.,47,48
15:57,2640,Kevin Scott Defensive Rebound.,47,48
15:48,2640,Demontrae Jefferson missed Jumper.,47,48
15:48,2473,James Beck Defensive Rebound.,47,48
15:39,2473,Brailen Neely made Jumper.,47,50
15:26,2640,Derrick Bruce made Jumper.,49,50
15:25,2640,Foul on Trayvon Reed.,49,50
15:25,2473,Official TV Timeout,49,50
15:14,2473,Nick Daniels missed Three Point Jumper.,49,50
15:14,2640,Texas Southern Defensive Rebound.,49,50
15:03,2640,Demontrae Jefferson missed Layup.,49,50
15:03,2473,Martez Walker Block.,49,50
15:00,2473,Isaiah Brock Defensive Rebound.,49,50
14:57,2473,Nick Daniels missed Layup.,49,50
14:57,2473,Isaiah Brock Offensive Rebound.,49,50
14:52,2473,Isaiah Brock missed Layup.,49,50
14:52,2640,Derrick Bruce Defensive Rebound.,49,50
14:47,2640,Kevin Scott made Jumper. Assisted by Derrick Bruce.,51,50
14:25,2640,Foul on Derrick Bruce.,51,50
14:25,2473,Jalen Hayes made Free Throw.,51,51
14:25,2473,Jalen Hayes made Free Throw.,51,52
14:13,2640,Donte Clark missed Jumper.,51,52
14:13,2473,Isaiah Brock Block.,51,52
14:11,2473,Brailen Neely Defensive Rebound.,51,52
14:04,2473,Jalen Hayes made Jumper. Assisted by Jaevin Cumberland.,51,54
13:44,2640,Donte Clark made Jumper. Assisted by Demontrae Jefferson.,53,54
13:15,2473,Martez Walker Turnover.,53,54
13:07,2640,Demontrae Jefferson made Layup.,55,54
12:48,2473,Martez Walker missed Three Point Jumper.,55,54
12:48,2640,Donte Clark Block.,55,54
12:47,2640,Donte Clark Defensive Rebound.,55,54
12:47,2473,Foul on Martez Walker.,55,54
12:33,2640,Donte Clark missed Three Point Jumper.,55,54
12:33,2473,Jalen Hayes Defensive Rebound.,55,54
12:26,2473,Martez Walker made Layup. Assisted by Brailen Neely.,55,56
11:58,2640,Donte Clark Turnover.,55,56
11:56,2473,Jaevin Cumberland Steal.,55,56
11:32,2473,Martez Walker missed Layup.,55,56
11:32,2640,Trayvon Reed Block.,55,56
11:28,2640,Demontrae Jefferson Defensive Rebound.,55,56
11:26,2640,Demontrae Jefferson made Layup.,57,56
11:18,2473,Martez Walker made Three Point Jumper. Assisted by Brailen Neely.,57,59
10:55,2640,Demontrae Jefferson missed Jumper.,57,59
10:55,2473,Martez Walker Block.,57,59
10:52,2473,Isaiah Brock Defensive Rebound.,57,59
10:48,2473,Jalen Hayes made Layup. Assisted by Martez Walker.,57,61
10:43,2640,Texas Southern  Timeout,57,61
10:43,2640,Texas Southern  Timeout,57,61
10:27,2640,Donte Clark missed Jumper.,57,61
10:27,2640,Trayvon Reed Offensive Rebound.,57,61
10:21,2640,Trayvon Reed made Dunk.,59,61
10:07,2473,Jalen Hayes missed Jumper.,59,61
10:07,2640,Trayvon Reed Defensive Rebound.,59,61
9:59,2640,Derrick Bruce missed Three Point Jumper.,59,61
9:59,2473,Jalen Hayes Defensive Rebound.,59,61
9:48,2473,Martez Walker made Layup.,59,63
9:48,2640,Foul on Trayvon Reed.,59,63
9:48,2473,Official TV Timeout,59,63
9:47,2473,Martez Walker made Free Throw.,59,64
9:28,2640,Kevin Scott missed Three Point Jumper.,59,64
9:28,2473,Jalen Hayes Defensive Rebound.,59,64
9:19,2473,Nick Daniels made Layup. Assisted by Brailen Neely.,59,66
9:19,2640,Foul on Kevin Scott.,59,66
9:19,2473,Nick Daniels made Free Throw.,59,67
9:11,2640,Donte Clark Turnover.,59,67
9:10,2473,Martez Walker Steal.,59,67
9:01,2640,Foul on Demontrae Jefferson.,59,67
9:01,2640,Technical Foul on Demontrae Jefferson.,59,67
9:01,2640,Foul on Demontrae Jefferson.,59,67
9:01,2473,Nick Daniels missed Free Throw.,59,67
9:01,2473,Oakland Deadball Team Rebound.,59,67
9:01,2473,Nick Daniels made Free Throw.,59,68
8:56,2473,Nick Daniels made Three Point Jumper. Assisted by Brailen Neely.,59,71
8:34,2640,Donte Clark made Jumper.,61,71
8:11,2640,Foul on Lamont Walker.,61,71
8:11,2473,James Beck made Free Throw.,61,72
8:11,2473,James Beck made Free Throw.,61,73
8:02,2473,Foul on James Beck.,61,73
8:02,2640,Donte Clark made Free Throw.,62,73
8:02,2640,Donte Clark made Free Throw.,63,73
7:51,2473,Nick Daniels made Three Point Jumper. Assisted by Brailen Neely.,63,76
7:24,2640,Derrick Bruce made Three Point Jumper. Assisted by Brian Carey.,66,76
6:55,2473,Brailen Neely made Three Point Jumper. Assisted by James Beck.,66,79
6:40,2640,Lamont Walker made Layup. Assisted by Derrick Bruce.,68,79
6:16,2473,Jalen Hayes made Layup. Assisted by Brailen Neely.,68,81
6:01,2640,Trayvon Reed made Jumper. Assisted by Donte Clark.,70,81
6:01,2473,Foul on James Beck.,70,81
6:01,2473,Official TV Timeout,70,81
6:01,2640,Trayvon Reed missed Free Throw.,70,81
6:01,2473,Jalen Hayes Defensive Rebound.,70,81
5:43,2473,Brailen Neely missed Three Point Jumper.,70,81
5:43,2640,Divonte Lumpkin Defensive Rebound.,70,81
5:26,2473,Foul on Brailen Neely.,70,81
5:26,2473,Foul on Jalen Hayes.,70,81
5:16,2640,Donte Clark made Layup.,72,81
4:59,2473,James Beck missed Jumper.,72,81
4:59,2640,Lamont Walker Defensive Rebound.,72,81
4:50,2473,Foul on Martez Walker.,72,81
4:50,2640,Trayvon Reed made Free Throw.,73,81
4:50,2640,Trayvon Reed made Free Throw.,74,81
4:37,2640,Donte Clark missed Three Point Jumper.,74,81
4:37,2473,Jalen Hayes Defensive Rebound.,74,81
4:20,2473,Brailen Neely Turnover.,74,81
4:20,2640,Divonte Lumpkin Steal.,74,81
4:04,2640,Donte Clark made Jumper. Assisted by Divonte Lumpkin.,76,81
3:47,2473,Jalen Hayes made Dunk. Assisted by Brailen Neely.,76,83
3:47,2473,Oakland  Timeout,76,83
3:47,2473,Official TV Timeout,76,83
3:33,2640,Donte Clark missed Layup.,76,83
3:33,2640,Lamont Walker Offensive Rebound.,76,83
3:31,2473,Foul on Martez Walker.,76,83
3:31,2640,Lamont Walker missed Free Throw.,76,83
3:31,2473,Jalen Hayes Defensive Rebound.,76,83
3:14,2640,Brian Carey Turnover.,76,83
3:14,2473,Nick Daniels Turnover.,76,83
3:14,2640,Derrick Bruce Turnover.,76,83
3:14,2640,Donte Clark Steal.,76,83
2:44,2640,Donte Clark missed Three Point Jumper.,76,83
2:44,2473,Isaiah Brock Defensive Rebound.,76,83
2:38,2640,Foul on Divonte Lumpkin.,76,83
2:38,2473,Martez Walker made Free Throw.,76,84
2:38,2473,Martez Walker made Free Throw.,76,85
2:29,2640,Demontrae Jefferson missed Three Point Jumper.,76,85
2:29,2640,Demontrae Jefferson Offensive Rebound.,76,85
2:19,2640,Marquis Salmon missed Layup.,76,85
2:19,2473,Isaiah Brock Block.,76,85
2:16,2640,Demontrae Jefferson Offensive Rebound.,76,85
2:13,2640,Demontrae Jefferson made Layup.,78,85
2:13,2640,Texas Southern  Timeout,78,85
2:00,2473,Martez Walker missed Three Point Jumper.,78,85
2:00,2473,Jalen Hayes Offensive Rebound.,78,85
1:44,2640,Foul on Demontrae Jefferson.,78,85
1:44,2473,Nick Daniels missed Free Throw.,78,85
1:44,2473,Oakland Deadball Team Rebound.,78,85
1:44,2473,Nick Daniels made Free Throw.,78,86
1:29,2640,Donte Clark made Jumper. Assisted by Kevin Scott.,80,86
1:15,2473,Martez Walker made Layup. Assisted by Nick Daniels.,80,88
1:06,2640,Divonte Lumpkin made Layup. Assisted by Brian Carey.,82,88
1:06,2473,Foul on Jalen Hayes.,82,88
1:06,2640,Divonte Lumpkin made Free Throw.,83,88
0:52,2640,Foul on Kevin Scott.,83,88
0:52,2473,Brailen Neely made Free Throw.,83,89
0:52,2473,Brailen Neely made Free Throw.,83,90
0:44,2473,Foul on Nick Daniels.,83,90
0:44,2640,Kevin Scott made Free Throw.,84,90
0:44,2640,Kevin Scott made Free Throw.,85,90
0:34,2640,Foul on Brian Carey.,85,90
0:34,2473,Brailen Neely made Free Throw.,85,91
0:34,2473,Brailen Neely made Free Throw.,85,92
0:25,2640,Kevin Scott made Layup.,87,92
0:23,2640,Foul on Brian Carey.,87,92
0:23,2473,Brailen Neely made Free Throw.,87,93
0:23,2473,Brailen Neely made Free Throw.,87,94
0:17,2640,Kevin Scott Turnover.,87,94
0:16,2473,Brailen Neely Steal.,87,94
0:15,2640,Foul on Divonte Lumpkin.,87,94
0:15,2473,Jalen Hayes made Free Throw.,87,95
0:15,2473,Jalen Hayes made Free Throw.,87,96
0:10,2640,Donte Clark missed Three Point Jumper.,87,96
0:10,2473,Nick Daniels Defensive Rebound.,87,96
0:06,2640,Foul on Kevin Scott.,87,96
0:06,2473,Nick Daniels missed Free Throw.,87,96
0:06,2473,Oakland Deadball Team Rebound.,87,96
0:06,2473,Nick Daniels made Free Throw.,87,97
0:03,2640,Kevin Scott missed Three Point Jumper.,87,97
0:03,2473,Jaevin Cumberland Defensive Rebound.,87,97
0:00,2473,End of Game,87,97
