UT Rio Grande Valley,245,Texas A&amp;M,292
3:43,245,DJ Hogg Defensive Rebound.,20,37
3:32,245,Tyler Davis made Layup. Assisted by Admon Gilder.,20,39
3:24,245,Foul on Tyler Davis.,20,39
3:24,245,Official TV Timeout,20,39
3:24,292,Moe McDonald made Free Throw.,21,39
3:24,292,Moe McDonald made Free Throw.,22,39
3:05,245,Tonny Trocha-Morelos Turnover.,22,39
2:41,292,Xavier McDaniel Jr. missed Jumper.,22,39
2:41,245,DJ Hogg Defensive Rebound.,22,39
2:32,245,Foul on DJ Hogg.,22,39
2:32,245,DJ Hogg Turnover.,22,39
2:16,292,Greg Bowie made Jumper.,24,39
1:57,245,Tonny Trocha-Morelos missed Jumper.,24,39
1:57,245,Jay Jay Chandler Offensive Rebound.,24,39
1:47,292,Foul on Xavier McDaniel Jr..,24,39
1:47,245,Tonny Trocha-Morelos missed Free Throw.,24,39
1:47,245,Texas A&M Deadball Team Rebound.,24,39
1:47,245,Tonny Trocha-Morelos made Free Throw.,24,40
1:17,292,Lew Stallworth made Three Point Jumper. Assisted by Javon Levi.,27,40
0:59,245,Tonny Trocha-Morelos missed Layup.,27,40
0:59,292,Xavier McDaniel Jr. Block.,27,40
0:56,292,Lew Stallworth Defensive Rebound.,27,40
0:52,292,Javon Levi Turnover.,27,40
0:50,245,JJ Caldwell Steal.,27,40
0:47,245,TJ Starks missed Three Point Jumper.,27,40
0:47,292,Xavier McDaniel Jr. Defensive Rebound.,27,40
0:28,245,Foul on Isiah Jasey.,27,40
0:28,292,Javon Levi made Free Throw.,28,40
0:28,292,Javon Levi missed Free Throw.,28,40
0:28,245,Tonny Trocha-Morelos Defensive Rebound.,28,40
0:04,245,TJ Starks missed Layup.,28,40
0:04,292,Greg Bowie Defensive Rebound.,28,40
0:00,245,End of 1st half,28,40
19:52,245,Foul on Admon Gilder.,28,40
19:45,292,Nick Dixon made Layup. Assisted by Moe McDonald.,30,40
19:21,292,Foul on Xavier McDaniel Jr..,30,40
19:21,245,Robert Williams missed Free Throw.,30,40
19:21,245,Texas A&M Deadball Team Rebound.,30,40
19:21,245,Robert Williams missed Free Throw.,30,40
19:21,292,Xavier McDaniel Jr. Defensive Rebound.,30,40
19:06,292,Lesley Varner Jr. missed Jumper.,30,40
19:06,245,DJ Hogg Defensive Rebound.,30,40
18:56,245,DJ Hogg Turnover.,30,40
18:54,292,Lesley Varner Jr. Steal.,30,40
18:51,292,Xavier McDaniel Jr. made Dunk. Assisted by Nick Dixon.,32,40
18:45,292,Foul on Moe McDonald.,32,40
18:45,245,Admon Gilder missed Free Throw.,32,40
18:45,245,Texas A&M Deadball Team Rebound.,32,40
18:45,245,Admon Gilder made Free Throw.,32,41
18:31,292,Nick Dixon missed Layup.,32,41
18:31,245,DJ Hogg Block.,32,41
18:28,245,DJ Hogg Defensive Rebound.,32,41
18:22,292,Foul on Xavier McDaniel Jr..,32,41
18:18,245,Tyler Davis made Layup. Assisted by Duane Wilson.,32,43
17:56,292,Adonis Rwabigwi missed Jumper.,32,43
17:56,245,DJ Hogg Defensive Rebound.,32,43
17:49,245,Duane Wilson missed Three Point Jumper.,32,43
17:49,292,Moe McDonald Defensive Rebound.,32,43
17:41,292,Nick Dixon missed Three Point Jumper.,32,43
17:41,245,DJ Hogg Defensive Rebound.,32,43
17:33,245,Tyler Davis made Dunk. Assisted by Admon Gilder.,32,45
17:20,245,Foul on DJ Hogg.,32,45
17:01,292,Lesley Varner Jr. missed Three Point Jumper.,32,45
17:01,292,UT Rio Grande Valley Offensive Rebound.,32,45
16:42,292,Mike Hoffman missed Three Point Jumper.,32,45
16:42,292,Adonis Rwabigwi Offensive Rebound.,32,45
16:34,292,Adonis Rwabigwi missed Layup.,32,45
16:34,245,DJ Hogg Defensive Rebound.,32,45
16:17,245,Admon Gilder made Three Point Jumper. Assisted by Robert Williams.,32,48
16:08,292,Nick Dixon missed Jumper.,32,48
16:08,245,Admon Gilder Defensive Rebound.,32,48
15:58,245,DJ Hogg missed Three Point Jumper.,32,48
15:58,292,Nick Dixon Defensive Rebound.,32,48
15:45,292,Adonis Rwabigwi missed Jumper.,32,48
15:45,245,Tyler Davis Block.,32,48
15:42,245,Admon Gilder Defensive Rebound.,32,48
15:37,292,Foul on Adonis Rwabigwi.,32,48
15:37,245,Official TV Timeout,32,48
15:22,245,Tyler Davis Turnover.,32,48
15:20,292,Javon Levi Steal.,32,48
15:04,245,Foul on Tyler Davis.,32,48
15:04,292,Dan Kimasa made Free Throw.,33,48
15:04,292,Dan Kimasa made Free Throw.,34,48
14:45,245,Tonny Trocha-Morelos missed Jumper.,34,48
14:45,292,UT Rio Grande Valley Defensive Rebound.,34,48
14:17,292,Mike Hoffman missed Jumper.,34,48
14:17,292,Dan Kimasa Offensive Rebound.,34,48
14:12,292,Mike Hoffman missed Jumper.,34,48
14:12,292,Dan Kimasa Offensive Rebound.,34,48
14:04,292,Lesley Varner Jr. made Three Point Jumper. Assisted by Javon Levi.,37,48
13:35,245,Duane Wilson missed Jumper.,37,48
13:35,245,DJ Hogg Offensive Rebound.,37,48
13:33,245,DJ Hogg missed Layup.,37,48
13:33,292,Lesley Varner Jr. Defensive Rebound.,37,48
13:21,245,Foul on Robert Williams.,37,48
13:21,292,Mike Hoffman made Free Throw.,38,48
13:21,292,Mike Hoffman made Free Throw.,39,48
13:21,292,Mike Hoffman missed Free Throw.,39,48
13:21,245,Robert Williams Defensive Rebound.,39,48
12:56,245,Savion Flagg missed Three Point Jumper.,39,48
12:56,245,Robert Williams Offensive Rebound.,39,48
12:46,245,Tonny Trocha-Morelos made Dunk. Assisted by Admon Gilder.,39,50
12:40,292,Dan Kimasa made Layup. Assisted by Javon Levi.,41,50
12:28,245,Texas A&M  Timeout,41,50
12:16,245,Savion Flagg Turnover.,41,50
12:15,292,Dan Kimasa Steal.,41,50
12:10,292,Mike Hoffman missed Three Point Jumper.,41,50
12:10,245,Admon Gilder Defensive Rebound.,41,50
11:53,245,Tyler Davis made Jumper.,41,52
11:35,292,Dan Kimasa made Jumper. Assisted by Greg Bowie.,43,52
11:25,292,Foul on Dan Kimasa.,43,52
11:25,245,Official TV Timeout,43,52
11:25,245,Tonny Trocha-Morelos made Free Throw.,43,53
11:25,245,Tonny Trocha-Morelos missed Free Throw.,43,53
11:25,292,Dan Kimasa Defensive Rebound.,43,53
11:14,292,Dan Kimasa Turnover.,43,53
10:58,245,Savion Flagg Turnover.,43,53
10:44,292,Dan Kimasa made Jumper. Assisted by Xavier McDaniel Jr..,45,53
10:25,245,Jay Jay Chandler missed Three Point Jumper.,45,53
10:25,292,Dan Kimasa Defensive Rebound.,45,53
10:04,245,Foul on Jay Jay Chandler.,45,53
10:01,292,Mike Hoffman missed Jumper.,45,53
10:01,245,Tonny Trocha-Morelos Defensive Rebound.,45,53
9:47,245,Tonny Trocha-Morelos missed Jumper.,45,53
9:47,292,Nick Dixon Defensive Rebound.,45,53
9:29,292,Dan Kimasa missed Layup.,45,53
9:29,245,Tyler Davis Defensive Rebound.,45,53
8:57,292,Foul on Dan Kimasa.,45,53
8:57,245,Tyler Davis missed Free Throw.,45,53
8:57,245,Texas A&M Deadball Team Rebound.,45,53
8:57,245,Tyler Davis made Free Throw.,45,54
8:34,292,Nick Dixon made Three Point Jumper. Assisted by Lew Stallworth.,48,54
8:07,245,DJ Hogg made Layup.,48,56
8:07,292,Foul on Mike Hoffman.,48,56
8:07,245,DJ Hogg made Free Throw.,48,57
7:48,245,Foul on Jay Jay Chandler.,48,57
7:48,245,Official TV Timeout,48,57
7:30,292,Mike Hoffman made Jumper. Assisted by Lew Stallworth.,50,57
7:13,245,Tonny Trocha-Morelos made Dunk. Assisted by Tyler Davis.,50,59
6:57,292,John Crnogorac Turnover.,50,59
6:55,245,Jay Jay Chandler Steal.,50,59
6:54,292,Foul on Lew Stallworth.,50,59
6:54,245,Jay Jay Chandler made Free Throw.,50,60
6:54,245,Jay Jay Chandler made Free Throw.,50,61
6:30,292,Lew Stallworth missed Three Point Jumper.,50,61
6:30,245,Robert Williams Defensive Rebound.,50,61
6:08,245,DJ Hogg made Three Point Jumper. Assisted by Duane Wilson.,50,64
5:40,292,Nick Dixon missed Three Point Jumper.,50,64
5:40,245,Robert Williams Defensive Rebound.,50,64
5:20,245,Tyler Davis made Layup. Assisted by Duane Wilson.,50,66
5:20,292,Foul on Dan Kimasa.,50,66
5:20,245,Tyler Davis missed Free Throw.,50,66
5:20,292,Greg Bowie Defensive Rebound.,50,66
5:17,292,UT Rio Grande Valley  Timeout,50,66
5:08,292,Mike Hoffman made Jumper. Assisted by Lew Stallworth.,52,66
4:38,245,Duane Wilson missed Three Point Jumper.,52,66
4:38,245,Robert Williams Offensive Rebound.,52,66
4:35,292,Foul on Dan Kimasa.,52,66
4:35,245,Robert Williams made Free Throw.,52,67
4:35,245,Robert Williams made Free Throw.,52,68
4:12,292,Greg Bowie missed Three Point Jumper.,52,68
4:12,292,Nick Dixon Offensive Rebound.,52,68
4:08,292,Nick Dixon made Jumper.,54,68
3:48,245,Admon Gilder made Three Point Jumper. Assisted by Duane Wilson.,54,71
3:18,292,Lew Stallworth missed Three Point Jumper.,54,71
3:18,245,DJ Hogg Defensive Rebound.,54,71
3:04,245,DJ Hogg missed Three Point Jumper.,54,71
3:04,245,Tyler Davis Offensive Rebound.,54,71
2:55,245,DJ Hogg made Three Point Jumper. Assisted by Duane Wilson.,54,74
2:44,292,UT Rio Grande Valley  Timeout,54,74
2:33,292,Xavier McDaniel Jr. made Jumper. Assisted by Nick Dixon.,56,74
2:24,245,Admon Gilder Turnover.,56,74
2:22,292,Mike Hoffman Steal.,56,74
2:19,292,Nick Dixon missed Layup.,56,74
2:19,245,Robert Williams Defensive Rebound.,56,74
2:13,245,Admon Gilder missed Jumper.,56,74
2:13,245,Admon Gilder Offensive Rebound.,56,74
2:09,245,Admon Gilder missed Layup.,56,74
2:09,292,Xavier McDaniel Jr. Block.,56,74
2:06,292,Mike Hoffman Defensive Rebound.,56,74
2:00,292,Greg Bowie missed Jumper.,56,74
2:00,245,Robert Williams Defensive Rebound.,56,74
1:41,292,Foul on Javon Levi.,56,74
1:41,245,Admon Gilder made Free Throw.,56,75
1:41,245,Admon Gilder made Free Throw.,56,76
1:15,292,Xavier McDaniel Jr. missed Jumper.,56,76
1:15,292,Nick Dixon Offensive Rebound.,56,76
1:10,292,Nick Dixon made Jumper.,58,76
0:38,245,Chris Collins missed Three Point Jumper.,58,76
0:38,292,Mike Hoffman Defensive Rebound.,58,76
0:32,292,Javon Levi Turnover.,58,76
0:30,245,Jay Jay Chandler Steal.,58,76
0:28,245,Jay Jay Chandler made Layup.,58,78
0:19,292,Mike Hoffman made Jumper. Assisted by Nick Dixon.,60,78
0:00,245,End of Game,60,78
