South Dakota,140,UMKC,233
1:02,233,Trey Burch-Manning missed Layup.,31,28
1:02,140,Tony Jackson Block.,31,28
1:00,233,Trey Burch-Manning Offensive Rebound.,31,28
0:48,233,Trey Burch-Manning made Layup.,33,28
0:35,140,Tony Jackson missed Jumper.,33,28
0:35,233,Trey Burch-Manning Defensive Rebound.,33,28
0:26,233,South Dakota  Timeout,33,28
0:07,233,Nick Fuller made Layup.,35,28
0:07,140,Foul on Jordan Giles.,35,28
0:07,233,Nick Fuller made Free Throw.,36,28
0:03,233,Foul on Triston Simpson.,36,28
0:03,140,Xavier Bishop made Free Throw.,36,29
0:03,140,Xavier Bishop made Free Throw.,36,30
0:03,140,UMKC  Timeout,36,30
0:00,140,End of 1st half,36,30
19:44,140,Xavier Bishop missed Three Point Jumper.,36,30
19:44,233,Matt Mooney Defensive Rebound.,36,30
19:23,233,Triston Simpson missed Three Point Jumper.,36,30
19:23,140,Jordan Giles Defensive Rebound.,36,30
19:11,140,Broderick Robinson missed Jumper.,36,30
19:11,233,Carlton Hurst Defensive Rebound.,36,30
18:59,233,Matt Mooney made Layup.,38,30
18:38,140,Isaiah Ross missed Jumper.,38,30
18:38,233,Trey Burch-Manning Defensive Rebound.,38,30
18:18,233,Trey Burch-Manning missed Jumper.,38,30
18:18,233,Tyler Hagedorn Offensive Rebound.,38,30
18:09,233,Triston Simpson missed Jumper.,38,30
18:09,140,Aleer Leek Defensive Rebound.,38,30
18:01,140,Broderick Robinson missed Three Point Jumper.,38,30
18:01,140,Jordan Giles Offensive Rebound.,38,30
17:57,233,Foul on Triston Simpson.,38,30
17:57,140,Jordan Giles missed Free Throw.,38,30
17:57,140,UMKC Deadball Team Rebound.,38,30
17:57,140,Jordan Giles made Free Throw.,38,31
17:41,233,Matt Mooney missed Layup.,38,31
17:41,233,Tyler Hagedorn Offensive Rebound.,38,31
17:40,233,Tyler Hagedorn missed Two Point Tip Shot.,38,31
17:40,140,Jordan Giles Defensive Rebound.,38,31
17:39,233,Foul on Trey Burch-Manning.,38,31
17:26,233,Foul on Tyler Hagedorn.,38,31
17:26,140,Aleer Leek missed Free Throw.,38,31
17:26,140,UMKC Deadball Team Rebound.,38,31
