Memphis,5,UAB,235
2:18,235,Kyvon Davenport missed Jumper.,19,34
2:18,5,Chris Cokley Defensive Rebound.,19,34
1:51,5,Nate Darling missed Three Point Jumper.,19,34
1:51,235,Raynere Thornton Defensive Rebound.,19,34
1:34,235,Kyvon Davenport Turnover.,19,34
1:10,5,Zack Bryant missed Jumper.,19,34
1:10,235,Kareem Brewton Jr. Defensive Rebound.,19,34
1:07,5,Foul on Lewis Sullivan.,19,34
1:07,235,Technical Foul on David Nickelberry.,19,34
1:07,235,Foul on David Nickelberry.,19,34
1:07,5,Nick Norton missed Free Throw.,19,34
1:07,5,UAB Deadball Team Rebound.,19,34
1:07,5,Nick Norton made Free Throw.,19,35
1:07,235,David Nickelberry missed Free Throw.,19,35
1:07,5,Deion Lavender Defensive Rebound.,19,35
0:52,5,Deion Lavender made Layup.,19,37
0:44,235,Malik Rhodes Turnover.,19,37
0:42,5,Jalen Perry Steal.,19,37
0:38,5,Jalen Perry made Layup.,19,39
0:38,235,Foul on Kareem Brewton Jr..,19,39
0:38,5,Jalen Perry made Free Throw.,19,40
0:21,235,Jeremiah Martin made Layup.,21,40
0:03,5,Zack Bryant missed Jumper.,21,40
0:03,235,Jamal Johnson Defensive Rebound.,21,40
0:00,5,End of 1st half,21,40
19:32,5,Chris Cokley missed Jumper.,21,40
19:32,235,Jimario Rivers Defensive Rebound.,21,40
19:15,235,Jimario Rivers missed Layup.,21,40
19:15,235,Kareem Brewton Jr. Offensive Rebound.,21,40
19:09,235,Kareem Brewton Jr. missed Layup.,21,40
19:09,5,Chris Cokley Block.,21,40
19:06,235,Mike Parks Jr. Offensive Rebound.,21,40
19:03,235,Mike Parks Jr. made Layup.,23,40
18:47,5,Zack Bryant made Jumper. Assisted by Nick Norton.,23,42
18:36,5,Foul on Chris Cokley.,23,42
18:36,235,Jimario Rivers missed Layup.,23,42
18:36,5,Nate Darling Block.,23,42
18:36,235,Memphis Offensive Rebound.,23,42
18:15,235,Jeremiah Martin made Three Point Jumper.,26,42
17:42,235,Foul on Jimario Rivers.,26,42
17:42,5,Chris Cokley made Free Throw.,26,43
17:42,5,Chris Cokley made Free Throw.,26,44
17:37,235,Kyvon Davenport Turnover.,26,44
17:19,5,William Lee made Jumper.,26,46
17:10,235,Kyvon Davenport made Three Point Jumper. Assisted by Jeremiah Martin.,29,46
16:53,235,Foul on Mike Parks Jr..,29,46
16:51,5,Nick Norton missed Jumper.,29,46
16:51,235,Raynere Thornton Defensive Rebound.,29,46
16:42,235,Kareem Brewton Jr. Turnover.,29,46
16:27,5,Chris Cokley made Jumper. Assisted by Nate Darling.,29,48
16:26,235,Foul on Mike Parks Jr..,29,48
16:26,5,Chris Cokley made Free Throw.,29,49
16:13,235,Jeremiah Martin missed Three Point Jumper.,29,49
16:13,5,Lewis Sullivan Defensive Rebound.,29,49
16:02,5,Zack Bryant made Jumper.,29,51
15:55,5,Foul on Zack Bryant.,29,51
15:55,5,Official TV Timeout,29,51
15:52,5,Foul on Lewis Sullivan.,29,51
15:52,235,Jeremiah Martin made Free Throw.,30,51
15:52,235,Jeremiah Martin missed Free Throw.,30,51
15:52,5,Nate Darling Defensive Rebound.,30,51
15:31,5,Jalen Perry made Three Point Jumper. Assisted by Chris Cokley.,30,54
15:20,235,Kyvon Davenport made Three Point Jumper. Assisted by Kareem Brewton Jr..,33,54
15:03,5,Zack Bryant missed Three Point Jumper.,33,54
15:03,235,Raynere Thornton Defensive Rebound.,33,54
14:42,235,Kareem Brewton Jr. made Jumper.,35,54
14:12,5,Zack Bryant missed Jumper.,35,54
14:12,235,Victor Enoh Defensive Rebound.,35,54
14:03,235,Jeremiah Martin missed Layup.,35,54
14:03,235,Jeremiah Martin Offensive Rebound.,35,54
13:58,235,Jeremiah Martin Turnover.,35,54
13:57,5,Zack Bryant Steal.,35,54
13:35,5,William Lee missed Three Point Jumper.,35,54
13:35,5,Chris Cokley Offensive Rebound.,35,54
13:29,5,Jalen Perry made Jumper. Assisted by Chris Cokley.,35,56
13:03,235,Victor Enoh missed Jumper.,35,56
13:03,5,Jalen Perry Defensive Rebound.,35,56
12:41,5,Jalen Perry missed Layup.,35,56
12:41,5,Jalen Perry Offensive Rebound.,35,56
12:36,5,Jalen Perry missed Jumper.,35,56
12:36,235,Kyvon Davenport Block.,35,56
12:36,235,Memphis Defensive Rebound.,35,56
12:30,235,Kyvon Davenport made Three Point Jumper. Assisted by Jamal Johnson.,38,56
12:10,5,Nate Darling made Layup.,38,58
11:44,235,Kyvon Davenport Turnover.,38,58
11:44,235,Foul on Kyvon Davenport.,38,58
11:44,5,Official TV Timeout,38,58
11:11,5,William Lee missed Jumper.,38,58
11:11,235,Memphis Defensive Rebound.,38,58
11:08,5,Foul on Makhtar Gueye.,38,58
10:58,235,Kyvon Davenport missed Layup.,38,58
10:58,5,William Lee Defensive Rebound.,38,58
10:29,5,Nick Norton missed Three Point Jumper.,38,58
10:29,235,David Nickelberry Defensive Rebound.,38,58
10:09,235,Malik Rhodes missed Three Point Jumper.,38,58
10:09,5,William Lee Defensive Rebound.,38,58
9:42,5,Makhtar Gueye missed Three Point Jumper.,38,58
9:42,235,Memphis Defensive Rebound.,38,58
9:21,235,Kyvon Davenport missed Three Point Jumper.,38,58
9:21,235,Victor Enoh Offensive Rebound.,38,58
9:16,235,Victor Enoh made Layup.,40,58
8:52,235,Foul on Malik Rhodes.,40,58
8:44,5,William Lee missed Jumper.,40,58
8:44,235,Raynere Thornton Defensive Rebound.,40,58
8:44,235,Jamal Johnson made Three Point Jumper. Assisted by Victor Enoh.,43,58
8:40,5,Jalen Perry missed Jumper.,43,58
8:40,235,Jeremiah Martin Defensive Rebound.,43,58
8:22,235,Jeremiah Martin made Layup.,45,58
8:12,5,Official TV Timeout,45,58
7:21,235,Foul on Jamal Johnson.,45,58
7:18,5,Nate Darling made Free Throw.,45,59
7:18,5,Nate Darling made Free Throw.,45,60
7:09,235,Jeremiah Martin made Three Point Jumper.,48,60
6:42,5,Zack Bryant made Dunk. Assisted by Chris Cokley.,48,62
6:29,235,Jeremiah Martin made Layup.,50,62
6:08,235,Foul on Jimario Rivers.,50,62
6:08,5,Deion Lavender made Free Throw.,50,63
6:08,5,Deion Lavender made Free Throw.,50,64
5:52,5,Foul on Deion Lavender.,50,64
5:47,235,Jeremiah Martin Turnover.,50,64
5:40,235,Foul on Jeremiah Martin.,50,64
5:40,5,Nate Darling made Free Throw.,50,65
5:40,5,Nate Darling missed Free Throw.,50,65
5:40,5,UAB Deadball Team Rebound.,50,65
5:40,235,Technical Foul on Jeremiah Martin.,50,64
5:23,5,Chris Cokley missed Layup.,50,65
5:23,235,Jamal Johnson Defensive Rebound.,50,65
5:02,235,Malik Rhodes missed Three Point Jumper.,50,65
5:02,235,Kyvon Davenport Offensive Rebound.,50,65
4:57,235,Kyvon Davenport missed Layup.,50,65
4:57,5,Zack Bryant Block.,50,65
4:54,5,Chris Cokley Defensive Rebound.,50,65
4:37,5,Zack Bryant missed Layup.,50,65
4:37,235,Kyvon Davenport Block.,50,65
4:34,5,UAB Offensive Rebound.,50,65
4:29,5,UAB  Turnover.,50,65
4:09,235,Jamal Johnson missed Three Point Jumper.,50,65
4:09,235,Kyvon Davenport Offensive Rebound.,50,65
4:04,5,Foul on William Lee.,50,65
4:04,235,Kyvon Davenport missed Free Throw.,50,65
4:04,235,Memphis Deadball Team Rebound.,50,65
4:04,235,Kyvon Davenport made Free Throw.,51,65
3:37,5,Nate Darling missed Layup.,51,65
3:37,5,William Lee Offensive Rebound.,51,65
3:33,235,Jeremiah Martin missed Jumper.,51,65
3:33,5,Jalen Perry Defensive Rebound.,51,65
3:31,5,William Lee Turnover.,51,65
3:30,5,Official TV Timeout,51,65
3:23,235,Foul on Kareem Brewton Jr..,51,65
3:23,5,Nick Norton made Free Throw.,51,66
3:23,5,Nick Norton made Free Throw.,51,67
3:14,235,Kyvon Davenport missed Three Point Jumper.,51,67
3:14,5,Jalen Perry Defensive Rebound.,51,67
2:40,5,Jalen Perry missed Three Point Jumper.,51,67
2:40,5,UAB Offensive Rebound.,51,67
2:17,5,Jalen Perry missed Three Point Jumper.,51,67
2:17,235,Memphis Defensive Rebound.,51,67
1:49,235,Jeremiah Martin made Layup.,53,67
1:46,235,Memphis  Timeout,53,67
1:39,5,Nate Darling Turnover.,53,67
1:33,235,Jeremiah Martin missed Three Point Jumper.,53,67
1:33,235,Kyvon Davenport Offensive Rebound.,53,67
1:27,5,Foul on Jalen Perry.,53,67
1:27,235,Kyvon Davenport missed Free Throw.,53,67
1:27,5,Jalen Perry Defensive Rebound.,53,67
1:26,235,Foul on Kyvon Davenport.,53,67
1:26,5,Jalen Perry made Free Throw.,53,68
1:26,5,Jalen Perry made Free Throw.,53,69
1:14,235,Kyvon Davenport Turnover.,53,69
1:13,5,Jalen Perry Steal.,53,69
0:49,235,Foul on Jamal Johnson.,53,69
0:49,5,Makhtar Gueye made Free Throw.,53,70
0:49,5,Makhtar Gueye made Free Throw.,53,71
0:39,235,Jamal Johnson Turnover.,53,71
0:09,5,Zack Bryant missed Layup.,53,71
0:09,235,Jimario Rivers Block.,53,71
0:06,5,UAB Offensive Rebound.,53,71
0:06,5,UAB  Turnover.,53,71
0:03,235,Jeremiah Martin made Three Point Jumper.,56,71
0:00,5,End of Game,56,71
