Christendom,2428,North Carolina Central,111180
5:59,-1,Patrick Pennefather made Layup. Assisted by Michael Urankar.,30,100
5:37,2428,John Guerra missed Layup.,30,100
5:37,2428,Dominique Reid Offensive Rebound.,30,100
5:27,2428,Dominique Reid made Jumper. Assisted by Alston Jones.,30,102
5:04,-1,Michael Urankar made Jumper. Assisted by Johnny Echaniz.,32,102
4:51,2428,Alex Mills missed Jumper.,32,102
4:51,2428,Pablo Rivas Offensive Rebound.,32,102
4:49,-1,Foul on Patrick Pennefather.,32,102
4:49,2428,Official TV Timeout,32,102
4:49,2428,Pablo Rivas missed Free Throw.,32,102
4:49,2428,North Carolina Central Deadball Team Rebound.,32,102
4:49,2428,Pablo Rivas made Free Throw.,32,103
4:25,-1,Ian Heisler missed Three Point Jumper.,32,103
4:25,2428,Larry McKnight Jr. Defensive Rebound.,32,103
4:17,2428,Alex Mills missed Layup.,32,103
4:17,2428,Dominique Reid Offensive Rebound.,32,103
4:15,2428,Dominique Reid made Two Point Tip Shot.,32,105
4:00,-1,Stephen Buonocore Turnover.,32,105
3:58,2428,Larry McKnight Jr. Steal.,32,105
3:53,2428,Zacarry Douglas made Layup. Assisted by Alston Jones.,32,107
3:37,-1,Stephen Buonocore made Three Point Jumper. Assisted by Tommy Vander Woude.,35,107
3:10,2428,Larry McKnight Jr. made Layup. Assisted by Dominique Reid.,35,109
2:55,-1,Pete Day made Three Point Jumper. Assisted by Tommy Vander Woude.,38,109
2:19,2428,North Carolina Central  Turnover.,38,109
2:19,2428,Official TV Timeout,38,109
2:07,-1,John Bailey Turnover.,38,109
2:06,2428,John Guerra Steal.,38,109
2:03,2428,John Guerra made Layup.,38,111
1:51,-1,Tommy Vander Woude missed Layup.,38,111
1:51,2428,Zacarry Douglas Block.,38,111
1:49,2428,Dominique Reid Defensive Rebound.,38,111
1:45,2428,Dominique Reid made Dunk. Assisted by John Guerra.,38,113
1:31,-1,Michael Urankar missed Three Point Jumper.,38,113
1:31,2428,Dominique Reid Defensive Rebound.,38,113
1:00,2428,Alston Jones missed Jumper.,38,113
1:00,-1,Stephen Buonocore Defensive Rebound.,38,113
0:53,-1,Michael Urankar missed Layup.,38,113
0:53,2428,Zacarry Douglas Defensive Rebound.,38,113
0:25,2428,Zacarry Douglas made Three Point Jumper. Assisted by Alston Jones.,38,116
0:06,-1,Tommy Vander Woude missed Layup.,38,116
0:06,2428,Dominique Reid Defensive Rebound.,38,116
0:00,2428,End of Game,38,116
