Multnomah,Error,Portland,2501
14:11,2501,Tahirou Diabate Defensive Rebound.,11,14
13:57,2501,Philipp Hartwich made Layup.,11,16
13:57,-1,Foul on Jon Viles.,11,16
13:57,2501,Philipp Hartwich made Free Throw.,11,17
13:43,-1,Tyler Walker missed Three Point Jumper.,11,17
13:43,2501,Franklin Porter Defensive Rebound.,11,17
13:32,2501,Philipp Hartwich made Dunk. Assisted by Franklin Porter.,11,19
13:19,-1,Jon Viles missed Jumper.,11,19
13:19,2501,Philipp Hartwich Defensive Rebound.,11,19
13:08,2501,Franklin Porter made Jumper.,11,21
13:00,-1,Brett Blackstock missed Three Point Jumper.,11,21
13:00,2501,Philipp Hartwich Defensive Rebound.,11,21
12:54,-1,Foul on Brett Blackstock.,11,21
12:54,2501,Josh McSwiggan made Free Throw.,11,22
12:54,2501,Josh McSwiggan made Free Throw.,11,23
12:45,-1,DJ Ahana missed Three Point Jumper.,11,23
12:45,2501,Portland Defensive Rebound.,11,23
12:28,2501,JoJo Walker made Layup.,11,25
12:07,-1,Stephen Sedlock missed Layup.,11,25
12:07,2501,Philipp Hartwich Block.,11,25
12:06,-1,DJ Ahana Offensive Rebound.,11,25
12:01,-1,Jon Viles missed Jumper.,11,25
12:01,2501,Josh McSwiggan Defensive Rebound.,11,25
11:51,2501,Franklin Porter missed Three Point Jumper.,11,25
11:51,-1,Trey Fountain Defensive Rebound.,11,25
11:34,-1,Trey Fountain missed Jumper.,11,25
11:34,2501,Philipp Hartwich Defensive Rebound.,11,25
11:23,-1,Foul on Stephen Sedlock.,11,25
11:23,2501,Official TV Timeout,11,25
11:19,2501,Josh McSwiggan made Jumper.,11,27
11:03,-1,Foul on Darius Redrick.,11,27
11:03,-1,Darius Redrick Turnover.,11,27
10:51,2501,Josh McSwiggan missed Layup.,11,27
10:51,-1,Jon Viles Defensive Rebound.,11,27
10:44,-1,Jon Viles missed Three Point Jumper.,11,27
10:44,2501,Philipp Hartwich Defensive Rebound.,11,27
10:34,2501,Marcus Shaver Jr missed Three Point Jumper.,11,27
10:34,-1,Darius Redrick Defensive Rebound.,11,27
10:18,-1,Stephen Sedlock missed Three Point Jumper.,11,27
10:18,2501,Philipp Hartwich Defensive Rebound.,11,27
10:06,2501,Malcolm Porter made Layup.,11,29
9:47,-1,Darius Redrick Turnover.,11,29
9:46,2501,Josh McSwiggan Steal.,11,29
9:38,-1,Foul on DJ Ahana.,11,29
9:31,2501,Malcolm Porter missed Layup.,11,29
9:31,-1,Ben Grandle Defensive Rebound.,11,29
9:17,-1,Trey Fountain made Layup.,13,29
9:00,2501,Josh McSwiggan made Dunk.,13,31
8:44,-1,Trey Fountain missed Three Point Jumper.,13,31
8:44,2501,Marcus Shaver Jr Defensive Rebound.,13,31
8:37,2501,Josh McSwiggan made Three Point Jumper. Assisted by Marcus Shaver Jr.,13,34
8:26,-1,Ben Grandle missed Three Point Jumper.,13,34
8:26,-1,Darius Redrick Offensive Rebound.,13,34
8:22,-1,Brett Blackstock made Three Point Jumper. Assisted by Darius Redrick.,16,34
8:10,2501,Marcus Shaver Jr missed Layup.,16,34
8:10,-1,Ry Paulsen Defensive Rebound.,16,34
8:00,-1,Brett Blackstock missed Three Point Jumper.,16,34
8:00,2501,Josh McSwiggan Defensive Rebound.,16,34
7:48,2501,Malcolm Porter missed Layup.,16,34
7:48,-1,Brett Blackstock Defensive Rebound.,16,34
7:41,-1,Darius Redrick missed Layup.,16,34
7:41,2501,Joseph Smoyer Block.,16,34
7:39,2501,Joseph Smoyer Defensive Rebound.,16,34
7:32,2501,Malcolm Porter made Layup.,16,36
7:22,-1,Trey Fountain missed Three Point Jumper.,16,36
7:22,-1,Ben Grandle Offensive Rebound.,16,36
7:18,-1,Ben Grandle missed Layup.,16,36
7:18,2501,Joseph Smoyer Block.,16,36
7:17,-1,Ben Grandle Offensive Rebound.,16,36
7:12,-1,Ben Grandle missed Three Point Jumper.,16,36
7:12,2501,Portland Deadball Team Rebound.,16,36
7:09,2501,Official TV Timeout,16,36
6:57,2501,Joseph Smoyer Turnover.,16,36
6:56,-1,Ben Grandle Steal.,16,36
6:49,-1,Ry Paulsen made Three Point Jumper. Assisted by Tyler Walker.,19,36
6:20,2501,Malcolm Porter made Layup.,19,38
6:03,-1,Ry Paulsen missed Three Point Jumper.,19,38
6:03,2501,Malcolm Porter Defensive Rebound.,19,38
5:45,2501,Franklin Porter made Three Point Jumper. Assisted by Malcolm Porter.,19,41
5:26,-1,Trey Fountain missed Three Point Jumper.,19,41
5:26,-1,Ry Paulsen Offensive Rebound.,19,41
5:17,-1,Ry Paulsen missed Three Point Jumper.,19,41
5:17,2501,Malcolm Porter Defensive Rebound.,19,41
5:06,2501,Malcolm Porter Turnover.,19,41
4:50,2501,Foul on Franklin Porter.,19,41
4:44,-1,Ben Grandle made Three Point Jumper. Assisted by Trey Fountain.,22,41
4:27,2501,Marcus Shaver Jr made Jumper.,22,43
4:13,-1,Trey Fountain made Layup.,24,43
4:11,2501,Marcus Shaver Jr made Three Point Jumper.,24,46
3:49,-1,Ben Grandle made Three Point Jumper.,27,46
3:40,2501,Marcus Shaver Jr made Layup.,27,48
3:26,-1,Tyler Walker missed Three Point Jumper.,27,48
3:26,2501,Malcolm Porter Defensive Rebound.,27,48
3:04,2501,Joseph Smoyer missed Jumper.,27,48
3:04,-1,Ry Paulsen Defensive Rebound.,27,48
2:57,-1,Max Upchurch missed Three Point Jumper.,27,48
2:57,2501,Malcolm Porter Defensive Rebound.,27,48
2:50,2501,Franklin Porter missed Three Point Jumper.,27,48
2:50,2501,Josh McSwiggan Offensive Rebound.,27,48
2:38,2501,Joseph Smoyer made Layup. Assisted by Marcus Shaver Jr.,27,50
2:21,-1,Max Upchurch missed Jumper.,27,50
2:21,2501,Franklin Porter Defensive Rebound.,27,50
2:14,2501,Marcus Shaver Jr Turnover.,27,50
2:14,2501,Official TV Timeout,27,50
2:05,-1,Brett Blackstock Turnover.,27,50
2:04,2501,Marcus Shaver Jr Steal.,27,50
2:02,2501,Tahirou Diabate made Dunk. Assisted by Marcus Shaver Jr.,27,52
1:53,-1,Brett Blackstock Turnover.,27,52
1:52,2501,Tahirou Diabate Steal.,27,52
1:48,2501,Malcolm Porter missed Three Point Jumper.,27,52
1:48,-1,Ry Paulsen Defensive Rebound.,27,52
1:27,-1,Ry Paulsen made Three Point Jumper. Assisted by Brett Blackstock.,30,52
1:00,2501,Josh McSwiggan missed Three Point Jumper.,30,52
1:00,-1,Tyler Walker Defensive Rebound.,30,52
0:50,-1,Ry Paulsen missed Three Point Jumper.,30,52
0:50,2501,Franklin Porter Defensive Rebound.,30,52
0:42,2501,Marcus Shaver Jr missed Three Point Jumper.,30,52
0:42,2501,Franklin Porter Offensive Rebound.,30,52
0:31,2501,Malcolm Porter made Layup.,30,54
0:13,-1,Jon Viles missed Three Point Jumper.,30,54
0:13,2501,Josh McSwiggan Defensive Rebound.,30,54
0:02,2501,Portland  Timeout,30,54
0:02,2501,Franklin Porter made Layup. Assisted by Josh McSwiggan.,30,56
0:00,2501,End of 1st half,30,56
19:45,-1,Ben Grandle missed Jumper.,30,56
19:45,2501,Tahirou Diabate Defensive Rebound.,30,56
19:29,2501,Josh McSwiggan missed Jumper.,30,56
19:29,-1,Brett Blackstock Defensive Rebound.,30,56
19:21,-1,Brett Blackstock Turnover.,30,56
19:20,2501,Franklin Porter Steal.,30,56
19:19,2501,Franklin Porter made Layup.,30,58
19:01,-1,Brett Blackstock missed Three Point Jumper.,30,58
19:01,2501,Philipp Hartwich Defensive Rebound.,30,58
18:51,2501,Franklin Porter Turnover.,30,58
18:50,-1,Brett Blackstock Steal.,30,58
18:42,-1,Darius Redrick missed Jumper.,30,58
18:42,2501,Philipp Hartwich Defensive Rebound.,30,58
18:27,2501,Philipp Hartwich made Jumper.,30,60
18:14,-1,Beau Shockley missed Jumper.,30,60
18:14,2501,JoJo Walker Defensive Rebound.,30,60
17:53,2501,Tahirou Diabate missed Jumper.,30,60
17:53,-1,Ben Grandle Defensive Rebound.,30,60
17:39,-1,Darius Redrick made Layup.,32,60
17:22,-1,Foul on Beau Shockley.,32,60
17:22,2501,Philipp Hartwich missed Free Throw.,32,60
17:22,2501,Portland Deadball Team Rebound.,32,60
17:22,2501,Philipp Hartwich missed Free Throw.,32,60
17:22,-1,Beau Shockley Defensive Rebound.,32,60
17:12,-1,Beau Shockley missed Jumper.,32,60
17:12,-1,Ben Grandle Offensive Rebound.,32,60
17:09,-1,Ben Grandle made Jumper.,34,60
16:48,2501,Franklin Porter made Jumper.,34,62
16:38,-1,Ted Hilliard missed Jumper.,34,62
16:38,2501,Philipp Hartwich Defensive Rebound.,34,62
16:33,2501,Josh McSwiggan Turnover.,34,62
16:24,-1,Ben Grandle missed Three Point Jumper.,34,62
16:24,2501,JoJo Walker Defensive Rebound.,34,62
16:14,2501,JoJo Walker made Jumper.,34,64
15:54,-1,Trey Fountain made Jumper.,36,64
15:29,2501,Josh McSwiggan made Layup.,36,66
15:29,-1,Foul on Ben Grandle.,36,66
15:29,2501,Official TV Timeout,36,66
15:29,2501,Josh McSwiggan made Free Throw.,36,67
15:18,-1,Ted Hilliard missed Three Point Jumper.,36,67
15:18,2501,Franklin Porter Defensive Rebound.,36,67
15:02,2501,Josh McSwiggan missed Three Point Jumper.,36,67
15:02,-1,Multnomah University Deadball Team Rebound.,36,67
15:00,2501,Foul on Tahirou Diabate.,36,67
14:42,-1,Ted Hilliard made Layup.,38,67
14:28,2501,Philipp Hartwich made Layup.,38,69
14:18,-1,Ben Grandle made Jumper.,40,69
13:58,-1,Foul on Ben Grandle.,40,69
13:58,2501,Philipp Hartwich missed Free Throw.,40,69
13:58,2501,Portland Deadball Team Rebound.,40,69
13:58,2501,Philipp Hartwich made Free Throw.,40,70
13:28,-1,Jon Viles missed Jumper.,40,70
13:28,2501,Franklin Porter Defensive Rebound.,40,70
13:15,2501,Tahirou Diabate missed Jumper.,40,70
13:15,-1,DJ Ahana Defensive Rebound.,40,70
13:01,-1,Tyler Walker missed Layup.,40,70
13:01,2501,Josh McSwiggan Defensive Rebound.,40,70
12:54,2501,Franklin Porter made Three Point Jumper. Assisted by Marcus Shaver Jr.,40,73
12:41,-1,Jon Viles missed Jumper.,40,73
12:41,2501,Josh McSwiggan Defensive Rebound.,40,73
12:29,2501,Tahirou Diabate made Layup. Assisted by Josh McSwiggan.,40,75
12:13,-1,Ry Paulsen missed Three Point Jumper.,40,75
12:13,2501,Franklin Porter Defensive Rebound.,40,75
12:02,2501,Tahirou Diabate made Layup. Assisted by Franklin Porter.,40,77
11:42,2501,Foul on Tahirou Diabate.,40,77
11:42,2501,Official TV Timeout,40,77
11:42,-1,DJ Ahana made Free Throw.,41,77
11:42,-1,DJ Ahana made Free Throw.,42,77
11:28,2501,Josh McSwiggan made Three Point Jumper. Assisted by Malcolm Porter.,42,80
10:50,-1,Trey Fountain missed Layup.,42,80
10:50,2501,Malcolm Porter Defensive Rebound.,42,80
10:46,2501,Malcolm Porter missed Three Point Jumper.,42,80
10:46,-1,Trent Baker Defensive Rebound.,42,80
10:40,-1,Trent Baker made Layup.,44,80
10:40,2501,Foul on JoJo Walker.,44,80
10:40,-1,Trent Baker made Free Throw.,45,80
10:19,2501,JoJo Walker missed Three Point Jumper.,45,80
10:19,-1,Jon Viles Defensive Rebound.,45,80
10:09,-1,Darius Redrick Turnover.,45,80
9:56,2501,Franklin Porter made Layup.,45,82
9:38,-1,Jon Viles missed Jumper.,45,82
9:38,2501,Josh McSwiggan Defensive Rebound.,45,82
9:30,2501,Franklin Porter made Layup.,45,84
9:23,-1,Darius Redrick missed Three Point Jumper.,45,84
9:23,2501,Franklin Porter Defensive Rebound.,45,84
9:15,2501,Marcus Shaver Jr made Layup.,45,86
9:01,2501,Foul on Marcus Shaver Jr.,45,86
8:56,-1,Darius Redrick missed Three Point Jumper.,45,86
8:56,-1,Trey Fountain Offensive Rebound.,45,86
8:51,-1,Brett Blackstock missed Three Point Jumper.,45,86
8:51,2501,Austin Stone Defensive Rebound.,45,86
8:38,2501,Malcolm Porter missed Layup.,45,86
8:38,2501,Malcolm Porter Offensive Rebound.,45,86
8:36,-1,Foul on Jon Viles.,45,86
8:36,2501,Malcolm Porter made Free Throw.,45,87
8:36,2501,Malcolm Porter missed Free Throw.,45,87
8:36,-1,Ben Grandle Defensive Rebound.,45,87
8:27,-1,Ben Grandle Turnover.,45,87
8:17,2501,Marcus Shaver Jr missed Three Point Jumper.,45,87
8:17,-1,Ben Grandle Defensive Rebound.,45,87
8:04,-1,Ben Grandle missed Three Point Jumper.,45,87
8:04,-1,Jon Viles Offensive Rebound.,45,87
8:01,-1,Trey Fountain made Three Point Jumper. Assisted by Jon Viles.,48,87
7:44,2501,Joseph Smoyer made Jumper.,48,89
7:32,-1,Trey Fountain missed Three Point Jumper.,48,89
7:32,2501,JoJo Walker Defensive Rebound.,48,89
7:22,-1,Foul on Ben Grandle.,48,89
7:22,2501,Official TV Timeout,48,89
7:05,2501,Malcolm Porter missed Three Point Jumper.,48,89
7:05,-1,Trey Fountain Defensive Rebound.,48,89
7:00,-1,Ben Grandle made Three Point Jumper. Assisted by Trey Fountain.,51,89
6:57,-1,Multnomah University  Timeout,51,89
6:57,2501,Official TV Timeout,51,89
6:36,2501,Brian Smith missed Three Point Jumper.,51,89
6:36,-1,Multnomah University Defensive Rebound.,51,89
6:11,-1,Jon Viles made Three Point Jumper. Assisted by Trey Fountain.,54,89
5:50,2501,Malcolm Porter missed Three Point Jumper.,54,89
5:50,-1,Multnomah University Deadball Team Rebound.,54,89
5:29,2501,Foul on Joseph Smoyer.,54,89
5:29,-1,Brett Blackstock made Free Throw.,55,89
5:29,-1,Brett Blackstock made Free Throw.,56,89
5:12,2501,Brian Smith made Three Point Jumper. Assisted by Malcolm Porter.,56,92
4:49,-1,Ben Grandle made Three Point Jumper. Assisted by Darius Redrick.,59,92
4:33,2501,Austin Stone made Jumper. Assisted by Malcolm Porter.,59,94
4:25,2501,Foul on Joseph Smoyer.,59,94
4:25,-1,Brett Blackstock made Free Throw.,60,94
4:25,-1,Brett Blackstock made Free Throw.,61,94
4:15,2501,Brian Smith missed Three Point Jumper.,61,94
4:15,-1,Max Upchurch Defensive Rebound.,61,94
4:04,-1,Stephen Sedlock missed Three Point Jumper.,61,94
4:04,2501,Portland Defensive Rebound.,61,94
3:51,2501,Marcus Shaver Jr missed Three Point Jumper.,61,94
3:51,-1,Daniel Walker Defensive Rebound.,61,94
3:42,-1,Daniel Walker Turnover.,61,94
3:42,2501,Official TV Timeout,61,94
3:39,2501,Marcus Shaver Jr made Three Point Jumper. Assisted by Brian Smith.,61,97
3:21,-1,Tyler Walker made Layup.,63,97
3:07,2501,Joseph Smoyer made Layup. Assisted by Austin Stone.,63,99
2:49,-1,Max Upchurch missed Three Point Jumper.,63,99
2:49,2501,Austin Stone Defensive Rebound.,63,99
2:38,2501,Marcus Shaver Jr made Three Point Jumper. Assisted by Joseph Smoyer.,63,102
2:25,-1,Daniel Walker made Layup.,65,102
2:10,-1,Foul on Ben Schneiders.,65,102
2:07,2501,Malcolm Porter missed Three Point Jumper.,65,102
2:07,2501,Joseph Smoyer Offensive Rebound.,65,102
2:02,2501,Joseph Smoyer made Layup.,65,104
1:51,-1,Ben Schneiders missed Three Point Jumper.,65,104
1:51,2501,Austin Stone Defensive Rebound.,65,104
1:40,2501,Marcus Shaver Jr missed Three Point Jumper.,65,104
1:40,2501,Austin Stone Offensive Rebound.,65,104
1:35,2501,Austin Stone made Layup.,65,106
1:26,-1,Stephen Sedlock missed Three Point Jumper.,65,106
1:26,2501,Marcus Shaver Jr Defensive Rebound.,65,106
1:21,-1,Foul on Stephen Sedlock.,65,106
1:21,2501,Marcus Shaver Jr made Free Throw.,65,107
1:21,2501,Marcus Shaver Jr made Free Throw.,65,108
1:04,-1,Max Upchurch missed Three Point Jumper.,65,108
1:04,2501,Austin Stone Defensive Rebound.,65,108
0:54,2501,Brian Smith made Layup.,65,110
0:43,-1,Daniel Walker missed Three Point Jumper.,65,110
0:43,2501,Portland Defensive Rebound.,65,110
0:31,2501,Brian Smith missed Three Point Jumper.,65,110
0:31,2501,Austin Stone Offensive Rebound.,65,110
0:26,2501,Austin Stone made Layup.,65,112
0:20,-1,Tyler Walker Turnover.,65,112
0:00,2501,End of Game,65,112
