Seton Hall,2294,Iowa,2550
6:08,2294,Dom Uhl Offensive Rebound.,31,30
6:04,2294,Dom Uhl missed Layup.,31,30
6:04,2550,Desi Rodriguez Defensive Rebound.,31,30
5:59,2550,Khadeen Carrington missed Jumper.,31,30
5:59,2294,Christian Williams Defensive Rebound.,31,30
5:50,2294,Christian Williams Turnover.,31,30
5:23,2550,Desi Rodriguez missed Layup.,31,30
5:23,2294,Dom Uhl Defensive Rebound.,31,30
5:12,2294,Tyler Cook missed Layup.,31,30
5:12,2294,Dom Uhl Offensive Rebound.,31,30
5:01,2550,Myles Powell missed Layup.,31,30
5:01,2294,Nicholas Baer Defensive Rebound.,31,30
5:01,2294,Nicholas Baer missed Jumper.,31,30
5:01,2550,Michael Nzei Defensive Rebound.,31,30
4:36,2550,Khadeen Carrington made Layup.,33,30
4:36,2294,Foul on Nicholas Baer.,33,30
4:36,2550,Khadeen Carrington missed Free Throw.,33,30
4:36,2294,Cordell Pemsl Defensive Rebound.,33,30
4:21,2294,Ahmad Wagner missed Jumper.,33,30
4:21,2550,Khadeen Carrington Defensive Rebound.,33,30
4:04,2550,Khadeen Carrington missed Layup.,33,30
4:04,2294,Ahmad Wagner Defensive Rebound.,33,30
4:02,2550,Foul on Michael Nzei.,33,30
4:02,2294,Ahmad Wagner made Free Throw.,33,31
4:02,2294,Ahmad Wagner missed Free Throw.,33,31
4:02,2550,Desi Rodriguez Defensive Rebound.,33,31
4:02,2294,Foul on Dale Jones.,33,31
4:02,2550,Desi Rodriguez missed Free Throw.,33,31
4:02,2550,Seton Hall Deadball Team Rebound.,33,31
4:02,2550,Desi Rodriguez missed Free Throw.,33,31
4:02,2294,Dale Jones Defensive Rebound.,33,31
3:48,2294,Peter Jok made Jumper. Assisted by Dale Jones.,33,33
3:24,2550,Desi Rodriguez missed Layup.,33,33
3:24,2294,Cordell Pemsl Defensive Rebound.,33,33
3:16,2294,Christian Williams made Three Point Jumper.,33,36
3:14,2550,Seton Hall  Timeout,33,36
3:03,2294,Foul on Christian Williams.,33,36
3:03,2550,Veer Singh made Free Throw.,34,36
3:03,2550,Veer Singh missed Free Throw.,34,36
3:03,2550,Seton Hall Deadball Team Rebound.,34,36
3:03,2550,Veer Singh made Free Throw.,35,36
2:45,2294,Peter Jok made Layup.,35,38
2:34,2550,Khadeen Carrington made Layup.,37,38
2:26,2294,Dale Jones missed Layup.,37,38
2:26,2294,Cordell Pemsl Offensive Rebound.,37,38
2:25,2294,Cordell Pemsl missed Layup.,37,38
2:25,2294,Iowa Offensive Rebound.,37,38
2:21,2294,Dale Jones Turnover.,37,38
2:10,2550,Myles Powell made Free Throw.,38,38
2:10,2294,Foul on Jordan Bohannon.,38,38
2:10,2550,Myles Powell made Free Throw.,39,38
1:59,2294,Peter Jok made Jumper. Assisted by Jordan Bohannon.,39,40
1:34,2550,Myles Powell made Three Point Jumper. Assisted by Khadeen Carrington.,42,40
1:24,2294,Jordan Bohannon missed Three Point Jumper.,42,40
1:24,2550,Khadeen Carrington Defensive Rebound.,42,40
1:18,2550,Eron Gordon missed Three Point Jumper.,42,40
1:18,2550,Rashed Anthony Offensive Rebound.,42,40
0:54,2550,Desi Rodriguez missed Jumper.,42,40
0:54,2550,Myles Powell Offensive Rebound.,42,40
0:44,2550,Myles Powell missed Layup.,42,40
0:44,2294,Peter Jok Defensive Rebound.,42,40
0:40,2294,Peter Jok made Three Point Jumper.,42,43
0:12,2550,Myles Powell missed Three Point Jumper.,42,43
0:12,2294,Jordan Bohannon Defensive Rebound.,42,43
0:06,2550,Foul on Desi Rodriguez.,42,43
0:06,2294,Jordan Bohannon missed Free Throw.,42,43
0:06,2294,Iowa Deadball Team Rebound.,42,43
0:06,2294,Jordan Bohannon made Free Throw.,42,44
0:01,2550,Khadeen Carrington missed Three Point Jumper.,42,44
0:01,2294,Cordell Pemsl Defensive Rebound.,42,44
0:00,2294,End of 1st half,42,44
19:49,2294,Dom Uhl missed Jumper.,42,44
19:49,2550,Angel Delgado Defensive Rebound.,42,44
19:36,2550,Ismael Sanogo missed Jumper.,42,44
19:36,2294,Dom Uhl Defensive Rebound.,42,44
19:25,2294,Dom Uhl Turnover.,42,44
19:24,2550,Ismael Sanogo Steal.,42,44
19:19,2550,Khadeen Carrington missed Jumper.,42,44
19:19,2294,Peter Jok Defensive Rebound.,42,44
18:57,2294,Peter Jok missed Jumper.,42,44
18:57,2550,Khadeen Carrington Defensive Rebound.,42,44
18:41,2550,Desi Rodriguez missed Jumper.,42,44
18:41,2550,Angel Delgado Offensive Rebound.,42,44
18:36,2550,Angel Delgado missed Layup.,42,44
18:36,2550,Angel Delgado Offensive Rebound.,42,44
18:32,2550,Angel Delgado made Layup.,44,44
18:20,2294,Foul on Dom Uhl.,44,44
18:20,2294,Dom Uhl Turnover.,44,44
18:05,2550,Desi Rodriguez made Dunk. Assisted by Angel Delgado.,46,44
17:55,2550,Foul on Ismael Sanogo.,46,44
17:53,2294,Peter Jok missed Jumper.,46,44
17:53,2550,Madison Jones Defensive Rebound.,46,44
17:51,2294,Foul on Dom Uhl.,46,44
17:48,2550,Khadeen Carrington missed Three Point Jumper.,46,44
17:48,2550,Ismael Sanogo Offensive Rebound.,46,44
17:33,2550,Khadeen Carrington Turnover.,46,44
17:31,2294,Christian Williams Steal.,46,44
17:17,2550,Foul on Ismael Sanogo.,46,44
17:17,2294,Tyler Cook missed Free Throw.,46,44
17:17,2294,Iowa Deadball Team Rebound.,46,44
17:17,2294,Tyler Cook made Free Throw.,46,45
17:06,2550,Khadeen Carrington Turnover.,46,45
17:05,2294,Tyler Cook Steal.,46,45
17:01,2294,Peter Jok missed Three Point Jumper.,46,45
17:01,2294,Nicholas Baer Offensive Rebound.,46,45
16:58,2294,Nicholas Baer made Layup.,46,47
16:37,2550,Angel Delgado made Dunk.,48,47
16:02,2294,Tyler Cook missed Three Point Jumper.,48,47
16:02,2550,Khadeen Carrington Defensive Rebound.,48,47
15:54,2550,Khadeen Carrington made Layup.,50,47
15:54,2294,Foul on Brady Ellingson.,50,47
15:54,2550,Khadeen Carrington missed Free Throw.,50,47
15:54,2294,Cordell Pemsl Defensive Rebound.,50,47
15:43,2294,Christian Williams Turnover.,50,47
15:43,2550,Madison Jones Steal.,50,47
15:35,2550,Desi Rodriguez made Three Point Jumper. Assisted by Madison Jones.,53,47
15:07,2294,Brady Ellingson Turnover.,53,47
15:05,2550,Madison Jones Steal.,53,47
14:55,2550,Madison Jones Turnover.,53,47
14:54,2294,Christian Williams Steal.,53,47
14:49,2294,Christian Williams missed Layup.,53,47
14:49,2294,Ahmad Wagner Offensive Rebound.,53,47
14:41,2294,Nicholas Baer missed Three Point Jumper.,53,47
14:41,2294,Christian Williams Offensive Rebound.,53,47
14:36,2294,Christian Williams missed Jumper.,53,47
14:36,2550,Angel Delgado Defensive Rebound.,53,47
14:30,2294,Foul on Brady Ellingson.,53,47
14:30,2550,Desi Rodriguez made Free Throw.,54,47
14:30,2550,Desi Rodriguez missed Free Throw.,54,47
14:30,2294,Dom Uhl Defensive Rebound.,54,47
14:13,2294,Dom Uhl missed Three Point Jumper.,54,47
14:13,2294,Peter Jok Offensive Rebound.,54,47
14:11,2550,Foul on Madison Jones.,54,47
14:06,2294,Peter Jok missed Three Point Jumper.,54,47
14:06,2294,Dom Uhl Offensive Rebound.,54,47
13:56,2294,Tyler Cook made Layup. Assisted by Peter Jok.,54,49
13:56,2550,Foul on Michael Nzei.,54,49
13:56,2294,Tyler Cook missed Free Throw.,54,49
13:56,2550,Angel Delgado Defensive Rebound.,54,49
13:35,2550,Khadeen Carrington Turnover.,54,49
13:34,2294,Peter Jok Steal.,54,49
13:26,2294,Tyler Cook made Dunk.,54,51
13:04,2550,Desi Rodriguez made Layup.,56,51
12:54,2550,Foul on Michael Nzei.,56,51
12:54,2294,Dom Uhl made Free Throw.,56,52
12:54,2294,Dom Uhl missed Free Throw.,56,52
12:54,2550,Desi Rodriguez Defensive Rebound.,56,52
12:33,2550,Myles Powell missed Three Point Jumper.,56,52
12:33,2294,Nicholas Baer Defensive Rebound.,56,52
12:22,2550,Foul on Rashed Anthony.,56,52
12:22,2294,Tyler Cook made Free Throw.,56,53
12:22,2294,Tyler Cook missed Free Throw.,56,53
12:22,2550,Desi Rodriguez Defensive Rebound.,56,53
12:02,2550,Desi Rodriguez made Jumper.,58,53
11:56,2294,Tyler Cook made Layup. Assisted by Jordan Bohannon.,58,55
11:30,2550,Khadeen Carrington made Layup.,60,55
11:17,2294,Tyler Cook missed Jumper.,60,55
11:17,2550,Veer Singh Defensive Rebound.,60,55
10:48,2550,Myles Powell Turnover.,60,55
10:48,2294,Official TV Timeout,60,55
10:33,2294,Peter Jok missed Jumper.,60,55
10:33,2550,Madison Jones Defensive Rebound.,60,55
10:31,2294,Foul on Dom Uhl.,60,55
10:10,2550,Angel Delgado missed Layup.,60,55
10:10,2294,Peter Jok Defensive Rebound.,60,55
10:04,2294,Peter Jok made Layup.,60,57
9:37,2550,Veer Singh missed Three Point Jumper.,60,57
9:37,2294,Jordan Bohannon Defensive Rebound.,60,57
9:19,2294,Peter Jok made Jumper.,60,59
9:01,2294,Foul on Jordan Bohannon.,60,59
8:55,2550,Desi Rodriguez made Jumper. Assisted by Khadeen Carrington.,62,59
8:44,2294,Tyler Cook Turnover.,62,59
8:42,2550,Desi Rodriguez Steal.,62,59
8:40,2550,Khadeen Carrington made Layup. Assisted by Desi Rodriguez.,64,59
8:28,2294,Peter Jok made Jumper. Assisted by Jordan Bohannon.,64,61
8:07,2550,Desi Rodriguez made Layup. Assisted by Madison Jones.,66,61
8:00,2550,Foul on Madison Jones.,66,61
8:00,2294,Jordan Bohannon made Free Throw.,66,62
8:00,2294,Jordan Bohannon made Free Throw.,66,63
7:54,2294,Foul on Peter Jok.,66,63
7:54,2294,Official TV Timeout,66,63
7:54,2550,Desi Rodriguez made Free Throw.,67,63
7:54,2550,Desi Rodriguez made Free Throw.,68,63
7:42,2294,Tyler Cook Turnover.,68,63
7:40,2550,Myles Powell Steal.,68,63
7:38,2550,Myles Powell made Layup.,70,63
7:26,2550,Foul on Khadeen Carrington.,70,63
7:26,2294,Peter Jok made Free Throw.,70,64
7:26,2294,Peter Jok made Free Throw.,70,65
6:56,2550,Khadeen Carrington missed Three Point Jumper.,70,65
6:56,2294,Christian Williams Defensive Rebound.,70,65
6:42,2294,Jordan Bohannon Turnover.,70,65
6:41,2550,Desi Rodriguez Steal.,70,65
6:38,2550,Myles Powell made Layup.,72,65
6:18,2550,Foul on Eron Gordon.,72,65
6:18,2294,Peter Jok made Free Throw.,72,66
6:18,2294,Peter Jok made Free Throw.,72,67
6:11,2550,Eron Gordon Turnover.,72,67
6:09,2294,Jordan Bohannon Steal.,72,67
6:03,2294,Jordan Bohannon missed Layup.,72,67
6:03,2550,Desi Rodriguez Defensive Rebound.,72,67
5:57,2550,Khadeen Carrington made Layup.,74,67
5:53,2294,Jordan Bohannon Turnover.,74,67
5:52,2550,Myles Powell Steal.,74,67
5:29,2294,Foul on Ahmad Wagner.,74,67
5:29,2550,Desi Rodriguez made Free Throw.,75,67
5:29,2550,Desi Rodriguez missed Free Throw.,75,67
5:29,2294,Peter Jok Defensive Rebound.,75,67
5:16,2550,Foul on Khadeen Carrington.,75,67
5:16,2294,Ahmad Wagner missed Free Throw.,75,67
5:16,2294,Iowa Deadball Team Rebound.,75,67
5:16,2294,Ahmad Wagner missed Free Throw.,75,67
5:16,2550,Angel Delgado Defensive Rebound.,75,67
4:59,2550,Ismael Sanogo made Layup. Assisted by Angel Delgado.,77,67
4:45,2294,Peter Jok made Layup.,77,69
4:19,2550,Ismael Sanogo Turnover.,77,69
4:18,2294,Nicholas Baer Steal.,77,69
4:12,2294,Peter Jok made Three Point Jumper. Assisted by Nicholas Baer.,77,72
4:11,2294,Iowa  Timeout,77,72
3:50,2550,Myles Powell made Three Point Jumper. Assisted by Madison Jones.,80,72
3:36,2294,Tyler Cook made Dunk. Assisted by Christian Williams.,80,74
3:15,2550,Myles Powell made Layup.,82,74
2:54,2294,Peter Jok missed Three Point Jumper.,82,74
2:54,2550,Desi Rodriguez Defensive Rebound.,82,74
2:35,2550,Khadeen Carrington missed Three Point Jumper.,82,74
2:35,2294,Dom Uhl Defensive Rebound.,82,74
2:25,2550,Foul on Angel Delgado.,82,74
2:25,2294,Official TV Timeout,82,74
2:25,2294,Tyler Cook missed Free Throw.,82,74
2:25,2294,Iowa Deadball Team Rebound.,82,74
2:25,2294,Tyler Cook made Free Throw.,82,75
2:10,2550,Myles Powell made Three Point Jumper. Assisted by Madison Jones.,85,75
2:05,2294,Nicholas Baer missed Three Point Jumper.,85,75
2:03,2294,Peter Jok Offensive Rebound.,85,75
2:03,2550,Foul on Myles Powell.,85,75
2:03,2294,Peter Jok made Free Throw.,85,76
2:03,2294,Peter Jok made Free Throw.,85,77
1:35,2550,Desi Rodriguez made Three Point Jumper.,88,77
1:20,2294,Dom Uhl made Three Point Jumper. Assisted by Peter Jok.,88,80
1:19,2294,Iowa  Timeout,88,80
1:07,2294,Foul on Ahmad Wagner.,88,80
1:07,2550,Desi Rodriguez missed Free Throw.,88,80
1:07,2294,Peter Jok Defensive Rebound.,88,80
0:56,2294,Peter Jok missed Three Point Jumper.,88,80
0:56,2294,Tyler Cook Offensive Rebound.,88,80
0:52,2294,Christian Williams made Three Point Jumper. Assisted by Tyler Cook.,88,83
0:45,2294,Foul on Christian Williams.,88,83
0:45,2550,Khadeen Carrington missed Free Throw.,88,83
0:45,2550,Seton Hall Deadball Team Rebound.,88,83
0:45,2550,Khadeen Carrington missed Free Throw.,88,83
0:45,2294,Dom Uhl Defensive Rebound.,88,83
0:36,2294,Peter Jok missed Jumper.,88,83
0:36,2550,Angel Delgado Defensive Rebound.,88,83
0:35,2294,Foul on Nicholas Baer.,88,83
0:35,2550,Angel Delgado made Free Throw.,89,83
0:35,2550,Angel Delgado missed Free Throw.,89,83
0:35,2294,Dom Uhl Defensive Rebound.,89,83
0:23,2294,Christian Williams missed Jumper.,89,83
0:23,2550,Myles Powell Block.,89,83
0:21,2550,Angel Delgado Defensive Rebound.,89,83
0:20,2294,Foul on Dom Uhl.,89,83
0:18,2550,Angel Delgado made Free Throw.,90,83
0:18,2550,Angel Delgado made Free Throw.,91,83
0:11,2294,Peter Jok missed Three Point Jumper.,91,83
0:10,2550,Desi Rodriguez Defensive Rebound.,91,83
0:00,2294,End of Game,91,83
