Wilmington DE,Error,Morgan State,2415
12:03,2415,Phillip Carr Defensive Rebound.,7,15
11:53,2415,Stanley Davis Turnover.,7,15
11:53,2415,Official TV Timeout,7,15
11:48,-1,Omari Dill-Pettiford Turnover.,7,15
11:43,2415,Stanley Davis Steal.,7,15
11:39,2415,Antonio Gillespie missed Layup.,7,15
11:39,-1,Masner Beauplan Defensive Rebound.,7,15
11:26,-1,Tajee Almon missed Layup.,7,15
11:26,2415,David Syfax Defensive Rebound.,7,15
11:20,-1,Foul on Vince Kent.,7,15
11:17,2415,Phillip Carr made Free Throw.,7,16
11:17,2415,Phillip Carr missed Free Throw.,7,16
11:17,-1,Wilmington (DE) Defensive Rebound.,7,16
11:17,-1,Omari Dill-Pettiford made Three Point Jumper. Assisted by Tajee Almon.,10,16
11:17,2415,Tiwian Kendley missed Three Point Jumper.,10,16
11:17,-1,Masner Beauplan Defensive Rebound.,10,16
11:08,-1,Masner Beauplan Turnover.,10,16
11:03,2415,Isiah Graves missed Three Point Jumper.,10,16
11:03,2415,Morgan St Offensive Rebound.,10,16
10:57,-1,Foul on Terrell Grobes.,10,16
10:45,2415,Phillip Carr made Jumper.,10,18
10:32,2415,Foul on Isiah Graves.,10,18
10:27,-1,Omari Dill-Pettiford missed Three Point Jumper.,10,18
10:27,2415,Phillip Carr Defensive Rebound.,10,18
10:20,2415,David Syfax missed Three Point Jumper.,10,18
10:20,-1,Omari Dill-Pettiford Defensive Rebound.,10,18
10:06,-1,Vince Kent Turnover.,10,18
9:55,2415,Tiwian Kendley Steal.,10,18
9:51,2415,Kyle Thomas made Three Point Jumper. Assisted by Tiwian Kendley.,10,21
9:38,-1,Brian Adkins Turnover.,10,21
9:22,2415,Kyle Thomas Steal.,10,21
9:18,-1,Foul on Masner Beauplan.,10,21
9:15,2415,Tiwian Kendley missed Free Throw.,10,21
9:15,2415,Morgan St Deadball Team Rebound.,10,21
9:10,2415,Tiwian Kendley made Free Throw.,10,22
9:04,-1,Tyaire Ponzo-Meek made Three Point Jumper. Assisted by Drew Johnson.,13,22
8:56,-1,Foul on Paul Medlin.,13,22
8:49,2415,Tiwian Kendley made Free Throw.,13,23
8:43,2415,Tiwian Kendley made Free Throw.,13,24
8:38,-1,Tyaire Ponzo-Meek missed Three Point Jumper.,13,24
8:38,2415,Tiwian Kendley Defensive Rebound.,13,24
8:03,2415,David Syfax made Dunk. Assisted by Tiwian Kendley.,13,26
7:56,-1,Brian Adkins missed Three Point Jumper.,13,26
7:56,2415,David Syfax Defensive Rebound.,13,26
7:46,2415,Martez Cameron made Jumper. Assisted by David Syfax.,13,28
7:36,-1,Wilmington (DE)  Timeout,13,28
7:30,-1,Brian Adkins Turnover.,13,28
7:27,2415,Martez Cameron Steal.,13,28
7:24,2415,Martez Cameron made Jumper.,13,30
7:18,-1,Nick Richards missed Layup.,13,30
7:09,-1,Tajee Almon Offensive Rebound.,13,30
7:00,2415,Foul on Tiwian Kendley.,13,30
6:40,-1,Drew Johnson Turnover.,13,30
6:35,2415,Phillip Carr Turnover.,13,30
6:32,-1,Nick Richards missed Three Point Jumper.,13,30
6:32,-1,Wilmington (DE) Offensive Rebound.,13,30
5:50,-1,Nick Richards missed Layup.,13,30
5:50,-1,Brian Adkins Offensive Rebound.,13,30
5:43,-1,Tyaire Ponzo-Meek made Layup.,15,30
5:39,2415,Foul on Isiah Graves.,15,30
5:38,-1,Tyaire Ponzo-Meek made Free Throw.,16,30
5:38,2415,Kyle Thomas made Dunk. Assisted by Martez Cameron.,16,32
5:38,2415,Foul on Antonio Gillespie.,16,32
5:38,-1,Tyaire Ponzo-Meek missed Free Throw.,16,32
5:38,-1,Tajee Almon Offensive Rebound.,16,32
5:38,-1,Tajee Almon missed Layup.,16,32
5:38,2415,Tiwian Kendley Defensive Rebound.,16,32
5:38,-1,Foul on Tajee Almon.,16,32
5:38,2415,Phillip Carr made Free Throw.,16,33
5:38,2415,Phillip Carr missed Free Throw.,16,33
5:38,-1,Omari Dill-Pettiford Defensive Rebound.,16,33
5:38,-1,Omari Dill-Pettiford made Jumper.,18,33
5:38,2415,Phillip Carr missed Jumper.,18,33
5:38,-1,Omari Dill-Pettiford Defensive Rebound.,18,33
5:38,-1,Nick Richards Turnover.,18,33
5:38,-1,Foul on Nick Richards.,18,33
5:38,2415,Morgan St  Timeout,18,33
5:38,2415,Kyle Thomas made Three Point Jumper. Assisted by Martez Cameron.,18,36
5:38,-1,Masner Beauplan missed Three Point Jumper.,18,36
5:38,-1,Vince Kent Offensive Rebound.,18,36
5:38,-1,Vince Kent made Layup.,20,36
5:38,2415,David Syfax made Three Point Jumper. Assisted by Martez Cameron.,20,39
5:38,-1,Tyaire Ponzo-Meek missed Layup.,20,39
5:38,2415,Morgan St Defensive Rebound.,20,39
5:38,-1,Foul on Vince Kent.,20,39
5:38,2415,Official TV Timeout,20,39
3:46,2415,Kyle Thomas missed Free Throw.,20,39
3:46,-1,Drew Johnson Defensive Rebound.,20,39
3:39,-1,Omari Dill-Pettiford Turnover.,20,39
3:22,2415,Tiwian Kendley made Jumper.,20,41
3:08,-1,Omari Dill-Pettiford missed Three Point Jumper.,20,41
3:08,-1,Omari Dill-Pettiford Offensive Rebound.,20,41
3:02,-1,Drew Johnson missed Layup.,20,41
3:02,2415,Tiwian Kendley Block.,20,41
3:02,-1,Wilmington (DE) Offensive Rebound.,20,41
2:52,-1,Tyaire Ponzo-Meek made Layup.,22,41
2:29,2415,Martez Cameron made Jumper. Assisted by Tiwian Kendley.,22,43
2:13,-1,Omari Dill-Pettiford made Jumper. Assisted by Vince Kent.,24,43
2:13,2415,Foul on Martez Cameron.,24,43
2:13,-1,Omari Dill-Pettiford made Free Throw.,25,43
2:05,2415,Kyle Thomas missed Layup.,25,43
2:05,-1,Vince Kent Block.,25,43
2:03,-1,Tyaire Ponzo-Meek Defensive Rebound.,25,43
1:58,-1,Tyaire Ponzo-Meek missed Jumper.,25,43
1:58,-1,Tyaire Ponzo-Meek Offensive Rebound.,25,43
1:56,-1,Tyaire Ponzo-Meek missed Jumper.,25,43
1:56,2415,Phillip Carr Defensive Rebound.,25,43
1:51,2415,Kyle Thomas Turnover.,25,43
1:49,-1,Masner Beauplan Steal.,25,43
1:44,-1,Masner Beauplan missed Three Point Jumper.,25,43
1:44,-1,Omari Dill-Pettiford Offensive Rebound.,25,43
1:41,-1,Omari Dill-Pettiford missed Layup.,25,43
1:41,2415,Tiwian Kendley Defensive Rebound.,25,43
1:15,-1,Foul on Vince Kent.,25,43
1:15,2415,Phillip Carr made Free Throw.,25,44
1:15,2415,Phillip Carr made Free Throw.,25,45
0:51,-1,Drew Johnson made Three Point Jumper. Assisted by Tyaire Ponzo-Meek.,28,45
0:18,2415,Tiwian Kendley made Jumper.,28,47
0:02,2415,Foul on Tiwian Kendley.,28,47
0:02,-1,Tyaire Ponzo-Meek made Free Throw.,29,47
0:02,-1,Tyaire Ponzo-Meek made Free Throw.,30,47
0:00,2415,Stanley Davis missed Three Point Jumper.,30,47
0:00,-1,Wilmington (DE) Defensive Rebound.,30,47
0:00,2415,End of 1st half,30,47
19:44,-1,Tyaire Ponzo-Meek missed Jumper.,30,47
19:44,-1,Paul Medlin Offensive Rebound.,30,47
19:41,2415,Foul on Phillip Carr.,30,47
19:41,-1,Paul Medlin made Free Throw.,31,47
19:41,-1,Paul Medlin missed Free Throw.,31,47
19:41,2415,Alex Ennis Defensive Rebound.,31,47
19:23,2415,Phillip Carr made Dunk. Assisted by Tiwian Kendley.,31,49
19:05,-1,Nick Richards made Three Point Jumper. Assisted by Tyaire Ponzo-Meek.,34,49
18:54,-1,Foul on Drew Johnson.,34,49
18:54,2415,David Syfax missed Free Throw.,34,49
18:54,2415,Morgan St Deadball Team Rebound.,34,49
18:54,2415,David Syfax made Free Throw.,34,50
18:26,-1,Brian Adkins missed Layup.,34,50
18:26,-1,Wilmington (DE) Offensive Rebound.,34,50
18:22,-1,Brian Adkins made Layup.,36,50
18:06,2415,David Syfax missed Three Point Jumper.,36,50
18:06,2415,Phillip Carr Offensive Rebound.,36,50
18:03,2415,Tiwian Kendley missed Three Point Jumper.,36,50
18:03,2415,Morgan St Offensive Rebound.,36,50
17:41,-1,Foul on Paul Medlin.,36,50
17:41,2415,Kyle Thomas made Free Throw.,36,51
17:41,2415,Kyle Thomas made Free Throw.,36,52
17:25,-1,Brian Adkins missed Three Point Jumper.,36,52
17:25,-1,Tyaire Ponzo-Meek Offensive Rebound.,36,52
17:23,2415,Foul on Martez Cameron.,36,52
17:23,-1,Tyaire Ponzo-Meek made Free Throw.,37,52
17:23,-1,Tyaire Ponzo-Meek made Free Throw.,38,52
17:15,2415,Martez Cameron missed Jumper.,38,52
17:15,-1,Tajee Almon Defensive Rebound.,38,52
17:09,-1,Tajee Almon Turnover.,38,52
17:09,-1,Foul on Tajee Almon.,38,52
17:09,2415,Alex Ennis Turnover.,38,52
17:09,2415,Foul on Alex Ennis.,38,52
16:49,-1,Tyaire Ponzo-Meek made Jumper.,40,52
16:39,-1,Foul on Drew Johnson.,40,52
16:34,2415,Kyle Thomas missed Jumper.,40,52
16:34,-1,Tajee Almon Defensive Rebound.,40,52
16:26,-1,Nick Richards made Layup.,42,52
16:18,2415,David Syfax missed Layup.,42,52
16:18,-1,Tajee Almon Defensive Rebound.,42,52
16:08,-1,Tajee Almon Turnover.,42,52
15:52,2415,David Syfax made Layup.,42,54
15:36,-1,Tyaire Ponzo-Meek missed Three Point Jumper.,42,54
15:36,-1,Tajee Almon Offensive Rebound.,42,54
15:28,-1,Tajee Almon missed Layup.,42,54
15:28,2415,Martez Cameron Defensive Rebound.,42,54
15:23,2415,David Syfax missed Jumper.,42,54
15:23,2415,David Syfax Offensive Rebound.,42,54
15:18,2415,Phillip Carr Turnover.,42,54
15:18,2415,Foul on Phillip Carr.,42,54
15:18,2415,Official TV Timeout,42,54
15:15,-1,Omari Dill-Pettiford Turnover.,42,54
15:00,-1,Foul on Tajee Almon.,42,54
15:00,2415,Isiah Graves missed Free Throw.,42,54
15:00,2415,Morgan St Deadball Team Rebound.,42,54
15:00,2415,Isiah Graves made Free Throw.,42,55
14:47,-1,Nick Richards missed Three Point Jumper.,42,55
14:47,2415,Isiah Graves Defensive Rebound.,42,55
14:44,-1,Foul on Tyaire Ponzo-Meek.,42,55
14:25,2415,Antonio Gillespie missed Jumper.,42,55
14:25,-1,Wilmington (DE) Defensive Rebound.,42,55
14:03,-1,Drew Johnson Turnover.,42,55
14:02,2415,Kyle Thomas Steal.,42,55
13:53,2415,Kyle Thomas Turnover.,42,55
13:51,-1,Omari Dill-Pettiford Steal.,42,55
13:49,-1,Tyaire Ponzo-Meek missed Layup.,42,55
13:49,2415,David Syfax Block.,42,55
13:47,-1,Wilmington (DE) Offensive Rebound.,42,55
13:38,-1,Omari Dill-Pettiford missed Three Point Jumper.,42,55
13:38,2415,Isiah Graves Defensive Rebound.,42,55
13:32,-1,Foul on Omari Dill-Pettiford.,42,55
13:32,2415,Isiah Graves missed Free Throw.,42,55
13:32,2415,David Syfax Offensive Rebound.,42,55
13:32,2415,David Syfax made Layup.,42,57
13:32,-1,Tyaire Ponzo-Meek missed Jumper.,42,57
13:32,-1,Drew Johnson Offensive Rebound.,42,57
13:32,-1,Drew Johnson made Three Point Jumper. Assisted by Tajee Almon.,45,57
13:32,2415,Isiah Graves missed Layup.,45,57
13:32,2415,Phillip Carr Offensive Rebound.,45,57
13:32,2415,Phillip Carr missed Layup.,45,57
13:32,-1,Tyaire Ponzo-Meek Defensive Rebound.,45,57
13:32,-1,Nick Richards made Layup. Assisted by Tajee Almon.,47,57
13:32,2415,Kyle Thomas missed Jumper.,47,57
13:32,-1,Tajee Almon Defensive Rebound.,47,57
13:32,-1,Tyaire Ponzo-Meek made Layup. Assisted by Tajee Almon.,49,57
13:32,2415,David Syfax missed Three Point Jumper.,49,57
13:32,-1,Tyaire Ponzo-Meek Defensive Rebound.,49,57
13:32,-1,Tajee Almon made Layup. Assisted by Tajee Almon.,51,57
11:47,2415,Morgan St  Timeout,51,57
11:35,2415,David Syfax made Layup.,51,59
11:20,-1,Nick Richards Turnover.,51,59
11:07,2415,Tiwian Kendley Turnover.,51,59
10:40,-1,Tyaire Ponzo-Meek missed Three Point Jumper.,51,59
10:40,2415,David Syfax Defensive Rebound.,51,59
10:36,2415,David Syfax made Dunk.,51,61
10:20,-1,Omari Dill-Pettiford Turnover.,51,61
10:09,2415,Kyle Thomas missed Jumper.,51,61
10:09,2415,Phillip Carr Offensive Rebound.,51,61
10:08,-1,Foul on Tajee Almon.,51,61
10:08,2415,Phillip Carr missed Free Throw.,51,61
10:08,2415,Morgan St Deadball Team Rebound.,51,61
10:08,2415,Phillip Carr made Free Throw.,51,62
9:57,-1,Nick Richards made Dunk. Assisted by Tyaire Ponzo-Meek.,53,62
9:49,2415,Martez Cameron Turnover.,53,62
9:49,-1,Nick Richards Steal.,53,62
9:37,-1,Tyaire Ponzo-Meek made Three Point Jumper.,56,62
9:21,-1,Foul on Tyaire Ponzo-Meek.,56,62
9:21,2415,Tiwian Kendley made Free Throw.,56,63
9:21,2415,Tiwian Kendley made Free Throw.,56,64
9:13,-1,Nick Richards missed Layup.,56,64
9:13,2415,Phillip Carr Defensive Rebound.,56,64
9:02,2415,Tiwian Kendley made Layup.,56,66
8:51,-1,Masner Beauplan missed Layup.,56,66
8:51,2415,Phillip Carr Block.,56,66
8:51,-1,Wilmington (DE) Offensive Rebound.,56,66
8:51,2415,Morgan St  Timeout,56,66
8:34,-1,Tyaire Ponzo-Meek missed Three Point Jumper.,56,66
8:34,-1,Masner Beauplan Offensive Rebound.,56,66
8:32,-1,Masner Beauplan Turnover.,56,66
8:15,2415,Tiwian Kendley Turnover.,56,66
8:14,2415,Technical Foul on Tiwian Kendley.,56,66
8:14,2415,Foul on Tiwian Kendley.,56,66
8:14,-1,Tyaire Ponzo-Meek made Free Throw.,57,66
8:14,-1,Tyaire Ponzo-Meek made Free Throw.,58,66
7:57,-1,Nick Richards missed Jumper.,58,66
7:57,2415,Tiwian Kendley Defensive Rebound.,58,66
7:42,2415,Phillip Carr made Jumper. Assisted by Martez Cameron.,58,68
7:29,-1,Drew Johnson missed Layup.,58,68
7:29,2415,David Syfax Block.,58,68
7:29,-1,Wilmington (DE) Offensive Rebound.,58,68
7:29,2415,Official TV Timeout,58,68
7:29,-1,Drew Johnson Turnover.,58,68
7:29,2415,Phillip Carr Steal.,58,68
7:29,2415,Martez Cameron Turnover.,58,68
7:29,-1,Tyaire Ponzo-Meek Steal.,58,68
7:29,-1,Masner Beauplan made Jumper. Assisted by Tyaire Ponzo-Meek.,60,68
7:26,2415,Kyle Thomas Turnover.,60,68
7:16,-1,Tyaire Ponzo-Meek Turnover.,60,68
7:14,2415,Martez Cameron Steal.,60,68
7:05,2415,Tiwian Kendley missed Layup.,60,68
7:05,2415,Kyle Thomas Offensive Rebound.,60,68
7:00,2415,Kyle Thomas missed Layup.,60,68
7:00,2415,Phillip Carr Offensive Rebound.,60,68
6:58,2415,Phillip Carr made Two Point Tip Shot.,60,70
6:45,-1,Masner Beauplan Turnover.,60,70
5:32,2415,Tiwian Kendley missed Three Point Jumper.,60,70
5:32,-1,Nick Richards Defensive Rebound.,60,70
5:25,2415,Foul on Martez Cameron.,60,70
5:17,-1,Drew Johnson made Layup.,62,70
5:04,-1,Foul on Omari Dill-Pettiford.,62,70
5:04,2415,David Syfax made Free Throw.,62,71
5:04,2415,David Syfax made Free Throw.,62,72
4:48,-1,Tyaire Ponzo-Meek missed Three Point Jumper.,62,72
4:48,2415,Martez Cameron Defensive Rebound.,62,72
4:44,2415,Kyle Thomas made Layup. Assisted by Martez Cameron.,62,74
4:36,-1,Omari Dill-Pettiford Turnover.,62,74
4:14,2415,Tiwian Kendley made Three Point Jumper. Assisted by Phillip Carr.,62,77
4:10,-1,Wilmington (DE)  Timeout,62,77
3:53,-1,Tajee Almon made Jumper. Assisted by Nick Richards.,64,77
3:24,2415,Martez Cameron made Jumper.,64,79
3:08,-1,Nick Richards made Layup.,66,79
2:56,2415,Phillip Carr made Layup.,66,81
2:47,2415,Foul on David Syfax.,66,81
2:47,-1,Nick Richards made Free Throw.,67,81
2:47,-1,Nick Richards missed Free Throw.,67,81
2:47,2415,Tiwian Kendley Defensive Rebound.,67,81
2:30,2415,Phillip Carr missed Layup.,67,81
2:30,2415,Tiwian Kendley Offensive Rebound.,67,81
2:27,2415,Tiwian Kendley made Layup.,67,83
2:14,2415,Tiwian Kendley Defensive Rebound.,67,83
2:03,-1,Foul on Nick Richards.,67,83
2:03,2415,David Syfax made Free Throw.,67,84
2:03,2415,David Syfax missed Free Throw.,67,84
2:03,-1,Nick Richards Defensive Rebound.,67,84
1:54,2415,Foul on Phillip Carr.,67,84
1:54,-1,Nick Richards made Free Throw.,68,84
1:54,-1,Nick Richards missed Free Throw.,68,84
1:54,2415,Kyle Thomas Defensive Rebound.,68,84
1:38,2415,Phillip Carr made Layup. Assisted by David Syfax.,68,86
1:25,-1,Tajee Almon made Layup. Assisted by Nick Richards.,70,86
1:24,-1,Wilmington (DE)  Timeout,70,86
1:14,2415,Kyle Thomas missed Three Point Jumper.,70,86
1:14,2415,Tiwian Kendley Offensive Rebound.,70,86
1:09,2415,Tiwian Kendley missed Layup.,70,86
1:09,-1,Tajee Almon Defensive Rebound.,70,86
1:02,-1,Tajee Almon missed Layup.,70,86
1:02,2415,Phillip Carr Defensive Rebound.,70,86
0:44,2415,Phillip Carr made Dunk. Assisted by David Syfax.,70,88
0:34,-1,Drew Johnson made Three Point Jumper.,73,88
0:26,2415,Tiwian Kendley Turnover.,73,88
0:16,-1,Tre Jordan missed Three Point Jumper.,73,88
0:16,2415,Phillip Carr Block.,73,88
0:12,2415,Tiwian Kendley Defensive Rebound.,73,88
0:00,2415,End of Game,73,88
