Valparaiso,2483,Oregon,2674
12:58,2483,Chris Boucher missed Layup.,38,48
12:58,2483,Chris Boucher Offensive Rebound.,38,48
12:37,2483,Jordan Bell made Dunk. Assisted by Payton Pritchard.,38,50
12:17,2674,Alec Peters missed Three Point Jumper.,38,50
12:17,2674,Tevonn Walker Offensive Rebound.,38,50
12:12,2483,Foul on Dylan Ennis.,38,50
12:11,2674,Alec Peters missed Three Point Jumper.,38,50
12:11,2674,Jubril Adekoya Offensive Rebound.,38,50
12:05,2674,Tevonn Walker missed Three Point Jumper.,38,50
12:05,2483,Keith Smith Defensive Rebound.,38,50
11:46,2483,Kavell Bigby-Williams made Jumper. Assisted by Payton Pritchard.,38,52
11:22,2674,Shane Hammink missed Layup.,38,52
11:22,2483,Jordan Bell Block.,38,52
11:22,2674,Tevonn Walker Offensive Rebound.,38,52
11:21,2483,Foul on Jordan Bell.,38,52
11:21,2483,Official TV Timeout,38,52
11:21,2674,Tevonn Walker made Free Throw.,39,52
11:21,2674,Tevonn Walker made Free Throw.,40,52
10:55,2483,Keith Smith made Jumper.,40,54
10:36,2674,Shane Hammink missed Three Point Jumper.,40,54
10:36,2483,Kavell Bigby-Williams Defensive Rebound.,40,54
10:15,2483,Keith Smith made Layup.,40,56
9:58,2674,Tevonn Walker missed Jumper.,40,56
9:58,2483,Chris Boucher Defensive Rebound.,40,56
9:54,2674,Foul on Shane Hammink.,40,56
9:33,2483,Payton Pritchard made Three Point Jumper. Assisted by Keith Smith.,40,59
9:16,2483,Foul on Keith Smith.,40,59
9:09,2674,Alec Peters made Layup.,42,59
8:52,2483,Payton Pritchard Turnover.,42,59
8:52,2674,Alec Peters Steal.,42,59
8:43,2674,Alec Peters missed Layup.,42,59
8:43,2483,Oregon Defensive Rebound.,42,59
8:26,2483,Casey Benson missed Three Point Jumper.,42,59
8:26,2483,Chris Boucher Offensive Rebound.,42,59
8:12,2483,Payton Pritchard missed Three Point Jumper.,42,59
8:12,2483,Chris Boucher Offensive Rebound.,42,59
8:12,2483,Chris Boucher made Two Point Tip Shot.,42,61
7:37,2674,Tevonn Walker missed Jumper.,42,61
7:37,2674,Valparaiso Deadball Team Rebound.,42,61
7:34,2483,Foul on Keith Smith.,42,61
7:34,2483,Official TV Timeout,42,61
7:34,2674,Alec Peters made Free Throw.,43,61
7:34,2674,Alec Peters made Free Throw.,44,61
7:15,2674,Foul on Shane Hammink.,44,61
7:15,2483,Casey Benson made Free Throw.,44,62
7:15,2483,Casey Benson made Free Throw.,44,63
7:02,2674,Max Joseph missed Three Point Jumper.,44,63
7:02,2674,Tevonn Walker Offensive Rebound.,44,63
7:02,2674,Tevonn Walker made Two Point Tip Shot.,46,63
6:25,2483,Chris Boucher made Three Point Jumper. Assisted by Payton Pritchard.,46,66
6:10,2674,Tevonn Walker missed Three Point Jumper.,46,66
6:10,2483,Keith Smith Defensive Rebound.,46,66
5:35,2483,Payton Pritchard Turnover.,46,66
5:35,2674,Jubril Adekoya Steal.,46,66
5:30,2674,Foul on Jubril Adekoya.,46,66
5:30,2674,Jubril Adekoya Turnover.,46,66
5:30,2674,Valparaiso  Timeout,46,66
5:20,2483,Tyler Dorsey missed Jumper.,46,66
5:20,2674,Max Joseph Defensive Rebound.,46,66
5:10,2674,Tevonn Walker missed Jumper.,46,66
5:10,2483,Chris Boucher Block.,46,66
5:10,2483,Dylan Ennis Defensive Rebound.,46,66
4:55,2483,Casey Benson Turnover.,46,66
4:55,2674,Lexus Williams Steal.,46,66
4:51,2674,Shane Hammink made Layup. Assisted by Lexus Williams.,48,66
4:27,2483,Kavell Bigby-Williams missed Jumper.,48,66
4:27,2674,Max Joseph Defensive Rebound.,48,66
4:13,2674,Shane Hammink missed Three Point Jumper.,48,66
4:13,2483,Tyler Dorsey Defensive Rebound.,48,66
3:48,2483,Tyler Dorsey made Layup. Assisted by Chris Boucher.,48,68
3:48,2674,Foul on Max Joseph.,48,68
3:48,2483,Official TV Timeout,48,68
3:48,2483,Tyler Dorsey missed Free Throw.,48,68
3:48,2674,Alec Peters Defensive Rebound.,48,68
3:34,2674,Alec Peters missed Three Point Jumper.,48,68
3:34,2483,Oregon Defensive Rebound.,48,68
3:11,2483,Jordan Bell made Jumper. Assisted by Dylan Ennis.,48,70
2:52,2674,Tevonn Walker missed Layup.,48,70
2:52,2483,Chris Boucher Defensive Rebound.,48,70
2:30,2483,Dylan Ennis made Layup.,48,72
2:06,2674,Alec Peters made Three Point Jumper. Assisted by Max Joseph.,51,72
1:52,2674,Foul on Lexus Williams.,51,72
1:52,2483,Payton Pritchard made Free Throw.,51,73
1:52,2483,Payton Pritchard made Free Throw.,51,74
1:39,2674,Alec Peters missed Three Point Jumper.,51,74
1:39,2483,Jordan Bell Defensive Rebound.,51,74
1:10,2483,Jordan Bell missed Three Point Jumper.,51,74
1:10,2674,Lexus Williams Defensive Rebound.,51,74
1:06,2674,Lexus Williams Turnover.,51,74
1:06,2483,Tyler Dorsey Steal.,51,74
1:01,2483,Jordan Bell made Dunk.,51,76
1:01,2483,Oregon  Timeout,51,76
0:49,2674,Lexus Williams missed Three Point Jumper.,51,76
0:49,2483,Kavell Bigby-Williams Defensive Rebound.,51,76
0:33,2483,Roman Sorkin missed Jumper.,51,76
0:33,2674,Derrik Smits Defensive Rebound.,51,76
0:25,2674,Micah Bradford made Three Point Jumper.,54,76
0:00,2483,End of Game,54,76
