Troy,5,UAB,2653
18:10,2653,Alex Hicks Steal.,17,34
18:07,2653,Wesley Person made Dunk. Assisted by Alex Hicks.,19,34
17:47,5,Hakeem Baxter made Layup.,19,36
17:38,5,Foul on William Lee.,19,36
17:38,2653,Jordon Varnado missed Free Throw.,19,36
17:38,2653,Troy Deadball Team Rebound.,19,36
17:38,2653,Jordon Varnado made Free Throw.,20,36
17:16,5,William Lee made Jumper. Assisted by Deion Lavender.,20,38
16:55,2653,Wesley Person missed Layup.,20,38
16:55,2653,Jordon Varnado Offensive Rebound.,20,38
16:52,2653,Jordon Varnado made Layup.,22,38
16:31,5,Deion Lavender missed Three Point Jumper.,22,38
16:31,5,Chris Cokley Offensive Rebound.,22,38
16:20,5,Deion Lavender missed Jumper.,22,38
16:20,2653,Alex Hicks Defensive Rebound.,22,38
16:11,2653,Kevin Baker made Three Point Jumper.,25,38
15:50,5,Foul on William Lee.,25,38
15:50,5,William Lee Turnover.,25,38
15:50,5,Official TV Timeout,25,38
15:33,2653,Kevin Baker missed Three Point Jumper.,25,38
15:33,5,William Lee Defensive Rebound.,25,38
15:18,5,Chris Cokley Turnover.,25,38
15:11,2653,Jordon Varnado missed Three Point Jumper.,25,38
15:11,5,Chris Cokley Defensive Rebound.,25,38
15:00,5,William Lee missed Three Point Jumper.,25,38
15:00,2653,DeVon Walker Defensive Rebound.,25,38
14:49,2653,Jordon Varnado missed Jumper.,25,38
14:49,5,William Lee Defensive Rebound.,25,38
14:29,5,Deion Lavender Turnover.,25,38
14:04,2653,Juan Davis Jr. made Three Point Jumper. Assisted by Kevin Baker.,28,38
13:46,5,Tosin Mehinti missed Jumper.,28,38
13:46,2653,Alex Hicks Block.,28,38
13:44,2653,Alex Hicks Defensive Rebound.,28,38
13:35,2653,Kevin Baker made Three Point Jumper. Assisted by Wesley Person.,31,38
13:27,5,UAB  Timeout,31,38
12:59,5,Tosin Mehinti missed Jumper.,31,38
12:59,5,Tyler Madison Offensive Rebound.,31,38
12:57,2653,Foul on Juan Davis Jr..,31,38
12:47,5,Tyler Madison made Layup.,31,40
12:39,2653,Kevin Baker missed Three Point Jumper.,31,40
12:39,5,Dirk Williams Defensive Rebound.,31,40
12:20,2653,Foul on Juan Davis Jr..,31,40
12:20,5,Tyler Madison made Free Throw.,31,41
12:20,5,Tyler Madison made Free Throw.,31,42
12:01,2653,Wesley Person missed Jumper.,31,42
12:01,5,Tosin Mehinti Defensive Rebound.,31,42
11:45,5,Denzell Watts made Three Point Jumper. Assisted by Dirk Williams.,31,45
11:22,5,Foul on Tyler Madison.,31,45
11:22,5,Official TV Timeout,31,45
11:22,5,Foul on Tyler Madison.,31,45
11:16,2653,Wesley Person Turnover.,31,45
11:15,5,Deion Lavender Steal.,31,45
